O3	NH3	CFCs	Pb	PRES	longitude	C2H3NO5	CH4	NOx	CO	latitude	SO2	PAHs	warning	H2CO	PM2.5	TEMP	PM10
3.65450	7.77492	44.23360	65.51616	1055.92146	-94.41551	0.48481	5.85160	6.41804	8.95502	39.09112	6.76497	6.94452	0.00000	62.15679	7.55530	14.78308	5.24647
6.39837	6.84859	83.00168	18.84907	1173.51127	27.06365	0.58346	7.16054	5.16539	6.10720	50.18545	7.04137	9.58817	1.00000	58.18032	7.38536	3.90105	7.14299
9.12780	3.60705	48.67536	41.19142	1149.23575	78.25795	0.38312	7.50775	7.15956	5.68339	9.82564	2.47411	10.51588	1.00000	28.66133	6.58215	20.18160	5.10527
9.00620	6.13833	77.47047	50.56249	1118.98856	151.08057	0.53080	7.70921	6.25148	8.47415	-33.79176	4.92261	8.13832	1.00000	41.44340	7.10202	18.72482	6.32410
8.66827	6.46519	47.25581	27.88413	1116.05191	76.56719	0.39909	5.91322	7.68510	10.02514	24.41288	6.75115	6.42570	1.00000	67.90087	6.32192	26.00314	5.19953
10.03081	4.08350	49.33884	67.37897	1110.44437	4.86667	0.36245	6.55044	5.66564	7.17068	45.51667	2.88113	10.61591	1.00000	45.89967	6.89046	34.25395	4.50967
5.36636	6.75002	59.01220	26.50730	1088.26853	-86.19903	0.31841	8.90991	4.92741	9.85775	11.84962	7.71264	7.07806	0.00000	22.96772	8.15723	20.19381	2.80179
7.52389	4.68979	42.36981	63.25577	1071.32045	-1.08593	0.35634	6.19502	7.03643	7.18442	50.79205	3.94674	9.41376	1.00000	56.78099	8.39606	30.13917	2.99323
3.94572	7.06751	49.73290	54.48785	1083.95515	-76.88442	0.49189	7.14786	6.65372	9.36526	40.2737	9.23964	5.57487	0.00000	42.32120	5.47912	24.18893	2.65135
5.09783	4.00332	78.00801	62.24013	1161.23895	126.665	0.77379	7.03492	6.99860	8.90819	36.6009	8.70491	6.67233	1.00000	68.02396	8.04756	17.45614	7.06022
4.47645	4.80837	61.46975	58.57153	1069.60731	-15.6	1.99363	6.31320	6.58244	8.43908	13.56667	8.27090	6.60446	1.00000	45.17072	5.33536	22.24515	8.74961
6.46722	7.27549	50.87002	58.78493	1156.82699	2.61667	1.14170	6.66010	8.19645	6.17332	48.98333	7.15132	7.84102	1.00000	46.05797	7.68358	17.85329	7.50545
6.76910	5.94068	76.92695	56.21063	1188.04283	102.56365	2.10467	5.43573	6.61033	7.24285	13.65805	9.45608	8.71371	0.00000	43.08965	4.90125	27.42651	8.91579
5.20188	3.96743	46.49570	40.49037	1074.00184	51.49621	0.60771	6.93257	8.64706	9.14044	36.64852	8.75764	5.56846	1.00000	68.62667	5.84334	22.39785	6.90645
9.81052	5.17506	51.79210	88.90674	1173.41876	13.10984	1.80931	5.78260	5.75855	8.09304	51.30001	5.81239	7.44211	1.00000	48.51234	6.39745	4.09781	8.53073
6.54103	5.39064	64.76882	61.40478	1067.14212	-86.78777	0.33248	7.67186	5.79273	7.35327	33.44872	4.84369	8.35819	1.00000	69.84259	6.52452	4.04580	3.10740
7.83256	5.82318	57.20619	44.67751	1084.40790	6.26667	0.23535	5.78653	6.99372	9.12505	51.21667	3.84909	9.43489	1.00000	47.73097	7.62274	2.64031	3.28449
6.15317	6.37413	43.34780	45.20314	1088.08236	46.83187	0.50562	7.51717	6.66395	8.30336	14.53767	7.97666	5.88164	1.00000	37.60164	9.75369	17.35208	6.52673
7.16338	6.15975	44.08869	55.82599	1133.45718	8.55552	0.41115	5.76134	6.92381	6.62628	40.72586	7.41440	6.50918	1.00000	58.80536	7.70333	24.41333	5.50007
5.98612	7.92706	48.40704	18.60591	1147.63718	20.89389	0.66671	4.96329	5.17730	7.86867	42.62833	6.02366	9.75376	0.00000	25.22574	5.92607	12.16017	6.69936
6.04919	9.74388	54.38472	70.03978	1094.97937	57.3552	2.04052	6.02172	7.79654	6.12756	51.4781	7.90426	8.67948	0.00000	48.51637	6.38968	7.97424	8.93999
8.38105	4.95386	46.08013	47.57794	1085.07339	55.4504	0.67256	7.17140	8.08769	7.69075	-20.88231	8.61223	7.92219	0.00000	36.70481	5.08496	14.02905	7.74757
4.15690	3.09555	25.72320	78.85889	1126.11291	79.82979	0.70626	6.75538	6.97928	9.63698	11.93381	9.34985	5.32779	1.00000	57.95838	7.81403	4.32541	7.24639
6.72983	5.16164	43.32302	44.78106	1167.20726	9.37082	0.36310	6.58632	6.35105	6.82227	36.08497	6.72304	6.66541	1.00000	45.01552	6.35322	26.21500	5.58911
5.82514	3.27743	65.35817	60.00585	1059.68876	2.29026	10.55571	5.90879	5.78294	8.58439	48.77644	7.65833	10.09912	0.00000	60.39872	5.48274	15.88815	10.69181
6.47619	6.27361	71.60345	62.50714	1065.58321	53.47103	0.48347	6.17477	6.79353	6.28262	54.48147	7.51737	8.20017	1.00000	48.00360	8.24013	9.43215	6.13910
8.99875	4.39279	45.77270	84.41342	1143.17609	-94.74049	0.60059	5.40459	7.30081	5.52832	32.5007	8.77227	7.71782	0.00000	55.43423	6.29610	16.02958	6.64159
6.46442	7.54510	46.52738	52.26923	1097.00202	19.27498	0.45799	7.01769	6.86236	9.36902	50.20528	7.79021	7.26326	0.00000	54.04362	5.63662	16.47484	4.19408
4.41836	8.07983	44.05896	45.94040	1095.04762	73.85535	0.40998	7.42694	4.91194	8.22423	18.51957	9.16352	6.84319	0.00000	51.98365	5.83335	11.94202	4.23477
3.36709	4.80472	51.08829	58.63133	1151.66501	135.21667	0.44009	6.97297	7.12851	6.74741	35.06667	6.46904	7.12135	1.00000	48.62887	6.46726	15.23091	2.85379
5.73143	8.36785	41.35205	43.69698	1149.56865	-77.70066	0.50646	6.11679	6.62377	6.27818	43.16547	9.77974	8.23968	0.00000	62.12612	5.82913	9.53451	5.52124
4.67952	3.83520	34.67661	5.12864	1105.57409	-111.99633	1.76548	6.88730	7.83940	9.56669	40.65995	8.24708	8.87177	1.00000	49.38455	7.43751	17.00567	8.49515
7.32046	8.35190	51.49958	46.76498	1063.27851	85.83636	0.82719	9.39049	6.73119	6.44187	25.66795	6.62373	10.61954	0.00000	61.77623	5.57360	21.44709	7.61653
7.44000	7.39375	78.08301	52.94633	1158.76756	8.61839	0.46516	7.35452	6.22113	5.10721	49.68369	6.62895	9.59034	1.00000	18.69324	7.98298	18.38499	5.56035
3.31879	8.67286	70.58842	55.36913	1078.54919	-70.6996	0.70165	6.36005	6.84456	5.65323	-33.59217	11.29995	6.59774	0.00000	59.55883	5.53055	28.42203	6.12003
7.33401	6.19677	34.78264	73.76650	1081.20439	99.1625	0.67525	6.89791	4.67384	7.35708	3.3285	5.95976	7.67411	1.00000	27.33244	7.21855	5.52054	7.17688
7.11497	6.44170	61.29654	45.48787	1121.30801	-120.43572	1.12079	6.02620	5.72940	6.60816	34.95303	10.25421	7.55002	0.00000	44.87949	8.00214	9.37417	8.01134
9.41060	5.24399	46.58958	36.36968	1121.99354	-98.15529	0.78736	7.36332	6.80486	6.92840	26.18924	7.93039	8.69314	0.00000	42.43194	5.39263	18.10443	8.05516
5.64591	6.15424	65.99121	43.06662	1161.01467	114.51667	0.51308	6.33093	6.41722	6.36346	33.78333	8.51483	7.14376	1.00000	49.17331	6.45107	13.77282	6.57733
10.57387	3.95016	57.82617	27.59596	1197.11696	69.49015	0.69914	6.38537	4.81090	8.74955	56.11281	7.01897	9.75902	0.00000	49.84306	5.09342	20.90296	7.29622
5.47354	7.77448	41.55265	34.95385	1116.17994	38.94324	0.30215	6.46807	6.19062	9.87261	44.98901	7.18049	6.12205	1.00000	29.63339	7.11978	18.62809	4.80179
6.83069	6.71201	79.87350	34.52108	1165.33884	16.43915	0.25167	6.94770	6.27795	5.47150	43.50891	7.30044	11.90902	1.00000	45.56112	7.41274	19.06692	5.29224
4.35111	3.89163	50.69327	59.88965	1172.71454	115.70111	1.24773	7.08492	7.43618	9.22618	37.73222	8.16657	8.86721	1.00000	48.23875	6.00233	14.87613	8.19627
9.68798	5.25352	41.18652	27.45413	1132.22952	124.84472	0.30724	8.69271	6.10278	7.71247	10.13361	4.63956	9.04533	0.00000	42.30371	5.98860	16.87600	6.26192
5.96674	4.74284	55.58051	46.67295	1075.56233	24.43973	0.57414	7.49399	7.22081	6.97327	0.76755	6.27434	6.43493	1.00000	40.00498	6.83922	9.38572	5.46828
7.06620	7.72726	52.36689	28.58147	1107.04189	121.3152	0.48533	7.11656	4.71703	5.82191	14.14989	6.58859	9.95943	1.00000	26.11446	6.27393	22.17360	7.05283
6.84556	5.58101	48.11621	74.37725	1193.93733	24.95034	0.84825	6.68417	6.17988	8.44798	60.18427	6.84643	7.17226	1.00000	27.35334	6.02125	14.34485	7.38498
8.38851	6.31645	63.00366	49.16143	1176.70396	8.55552	0.45927	6.13771	6.52335	9.55563	40.72586	5.03006	8.11945	1.00000	73.95124	7.02956	5.25712	4.35661
3.35110	7.79683	66.77374	57.93177	1169.36625	115.8614	0.39718	9.26744	4.96918	8.27024	-31.95224	7.90552	6.84434	0.00000	55.58185	6.39941	21.42309	5.96798
4.32609	5.50093	59.70307	46.92424	1178.67680	-88.3162	5.81838	6.59742	6.54796	8.24662	42.24113	7.93917	8.28463	1.00000	38.85069	6.11574	17.33431	10.09668
6.58067	5.34874	54.01297	39.11320	1080.74432	-119.48568	1.21001	7.80524	5.31036	7.62967	49.88307	9.44763	9.68091	0.00000	52.92910	6.20804	7.75688	8.19148
4.65258	9.38396	65.15264	31.47601	1163.10382	120.74221	1.48994	7.24973	6.02476	3.89941	31.64615	10.16821	9.31009	0.00000	45.29070	5.67997	21.82344	8.44139
6.87925	6.88795	36.22090	25.84440	1076.96541	115.8614	1.41871	6.23570	7.51249	7.15628	-31.95224	5.92096	8.08761	1.00000	65.29753	4.99126	3.30388	8.53751
10.21593	5.17871	49.86940	49.32722	1154.33032	133.42825	0.50562	7.37662	6.17604	10.50450	45.47885	4.99620	6.93477	0.00000	32.96144	5.12680	12.06795	6.28416
5.03861	4.47546	62.48280	40.16499	1057.31060	-99.32556	1.17353	6.35971	6.34231	8.88366	19.32889	7.81175	6.84061	1.00000	52.73094	5.56806	20.01996	8.01613
9.90625	5.66224	84.62558	56.55239	1193.06677	-82.61573	0.28568	5.36610	8.18244	7.93522	41.24255	6.88166	5.12551	1.00000	61.85876	6.42185	27.02064	4.99290
4.37447	4.23731	50.41200	58.22180	1160.92721	38.07083	1.01892	7.81857	4.22654	8.92349	54.90083	9.27703	6.04271	1.00000	37.33427	6.07551	15.99385	8.02886
10.23616	4.00851	46.04999	53.24715	1059.06484	51.67462	0.32998	7.21743	7.69554	5.02189	32.65246	7.78936	6.86680	0.00000	51.64220	4.55031	21.49345	5.37169
8.82248	6.56891	44.27419	39.15136	1110.22769	0.57856	0.29147	5.88779	7.33234	9.35876	40.70995	4.43389	11.33813	0.00000	42.83582	7.01383	21.68914	4.20773
7.14465	7.12646	41.74469	29.36039	1073.69954	-0.2	0.44406	6.50897	7.13226	9.38057	51.65	5.86927	8.06993	1.00000	38.98296	4.21127	-4.66834	4.23511
10.77538	7.05341	23.31573	47.68887	1196.87632	46.10925	0.59530	7.04445	6.52478	10.55482	43.35071	4.36400	8.63785	1.00000	53.41042	5.56802	23.03105	6.92069
6.50557	8.51494	48.28603	32.08545	1169.06472	17.58522	0.73192	6.77613	5.54218	6.21599	40.53123	8.95674	7.90224	0.00000	66.34877	5.76897	24.96153	7.20189
5.54748	5.11935	55.87626	56.76632	1115.95444	35.96944	0.55678	7.27047	6.61248	7.80052	56.03361	7.76268	8.08412	1.00000	46.56192	5.38120	20.71968	6.69775
6.77654	4.80337	71.25331	44.63828	1169.55528	107.60627	0.49924	7.35243	6.78129	7.01028	51.82721	6.34865	6.61421	1.00000	26.37812	5.52285	23.46249	4.97229
6.88308	2.67542	46.66566	38.27730	1117.65792	2.59753	1.69744	7.89182	7.09406	7.07576	8.88649	8.36535	8.44024	0.00000	54.67469	6.57380	15.57074	8.51542
7.30597	3.80229	69.71090	28.50595	1101.82844	-73.81669	1.14595	6.55675	7.55769	8.96950	45.44868	7.89006	9.61766	0.00000	41.28007	6.11529	27.73763	7.99864
9.26139	3.60546	35.59779	44.81030	1058.36259	-122.39168	0.65781	7.53592	7.51456	6.16185	40.58654	4.96051		1.00000	55.97508	5.76003	-11.00096	6.87658
9.25395	8.12422	68.02400	32.34991	1123.28558	100.04427	0.60041	8.90716	9.54109	7.04544	13.8196	7.74150	4.46127	0.00000	72.24491	4.62909	16.88818	6.03534
3.73004	2.59897	49.12856	59.87560	1167.21128	35.96944	1.10649	5.55058	6.90060	9.92996	56.03361	8.87495	10.68467	1.00000	25.37172	4.92288	-1.26321	8.02629
3.91503	3.88017	28.21363	56.16794	1090.22117	5.23333	2.26202	5.53870	7.27008	9.65525	52.09	8.86462	8.10896	1.00000	54.12481	8.69637	8.45133	9.01953
7.92099	7.15987	48.25671	73.28425	1171.49218	65.50917	0.39688	6.97544	7.97799	10.16042	44.85278	6.82062	6.86992	1.00000	46.44328	6.14919	25.83674	5.97568
8.63774	5.07812	51.58598	47.59392	1125.95664	9.85	0.51368	6.98440	5.55027	6.71227	53.63333	7.26034	6.50178	0.00000	56.05326	7.27573	30.77766	6.72496
9.40733	6.63712	59.79426	54.07565	1137.73723	-1.47217	0.84521	4.84221	7.45511	6.07097	53.46506	7.38936	5.76917	0.00000	66.42704	6.34909	7.71408	7.25356
8.71592	4.34219	75.99838	59.10096	1060.64661	-7.32097	0.83863	6.92542	4.68661	6.50599	41.1053	8.93008	7.71141	0.00000	54.44040	6.55423	19.21081	7.09103
4.81958	5.29653	48.15084	37.47967	1099.01058	42.7125	1.09511	6.27738	7.13729	7.37896	11.15583	7.67602	10.07135	1.00000	43.03615	6.20970	22.16381	8.28199
3.05095	2.06976	50.33324	73.50007	1147.82631	-94.41551	5.74268	7.37973	6.92655	11.53033	39.09112	9.44818	6.94863	1.00000	54.09444	7.25320	8.72572	10.08999
6.55941	5.00531	52.41597	17.79046	1139.56904	8.4493	0.52148	7.06789	7.08973	8.07276	50.09019	6.95368	9.58591	1.00000	66.98520	5.99815	16.93905	6.72665
9.66566	6.49289	62.32534	64.08009	1165.94774	4.74161	0.59192	8.24121	5.13839	10.27136	7.62789	4.34505	8.88422	1.00000	56.00466	5.88445	19.17621	4.68335
7.40845	6.76222	45.54510	8.76458	1086.23702	120.4861	0.56645	5.68897	7.63690	8.72606	16.0438	5.76404	8.20219	1.00000	39.64785	5.99465	31.65613	5.32962
6.87057	7.99078	49.33668	59.93036	1069.04122	97.01124	0.40575	7.22901	5.96326	8.20611	17.30858	8.17619	8.34187	0.00000	30.70686	7.34608	18.59363	4.03529
7.07851	7.83647	63.10799	46.22413	1196.10022	29.47306	0.46823	6.25291	7.39086	8.01145	0.49113	7.05068	9.39810	0.00000	35.74442	7.31216	3.94237	5.71959
5.85630	3.10959	38.73223	60.96986	1122.47409	122.8637	0.86287	7.17632	4.97580	9.96773	9.3337	7.34097	8.34498	0.00000	38.54151	8.02753	-8.05694	7.78784
6.94869	5.62803	50.17281	58.89724	1075.15193	-67.15407	0.37767	7.03614	6.48487	7.56108	18.42745	6.38678	6.78278	1.00000	51.74106	4.97494	3.98176	6.19680
8.15808	4.85646	72.28161	44.97470	1109.31430	72.54566	0.40722	7.81848	5.74773	8.22478	29.69221	4.62844	8.14225	1.00000	54.96943	8.18646	-7.34347	5.21855
5.11834	3.90566	94.35348	52.55225	1138.28454	18.69303	0.37802	7.24744	6.04033	5.02676	12.18441	7.29649	5.66414	1.00000	71.27940	4.46034	23.22747	6.44442
4.40415	4.49083	80.31731	43.49530	1147.70703	-50.19556	5.25647	7.28713	5.69655	9.55169	-19.72806	8.50159	7.27059	1.00000	39.07973	6.75755	8.87039	9.95168
5.90690	4.75781	25.37556	45.28793	1076.26426	-88.81395	0.75836	6.02567	6.84143	8.21331	35.61452	7.70480	9.44646	1.00000	31.30368	7.22248	16.77138	
4.42729	4.36795	47.83026	36.83430	1059.77765	-88.27205	1.37913	6.14142	5.81983	8.79860	44.27804	8.55384	8.77658	1.00000	39.56192	7.10705	13.96895	8.03858
4.61852	7.63301	45.67721	68.72798	1168.97779	-93.75018	0.44549	7.61624	8.20229	9.53793	32.52515	7.15418	7.10020	0.00000	18.22533	7.40110	-2.14535	4.67032
7.02522	6.58486	48.66826	55.03141	1138.67169	120.89694	1.27650	4.82471	7.27853	8.97358	14.95472	8.74474	8.17671	0.00000	34.67265	7.05645	6.00037	8.20324
3.95523		41.89284	37.31399	1171.72692	-88.31476	1.18319	5.82208	6.99210	5.31783	36.61033	9.74666	7.96735	0.00000	51.22998	6.29664	11.10345	7.99324
6.53262	3.98952	67.93576	75.08198	1184.42939	-82.90375	0.42325	7.10915	6.30518	5.59717	32.54044	5.17034	8.24788	1.00000	66.67989	7.47979	14.98065	4.60988
5.48161	4.81697	58.88328	71.40628	1115.83629	9.00472	0.58199	6.49552	7.48356	8.15935	4.2475	8.20792	8.65476	1.00000	55.39887	6.50641	14.86195	7.00889
7.02182	6.85994	68.37729	41.53528	1120.94952	-88.27205	0.52302	4.82066	7.39550	6.77856	44.27804	6.63458	6.78845	1.00000	44.63139	7.06507	1.79240	6.60517
6.84815	5.98818	58.75422	29.54242	1057.04182	-87.88754	0.33969	6.09593	6.84080	8.84548	41.15376	5.58774	7.25450	1.00000	33.47379	5.61624	21.11448	4.29553
4.31461	4.37067	46.61321	47.15891	1179.45736	24.95034	0.36863	8.20972	7.39509	7.44846	60.18427	10.04582	6.44686	1.00000	19.40152	6.53729	10.69279	5.47962
6.01613	4.49746	24.68163	38.07654	1114.03417	74.3092	1.30726	6.24572	5.25835	9.07675	33.37526	6.88080	10.97237	1.00000	52.30994	7.05699	16.55495	8.42942
2.91853	7.75050	0.00000	42.76308	1156.76369	77.9129	0.36747	5.80178	5.10830	7.97009	25.6439	10.42861	5.80957	0.00000	65.56263	7.22222	15.76425	3.31986
2.23025	9.10696	37.38358	60.45158	1093.15540	97.01124	0.72871	6.98876	6.98186	6.51920	17.30858	9.18825	6.96048	0.00000	40.86022	7.58575	19.64703	6.85416
7.16196	7.71816	63.95965	30.67627	1185.92046	85.4265	1.21614	5.64640	7.59963	6.31984	55.8736	5.88468	8.10128	1.00000	64.03022	5.40998	22.37130	8.10752
7.75105	9.03104	69.12154	55.45361	1141.33434	100.04427	0.61084	5.89812	7.88987	7.46754	13.8196	8.54939	5.46146	0.00000	40.98906	6.77425	15.44391	7.00883
5.40283	4.81945	57.24294	54.08346	1065.16694	84.63445	0.77066	5.91107	8.20622	8.70135	24.81757	7.78055	7.35987	1.00000	33.55908	6.20236	18.58343	7.60657
5.25370	3.74471	45.33573	43.05271	1107.47062	3.64633	0.70664	4.86933	7.44515	9.15720	6.8485	8.19542	8.34713	1.00000	55.20590	7.08209	18.59813	7.52660
5.84123	5.01780	69.64201	48.01059	1092.78668	73.08333	0.59206	6.54076	6.18632	8.00309	19.21667	7.77542	9.95798	1.00000	33.73427	6.24803	18.23536	7.06281
6.27455	5.93177	66.50941	49.25529	1199.43009	46.83187	0.59269	8.55557	5.10510	7.52479	14.53767	7.01470	8.76344	1.00000	39.22711	6.12445	5.77259	6.99143
7.44586	5.38549	60.46158	14.65965	1082.36538	6.26667	0.68223	5.29428	7.05889	7.33867	51.21667	7.37223	5.15178	0.00000	56.31116	6.32914	24.95294	6.93483
5.89116	4.28996	51.81105	40.18142	1174.98532	-88.3162	3.72887		6.30938	7.96811	42.24113	9.94380	10.13594	0.00000	66.98342	5.82468	16.11517	9.64444
7.44266	4.48379	29.82939	23.56916	1083.85024	6.10237	1.17758	5.95583	6.03869	7.51473	46.18396	7.38479	7.67385	0.00000	44.30719	5.22233	4.54094	8.18459
5.95353	5.74064	64.02094	45.93354	1091.35920	73.97117	3.10777	7.32740	6.90608	7.04469	31.96258	7.46388	8.22831	0.00000	38.80408	6.96389	10.16657	9.45800
6.44129	4.40478	44.01064	55.07787	1082.02760	-73.95958	1.17534	8.46674	7.38476	9.69154	40.57788	6.75103	8.05078	0.00000	55.85340	6.95740	17.47951	8.15891
5.60144	7.15594	42.60362	47.79520	1141.34223	13.10984	0.40624	5.55465	4.58542	10.27339	51.30001	7.29099	6.90057	0.00000	54.85988	7.15668	26.60235	2.59441
4.50642	5.57437	29.39521	19.69088	1055.64255	44.53333	1.59557	7.78279	7.65829	7.61515	-22.9	9.12301	5.87112	1.00000	47.40920	7.66190	20.90995	8.63951
7.93369	6.61960	52.75481	41.82853	1132.37933	43.67663	0.55328	6.32659	7.91338	8.56779	53.53041	6.74290	7.29103	1.00000	51.87101	7.90667	26.47516	6.52312
9.00291	6.51271	43.35393	50.32821	1188.58705	-25.66689	0.33511	9.00982	8.87160	9.59212	37.74615	6.51256	7.00701	1.00000	73.99186	6.52923	17.39521	5.75279
5.12579	7.77039	33.08019	37.50168	1130.11969	-100.88023	0.48992	7.25607	6.30976	8.72784	20.21322	8.39071	6.94653	0.00000	45.84837	4.55495	6.79048	3.94971
8.74135	6.06760	37.82731	68.63692	1181.35675	9.15214	0.49118	8.29595	7.14657	9.44946	49.97704	5.48839	7.59174	1.00000	44.96953	7.87789	8.06577	3.96278
6.36876	4.84768	39.88390	51.34429	1110.56863	-58.70072	0.68017	6.61812	5.50344	7.76501	-34.74785	7.16393	5.80196	1.00000	65.10550	8.61316	19.28477	6.60284
