NOx	warning	H2CO	NH3	O3	PM2.5	longitude	CH4	SO2	PRES	CFCs	PM10	C2H3NO5	Pb	latitude	TEMP	CO	PAHs
6.18338	1.00000	47.39688	8.66437	6.83271	5.82848	7.02238	6.39776	7.72409	1191.64589	76.13250	6.67096	1.63273	58.53246	52.21099	11.49313	8.41470	9.97932
10.74212	0.00000	36.15888	7.49776	6.16436	6.33116	48.87498	7.57067	7.21978	1191.80336	63.71150	6.72322	1.90126	51.63258	38.45598	35.19177	7.70667	8.76454
5.59065	1.00000	35.81368	9.47931	6.27526	7.57824	78.27539	6.70933	7.33581	1151.59437	56.17468	5.09377	0.76956	49.78390	12.95629	3.42995	10.71182	5.63719
6.68015	1.00000	49.38776	8.50822	8.43422	5.12465	35.23388	8.34617	6.38967	1167.54799	75.28374	7.43808	2.93404	60.87116	31.78336	7.36984	12.25273	
4.80966	0.00000	57.22225	9.68372	7.59967	7.88254	-2.98884	8.02401	8.32829	1075.40430	61.55627	7.62185	3.01805	55.84884	43.32686	16.49612	9.88682	10.99338
4.93475	0.00000	40.62238	7.74851	9.03937	10.04696	4.85668	8.30548	7.80655	1116.36167	79.05898	6.57354	1.88471	61.44141	36.27462	20.96963	10.89750	7.57281
10.75664	0.00000	50.89653	5.80788	8.03405	3.44846	-1.98956	7.37369	5.41477	1115.39808	59.67494	5.72751	1.66816	40.50446	5.30383	2.19534	6.35749	10.14871
6.28999	0.00000	66.54573	7.27046	7.48692	8.13916	16.91667	8.24813	8.57068	1189.97374	62.80821	7.54270	3.05136	51.47878	-21.98333	3.25652	9.57184	7.22754
9.25803	0.00000	55.58781	6.99445	8.01572	6.30403	4.62744	7.87577	8.34521	1111.24326	67.03829	6.45288	1.51992	55.51164	36.06386	16.46241	7.57235	8.86603
6.46647	1.00000	60.21875	8.69098	6.78390	6.25532	4.69889	6.31211	5.39775	1170.68347	62.51106	6.49117	2.32698	64.19743	50.56149	15.40673	11.54522	4.83894
6.63547	0.00000	50.13106	9.78066	7.66375	8.28256	77.0202	7.34500	7.74073	1073.57866	74.65047	7.16209	2.35068	61.57635	43.41949	7.98053	9.63915	8.41203
7.94648	1.00000	27.45336	3.78758	6.71351	5.38927	77.54372	8.97284	7.17801	1132.21520	71.66440	4.34448	1.44243	46.21295	10.12268	13.79038	7.74173	7.40972
6.16295	1.00000	62.08191	9.26592	6.39386	3.75004	14.51472	8.71251	8.72470	1113.01300	57.71965	8.01813	3.14706	50.00501	35.89972	18.28193	8.81462	7.75117
6.30534	1.00000	63.05862	8.39699	6.55452	7.56652	73.85535	6.95456	7.50766	1055.60860	65.40625	4.92397	1.34793	60.76022	18.51957	27.69202	9.46318	4.02564
12.86787	0.00000	46.24836	8.94777	7.48409	5.59445	113.13148	5.69334	6.81305	1065.23794	77.07837	8.22794	4.01997	50.04602	23.02677	39.18954	8.46487	10.01173
3.54124	1.00000	44.17935	9.51484	6.90709	5.34202	3.39467	7.66641	9.06436	1072.87779	80.04095	5.30415	0.97590	70.82467	6.45407	4.18898	11.46720	6.08502
6.09155	0.00000	28.81596	3.67544	6.17120	7.56864	125.51176	7.31131	8.43871	1099.71020	74.37121	2.71344	0.83916	78.84124	42.64031	17.93979	7.23732	5.84561
6.79865	1.00000	40.36882	3.66892	9.38162	6.97850	117.55417	8.13214	8.17313	1163.50557	74.95250	4.51438	2.19859	48.54050	34.86472	7.96518	8.77194	7.63925
6.06383	1.00000	45.21493	7.86450	8.46455	4.89744	53.47103	7.51676	8.18164	1195.96571	61.80111	6.48755	1.98595	33.60436	54.48147	11.55069	5.43895	8.51549
6.71888	0.00000	45.11791	10.91215	8.04722	9.09280	36.73307	5.08383	6.31644	1144.32781	67.27159	6.04158	1.35865	42.12862	55.38752	8.99871	7.83768	11.23125
8.61350	0.00000	34.47760	6.69643	6.98743	7.07851	46.10925	6.08181	7.88375	1077.22230	74.32154	5.65545	2.10797	84.56663	43.35071	20.69610	7.80711	8.12093
9.24812	0.00000	52.44440	8.56296	9.35361	9.03056	-1.47217	6.93491	8.63248	1072.72525	65.59720	5.83110	2.16414	49.78008	53.46506	11.23856	9.35627	9.30687
11.78270	0.00000	51.35444	6.62634	7.89136	4.46965	4.74161	7.51493	7.08846	1084.02614	76.97370	8.43562	4.29866	70.52453	7.62789	-1.03547	8.01343	10.48663
11.34819	0.00000	57.63514	8.37537	9.21820	2.83719	46.10925	6.97282	6.02536	1102.98631	74.31998	4.97693	1.43651	53.68166	43.35071	18.88064	5.07108	11.77683
7.87624	0.00000	52.85854	9.83933	6.47127	8.98032	-76.72803	8.12409	9.66270	1102.91908	71.05764	5.82275	2.00479	52.99129	39.32288	16.79404	7.19454	10.30922
6.01280	0.00000	41.22419	8.82002	6.78866	8.81198	67.84222	7.57600	6.25725	1118.59419	91.51125	6.74928	1.60306	66.52211	40.11583	36.55900	9.59820	8.20256
8.33836	1.00000	37.63601	8.82859	7.43430	4.22575	-1.5443	6.24567	7.85537	1149.26750	70.26656	7.81169	3.76636	45.59401	50.75767	18.14320	9.07952	11.77123
7.78165	0.00000	68.06551	8.48765	7.18924	8.73704	13.10984	7.05505	8.36923	1134.88664	73.22648	6.80870	1.68159	55.71330	51.30001	4.16523	7.40240	10.27164
6.38354	1.00000	49.33525		7.98833	6.25985	89.20083	7.60728	9.61379	1127.77158	77.06288	5.17113	2.03010	72.69421	55.54028	0.51706	8.52179	9.47576
8.40931	1.00000	43.80260	4.99191	7.42779	5.13994	79.883	7.88443	7.84563	1128.33129	89.26758	7.33445	2.51899	47.96897	6.9909	33.91302	9.11196	8.78927
4.70361	0.00000	59.43453	7.63852	7.38268	9.99407	-60.1831	7.78063	7.55110	1128.29500	55.14830	4.61338	1.42851	52.44584	46.1351	33.42169	8.04763	8.30294
7.16537	0.00000	39.27928	9.27406	8.90357	8.42918	85.37752	7.42486	7.77578	1160.34097	71.73134	5.28992	1.75770	45.87008	22.10194	27.78015	7.68081	9.97448
6.49603	1.00000	38.77193	3.98867	8.38668	6.98781	65.93249	7.94726	7.78439	1118.23711	58.86300	4.85585	1.12569	57.44364	36.21544	15.20162	9.61357	7.66365
4.87688	0.00000	23.35927	4.69777	5.91608	8.72234	-88.81395	8.35049	8.84117	1087.26136	63.39802	4.69489	1.12410	58.98510	35.61452	26.26237	8.29813	8.97618
3.77998	1.00000	69.63618	8.38672	9.61193	5.09158	46.83187	9.27944	7.74278	1117.84766	70.98948	5.21171	1.38864	34.37712	14.53767	23.57658	8.30368	5.07431
5.70660	1.00000	32.25662	7.15083	6.80369	7.81703	-86.99666	7.66883	6.57920	1124.56287	78.79480	9.05301	8.18296	58.35694	33.45122	31.63258	11.79363	11.10844
8.60412	1.00000	56.88075	8.20817	9.15523	8.87292	-73.95097	6.95646	6.79311	1078.22415	83.68215	5.80018	1.76257	83.80099	40.72371	20.67649	4.31018	7.97418
7.60426	1.00000	64.19842	6.36796	7.82673	5.75567	78.27539	7.38795	7.44962	1149.37093	75.24360	6.43552	1.59952	43.89201	12.95629	29.48185	9.29341	9.51363
6.62199	1.00000	58.57714	6.70197	6.57557	7.17395	-69.96533	6.87385	5.50733	1057.02558	57.67318	5.76981	1.23057	54.35188	43.91452	3.42494	9.79806	10.05538
5.75986	0.00000	47.05533	8.34325	8.56001	9.26994	48.41667	8.23757	6.43818	1188.92955	65.59809	8.71724	5.41129	44.44308	-17.83333	4.42990	12.98698	5.96655
4.94603	1.00000	50.02596	8.20317	9.18154	8.09124	-81.77285	7.05076	9.73591	1195.99121	58.70774	7.77488		56.90023	28.54944	19.12389	11.50047	11.09916
8.32710	0.00000	47.63144	7.90920	6.92634	7.66138	24.14662	7.83190	5.44628	1171.80475	78.70794	6.15165	1.79866	44.94816	65.84811	-1.70152	5.44054	8.80763
5.74161	1.00000	55.66227	9.03967	8.55409	6.48403	8.73812	7.77530	8.23422	1086.68669	61.51528	5.88004	1.75258	54.34607	41.91886	1.45809	11.58135	4.97491
6.21936	0.00000	31.38503	4.22628	7.03671	7.13348	34.4587	8.69398	8.75629	1091.01114	77.33600	6.04936	0.99164	56.77512	-13.7804	18.54181	4.37605	8.24229
6.67774	1.00000	28.68502	7.66288	7.32597	6.12177	-87.66561	7.58528	9.22400	1157.84751	62.47256	5.88956	1.15835	39.36250	41.8542	29.13775	7.85558	9.36263
7.89244	1.00000	36.78350	8.25986	6.23303	8.05936	125.21972	5.89667	6.65873	1155.96040	83.95094	5.84354	1.52294	60.62752	-8.99167	11.37855	8.14631	5.58061
9.79649	0.00000	41.70794	8.65281	6.71258	7.25469	-58.38341	7.40544	6.55082	1059.94866	64.25054	6.94859	2.94371	61.16233	-34.64966	3.24716	5.21739	9.26451
6.34408	1.00000	57.50123	11.37627	8.51732	8.95575	-1.5443	7.36912	9.82905	1125.54466	69.54846	5.78840	1.33983	62.31896	50.75767	10.69865	7.72812	6.55478
6.32055	1.00000	41.25074	10.84866	6.37878	8.85475	-39.25	6.44983	6.50906	1193.83112	67.00001	5.41345	0.73341	67.98223	-12.91667	35.55143	8.91747	5.90621
4.32802	1.00000	35.87933	8.30926	8.21344	5.61432	7.973	8.11322	8.28462	1071.39919	84.68927	5.21914	1.70296	56.74448	51.168	10.26059	9.52794	8.49688
5.66824	0.00000	52.65879	9.42726	7.71518	10.26144	140.73667	8.23645	6.47260	1188.12561	70.96949	5.76330	1.26231	49.69064	41.77583	22.85434	9.38715	8.08772
7.58012	1.00000	35.16193	5.59049	7.25834	4.90441	-77.96389	8.04362	8.07046	1102.30462	67.97540	6.76893	2.75883	53.50865	39.45621	8.07264	7.42984	7.57190
7.89143	1.00000	57.36322	8.22182	7.27845	5.58099	117.65694	7.84137	9.50096	1118.98477	79.92459	7.71238	3.43709	56.78323	36.19278	15.01169	10.40063	3.60703
5.71335	1.00000	33.03030	6.04024	7.72984	7.13273	-84.20299	9.69718	7.81372	1105.93960	60.31283	7.37114	2.89732	66.20492	39.43534	30.48311	9.21580	8.73393
8.07674	0.00000	55.32730	9.09238	8.36895	8.60484	-1.05366	7.40051	7.34278	1088.95938	83.39008	5.98731	2.06925	58.73859	43.71032	6.44085	8.97346	9.00989
8.39180	1.00000	60.51117	6.95205	6.40618	3.41235	4.62744	6.31488	9.24397	1066.38269	70.84959	7.77681	3.77193	43.10702	36.06386	-6.23597	8.51032	10.17435
5.54015	0.00000	28.27442	6.46339	6.28268	9.80417	-117.23991	8.64678	6.27821	1132.80717	71.93487	6.20236	1.79524	49.38387	47.64995	-1.30401	9.71809	7.20429
6.44871	1.00000	50.37509	10.06351	6.18320	6.15528	-69.08333	6.61739	6.48529	1150.38561	62.44808	6.44551	2.23388	52.45192	-16.25	12.77908	7.62300	4.83577
5.74262	1.00000	43.98775	10.53516	8.30805	6.01213	137.23333	7.44829	7.60084	1163.34116	67.97601	6.80342	2.06559	71.92617	35.8	7.25835	7.65820	8.34333
7.65601	1.00000	28.10673	5.88077	6.95118	5.42955	-61.4867	6.56216	7.13689	1172.83280	69.29261	5.33564	1.79540	44.72043	-31.25033	40.61604	7.01704	8.10480
6.27906	1.00000	48.49753	10.69313	7.73578	8.30303	76.0586	7.42317	6.19600	1156.86794	77.91114	5.62935	1.37193	44.25641	16.06213	11.35794	7.38097	3.54286
9.08730	0.00000	51.44503	6.11664	5.82212	9.00814	77.54372	8.51922	8.09373	1064.09572	68.15379	8.24838	3.97291	68.94243	10.12268	16.00740	7.61161	7.06894
5.75970	0.00000	57.00689	9.80909	8.53529	8.26608	-79.2663	7.40283	6.34447	1174.85591	82.34879	5.95212	2.00623	64.80734	43.86682	37.15541	10.78761	8.85223
6.41834	1.00000	40.06380	6.78120	7.83881		34.33825	9.57359	9.27832	1193.88610	69.23831	7.10074	2.42335	62.38109	53.59782	-11.26451	9.12600	9.63739
6.07428	1.00000	31.49648	8.53181	7.72323	6.05238	-86.57415	7.34570	6.93028	1112.33680	69.95608	7.82868	2.80999	60.25474	15.48131	21.45091	9.62532	10.73315
5.39005	1.00000	32.75227	6.55340	6.62423	7.11625	-71.19901	6.73031	6.03989	1054.32251	58.27236	3.90608	1.24088	51.77127	-30.60106	13.98030	6.64284	7.52541
5.82941	1.00000	71.70748	6.54203	8.07650	7.06095	5.37429	6.75693	7.74025	1079.76252	59.37112	7.41914	3.05274	52.75259	51.03427	8.10014	10.88197	9.99753
4.77283	1.00000	72.03102	7.67208	8.35596	5.22161	122.8637	6.31120	8.27130	1162.79062	71.95502	5.83961	1.48689	63.23375	9.3337	42.71520	12.57126	6.46721
6.22560	1.00000	34.70724	10.63507	7.87105	4.21192	-80.31727	8.44204	7.45722	1099.51853	72.45785	9.00702	7.47676	76.52698	25.67927	25.15473	6.74401	10.49364
6.66511	0.00000	44.93210	7.66907	6.46101	8.89069	4.69889	9.12342	8.92206	1197.14186	95.98109	5.65937	1.15952	51.56859	50.56149	-1.67176	8.91387	8.52826
8.03564	0.00000	45.07632	5.99938	5.39828	8.53220	-78.87836	7.20196	7.10958	1154.94773	57.26257	7.03494	2.04193	23.83574	35.05266	7.29313	7.31693	7.30532
8.97961	1.00000	57.74167	7.01831	7.14816	6.36085	-75.69947	8.26506	8.14324	1128.59475	78.57280	7.25873	1.72429	72.91970	8.79577	5.32723	10.41762	5.07238
6.46618	1.00000	58.95479	4.54841	6.69845	6.67826	121.3152	8.15065	7.07468	1092.68655	89.05082	6.65126	2.46988	59.22631	14.14989	15.61330	8.54157	7.17203
5.85927	0.00000	57.29467	8.98341	7.63836	6.34178	-81.26367	7.06325	8.50508	1097.91168	67.93624	6.26815	1.02284	36.00196	28.90054	26.53387	13.45970	7.49417
8.64997	0.00000	56.22726	4.77698	7.48824	3.56893	98.6738	6.89200	7.76611	1145.60045	73.96644	4.79301	0.93913	43.36069	3.7278	24.19837	4.45704	10.05588
6.85727	0.00000	71.55116	6.22192	8.92776	7.98570	27.06365	6.83888	6.88428	1092.55371	77.68982	5.85293	2.27541	52.17000	50.18545	18.21278	10.22944	7.53889
10.42995	0.00000	34.10356	4.64749	7.52662	2.74433	178.00417	9.61720	8.41122	1149.13217	69.71138	6.78479	1.87537	52.53837	-38.65333	14.26787	6.31861	10.84025
4.83660	1.00000	29.27759	6.14791	7.99977	7.12013	-77.03116	7.04537	6.47218	1140.00150	72.70009	5.19383	1.64918	52.84693	3.8801	30.90876	8.30959	7.83085
6.66370	1.00000	47.65902	8.95718	7.56097	4.65821	-82.4017	9.08211	8.04245	1076.88854	62.29740	7.81723	2.96853	48.81454	23.0072	0.49593	9.29844	8.45794
7.32537	1.00000	46.54470	4.37753	9.21986	6.54507	69.01354	9.61577	8.06030	1078.90089	54.21930	2.57062	1.12288	33.40349	38.55632	17.12216	7.97723	7.69623
3.15227	1.00000	55.61215	9.46066	8.54142	5.35077	-79.59415	7.02960	7.40104	1137.70652	85.17903	4.87631	1.66455	55.55412	-2.13404	14.04309	10.27884	4.27018
9.77942	0.00000	44.16986	6.76391	8.73995	5.65107	-122.39168	5.49435	6.05713	1061.83863	69.09214	7.65488	3.27379	31.97043	40.58654	31.81989	6.90560	9.99884
6.43816	1.00000	37.05118	4.77754	6.09085	5.90345	0.30367	6.01715	7.36566	1083.24339	76.30394	6.30837	2.02422	65.12901	51.38673	13.00163	8.87083	8.03044
10.21747	0.00000	67.54942	7.72997	7.18279	5.82725	38.28402	8.42093	10.05451	1157.29598	54.01916	5.66108	2.35836	65.67080	34.5624	34.13837	7.06590	9.21900
5.85879	1.00000	38.89138	10.38367	8.66601	6.62997	12.6723	6.89885	9.28387	1132.86384	67.68576	6.38638	1.46466	66.28758	41.72063	23.35310	7.96673	5.81330
6.64766	0.00000	49.14304	7.40649	8.68931	6.86995	-79.59415	6.73341	8.54206	1062.58327	53.42222	4.80389	1.54763	36.62332	-2.13404	20.38656	5.26298	9.30065
5.92371	1.00000	42.50416	9.28428	8.20008	5.89893	6.61944	7.40167	9.27846	1162.07062	60.70704	6.82388	1.83419	56.91210	52.57583	32.21642	11.60846	7.31041
12.72608	0.00000	54.42028	6.80279	7.37011	4.95681	-78.87836	7.85412	7.56483	1119.22510	62.99944	9.63453	12.98166	59.77122	35.05266	10.33086	7.94046	10.36373
9.08358	1.00000	44.88881	7.81658	6.20776	7.65881	-87.70172	7.38404	9.66423	1057.37040	64.26664	6.81928	2.15898	38.89672	41.72059	26.01738	10.17024	5.78554
6.58092	1.00000	61.53553	8.73009	9.12012	5.60105	35.90057	8.19092	5.10237	1063.44926	57.84111	8.11809	3.90559	52.92048	56.85836	16.41512	9.83017	11.52966
7.52117	1.00000	57.11595	7.59559	6.14043	8.56455	6.51352	8.62429	8.88228	1060.28941	77.32197	5.02523	1.56996	45.79898	51.19139	16.37645	8.95898	2.93270
5.02194	1.00000	55.36820	6.36414	7.16687	6.32006	-3.05	6.91068	8.18934	1099.76833	58.07941	5.81481	1.45386	59.32638	53.81667	10.63461	8.40961	7.91833
5.04432	1.00000	65.52372	10.47038	7.85052	7.08682	137.23333	6.63676	6.29870	1102.88873	64.93013	5.47768	2.01732	34.26262	35.8	20.26798	9.13066	5.30331
6.69365	1.00000	38.63289	5.36578	6.36476	6.71630	109.22921	6.83720	8.71934	1082.97836	60.96688	6.57009	1.97786	35.30805	34.65918	-2.33935	9.93384	8.87798
8.77247	0.00000	54.03329	6.82676	9.92546	4.45952	56.36091	6.38086	7.43492	1120.43396	67.67843	6.39974	1.82223	72.47532	51.78771	22.13448	4.77206	11.17101
6.66898	1.00000	58.73720	5.68750	8.36411	4.87714	40.74357	7.40377	7.50187	1188.63067	72.70666	5.88124	1.87911	54.66799	37.31309	15.55361	6.80761	6.59077
6.41886	1.00000	59.06117	5.24126	8.96699	5.87017	-69.96533	7.10241	7.72237	1088.94527	74.43551	9.11891	8.04793	47.81264	43.91452	26.12388	9.92550	8.61923
10.13868	0.00000	35.03677	8.38296	9.48761	5.03752	8.73812	8.34248	7.35640	1198.34529	70.04618	6.12301	2.11670	31.24954	41.91886	32.48940	5.70714	10.53430
8.58335	0.00000	61.53794	7.94912	6.39124	7.81648	28.67582	8.90966	6.93647	1144.22979	54.78435	5.83145	1.65198		40.98894	31.90861	7.60714	8.15849
5.94575	1.00000	36.21743	4.79977	8.79765	8.09909	16.86194	9.06239	6.20318	1191.75691	78.69388	5.67175	1.77147	49.17175	54.58048	6.03329	10.39071	8.51791
8.62973	1.00000	52.73547	6.45324	7.38884	6.46761	59.6	8.56524	6.48659	1168.51526	65.44170	6.91052	2.24318	51.02829	47.83333	16.90238	9.21624	4.06065
7.59313	0.00000	42.09574	6.36371	8.90042	5.37373	-41.45861	7.79497	8.90851	1115.90229	63.48113	3.60001	1.21585	61.85934	-4.42472	0.89643	6.27368	8.81628
7.92464	0.00000	39.68866	10.08851	8.65066	8.24427	116.10146	7.95352	8.26886	1085.66683	60.68531	6.50416	1.58436	51.85066	5.90702	6.09222	8.07624	10.05447
9.39336	1.00000	43.41332	6.94304	7.69618	5.63428	-5.682	6.59847	4.85803	1088.40062	65.98892	7.87396	4.28199	46.80408	5.84752	24.55961	6.66513	6.83403
4.56412	1.00000	50.65911	7.55755	7.49470	5.65409	2.61667	6.11658	6.90540	1079.31289	60.13207	5.26271	1.94650	54.61478	48.98333	14.17981	9.80232	8.10159
6.36640	1.00000	48.31716	7.58848	8.50990	6.79629	-75.64963	7.04031	8.63790	1084.39068	72.30439	5.81201	1.72487	28.78011	40.24537	8.68099	9.80465	10.79846
5.91559	1.00000	32.07768	7.61319	8.99734	5.99570	121.12251	7.80345	7.56978	1080.14185	67.79528	5.34726	1.02171	27.04911	14.62578	10.09432	6.62847	7.93656
5.30802	0.00000	55.99622	11.02136	6.65099	10.57997	10.58082	7.95179	8.68439	1143.73672	88.03341	5.03092	1.48422	45.91863	35.72917	-4.67521	10.03214	10.02347
4.61436	1.00000	26.74675	9.97706	6.34017	6.05334	-111.89903	5.95585	7.28202	1073.49828	75.65132	5.97647	1.77401	59.80299	33.50921	14.69613	8.71521	7.13209
7.81800	1.00000	66.85577	7.07670	5.70456	4.27961	-70.92866	7.54409	8.99858	1141.27791	69.26664	8.25047	4.96068	41.15126	42.52787	17.61212	8.78005	7.04320
6.24459	1.00000	53.78144	8.26855	6.62918	7.31979	4.47124	8.49037	6.87113	1072.04991		5.22349	1.31214	59.83883	51.95838	21.59311	9.70199	6.84782
6.22283	1.00000	27.55402	5.60979	7.41317	6.58910	-111.90466	7.03128	5.12930	1197.93208	69.92799	7.13662	2.14621	26.39823	40.34912	10.54656	10.58429	9.79605
10.40540	0.00000	80.13941	9.52115	7.35402	6.68962	-58.44417	7.44932	7.68871	1190.23283	68.29255	7.78590	3.17201	64.07956	-3.14306	11.81227	6.88462	10.37658
6.34030	1.00000	62.65307	6.02951	5.66470	7.10530	29.24152	7.61621	7.21049	1128.20458	59.96144	4.34819	1.22266	66.22482	-26.93366	23.00850	6.32762	6.48475
7.10417	0.00000	58.90905	6.64414	9.17039	6.25088	-7.32097	9.79831	7.14133	1112.93004	76.98178	6.37829	1.96198	52.51682	41.1053	-0.06369	10.62206	10.95887
5.81777	1.00000	46.25470	8.22907	7.66218	5.26000	-69.96533	7.51120	8.44989	1059.53568	67.69140	6.23823	1.92969	59.65821	43.91452	4.93476	10.75199	3.15828
7.18951	1.00000	54.34122	7.98663	8.13698	6.19915	-156.47432	6.73800	7.67085	1096.12354	79.66543	6.52423	2.48353	59.15468	20.88953	10.34685	9.41099	6.71994
8.00943	1.00000	19.19045	11.02554	6.85948	9.25412	-118.03917	6.71374	7.94319	1095.19802	65.80739	6.32928	1.53829		33.95015	17.19496	9.07790	5.40920
6.12236	0.00000	57.07459	10.54900	6.32033	8.11985	1.10687	7.13773	6.81877	1052.73332	58.40295	4.87503	1.10889	48.30103	41.15612	3.41388	7.88549	10.67180
7.44192	1.00000	53.21348	6.65602	6.60125	5.68991	29.24152	5.78404	7.54929	1120.91350	74.18992	8.78995	6.09369	31.38788	-26.93366	7.32404	9.39515	9.70146
10.05937	0.00000	34.09900	6.50836	6.91227	4.75581	7.973	9.92682	6.76280	1081.71479	68.15085	6.25806	1.58903	56.62743	51.168	4.18692	6.84509	9.87792
6.20548	1.00000	60.18254	8.71528	6.11265	5.87565	-65.71875	8.38392	8.29859	1143.82426	54.85342	8.33308	4.45132	65.24929	-21.44345	21.34993	8.51318	9.97656
8.36503	0.00000	55.17529	6.68463	7.92451	6.46146	141.95	5.88279	6.39309	1125.10339	60.24809	4.64010	0.96450		39.46667	10.39303	6.16330	8.44960
6.92531	1.00000	57.36608	7.42523	7.41539	5.23103	37.55	8.02694	8.05255	1139.13173	70.62180	6.77231	2.50310	41.74426	6.03333	2.35364	8.16064	5.12626
9.98446	0.00000	60.87511	9.18855	7.25714	7.12793	117.59152	7.97837	8.16740	1081.20625	72.14416	5.38624	1.84592	59.66293	3.31332	15.29520	7.33280	8.72900
7.43382	0.00000	36.34531	8.71385	6.63803	9.51296	24.43973	8.10358	7.19033	1196.35442	53.35743	6.03956	1.40666	68.12402	0.76755	5.73780	8.72100	8.56614
8.58391	0.00000	58.43311	9.44631	7.66879	6.99890	67.84222	7.34739	7.66874	1066.17390	65.58397	5.62849	1.64271	68.85507	40.11583	-8.03850	5.87705	11.17779
5.12209	1.00000	50.54227	7.00802	7.54650	7.54465	112.01667	7.83614	8.40811	1116.43382	63.32617	5.93500	1.29991	44.00411	-7.81667	2.86251	9.23801	8.87735
10.92294	0.00000	39.99884	9.38509	8.64206	3.37628	29.41824	7.84077	7.19544	1122.31894	66.12338	5.19951	1.57795	57.75438	45.99194	28.58106	4.28211	11.96910
8.13219	0.00000	70.50980	9.85133	8.36120	8.86511	-71.06616	7.78574	5.81219	1154.68564	58.73992	7.23826	3.05406	48.46568	42.4251	12.37730	8.18275	9.35952
4.30988	0.00000	49.61225	8.93221	6.87828	8.53131	152.70493	8.05642	7.05496	1193.55372	85.10695	4.22517	1.45577	45.36107	-25.54073	7.83631	7.03496	10.22161
6.89061	0.00000	38.82203	14.38786	5.78971	11.32785	-65.61427	8.17414	7.57521	1188.57548	59.87708	7.16381	1.85322	33.91482	-27.4338	19.51492	10.17179	9.78957
6.36993	1.00000	65.48164	9.92207	8.68469	6.69234	126.835	7.53274	7.54080	1061.29655	59.77839	6.44203	1.82667	42.60523	37.65639	18.68236	9.59190	3.62196
8.38351	0.00000	58.77212	4.85639	9.17829	4.64964	-121.75689	7.03516	7.79200	1112.80216	69.84834	7.39444	2.68091	63.58541	36.91023	15.12972	4.86091	10.63828
5.09018	1.00000	85.23831	8.70783	7.26087	5.86408	-2.01111	7.79968	7.15469	1166.86431	60.07268	5.59246	1.64610	68.18760	52.66277	7.01118	6.73639	8.33848
