code	QoS	latitude	revision	station	longitude
RU	accep	55.39485	2020/09/01	Arzamas	43.83992
IN	accep	26.76628	2021/08/18	Gorakhpur	83.36889
CN	excellent	41.94175	22 Aug 2021	Hushitai	123.50266
JP	good	35.815	25 Apr 2014	Shimotoda	139.6853
DE	average	51.168	14 Nov 2020	Finnentrop	7.973
US	maintenance	34.25807	2012-12-08	Tupelo	-88.70464
US	accep	39.96097	2017/06/19	West Chester	-75.60804
IN	accep	18.87813	08/16/2014, 00:00:00	Uran	72.93924
MM	building	17.30858	02 Aug 2021	Kyaikto	97.01124
LT	maintenance	55.25	10/14/2019, 00:00:00	Ukmerge	24.75
UZ	excellent	40.11583	2021/09/12	Jizzax	67.84222
US	excellent	40.57788	19 Nov 2012	Brighton Beach	-73.95958
US	excellent	33.54428	2016-08-30	Stockbridge	-84.23381
CA	excellent	46.1351	2022/08/29	Sydney	-60.1831
MX	maintenance	19.64745	13 Nov 2018	Paracho de Verduzco	-102.04897
IN	excellent	19.21667	11/13/2012, 00:00:00	Dombivli	73.08333
IT	excellent	37.51803	2016-05-22	Misterbianco	15.00913
VE	accep	10.22677	09/08/2013, 00:00:00	La Victoria	-67.33122
US	average	33.54428	05/12/2019, 00:00:00	Stockbridge	-84.23381
IN	acceptable	22.10194	07 Jan 2021	Barbil	85.37752
DE	good	52.47774	06/14/2018, 00:00:00	Gifhorn	10.5511
US	excellent	37.73604	2014/05/18	Riverbank	-120.93549
ES	average	37.13548	11 Jan 2018	Las Gabias	-3.67029
MX	building	22.49396	04/01/2016, 00:00:00	Acaponeta	-105.36369
BR	maintenance	-17.74431	2021/05/31	Caldas Novas	-48.62789
TH	good	14.64056	2020/11/27	Kantharalak	104.64992
CU	excellent	23.15678	08 Nov 2017	Varadero	-81.24441
ID	average	-1.26424	24 Sep 2019	Simpang	104.09701
TZ	average	-7.76667	2016/02/14	Iringa	35.7
US	excellent	42.16808	2017-01-08	Huntley	-88.42814
BE	average	50.8	23 Jan 2018	Wevelgem	3.16667
RU	excellent	53.14657	2014-08-29	Nikolayevsk-on-Amure	140.72287
RU	good	53.77166	17 Aug 2020	Bogoroditsk	38.12408
US	average	41.0051	2016/10/23	Scarsdale	-73.78458
IT	excellent	41.72063	2015-12-07	Ariccia	12.6723
ES	accep	27.76056	2020-04-13	Maspalomas	-15.58602
GB	accep	51.38673	03/08/2014, 00:00:00	Hartley	0.30367
US	excellent	41.55838	2019/11/28	Collinwood	-81.56929
VE	average	10.22677	2018-11-24	La Victoria	-67.33122
ES	good	38.96667	07/17/2013, 00:00:00	Gandia	-0.18333
JP	good	36.33011	2014-09-24	Annaka	138.89585
CU	maintenance	23.15678	2022/05/03	Varadero	-81.24441
BR	excellent	-22.92306	2016-04-20	Loanda	-53.13722
BR	excellent	-11.48472	09/07/2019, 00:00:00	Rio Real	-37.93278
DZ	accep	36.76639	2019-09-14	Boumerdas	3.47717
CN	maintenance	34.85	2021/10/07	Taozhuang	117.33333
ET	accep	6.03333	05/21/2021, 00:00:00	Arba Minch	37.55
CI	good	5.84752	2013/07/08	Lakota	-5.682
ID	good	3.3285	09/10/2019, 00:00:00	Tebingtinggi	99.1625
US	accep	38.91817	2012-10-01	Front Royal	-78.19444
KH	maintenance	13.65805	28 Sep 2019	Paoy Paet	102.56365
KZ	average	47.46657	2021-04-17	Zaysan	84.87144
US	average	40.81	2016/01/19	Morningside Heights	-73.9625
MD	average	48.15659	08/25/2019, 00:00:00	Soroca	28.28489
CN	accep	27.34089	07 Mar 2015	Shaowu	117.4831
US	good	44.73941	2017-11-08	Rosemount	-93.12577
GB	accep	50.75767	09/09/2013, 00:00:00	Lymington	-1.5443
CN	good	34.86472	2015/07/23	Zaozhuang	117.55417
GB	average	55.82885	2021-06-13	Rutherglen	-4.21376
DO	building	18.20854	2016-08-22	Santa Cruz de Barahona	-71.10077
IT	maintenance	45.79377	2021-04-11	Malnate	8.88104
IN	accep	22.19303	24 Mar 2014	Diamond Harbour	88.18466
US	good	47.76232	05/27/2017, 00:00:00	Bothell	-122.2054
US	accep	41.57721	2013/11/16	West Des Moines	-93.71133
PH	good	14.62578	03/02/2020, 00:00:00	Antipolo	121.12251
NL	average	51.95838	10 Apr 2020	Schiebroek	4.47124
DE	excellent	48.35149	26 Oct 2021	Hechingen	8.96317
CN	maintenance	36.81667	2019-08-01	Zhoucun	117.81667
MX	excellent	17.06542	2015/03/04	Oaxaca	-96.72365
IN	excellent	21.53889	2012-12-17	Gariadhar	71.57737
JP	accep	35.8	18 Feb 2017	Gero	137.23333
ID	accep	-7.81667	09 Jun 2013	Kediri	112.01667
IN	accep	26.32293	11/15/2018, 00:00:00	Barpeta	91.00632
ID	average	-7.51611	13 Aug 2013	Wangon	109.05389
CN	excellent	30.35028	07/06/2017, 00:00:00	Jingzhou	112.19028
IN	excellent	24.41288	2021-09-03	Aklera	76.56719
US	accep	33.72255	2019/05/30	Palm Desert	-116.37697
MX	good	20.21322	12/29/2012, 00:00:00	Salvatierra	-100.88023
MX	good	21.01858	2022/09/13	Guanajuato	-101.2591
IN	excellent	25.66795	2015/05/06	Dalsingh Sarai	85.83636
RU	excellent	54.8421	06 Sep 2017	Alatyr’	46.5813
CO	average	5.20856	2017/02/12	Honda	-74.73584
DE	average	53.63333	2014/11/02	Halstenbek	9.85
JP	good	33.4425	2020-05-23	Karatsu	129.96972
PE	excellent	-11.94306	20 May 2016	Chosica	-76.70944
MD	excellent	48.15659	08/20/2019, 00:00:00	Soroca	28.28489
US	accep	34.63915	04 Jan 2018	Lompoc	-120.45794
IN	excellent	22.10194	04/22/2017, 00:00:00	Barbil	85.37752
BR	good	-21.42917	2020/09/06	Alfenas	-45.94722
CM	maintenance	4.2475	2021-08-24	Idenao	9.00472
DZ	building	36.76775	02/22/2017, 00:00:00	Cheraga	2.95924
IT	excellent	36.92574	2018-10-03	Ragusa	14.72443
TZ	accep	-4.83	04/08/2015, 00:00:00	Mwandiga	29.65806
DE	average	51.30001	2021/08/16	Oschatz	13.10984
BR	maintenance	-19.32556	2019/02/11	Resplendor	-41.25528
BR	excellent	-22.97056	08 Sep 2013	Valinhos	-46.99583
FR	accep	41.91886	11/06/2015, 00:00:00	Ajaccio	8.73812
GB	average	50.7236	2015-09-22	Exeter	-3.52751
IT	average	45.53069	06/08/2018, 00:00:00	Gorgonzola	9.40531
CU	average	23.15678	29 Jan 2015	Varadero	-81.24441
MZ	average	-23.85972	03 Feb 2021	Maxixe	35.34722
US	good	33.08014	2018-12-09	Milledgeville	-83.2321
MM	good	17.30858	19 Dec 2016	Kyaikto	97.01124
VE	excellent	8.62261	03 Nov 2014	Barinas	-70.20749
EC	excellent	-2.13404	2013-09-27	Milagro	-79.59415
BE	maintenance	50.8	2015/06/11	Wevelgem	3.16667
BR	average	-4.24444	26 Feb 2020	Barras	-42.29444
JP	accep	35.82756	2016-01-11	Ina	137.95378
TH	average	13.51825	04 Dec 2020	Damnoen Saduak	99.95469
PE	average	-16.25	2020/02/20	Yunguyo	-69.08333
TH	maintenance	13.51825	2016-08-28	Damnoen Saduak	99.95469
UA	average	47.48444	12/24/2020, 00:00:00	Polohy	36.25361
CN	accep	30.24706	2017/08/29	Huangshi	115.04814
DE	building	53.59337	04 Jun 2022	Stade	9.47629
AU	excellent	-32.05251	2019-04-10	Willetton	115.88782
ID	accep	-7.0981	12/15/2013, 00:00:00	Randudongkal	109.3243
GB	excellent	51.26	12/23/2015, 00:00:00	Westbury	-2.1875
MD	maintenance	48.15659	28 Aug 2013	Soroca	28.28489
SY	acceptable	34.5624	2015/01/24	Tadmur	38.28402
CA	maintenance	42.8334	06/30/2016, 00:00:00	Norfolk County	-80.38297
US	average	31.76212	2021/03/13	Palestine	-95.63079
IN	accep	30.81383	2021/07/18	Moga	75.16878
US	maintenance	41.80753	2017-08-02	New City	-87.65644
MT	accep	35.89972	2019/06/03	Valletta	14.51472
DZ	good	35.21222	09/11/2016, 00:00:00	Ksar Chellala	2.31889
FR	accep	48.98333	2019/05/04	Mitry-Mory	2.61667
CO	excellent	5.6561	13 Sep 2016	Andes	-75.87877
US	maintenance	41.8542	2014-07-08	Lower West Side	-87.66561
ID	building	-7.81667	06 Jul 2021	Kediri	112.01667
NL	accep	52.14	12/22/2019, 00:00:00	Barneveld	5.58472
PH	average	9.3337	01/05/2021, 00:00:00	Santa Catalina	122.8637
GB	good	51.65	2020-12-19	Barnet	-0.2
CD	average	0.76755	04/18/2015, 00:00:00	Yangambi	24.43973
US	accep	42.93369	2020-09-13	Keene	-72.27814
TZ	good	-7.60361	19 Jun 2014	Kidodi	37.00438
RU	excellent	65.93381	12/13/2013, 00:00:00	Aykhal	111.4834
ES	good	39.96348	11/12/2012, 00:00:00	Talavera de la Reina	-4.83076
TJ	building	38.55632	2013-08-20	Vahdat	69.01354
MM	accep	14.0823	06/24/2018, 00:00:00	Dawei	98.19151
CO	average	4.73245	05 Aug 2020	Madrid	-74.26419
KR	excellent	36.20389	2018/06/07	Nonsan	127.08472
CA	accep	45.40008	23 Mar 2016	Sainte-Catherine	-73.58248
CO	building	10.15031	2013/04/12	El Copey	-73.9614
MX	accep	20.21322	2021/10/28	Salvatierra	-100.88023
IN	average	23.1959	14 Jan 2021	Kenda	86.51499
RU	excellent	53.37596	2020/09/18	Otradnyy	51.3452
US	accep	41.8542	28 Jan 2018	Lower West Side	-87.66561
RU	maintenance	65.93381	2020/01/22	Aykhal	111.4834
CN	maintenance	32.50611	2015-02-17	Jiangyan	120.14278
CO	excellent	7.83389	2016-08-05	Villa del Rosario	-72.47417
FI	accep	60.18427	14 Jul 2020	Kallio	24.95034
ID	good	-6.8048	2016/02/14	Kudus	110.8405
US	accep	41.84364	06/20/2016, 00:00:00	South Lawndale	-87.71255
RU	good	55.75556	09/29/2018, 00:00:00	Ozersk	60.70278
NL	good	52.71083	16 Nov 2019	Emmeloord	5.74861
PA	accep	9.15093	18 Oct 2021	Chilibre	-79.62098
US	average	35.05266	08/31/2019, 00:00:00	Fayetteville	-78.87836
FR	good	43.71032	2017/02/24	Dax	-1.05366
RU	average	43.35071	09/19/2019, 00:00:00	Gudermes	46.10925
AU	accep	-33.75881	01/07/2019, 00:00:00	Baulkham Hills	150.99292
US	good	25.67927	07/29/2021, 00:00:00	Kendall	-80.31727
RW	accep	-1.9487	2018-11-01	Rwamagana	30.4347
GB	excellent	50.75767	15 Jan 2013	Lymington	-1.5443
TR	good	39.22493	2014-07-12	Patnos	42.85693
IN	good	19.21667	2017/08/18	Dombivli	73.08333
BR	good	-10.90889	18 Aug 2014	Barra dos Coqueiros	-37.03861
BR	accep	-10.90889	07 Feb 2017	Barra dos Coqueiros	-37.03861
CN	excellent	23.73333	2021-08-13	Heyuan	114.68333
FI	excellent	65.84811	2017/04/04	Tornio	24.14662
MA	average	33.43443	03/05/2022, 00:00:00	Azrou	-5.22126
RU	average	53.77166	2013/09/20	Bogoroditsk	38.12408
ZA	accep	-24.19436	07 Jan 2020	Mokopane	29.00974
RU	excellent	55.63711	08/21/2020, 00:00:00	Solntsevo	37.38115
US	average	41.85059	21 Dec 2013	Westchester	-87.882
US	good	41.85059	2019/01/02	Westchester	-87.882
US	excellent	36.91023	2016/12/24	Watsonville	-121.75689
BE	excellent	50.88506	2019/09/23	Denderleeuw	4.07601
KR	building	36.6009	10 Jun 2015	Hongseong	126.665
PH	accep	10.20898	21 Jul 2019	Naga	123.758
US	maintenance	37.52487	2013/06/27	Bon Air	-77.55777
PK	good	31.82539	2014-03-20	Sillanwali	72.54064
BR	excellent	-3.20333	03 May 2021	Altamira	-52.20639
KR	good	37.1759	2013-05-05	T’aebaek	128.9889
GB	excellent	53.69786	21 Sep 2013	Leyland	-2.68758
US	good	40.34912	2018-05-30	Saratoga Springs	-111.90466
CA	excellent	45.40008	24 Aug 2019	Sainte-Catherine	-73.58248
BD	accep	23.9028	15 Aug 2017	Kushtia	89.11943
GB	excellent	55.82885	2019-03-18	Rutherglen	-4.21376
GB	maintenance	53.81667	2020-09-23	Blackpool	-3.05
US	excellent	39.96097	2019/10/25	West Chester	-75.60804
RU	excellent	58.04254	17 Mar 2015	Tavda	65.27258
JP	good	41.77583	08/12/2019, 00:00:00	Hakodate	140.73667
CN	average	27.92333	14 Jul 2022	Pucheng	118.53333
US	maintenance	44.99012	2020-04-21	Keizer	-123.02621
IT	good	43.78956	03/24/2020, 00:00:00	Ventimiglia	7.60872
IN	average	15.45144	08/16/2018, 00:00:00	Betamcherla	78.14797
NA	building	-21.98333	2020/08/19	Okahandja	16.91667
MA	building	33.43443	04/19/2016, 00:00:00	Azrou	-5.22126
UA	excellent	50.75932	07 Jul 2022	Lutsk	25.34244
NG	good	6.45407	2022/02/10	Lagos	3.39467
US	average	44.99012	07 Jun 2017	Keizer	-123.02621
US	excellent	42.7392	2022-02-02	Waverly	-84.62081
IT	average	41.24264	05/21/2020, 00:00:00	Bisceglie	16.50104
CL	good	-36.9256	07 Jul 2021	Chiguayante	-73.02841
FR	excellent	48.8765	2022-06-11	Rueil-Malmaison	2.18967
DE	good	48.06919	21 Aug 2019	Gauting	11.37703
US	good	44.73941	05 Feb 2015	Rosemount	-93.12577
DE	good	51.168	02/28/2016, 00:00:00	Finnentrop	7.973
IT	accep	45.53069	20 Mar 2021	Gorgonzola	9.40531
US	maintenance	29.53885	09/20/2019, 00:00:00	Fresno	-95.44744
AR	good	-31.25033	2013-06-29	Rafaela	-61.4867
RU	excellent	53.14657	16 Nov 2021	Nikolayevsk-on-Amure	140.72287
CN	excellent	40.66482	2018/11/27	Yingkou	122.22833
DE	building	47.98372	26 Apr 2022	Memmingen	10.18527
IQ	excellent	32.61603	2012/11/22	Karbala	44.02488
DE	accep	51.19139	01/20/2017, 00:00:00	Korschenbroich	6.51352
NZ	excellent	-44.39672	09/13/2015, 00:00:00	Timaru	171.25364
IT	average	37.51803	2020/07/15	Misterbianco	15.00913
IR	excellent	36.64852	01/06/2015, 00:00:00	Nowshahr	51.49621
IN	excellent	26.11527	09/17/2015, 00:00:00	Supaul	86.59509
PG	excellent	-5.85746	02/06/2022, 00:00:00	Mount Hagen	144.23058
CO	excellent	7.83389	15 Jan 2020	Villa del Rosario	-72.47417
BY	maintenance	55.1904	09/14/2022, 00:00:00	Vitebsk	30.2049
RU	excellent	53.77166	06/10/2018, 00:00:00	Bogoroditsk	38.12408
UA	maintenance	45.99194	2015/03/03	Artsyz	29.41824
US	building	39.96097	22 Nov 2019	West Chester	-75.60804
ES	excellent	37.49073	2015-03-21	Baza	-2.77259
MM	building	17.30858	2016/09/18	Kyaikto	97.01124
FR	average	48.8222	02/29/2020, 00:00:00	Le Chesnay	2.12213
IT	accep	45.53069	01/04/2021, 00:00:00	Gorgonzola	9.40531
US	excellent	44.99012	2014-04-18	Keizer	-123.02621
PE	average	-16.25	2018-02-23	Yunguyo	-69.08333
CN	excellent	46.51872	2021/06/06	Hoxtolgay	86.00214
CN	maintenance	40.85158	06/15/2013, 00:00:00	Haicheng	122.74754
GA	excellent	-1.63333	24 Dec 2015	Franceville	13.58357
GB	good	53.46506	2019-05-04	Chapletown	-1.47217
PH	average	10.20898	03/04/2020, 00:00:00	Naga	123.758
US	average	31.76212	2013-02-08	Palestine	-95.63079
UA	excellent	49.41029	2018-03-17	Svatove	38.15035
PH	average	16.0438	2014-12-12	Manaoag	120.4861
CL	average	-36.9256	2022/07/03	Chiguayante	-73.02841
RU	excellent	54.39304	08/28/2021, 00:00:00	Bavly	53.26023
AU	accep	-31.95224	20 Jun 2014	Perth	115.8614
BE	maintenance	51.12794	05/08/2020, 00:00:00	Temse	4.21372
IN	good	32.55531	04 May 2019	Chamba	76.12647
US	building	35.88264	2013/03/07	Thomasville	-80.08199
BW	good	-21.44236	28 May 2014	Tonota	27.46153
ID	excellent	3.7278	2022/05/09	Labuhan Deli	98.6738
IN	accep	21.46527	2013/03/24	Sambalpur	83.97573
PL	excellent	50.5107	03 Jul 2018	Strzelce Opolskie	18.30056
UA	average	51.67822	2019/12/02	Hlukhiv	33.9162
TR	good	40.1675	2021-10-15	Sungurlu	34.37389
US	excellent	31.84568	2013/03/09	Odessa	-102.36764
EC	accep	-2.13404	2017/10/10	Milagro	-79.59415
ES	accep	43.31667	2013/08/07	Gernika-Lumo	-2.68333
RU	good	55.54028	03 Feb 2013	Sharypovo	89.20083
US	maintenance	40.72816	2017/01/12	Jersey City	-74.07764
DE	accep	47.98372	13 Dec 2016	Memmingen	10.18527
AU	accep	-37.88333	11/16/2021, 00:00:00	Carnegie	145.06667
US	average	41.57721	2020-04-08	West Des Moines	-93.71133
GB	excellent	53.49389	2021-10-13	Mexborough	-1.29243
TL	excellent	-8.99167	05 Apr 2020	Maliana	125.21972
BG	maitennce	42.7	2014/01/09	Aytos	27.25
IT	good	36.92574	10 Jun 2020	Ragusa	14.72443
FR	maintenance	48.77644	01/26/2014, 00:00:00	Sceaux	2.29026
BD	maintenance	23.9028	2013/05/21	Kushtia	89.11943
KR	average	37.65639	2021/09/15	Goyang-si	126.835
GB	good	53.00974	11 Aug 2021	Rhosllanerchrugog	-3.05814
IT	building	40.92298	08/21/2015, 00:00:00	Afragola	14.30935
CN	accep	34.85	2017/06/02	Taozhuang	117.33333
US	maintenance	41.24255	2018-02-13	Norwalk	-82.61573
DJ	good	11.15583	10/16/2013, 00:00:00	'Ali Sabieh	42.7125
RU	accep	64.5635	2012-11-11	Severodvinsk	39.8302
BR	building	-10.95817	2017/11/14	Tucano	-38.79084
US	average	36.91023	19 Oct 2020	Watsonville	-121.75689
US	average	44.73941	2015/11/11	Rosemount	-93.12577
BY	building	55.1904	30 Dec 2013	Vitebsk	30.2049
IN	excellent	24.05979	02/04/2019, 00:00:00	Leteri	77.40858
BR	average	-4.16694	08/06/2021, 00:00:00	Guaraciaba do Norte	-40.7475
NG	maintenance	6.45407	21 Oct 2015	Lagos	3.39467
ET	excellent	6.03333	2016-06-22	Arba Minch	37.55
GB	excellent	50.79205	09/15/2017, 00:00:00	Southsea	-1.08593
MX	average	20.22816	22 Jan 2017	Zacoalco de Torres	-103.5687
IN	accep	22.19303	2019/06/24	Diamond Harbour	88.18466
US	accep	33.44872	2014-05-20	Vestavia Hills	-86.78777
US	building	39.72943	2019/04/03	Aurora	-104.83192
