code	latitude	QoS	longitude	revision	location
JP	33.3213	accep	130.94098	2021/05/03	Asia/Tokyo
RU	64.5635	maintenance	39.8302	2015-10-16	Europe/Moscow
CO	5.6561	accep	-75.87877	2016-09-12	America/Bogota
US	34.77453	good	-96.67834	2015-12-24	America/Chicago
NG	7.65649	excellent	4.92235	2020-07-29	Africa/Lagos
NZ	-38.65333	excellent	178.00417	2017/03/19	Pacific/Auckland
CL	-36.9256	good	-73.02841	2020-07-13	America/Santiago
AR	-37.32167	good	-59.13316	2021/08/17	America/Argentina/Buenos_Aires
US	33.50921	building	-111.89903	14 Dec 2015	America/Phoenix
ET	11.85	good	38.01667	11/12/2012, 00:00:00	Africa/Addis_Ababa
RU	51.4781	building	57.3552	15 Aug 2015	Asia/Yekaterinburg
RU	51.78771	good	56.36091	2013-11-10	Asia/Yekaterinburg
US	39.32011	excellent	-76.51552	04 May 2015	America/New_York
CO	5.6561	good	-75.87877	07 Dec 2016	America/Bogota
NG	7.50251	building	5.06258	2014/09/09	Africa/Lagos
MT	35.89972	average	14.51472	10/15/2016, 00:00:00	Europe/Malta
KG	40.93333	accep	73	2016-12-31	Asia/Bishkek
US	32.54044	accep	-82.90375	06/24/2013, 00:00:00	America/New_York
PT	37.08819	excellent	-8.2503	2013-12-19	Europe/Lisbon
US	44.27804	good	-88.27205	2021/10/14	America/Chicago
US	34.25807	building	-88.70464	2013/08/01	America/Chicago
BR	-20.25333	accep	-43.80139	11 May 2018	America/Sao_Paulo
IN	21.53889	excellent	71.57737	02 Sep 2021	Asia/Kolkata
IN	19.21667	maintenance	73.08333	12/04/2020, 00:00:00	Asia/Kolkata
US	31.12406	average	-97.90308	2013-08-05	America/Chicago
IT	45.50369	excellent	11.412	2022/02/19	Europe/Rome
SY	35.95664	good	36.7138	03/19/2020, 00:00:00	Asia/Damascus
NG	7.62789	good	4.74161	2013/05/06	Africa/Lagos
US	32.54044	good	-82.90375	03/17/2020, 00:00:00	America/New_York
RU	53.93361	building	37.92792	2017-02-23	Europe/Moscow
PT	38.72706	good	-9.24671	29 Apr 2017	Europe/Lisbon
RU	54.8421	accep	46.5813	07/13/2022, 00:00:00	Europe/Moscow
FR	48.90982	average	2.45012	01 May 2018	Europe/Paris
DZ	36.06386	building	4.62744	2021/02/22	Africa/Algiers
RU	55.75556	good	60.70278	2015/12/09	Asia/Yekaterinburg
CN	37.65181	average	120.33063	07/20/2020, 00:00:00	Asia/Shanghai
SY	35.95664	average	36.7138	2020-08-28	Asia/Damascus
GB	53.46506	average	-1.47217	2019/07/23	Europe/London
RS	44.22639	good	22.53083	07/26/2015, 00:00:00	Europe/Belgrade
TZ	-2.68333	excellent	33	2022-05-07	Africa/Dar_es_Salaam
US	41.27621	accep	-72.86843	2015-10-06	America/New_York
PH	12.35275	building	121.06761	01/15/2019, 00:00:00	Asia/Manila
PK	32.87533	average	71.57118	25 Jan 2019	Asia/Karachi
SK	48.8449	maintenance	17.22635	30 Sep 2020	Europe/Bratislava
TR	40.1675	average	34.37389	10/07/2014, 00:00:00	Europe/Istanbul
DE	50.9803	average	11.32903	08/04/2013, 00:00:00	Europe/Berlin
AR	-31.25033	accep	-61.4867	2019-11-20	America/Argentina/Cordoba
FR	43.71032	good	-1.05366	2014-10-25	Europe/Paris
PK	25.95533	average	68.88871	2017-05-21	Asia/Karachi
MX	21.28306	excellent	-89.66123	2018-03-13	America/Merida
CA	45.4473	excellent	-73.75335	05/19/2019, 00:00:00	America/Toronto
DE	50.80019	acceptable	7.20769	15 Sep 2019	Europe/Berlin
US	36.20829	maintenance	-115.98391	24 Jan 2020	America/Los_Angeles
CN	35.50056	excellent	117.63083	2016-07-05	Asia/Shanghai
IL	31.39547	accep	34.75699	02/17/2017, 00:00:00	Asia/Jerusalem
IN	29.21399	average	78.95693	2018/10/05	Asia/Kolkata
US	44.27804	building	-88.27205	17 Mar 2019	America/Chicago
DE	48.46458	maintenance	9.22796	10 Mar 2021	Europe/Berlin
TR	39.22493	average	42.85693	09/11/2016, 00:00:00	Europe/Istanbul
US	47.76232	accep	-122.2054	04/30/2018, 00:00:00	America/Los_Angeles
IE	53.53333	average	-7.35	02/13/2019, 00:00:00	Europe/Dublin
IN	28.92694	average	78.23456	2014-09-26	Asia/Kolkata
US	47.92526	good	-97.03285	11 Feb 2016	America/Chicago
PH	16.455	accep	120.5875	01/15/2015, 00:00:00	Asia/Manila
AZ	41.09246	excellent	45.36561	2022-04-20	Asia/Baku
PL	50.20528	good	19.27498	02/26/2017, 00:00:00	Europe/Warsaw
LK	6.9909	excellent	79.883	15 Apr 2015	Asia/Colombo
IN	22.10194	building	85.37752	2015-10-23	Asia/Kolkata
IN	26.32293	accep	91.00632	18 Oct 2020	Asia/Kolkata
ES	38.10558	building	-1.86343	01 Jul 2021	Europe/Madrid
IN	10.10649	good	76.35484	11/11/2020, 00:00:00	Asia/Kolkata
PT	38.72706	good	-9.24671	11 Apr 2014	Europe/Lisbon
PE	-16.25	accep	-69.08333	11/08/2019, 00:00:00	America/Lima
US	35.88264	excellent	-80.08199	11/25/2016, 00:00:00	America/New_York
GB	53.78333	average	-1.06667	04 Jul 2014	Europe/London
CN	32.54278	good	111.50861	2019-08-23	Asia/Shanghai
CA	45.44868	good	-73.81669	03 Feb 2015	America/Toronto
IN	22.75218	acceptable	72.68533	2017-12-04	Asia/Kolkata
PR	18.42745	accep	-67.15407	2019/09/06	America/Puerto_Rico
RU	54.84444	maintenance	38.16694	2018-09-01	Europe/Moscow
BW	-21.44236	average	27.46153	2013/01/28	Africa/Gaborone
CA	43.86682	good	-79.2663	2015-05-22	America/Toronto
US	39.00622	excellent	-77.4286	2012-11-17	America/New_York
US	45.0408	good	-93.263	11/13/2014, 00:00:00	America/Chicago
MG	-19.65	excellent	47.31667	01/12/2019, 00:00:00	Indian/Antananarivo
NG	12.74482	maintenance	4.52514	20 Dec 2012	Africa/Lagos
US	40.56754	maintenance	-89.64066	01/28/2019, 00:00:00	America/Chicago
IN	27.9247	average	78.40102	09 Aug 2015	Asia/Kolkata
RU	55.8736	average	85.4265	22 Jan 2018	Asia/Novokuznetsk
BR	-28.24	maintenance	-48.67028	2019-11-05	America/Sao_Paulo
CN	36.19278	average	117.65694	04/20/2014, 00:00:00	Asia/Shanghai
ES	41.91738	building	3.1631	2017-04-03	Europe/Madrid
IN	25.92493	average	73.66633	2017/02/21	Asia/Kolkata
PK	29.69221	building	72.54566	2018-09-06	Asia/Karachi
TR	40.1675	building	34.37389	24 Jul 2019	Europe/Istanbul
US	40.56754	good	-89.64066	2016-10-15	America/Chicago
PH	10.13361	average	124.84472	20 Mar 2017	Asia/Manila
KE	3.11988	good	35.59642	2020/07/08	Africa/Nairobi
GB	55.82885	excellent	-4.21376	06 Mar 2016	Europe/London
CF	4.94273	accep	15.87735	2014-01-19	Africa/Bangui
BW	-21.44236	excellent	27.46153	2019/01/10	Africa/Gaborone
CO	5.20856	average	-74.73584	01 Apr 2017	America/Bogota
CN	28.88162	average	120.03308	2020/06/30	Asia/Shanghai
DZ	34.15429	good	3.50309	2015-05-21	Africa/Algiers
NG	11.86064	maintenance	9.0027	11/01/2012, 00:00:00	Africa/Lagos
TT	10.66668	average	-61.51889	2019/04/24	America/Port_of_Spain
SO	-0.35817	accep	42.54536	11/12/2016, 00:00:00	Africa/Mogadishu
US	40.81	average	-73.9625	06 Jun 2017	America/New_York
CO	8.79577	good	-75.69947	18 Dec 2021	America/Bogota
ID	-8.43333	maintenance	114.33333	03/26/2014, 00:00:00	Asia/Jakarta
BG	42.7	excellent	27.25	2022/01/09	Europe/Sofia
US	41.9001	accep	-71.08977	11 Sep 2016	America/New_York
FR	45.73333	good	4.91667	2016-11-04	Europe/Paris
US	39.45621	building	-77.96389	01 Dec 2015	America/New_York
IN	10.10649	accep	76.35484	01 May 2019	Asia/Kolkata
FR	48.79325	accep	2.29275	2017/05/06	Europe/Paris
MX	19.8173	accep	-97.35992	2017/09/02	America/Mexico_City
IT	45.53069	accep	9.40531	18 Oct 2018	Europe/Rome
US	41.0051	maintenance	-73.78458	05/23/2020, 00:00:00	America/New_York
ES	41.63976	building	2.35739	2016/08/03	Europe/Madrid
AR	-31.4488	excellent	-60.93173	2019-12-12	America/Argentina/Cordoba
US	28.90054	average	-81.26367	02/15/2014, 00:00:00	America/New_York
NG	7.6	building	4.18333	2019-12-07	Africa/Lagos
DE	54.52156	good	9.5586	2021/12/05	Europe/Berlin
NL	51.95838	good	4.47124	03/24/2021, 00:00:00	Europe/Amsterdam
US	29.84576	excellent	-90.10674	2020/01/17	America/Chicago
PK	26.9423	excellent	68.11759	2022/02/18	Asia/Karachi
MY	2.2139	excellent	102.3278	2014-04-01	Asia/Kuala_Lumpur
TH	14.64056	average	104.64992	2013/05/27	Asia/Bangkok
US	42.52787	excellent	-70.92866	31 Dec 2015	America/New_York
AM	40.49748	average	44.7662	2014/01/06	Asia/Yerevan
GB	53.49389	average	-1.29243	2012-11-26	Europe/London
GB	52.68333	maintenance	0.93333	2015-12-06	Europe/London
PH	12.37169	good	123.62494	27 Jul 2020	Asia/Manila
RU	59.80917	good	30.38167	2012-10-07	Europe/Moscow
DE	49.97704	accep	9.15214	2016-09-01	Europe/Berlin
US	41.48199	excellent	-81.79819	10/10/2017, 00:00:00	America/New_York
US	26.91756	maintenance	-82.07842	01/15/2014, 00:00:00	America/New_York
US	34.14251	excellent	-118.25508	2018-08-27	America/Los_Angeles
ID	-7.81667	good	112.01667	2013/07/10	Asia/Jakarta
US	40.65995	building	-111.99633	2019-06-01	America/Denver
MY	2.2139	excellent	102.3278	02/16/2021, 00:00:00	Asia/Kuala_Lumpur
KZ	43.41949	building	77.0202	07/09/2018, 00:00:00	Asia/Almaty
RU	57.97472	excellent	33.2525	2020/05/16	Europe/Moscow
MA	34.31	average	-2.16	03/07/2018, 00:00:00	Africa/Casablanca
CN	23.29549	good	113.82465	19 Jun 2018	Asia/Shanghai
TH	14.37395	accep	100.48528	08 Jul 2017	Asia/Bangkok
PT	41.20485	building	-8.33147	2016-01-11	Europe/Lisbon
TN	35.72917	maintenance	10.58082	22 May 2013	Africa/Tunis
DE	52.21099	average	7.02238	2017-10-14	Europe/Berlin
GB	50.7236	accep	-3.52751	04/18/2019, 00:00:00	Europe/London
GE	41.82143	accep	41.77921	16 Jan 2020	Asia/Tbilisi
RU	65.93381	good	111.4834	2014/08/25	Asia/Yakutsk
ID	-6.91806	excellent	106.92667	11/12/2018, 00:00:00	Asia/Jakarta
ES	41.63976	good	2.35739	11/17/2013, 00:00:00	Europe/Madrid
IL	32.05971	average	34.8732	02/15/2020, 00:00:00	Asia/Jerusalem
ET	11.85	accep	38.01667	2022-05-30	Africa/Addis_Ababa
RU	60.02427	average	30.28491	2013-04-26	Europe/Moscow
DE	48.06919	accep	11.37703	2017/07/06	Europe/Berlin
BY	52.4089	good	31.3237	30 Nov 2019	Europe/Minsk
DE	52.2	maintenance	8.63333	2014-10-22	Europe/Berlin
DE	51.88333	accep	8.51667	20 Mar 2021	Europe/Berlin
FR	43.61092	excellent	3.87723	2020/04/28	Europe/Paris
RU	54.90083	accep	38.07083	23 Apr 2016	Europe/Moscow
FR	48.90982	excellent	2.45012	08/02/2020, 00:00:00	Europe/Paris
IN	22.10194	building	85.37752	2018-09-12	Asia/Kolkata
BR	-3.14306	good	-58.44417	05/24/2013, 00:00:00	America/Manaus
RU	43.96222	maintenance	43.63417	23 Apr 2021	Europe/Moscow
PH	9.3337	excellent	122.8637	2014/06/07	Asia/Manila
AU	-37.88333	maintenance	145.06667	2019/02/22	Australia/Melbourne
US	47.38093	excellent	-122.23484	2017/02/02	America/Los_Angeles
RU	61.78491	accep	34.34691	11 Jan 2020	Europe/Moscow
BR	-15.675	good	-38.94722	08/09/2021, 00:00:00	America/Bahia
DE	48.78232	average	9.17702	18 Apr 2021	Europe/Berlin
US	42.52787	accep	-70.92866	2021/09/26	America/New_York
RW	-1.9487	good	30.4347	17 Jan 2016	Africa/Kigali
EG	31.20176	average	29.91582	10 Mar 2013	Africa/Cairo
DE	48.78232	good	9.17702	08 Aug 2014	Europe/Berlin
FR	48.98333	accep	2.61667	11/15/2016, 00:00:00	Europe/Paris
TZ	-6.25	good	38.66667	2013-03-12	Africa/Dar_es_Salaam
DE	50.23019	excellent	8.77155	06/21/2020, 00:00:00	Europe/Berlin
IT	45.53069	good	9.40531	26 May 2014	Europe/Rome
PH	6.33444	excellent	124.95278	07/13/2017, 00:00:00	Asia/Manila
CO	5.20856	accep	-74.73584	2021/07/15	America/Bogota
VE	8.35122	accep	-62.64102	2012/12/19	America/Caracas
AR	-37.32167	average	-59.13316	2022-02-19	America/Argentina/Buenos_Aires
JP	35.8	accep	137.23333	23 May 2018	Asia/Tokyo
US	33.92946	average	-116.97725	20 Jul 2022	America/Los_Angeles
US	42.58342	accep	-71.8023	2022/02/18	America/New_York
RU	56.03361	average	35.96944	2014/05/25	Europe/Moscow
RS	44.22639	average	22.53083	03 Sep 2018	Europe/Belgrade
PK	30.76468	accep	74.12286	03/02/2014, 00:00:00	Asia/Karachi
JP	44.35056	excellent	142.45778	2021-11-18	Asia/Tokyo
MZ	-23.85972	excellent	35.34722	03 Aug 2014	Africa/Maputo
GA	-1.63333	accep	13.58357	26 Jul 2014	Africa/Libreville
FR	43.2907	good	5.4384	2017-06-28	Europe/Paris
RU	58.23583	accep	92.48278	26 May 2016	Asia/Krasnoyarsk
RU	54.90083	accep	38.07083	10/24/2020, 00:00:00	Europe/Moscow
US	43.91452	average	-69.96533	2020-03-12	America/New_York
KE	0.03813	building	36.36339	29 Sep 2018	Africa/Nairobi
IN	26.76628	accep	83.36889	09/08/2015, 00:00:00	Asia/Kolkata
PA	9.15093	maintenance	-79.62098	2014/04/30	America/Panama
ES	39.96348	good	-4.83076	10/31/2012, 00:00:00	Europe/Madrid
IN	34.08565	average	74.80555	2015-03-03	Asia/Kolkata
NG	7.50251	accep	5.06258	2018-10-16	Africa/Lagos
DE	51.47805	good	6.8625	2017-11-20	Europe/Berlin
KR	36.82167	excellent	128.63083	2017-10-22	Asia/Seoul
BR	-22.57306	accep	-47.1725	2014-08-30	America/Sao_Paulo
MY	4.88441	good	101.96857	07/03/2020, 00:00:00	Asia/Kuala_Lumpur
BG	43.4125	good	23.225	2012-12-19	Europe/Sofia
PK	30.76468	excellent	74.12286	05 Apr 2015	Asia/Karachi
IN	14.62072	accep	74.83554	17 Oct 2020	Asia/Kolkata
IN	24.81757	accep	84.63445	12/25/2012, 00:00:00	Asia/Kolkata
US	41.27621	good	-72.86843	2014-06-04	America/New_York
IN	12.95629	accep	78.27539	2020/06/11	Asia/Kolkata
JP	34.25	average	135.31667	2014/07/22	Asia/Tokyo
GB	50.82882	accep	-0.32247	24 Mar 2017	Europe/London
FR	45.51667	excellent	4.86667	2017-12-17	Europe/Paris
IN	24.05979	average	77.40858	09/07/2013, 00:00:00	Asia/Kolkata
CN	27.34089	accep	117.4831	09/16/2021, 00:00:00	Asia/Shanghai
CN	41.27194	excellent	123.17306	10/07/2018, 00:00:00	Asia/Shanghai
CN	23.73333	building	114.68333	23 Dec 2021	Asia/Shanghai
US	41.15376	building	-87.88754	2018-04-24	America/Chicago
DZ	36.27462	excellent	4.85668	2020-12-29	Africa/Algiers
TZ	-2.68333	accep	33	2015/10/02	Africa/Dar_es_Salaam
MK	42	good	21.32778	2012-10-28	Europe/Skopje
LY	30.75545	accep	20.22625	2022/04/10	Africa/Tripoli
ES	39.96348	excellent	-4.83076	2016/12/05	Europe/Madrid
RU	55.8736	maintenance	85.4265	19 Nov 2016	Asia/Novokuznetsk
RU	55.8736	accep	85.4265	10/14/2012, 00:00:00	Asia/Novokuznetsk
US	38.06084	excellent	-97.92977	04/29/2018, 00:00:00	America/Chicago
DE	48.07667	maintenance	8.64409	05/26/2016, 00:00:00	Europe/Berlin
AU	-31.95224	excellent	115.8614	2018/07/28	Australia/Perth
EG	31.20176	excellent	29.91582	2014-09-07	Africa/Cairo
MG	-22.9	average	44.53333	12/30/2016, 00:00:00	Indian/Antananarivo
BR	-21.41222	average	-42.19667	2017-07-21	America/Sao_Paulo
RU	54.90083	maintenance	38.07083	05/15/2017, 00:00:00	Europe/Moscow
DE	48.21644	excellent	9.02596	11 Nov 2019	Europe/Berlin
TH	13.8196	excellent	100.04427	2021/03/18	Asia/Bangkok
