PM10	CO	NOx	Pb	PAHs	latitude	PM2.5	PRES	SO2	H2CO	C2H3NO5	CH4	longitude	NH3	CFCs	O3	TEMP	warning
7.14818	10.32543	5.07386	63.40193	5.61690	50.80019	8.04313	1092.96107	8.39425	51.45196	0.09623	3.52942	7.20769	6.61733	39.54730	5.36682	6.79612	0.00000
8.28255	11.09128	6.52270	70.53233	3.74743	48.73218	8.30319	1127.50550	8.09875	69.81896	0.23943	10.76687	11.18709	7.22417	54.13129	8.88675	10.76812	0.00000
8.75351	9.53973	6.40831	32.27761	4.15077	53.19146	9.61836	1179.81327	7.00449	63.88581	0.33468	9.11631	-2.52398	6.81367	47.72871	9.36692	26.11490	1.00000
9.35315	8.51152	5.11145	51.47395	6.91554	-20.88231	8.26680	1059.06033	3.43266	50.06055	0.54919	10.33405	55.4504	7.45399	36.87273	7.46382	21.21573	1.00000
5.20755	8.09546	7.18040	61.59557	6.55151	53.37596	7.29916	1184.27443	7.58158	41.84891	0.03367	6.34026	51.3452	7.33273	41.55335	6.16794	17.85802	0.00000
7.63559	8.48234	7.40129	43.08412	4.94599	17.34769	5.93089	1063.57596	8.54460	47.81719	0.19499	5.87071	78.55757	6.77720	53.05462	11.17830	18.31547	1.00000
9.29752	9.03044	5.26549	60.73799	6.31497	-1.26424	8.13217	1169.37069	9.24277	58.98088	0.55191	11.24974	104.09701	5.79657	30.86822	9.94868	8.19013	0.00000
5.80797	9.47695	9.09943	56.73847	7.62945	54.58048	8.27989	1094.61270	8.38025	57.08268	0.08384	7.50547	16.86194	8.14223	30.90894	9.22638	18.64077	0.00000
11.16411	8.84704	6.52190	41.32509	4.01680	48.06919	7.77361	1169.79328	7.68056	44.52299	3.09496	9.00497	11.37703	8.54404	55.68497	9.46038	2.58000	1.00000
9.58323	10.09397	7.13909	53.55767	6.26790	32.50611	9.75173	1161.08971	5.95826	49.52847	0.70675	9.26732	120.14278	6.17685	22.12140	7.97977	7.23122	
	8.22950	6.03739	68.91811	6.17484	41.80753	5.94006	1069.11604	9.05183	24.89768	0.08210	6.57325	-87.65644	7.57833	26.18020	6.81334	-0.54508	1.00000
7.88901	8.14014	4.10618	61.33010	6.51400	28.88162	5.95759	1183.87598	7.79760	27.20151	0.15362	5.51370	120.03308	7.30925	72.22807	9.94242	22.11304	1.00000
6.71613	9.29501	6.05695	49.25973	5.74972	50.26729	6.53517	1092.20067	6.75747	47.24555	0.12986	8.31024	-119.27337	8.04976	25.95484	8.19639	18.49499	1.00000
6.18544	10.02189	5.95274	41.69665	6.44490	23.02677	8.33485	1183.25690	6.57038	49.11700	0.07169	10.31268	113.13148	8.15916	31.68520	11.47256	25.09992	1.00000
9.43268	9.69696	8.03545	37.84528	6.64903	14.37395	6.83182	1164.69634	7.44165	28.93364	0.64780	5.47994	100.48528	8.32693	42.48219	9.62015	34.79123	1.00000
10.39980	6.40429	5.36580	49.01721	8.56576	27.55898	7.95178	1106.91844	5.27209	42.44742	1.46264	8.66172	68.21204	6.99143	42.65898	11.02021	7.45492	1.00000
7.93458	5.32713	7.64087	40.57940	3.50915	4.94273	8.07969	1052.89430	6.87015	56.85415	0.20936	6.28280	15.87735	8.30727	63.92067	9.31790	15.56968	1.00000
6.49016	6.70858	7.44571	51.56592	3.64338	52.53048	8.39592	1188.50699	8.27396	28.75245	0.06301	5.71632	13.29371	8.50167	24.66435	7.91974	14.25067	1.00000
5.37185	9.47903	5.81083	44.80445	6.65279	50.50301	9.09301	1062.45801	7.38271	36.52237	0.08267	8.95723	13.63617	5.97948	42.79741	7.79123	16.43746	1.00000
7.31651	8.77601	4.98527	44.43045	5.42981	46.32313	8.17893	1173.59866	8.08269	50.70137	0.11346	5.60087	-0.45877	7.59559	35.03716	6.90298	27.51814	0.00000
6.34583	9.92124	6.16598	74.48594	6.97636	-20.88231	8.04104	1183.18543	7.13426	66.82126	0.04733	5.95114	55.4504	7.54783	47.84938	9.60729	16.96375	1.00000
9.18189	7.01852	5.53896	30.54008	6.93211	-28.81833	6.99216	1137.35034	8.09359	63.55340	0.47743	7.84791	-52.51028	6.60229	45.81265	8.44171	9.50378	1.00000
7.02939	8.43403	6.24401	54.17099	6.20456	53.6052	6.86480	1062.97163	8.24010	52.02458	0.11344	5.69409	10.03988	7.80923	55.51213	7.67879	5.17423	1.00000
7.71292	4.32969	8.43082	37.95328	3.73844	36.76639	7.73842	1123.02212	6.37333	38.84162	0.14554	7.77482	3.47717	6.49565	53.58828	10.02931	7.93895	0.00000
8.14526	9.93052	7.57184	56.38482	5.78814	53.30972	7.41877	1158.28990	7.49282	63.96312	0.21957	8.38740	83.62389	6.39881	45.08201	11.70187	-0.22145	1.00000
5.06031	5.45216	7.62621	58.14014	5.26286	43.71032	6.44135	1080.47501	7.94849	66.70756	0.05953	5.77294	-1.05366	7.14848	65.06545	10.25143	3.22445	1.00000
3.67430	7.74726	8.94891	47.69596	6.91397	17.94979	9.80434	1158.08523	5.57875	51.47838	0.06969	7.11445	-94.91386	9.48273	50.06389	9.86381	13.91632	0.00000
5.64028	8.19299	5.20681	35.76340	4.72935	33.76446	6.65799	1113.67474	7.44723	64.52296	0.10060	6.44830	-117.79394	8.09959	59.93887	7.18038	17.96547	1.00000
10.18469	9.29701	5.84857	45.93396	7.49701	49.88307	6.87675	1055.58685	8.04791	46.14365	1.18908	4.83091	-119.48568	8.04000	59.99709	9.94286	29.34746	1.00000
4.65709	6.16796	8.01032	46.82236	6.50831	41.20485	9.04671	1198.35034	5.69582	72.24394	0.05047	5.90265	-8.33147	9.79013	33.65363	11.14416	22.91295	1.00000
5.52779	6.64734	6.19003	31.95412	6.16499	-29.2975	7.48005	1054.90699	6.90703	60.89518	0.08349	6.48346	-51.50361	8.77129	46.75730	11.57115	16.75010	1.00000
8.82056	6.01598	9.54048	42.26278	5.93483	50.82882	7.31727	1065.63410	8.24785	58.28407	0.39861	6.58188	-0.32247	7.93844	37.92615	9.41343	16.26875	0.00000
6.60566	9.50558	6.70778	19.94894	6.70353	42.67164	8.32418	1052.32861	8.93006	53.76567	0.06961	5.40210	14.01481	7.40260	47.03443	7.89173		1.00000
8.76484	10.69742	7.65486	39.41754	2.19586	28.88162	7.38763	1082.15381	6.35185	50.84077	0.36193	8.84263	120.03308	6.81835	51.37112	10.54530	13.45464	1.00000
6.19799	8.04305	5.28270	27.36569	5.07651	33.14447	7.92094	1087.54810	5.85065	30.04895	0.10007	6.48346	47.3799	8.59478	49.03131	7.41559	14.65699	1.00000
8.28827	7.47678	4.15559	72.54033	6.85252	-16.25	7.78626	1092.00462	6.20242	55.36239	0.24869	9.32911	-69.08333	9.03008	48.31348	5.86989	12.42440	1.00000
5.18898	9.12019	6.14272	29.76585	6.70930	18.87813	7.67482	1195.57729	9.05964	62.31154	0.08597	5.50051	72.93924	7.97894	45.04446	7.45279	24.45941	1.00000
5.50537	11.22413	4.13018	46.28708	8.88030	40.98894	6.83087	1086.99587	8.27133	23.87868	0.07454	7.07090	28.67582	8.69328	13.68573	9.57759	27.21432	1.00000
5.54281	8.50493	7.25166	46.79876	6.91756	52.59319	5.23234	1148.67445	7.55448	61.33402	0.10395	4.22881	13.32127	7.57450	33.86026	7.67214	3.95423	0.00000
10.99097	10.10084	8.37610	56.48535	4.76984	52.48173	6.73533	1128.22702	8.32566	52.89768	2.60558	8.66920	-2.12139	7.87112	66.59373	12.79346	26.80287	1.00000
9.80715	8.90629	5.58383	51.08754	2.94172	42.62833	7.69140	1107.89640	5.94426	54.90301	0.87091	10.20018	20.89389	8.37934	58.47537	8.63759	15.10300	1.00000
7.37866	7.64457	6.31711	34.23716	6.10535	33.78333	7.11446	1160.91739	9.03903	59.43955	0.14479	7.07609	114.51667	7.35235	44.86433	6.91175	17.14044	0.00000
5.98116	9.71827	6.42537	42.13542	6.24638	41.82143	7.46275	1161.49088	7.15005	71.57624	0.09649	5.45149	41.77921	8.30240	56.42344	7.45244	18.70015	1.00000
5.85620	8.04256	6.57229	73.45888	6.67057	34.85	8.84788	1158.29883	6.99482	17.94938	0.09185	7.16878	117.33333	8.03769	38.71620	5.11968	0.63298	0.00000
7.83880	10.45267		63.97665	3.59808	36.76775	7.65369	1067.42925	6.50204	28.06037	0.18614	9.67900	2.95924	7.64614	43.40036	7.79242	17.21634	1.00000
7.86503	5.51267	9.89554	65.01270	4.13183	27.85	6.61440	1107.96184	8.24832	47.29501	0.15292	9.57409	112.9	7.78103	56.56031	11.51424	12.02565	0.00000
8.51803	7.67810	6.23914	46.45677	6.19762	55.54028	8.33974	1102.35858	8.49775	76.45620	0.24152	6.46635	89.20083	8.34495	61.71264	8.82981	5.05738	1.00000
6.66542	8.01472	5.93293	61.10481	4.68142	52.26083	7.65553	1179.94108	7.58386	57.46348	0.10510	6.58270	7.00417	8.64322	40.86805	8.33591	19.29538	1.00000
2.58602	11.05494	3.15176	41.39002	7.97230	-0.71667	8.77981	1066.70133	8.63393	50.84822	0.04607	4.18364	-48.52333	7.62788	52.03945	6.80833	23.97633	1.00000
5.67784	7.86785	6.68143	42.59033	6.14298	33.78333	8.73031	1091.57930	7.27935	61.24850	0.09202	6.88084	114.51667	6.93706	59.23723	5.99437	14.32213	0.00000
7.17857	8.00281	7.96202	46.78725	8.17271	-29.2975	6.49719	1064.74779	6.42332	48.92013	0.14963	5.71705	-51.50361	8.57016	48.34454	13.14065	18.43243	0.00000
6.17088	9.92413	5.85881	59.74887	5.69133	51.08468	7.72009	1149.71925	5.94397	36.88208	0.11704	5.92894	7.11393	6.39617	47.05119	6.82385	24.18406	1.00000
8.61064	8.49637	5.56536	38.16450	6.01709	34.8825	6.29914	1068.99775	8.26286	61.39394	0.32744	9.74728	128.62667	7.31981	25.55056	9.57343	-12.84377	1.00000
7.14720	6.73246	7.72051	57.09747	3.63714	19.8173	7.93870	1190.34744	7.38616	46.73841	0.10543	3.02323	-97.35992	8.56295	38.59560	6.31987	26.61653	1.00000
8.94515	6.88958	5.00689	56.25953	6.67806	48.35149	8.05806	1170.56817	8.17218	53.78030	0.38611	7.80998	8.96317	7.17187	51.40762	9.08725	11.72242	1.00000
4.77572	6.11727	9.13718	31.33340	8.48912	-23.44361	6.52042	1180.21572	8.14853	52.39683	0.05195	9.08180	-51.87389	7.38703	36.43903	9.40593	9.18733	0.00000
6.10789	7.30974	5.51952	41.42087	4.26021	41.09822	9.44948	1172.69898	7.26733	89.50095	0.06640	7.26101	120.74792	7.26127	53.86992	8.95203	23.93230	1.00000
8.45281	8.55073	4.87677	72.66965	7.84046	23.18	6.32801	1147.11964	6.88782	71.31696	0.25048	10.29469	88.58	7.77892	55.18110	7.67824	23.34739	1.00000
5.78267	7.40114	6.65852	41.93816	5.43795	51.47805	9.20573	1165.71412	9.30435	62.05258	0.05428	5.90067	6.8625	5.47702	27.92731	8.21365	28.49624	1.00000
8.87875	7.98570	6.12043	43.48716	5.75268	26.76628	7.11555	1190.67637	8.61751	57.55891	0.40311	7.47675	83.36889	6.96287	40.37104	9.32897	22.03963	1.00000
5.71427	6.76533	6.17868	26.28822	8.30969	38.40917	7.66481	1168.76175	6.26754	37.55161	0.11955	3.78861	112.73333	7.04586	35.22146	5.49914	13.26591	0.00000
6.13228	9.84062	6.61113	67.70873	6.81174	-22.57306	6.59480	1153.71524	6.89643	62.78958	0.09571	8.40063	-47.1725	8.21395	63.75733	9.57295	0.07778	1.00000
9.00057	9.77529	7.14863	51.69173	5.22249	14.0823	7.80081	1103.75383	6.89507	56.71755	0.38998	9.11733	98.19151	8.28520	47.53087	11.91996	7.51229	1.00000
10.03307	10.22304	7.08206	57.63792	1.99677	30.24706	7.36250	1189.13236	9.40267	46.03358	1.01399	9.58110	115.04814	6.14935	52.73415	11.12791	11.27052	1.00000
5.89455	6.04042	10.21361	62.07062	6.36379	42.35843	6.36827	1055.86305	7.13492	35.09119	0.06301	6.58284	-71.05977	6.70903	49.81038	9.59678	10.99765	
5.12938	6.03695	8.74825	70.68571	6.34875	-13.7804	6.97061	1115.31622	8.19145	54.60612	0.07428	6.32900	34.4587	6.79552	44.79962	8.63927	11.42676	0.00000
5.68890	8.09296	6.84244	54.83427	6.54556	40.81	9.59770	1195.86399	8.44026	31.78467	0.08793	6.83313	-73.9625	8.50836	59.48857	6.24745	15.09463	0.00000
8.25549	7.45376	4.07317	51.40037	5.65742	-1.26424	7.68589	1108.51239	7.15275	38.28099	0.22189	8.86454	104.09701	7.96480	42.28304	5.74435	12.53511	1.00000
5.29594	5.94650	9.97277	45.34787	4.39521	24.81757	8.40583	1165.80058	6.72301	50.87935	0.08508	8.40188	84.63445	6.92441	36.14662	10.79509	14.63318	0.00000
7.91570	11.12279	7.17831	60.06621	6.01015	7.83389	7.26574	1074.62867	5.47833	62.05950	0.20723	10.08453	-72.47417	8.12561	29.93902	8.90418	19.31499	1.00000
9.14676	9.11818	6.80470	47.58913	8.09725	39.59611	6.30778	1145.74305	7.30839	47.90636	0.47248	6.05709	27.02444	6.91599	62.93114	12.00794	18.38220	0.00000
