latitude	code	revision	station	QoS	longitude
51.08468	DE	2015/10/11	Burscheid	accep	7.11393
51.88333	DE	2019/05/21	Verl	average	8.51667
46.1351	CA	2017-06-23	Sydney	average	-60.1831
38.68712	ES	26 Apr 2015	Puertollano	average	-4.10734
11.15583	DJ	24 Oct 2014	'Ali Sabieh	average	42.7125
42.55308	US	31 Dec 2013	Pleasant Prairie	building	-87.93341
31.39547	IL	15 Jan 2017	Rahat	good	34.75699
-33.38056	UY	11/30/2019, 00:00:00	Durazno	excellent	-56.52361
30.35028	CN	09 Oct 2012	Jingzhou	good	112.19028
36.53333	JP	2020/03/15	Nonoichi	maitennce	136.61667
5.27247	CI	2021-06-16	Bonoua	maintenance	-3.59625
48.8765	FR	2018/06/07	Rueil-Malmaison	average	2.18967
-31.25033	AR	09/11/2013, 00:00:00	Rafaela	good	-61.4867
44.43579	RO	2021/02/28	Sector 6	accep	26.01649
47.38093	US	2021-09-10	Kent	excellent	-122.23484
39.59611	TR	2013/09/07	Edremit	building	27.02444
58.23583	RU	2019-06-05	Lesosibirsk	good	92.48278
53.7446	GB	2021/04/02	Kingston upon Hull	building	-0.33525
53.69786	GB	06/27/2014, 00:00:00	Leyland	maintenance	-2.68758
7.65649	NG	2015/08/15	Efon-Alaaye	good	4.92235
22.10194	IN	14 Jul 2018	Barbil	good	85.37752
45.40008	CA	21 Jul 2018	Sainte-Catherine	excellent	-73.58248
44.80477	FR	03/04/2018, 00:00:00	Talence	average	-0.59543
-31.4488	AR	16 Apr 2019	Esperanza	average	-60.93173
34.95303	US	04/01/2018, 00:00:00	Santa Maria	average	-120.43572
23.18	IN	20 Jun 2014	Aistala	excellent	88.58
15.58552	TH	06 Jun 2022	Bua Yai	accep	102.42587
21.34222	IN	2020-03-15	Kundla	average	71.30633
52.57583	NL	2013-04-16	Hardenberg	excellent	6.61944
22.98212	CU	2016/07/11	Corralillo	accep	-80.58556
41.6764	US	2019-03-11	Coralville	average	-91.58045
33.50921	US	2018/06/19	Scottsdale	good	-111.89903
41.72063	IT	12/14/2018, 00:00:00	Ariccia	accep	12.6723
53.7446	GB	08/07/2021, 00:00:00	Kingston upon Hull	accep	-0.33525
31.71667	PK	2013-05-26	Sangla Hill	accep	73.38333
26.2173	US	2016-05-05	North Lauderdale	good	-80.22588
29.38242	PK	2020/12/22	Alipur	building	70.91106
53.77166	RU	2015/08/02	Bogoroditsk	excellent	38.12408
41.1053	PT	2018-12-06	Custoias	maintenance	-7.32097
29.98869	CN	2015-10-20	Zhoushan	accep	122.20488
20.21322	MX	18 Jun 2015	Salvatierra	good	-100.88023
3.31332	ID	2013-05-29	Tarakan	average	117.59152
9.57046	IN	2015-05-09	Kalavoor	accep	76.32756
-17.83333	MG	27 Jan 2015	Ambatondrazaka	good	48.41667
25.49043	IN	06/19/2015, 00:00:00	Teghra	excellent	85.94001
51.35084	GB	2018/05/08	Devizes	accep	-1.99421
27.09978	US	03/04/2013, 00:00:00	Venice	good	-82.45426
50.18545	UA	2013/07/05	Shepetivka	average	27.06365
37.95143	US	02 Oct 2016	Rolla	excellent	-91.77127
51.40944	RU	2013-11-17	Privolzhskiy	accep	46.04833
16.68911	MM	2018-02-19	Myawadi	accep	98.50893
42.35843	US	09/13/2022, 00:00:00	Boston	excellent	-71.05977
33.78333	CN	2013/07/18	Wacheng	good	114.51667
35.48199	JP	03/23/2021, 00:00:00	Minokamo	accep	137.02166
39.78504	US	2014/11/07	Greenfield	average	-85.76942
14.37395	TH	2017-01-20	Bang Ban	accep	100.48528
19.8173	MX	2015-11-25	Teziutlan	accep	-97.35992
36.76775	DZ	01/27/2021, 00:00:00	Cheraga	excellent	2.95924
-23.7975	BR	2019/12/11	Buri	accep	-48.59278
34.63915	US	2013/11/05	Lompoc	good	-120.45794
48.98693	FR	06/17/2013, 00:00:00	Gonesse	excellent	2.44892
42.30865	US	2016-03-23	Canton	average	-83.48216
26.68451	US	07 Aug 2016	Belle Glade	accep	-80.66756
40.53123	IT	2019/07/09	Francavilla Fontana	good	17.58522
-34.64966	AR	2016/06/09	Barracas	building	-58.38341
-14.66463	BR	2019/11/26	Nova Xavantina	building	-52.35558
-23.85972	MZ	2014/12/31	Maxixe	average	35.34722
48	FR	13 Sep 2020	Quimper	building	-4.1
37.1759	KR	2018-04-05	T’aebaek	good	128.9889
35.06667	JP	10 Aug 2016	Sasayama	excellent	135.21667
17.94979	MX	08/12/2016, 00:00:00	Acayucan	maintenance	-94.91386
6.46838	CO	2022/09/18	Socorro	accep	-73.26022
50.74497	BE	01/01/2014, 00:00:00	Mouscron	building	3.20639
33.76446	US	10 Jun 2013	North Tustin	good	-117.79394
41.47892	US	2019-05-14	Schererville	excellent	-87.45476
48.25	AT	2017/11/13	Floridsdorf	average	16.4
-20.88231	RE	2018/11/13	Saint-Denis	accep	55.4504
41.72063	IT	2017-06-26	Ariccia	average	12.6723
10.7375	PH	2020/07/31	Talisay	average	122.9666
51.78967	GB	2020-05-06	Clacton-on-Sea	excellent	1.15597
55.38752	RU	2020-02-09	Naro-Fominsk	average	36.73307
39.43534	US	08/01/2014, 00:00:00	Lebanon	maintenance	-84.20299
47.90771	MN	13 Sep 2014	Ulan Bator	maintenance	106.88324
50.82709	DE	05/29/2019, 00:00:00	Wesseling	average	6.9747
37.49223	IT	05 Dec 2018	Catania	average	15.07041
-8.99167	TL	2019-06-14	Maliana	accep	125.21972
4.94273	CF	03/28/2016, 00:00:00	Carnot	excellent	15.87735
51.84819	GB	2021-03-18	Walton-on-the-Naze	accep	1.26738
53.93361	RU	2019-09-30	Kireyevsk	good	37.92792
48.25	AT	2019-06-30	Floridsdorf	good	16.4
37.49223	IT	10/27/2012, 00:00:00	Catania	accep	15.07041
59.37722	EE	01 May 2019	Narva	good	28.19028
42.62833	XK	2022-04-12	Glogovac	accep	20.89389
18.03496	PR	2016-11-11	Yauco	good	-66.8499
43.96222	RU	12/05/2018, 00:00:00	Novopavlovsk	accep	43.63417
-29.2975	BR	2014/12/04	Carlos Barbosa	excellent	-51.50361
39.78504	US	24 Sep 2015	Greenfield	excellent	-85.76942
18.42745	PR	2021/10/20	Aguadilla	accep	-67.15407
40.34912	US	08/08/2013, 00:00:00	Saratoga Springs	maintenance	-111.90466
50.82882	GB	12/25/2012, 00:00:00	Lancing	good	-0.32247
14.8361	PH	2013-03-21	Guyong	average	120.97844
-4.24444	BR	2021/04/15	Barras	good	-42.29444
53.37596	RU	2015-05-27	Otradnyy	good	51.3452
28.88162	CN	06/13/2017, 00:00:00	Guli	accep	120.03308
37.49073	ES	03 Aug 2018	Baza	excellent	-2.77259
36.76775	DZ	2018/06/27	Cheraga	good	2.95924
26.76628	IN	2018-04-17	Gorakhpur	accep	83.36889
-1.9487	RW	2020-04-16	Rwamagana	building	30.4347
34.06635	US	2016-02-12	Acworth	excellent	-84.67837
23.1959	IN	30 May 2019	Kenda	accep	86.51499
36.61954	DZ	2019-02-21	Beni Douala	good	4.08282
41.80753	US	11 Nov 2014	New City	accep	-87.65644
58.1908	RU	28 Dec 2016	Danilov	accep	40.17171
50.64336	DE	08/09/2015, 00:00:00	Bad Honnef	accep	7.2278
33.54428	US	06/27/2020, 00:00:00	Stockbridge	building	-84.23381
-32.45242	CL	13 Feb 2015	La Ligua	accep	-71.23106
22.19303	IN	26 Jun 2014	Diamond Harbour	good	88.18466
31.28092	IN	30 Oct 2021	Patti	good	74.85849
-23.44361	BR	2012-10-10	Sarandi	good	-51.87389
-28.44917	BR	07/19/2016, 00:00:00	Marau	excellent	-52.2
50.82882	GB	2015/02/06	Lancing	excellent	-0.32247
31.92923	IL	20 Aug 2021	Ramla	building	34.86563
-33.59217	CL	2014-01-19	San Bernardo	excellent	-70.6996
48.78232	DE	2015/07/27	Stuttgart	maintenance	9.17702
44.89784	IT	2016/07/31	Tortona	building	8.86374
55.54028	RU	07/17/2019, 00:00:00	Sharypovo	good	89.20083
41.15376	US	2020-09-22	Bourbonnais	excellent	-87.88754
20.28527	MX	09/04/2017, 00:00:00	Jocotepec	good	-103.42897
40.24537	US	2018-02-05	Pottstown	average	-75.64963
58.63667	RU	11/28/2015, 00:00:00	Lesnoy	average	59.80222
51.82721	RU	19 Aug 2015	Ulan-Ude	average	107.60627
42.30865	US	08 Feb 2013	Canton	building	-83.48216
53.94313	DE	08/15/2015, 00:00:00	Bad Segeberg	average	10.30215
55.54028	RU	16 Jan 2021	Sharypovo	excellent	89.20083
37.19723	CN	07/01/2020, 00:00:00	Tianfu	accep	122.05228
51.03427	BE	2018-12-09	Houthalen	excellent	5.37429
54.8421	RU	2016/10/03	Alatyr’	excellent	46.5813
-54.8	AR	11/20/2013, 00:00:00	Ushuaia	excellent	-68.3
-20.87306	BR	10/31/2017, 00:00:00	Viradouro	maintenance	-48.29694
25.13915	IN	19 Feb 2020	Sheoganj	good	73.06784
35.05266	US	03 May 2019	Fayetteville	excellent	-78.87836
35.25064	US	2020/04/14	Searcy	maintenance	-91.73625
48.98333	FR	16 Aug 2015	Mitry-Mory	good	2.61667
-26.22861	BR	07/15/2016, 00:00:00	Pato Branco	excellent	-52.67056
-1.26424	ID	06/12/2022, 00:00:00	Simpang	good	104.09701
-16.25	PE	2012-11-22	Yunguyo	accep	-69.08333
33.78333	CN	10/02/2020, 00:00:00	Wacheng	excellent	114.51667
-6.91806	ID	01 Jun 2021	Sukabumi	maintenance	106.92667
-7.60361	TZ	2018-07-05	Kidodi	building	37.00438
10.66668	TT	11 Sep 2021	Port of Spain	good	-61.51889
41.77583	JP	2021/05/29	Hakodate	good	140.73667
23.9028	BD	09 Oct 2018	Kushtia	accep	89.11943
-21.205	BR	2012/10/05	Itaperuna	excellent	-41.88778
40.58654	US	07/19/2014, 00:00:00	Redding	good	-122.39168
49.03685	DE	2017-11-16	Bretten	excellent	8.70745
42.67164	IT	2019/06/22	Roseto degli Abruzzi	good	14.01481
51.78967	GB	2014-04-14	Clacton-on-Sea	good	1.15597
40.72816	US	02/12/2013, 00:00:00	Jersey City	accep	-74.07764
34.9	JP	29 Jan 2014	Shinshiro	good	137.5
25.87972	MX	03 Jan 2018	Heroica Matamoros	excellent	-97.50417
-7.54972	ID	2014-07-07	Ngemplak	average	110.71639
8.35122	VE	2022/05/10	Ciudad Guayana	building	-62.64102
25.75728	IN	07/05/2020, 00:00:00	Deoli	building	75.37991
47.92526	US	2018/10/05	Grand Forks	accep	-97.03285
26.68451	US	2020-11-02	Belle Glade	average	-80.66756
0.51667	ID	05/20/2020, 00:00:00	Pekanbaru	excellent	101.44167
36.27462	DZ	21 Sep 2021	Bordj Zemoura	accep	4.85668
32.52515	US	2021/07/26	Shreveport	excellent	-93.75018
-7.73379	ID	2015/04/29	Besuki	accep	113.69785
34.8825	KR	07/02/2021, 00:00:00	Sinhyeon	good	128.62667
36.02506	US	27 Sep 2012	Brentwood Estates	excellent	-86.77917
-26.93366	ZA	22 Jun 2018	Standerton	average	29.24152
41.50343	US	2018/12/27	Newburgh	good	-74.01042
6.9909	LK	06/25/2018, 00:00:00	Hendala	accep	79.883
37.19723	CN	2017-05-16	Tianfu	accep	122.05228
16.0438	PH	2016/02/24	Manaoag	building	120.4861
41.72063	IT	16 Apr 2014	Ariccia	average	12.6723
5.90702	MY	11 Jul 2013	Donggongon	accep	116.10146
-1.26753	ID	06 Jan 2019	Balikpapan	accep	116.82887
41.09822	CN	2017-12-11	Nanpiao	building	120.74792
40.94065	US	2013/08/19	Dumont	accep	-73.99681
55.25	LT	2017/12/14	Ukmerge	average	24.75
-34.64167	AR	29 Jun 2020	Chacabuco	accep	-60.47389
-38.65333	NZ	03/15/2022, 00:00:00	Gisborne	building	178.00417
-3.14306	BR	2017/08/08	Itacoatiara	average	-58.44417
46.65581	UA	2020-10-15	Kherson	good	32.6178
41.20485	PT	2015-08-29	Paredes	average	-8.33147
33.43443	MA	2015-11-08	Azrou	good	-5.22126
36.6009	KR	2019-08-15	Hongseong	good	126.665
43.83125	FR	03/11/2015, 00:00:00	Cavaillon	building	5.03586
50.23019	DE	12 Jul 2015	Karben	accep	8.77155
50.11861	GB	12/27/2019, 00:00:00	Penzance	good	-5.53715
-34.64167	AR	2013/08/06	Chacabuco	maintenance	-60.47389
23.02677	CN	2015/01/19	Foshan	excellent	113.13148
30.46907	PK	06/27/2022, 00:00:00	Kot Addu	good	70.96699
24.81757	IN	19 Dec 2012	Rafiganj	good	84.63445
34.06635	US	28 Sep 2020	Acworth	accep	-84.67837
37.05944	TR	2021-12-11	Gaziantep	excellent	37.3825
28.90054	US	06 May 2018	Deltona	accep	-81.26367
41.9001	US	2017-12-23	Taunton	average	-71.08977
33.4425	JP	19 Nov 2012	Karatsu	average	129.96972
36.27462	DZ	2015-06-06	Bordj Zemoura	building	4.85668
18.51957	IN	2019-12-18	Pune	average	73.85535
50.50301	CZ	2013-09-21	Most	excellent	13.63617
36.08497	TN	2018-08-14	Siliana	accep	9.37082
-8.99167	TL	01/20/2016, 00:00:00	Maliana	average	125.21972
3.7278	ID	2015-07-14	Labuhan Deli	good	98.6738
25.13915	IN	12 Sep 2013	Sheoganj	accep	73.06784
32.05971	IL	19 May 2015	Ganei Tikva	accep	34.8732
34.08565	IN	2016-12-01	Srinagar	good	74.80555
12.74482	NG	2022/08/08	Argungu	good	4.52514
-33.79176	AU	10/29/2013, 00:00:00	Eastwood	excellent	151.08057
36.72544	DZ	2020/05/05	Thenia	accep	3.55665
39.96097	US	2021-11-01	West Chester	building	-75.60804
25.49043	IN	27 Jun 2017	Teghra	good	85.94001
10.20898	PH	2014-11-24	Naga	accep	123.758
-33.88096	AU	13 Jun 2015	Strathfield	excellent	151.07986
33.4425	JP	2019-06-12	Karatsu	excellent	129.96972
34.86472	CN	2020-03-11	Zaozhuang	good	117.55417
31.92923	IL	31 Dec 2020	Ramla	average	34.86563
57.47908	GB	2022-01-17	Inverness	average	-4.22398
-26.93366	ZA	2019-11-24	Standerton	excellent	29.24152
42	MK	08/09/2016, 00:00:00	Saraj	excellent	21.32778
23.07492	IN	2020/09/15	Pandua	average	88.28637
28.15112	US	2015-05-22	Lutz	average	-82.46148
40.58654	US	10/23/2020, 00:00:00	Redding	excellent	-122.39168
-7.73379	ID	2017-06-21	Besuki	good	113.69785
-0.71667	BR	10/28/2018, 00:00:00	Soure	average	-48.52333
52.48173	GB	2022-08-24	Brierley Hill	excellent	-2.12139
50.76306	GB	08/09/2013, 00:00:00	Cowes	good	-1.29772
51.67822	UA	13 Dec 2020	Hlukhiv	good	33.9162
-22.92306	BR	2013/12/31	Loanda	accep	-53.13722
15.5439	IN	2016/11/05	Calangute	excellent	73.7553
42	MK	09 Aug 2018	Saraj	average	21.32778
40.87363	IT	07/04/2015, 00:00:00	Volla	average	14.34085
46.1351	CA	2018/07/18	Sydney	good	-60.1831
-19.72806	BR	06 Apr 2014	Iturama	excellent	-50.19556
-16.25	PE	12/02/2014, 00:00:00	Yunguyo	average	-69.08333
34.08565	IN	10/22/2021, 00:00:00	Srinagar	good	74.80555
51.35084	GB	06/03/2019, 00:00:00	Devizes	accep	-1.99421
39.12074	TR	2012/12/29	Bergama	average	27.18052
35.72917	TN	2013-08-03	Msaken	accep	10.58082
11.93381	IN	04/22/2019, 00:00:00	Puducherry	excellent	79.82979
51.20219	DE	11 Sep 2020	Radevormwald	building	7.36027
36.08497	TN	05/16/2014, 00:00:00	Siliana	maintenance	9.37082
42.28639	ME	07 Feb 2014	Budva	average	18.84
48.77275	FR	2013/02/16	Bar-le-Duc	good	5.16108
-4.26613	CG	08/18/2015, 00:00:00	Brazzaville	accep	15.28318
51.08468	DE	2014-05-06	Burscheid	average	7.11393
39.45621	US	2019/12/15	Martinsburg	excellent	-77.96389
16.0438	PH	2018-05-13	Manaoag	accep	120.4861
37.51803	IT	10/19/2012, 00:00:00	Misterbianco	good	15.00913
32.44874	US	01/09/2020, 00:00:00	Abilene	excellent	-99.73314
24.81757	IN	2019/12/13	Rafiganj	excellent	84.63445
39.57582	US	07 Oct 2014	Ken Caryl	average	-105.11221
33.37526	IN	31 May 2016	Rajaori	good	74.3092
45.99194	UA	10 Sep 2020	Artsyz	excellent	29.41824
-19.7625	BR	10/14/2020, 00:00:00	Esmeraldas	building	-44.31389
-7.81667	ID	2017-03-31	Kediri	good	112.01667
38.47917	ES	12/14/2021, 00:00:00	Jumilla	accep	-1.325
6.46838	CO	22 Jan 2021	Socorro	accep	-73.26022
41.15376	US	2016/01/16	Bourbonnais	accep	-87.88754
9.58126	NG	12/05/2018, 00:00:00	Kafanchan	accep	8.2926
35.05266	US	2015-10-22	Fayetteville	good	-78.87836
13.65805	KH	2018/09/16	Paoy Paet	average	102.56365
34.14251	US	2018/10/07	Glendale	average	-118.25508
33.86419	IR	12 Oct 2021	Aleshtar	accep	48.26258
20.88098	IN	2021-06-07	Parola	accep	75.11937
11.84962	NI	03/17/2017, 00:00:00	Jinotepe	building	-86.19903
53.77166	RU	07/24/2018, 00:00:00	Bogoroditsk	excellent	38.12408
-21.15	MG	15 Jan 2015	Ikalamavony	excellent	46.58333
5.27247	CI	2018/12/16	Bonoua	accep	-3.59625
-6.48167	ID	2017/01/30	Cibinong	average	106.85417
36.64852	IR	2015-08-18	Nowshahr	average	51.49621
38.47917	ES	2018/09/08	Jumilla	excellent	-1.325
40.2737	US	11 Nov 2020	Harrisburg	good	-76.88442
52.26083	NL	07/01/2021, 00:00:00	Losser	good	7.00417
8.43333	TH	2020-01-20	Nakhon Si Thammarat	average	99.96667
51.39323	GB	2014-06-26	Strood	maintenance	0.47713
33.41012	US	2020-04-20	Greenville	good	-91.06177
33.92946	US	14 Mar 2018	Beaumont	building	-116.97725
60.18427	FI	20 Aug 2019	Kallio	excellent	24.95034
42.8139	ES	2014-10-20	Segundo Ensanche	excellent	-1.64295
30.16688	US	28 Aug 2019	Brenham	accep	-96.39774
42.4251	US	2022-04-05	Malden	maintenance	-71.06616
49.07866	UA	2021/01/22	Zvenihorodka	maintenance	30.96755
