longitude	station	location	latitude	QoS	revision
116.82887	Balikpapan	Asia/Makassar	-1.26753	excellent	06/22/2016, 00:00:00
-104.22884	Carlsbad	America/Denver	32.42067	maintenance	2016-04-08
-2.68758	Leyland	Europe/London	53.69786	accep	24 Dec 2016
121.12251	Antipolo	Asia/Manila	14.62578	average	2020/02/28
99.1625	Tebingtinggi	Asia/Jakarta	3.3285	accep	2021/06/10
6.76111	Hoogezand	Europe/Amsterdam	53.16167	accep	04/12/2015, 00:00:00
123.62494	Masbate	Asia/Manila	12.37169	accep	2019/11/13
137.36215	Namerikawa	Asia/Tokyo	36.75965	building	02 Dec 2016
145.18333	Wheelers Hill	Australia/Melbourne	-37.9	average	14 Dec 2019
-76.51552	Rosedale	America/New_York	39.32011	building	29 Nov 2014
89.20083	Sharypovo	Asia/Krasnoyarsk	55.54028	good	2016-09-25
-38.79084	Tucano	America/Bahia	-10.95817	good	2020/12/29
-74.28459	Woodbridge	America/New_York	40.5576	good	04/06/2021, 00:00:00
7.02238	Gronau	Europe/Berlin	52.21099	building	06/20/2021, 00:00:00
-119.01677	Porterville	America/Los_Angeles	36.06523	accep	2019-10-02
-75.60804	West Chester	America/New_York	39.96097	good	13 Dec 2019
-73.97069	Kensington	America/New_York	40.64621	excellent	01/26/2020, 00:00:00
73.97117	Naushahra Virkan	Asia/Karachi	31.96258	building	2015/06/03
29.65806	Mwandiga	Africa/Dar_es_Salaam	-4.83	average	2014/11/23
20.91361	Bogovinje	Europe/Skopje	41.92361	good	2016-08-04
12.87117	Karlovy Vary	Europe/Prague	50.23271	good	2020-08-11
9.17702	Stuttgart	Europe/Berlin	48.78232	accep	2021-02-02
121.12251	Antipolo	Asia/Manila	14.62578	accep	15 Jun 2019
110.8405	Kudus	Asia/Jakarta	-6.8048	good	2021-08-10
36.25361	Polohy	Europe/Zaporozhye	47.48444	accep	2019-07-20
16.54165	Harstad	Europe/Oslo	68.79833	average	2015/02/28
5.06258	Igbara-Odo	Africa/Lagos	7.50251	average	2019-12-25
6.8625	Oberhausen	Europe/Berlin	51.47805	average	05/24/2018, 00:00:00
-1.48119	Belper	Europe/London	53.0233	building	07 Mar 2015
-88.42814	Huntley	America/Chicago	42.16808	building	2014/03/07
-2.1875	Westbury	Europe/London	51.26	good	2012-11-16
78.55757	Lal Bahadur Nagar	Asia/Kolkata	17.34769	excellent	2014-08-14
51.0193	Shahre Jadide Andisheh	Asia/Tehran	35.6803	excellent	15 Oct 2018
104.09701	Simpang	Asia/Jakarta	-1.26424	accep	03/25/2018, 00:00:00
111.4834	Aykhal	Asia/Yakutsk	65.93381	accep	06/14/2019, 00:00:00
-115.98391	Pahrump	America/Los_Angeles	36.20829	accep	01/17/2021, 00:00:00
14.66737	Campobasso	Europe/Rome	41.55947	average	2016-06-20
-97.50417	Heroica Matamoros	America/Matamoros	25.87972	good	2019/12/27
-118.25508	Glendale	America/Los_Angeles	34.14251	average	2020-11-19
-78.19444	Front Royal	America/New_York	38.91817	average	2019-12-18
-72.27814	Keene	America/New_York	42.93369	accep	03/23/2015, 00:00:00
-5.22126	Azrou	Africa/Casablanca	33.43443	average	2017/02/04
-97.92977	Hutchinson	America/Chicago	38.06084	maintenance	30 Apr 2018
-0.74934	High Wycombe	Europe/London	51.62907	maitennce	2018-03-09
117.59152	Tarakan	Asia/Makassar	3.31332	accep	2016-09-07
-73.75513	Far Rockaway	America/New_York	40.60538	maintenance	2020/01/23
121.12251	Antipolo	Asia/Manila	14.62578	building	07 Mar 2017
-1.47217	Chapletown	Europe/London	53.46506	excellent	2013/07/30
-41.25528	Resplendor	America/Sao_Paulo	-19.32556	good	06/05/2021, 00:00:00
-73.89875	Yonkers	America/New_York	40.93121	good	2017-08-15
77.0202	Otegen Batyra	Asia/Almaty	43.41949	excellent	04/16/2019, 00:00:00
8.52462	Adliswil	Europe/Zurich	47.30997	accep	01 Feb 2018
7.973	Finnentrop	Europe/Berlin	51.168	maintenance	04/07/2022, 00:00:00
-2.1875	Westbury	Europe/London	51.26	excellent	01/14/2015, 00:00:00
-50.00639	Palmeira	America/Sao_Paulo	-25.42944	excellent	2014-03-31
-75.60804	West Chester	America/New_York	39.96097	excellent	10 Sep 2016
72.93924	Uran	Asia/Kolkata	18.87813	maintenance	10/25/2015, 00:00:00
-73.02841	Chiguayante	America/Santiago	-36.9256	accep	2014-12-22
77.54372	Periyakulam	Asia/Kolkata	10.12268	good	2012/11/10
24.04142	Alytus	Europe/Vilnius	54.39635	building	2022/05/08
151.07986	Strathfield	Australia/Sydney	-33.88096	excellent	04 Aug 2020
72.54064	Sillanwali	Asia/Karachi	31.82539	average	04/14/2017, 00:00:00
13.39954	Falconara Marittima	Europe/Rome	43.62558	good	2018-12-06
-2.31938	Bibiani	Africa/Accra	6.46346	good	2014/06/07
9.37082	Siliana	Africa/Tunis	36.08497	excellent	2021-05-29
30.91105	Arua	Africa/Kampala	3.02013	excellent	2013/01/29
140.11667	Inawashiro	Asia/Tokyo	37.56667	excellent	03/14/2021, 00:00:00
-52.2	Marau	America/Sao_Paulo	-28.44917	good	2020-11-12
-72.22625	Croix-des-Bouquets	America/Port-au-Prince	18.57677	building	11/12/2020, 00:00:00
91.84128	Manikchari	Asia/Dhaka	22.83957	accep	25 Jan 2020
11.37703	Gauting	Europe/Berlin	48.06919	good	2014/06/09
-59.13316	Tandil	America/Argentina/Buenos_Aires	-37.32167	average	2022/03/12
-5.22126	Azrou	Africa/Casablanca	33.43443	excellent	11 Nov 2020
-73.99681	Dumont	America/New_York	40.94065	excellent	11/22/2015, 00:00:00
13.10984	Oschatz	Europe/Berlin	51.30001	good	2016/07/02
-73.89875	Yonkers	America/New_York	40.93121	average	10 Jun 2021
-70.20749	Barinas	America/Caracas	8.62261	good	26 Aug 2021
88.18466	Diamond Harbour	Asia/Kolkata	22.19303	average	03/08/2021, 00:00:00
-71.8023	Fitchburg	America/New_York	42.58342	average	11 Mar 2017
8.96317	Hechingen	Europe/Berlin	48.35149	average	09 Mar 2020
-41.25528	Resplendor	America/Sao_Paulo	-19.32556	average	2015-09-22
44.53333	Sakaraha	Indian/Antananarivo	-22.9	maintenance	2014-10-24
8.96317	Hechingen	Europe/Berlin	48.35149	building	2020-06-29
0.75	Thetford	Europe/London	52.41667	accep	2014-07-15
-122.38731	Troutdale	America/Los_Angeles	45.53929	accep	2017-04-08
51.3452	Otradnyy	Europe/Samara	53.37596	good	09/14/2013, 00:00:00
-4.22398	Inverness	Europe/London	57.47908	excellent	2016/03/07
19.61222	Sremska Mitrovica	Europe/Belgrade	44.97639	building	03/18/2015, 00:00:00
136.13108	Ueno-ebisumachi	Asia/Tokyo	34.75856	excellent	04 Nov 2021
5.06258	Igbara-Odo	Africa/Lagos	7.50251	average	01/16/2016, 00:00:00
-103.5687	Zacoalco de Torres	America/Mexico_City	20.22816	good	2020/10/18
-52.20639	Altamira	America/Santarem	-3.20333	accep	2014/07/17
-51.87389	Sarandi	America/Sao_Paulo	-23.44361	accep	07/02/2015, 00:00:00
-118.10583	San Gabriel	America/Los_Angeles	34.09611	average	2017/05/27
-0.32247	Lancing	Europe/London	50.82882	accep	2019/06/24
-38.94722	Canavieiras	America/Bahia	-15.675	good	2012-09-29
-80.66756	Belle Glade	America/New_York	26.68451	average	16 Jul 2014
77.656	Pilkhua	Asia/Kolkata	28.71271	building	2019-10-21
-98.11889	Casa Blanca	America/Mexico_City	19.04222	accep	10/20/2017, 00:00:00
-87.66561	Lower West Side	America/Chicago	41.8542	good	2018/04/18
78.27539	Robertsonpet	Asia/Kolkata	12.95629	average	2022/02/22
2.59753	Tchaourou	Africa/Porto-Novo	8.88649	excellent	2021/12/03
137.4	Toyokawa	Asia/Tokyo	34.81667	accep	2015-07-02
16.86194	Ustka	Europe/Warsaw	54.58048	good	2022-08-17
89.20083	Sharypovo	Asia/Krasnoyarsk	55.54028	accep	11/06/2018, 00:00:00
-117.23991	Opportunity	America/Los_Angeles	47.64995	average	2020-06-13
120.14278	Jiangyan	Asia/Shanghai	32.50611	excellent	15 Sep 2018
-100.88023	Salvatierra	America/Mexico_City	20.21322	building	2015/11/29
-91.73625	Searcy	America/Chicago	35.25064	excellent	08/17/2020, 00:00:00
-73.25383	Iquitos	America/Lima	-3.74912	maintenance	2016/03/22
6.26764	Yenagoa	Africa/Lagos	4.92675	average	2021/11/17
10.98461	Friedberg	Europe/Berlin	48.35693	good	2021-12-08
2.29275	Fontenay-aux-Roses	Europe/Paris	48.79325	excellent	10/08/2020, 00:00:00
103.6032	Kulai	Asia/Kuala_Lumpur	1.6561	building	2013/04/23
24.04142	Alytus	Europe/Vilnius	54.39635	excellent	2017-06-10
84.63445	Rafiganj	Asia/Kolkata	24.81757	maintenance	17 Jan 2017
-111.89903	Scottsdale	America/Phoenix	33.50921	good	2019-06-19
1.6	Pamiers	Europe/Paris	43.11667	accep	11/23/2015, 00:00:00
-61.51889	Port of Spain	America/Port_of_Spain	10.66668	excellent	2022/03/20
-60.93173	Esperanza	America/Argentina/Cordoba	-31.4488	accep	09/09/2021, 00:00:00
46.04833	Privolzhskiy	Europe/Saratov	51.40944	good	03/27/2021, 00:00:00
106.92667	Sukabumi	Asia/Jakarta	-6.91806	accep	2016-09-20
76.56719	Aklera	Asia/Kolkata	24.41288	excellent	07 Mar 2013
102.56365	Paoy Paet	Asia/Phnom_Penh	13.65805	accep	08/26/2019, 00:00:00
17.80774	Mesagne	Europe/Rome	40.55851	excellent	05 Jan 2021
12.70038	Cordenons	Europe/Rome	45.9836	good	29 Mar 2022
118.53333	Pucheng	Asia/Shanghai	27.92333	excellent	03/17/2019, 00:00:00
104.64992	Kantharalak	Asia/Bangkok	14.64056	accep	2017-11-05
13.44275	Villabate	Europe/Rome	38.07789	maintenance	2019-08-24
-119.48568	Kelowna	America/Vancouver	49.88307	building	02/21/2016, 00:00:00
116.10146	Donggongon	Asia/Kuching	5.90702	accep	08/17/2021, 00:00:00
-82.07842	Punta Gorda Isles	America/New_York	26.91756	maintenance	17 Apr 2013
-75.69947	San Carlos	America/Bogota	8.79577	accep	2021-12-06
47.3799	Darreh Shahr	Asia/Tehran	33.14447	excellent	01 Jun 2020
2.45012	Bobigny	Europe/Paris	48.90982	good	08 Aug 2017
121.96361	Recodo	Asia/Manila	6.95194	accep	2018-08-17
106.88324	Ulan Bator	Asia/Ulaanbaatar	47.90771	good	2013-10-19
122.22833	Yingkou	Asia/Shanghai	40.66482	good	28 Aug 2020
178.00417	Gisborne	Pacific/Auckland	-38.65333	excellent	2019/01/02
-73.49484	New Canaan	America/New_York	41.14676	accep	2021-03-12
-67.33122	La Victoria	America/Caracas	10.22677	excellent	2016-03-08
29.26639	Serinhisar	Europe/Istanbul	37.58105	average	2021/07/24
-65.71875	Tupiza	America/La_Paz	-21.44345	excellent	2013-07-21
-121.74052	Davis	America/Los_Angeles	38.54491	good	2020-10-31
33.72798	Zhukovka	Europe/Moscow	53.53395	good	2013-03-26
-117.71978	Claremont	America/Los_Angeles	34.09668	accep	2014-04-19
2.44892	Gonesse	Europe/Paris	48.98693	accep	03/11/2017, 00:00:00
-59.13316	Tandil	America/Argentina/Buenos_Aires	-37.32167	average	2016-04-01
-120.93549	Riverbank	America/Los_Angeles	37.73604	building	2015-09-23
13.32127	Wittenau	Europe/Berlin	52.59319	average	2021/09/01
9.02596	Albstadt	Europe/Berlin	48.21644	accep	2018-07-16
13.58357	Franceville	Africa/Libreville	-1.63333	good	15 Mar 2016
-73.49484	New Canaan	America/New_York	41.14676	average	2021-09-11
38.12408	Bogoroditsk	Europe/Moscow	53.77166	excellent	03 Nov 2012
37.38115	Solntsevo	Europe/Moscow	55.63711	good	04/14/2017, 00:00:00
122.9666	Talisay	Asia/Manila	10.7375	average	02/28/2021, 00:00:00
-0.59543	Talence	Europe/Paris	44.80477	accep	04 Feb 2015
6.83042	Nkpor	Africa/Lagos	6.15038	average	2013-09-06
16.86194	Ustka	Europe/Warsaw	54.58048	accep	2018-07-19
120.03308	Guli	Asia/Shanghai	28.88162	good	2020-01-22
86.79271	Madhipura	Asia/Kolkata	25.92127	building	2021-03-29
8.52462	Adliswil	Europe/Zurich	47.30997	good	26 Jun 2021
38.01667	Debre Tabor	Africa/Addis_Ababa	11.85	building	04/22/2018, 00:00:00
17.80774	Mesagne	Europe/Rome	40.55851	good	2013-10-25
2.18967	Rueil-Malmaison	Europe/Paris	48.8765	good	22 Jan 2014
71.30633	Kundla	Asia/Kolkata	21.34222	accep	2018/08/06
69.01354	Vahdat	Asia/Dushanbe	38.55632	average	10/15/2018, 00:00:00
-0.74934	High Wycombe	Europe/London	51.62907	average	2019-06-30
9.0027	Gaya	Africa/Lagos	11.86064	good	04/21/2015, 00:00:00
-58.44417	Itacoatiara	America/Manaus	-3.14306	good	2020/11/21
-4.10734	Puertollano	Europe/Madrid	38.68712	building	04/30/2016, 00:00:00
139.55722	Okegawa	Asia/Tokyo	36	maintenance	12 Apr 2014
21.32778	Saraj	Europe/Skopje	42	average	05 May 2016
86.51499	Kenda	Asia/Kolkata	23.1959	average	07 Oct 2019
59.80222	Lesnoy	Asia/Yekaterinburg	58.63667	maintenance	20 Dec 2013
-87.70172	Evergreen Park	America/Chicago	41.72059	maintenance	19 Dec 2018
-87.88754	Bourbonnais	America/Chicago	41.15376	good	2013-04-05
46.04833	Privolzhskiy	Europe/Saratov	51.40944	accep	2015-08-18
42.85693	Patnos	Europe/Istanbul	39.22493	excellent	03/08/2018, 00:00:00
43.2379	Mikhaylovka	Europe/Volgograd	50.06	good	2019-06-23
122.08333	Ulanhot	Asia/Shanghai	46.08333	average	03/27/2017, 00:00:00
31.4976	Juhaynah	Africa/Cairo	26.67319	good	04/24/2020, 00:00:00
70.91106	Alipur	Asia/Karachi	29.38242	good	2014-07-13
139.07204	Fujioka	Asia/Tokyo	36.24624	accep	2015-01-09
-71.19901	Ovalle	America/Santiago	-30.60106	accep	26 Apr 2019
-0.18333	Gandia	Europe/Madrid	38.96667	average	09/07/2018, 00:00:00
-81.26367	Deltona	America/New_York	28.90054	good	2021-09-09
18.28333	Boo	Europe/Stockholm	59.33333	excellent	07/28/2016, 00:00:00
73.66633	Sojat	Asia/Kolkata	25.92493	excellent	20 Apr 2013
36.73307	Naro-Fominsk	Europe/Moscow	55.38752	average	2020/03/27
-0.36053	Bushey	Europe/London	51.64316	excellent	04/07/2021, 00:00:00
13.10984	Oschatz	Europe/Berlin	51.30001	average	2015-01-05
-122.38731	Troutdale	America/Los_Angeles	45.53929	building	2017/12/30
75.11937	Parola	Asia/Kolkata	20.88098	excellent	06/22/2014, 00:00:00
2.29026	Sceaux	Europe/Paris	48.77644	good	11/01/2018, 00:00:00
-0.59543	Talence	Europe/Paris	44.80477	good	2016-03-02
78.55757	Lal Bahadur Nagar	Asia/Kolkata	17.34769	average	2015-11-25
67.84222	Jizzax	Asia/Samarkand	40.11583	accep	2022/06/17
113.13148	Foshan	Asia/Shanghai	23.02677	accep	2017/04/22
-1.06667	Selby	Europe/London	53.78333	accep	2013/06/04
73.85535	Pune	Asia/Kolkata	18.51957	good	2017-02-12
4.8951	Valence	Europe/Paris	44.92801	good	2017/08/11
77.5609	Kangayam	Asia/Kolkata	11.00599	accep	11 Feb 2016
150.99292	Baulkham Hills	Australia/Sydney	-33.75881	excellent	13 Jun 2018
34.8732	Ganei Tikva	Asia/Jerusalem	32.05971	average	16 Oct 2013
-48.59278	Buri	America/Sao_Paulo	-23.7975	good	2012-11-18
-73.78458	Scarsdale	America/New_York	41.0051	excellent	06/19/2017, 00:00:00
69.01354	Vahdat	Asia/Dushanbe	38.55632	maintenance	22 Nov 2017
17.4674	Brzeg	Europe/Warsaw	50.86079	average	03/06/2019, 00:00:00
103.81667	Ulu Tiram	Asia/Kuala_Lumpur	1.6	good	29 Apr 2013
69.01354	Vahdat	Asia/Dushanbe	38.55632	accep	2013/09/25
72.34424	Andijon	Asia/Tashkent	40.78206	accep	2013/10/26
-52.2	Marau	America/Sao_Paulo	-28.44917	accep	11/28/2017, 00:00:00
-84.23381	Stockbridge	America/New_York	33.54428	excellent	06/14/2013, 00:00:00
76.11996	Manjeri	Asia/Kolkata	11.12018	excellent	16 Dec 2020
76.03889	Osmanabad	Asia/Kolkata	18.18158	excellent	14 Jun 2020
-97.54667	Hutto	America/Chicago	30.5427	accep	2013-08-07
-117.79394	North Tustin	America/Los_Angeles	33.76446	excellent	11/28/2018, 00:00:00
115.8614	Perth	Australia/Perth	-31.95224	average	2018/09/25
-91.06177	Greenville	America/Chicago	33.41012	maintenance	2013-07-27
14.66737	Campobasso	Europe/Rome	41.55947	good	2021-12-22
34.3869	Ar Ruseris	Africa/Khartoum	11.8659	good	10/01/2015, 00:00:00
12.70038	Cordenons	Europe/Rome	45.9836	average	2013/12/18
112.19028	Jingzhou	Asia/Shanghai	30.35028	good	2015-05-29
26.01649	Sector 6	Europe/Bucharest	44.43579	excellent	2014-10-28
75.92694	Davangere	Asia/Kolkata	14.46693	accep	2015/11/26
-76.70944	Chosica	America/Lima	-11.94306	excellent	2020/09/11
-80.58556	Corralillo	America/Havana	22.98212	maintenance	2021-09-10
-118.10583	San Gabriel	America/Los_Angeles	34.09611	good	21 Aug 2021
13.63617	Most	Europe/Prague	50.50301	maintenance	12 Mar 2020
29.00974	Mokopane	Africa/Johannesburg	-24.19436	good	19 Aug 2022
4.47124	Schiebroek	Europe/Amsterdam	51.95838	accep	29 May 2014
17.58522	Francavilla Fontana	Europe/Rome	40.53123	accep	2015/04/28
7.00417	Losser	Europe/Amsterdam	52.26083	building	2019/05/25
65.93249	Sar-e Pul	Asia/Kabul	36.21544	building	2019/09/04
-94.41551	Independence	America/Chicago	39.09112	average	04/25/2019, 00:00:00
2.61667	Mitry-Mory	Europe/Paris	48.98333	accep	14 Oct 2020
0.75	Thetford	Europe/London	52.41667	excellent	10 Sep 2017
-79.2663	Markham	America/Toronto	43.86682	good	04/18/2022, 00:00:00
-118.03917	South Whittier	America/Los_Angeles	33.95015	average	2020-11-02
-72.86843	East Haven	America/New_York	41.27621	average	02 May 2021
-2.12139	Brierley Hill	Europe/London	52.48173	excellent	2019/02/22
136.51667	Komono	Asia/Tokyo	35	building	2013/12/22
-102.36764	Odessa	America/Chicago	31.84568	building	22 Jul 2014
120.56528	Pilar	Asia/Manila	14.66	building	2018/07/14
30.91105	Arua	Africa/Kampala	3.02013	maintenance	09/26/2013, 00:00:00
-1.48119	Belper	Europe/London	53.0233	accep	01 Dec 2019
34.33825	Dyat’kovo	Europe/Moscow	53.59782	good	25 Jul 2018
-105.36369	Acaponeta	America/Mazatlan	22.49396	average	18 May 2016
-95.44744	Fresno	America/Chicago	29.53885	good	04 Jan 2017
4.74161	Ilesa	Africa/Lagos	7.62789	average	28 Apr 2019
-73.95958	Brighton Beach	America/New_York	40.57788	excellent	2015/11/02
2.1699	Herblay	Europe/Paris	48.98994	accep	30 May 2020
-73.02841	Chiguayante	America/Santiago	-36.9256	accep	2021-08-09
38.15035	Svatove	Europe/Zaporozhye	49.41029	excellent	11/16/2019, 00:00:00
38.07083	Stupino	Europe/Moscow	54.90083	excellent	09/04/2018, 00:00:00
18.28333	Boo	Europe/Stockholm	59.33333	good	20 Sep 2015
-72.27814	Keene	America/New_York	42.93369	excellent	01 Oct 2012
14.43865	Somma Vesuviana	Europe/Rome	40.87329	average	2022/07/28
-100.44843	Santa Rosa Jauregui	America/Mexico_City	20.74122	average	2013-07-20
-99.73314	Abilene	America/Chicago	32.44874	excellent	10/26/2021, 00:00:00
12.6723	Ariccia	Europe/Rome	41.72063	maintenance	2017-09-18
-81.38758	Palm Valley	America/New_York	30.17746	maintenance	01/09/2014, 00:00:00
-0.36053	Bushey	Europe/London	51.64316	good	03/11/2021, 00:00:00
85.94001	Teghra	Asia/Kolkata	25.49043	excellent	11 Jun 2017
-77.96389	Martinsburg	America/New_York	39.45621	accep	12/25/2014, 00:00:00
77.40858	Leteri	Asia/Kolkata	24.05979	maintenance	2020/12/02
-1.4001	Mampong	Africa/Accra	7.06273	accep	12 Jan 2021
34.11169	Busia	Africa/Nairobi	0.46005	average	01 Feb 2015
-78.19444	Front Royal	America/New_York	38.91817	building	15 Apr 2018
-116.56346	Nampa	America/Boise	43.54072	maintenance	10 Jan 2017
-15.58602	Maspalomas	Atlantic/Canary	27.76056	building	2017/12/12
-82.61573	Norwalk	America/New_York	41.24255	building	2021-06-21
35.34722	Maxixe	Africa/Maputo	-23.85972	excellent	2016/03/30
1.26738	Walton-on-the-Naze	Europe/London	51.84819	accep	2016/06/05
29.00974	Mokopane	Africa/Johannesburg	-24.19436	average	01 Oct 2018
-91.58045	Coralville	America/Chicago	41.6764	excellent	04/12/2022, 00:00:00
-3.67029	Las Gabias	Europe/Madrid	37.13548	average	22 Oct 2021
39.8302	Severodvinsk	Europe/Moscow	64.5635	average	27 May 2018
116.11768	Meizhou	Asia/Shanghai	24.28859	building	2013-06-13
14.72443	Ragusa	Europe/Rome	36.92574	good	10/02/2015, 00:00:00
-40.7475	Guaraciaba do Norte	America/Fortaleza	-4.16694	good	09 Jan 2013
-34.88111	Recife	America/Recife	-8.05389	maintenance	02/04/2016, 00:00:00
121.3152	Calauan	Asia/Manila	14.14989	accep	2022-06-15
41.77921	Kobuleti	Asia/Tbilisi	41.82143	excellent	2018-11-05
-67.15407	Aguadilla	America/Puerto_Rico	18.42745	good	10/19/2013, 00:00:00
-105.36369	Acaponeta	America/Mazatlan	22.49396	average	07/11/2018, 00:00:00
-81.23621	Lexington	America/New_York	33.98154	accep	10/08/2018, 00:00:00
-95.30106	Tyler	America/Chicago	32.35126	average	2014-07-01
12.16179	Landshut	Europe/Berlin	48.52961	average	2018-04-13
-87.882	Westchester	America/Chicago	41.85059	average	25 Nov 2021
117.4831	Shaowu	Asia/Shanghai	27.34089	average	2017-03-16
178.00417	Gisborne	Pacific/Auckland	-38.65333	accep	2013/10/11
6.10237	Onex	Europe/Zurich	46.18396	excellent	08/10/2013, 00:00:00
-86.57415	Olanchito	America/Tegucigalpa	15.48131	good	08 Aug 2013
-84.13722	San Rafael	America/Costa_Rica	9.92787	accep	13 Mar 2019
14.34085	Volla	Europe/Rome	40.87363	accep	09 Sep 2019
29.00974	Mokopane	Africa/Johannesburg	-24.19436	good	2013/05/29
34.86563	Ramla	Asia/Jerusalem	31.92923	accep	19 Aug 2020
-115.98391	Pahrump	America/Los_Angeles	36.20829	good	2017/06/18
3.39467	Lagos	Africa/Lagos	6.45407	building	2017-07-18
-0.76773	Novelda	Europe/Madrid	38.38479	building	2015/04/12
74.80555	Srinagar	Asia/Kolkata	34.08565	good	2022-03-18
28.28489	Soroca	Europe/Chisinau	48.15659	excellent	2015-07-31
34.02537	Aksaray	Europe/Istanbul	38.37255	excellent	2017-04-10
13.57661	Agrigento	Europe/Rome	37.31065	excellent	2020/03/13
86.59509	Supaul	Asia/Kolkata	26.11527	average	06 Jul 2013
77.5609	Kangayam	Asia/Kolkata	11.00599	accep	27 Mar 2015
32.6178	Kherson	Europe/Kiev	46.65581	accep	2021-10-18
30.91105	Arua	Africa/Kampala	3.02013	maintenance	2021-12-08
75.16878	Moga	Asia/Kolkata	30.81383	maitennce	2014/12/08
120.97844	Guyong	Asia/Manila	14.8361	accep	2014-10-05
144.23058	Mount Hagen	Pacific/Port_Moresby	-5.85746	accep	05/14/2016, 00:00:00
