CO	CFCs	warning	Pb	C2H3NO5	PAHs	PM2.5	latitude	NH3	PRES	longitude	CH4	PM10	NOx	SO2	O3	H2CO	TEMP
7.67869	46.56999	1.00000	48.51691	0.03381	8.54841	7.38216	41.09822	7.22352	1143.86800	120.74792	6.97604	5.26568	10.79811	2.47446	5.74365	38.18427	13.90960
10.23568	64.29011	1.00000	50.38476	1.02155	6.64837	7.43165	51.64316	9.64479	1055.90078	-0.36053	8.09623	9.74038	9.74607	4.27564	3.56907	38.79721	16.03740
5.47491	14.23702	0.00000	44.88131	0.88113		7.10383	44.35056	9.56591	1194.12723	142.45778	6.70806	9.59990	9.00536	5.98033	8.82050	44.35639	8.83030
6.59011	59.71249	0.00000	43.34582	0.72344	7.06593	6.30128	24.28859	7.60127	1075.89577	116.11768	6.20306	9.24674	8.20854	7.81465	7.55140	49.89446	21.37414
9.42529	27.01555	1.00000	71.06607	0.13097	8.06403	7.76733	37.56667	6.42374	1177.97567	140.11667	10.06138	6.54380	9.69116	7.69065	7.39973	50.11298	4.66660
10.09732	60.20059	1.00000	26.36878	0.13248	7.24457	8.46870	51.62907	4.83560	1118.43204	-0.74934	8.88718	7.04732	9.57486	8.13261	6.96975	49.47668	30.35564
9.91935	47.22257	1.00000	55.65203	0.19550	7.45808	6.88338	24.81757	5.92625	1193.76610	84.63445	7.00095	7.23996	10.78341	7.69026	7.24641	60.24046	9.55083
8.95446	48.04357	1.00000	41.38883	0.13727	8.52536	8.59889	36.61954	8.09657	1194.94027	4.08282	7.27720	7.22511	4.94139	4.17323	3.19481	44.86913	23.79418
6.13973	36.58345	0.00000	55.30248	1.18587	8.95721	8.86753	7.50251	6.44783	1164.70880	5.06258	8.09006	9.91078	8.04830	7.29217	9.29911	61.40491	12.90286
5.08753	50.92675	0.00000	70.46615	0.35296	7.22464	8.05750	14.53767	4.36679	1071.27584	46.83187	8.47081	8.18301	7.83091	5.75069	8.53735	48.27481	14.02467
5.87773	44.09539	0.00000	32.42142	0.19210	9.51404	8.45064	22.19303	6.85700	1111.54902	88.18466	6.60443	7.99424	7.35305	7.51303	8.22464	59.42965	12.96067
7.01239	22.48236	1.00000	48.18474	0.43450	9.37044	6.17967	-20.87306	7.78548	1125.24498	-48.29694	8.87596	8.57671	4.25417	9.43350	6.50837	66.86611	-7.80363
7.45595	51.69564	1.00000	14.56979	0.43807	6.99411	7.21749	16.68911	5.85625	1193.11440	98.50893	5.90223	8.68268	6.65379	10.09912	9.20812	46.54375	38.63868
4.82105	58.94430	0.00000	40.56433	5.91633	7.41404	7.21090	48.98994	6.39027	1142.14154	2.1699	8.97962	11.56598	4.71955	6.80103	7.85924	25.80501	8.51056
2.82456	39.23461	1.00000	57.76227	11.52671	7.93043	8.05436	36.20829	6.31655	1179.70299	-115.98391	7.48474	12.23539	5.69304	4.93203	8.31236	39.61751	25.77581
5.68207	30.30735	0.00000	48.86729	0.15434	7.86839	7.54937	-10.95817	6.75233	1183.94430	-38.79084	8.60339	6.75357	10.94527	5.37057	7.70324	38.85702	1.69586
9.55610	65.88572	1.00000	45.00460	0.10427	8.78924	8.70631	5.90702	6.95476	1144.50158	116.10146	6.96789	6.67917	8.51353	12.78045	11.24187	53.90312	7.37664
10.11248	52.83319	0.00000	48.75018	4.82232	7.59222	6.88883	8.62261	8.40156	1124.49688	-70.20749	8.14174	11.36063	7.95995	11.26087	8.42116	53.29559	12.12413
5.67579	56.05473	1.00000	60.39125	2.81468	7.30816	6.88284	23.5654	8.07504	1197.19689	119.58627	8.54625	10.81188	6.08688	7.98286	10.01372	75.10326	17.84855
7.17141	84.25470	0.00000	25.33218	0.25419	9.33997	9.52458	30.24706	9.50625	1053.23412	115.04814	7.70148	7.93433	10.19275	6.65765	7.83714	47.33758	10.72780
4.27574	43.71389	1.00000	56.65116	3.31239		9.46358	34.65918	4.53076	1096.82698	109.22921	7.47905	10.96394	6.87352	6.49586	10.14490	73.09894	6.12918
7.01354	37.72669	0.00000	54.52550	0.29825	7.22868	8.40856	48.8765	7.28794	1175.16164	2.18967	9.18046	7.65312	6.28334	9.74864	8.96732		24.75842
8.28532	54.74390	0.00000	47.94320	0.11175	6.77553	8.49626	6.9909	9.98730	1065.63907	79.883	7.94614	6.30082	9.75151	5.16089	8.66890	45.55274	-5.56096
9.01751	46.40456	1.00000	64.76515	0.11940	6.12004	6.66294	17.30858	2.44706	1195.87017	97.01124	7.46769	5.46559	8.49754	7.70772	7.05917	52.21622	23.05861
9.49043	36.00205	1.00000	41.88123	0.14591	7.74070	8.69183	38.55632	6.37929	1188.33877	69.01354	7.62516	6.98585	5.85718	12.19776	8.57132	50.08564	22.57181
6.93214	78.43178	1.00000	46.38356	0.59329	9.12656	6.94494	42.819	9.77675	1166.27400	47.1192	7.33617	9.14541	5.91378	9.66804	8.61445	64.83545	23.23367
7.07632	46.93822	1.00000	42.24039	0.69745	6.77146	6.12026	65.93381	6.77509	1105.01341	111.4834	9.74171	9.30958	10.37637	7.84931	7.71957	59.09138	17.98202
9.11055	33.97222	1.00000	42.12920	0.08175	7.88815	9.23102	48.35149	5.79635	1164.63810	8.96317	6.71553	5.07147	8.34580	9.97236	9.22968	45.37729	8.64174
7.43713	38.02408	1.00000	30.55216	0.30556	7.49132	7.87028	22.37066	9.42932	1086.99432	114.10479	7.56261	8.13325	5.73927	10.20778	8.45503	50.25459	15.94964
7.13341	53.63819	0.00000	62.99286	1.67951	9.89321	8.66639	29.22254	8.97306	1153.34299	79.5286	7.96911	10.28350	7.15330	9.76615	11.04668	67.72649	19.71260
6.44567	44.80076	1.00000	37.31536	0.19278	7.60856	8.43458	41.24255	7.32799	1086.94850	-82.61573	8.24221	6.84390	7.95034	9.65306	9.62499	65.35158	0.49571
7.49903	54.75376	0.00000	44.39357	1.15372	6.31092	8.82094	32.50611	9.75186	1153.16667	120.14278	7.78064	9.84637	11.36431	10.13112	7.80592	36.08237	-13.43195
9.91410	44.05637		35.26087	0.56128	7.56674	9.48750	40.87363	7.36641	1115.03802	14.34085	7.12696	9.08851	6.15595	5.63242	3.09054	58.84365	12.61638
7.84556	47.57446	0.00000	50.31733	0.25888	6.59481	7.88796	44.80477	5.01631	1113.20449	-0.59543	8.50702	8.04909	12.38867	8.30834	7.42548	51.39027	5.56732
8.73590	32.33828	1.00000	47.52384	0.13632	8.14804	8.50662	-36.9256	5.60893	1185.78474	-73.02841	9.05219	6.66245	7.52046	11.70332	10.02912	57.85398	17.51330
6.28542	61.74260	1.00000	38.45534	0.67338	7.20273	7.08219	41.9001	6.60981	1120.28213	-71.08977	7.39327	9.27426	6.71255	8.82582	9.91936	50.87636	15.34901
8.92005	42.57716	1.00000	64.84003	0.14416	8.85412	7.13019	33.98154	6.99357	1198.58520	-81.23621	7.70778	6.61815	9.73862	4.84951	5.74971	44.60785	18.77537
9.48863	36.48466	1.00000	46.81667	0.10951	6.93367	8.65334	48.15659	7.71817	1131.55905	28.28489	7.79800	6.60077	11.01317	7.29945	7.84068	58.13663	25.34086
5.96830	52.51876	0.00000	62.10936	0.29138	9.33296	7.76798	34.77453	9.23562	1152.48120	-96.67834	7.13076	7.79043	10.43060	5.98858	7.61034	47.59099	15.51667
3.91621	41.57284	0.00000	41.71007	2.33482	8.16614	7.53132	29.22254	7.00234	1177.62870	79.5286	8.31479	10.61969	5.36687	6.22305	9.28105	40.90777	16.47214
7.21841	51.26312	0.00000	43.32087	0.14891	6.85091	7.55528	57.30185	6.26249	1050.09224	39.85331	8.28553	7.56784	10.66520	6.95112	9.18902	71.90540	3.19388
7.25383	35.16173	1.00000	35.28843	0.33752	9.55696	8.07313	37.73604	8.03986	1196.66560	-120.93549	6.99115	8.17688	5.14833	9.95710	6.87021	46.69568	31.91174
8.57043	24.56376	1.00000	59.63511	0.51472	7.67119	8.55780	22.83957	7.70322	1140.31864	91.84128	6.94569	8.96938	6.66922	11.23886	10.07260	50.67808	20.53314
7.10626	27.65111	0.00000	46.84422	0.53870	6.50952	7.43269	28.71271	4.30823	1118.91848	77.656	8.01622	8.92075	9.02255	7.93219	9.54300	44.29431	16.43230
5.93213	50.10735	0.00000	29.04347	0.33628	8.18120	8.79040	-32.45242	8.66997	1073.79704	-71.23106	7.87016	8.51882	9.77020	4.68279	8.18264	54.80019	11.77381
5.38507	15.73955	1.00000	37.21388	0.51033	7.49869	8.46869	24.81757	6.79760	1105.07510	84.63445	8.45400	8.93633	7.34518	8.23248	9.23197	59.49827	11.29267
7.52571	53.79505	0.00000	29.30959	0.87988	7.80118	6.41842	26.91756	5.36346	1157.56568	-82.07842	9.40043	9.46609	8.30648	6.07486	10.81361	45.03582	15.33928
8.38517	51.24781	1.00000	55.08609	0.12036	8.63021	6.61313	22.19303	8.71012	1060.40679	88.18466	7.49360	6.35585	9.77816	4.64513	6.09166	44.17432	19.05956
9.08105	28.20393	0.00000	52.59490	0.54700	7.89048	7.78333	47.38093	8.58238	1050.48606	-122.23484	8.81203	8.99491	8.84130	10.51270	10.87832	45.12449	24.33144
8.01231	51.90385	0.00000	39.45137	0.14121	5.76224	7.88877	6.45407	8.65239	1176.66211	3.39467	8.85622	6.38708	8.88180	7.55537	9.54382	46.95607	0.06327
6.51273	46.35064	0.00000	51.78228	0.74186	8.25739	7.24949	54.84444	6.27574	1077.31590	38.16694	8.63437	9.37285	8.14079	6.70321	9.36755	71.60337	22.20040
8.83341		1.00000	43.69388	0.09391	7.47424	9.31707	40.63316	4.33506	1085.22391	-74.13653	8.17707	5.57006	5.69197	7.80439	6.27448	49.80058	4.12205
5.81577	27.17937	1.00000	28.60503	0.51090	7.08346	8.19310	35.85	7.03077	1080.54918	117.7	7.86777	9.02192	9.08778	8.90162	11.52135	44.38760	15.57001
7.51792	69.73752	1.00000	44.22153	0.09889	6.78755	7.75508	-1.26424	8.19694	1074.10095	104.09701	9.18536	5.74678	9.61536	3.14220	5.52865	80.48205	14.42087
10.21938	25.88664	1.00000	42.69314	0.24336	6.77885	5.35230	49.65186	8.31572	1112.99475	26.97253	6.30681	7.61918	11.71514	8.23552	8.00196	39.19356	12.14452
5.96106	43.66843	1.00000	44.46966	0.78706	8.00785	7.27470	54.39635	5.97057	1051.19045	24.04142	9.03750	9.46167	7.43839	8.60699	10.25925	75.56602	3.64073
5.13272	51.58756	0.00000	36.80670	26.76153	8.60712	8.19162	36.6009	7.25633	1170.32785	126.665	8.88962	13.08731	3.97786	7.11529	10.61500	55.15656	18.94309
10.98436	47.80643	1.00000	46.92121	0.44903	7.41110	8.51826	34.81667	8.50253	1081.67737	137.4	8.43412	8.71691	8.13548	7.48000	5.36970	43.77426	-5.53198
6.34590	80.87382	1.00000	42.83885	0.58267	7.75359	7.24128	41.0051	3.67660	1168.70861	-73.78458	8.25881	9.06645	5.45412	8.56360	8.04339	39.33847	12.88438
9.87258	55.01936	1.00000	65.06706	0.24797	7.17515	7.11834	51.26	9.20185	1058.05669	-2.1875	8.47651	7.50013	8.35888	7.83942	11.81776	60.53994	7.44550
8.20348	51.62220	1.00000	63.43846	0.11526	7.37668	7.92118	-15.675	7.43425	1060.69906	-38.94722	8.32497	5.77903	12.41252	3.74562	6.84746	94.09826	17.17254
8.68786	55.48066	0.00000	55.42043	1.17295	7.62339	7.29722	40.87329	7.03061	1172.24908	14.43865	7.91077	9.89052	5.94125	8.46571	9.58725	50.65843	19.48871
8.94301	41.44405	0.00000	41.68382	0.56785	7.25722	9.37542	26.2173	7.17943	1083.66852	-80.22588	7.77546	9.01752	6.23875	8.94625	9.07877	54.40263	-7.70325
6.52371	52.24545	0.00000	54.55009	0.94861	8.04897	8.79647	52.26083	6.81373	1173.96314	7.00417	9.47610	9.64930	10.02027	6.95068	8.19723	74.11576	7.39314
7.62759	30.42814	0.00000	39.44130	1.53823	8.21306	6.86965	22.19303	9.30388	1155.25718	88.18466	8.57668	10.16306	11.45422	5.58949	7.71122	58.71428	29.48664
10.30756	40.23481	1.00000	25.92852	0.48410	9.73365	7.97885	39.96097	8.15666	1102.85201	-75.60804	7.36720	8.85654	6.54777	6.08882	3.77320	56.32025	29.19849
11.05130	46.99729	0.00000	44.12249	0.38439	8.36971	6.44377	53.30972	10.23298	1140.07852	83.62389	8.83997	8.38516	9.90602	9.65980	12.50407	49.71529	23.01830
9.81503	43.76775	1.00000	24.87203	0.24600	7.89866	7.65764	48.06919	6.47645	1123.95317	11.37703	7.34000	7.57158	9.47606	7.82910	6.69706	34.79059	30.25048
5.01252	32.62044	0.00000	54.59521	0.15802	8.13888	6.29435	24.28859	8.28671	1095.70048	116.11768	8.16947	7.57865	9.65615	4.30468	8.36070	45.60158	22.73970
5.01318	42.12152	1.00000	64.14765	0.81955	8.41098	7.16050	33.92866	5.52613	1073.24609	-6.90656	8.46469	9.51397	8.51646	7.86200	10.75240	80.39820	13.01996
9.59614	35.66551	1.00000	56.06202	0.19655	5.49633	8.32987	42.06166	7.24537	1090.25365	-1.60452	8.93366	7.54352	8.29336	6.31789	5.42986	50.49122	21.90239
5.22482	53.49127	1.00000	78.36628	0.74756	7.49780	7.87693	-37.32167	6.51314	1112.15594	-59.13316	7.10590	9.40002	8.56268	8.15498	10.91591	44.20841	13.63087
7.71916	50.57258	0.00000	53.02931	2.61939	5.43635	7.21892	35.95664	8.16233	1086.00773	36.7138	6.15530	10.73404	8.71704	9.98815	8.43725	44.22735	17.10905
6.26262	62.15429	1.00000	62.44154	0.51359	8.29629	7.27207	31.76212	6.74749	1052.78549	-95.63079	7.02737	9.06220	4.58108	8.66663	6.38065	40.50609	16.42648
6.61584	32.81420	0.00000	76.06990	0.58088	6.51357	8.18449	11.00599	7.38330	1064.02588	77.5609	8.06348	9.21741	10.50480	6.50465	7.68149	52.66308	8.31138
8.83990	55.17768	0.00000	47.76470	0.22234	7.49162	7.91795	41.0051	6.81793	1165.32369	-73.78458	8.87664	7.79500	10.73220	4.42181	10.67990	48.19046	21.01998
3.85432	56.75526	0.00000	49.45898	0.95486	8.16058	8.19604	22.19303	10.41393	1180.99239	88.18466	7.83046	9.76979	7.56116	5.84461	8.41741	35.65900	16.53872
8.31001	53.09249	1.00000	44.31591	0.35484	8.80823	6.18942	12.97389	5.96138	1089.31274	123.99333	9.08236	8.28730	5.20718	10.72471	8.11637	75.32568	16.96896
8.04629	62.57850	1.00000	66.89232	0.48512	8.50594	8.08435	47.30997	9.48602	1175.80532	8.52462	9.32034	8.75089	6.19856	10.79961	9.38656	50.81598	14.36084
8.00146	25.82837	0.00000	29.65155	0.20171	6.14957	9.77134	47.80527	4.50692	1157.29663	-122.24064	8.01815	7.76677	10.73075	8.16559	9.24450	53.43214	13.43879
7.67846	32.25508	1.00000	56.13683	0.09466	6.45692	6.87579	7.50251	7.65923	1182.72163	5.06258	7.41757	5.66234	8.32997	4.92057	6.05182	31.94818	20.47921
9.73061	61.35347	1.00000	73.84001	0.17764	9.65732	6.38241	-32.45242	7.46817	1118.39862	-71.23106	7.71351	7.41976	9.10166	8.48270	7.19757	48.04197	17.35550
11.60260	32.10401	0.00000	29.10203	0.86046	8.21576	7.78607	36.08497	8.29153	1109.00543	9.37082	7.26519	9.57065	6.97297	10.89784	12.22860	40.66058	5.78971
5.83061	27.14501	0.00000	49.75009	0.38841	8.41204	9.06914	42.4251	8.36083	1087.36257	-71.06616	9.05447	8.62649	9.22682	6.32244	8.87784	50.14818	19.57915
9.46108	14.75706	1.00000	46.47582	0.22975	8.99363	8.93700	40.58654	9.01429	1110.71908	-122.39168	8.65763	7.84262	8.77069	5.25093	5.06910	34.46397	2.94909
4.32468	53.71001	0.00000	35.45858	1.05426	8.40781	8.18249	10.15031	8.37474	1066.92473	-73.9614	7.89927	9.75679	8.54380	6.73672	7.32060	64.35079	0.53372
11.88805	53.11755	0.00000	23.08848	0.31012	8.89499	7.76948	33.54428	11.13709	1065.06741	-84.23381	6.77096	8.51879	10.69548	9.96548	11.39248	70.66422	18.99282
10.73065	40.66670	1.00000	60.70619	0.85856	9.41828	8.26131	28.90054	7.34573	1184.50152	-81.26367	9.20312	9.50708	8.57659	8.21300	5.32126	60.13687	0.96391
6.08856	70.93677	0.00000	48.61682	97.13559	8.67354	7.17113	-6.8	7.71724	1134.47597	39.25	6.68651	14.37883	4.32859	7.02382	11.23957	53.70844	7.63741
8.62294	48.56365	0.00000	43.14447	0.53719	8.19744	7.18835	56.11281	8.67254	1050.89036	69.49015	6.56310	9.09773	8.79494	9.14262	7.51367	33.89769	17.07620
5.75556	34.03446	0.00000	34.82424	0.20505	7.63054	8.93283	32.17629	6.36011	1143.50926	75.06583	8.17418	7.22231	9.15129	5.81645	9.63056	34.92287	17.62665
10.09789	61.58084	1.00000	50.69201	0.20726	7.59783	6.67549	34.25	8.83049	1198.33846	135.31667	8.64135	7.57866	8.74256	7.71461	6.66978	34.94718	22.95676
8.20363	33.67876	0.00000	10.97124	0.61796	6.87239	8.98173	40.66482	6.17282	1163.00498	122.22833	8.15651	9.17104	11.11114	7.00351	8.69424	64.82289	25.82814
11.31916	30.11756	0.00000	47.16236	0.62108	6.62327		33.54428	10.47085	1073.23717	-84.23381	7.20636	9.11927	10.43456	10.86192	10.65151	31.60578	3.54272
10.79013	42.26379	1.00000	32.60462	0.66891	7.10769	6.94232	50.75932	6.87886	1078.38266	25.34244	6.77510	9.14569	9.00847	7.75048	5.31254	39.40988	4.43261
7.82934	36.42613	1.00000	46.53344	0.07171	7.87162	8.05035	37.35813	6.24754	1162.65725	-6.03731	7.75983	5.86019	6.99383	2.86746	3.92773	37.30123	12.63622
7.73329	46.32219	1.00000	62.31504	0.10029	9.95439		41.27621	6.95985	1078.33358	-72.86843	7.14435	5.07385	9.06459	3.89413	6.01822	60.54663	15.23601
8.80695	39.23637	0.00000	45.10814	1.02755	6.83982	8.54756	41.0051	9.15825	1091.33989	-73.78458	5.96900	9.69557	8.82646	7.73179	7.08636	83.71934	-4.73567
5.50892	60.84892	0.00000	48.44224	0.38767	8.00652	7.39389	9.58126	5.37772	1170.48864	8.2926	6.68123	8.41158	8.52572	6.29825	8.57135	42.17736	23.93347
5.50530	42.78394	1.00000	46.33501	0.64783	7.93075	8.72077	41.82143	6.43031	1135.73074	41.77921	8.48341	9.27577	4.90128	7.88553	6.83059	40.52909	-5.21876
6.04076	60.61324	0.00000	27.93251	0.45467	8.69076	9.17446	47.30997	6.20246	1062.43251	8.52462	6.70659	8.76057	8.89558	7.07433	8.37560	48.37674	5.22397
7.41986	45.77376	1.00000	56.24430	0.73934	7.35559	7.25498	43.62558	4.94403	1128.17460	13.39954	6.35840	9.37681	7.25080	9.92777	10.60618	23.67890	19.41251
8.11979	86.63604	0.00000	69.81534	0.40051	9.50602	7.55248	45.44694	10.09399	1115.02544	8.62118	9.59503	8.55224	11.15143	8.81566	8.24263	65.84671	27.35740
9.77662	29.18900	1.00000	79.46377	0.12631	7.34210	6.83546	34.25	4.44696	1163.14636	135.31667	6.50228	6.47360	9.10593	8.22362	7.20534	61.78782	5.19015
9.07887	89.19539	1.00000	64.77199	0.17729	9.19701	9.19804	40.81	7.20108	1160.94377	-73.9625	6.05114	7.05374	10.40049	4.72047	5.62309	47.51268	-5.73968
6.52726	57.58633	0.00000	66.48086	0.47008	9.29949	7.31469	53.43333	8.67266	1053.52158	-7.95	7.61101	8.61503	9.32010	6.83689	6.11734	45.43769	22.34810
8.16499	70.28629	1.00000	55.62045	0.12207	7.89705	8.31156	59.33333	5.53167	1143.75973	18.28333	8.03614	5.17125	9.63204	5.29162	6.80586	44.22789	15.76691
9.84998	88.70769	0.00000	46.87130	0.14055	8.31142	7.73726	53.69786	8.28009	1067.69770	-2.68758	9.84896	7.02964	7.59762	8.99832	10.73717	57.22935	10.15229
8.13520	49.83724	1.00000	47.10830	0.14033	7.83378	8.98931	-29.2975	6.77852	1189.49753	-51.50361	7.06440	6.78085	7.24782	11.21603	9.06345	51.41640	3.08246
5.91209	60.97997	0.00000	20.76521	4.89824	8.04595	9.21298	-1.63333	7.54573	1052.32140	13.58357	7.12066	11.37068	6.86253	6.88021	9.59448	29.92914	22.41187
8.44086	41.11761	1.00000	48.27834	0.07721	10.03564	6.01365	17.54907	4.23308	1123.63440	82.85749		4.69348	11.92908	6.22720	8.37188	39.76483	15.17143
9.02858	54.51977	0.00000	48.07805	0.27923	8.46471	6.56651	6.46346	9.50843	1119.07477	-2.31938	8.01973	7.77485	10.36744	10.65348	9.58831	37.16681	15.54350
6.62455	13.10989	1.00000	59.15144	0.60548	7.98131	9.65146	57.47908	8.11529	1065.91361	-4.22398	7.97001	9.18626	9.35226	5.90948	9.38422	53.22756	24.35879
4.44158	50.87633	0.00000	21.49540	51.58313	6.12473	7.44716	41.55947	8.46799	1174.62536	14.66737	8.76490	13.74542	4.36153	6.49638	9.77605	39.52033	44.78918
5.49040	56.60396	0.00000	49.19744	0.65083	7.88243	7.46544	8.88649	6.12124	1124.85797	2.59753	6.38177	9.21936	6.56116	6.00824	10.87936	68.70946	26.38892
9.19435	28.88428	0.00000	53.09171	0.99459	8.34198	7.54350	16.0567	4.49664	1118.04513	103.65309	8.10392	9.71177	10.02325	7.45616	10.85044	65.35085	16.58401
8.19848	62.26690	0.00000	45.24196	0.29396	5.60720	7.80086	32.50611	9.96128	1146.47133	120.14278	8.84125	8.11912	10.52937	7.83877	6.91808	49.10655	20.55932
7.64720	51.10547	0.00000	25.46799	0.13401	8.97275	6.42533	34.81667	7.12123	1128.72556	137.4	8.28642	6.88918	6.94900	7.76807	12.02055	58.52632	5.83078
