longitude	location	station	latitude	revision	QoS
-2.01111	Europe/London	Great Wyrley	52.66277	01 Nov 2017	building
53.47103	Asia/Yekaterinburg	Oktyabr’skiy	54.48147	09/28/2017, 00:00:00	average
110.8405	Asia/Jakarta	Kudus	-6.8048	2013/12/19	excellent
11.18709	Europe/Berlin	Neuburg an der Donau	48.73218	2014/09/18	accep
-74.01042	America/New_York	Newburgh	41.50343	2012/10/23	accep
-42.29444	America/Fortaleza	Barras	-4.24444	2019/02/14	building
-5.55835	Europe/Madrid	Villaquilambre	42.64685	2014-05-17	average
69.67639	Asia/Tashkent	Parkent	41.29444	2015/04/02	excellent
-76.88442	America/New_York	Harrisburg	40.2737	2013-01-14	good
139.07204	Asia/Tokyo	Fujioka	36.24624	2019/06/08	excellent
-86.57415	America/Tegucigalpa	Olanchito	15.48131	03/08/2014, 00:00:00	accep
4.69889	Europe/Brussels	Gembloux	50.56149	08/23/2014, 00:00:00	building
-0.2	Europe/London	Barnet	51.65	28 Apr 2013	average
16.54165	Europe/Oslo	Harstad	68.79833	12/27/2012, 00:00:00	excellent
-39.25	America/Bahia	Muritiba	-12.91667	29 Dec 2013	good
-77.70066	America/New_York	Gates-North Gates	43.16547	2016/09/30	average
7.36027	Europe/Berlin	Radevormwald	51.20219	2021-01-31	accep
10.30215	Europe/Berlin	Bad Segeberg	53.94313	01/10/2015, 00:00:00	good
40.74357	Europe/Istanbul	Mardin	37.31309	2019-07-05	good
9.15214	Europe/Berlin	Aschaffenburg	49.97704	28 May 2019	maintenance
151.08057	Australia/Sydney	Eastwood	-33.79176	2015/07/30	good
26.97253	Europe/Kiev	Krasyliv	49.65186	14 Dec 2015	maintenance
-88.27205	America/Chicago	Kaukauna	44.27804	2022/06/24	accep
123.17306	Asia/Shanghai	Liaoyang	41.27194	2017-05-10	accep
-2.16	Africa/Casablanca	Jerada	34.31	02/04/2013, 00:00:00	maintenance
-52.35558	America/Cuiaba	Nova Xavantina	-14.66463	2019/04/20	good
11.412	Europe/Rome	Montecchio Maggiore-Alte Ceccato	45.50369	2015/11/01	maintenance
117.55417	Asia/Shanghai	Zaozhuang	34.86472	2022-07-11	average
68.49143	Asia/Karachi	Bhit Shah	25.80565	2021-12-06	building
1.00288	Europe/Paris	Elbeuf	49.28669	2020-09-11	maintenance
-44.31389	America/Sao_Paulo	Esmeraldas	-19.7625	2014/03/07	good
137.5	Asia/Tokyo	Shinshiro	34.9	2014-03-17	good
-91.58045	America/Chicago	Coralville	41.6764	11 Sep 2021	excellent
113.82465	Asia/Shanghai	Licheng	23.29549	05/13/2017, 00:00:00	average
-73.9614	America/Bogota	El Copey	10.15031	06 Dec 2021	good
-13.68778	Africa/Conakry	Camayenne	9.535	2016-10-29	excellent
59.4839	Asia/Yekaterinburg	Kachkanar	58.7002	2018/01/25	excellent
-73.9625	America/New_York	Morningside Heights	40.81	2017/12/26	good
-89.71472	America/El_Salvador	Sonzacate	13.73417	06 Jun 2019	accep
7.02238	Europe/Berlin	Gronau	52.21099	12/26/2019, 00:00:00	average
110.8405	Asia/Jakarta	Kudus	-6.8048	2018-03-08	good
-89.64066	America/Chicago	Pekin	40.56754	2020/10/27	building
117.4831	Asia/Shanghai	Shaowu	27.34089	26 Nov 2013	average
103.6032	Asia/Kuala_Lumpur	Kulai	1.6561	2015/08/17	building
121.06761	Asia/Manila	San Jose	12.35275	2014-08-01	average
83.36889	Asia/Kolkata	Gorakhpur	26.76628	07/12/2019, 00:00:00	good
-8.33147	Europe/Lisbon	Paredes	41.20485	2019/11/26	accep
-96.67834	America/Chicago	Ada	34.77453	04/12/2022, 00:00:00	average
53.47103	Asia/Yekaterinburg	Oktyabr’skiy	54.48147	2017-10-01	accep
37.73333	Africa/Dar_es_Salaam	Same	-4.06667	2015/02/18	building
85.37752	Asia/Kolkata	Barbil	22.10194	02 Jun 2014	maintenance
120.4861	Asia/Manila	Manaoag	16.0438	2014-06-09	excellent
59.4839	Asia/Yekaterinburg	Kachkanar	58.7002	04/04/2013, 00:00:00	accep
-71.29144	America/New_York	Middletown	41.54566	2020/07/19	accep
5.06258	Africa/Lagos	Igbara-Odo	7.50251	05 May 2021	excellent
9.5926	Europe/Berlin	Walsrode	52.86147	06/08/2022, 00:00:00	accep
-2.12139	Europe/London	Brierley Hill	52.48173	2019/08/02	building
-5.682	Africa/Abidjan	Lakota	5.84752	01/22/2019, 00:00:00	building
107.60627	Asia/Irkutsk	Ulan-Ude	51.82721	2018-10-21	maintenance
-83.55521	America/New_York	Toledo	41.66394	2014/10/05	excellent
-156.47432	Pacific/Honolulu	Kahului	20.88953	11 Mar 2015	average
-2.68333	Europe/Madrid	Gernika-Lumo	43.31667	03/30/2013, 00:00:00	average
40.17171	Europe/Moscow	Danilov	58.1908	05/16/2017, 00:00:00	good
78.14797	Asia/Kolkata	Betamcherla	15.45144	23 Oct 2014	building
-62.64102	America/Caracas	Ciudad Guayana	8.35122	08 Jul 2014	average
23.225	Europe/Sofia	Montana	43.4125	2015-01-14	good
-58.38341	America/Argentina/Buenos_Aires	Barracas	-34.64966	2020/10/24	excellent
117.63083	Asia/Shanghai	Pingyi	35.50056	2020-11-25	excellent
114.33333	Asia/Jakarta	Muncar	-8.43333	2021/09/15	excellent
-70.92866	America/New_York	Peabody	42.52787	29 Nov 2017	good
-105.36369	America/Mazatlan	Acaponeta	22.49396	2015/09/24	building
84.13864	Asia/Kolkata	Jashpurnagar	22.88783	2015/10/16	average
32.88667	Africa/Kampala	Kitgum	3.27833	12/09/2014, 00:00:00	excellent
9.37082	Africa/Tunis	Siliana	36.08497	2017-03-18	excellent
115.70111	Asia/Shanghai	Hengshui	37.73222	23 Aug 2021	good
73.66633	Asia/Kolkata	Sojat	25.92493	02 Feb 2020	good
105.89333	Asia/Shanghai	Beidao	34.56861	06/09/2017, 00:00:00	good
0.30367	Europe/London	Hartley	51.38673	2022/03/04	maintenance
19.91667	Africa/Luanda	Luena	-11.78333	2015-03-31	good
4.25633	Europe/Brussels	Beveren	51.21187	2019/10/30	average
2.59753	Africa/Porto-Novo	Tchaourou	8.88649	03/11/2022, 00:00:00	average
73.7553	Asia/Kolkata	Calangute	15.5439	28 Nov 2018	excellent
34.8732	Asia/Jerusalem	Ganei Tikva	32.05971	05/02/2018, 00:00:00	average
37.92792	Europe/Moscow	Kireyevsk	53.93361	2019-06-06	good
-96.72365	America/Mexico_City	Oaxaca	17.06542	25 Sep 2016	maintenance
89.11943	Asia/Dhaka	Kushtia	23.9028	06/15/2016, 00:00:00	average
-2.58736	Europe/London	Arbroath	56.56317	28 Jan 2018	good
103.81667	Asia/Kuala_Lumpur	Ulu Tiram	1.6	03/31/2021, 00:00:00	accep
3.20639	Europe/Brussels	Mouscron	50.74497	09/26/2013, 00:00:00	good
43.63417	Europe/Moscow	Novopavlovsk	43.96222	10/09/2020, 00:00:00	good
112.9	Asia/Shanghai	Xiangtan	27.85	04/11/2014, 00:00:00	good
-0.36053	Europe/London	Bushey	51.64316	2015-06-21	maintenance
-97.92977	America/Chicago	Hutchinson	38.06084	15 Apr 2019	maintenance
120.4861	Asia/Manila	Manaoag	16.0438	07/25/2020, 00:00:00	average
8.73812	Europe/Paris	Ajaccio	41.91886	06/30/2014, 00:00:00	excellent
-122.24092	America/Los_Angeles	Bryn Mawr-Skyway	47.4943	2014/10/04	good
129.96972	Asia/Tokyo	Karatsu	33.4425	12/27/2016, 00:00:00	good
78.55757	Asia/Kolkata	Lal Bahadur Nagar	17.34769	30 May 2022	good
-91.11667	America/Guatemala	Chichicastenango	14.93333	2019/06/13	accep
-88.42814	America/Chicago	Huntley	42.16808	2020-12-12	accep
-67.15407	America/Puerto_Rico	Aguadilla	18.42745	2014/02/26	excellent
34.75699	Asia/Jerusalem	Rahat	31.39547	17 Mar 2017	good
-74.15987	America/New_York	Nutley	40.82232	10/26/2017, 00:00:00	accep
9.00472	Africa/Douala	Idenao	4.2475	28 Oct 2017	accep
121.12251	Asia/Manila	Antipolo	14.62578	11/07/2013, 00:00:00	average
122.22833	Asia/Shanghai	Yingkou	40.66482	2015-02-05	average
-2.16	Africa/Casablanca	Jerada	34.31	2014-12-15	average
29.24152	Africa/Johannesburg	Standerton	-26.93366	07/03/2015, 00:00:00	good
-73.81669	America/Toronto	Pointe-Claire	45.44868	2014-02-22	good
2.12213	Europe/Paris	Le Chesnay	48.8222	2016/07/05	good
111.50861	Asia/Shanghai	Danjiangkou	32.54278	10/19/2012, 00:00:00	average
-1.29243	Europe/London	Mexborough	53.49389	29 Jan 2022	maitennce
-40.7475	America/Fortaleza	Guaraciaba do Norte	-4.16694	08 Jan 2019	good
30.96755	Europe/Kiev	Zvenihorodka	49.07866	2014/04/22	good
103.81667	Asia/Kuala_Lumpur	Ulu Tiram	1.6	2018-03-23	excellent
-111.89903	America/Phoenix	Scottsdale	33.50921	2020/12/01	accep
43.2379	Europe/Volgograd	Mikhaylovka	50.06	2015/02/05	average
10.5511	Europe/Berlin	Gifhorn	52.47774	09/09/2013, 00:00:00	accep
-70.6996	America/Santiago	San Bernardo	-33.59217	2015-05-14	accep
88.1453	Asia/Kolkata	Pujali	22.4711	23 Mar 2020	accep
-73.47429	America/New_York	Massapequa	40.68066	2017-04-01	average
32.6178	Europe/Kiev	Kherson	46.65581	2017/01/17	accep
11.34046	Europe/Berlin	Rudolstadt	50.72043	2017-07-12	good
104.64992	Asia/Bangkok	Kantharalak	14.64056	2016-12-09	accep
-116.97725	America/Los_Angeles	Beaumont	33.92946	2019/07/30	excellent
11.34046	Europe/Berlin	Rudolstadt	50.72043	2019/08/20	excellent
-2.16	Africa/Casablanca	Jerada	34.31	10 Dec 2021	good
-73.9625	America/New_York	Morningside Heights	40.81	07/05/2014, 00:00:00	good
117.63083	Asia/Shanghai	Pingyi	35.50056	2021-12-12	good
36.73307	Europe/Moscow	Naro-Fominsk	55.38752	24 May 2015	accep
73.66633	Asia/Kolkata	Sojat	25.92493	02/27/2014, 00:00:00	good
-9.24671	Europe/Lisbon	Carnaxide	38.72706	2013/05/19	average
1.6	Europe/Paris	Pamiers	43.11667	07/21/2015, 00:00:00	maintenance
-41.45861	America/Fortaleza	Pedro II	-4.42472	2021/10/16	average
102.05461	Asia/Bangkok	Tak Bai	6.25947	26 Apr 2022	excellent
-70.20749	America/Caracas	Barinas	8.62261	2022/01/01	accep
-77.4286	America/New_York	Sterling	39.00622	04/28/2013, 00:00:00	building
14.43865	Europe/Rome	Somma Vesuviana	40.87329	2017/05/21	accep
83.62389	Asia/Barnaul	Novosilikatnyy	53.30972	2015/01/14	accep
-118.25508	America/Los_Angeles	Glendale	34.14251	2017-12-26	excellent
-91.58045	America/Chicago	Coralville	41.6764	04 Nov 2019	good
2.2469	Europe/Paris	La Garenne-Colombes	48.90472	2015-01-14	accep
135.21667	Asia/Tokyo	Sasayama	35.06667	08 Jul 2014	accep
5.03586	Europe/Paris	Cavaillon	43.83125	2019-12-18	maintenance
-2.98333	Europe/London	Poulton-le-Fylde	53.83333	2017-11-28	building
0.30367	Europe/London	Hartley	51.38673	2013-11-01	accep
-74.96933	America/New_York	Sicklerville	39.71734	2015/12/24	excellent
29.00974	Africa/Johannesburg	Mokopane	-24.19436	2022-08-25	excellent
-81.79819	America/New_York	Lakewood	41.48199	2013/12/26	excellent
37.3825	Europe/Istanbul	Gaziantep	37.05944	08/11/2019, 00:00:00	average
122.08333	Asia/Shanghai	Ulanhot	46.08333	2013-04-17	average
99.95469	Asia/Bangkok	Damnoen Saduak	13.51825	12/15/2013, 00:00:00	average
70.91106	Asia/Karachi	Alipur	29.38242	2014/02/16	average
82.85749	Asia/Kolkata	Elamanchili	17.54907	2020-07-30	good
139.6853	Asia/Tokyo	Shimotoda	35.815	2019-04-12	average
40.74357	Europe/Istanbul	Mardin	37.31309	2018/05/15	excellent
37.00438	Africa/Dar_es_Salaam	Kidodi	-7.60361	05/18/2021, 00:00:00	good
-48.62789	America/Sao_Paulo	Caldas Novas	-17.74431	2019-12-03	excellent
-38.94722	America/Bahia	Canavieiras	-15.675	08 Jan 2021	average
10.58082	Africa/Tunis	Msaken	35.72917	2014/10/18	good
101.44167	Asia/Jakarta	Pekanbaru	0.51667	05 Apr 2022	average
8.96317	Europe/Berlin	Hechingen	48.35149	2020-11-09	excellent
139.55028	Asia/Tokyo	Kamakura	35.30889	2022/01/13	maintenance
39.28333	Africa/Dar_es_Salaam	Nyangao	-10.33333	2015/02/28	maintenance
-89.99038	America/Chicago	Fairview Heights	38.58894	18 Feb 2022	excellent
115.04814	Asia/Shanghai	Huangshi	30.24706	10/18/2014, 00:00:00	good
38.2739	Europe/Moscow	Yeysk	46.7055	02/02/2019, 00:00:00	building
-82.46148	America/New_York	Lutz	28.15112	29 Dec 2021	average
-50.19556	America/Sao_Paulo	Iturama	-19.72806	2018/03/30	building
34.86563	Asia/Jerusalem	Ramla	31.92923	06/24/2019, 00:00:00	excellent
42.7125	Africa/Djibouti	'Ali Sabieh	11.15583	08/20/2021, 00:00:00	building
6.83042	Africa/Lagos	Nkpor	6.15038	2014/11/04	maintenance
-47.1725	America/Sao_Paulo	Artur Nogueira	-22.57306	08/05/2019, 00:00:00	accep
139.55722	Asia/Tokyo	Okegawa	36	22 Apr 2015	accep
73.06784	Asia/Kolkata	Sheoganj	25.13915	01/08/2013, 00:00:00	building
9.85	Europe/Berlin	Halstenbek	53.63333	2021-06-04	average
11.412	Europe/Rome	Montecchio Maggiore-Alte Ceccato	45.50369	2021-08-20	excellent
76.03889	Asia/Kolkata	Osmanabad	18.18158	17 Feb 2022	average
8.70745	Europe/Berlin	Bretten	49.03685	02/14/2017, 00:00:00	maintenance
-73.25383	America/Lima	Iquitos	-3.74912	10 Feb 2020	accep
-89.99038	America/Chicago	Fairview Heights	38.58894	02 Dec 2019	average
30.91105	Africa/Kampala	Arua	3.02013	06/07/2019, 00:00:00	average
40.17171	Europe/Moscow	Danilov	58.1908	12/24/2014, 00:00:00	excellent
-0.76773	Europe/Madrid	Novelda	38.38479	2022/09/18	building
86.68363	Asia/Kolkata	Adra	23.49668	2015/03/10	accep
72.54064	Asia/Karachi	Sillanwali	31.82539	2012/10/25	excellent
-88.3162	America/Chicago	Crystal Lake	42.24113	23 Feb 2013	accep
5.16108	Europe/Paris	Bar-le-Duc	48.77275	02/09/2017, 00:00:00	accep
144.23058	Pacific/Port_Moresby	Mount Hagen	-5.85746	27 May 2021	accep
32.88667	Africa/Kampala	Kitgum	3.27833	2015-06-05	average
53.47103	Asia/Yekaterinburg	Oktyabr’skiy	54.48147	2021-11-09	excellent
55.4504	Indian/Reunion	Saint-Denis	-20.88231	24 Feb 2016	average
150.60036	Australia/Sydney	Nowra	-34.88422	2015-04-30	maitennce
42.54536	Africa/Mogadishu	Kismayo	-0.35817	29 Oct 2013	accep
17.22635	Europe/Bratislava	Skalica	48.8449	04/17/2016, 00:00:00	excellent
110.8405	Asia/Jakarta	Kudus	-6.8048	03/11/2018, 00:00:00	average
88.18466	Asia/Kolkata	Diamond Harbour	22.19303	2018-05-30	excellent
120.57224	Asia/Manila	Burgos	15.72892	2016/03/20	good
12.87117	Europe/Prague	Karlovy Vary	50.23271	09/10/2021, 00:00:00	average
-52.51028	America/Sao_Paulo	Soledade	-28.81833	06/06/2013, 00:00:00	maintenance
117.27583	Asia/Shanghai	Sishui	35.64889	11 May 2022	accep
146.05093	Australia/Sydney	Griffith	-34.28853	2015/02/26	building
-45.94722	America/Sao_Paulo	Alfenas	-21.42917	04/18/2015, 00:00:00	maintenance
-1.325	Europe/Madrid	Jumilla	38.47917	13 Jan 2020	average
45.36561	Asia/Baku	Qazax	41.09246	23 Feb 2020	average
-2.58736	Europe/London	Arbroath	56.56317	09 Apr 2014	excellent
-50.19556	America/Sao_Paulo	Iturama	-19.72806	2014-01-29	accep
28.88222	Europe/Istanbul	Mudanya	40.37528	2020-08-30	excellent
-0.18333	Europe/Madrid	Gandia	38.96667	2015/05/15	building
71.57118	Asia/Karachi	Daud Khel	32.87533	2015/07/10	accep
91.00632	Asia/Kolkata	Barpeta	26.32293	03/28/2022, 00:00:00	average
38.66667	Africa/Dar_es_Salaam	Mvomero	-6.25	30 Dec 2013	maintenance
9.00472	Africa/Douala	Idenao	4.2475	2015/10/24	excellent
36.25361	Europe/Zaporozhye	Polohy	47.48444	11/01/2012, 00:00:00	accep
-117.71978	America/Los_Angeles	Claremont	34.09668	28 Mar 2020	accep
9.0027	Africa/Lagos	Gaya	11.86064	27 Jan 2022	average
28.28489	Europe/Chisinau	Soroca	48.15659	06/18/2018, 00:00:00	excellent
-5.53715	Europe/London	Penzance	50.11861	06/19/2022, 00:00:00	good
8.70745	Europe/Berlin	Bretten	49.03685	2013/12/26	excellent
72.93924	Asia/Kolkata	Uran	18.87813	03 Jun 2016	good
121.12251	Asia/Manila	Antipolo	14.62578	2016/06/20	excellent
110.71639	Asia/Jakarta	Ngemplak	-7.54972	2017-06-12	average
-38.94722	America/Bahia	Canavieiras	-15.675	01 Jan 2014	maintenance
35.96944	Europe/Moscow	Volokolamsk	56.03361	06/01/2018, 00:00:00	accep
2.18967	Europe/Paris	Rueil-Malmaison	48.8765	05/05/2019, 00:00:00	excellent
47.31667	Indian/Antananarivo	Antanifotsy	-19.65	01 Aug 2020	average
12.19458	Africa/Lagos	Biu	10.61285	13 Aug 2017	excellent
2.29275	Europe/Paris	Fontenay-aux-Roses	48.79325	09 Apr 2013	average
-71.19901	America/Santiago	Ovalle	-30.60106	25 Mar 2016	accep
8.96317	Europe/Berlin	Hechingen	48.35149	04/27/2014, 00:00:00	accep
-120.00865	America/Los_Angeles	Sunnyside	46.32374	2016-09-07	average
-46.99583	America/Sao_Paulo	Valinhos	-22.97056	2018-05-13	excellent
100.24529	Asia/Kuala_Lumpur	Batu Feringgi	5.4709	2014/10/28	excellent
74.85849	Asia/Kolkata	Patti	31.28092	2021-04-23	accep
85.4265	Asia/Novokuznetsk	Yashkino	55.8736	02/28/2018, 00:00:00	average
71.57118	Asia/Karachi	Daud Khel	32.87533	2015/11/29	average
-1.64295	Europe/Madrid	Segundo Ensanche	42.8139	08 Feb 2015	excellent
72.54064	Asia/Karachi	Sillanwali	31.82539	01/12/2016, 00:00:00	good
-71.06616	America/New_York	Malden	42.4251	2019/05/01	accep
-48.29694	America/Sao_Paulo	Viradouro	-20.87306	2019/04/29	good
-3.53261	Europe/Madrid	San Fernando de Henares	40.42386	2022-03-03	excellent
-84.23381	America/New_York	Stockbridge	33.54428	05/15/2022, 00:00:00	average
135.6	Asia/Tokyo	Yao	34.61667	2015-12-06	accep
-75.64963	America/New_York	Pottstown	40.24537	2014/01/28	excellent
24.6522	Europe/Helsinki	Espoo	60.2052	2021-07-30	good
76.56719	Asia/Kolkata	Aklera	24.41288	2019-01-19	accep
-115.98391	America/Los_Angeles	Pahrump	36.20829	06/07/2020, 00:00:00	good
72.93924	Asia/Kolkata	Uran	18.87813	2016/12/10	excellent
-85.76942	America/Indiana/Indianapolis	Greenfield	39.78504	2021-06-17	accep
73.66633	Asia/Kolkata	Sojat	25.92493	01 May 2017	average
125.51176	Asia/Shanghai	Dongfeng	42.64031	06/11/2019, 00:00:00	excellent
-72.86843	America/New_York	East Haven	41.27621	2016-04-08	building
20.22625	Africa/Tripoli	Ajdabiya	30.75545	2016-05-28	average
-105.11221	America/Denver	Ken Caryl	39.57582	21 May 2019	accep
-2.1875	Europe/London	Westbury	51.26	05/06/2013, 00:00:00	excellent
74.83554	Asia/Kolkata	Sirsi	14.62072	02/07/2014, 00:00:00	accep
117.59152	Asia/Makassar	Tarakan	3.31332	28 May 2022	accep
140.11667	Asia/Tokyo	Inawashiro	37.56667	2016/12/19	building
15.00835	Europe/Warsaw	Zgorzelec	51.14942	09/05/2016, 00:00:00	accep
-117.29198	America/Los_Angeles	Encinitas	33.03699	2019-12-30	accep
-80.22588	America/New_York	North Lauderdale	26.2173	2019/06/09	average
-121.74052	America/Los_Angeles	Davis	38.54491	2020/01/02	excellent
150.99292	Australia/Sydney	Baulkham Hills	-33.75881	18 Mar 2022	good
20.89389	Europe/Belgrade	Glogovac	42.62833	2015-06-27	accep
-4.1	Europe/Paris	Quimper	48	2018-03-30	average
-74.07764	America/New_York	Jersey City	40.72816	2014/01/05	good
25.8191	Europe/Minsk	Novogrudok	53.5942	30 Jul 2020	excellent
-52.20639	America/Santarem	Altamira	-3.20333	20 Oct 2020	maintenance
-80.22588	America/New_York	North Lauderdale	26.2173	28 May 2018	maintenance
-43.80139	America/Sao_Paulo	Itabirito	-20.25333	2021-10-11	accep
13.29371	Europe/Berlin	Charlottenburg-Nord	52.53048	2014-03-12	good
122.20488	Asia/Shanghai	Zhoushan	29.98869	2013/02/28	accep
100.48528	Asia/Bangkok	Bang Ban	14.37395	2018/08/16	excellent
38.01667	Africa/Addis_Ababa	Debre Tabor	11.85	10/15/2019, 00:00:00	average
-74.13653	America/New_York	Port Richmond	40.63316	2021/03/26	accep
-0.36053	Europe/London	Bushey	51.64316	2018-11-27	accep
141.95	Asia/Tokyo	Yamada	39.46667	14 Jan 2019	excellent
119.58627	Asia/Taipei	Magong	23.5654	02/23/2016, 00:00:00	building
34.34691	Europe/Moscow	Petrozavodsk	61.78491	20 May 2020	accep
117.7	Asia/Shanghai	Dongdu	35.85	2020-06-05	excellent
1.6	Europe/Paris	Pamiers	43.11667	10/13/2015, 00:00:00	acceptable
137.95378	Asia/Tokyo	Ina	35.82756	2014-07-18	accep
8.64409	Europe/Berlin	Trossingen	48.07667	06 Mar 2016	maintenance
8.70745	Europe/Berlin	Bretten	49.03685	13 Apr 2016	maintenance
12.6723	Europe/Rome	Ariccia	41.72063	2022/03/28	good
6.8625	Europe/Berlin	Oberhausen	51.47805	02/25/2014, 00:00:00	building
-97.54667	America/Chicago	Hutto	30.5427	01/22/2014, 00:00:00	good
46.04833	Europe/Saratov	Privolzhskiy	51.40944	06 Mar 2016	excellent
-103.42897	America/Mexico_City	Jocotepec	20.28527	2018/07/01	good
-88.70464	America/Chicago	Tupelo	34.25807	12/10/2012, 00:00:00	building
106.88324	Asia/Ulaanbaatar	Ulan Bator	47.90771	2015/04/12	average
-1.325	Europe/Madrid	Jumilla	38.47917	29 Jan 2022	good
116.11768	Asia/Shanghai	Meizhou	24.28859	18 Sep 2022	average
4.08282	Africa/Algiers	Beni Douala	36.61954	2022-01-22	accep
-48.29694	America/Sao_Paulo	Viradouro	-20.87306	2018-02-11	average
-122.2054	America/Los_Angeles	Bothell	47.76232	06/26/2020, 00:00:00	excellent
-53.13722	America/Sao_Paulo	Loanda	-22.92306	2014-01-06	maintenance
-73.78458	America/New_York	Scarsdale	41.0051	2015/08/19	average
121.12251	Asia/Manila	Antipolo	14.62578	2013-06-02	accep
-2.68758	Europe/London	Leyland	53.69786	2015-02-10	good
-75.87877	America/Bogota	Andes	5.6561	2019-07-10	building
124.84472	Asia/Manila	Maasin	10.13361	2015/11/05	maintenance
-1.86343	Europe/Madrid	Caravaca	38.10558	03/02/2014, 00:00:00	building
130.57211	Asia/Shanghai	Boli	45.75279	2013-02-22	good
109.22921	Asia/Shanghai	Yanliang	34.65918	2022/03/05	average
-81.24441	America/Havana	Varadero	23.15678	07/15/2021, 00:00:00	accep
35.96944	Europe/Moscow	Volokolamsk	56.03361	30 Mar 2015	average
-122.86705	America/Los_Angeles	Aloha	45.49428	2018-09-03	good
-71.23106	America/Santiago	La Ligua	-32.45242	2017-09-30	excellent
-81.77285	America/New_York	Clermont	28.54944	2014-02-11	building
144.09638	Asia/Tokyo	Motomachi	43.82634	12 Aug 2018	good
51.67462	Asia/Tehran	Isfahan	32.65246	09 May 2018	building
-77.4286	America/New_York	Sterling	39.00622	2020-10-10	accep
-72.22625	America/Port-au-Prince	Croix-des-Bouquets	18.57677	2021/04/30	maintenance
98.6738	Asia/Jakarta	Labuhan Deli	3.7278	20 Jan 2016	average
-1.48119	Europe/London	Belper	53.0233	13 Jul 2017	excellent
9.22796	Europe/Berlin	Pfullingen	48.46458	11 Apr 2018	accep
81.54855	Asia/Kolkata	Jais	26.2649	2018-07-29	acceptable
1.53414	Europe/Andorra	les Escaldes	42.50729	2021-10-31	maintenance
2.31889	Africa/Algiers	Ksar Chellala	35.21222	2013-04-29	maintenance
9.15013	Africa/Niamey	Mirriah	13.70727	2013-07-02	maintenance
43.67663	Europe/Moscow	Nizhniy Lomov	53.53041	31 Mar 2022	average
-41.88778	America/Sao_Paulo	Itaperuna	-21.205	2019-12-27	average
-93.08883	America/Chicago	Lino Lakes	45.16024	2020/09/06	building
120.74792	Asia/Shanghai	Nanpiao	41.09822	08/06/2020, 00:00:00	good
30.2049	Europe/Minsk	Vitebsk	55.1904	30 Sep 2016	maintenance
17.8031	Europe/Bratislava	Hlohovec	48.43174	20 Nov 2021	excellent
74.4818	Asia/Kolkata	Malaut	30.21121	30 Oct 2017	good
116.11768	Asia/Shanghai	Meizhou	24.28859	12/23/2019, 00:00:00	good
4.85668	Africa/Algiers	Bordj Zemoura	36.27462	29 Jun 2020	excellent
2.1699	Europe/Paris	Herblay	48.98994	2015-06-24	accep
-71.10077	America/Santo_Domingo	Santa Cruz de Barahona	18.20854	11/08/2015, 00:00:00	accep
78.95693	Asia/Kolkata	Kashipur	29.21399	15 Jul 2016	accep
20.22625	Africa/Tripoli	Ajdabiya	30.75545	2019/04/14	average
