Pb	H2CO	warning	C2H3NO5	CFCs	CO	PM10	NOx	SO2	PM2.5	PAHs	CH4	longitude	NH3	PRES	O3	latitude	TEMP
37.40171	70.35660	1.00000	6.19632	70.48747	10.09319	8.77962	11.60199	8.79895	11.64400	7.91698	9.30988	8.70745	7.57155	1065.57184	6.83454	49.03685	-3.67076
42.47155	48.75839	1.00000	5.55220	76.43276	6.60233	8.53067	7.74415	8.93156	7.80840	7.93280	7.58847	73.66633	7.66332	1117.11579	10.26185	25.92493	17.43957
48.53979	45.20905	1.00000	3.92144	69.05989	8.73178	8.12957	7.14296	8.02925	6.54669	7.38553	8.08814	122.20488	9.99374	1121.92447	7.98626	29.98869	15.14021
39.40677	49.53399	1.00000	2.20134	73.49531	6.52864	7.82857	5.35278	9.91071	5.93431	8.19874	6.95066	-71.29144	6.30412	1150.72413	7.52180	41.54566	15.09859
34.11323	45.36408	0.00000	0.46234	78.84099	11.04617	6.27761		12.52881	6.88644	7.57394	9.02959	9.0027	8.87957	1147.05446	9.26062	11.86064	14.74503
55.40724	76.06028	0.00000	3.05415	77.20015	7.81384	7.87569	8.81074	9.65158	11.33283	6.79625	8.65606	81.54855	8.57682	1084.05875	9.70557	26.2649	8.94333
39.91288	40.59349	0.00000	1.79286	67.84954	8.58487	6.80128	3.00523	6.78671	3.36244	6.98119	8.33270	59.4839	7.64663	1065.57336	5.65992	58.7002	10.51889
29.36739	25.37570	0.00000	3.27615	71.48524	7.74886	8.05534	7.28117	7.11919	5.30740	8.04293	6.82249	-85.43772	8.59213	1183.43249	6.64102	10.63504	17.90050
40.32464	35.83265	0.00000	4.24046	83.38405	10.59894	8.07882	10.01563	10.06501	8.49363	7.24408	10.04806	99.96667	9.89782	1052.64751	8.85782	8.43333	16.59985
45.74472	43.72351	1.00000	5.21866	73.22908	4.30102	8.45979	5.40813	11.56905	6.74130	7.31506	7.60003	-0.2	7.65780	1057.20940	7.99521	51.65	16.90744
68.01566	37.03107	0.00000	11.30636	83.76823	5.55494	9.36540	8.55750	8.69686	8.16689	6.20562	9.03977	-75.87877	10.85230	1055.44643	5.72850	5.6561	5.72228
38.23863	47.80156	1.00000	6.24173	72.63428	4.27932	8.70178	4.95444	11.61911	6.98721	7.85235	6.33892	-116.37697	6.99295	1107.36834	7.64187	33.72255	19.91547
40.46794	42.96426	1.00000	6.16350	75.00901	9.54638	8.64511	6.87962	9.34267	6.90673	7.94090	8.49238	129.96972	6.23271	1157.94094	10.03399	33.4425	18.39370
49.62084	54.89498	0.00000	1.40693	69.36413	5.04456	6.24331	6.79782	7.11961	8.69883	7.29681	7.28453	73.66633	7.94793	1147.15231	7.18022	25.92493	13.45131
14.78823	40.54088	1.00000	4.47973	66.76384	7.02713	8.50012	7.60146	8.29770	9.28931	7.10411	6.49646	9.85	5.33111	1133.80016	10.56643	53.63333	4.52509
29.76976	51.05350	0.00000	16.83184	67.45501	6.89021	9.82588	5.37928	8.29297	6.18771	8.03873	9.84588	124.84472	10.03872	1104.31834	7.37978	10.13361	17.13975
39.74219	73.97867	1.00000	2.44804	75.45398	10.48558	6.70884	11.35949	7.70358	6.83947	8.64132	7.49078	72.93924	9.78673	1074.17501	6.61906	18.87813	-3.90269
54.47552	49.49080	1.00000	3.15628	73.72417	7.50776	7.95211	6.30651	11.32600	4.95703	8.03362	7.25899	86.51499	9.14706	1184.56116	8.87424	23.1959	11.65027
46.52188	71.94888	0.00000	3.03970	82.67351	4.99885	6.79675	9.53242	7.58864	9.20122	7.58444	9.42395	78.95693	9.23338	1129.93108	6.63827	29.21399	14.71137
39.49543	27.79499	0.00000	1.88861	71.54996	8.50895	7.39576	9.52913	9.67001	10.22094	7.57564	8.39591	-1.05366	7.73880	1106.27298	10.90821	43.71032	12.65304
57.88221	35.62145	0.00000	4.89101	90.50084	9.43826	8.26790	8.54910	9.38664	13.03106	8.62059	6.56491	-4.1	7.41771	1075.62418	9.40436	48	18.68006
	41.04653	0.00000	8.71385	79.77120	5.31667	9.11457	8.46663		8.86735	9.32923	8.38139	-81.24441	8.94205	1162.73955	5.67570	23.15678	14.76491
49.99868	51.52518	1.00000	1.41601	73.90059	8.99956	6.75568	9.82555	6.29791	9.23396	7.83634	8.67702	-2.1875	9.38609	1131.57560	6.99696	51.26	33.85803
48.50732		0.00000	3.47071	77.57347	8.46591	7.91376	9.10982	7.36579	10.22668	8.98822	7.93330	83.62389	8.53464	1143.68198	10.25808	53.30972	10.64795
58.41045	66.07805	1.00000	8.53682	71.81323	9.60619	9.02369	10.35601	6.56335	10.14065	7.70153	6.20738	100.04427	9.07474	1133.91476	7.02665	13.8196	13.12097
46.66618	73.81036	1.00000	2.69791	74.05327	9.06343	7.80685	8.23804	8.16852	6.81047	7.33262	8.35780	73.66633	8.45733	1127.96693	10.56622	25.92493	22.32242
68.50045	27.37579	1.00000	4.57300	78.69368	11.37194	8.24255	11.04907	5.43728	6.36097	8.58762	8.51285	68.75915	8.90379	1181.11151	7.61388	27.52948	24.39727
34.81996	71.02004	1.00000	3.14704	73.48121	7.46701	8.06211	5.88376	10.83554	5.66253	9.17891	6.98356	7.02238	6.56570	1122.38797	9.63950	52.21099	6.15015
57.86228	61.36232	0.00000	10.97819	64.92933	7.96936	9.39529	8.94323	11.17612	10.53529	6.22077	8.77896	24.71204	9.28091	1073.81724	9.94467	41.57439	3.48564
54.02755	48.78271	0.00000	3.07923	67.10424	10.17048	7.77670	5.76091	6.38646	2.43027	7.74396	9.44793	17.8031	8.74197	1102.26311	7.62932	48.43174	5.55593
44.30083	64.46893	0.00000	3.56668	62.66830	8.83718	8.05479	8.41109	9.73168	9.99900	6.16326	8.38675	8.70745	10.20861	1125.01563	9.52565	49.03685	15.78701
66.90789	41.94802	0.00000	1.72307	75.35445	5.76205	7.25263	7.81925	6.86295	7.72965	8.72805	8.67077	77.5609	7.74174	1171.02075	6.76741	11.00599	4.30174
58.40376	59.37668	1.00000	3.41809		9.65239	8.08429	11.28920	7.66362	11.85676	7.03250	8.56194	-1.86343	5.51460	1075.40229	6.51437	38.10558	1.48058
45.82713	53.56659	1.00000	4.96752	76.04517	12.82060	8.55111	11.32606	7.51458	7.63436	9.54567	8.81378	-70.20749	7.14182	1121.66647	6.37655	8.62261	9.88966
44.91485	59.65325	0.00000	11.88421	69.45352	10.10425	9.36883	10.55509	7.54476	7.69689	7.83676	7.17795	-35.03333	6.42644	1182.86649	10.70758	-8.28333	9.08657
36.96078	44.75867	0.00000	5.52111	72.47408	10.69184	8.62843	9.81991	10.20999	7.75602	7.90903	9.10024	13.29371	11.39070	1122.99293	8.49085	52.53048	12.83498
35.69275	50.72774	1.00000	1.92605	81.57551	11.29431	7.05174	11.08336	4.37686	9.93384	9.33960	8.35051	7.36027	5.77294	1094.50707	7.19994	51.20219	13.43684
38.79719	49.41803	1.00000	2.99570	62.70508	6.79179	8.03131	5.70717	9.71252	6.37657	8.83879	7.47818	38.07083	6.64840	1179.26858	8.19372	54.90083	4.62404
44.28210	62.37908	1.00000	3.36816	84.80978	8.13681	7.64352	6.80379	8.13157	6.24538	9.25339	9.38633	32.88667	8.19566	1116.16490	8.06549	3.27833	12.89933
57.36281	69.31006	0.00000	7.51477	68.12970	5.58069	8.98878	8.58409	6.47716	9.66387	6.56594	7.62392	114.68333	11.26919	1068.14666	7.36731	23.73333	19.26089
43.76617	66.76561	1.00000	8.05141	65.20348	7.38771	8.86551	5.27037	9.01805	8.61138	7.90032	8.68038	4.52514	5.46778	1179.21592	7.37570	12.74482	20.12068
56.19647	38.99394	0.00000	1.36446	76.22951	8.72608	7.34510	9.58363	9.25587	8.98565	6.93213	8.30354	102.05461	9.83422	1104.94581	9.26062	6.25947	4.26206
55.12229	65.11311	0.00000	4.89699	77.82236	8.65074	8.43283	9.76900	8.18172	9.30370	9.57986	7.13360	74.4818	8.03525	1121.88585	10.33555	30.21121	-5.80485
55.09123	49.76767	1.00000	5.24393	70.97931	6.35870	8.37022	5.02089	11.02036	5.49919	9.64403	10.05731	-1.325	7.20873	1146.87258	7.70899	38.47917	3.97433
21.58335	35.82192	1.00000	5.33407	73.67193	7.94118	8.58573	7.54001	8.80190	11.27540	7.45179	8.30708	73.66633	12.03497	1123.11415	6.41539	25.92493	19.72344
44.69040	30.88785	0.00000	4.22082	80.80609	6.73049	8.25790	4.70957	6.99073	6.73584	7.87692	8.13411	9.15013	9.19215	1080.79276	7.18054	13.70727	12.59511
2.38579	46.70976	0.00000	6.75804	75.37832	6.49493	8.64502	9.10426	10.59161	8.70272	9.03641	10.12703	-91.58045	8.10199	1155.81865	11.78883	41.6764	24.33125
51.62056	40.74779	0.00000	2.12604	72.10579	6.62400	7.17009	5.73967	9.27741	7.48296	8.81356	7.52602	-84.13722	5.97491	1179.46600	7.72319	9.92787	11.75963
63.39951	64.96595	1.00000	0.89137	64.48161	7.54587	6.54124	5.60712	6.47435	7.06217	9.52873	8.39455	106.85417	13.82367	1063.03410	6.74652	-6.48167	23.13877
35.86649	33.53935	0.00000	1.41696	85.68593	6.67404	6.28541	8.56553	9.04255	6.34547	8.28807	7.69873	120.97844	9.89566	1187.53550	6.87740	14.8361	-18.16397
43.06393	34.67066	0.00000	3.97131	77.39247	11.83815	8.25627	8.50923	10.35560	8.23273	6.85702	9.65280	9.72749	13.03799	1157.72222	6.45395	48.28259	7.22061
41.07194	56.37221	1.00000	12.60604	72.10011	8.09525	9.49298	10.12767	6.55202	9.74114	7.55524	7.38048	19.91667	9.97332	1093.70030	7.32124	-11.78333	3.43753
58.08351	43.22981	0.00000	3.63560	78.40046	6.78207	8.12306	9.57160	5.22519	10.75057	8.05441	7.77592	28.88222	11.29131	1058.98513	8.29697	40.37528	12.34550
50.96720	38.24145	1.00000	8.90644	76.44473	9.72862	9.06233	6.82431	9.90177	8.43998	7.57950	6.44628	-1.64295	11.58704	1076.92462	5.78808	42.8139	22.29217
39.37936	43.91161	0.00000	6.26072	88.14432	11.20214	8.84262	10.12787	9.44697	8.31024	8.47327	9.46999	57.3552	10.11194	1125.57366	8.73622	51.4781	7.31780
37.08696	62.77446	1.00000	22.79289	55.51212	5.87528	10.06323	6.67855	9.01720	9.06599	8.46989	9.70750	-120.00865	6.27480	1187.14994	8.62481	46.32374	29.08280
41.01962	53.92481	0.00000	5.57516	75.87485	6.62438		6.90610	5.75331	7.68948	7.46186	6.98287	1.00288	8.59810	1146.75905	9.58424	49.28669	25.03735
45.35916	40.16338	0.00000	1.73960	74.53965	5.69341	7.04057	7.21933	4.78619	9.36465	8.88564	7.93176	117.27583	9.31637	1158.74014	7.87331	35.64889	-8.93876
35.64300	51.20687	1.00000	7.12844	73.11394	9.81073	8.85296	9.13664	8.21394	6.20219	8.53267	9.33674	-102.04897	7.20314	1121.33002	12.48210	19.64745	17.14979
27.60291	34.85636	1.00000	3.50278	71.99450	10.16987	7.92139	11.33771	6.25788	8.10191	9.60504	8.34918	-71.08977	8.02811	1053.08991	6.90669	41.9001	12.06509
46.49076	58.23897	1.00000	2.46655	66.92820	6.79873	7.27710	6.94308	9.78984	8.08913	8.29865	8.16886	10.5511	6.26398	1077.15889	10.10380	52.47774	-0.54947
51.25254	59.68563	0.00000	4.68290	65.02865	8.36641	8.37487	8.91834	10.64733	9.61688	7.13164	8.21767	-121.74052	7.96445	1198.39614	11.67649	38.54491	11.16494
49.94147	50.10889	1.00000	8.88757	68.83886	8.03927	9.04477	7.07858	8.05153	8.38486	8.61014	9.47722	1.00288	6.49394	1096.36915	8.84373	49.28669	21.43459
31.58090	57.87016	1.00000	3.53299	69.83060	7.25082	8.03615	8.77537	7.37505	7.32781	8.99854	8.26729	113.82465	7.24635	1096.73571	10.53226	23.29549	22.43867
25.47466	41.46909	1.00000	1.09775	84.68082	10.18864	7.01791	8.64652	9.82093	9.78836	7.84328	7.21638	-4.1	9.06689	1104.61067	5.53695	48	24.89788
41.73347	35.82147	1.00000	3.24506	72.16802	7.90179	8.13368	6.99667	8.94854	4.97908	7.33457	8.27256	146.05093		1122.39509	9.45001	-34.28853	25.57840
42.23640	51.10007	0.00000	6.62091	68.52203	10.44418	8.81691	8.11401	9.51728	11.34191	9.08328	8.80172	-88.27205	10.50613	1133.48325	8.40557	44.27804	9.78990
58.69453	52.27494	1.00000	9.92071	81.17329	8.40716	9.26779	6.91319	8.12702	6.86770	9.10891	7.41892	13.57661	6.18518	1127.25811	9.13077	37.31065	17.18922
26.76807	51.48810	0.00000	6.89015	72.59869	10.11792	8.84249	9.44923	8.83408	9.09646	7.05360	6.99207	153.10236	12.28683	1074.00512	7.35117	-27.50578	27.07977
41.27027	52.73570	0.00000	3.45424	66.90671	8.62143	8.06951	7.83287	7.87995	11.95996	5.73005	8.64682	-71.29144	12.77349	1189.59124	8.34566	41.54566	24.06821
48.82943	34.03676	0.00000	14.02522	82.14126	9.24305	9.64728	11.13443	6.99786	7.08075	10.18734	8.19881	-44.31389	7.07551	1122.18938	10.71932	-19.7625	9.85037
42.24968	43.04568	0.00000	6.45415	76.02672	3.03780	8.76076	4.52811	7.55725	10.62402	10.22294	9.16579	100.48528	7.88842	1163.46445	8.70164	14.37395	13.21682
63.60664	42.22580	1.00000	6.18518	70.34894		8.67422	7.65011	9.24483	8.63499	7.82928	8.14871	137.36215	5.97210	1186.23385	10.84797	36.75965	18.65472
36.22166	44.37636	1.00000	3.11066	91.97658	11.35001	8.06793	9.60354	6.81392	9.35854	7.06426	8.09832	18.28333	9.29652	1056.16657	6.65878	59.33333	15.02952
31.85280	31.38208	0.00000	1.24326	82.05826	10.29694	6.74677	9.71876	10.08360	8.58423	8.53405	6.98350	-69.08333	8.75424	1102.32803	9.88527	-16.25	19.90359
41.72284	45.04852	0.00000	14.95248	62.65574	8.76279	9.69637	9.56732	9.94129	9.34923	7.52875	8.97654	29.00974	8.69213	1154.52592	9.63263	-24.19436	22.31570
52.06597	42.24811	1.00000	8.30933	66.55254	10.50105	9.03717	10.49441	7.44347	9.41208	8.36033	6.98343	99.95469	8.39384	1158.79374	6.47316	13.51825	22.40423
29.86412	58.47443	1.00000	4.43039	62.24878	10.47387	8.20207	9.70751	5.16210	6.81750	7.72921	8.40833	15.46667	8.60787	1054.49415	7.15503	47.05	37.46661
36.91546	62.41097	0.00000	3.76967	74.21987	5.47252	7.70587	7.49453	8.31818	8.04629	8.95647	6.38640	69.49015	9.04226	1077.05283	7.23746	56.11281	0.22199
47.40612	53.79627	0.00000	7.24937	66.11728	5.13566	8.73360	8.57681	6.36415	9.44251	9.81413	8.85221	-116.97725	9.39885	1060.35402	5.80830	33.92946	18.40155
47.85648	40.28028	1.00000	0.84785	78.93472	7.65817	6.95853	4.64341	10.86217	5.02789	9.95146	7.88431	-77.70066	6.68143	1106.17154	7.27962	43.16547	9.54981
	32.95197	1.00000	1.39841	73.24646	10.14463	6.98434	9.47272	8.11134	9.21459	6.46409	10.11590	73	10.46059	1050.14742	6.58371	40.93333	29.27735
39.29452	56.76438	1.00000	4.06647	75.99524	10.24656	8.18318	12.10323	4.79061	7.14095	8.05687	8.35072	8.64409	8.18100	1126.27966	7.69622	48.07667	14.91446
42.78229	16.24583	0.00000	2.48279	66.93279	9.30948	7.27647	9.95702	8.37976	8.71930	7.49671	7.93710	-3.53261	7.87141	1108.18652	9.45122	40.42386	19.11743
47.88562	34.74409	1.00000	1.61374	82.44640	8.94661	7.28329	11.48998	8.28549	13.03098	8.73784	6.60224	40.74357	9.49819	1179.41727	6.96644	37.31309	30.74343
37.54207	43.73502	1.00000	13.61825	77.19965	5.89981	9.54301	6.50109	11.22677	5.57487	7.94983	7.27733	110.8405	6.48573	1052.94971	10.38230	-6.8048	16.12503
29.28836	40.23025	0.00000	2.96152	81.05326	6.20674	7.56437	8.72557	8.03270	6.70143	9.24828	7.60372	86.59509	8.43152	1143.19161	5.25301	26.11527	26.61032
67.30338	34.06566	0.00000	3.11639	73.21132	7.82867	8.06255	10.45296	6.02718	10.35414	9.84451	8.50437	-117.14392	6.23881	1086.61739	11.31374	32.9156	21.81568
55.49615	61.53109	1.00000	3.09465	68.08736	9.23039	7.27836	7.59945	6.85073	11.12272	8.85357	8.54139	8.70745	9.42000	1127.67012	6.19856	49.03685	30.58405
54.48027	11.47055	0.00000	5.44814	77.00067	9.24061	8.49809	9.81469	9.42258	7.98430	8.67601	6.36099	117.4831	10.07894	1061.01029	9.53020	27.34089	21.38186
41.36250	21.46998	1.00000	8.29587	78.57054	7.61829	8.97735	6.62676	10.35347	6.22214	6.89064	8.52699	-87.70172	5.62632	1136.22890	10.08390	41.72059	23.70191
41.07096	52.90925	1.00000	8.35045	79.63003	10.48404	9.01451	9.39113	6.14813	6.26058	9.74091	5.31150	36.7138	10.17614	1145.08078	7.02056	35.95664	33.54117
15.67130	65.26993	0.00000	35.96577	71.55137	10.68976	10.57749	10.34957	9.58897	8.31771	8.07706	6.68874	7.20769	11.39861	1143.32547	7.15648	50.80019	2.23544
28.99463	52.88137	1.00000	5.18048	72.73931	7.95716	8.57514	8.35167	7.70008	13.13330	7.95487	9.49905	42.54536	11.48649	1169.51926	7.07216	-0.35817	-2.20078
27.24881	34.55471	0.00000	5.76109	67.98082	9.51828	8.61668	8.34751	11.67656	10.92215	6.54294	7.99673	38.66667	10.11826	1096.60745	9.14331	-6.25	11.36240
44.97773	65.40118	0.00000	2.22909	77.43514	11.02791	7.28101	8.76171	12.75006	8.91803	11.29612	9.48378	36.25361	11.58566	1176.16769	8.27261	47.48444	26.91130
47.20524	45.30637	0.00000	1.00431	63.64950	9.18531	6.65303	5.50810	7.19633	3.23767	7.74082	8.82742	-4.10734	9.58771	1145.47068	6.24971	38.68712	12.03243
27.11268	24.47209	0.00000	4.52788	82.12081	7.48719	8.22124	6.20437	7.24736	6.28576	8.48055	8.95667	8.96317	11.34627	1056.84583	6.52941	48.35149	-1.57042
35.28521	30.82876	1.00000	6.73856	76.67795	8.17471	8.83496	7.71535	7.33412	8.85010	8.51656	9.31242	88.1453	9.42058	1181.61617	6.22684	22.4711	2.33110
52.28499	20.87624	1.00000	14.87577	63.85258	8.52347	9.58743	10.83508	3.98341	9.33892	7.76833	8.12603	-76.88442	9.41107	1059.14614	8.19639	40.2737	13.87705
40.31657	49.29992	0.00000	25.71878	70.49420	9.84276	10.22644	9.69734	7.32327	10.61744	8.76663	8.90942	-48.62789	10.72342	1135.26089	8.19987	-17.74431	-9.15158
60.62601	51.50993	1.00000	37.24615	74.46962	9.20710	10.59694	8.36605	7.93000	5.32717	9.53103	7.93132	1.33467	7.98612	1139.56727	10.78251	43.61058	18.41050
63.39256	37.44437	1.00000	2.92855	58.33266	7.31805	7.99372	6.35149	10.29084	4.49392	7.32175	8.69259	7.00417	7.76269	1072.35596	8.98267	52.26083	6.08830
38.50850	54.87258	1.00000	2.24272	74.13525	10.04904	6.94176	9.34221	6.68270	9.11972	6.35656	8.01952	73.66633	8.08979	1188.58158	6.76811	25.92493	7.34639
58.55457	26.35369	1.00000	1.58417	74.34515	11.51321	6.76353	10.81782	6.99043	8.38674	7.43829	7.89125	123.89071	8.13140	1137.35087	6.83709	10.31672	25.33446
37.84777	45.35525	0.00000	7.57969	69.92857	10.60434	8.92481	8.62311	11.98019	10.09716	8.38152	7.08811	-81.24441	10.90055	1053.71572	8.65167	23.15678	5.87298
61.20075	34.78985	1.00000	2.76323	66.82084	6.01434	7.60544	7.51022	8.27202	8.71284	7.55539	9.16175	-68.3	7.45633	1088.03994	9.25093	-54.8	13.09681
40.54837	30.64190	0.00000	30.60562	74.09382	6.82973	10.40341	6.50556	7.74478	5.10236	8.44710	7.03426	30.91105	6.58795	1192.63330	4.28843	3.02013	27.36625
33.57582	73.81722	1.00000	2.80916	79.02992	8.97647	7.79088	8.57889	6.09375	8.77994	8.06559	8.16840	-88.81395	9.96394	1059.31834	7.04030	35.61452	5.03866
58.56691	44.36673	1.00000	3.03712	61.45659	5.52584	7.65840	6.02056	10.60212	6.58464	8.64279	5.45783	121.06761	8.05056	1182.40308	8.07906	12.35275	11.08706
