revision	code	longitude	station	latitude	QoS
2020/09/30	KE	36.36339	Nyahururu	0.03813	maintenance
07/25/2019, 00:00:00	US	-87.93341	Pleasant Prairie	42.55308	building
2014/12/03	ES	-1.60452	Tudela	42.06166	accep
2015-12-26	CO	-72.47417	Villa del Rosario	7.83389	accep
18 Feb 2014	BR	-48.59278	Buri	-23.7975	maintenance
03/30/2022, 00:00:00	DZ	1.04945	Frenda	35.06544	excellent
11/05/2014, 00:00:00	MK	21.32778	Saraj	42	average
11/19/2013, 00:00:00	UA	32.6178	Kherson	46.65581	maintenance
2018/11/13	GB	-0.32247	Lancing	50.82882	excellent
2020-09-26	NG	4.52514	Argungu	12.74482	average
18 Jul 2021	GB	-0.29825	Surbiton	51.39148	average
2014-04-11	IR	51.49621	Nowshahr	36.64852	maintenance
06/27/2016, 00:00:00	PH	120.89694	Baliuag	14.95472	excellent
03/11/2022, 00:00:00	PG	144.23058	Mount Hagen	-5.85746	average
22 Sep 2020	IN	79.82979	Puducherry	11.93381	accep
2017/08/29	GB	-1.29243	Mexborough	53.49389	building
05/18/2019, 00:00:00	RU	60.70278	Ozersk	55.75556	maintenance
07/21/2019, 00:00:00	PH	123.758	Naga	10.20898	maintenance
19 Mar 2016	ID	109.05389	Wangon	-7.51611	excellent
2018-07-12	UG	30.91105	Arua	3.02013	building
16 Sep 2015	US	-111.89903	Scottsdale	33.50921	excellent
2015/06/27	KR	128.62667	Sinhyeon	34.8825	building
15 Dec 2021	US	-76.88442	Harrisburg	40.2737	accep
2019/09/22	US	-78.04471	Leland	34.25628	good
19 Dec 2015	ES	-1.86343	Caravaca	38.10558	maintenance
2020-10-13	US	-76.72803	Woodlawn	39.32288	maintenance
2021/04/05	KR	127.08472	Nonsan	36.20389	good
09/06/2014, 00:00:00	CN	109.22921	Yanliang	34.65918	accep
2019-08-12	RS	22.53083	Negotin	44.22639	good
09/24/2019, 00:00:00	GB	-0.33525	Kingston upon Hull	53.7446	average
13 Feb 2013	DE	9.5926	Walsrode	52.86147	average
2021-02-19	ES	-8.2194	Ferrol	43.48961	accep
2015/12/09	JP	137.5	Shinshiro	34.9	excellent
2017/04/24	TR	34.02537	Aksaray	38.37255	excellent
2013-03-05	CN	120.74792	Nanpiao	41.09822	accep
2015/01/01	JP	137.5	Shinshiro	34.9	average
2019-06-15	US	-73.89875	Yonkers	40.93121	excellent
07/15/2018, 00:00:00	PH	120.97844	Guyong	14.8361	maitennce
2016/10/01	ES	-1.325	Jumilla	38.47917	good
2016-07-07	RU	30.28491	Kolomyagi	60.02427	accep
2019-05-10	IT	17.80774	Mesagne	40.55851	accep
18 Sep 2020	BR	-41.45861	Pedro II	-4.42472	accep
2016/04/10	US	-81.26367	Deltona	28.90054	excellent
08/16/2020, 00:00:00	PT	-8.33147	Paredes	41.20485	excellent
2013-06-21	EE	28.19028	Narva	59.37722	average
17 Jun 2016	US	-80.66756	Belle Glade	26.68451	accep
18 Jun 2022	US	-88.70464	Tupelo	34.25807	accep
2015-08-08	CO	-73.9614	El Copey	10.15031	excellent
2019-10-13	IN	75.37991	Deoli	25.75728	accep
10/25/2015, 00:00:00	GB	-1.29243	Mexborough	53.49389	average
02/01/2020, 00:00:00	IN	71.57737	Gariadhar	21.53889	maintenance
07/16/2019, 00:00:00	CO	-77.03116	Buenaventura	3.8801	excellent
21 Jun 2021	TH	104.64992	Kantharalak	14.64056	good
29 Jun 2015	FR	-0.45877	Niort	46.32313	average
03 Oct 2018	TN	10.03478	El Alia	37.16911	excellent
11 Nov 2012	FR	2.29275	Fontenay-aux-Roses	48.79325	excellent
12/06/2021, 00:00:00	US	-93.71133	West Des Moines	41.57721	accep
2015-08-26	SY	36.7138	Binnish	35.95664	accep
10/25/2018, 00:00:00	US	-88.31476	Murray	36.61033	average
12/03/2017, 00:00:00	FI	24.95034	Kallio	60.18427	excellent
2015-08-01	FR	5.4384	Marseille 11	43.2907	accep
2020-03-20	IN	84.13864	Jashpurnagar	22.88783	good
02 Jun 2017	DE	12.16179	Landshut	48.52961	excellent
2021-09-26	BE	4.69889	Gembloux	50.56149	good
2020-09-19	MX	-102.04897	Paracho de Verduzco	19.64745	excellent
08/01/2015, 00:00:00	BJ	2.59753	Tchaourou	8.88649	excellent
2013-01-03	DE	7.02238	Gronau	52.21099	average
02/26/2021, 00:00:00	GB	-0.76667	Gainsborough	53.38333	average
12/03/2019, 00:00:00	BG	27.25	Aytos	42.7	average
02 Sep 2014	RU	47.1192	Buynaksk	42.819	average
2013-09-27	US	-70.92866	Peabody	42.52787	good
09 Mar 2020	RU	60.70278	Ozersk	55.75556	excellent
2021-12-15	BD	91.84128	Manikchari	22.83957	building
09/26/2020, 00:00:00	UA	38.15035	Svatove	49.41029	average
26 Feb 2017	US	-116.21677	Indio	33.7207	building
27 Sep 2012	BR	-35.03333	Cabo	-8.28333	excellent
11 Feb 2021	CN	122.22833	Yingkou	40.66482	excellent
2012/11/22	NG	9.0027	Gaya	11.86064	excellent
07 Jun 2015	US	-118.10583	San Gabriel	34.09611	excellent
2014/01/25	DZ	2.95924	Cheraga	36.76775	maintenance
25 Jul 2022	JP	136.61667	Nonoichi	36.53333	building
15 Jul 2021	NL	6.61944	Hardenberg	52.57583	accep
2016/10/12	NL	6.76111	Hoogezand	53.16167	average
12/08/2021, 00:00:00	ES	-4.83076	Talavera de la Reina	39.96348	average
13 Sep 2017	MX	-96.72365	Oaxaca	17.06542	excellent
2013-10-13	US	-84.62081	Waverly	42.7392	building
07/12/2019, 00:00:00	HK	114.10479	Tsuen Wan	22.37066	accep
16 Jul 2022	GB	-0.32247	Lancing	50.82882	average
2015-04-10	IN	73.08333	Dombivli	19.21667	accep
2016-01-23	BR	-34.88111	Recife	-8.05389	average
2015-04-30	BR	-39.25	Muritiba	-12.91667	good
2015/02/05	IN	86.59509	Supaul	26.11527	good
2016-04-10	IN	74.4818	Malaut	30.21121	good
05/11/2015, 00:00:00	RU	38.2739	Yeysk	46.7055	maintenance
23 Dec 2016	ES	-2.98884	Leioa	43.32686	acceptable
21 Jan 2015	IN	72.85107	Bhayandar	19.30157	accep
10 Jan 2020	FR	-4.1	Quimper	48	good
2016/05/25	US	-118.03917	South Whittier	33.95015	maintenance
12 Aug 2022	DK	12.53463	Frederiksberg	55.67938	average
2017-12-02	US	-73.20483	Bridgeport	41.16704	maintenance
2012/12/03	BR	-52.20639	Altamira	-3.20333	building
2022/05/29	BR	-35.71667	Catende	-8.66667	excellent
03/17/2018, 00:00:00	DE	13.32127	Wittenau	52.59319	maintenance
23 Dec 2013	GB	1.26738	Walton-on-the-Naze	51.84819	good
12 Feb 2013	FR	4.63031	Arles	43.67681	accep
12/12/2019, 00:00:00	FR	2.2469	La Garenne-Colombes	48.90472	average
2014/09/10	NG	3.64633	Shagamu	6.8485	excellent
16 May 2017	US	-74.28459	Woodbridge	40.5576	good
2012-12-21	RU	76.92421	Izluchinsk	60.97944	accep
2021/04/20	MG	48.41667	Ambatondrazaka	-17.83333	good
02 Nov 2013	US	-122.23484	Kent	47.38093	accep
28 Apr 2015	ZA	30.79165	Vryheid	-27.76952	accep
2014/06/21	US	-82.45426	Venice	27.09978	accep
2020-07-19	MY	102.3278	Kampung Ayer Molek	2.2139	accep
09 Dec 2013	IT	12.6723	Ariccia	41.72063	average
2021/09/07	AU	153.10236	Carindale	-27.50578	good
2015-06-11	IN	73.85535	Pune	18.51957	excellent
06/24/2015, 00:00:00	US	-123.02621	Keizer	44.99012	accep
07 Feb 2017	FR	4.63031	Arles	43.67681	excellent
01/17/2017, 00:00:00	DE	11.18709	Neuburg an der Donau	48.73218	accep
19 Dec 2016	PT	-9.24671	Carnaxide	38.72706	excellent
2015/08/26	GB	0.47713	Strood	51.39323	good
05/31/2018, 00:00:00	FR	2.1699	Herblay	48.98994	average
2020/10/09	MQ	-60.94228	Le Robert	14.67751	average
05/22/2021, 00:00:00	MA	-2.16	Jerada	34.31	building
2018/10/16	AT	15.46667	Sankt Peter	47.05	accep
14 Feb 2015	DE	7.973	Finnentrop	51.168	accep
2018-10-16	GB	-0.32247	Lancing	50.82882	maintenance
2021-06-27	US	-73.89875	Yonkers	40.93121	accep
07/04/2018, 00:00:00	NG	12.19458	Biu	10.61285	excellent
2020-03-14	CL	-73.02841	Chiguayante	-36.9256	excellent
2017/04/28	NZ	171.25364	Timaru	-44.39672	good
07/09/2020, 00:00:00	PA	-79.62098	Chilibre	9.15093	excellent
2014/02/23	FR	1.6	Pamiers	43.11667	excellent
2013/12/19	FR	5.03586	Cavaillon	43.83125	accep
2016/11/23	PH	124.84472	Maasin	10.13361	excellent
2016-02-06	IT	16.50104	Bisceglie	41.24264	excellent
03/28/2017, 00:00:00	VN	105.75635	Sa Dec	10.29085	accep
07 Nov 2014	PL	15.00835	Zgorzelec	51.14942	good
12 Nov 2021	RO	26.01649	Sector 6	44.43579	excellent
2015/03/14	MY	101.96857	Gua Musang	4.88441	accep
29 Dec 2019	US	-122.24064	Bothell West	47.80527	accep
2021/06/11	US	-96.39774	Brenham	30.16688	good
02/05/2015, 00:00:00	UZ	67.84222	Jizzax	40.11583	excellent
04/06/2022, 00:00:00	US	-156.47432	Kahului	20.88953	excellent
2018/05/30	BR	-50.19556	Iturama	-19.72806	accep
16 Apr 2014	RU	43.83992	Arzamas	55.39485	good
05/16/2013, 00:00:00	US	-71.8023	Fitchburg	42.58342	maintenance
2021-10-17	GH	-1.4001	Mampong	7.06273	accep
2018-10-29	CG	15.28318	Brazzaville	-4.26613	building
30 Jun 2013	DE	9.72749	Ehingen	48.28259	excellent
03 Aug 2013	US	-82.46148	Lutz	28.15112	excellent
2016-06-13	TZ	39.28333	Nyangao	-10.33333	average
15 May 2019	JP	137.02166	Minokamo	35.48199	accep
2019-12-29	DZ	2.31889	Ksar Chellala	35.21222	maintenance
2020-06-29	NE	9.15013	Mirriah	13.70727	good
2014-02-11	US	-77.96389	Martinsburg	39.45621	average
2013/05/02	DE	10.30215	Bad Segeberg	53.94313	average
04/16/2017, 00:00:00	US	-82.42491	Port Huron	42.97086	good
2014/05/19	US	-93.75018	Shreveport	32.52515	excellent
03/04/2016, 00:00:00	ES	-2.98884	Leioa	43.32686	accep
2016/05/18	CN	117.81667	Zhoucun	36.81667	maintenance
2015/06/04	BA	19.21437	Bijeljina	44.75874	average
03/02/2013, 00:00:00	TZ	33	Usagara	-2.68333	accep
30 Sep 2019	RU	34.34691	Petrozavodsk	61.78491	acceptable
2018-03-08	NG	4.52514	Argungu	12.74482	excellent
29 Jun 2022	IN	78.40102	Chharra	27.9247	excellent
04/25/2018, 00:00:00	US	-73.47429	Massapequa	40.68066	good
07/27/2018, 00:00:00	IN	88.18466	Diamond Harbour	22.19303	excellent
07/06/2021, 00:00:00	GB	1.26738	Walton-on-the-Naze	51.84819	accep
08/16/2017, 00:00:00	BR	-48.52333	Soure	-0.71667	average
2021/04/14	IN	76.0586	Hungund	16.06213	maintenance
2015-06-04	IR	48.26258	Aleshtar	33.86419	maintenance
14 Dec 2017	MA	-6.90656	Temara	33.92866	building
2021/12/01	ES	-6.03731	San Juan de Aznalfarache	37.35813	good
2017/11/11	IN	77.5609	Kangayam	11.00599	good
2013-10-16	CN	113.82465	Licheng	23.29549	accep
10/12/2012, 00:00:00	GE	41.77921	Kobuleti	41.82143	good
15 Mar 2020	BR	-52.67056	Pato Branco	-26.22861	accep
04 May 2013	IR	48.26258	Aleshtar	33.86419	excellent
12 Jun 2019	US	-81.79819	Lakewood	41.48199	excellent
22 Apr 2015	GB	-2.52398	Winsford	53.19146	good
2018-03-29	UA	38.15035	Svatove	49.41029	building
2018-03-20	ID	101.44167	Pekanbaru	0.51667	building
09/04/2013, 00:00:00	MX	-93.11308	Tuxtla	16.75973	accep
03/15/2013, 00:00:00	ES	0.57856	Amposta	40.70995	average
11 Mar 2020	US	-116.37697	Palm Desert	33.72255	good
03 Oct 2015	CN	86.00214	Hoxtolgay	46.51872	good
02/09/2019, 00:00:00	CN	122.20488	Zhoushan	29.98869	accep
06/15/2021, 00:00:00	BR	-46.99583	Valinhos	-22.97056	maintenance
19 Jul 2016	DE	8.86704	Nidderau	50.23805	excellent
2015-06-13	TZ	37.00438	Kidodi	-7.60361	excellent
28 Aug 2016	GB	-4.21376	Rutherglen	55.82885	accep
2016-09-19	MA	-6.90656	Temara	33.92866	good
09/30/2015, 00:00:00	IN	88.1453	Pujali	22.4711	average
2021/01/03	IN	76.12647	Chamba	32.55531	good
2013/11/30	NL	4.47124	Schiebroek	51.95838	accep
2018-04-06	TZ	37.00438	Kidodi	-7.60361	building
2020/06/24	US	-117.14392	Mira Mesa	32.9156	average
05/04/2018, 00:00:00	NL	6.92917	Oldenzaal	52.31333	average
2018/04/21	GB	-1.06667	Selby	53.78333	building
2019/03/30	ES	-15.58602	Maspalomas	27.76056	good
31 May 2020	DE	11.18709	Neuburg an der Donau	48.73218	excellent
2013/03/17	AU	152.70493	Maryborough	-25.54073	average
2013-11-03	US	-73.95958	Brighton Beach	40.57788	average
14 Nov 2017	GB	-0.76667	Gainsborough	53.38333	maintenance
2018-07-08	ID	116.82887	Balikpapan	-1.26753	building
04/10/2022, 00:00:00	GB	-1.32471	Newbury	51.40148	average
19 May 2019	TH	104.64992	Kantharalak	14.64056	building
2018-11-06	IN	74.83554	Sirsi	14.62072	accep
2021/02/04	US	-84.50855	Covington	39.08367	excellent
2018/12/11	CN	117.65694	Laiwu	36.19278	excellent
20 Jan 2019	JP	141.95	Yamada	39.46667	maintenance
2016-03-12	FR	2.25	Saint-Omer	50.75	average
09 Jul 2021	JP	137.02166	Minokamo	35.48199	average
03/29/2016, 00:00:00	DE	7.20769	Siegburg	50.80019	good
08 Mar 2022	BR	-42.19667	Miracema	-21.41222	average
2021/04/11	FR	4.7934	Saint-Genis-Laval	45.69558	building
10 Apr 2018	PK	68.88871	Jhol	25.95533	good
2014/10/03	ES	-4.83076	Talavera de la Reina	39.96348	building
2014/10/10	UZ	69.67639	Parkent	41.29444	average
2021-08-16	KE	34.11169	Busia	0.46005	excellent
2021/07/02	FR	5.16108	Bar-le-Duc	48.77275	building
2018/10/11	ES	-0.76773	Novelda	38.38479	excellent
06 Jul 2017	TT	-61.51889	Port of Spain	10.66668	maintenance
2020-11-14	RU	37.49338	Tyoply Stan	55.62047	average
09/09/2022, 00:00:00	IT	13.44275	Villabate	38.07789	average
20 May 2015	BR	-37.65	Lagarto	-10.91722	accep
2021-09-19	AU	150.60036	Nowra	-34.88422	good
2020-06-23	TR	27.02444	Edremit	39.59611	maintenance
27 Feb 2017	MG	44.53333	Sakaraha	-22.9	maintenance
15 Sep 2020	IT	14.39024	Lanciano	42.22718	accep
01 Feb 2016	IN	78.14797	Betamcherla	15.45144	good
2014/04/22	NL	5.2875	Vught	51.65333	accep
09/12/2014, 00:00:00	CN	120.14278	Jiangyan	32.50611	excellent
2018/01/22	BR	-44.31389	Esmeraldas	-19.7625	good
29 Apr 2017	BD	89.11943	Kushtia	23.9028	good
2018/03/19	KH	102.56365	Paoy Paet	13.65805	average
09 Mar 2016	IT	8.62118	Novara	45.44694	accep
2012-10-02	DZ	3.47717	Boumerdas	36.76639	excellent
30 Nov 2019	UA	27.06365	Shepetivka	50.18545	average
24 Oct 2020	JP	137.95378	Ina	35.82756	good
07/06/2019, 00:00:00	US	-118.03917	South Whittier	33.95015	excellent
20 Jul 2016	TZ	39.28333	Nyangao	-10.33333	average
03 Apr 2020	DE	9.02596	Albstadt	48.21644	accep
2015/06/09	PK	74.12286	Kanganpur	30.76468	average
2018/07/07	ID	113.69785	Besuki	-7.73379	building
2018/04/14	MA	-6.00137	Oulmes	33.42585	average
12 Aug 2022	US	-122.23484	Kent	47.38093	average
01/12/2022, 00:00:00	UG	30.98551	Paidha	2.41669	excellent
08/29/2017, 00:00:00	PK	70.91106	Alipur	29.38242	average
2016-02-12	RU	46.5813	Alatyr’	54.8421	accep
30 Jun 2021	US	-87.45476	Schererville	41.47892	good
06/04/2014, 00:00:00	DZ	2.95924	Cheraga	36.76775	average
2014/09/18	BR	-52.35558	Nova Xavantina	-14.66463	average
13 Mar 2022	GB	-1.29243	Mexborough	53.49389	accep
2013/10/12	ES	2.18247	el Camp de l'Arpa del Clot	41.41204	excellent
2013-12-21	VE	-67.33122	La Victoria	10.22677	building
14 Oct 2018	GB	-0.2	Barnet	51.65	excellent
03/25/2013, 00:00:00	US	-98.15529	San Juan	26.18924	good
2017/10/22	US	-81.79819	Lakewood	41.48199	accep
07/23/2021, 00:00:00	DZ	1.04945	Frenda	35.06544	good
04/22/2022, 00:00:00	BR	-63.90389	Porto Velho	-8.76194	good
2018/06/26	PH	124.95278	Tupi	6.33444	average
2017-05-05	TZ	29.65806	Mwandiga	-4.83	maintenance
15 Jul 2013	LY	20.22625	Ajdabiya	30.75545	maintenance
2019/08/27	IN	78.95693	Kashipur	29.21399	average
2013/06/21	GB	-1.99421	Devizes	51.35084	acceptable
2019-08-23	IN	84.63445	Rafiganj	24.81757	accep
08/08/2014, 00:00:00	BR	-63.90389	Porto Velho	-8.76194	excellent
2014/04/08	UY	-56.52361	Durazno	-33.38056	good
2015-06-01	IN	84.63445	Rafiganj	24.81757	average
2022-09-15	NL	5.2875	Vught	51.65333	accep
2021/10/06	ZA	30.79165	Vryheid	-27.76952	average
2012/12/22	GB	-2.01111	Great Wyrley	52.66277	excellent
2017/08/28	US	-74.15987	Nutley	40.82232	accep
2012/11/13	EE	28.19028	Narva	59.37722	building
01/14/2018, 00:00:00	MG	46.58333	Ikalamavony	-21.15	maintenance
08/16/2015, 00:00:00	SA	49.62251	Al Jubayl	27.0174	good
2015/09/19	SY	38.28402	Tadmur	34.5624	maintenance
2021/09/17	MX	-93.11308	Tuxtla	16.75973	average
2015-08-03	KH	102.56365	Paoy Paet	13.65805	excellent
2020/02/26	US	-75.64963	Pottstown	40.24537	excellent
2020/09/11	LT	24.75	Ukmerge	55.25	accep
2015-07-12	RU	38.12408	Bogoroditsk	53.77166	maintenance
2020-07-13	GB	0.30367	Hartley	51.38673	average
2015-10-25	TZ	37.00438	Kidodi	-7.60361	good
2016/12/18	PK	73.97117	Naushahra Virkan	31.96258	accep
01/27/2017, 00:00:00	MX	-99.32556	San Lorenzo Acopilco	19.32889	excellent
28 Oct 2016	TH	100.48528	Bang Ban	14.37395	good
03/28/2015, 00:00:00	US	-82.35176	Sun City Center	27.71809	building
12 May 2014	GB	1.26738	Walton-on-the-Naze	51.84819	excellent
2015/12/03	US	-75.23266	Utica	43.1009	maintenance
03/23/2016, 00:00:00	BY	30.2049	Vitebsk	55.1904	average
18 Jan 2017	TR	40.74357	Mardin	37.31309	good
09/06/2018, 00:00:00	CN	117.65694	Laiwu	36.19278	accep
2018/11/21	PK	70.91106	Alipur	29.38242	accep
07/31/2020, 00:00:00	TJ	69.01354	Vahdat	38.55632	excellent
05/18/2018, 00:00:00	RU	38.07083	Stupino	54.90083	good
12 Aug 2017	JP	137.5	Shinshiro	34.9	building
03 Sep 2018	DE	7.20769	Siegburg	50.80019	excellent
2013-04-24	ID	116.82887	Balikpapan	-1.26753	excellent
2020-10-19	AU	146.05093	Griffith	-34.28853	maintenance
2016/10/01	BG	23.225	Montana	43.4125	maintenance
2020/10/04	NG	4.92235	Efon-Alaaye	7.65649	good
2016/02/27	IN	88.1453	Pujali	22.4711	excellent
2014/10/20	US	-87.71255	South Lawndale	41.84364	maitennce
2018/10/02	AZ	45.36561	Qazax	41.09246	excellent
25 Nov 2020	IT	7.60872	Ventimiglia	43.78956	average
02 Jun 2022	IN	83.36889	Gorakhpur	26.76628	average
08 May 2013	UZ	69.67639	Parkent	41.29444	accep
29 Dec 2014	IN	82.85749	Elamanchili	17.54907	excellent
2018-07-04	SE	17.10558	Hudiksvall	61.72744	average
17 Sep 2013	ID	112.01667	Kediri	-7.81667	accep
2013-06-23	BR	-46.99583	Valinhos	-22.97056	average
14 Apr 2014	US	-82.35176	Sun City Center	27.71809	accep
01/26/2021, 00:00:00	GB	-1.47217	Chapletown	53.46506	good
04/06/2019, 00:00:00	MY	101.96857	Gua Musang	4.88441	accep
31 Oct 2019	UZ	69.67639	Parkent	41.29444	good
2018-10-17	US	-117.54866	Norco	33.93113	maintenance
07/02/2019, 00:00:00	GB	-2.52398	Winsford	53.19146	building
08/12/2021, 00:00:00	US	-84.23381	Stockbridge	33.54428	acceptable
2013-04-17	TH	100.48528	Bang Ban	14.37395	average
2014-02-28	GB	-0.76667	Gainsborough	53.38333	maintenance
2019-07-20	CN	115.70111	Hengshui	37.73222	excellent
31 Jul 2017	ES	-6.03731	San Juan de Aznalfarache	37.35813	good
05/02/2015, 00:00:00	UG	32.88667	Kitgum	3.27833	excellent
2020/04/06	US	-88.3162	Crystal Lake	42.24113	excellent
2015-12-13	US	-81.77285	Clermont	28.54944	building
2021/04/03	RU	35.96944	Volokolamsk	56.03361	excellent
01/21/2022, 00:00:00	LY	10.18003	Ghat	24.96334	maintenance
26 Apr 2021	KZ	59.6	Shalqar	47.83333	average
2012/10/05	US	-87.45476	Schererville	41.47892	accep
10/20/2020, 00:00:00	NG	4.52514	Argungu	12.74482	average
2016-03-26	JP	137.4	Toyokawa	34.81667	average
27 Dec 2014	IN	78.25795	Tiruppuvanam	9.82564	excellent
14 Mar 2020	DZ	1.04945	Frenda	35.06544	good
2017-01-30	MK	20.91361	Bogovinje	41.92361	excellent
12/21/2020, 00:00:00	DO	-71.10077	Santa Cruz de Barahona	18.20854	good
07 Jan 2022	GB	-1.29243	Mexborough	53.49389	good
2018-12-12	SY	36.7138	Binnish	35.95664	good
2021-09-23	DE	9.85	Halstenbek	53.63333	average
2019-06-27	CU	-82.4017	Boyeros	23.0072	accep
2018-10-15	GB	-0.29825	Surbiton	51.39148	maintenance
07 Aug 2017	RU	37.38115	Solntsevo	55.63711	accep
04/19/2014, 00:00:00	ES	-2.98884	Leioa	43.32686	average
05/28/2020, 00:00:00	JP	137.02166	Minokamo	35.48199	excellent
2013-04-04	IN	88.18466	Diamond Harbour	22.19303	accep
