PRES	TEMP	latitude	PAHs	Pb	PM10	PM2.5	O3	NH3	warning	SO2	CO	H2CO	C2H3NO5	NOx	longitude	CH4	CFCs
1108.79825	20.79092	60.97944	5.65070	70.56271	6.22809	7.86549	10.04393	7.13841	1.00000	5.61329	8.79716	52.45197	0.04019	10.34972	76.92421	8.78041	70.70009
1087.28628	28.05417	45.40008	4.98112	43.40411	5.86138	6.45447	6.43147	6.93880	1.00000	6.79775	7.95263	49.23009	0.10878	6.08080	-73.58248	7.58560	35.88172
1066.61895	37.57922	28.90054	6.86221	44.44762	6.03164	6.68058	9.25618	5.89100	1.00000	7.66191	9.20949	35.23319	0.07570	7.34137	-81.26367	6.77697	78.11854
1057.05592	30.37443	-6.25	1.72862	61.39540	8.44916	10.11161	4.73470	7.40976	0.00000	11.24510	7.33660	48.50611	0.30296	9.57044	38.66667	8.13101	48.66790
1195.01555	13.61998	43.11667	8.09410	67.97345	5.82531	6.50267	8.70747	5.45082	1.00000	7.01225	6.68709	69.27853	0.05393	8.48070	1.6	8.59287	28.44115
1084.83102	10.94963	11.15583	6.77382	58.98796	8.77192	7.99456	9.92525	7.76026	1.00000	6.67124	8.74944	49.28979	0.35874	8.94490	42.7125	5.64886	35.40631
1110.16643	5.27975	28.92694	7.15544	62.45343	2.43350	6.38367	6.09098	8.59574	1.00000	8.24384	6.36422	53.43734	0.09579	7.75142	78.23456	7.26253	74.94002
1109.06159	-3.25903	34.09611	7.61770	41.61329	5.52818	7.35662	7.23094	7.83471	1.00000	8.17268	8.89194	32.88644	0.06738	10.66045	-118.10583	9.41344	58.67992
1095.41184	15.77905	7.06273	7.15172	29.26790	5.70718	5.89353	6.79532	8.26647	0.00000	6.10741	5.83926	30.66454	0.11318	8.87187	-1.4001	7.02453	54.58987
1136.24878	15.40488	43.96222	7.97087	30.02699	8.09963	4.40420	8.93225	8.15022	0.00000	8.53107	8.43131	50.47407	0.22900	7.15377	43.63417	7.12002	42.91523
1050.09627	17.73440	56.11281	6.42851	44.44465	7.65905	7.08924	7.05595	7.14772	1.00000	6.53003	7.28279	44.16211	0.18515	8.87648	69.49015	8.93402	50.92749
1181.82305	17.74706	14.53767	7.00931	26.80675	6.77191	10.47578	5.26774	8.98270	0.00000	7.09653	6.24917	50.61807	0.06973	9.24724	46.83187	9.59295	72.34859
1183.38039	9.54068	39.72943	7.02280	53.01014	7.19215		8.07683	8.19411	1.00000	5.71517	8.01333	61.55035	0.17609	9.68703	-104.83192	6.05902	54.76537
1198.04374	29.97019	5.27247	4.68587	53.37081	10.25099	5.98188	8.13852	6.99754	1.00000	4.94695	7.95814	49.43456	1.31805	8.91265	-3.59625	7.36917	28.27532
1105.25061	8.59947	41.48199	8.67224	52.76539	5.79298	5.01488	6.73366	6.56487	1.00000	4.25589	7.43634	75.87551	0.07885	8.71560	-81.79819	6.48490	35.78331
1178.52037	17.06183	34.14251	7.38322	40.44681	7.96911	6.75552	7.97866	8.12862	1.00000	6.62688	7.86187	39.79395	0.21756	11.65396	-118.25508	6.59252	36.22844
1178.44260	-10.76772	10.12268	5.02639	34.35625	8.11636	11.75834	5.66557	6.87353	0.00000	8.38504	7.62478	47.59724	0.19491	9.75836	77.54372	7.62663	45.03677
1087.13373	20.91818	38.10558	5.17428	62.42054	6.51897	9.39396	7.93827	8.04688	1.00000	4.49896	8.23817	55.33316	0.05258	9.71496	-1.86343	7.47776	68.32208
1120.82980	16.24751	39.59611	5.92297	64.82967	7.32441	10.60408	6.23814	6.22694	0.00000	8.29059	7.95918	45.19793	0.11372	9.65852	27.02444	8.23898	46.17363
1087.13791	18.09263	38.96667	4.71219	35.28310	6.94239	6.78499	5.01050	6.82026	1.00000	6.48864		47.11507	0.08338	8.46317	-0.18333	7.31389	57.01494
1122.23399	15.31467	3.8801	6.18002	45.20930	11.60625	8.36744	9.12162	8.62819	1.00000	8.48107	8.52606	33.43385	4.94209	7.62900	-77.03116	8.28958	51.77771
1120.04169	9.16306	38.38479	7.34519	54.24117	9.48362	8.12484	9.47081	8.47699	1.00000	6.54317	7.09345	49.36894	0.64171	10.03560	-0.76773	6.56897	63.81931
1196.24830	20.59811	14.62578	6.77961	42.78752	10.86755	8.90508	9.29634	5.10013	1.00000	7.47994	6.60641	57.67550	2.42129	7.50893	121.12251	7.44697	65.50150
1111.79468	2.11387	8.88649	6.84320	59.21420	9.86344	9.59556	7.56756	8.10585	1.00000	6.02563	8.23886	40.32392	0.91730	9.02050	2.59753	6.96084	72.51078
1061.63329	34.42491	38.06084	4.76173	55.57872	6.32308	6.68478	9.11600	7.23315	1.00000	6.45895	6.54249	58.74522	0.15824	9.94378	-97.92977	5.62046	48.14186
1130.15770	17.07674	0.51667	6.89228	51.28524	8.86666	6.60584	8.61801	8.12660	1.00000	6.21871	7.47240	77.50508	0.34293	10.95755	101.44167	7.04399	34.14151
1175.03675	-9.25019	11.12018	6.77524	62.55442	8.19912	8.31446	9.65477	7.08393	1.00000	7.00490	7.19992	39.99461	0.23414	9.38630	76.11996	7.04854	56.41722
1073.74168	29.49374	43.2907	5.62876	47.41484	8.14008	9.10998	9.90404	6.55469	1.00000	6.34787	7.41087	49.35326	0.21988	8.26404	5.4384	8.75339	42.16164
1100.78455	10.04963	4.92675	7.71196	43.43318	2.79406	6.66138	6.80208	7.29813	1.00000	8.69290	8.65316	39.64144	0.05143	9.08723	6.26764	5.43576	31.07094
1167.17164	18.61876	43.2907	5.40940	49.71526	4.93307	6.59208	9.83723	9.41306	0.00000	9.89443	6.69017	59.39116	0.09823	10.14792	5.4384	4.97484	62.72785
1160.49080	10.38817	4.88441	6.47981	40.35363	7.43646	9.89516	4.77180	8.03000	0.00000	8.05237	8.41031	29.49506	0.10599	9.92175	101.96857	9.83360	44.70302
1151.38980	24.31851	37.16911	8.22812	42.60083	7.64803	6.34491	7.02829	8.22655	1.00000	5.59090	7.90544	55.84674	0.12576	11.91052	10.03478	7.11383	40.97474
1134.15933	20.08811	53.53395	7.20338	32.01098	8.82763	6.75508	8.30047	7.10386	1.00000	5.87991	6.95745	47.59011	0.40226	10.22562	33.72798	8.65380	64.63712
1111.99110	27.54044	13.73417	8.68397	52.01511	11.11537	8.73018	10.13782	7.52110	1.00000	7.10568	6.91950	36.30576	3.02619	10.83989	-89.71472	8.07304	44.79934
1152.02449	21.97598	40.11583	6.27464	50.91210	7.15018	9.27878	8.95915	7.06389	1.00000	5.82120	7.96706	60.13475	0.15668	8.91678	67.84222	8.31192	31.12402
1121.41012	20.12602	34.08565	7.13874	54.90480	6.00465	5.34480	8.86181	7.55160	1.00000	5.80976	7.42801	64.53046	0.07560	6.85100	74.80555	7.73667	50.76341
1069.81542	-1.67940	40.24537	5.65653	45.83309	9.00324	5.64310	7.02186		1.00000	4.66279	7.35227	57.34202	0.43538	9.77948	-75.64963	7.83381	63.91593
1140.80050	12.67787	25.66795	6.44076	89.21129	11.11627	9.07230	8.53678	7.34827	1.00000	6.72822	8.52411	49.25001	3.06742	9.14564	85.83636	9.01702	36.51721
1195.38370	17.50246	26.76628	7.48622	41.47873	6.57281	6.50092	8.56428	9.48054	1.00000	6.81361	7.56429	61.01084	0.09144	8.84670	83.36889	6.83021	57.00129
1081.04409	15.14726	-21.41222	4.96573	53.41117	8.86510	9.35989	9.27215	6.62006	1.00000	6.18371	6.64481	53.77658	0.38929	7.75143	-42.19667	8.61315	76.45766
1153.60217	18.23091	41.72059	7.05783	47.81712	4.51014	5.42613	6.82564	7.49273	1.00000	6.44257	7.15091	39.76412	0.07659	8.68649	-87.70172	6.55021	70.04121
1129.40581	30.43995	51.955	7.29724	51.43304	6.04457	7.20526	8.91195	9.36723	0.00000	9.32026	7.60145	57.29387	0.09644	9.12678	5.22778	7.41689	51.36095
1060.21568	16.52017	30.29184	5.28756	71.75767	7.64692	7.97921	9.32584	7.03645	1.00000	6.93422	7.49033	45.83752	0.17687	8.11948	71.67164	6.13975	39.22743
1193.80198	9.73443	-8.05389	5.56494	43.03035	6.75157	6.96261	7.59915	6.29199	1.00000	7.59737	6.63010	47.81239	0.13547	8.45752	-34.88111	7.75342	48.25312
1113.88607	15.99384	34.81667	8.30773	32.16933	8.69452	4.98478	7.66992	5.84629	0.00000	9.70114	7.73177	70.67221	0.33558	7.66891	137.4	6.55634	45.07915
1098.04531	16.90794	43.78956	6.98218	70.63840	4.90018	6.99760	6.70357	7.66430		8.10670	6.19657	20.56341	0.09556	9.75610	7.60872	8.05857	44.23190
1128.55305	1.67476	53.53395	5.42065	64.84992	5.18307	8.47401	8.91158	8.65894	1.00000	5.25215	8.79036	50.60942	0.09474	8.90937	33.72798	7.22723	21.95118
1120.03657	-12.25330	41.16704	5.40891	51.99578	10.39162	9.66663	8.03760	7.74057	1.00000	8.47562	7.71599	64.04038	1.51197	5.67384	-73.20483	8.73733	53.83956
1173.32290	18.18975	6.33444	6.61010	39.02064	9.95021	10.21727	8.24628	7.76427	1.00000	5.99279	6.38600	44.28435	1.01997	9.23272	124.95278	7.42678	54.67422
1093.07399	15.41577	52.21099	7.42314	69.36225	6.38786	6.60138	8.58724	8.55428	0.00000	7.53428	7.65421	49.13133	0.13283	10.51677	7.02238	11.36851	48.59369
1130.15737	33.49128	36.61033	6.06828	64.03146	7.69664	6.95371	6.59393	7.95997	1.00000	6.48329	7.39452	79.40422	0.17042	9.65273	-88.31476	8.61079	28.60344
1166.52241	25.78892	14.37395	4.46395	54.58145	7.39800	7.23348	4.37402	9.13674	1.00000	6.58123	8.53369	39.31939	0.10790	8.85454	100.48528	9.20862	63.21075
1054.62508	26.00265	-4.42472	7.81769	49.17969	4.63828	6.71665	7.34950	7.02911	1.00000	7.61328	6.99848	61.52657	0.06665	8.86403	-41.45861	7.94507	60.45510
1196.49275	13.26856	32.61603	4.07241	58.75440	4.20346	7.63980	9.48190	7.66356	1.00000	5.12502	8.70789	37.66590	0.06173	9.64680	44.02488	8.49310	55.17072
1170.07337	26.98964	32.9156	6.47530	54.83011	6.74071	5.47417	9.55685	7.85044	0.00000	9.69530	8.48554	46.39575	0.12163	8.36392	-117.14392	8.15044	48.88538
1092.76199	15.90658	41.29444	6.53748	46.74405	6.85751	8.90896	5.53020	6.80769	0.00000	8.52992	6.52066	55.67014	0.13545	9.86848	69.67639	7.89790	15.83251
1176.34052	15.33147	-36.9256	6.00002	60.00705		5.55206	6.20956	8.40158	1.00000	5.30220	8.03737	60.49535	0.09062	6.39587	-73.02841	7.46155	55.01052
1163.65609	15.54197	-2.68333	6.11710	49.92426	9.62533	6.85020	8.10800	7.37061	1.00000	5.78994	7.11214	33.52350	0.75055	9.66257	33	6.72097	57.32419
1157.85033	11.13074	-28.44917	5.28439	52.41112	7.39707	9.67406	4.68788	7.47232	0.00000	9.75179	9.06033	46.28344	0.15750	9.54882	-52.2	8.74054	37.74307
1186.00860	14.76877	29.21399	5.48491	59.71076	5.18394	7.33718	7.00010	7.94531	0.00000	8.96817	6.75401	32.73409	0.08397	10.04112	78.95693	6.92497	44.98602
1159.25833	9.88403	53.59337	8.44509	50.69521	9.73672	9.49256	7.34070	8.24568	0.00000	8.61237	6.06464	35.81927	0.83169	7.61829	9.47629	8.20356	44.71671
1186.77408	28.92810	53.49389	6.69868	50.95729	3.43395	5.91933	5.59439	7.85281	1.00000	6.57822	5.57366	60.68513	0.06632	5.83024	-1.29243	7.63543	35.28323
1147.32444	18.09755	51.62907	6.04657	42.14333	6.34111	6.30864	8.64395	7.48747	1.00000	7.25118	6.71680	45.41047	0.09624	7.78809	-0.74934	8.64548	35.03364
1074.62603	19.75926	53.53041	5.22683	56.00880	7.68245	6.28728	6.44926	6.55395	0.00000	11.84698	8.38372	45.46747	0.16439	8.72429	43.67663	6.93848	54.99676
1174.06375	12.22998	11.15583	7.00310	70.10567	5.19607	6.04876	5.38564	7.32968	1.00000	6.06233	9.12472	67.14425	0.06504	9.00087	42.7125	8.99754	48.81214
1121.69633	23.55678	34.95303	4.67745	69.55206	11.47939	8.68125	7.24147	7.08209	0.00000	10.45041	7.67727	58.10310	4.35869	8.73180	-120.43572	8.58117	42.89044
1133.21339	16.23427	41.47892	6.16299	47.39611	11.42921	10.64847	8.28370	8.35415	0.00000	8.78830	7.90736	42.89120	4.19847	8.95532	-87.45476	6.40395	68.84453
1189.38296	7.50199	10.66668	8.41145	68.70454	10.67163	7.94483	8.05381	9.09343	0.00000	7.46410	8.05266	54.29951	2.02812	9.11932	-61.51889	8.45799	56.91345
1184.68476	4.38618	-34.64966	7.90216	58.12028	4.08967	7.06835	10.48080	8.63620	0.00000	7.35491	8.07487	39.90917	0.07122	10.30701	-58.38341	7.63428	59.62380
1130.96828	5.72911	41.54566	8.79802	68.67670	6.27743	7.36353	8.26663	8.12469	0.00000	7.71288	6.32913	38.40039	0.07114	10.24527	-71.29144	7.69012	37.18533
1170.02036	20.30982	34.81667	4.89318	51.06931	8.28243	5.71288	5.07078	6.66569	1.00000	4.58403	5.91487	50.74577	0.25848	9.32698	137.4	6.68385	60.01468
1087.65692	8.99891	34.31	10.97680	35.80999	6.84871	10.78457	8.18087	8.34311	0.00000	5.08058	6.23213	48.87981	0.11080	8.56314	-2.16	7.65038	60.34736
1121.70057	13.49226	55.67938	6.30959	55.14277	4.48436	5.96293	2.22928	6.49508	1.00000	5.52551		61.70804	0.02148	9.94722	12.53463	6.23676	54.12431
1199.02694	16.20751	39.32288	6.23016	28.11437	5.59660	5.35172	12.29903	8.92499	0.00000	9.77052	8.77561	54.87660	0.07601	6.36828	-76.72803	6.16624	27.62191
1198.97635	27.63000	-22.97056	7.15183	41.14987	9.04490	8.05971	5.37204	6.75940	0.00000	8.77410	8.06748	33.06638	0.46528	9.60234	-46.99583	9.03450	59.62853
1165.81353	-3.12149	16.75973	4.93559	53.46193	9.09393	6.86011	4.17708	7.84016	1.00000	5.08504	7.57581	47.67846	0.49794	10.49977	-93.11308	7.14340	53.22329
1075.80121	13.26322	51.12794	4.68295	61.50839	8.65349	9.36820	4.20929	7.70670	0.00000	10.23918	6.05627	38.45631	0.32894	8.74290	4.21372	4.42378	54.37194
1090.38505	17.77987	10.13361	5.52399	56.29721	6.62822	6.09127	8.58975	6.20484	0.00000	8.70292	7.44743	57.92965	0.08175	10.24253	124.84472	7.11282	43.27091
1120.99373	-1.98921	26.91756	6.25602	33.06694	6.45872	6.35730	7.01761	8.33227	1.00000	6.72595	9.69251	39.68655	0.12791	9.11326	-82.07842	6.08179	63.06650
1079.70627	17.74644	18.42745	7.36151	41.57608	6.45878	7.42682	8.09079	7.54750	0.00000	10.41079	7.60054	31.08154	0.09952	8.94688	-67.15407	7.08586	54.45242
1160.40588	16.50734	51.955	8.37880	50.50938	10.65511	9.87071		10.01254	1.00000	7.31885	7.59588	54.52834	1.95370	7.88588	5.22778	8.81425	72.63209
1183.22668	14.07629	53.53041	5.89240	60.48142	5.04744	6.50145	8.99435	6.75423	0.00000	9.19580	7.32950	40.95778	0.08104	10.38480	43.67663	9.36447	22.17033
1142.08379	3.15817	36.61954	4.11363	43.70808	4.30557	8.41386	8.17233	7.76188	0.00000	9.32977	7.19915	58.32524	0.07080	10.96280	4.08282	8.99920	41.76996
1102.59681	7.17153	36.19278	4.79014	59.84815	6.74293	9.30125	5.53216	6.41463	0.00000	8.62312	9.84581	77.90612	0.10481		117.65694	7.32174	51.52413
