longitude	QoS	station	revision	latitude	location
71.52847	accep	Mianwali	2016/12/03	32.57756	Asia/Karachi
73.97117	excellent	Naushahra Virkan	23 Feb 2019	31.96258	Asia/Karachi
-86.19903	average	Jinotepe	05 Mar 2019	11.84962	America/Managua
-93.12577	maintenance	Rosemount	30 Dec 2015	44.73941	America/Chicago
5.58472	excellent	Barneveld	07/01/2019, 00:00:00	52.14	Europe/Amsterdam
-85.43772	excellent	Liberia	11/07/2019, 00:00:00	10.63504	America/Costa_Rica
75.16878	maintenance	Moga	2013-08-26	30.81383	Asia/Kolkata
117.7	good	Dongdu	10 Dec 2012	35.85	Asia/Shanghai
-42.29444	good	Barras	2014/08/08	-4.24444	America/Fortaleza
-76.43941	building	Middle River	06 Oct 2021	39.33427	America/New_York
8.96317	excellent	Hechingen	2017/08/30	48.35149	Europe/Berlin
-50.00639	average	Palmeira	06/12/2019, 00:00:00	-25.42944	America/Sao_Paulo
34.86563	average	Ramla	10 Apr 2021	31.92923	Asia/Jerusalem
8.2926	excellent	Kafanchan	2021-08-14	9.58126	Africa/Lagos
-87.88754	good	Bourbonnais	28 Feb 2020	41.15376	America/Chicago
71.30633	excellent	Kundla	2017-08-15	21.34222	Asia/Kolkata
39.85331	accep	Gavrilov-Yam	16 Aug 2020	57.30185	Europe/Moscow
117.81667	average	Zhoucun	2015-08-14	36.81667	Asia/Shanghai
85.83636	excellent	Dalsingh Sarai	2014-06-11	25.66795	Asia/Kolkata
43.38531	building	Baki	2022/01/06	9.89206	Africa/Mogadishu
99.96667	accep	Nakhon Si Thammarat	19 Dec 2021	8.43333	Asia/Bangkok
78.40102	average	Chharra	06/21/2022, 00:00:00	27.9247	Asia/Kolkata
-97.35992	maitennce	Teziutlan	05/21/2016, 00:00:00	19.8173	America/Mexico_City
-42.98194	excellent	Guapimirim	2014/05/15	-22.53722	America/Sao_Paulo
43.67663	accep	Nizhniy Lomov	06/28/2013, 00:00:00	53.53041	Europe/Moscow
-77.03116	good	Buenaventura	03 Dec 2014	3.8801	America/Bogota
-88.27205	maintenance	Kaukauna	2020-10-08	44.27804	America/Chicago
109.05389	excellent	Wangon	2019/04/03	-7.51611	Asia/Jakarta
-0.45877	excellent	Niort	08/09/2017, 00:00:00	46.32313	Europe/Paris
37.3825	average	Gaziantep	26 Jun 2016	37.05944	Europe/Istanbul
37.73333	accep	Same	2013-11-02	-4.06667	Africa/Dar_es_Salaam
-42.19667	excellent	Miracema	09/13/2013, 00:00:00	-21.41222	America/Sao_Paulo
84.87144	excellent	Zaysan	2021/09/28	47.46657	Asia/Almaty
117.65694	excellent	Laiwu	03 Nov 2018	36.19278	Asia/Shanghai
-7.35	good	An Muileann gCearr	11/24/2012, 00:00:00	53.53333	Europe/Dublin
-84.62081	excellent	Waverly	06 Dec 2017	42.7392	America/Detroit
37.56667	average	Likhobory	06/07/2021, 00:00:00	55.85	Europe/Moscow
128.62667	accep	Sinhyeon	2021/08/30	34.8825	Asia/Seoul
116.82887	excellent	Balikpapan	10/07/2020, 00:00:00	-1.26753	Asia/Makassar
135.21667	good	Sasayama	2016-12-16	35.06667	Asia/Tokyo
-1.29243	excellent	Mexborough	2021/04/04	53.49389	Europe/London
-83.55521	accep	Toledo	2019/03/03	41.66394	America/New_York
-42.19667	excellent	Miracema	2020-06-22	-21.41222	America/Sao_Paulo
101.02083	accep	Teluk Intan	2016-06-17	4.02219	Asia/Kuala_Lumpur
68.75915	accep	Khairpur Mir’s	2018-02-06	27.52948	Asia/Karachi
-101.2591	excellent	Guanajuato	2020/05/17	21.01858	America/Mexico_City
138.89585	average	Annaka	10/03/2013, 00:00:00	36.33011	Asia/Tokyo
8.86704	average	Nidderau	2020-05-15	50.23805	Europe/Berlin
-94.91386	maintenance	Acayucan	04/26/2014, 00:00:00	17.94979	America/Mexico_City
-6.00137	good	Oulmes	01/09/2019, 00:00:00	33.42585	Africa/Casablanca
-83.2321	good	Milledgeville	2020/10/26	33.08014	America/New_York
4.62744	good	El Achir	2016-02-05	36.06386	Africa/Algiers
5.55575	excellent	Lons-le-Saunier	23 Sep 2016	46.67535	Europe/Paris
102.3278	maintenance	Kampung Ayer Molek	2022/04/18	2.2139	Asia/Kuala_Lumpur
0.75	building	Thetford	2017-05-15	52.41667	Europe/London
18.84	accep	Budva	03/18/2014, 00:00:00	42.28639	Europe/Podgorica
-58.38341	maintenance	Barracas	02/28/2020, 00:00:00	-34.64966	America/Argentina/Buenos_Aires
12.38878	average	Perugia	05/21/2020, 00:00:00	43.1122	Europe/Rome
47.3799	excellent	Darreh Shahr	2017-11-04	33.14447	Asia/Tehran
-0.2	excellent	Barnet	2016-03-13	51.65	Europe/London
5.4584	building	Les Olives	01/26/2014, 00:00:00	43.32393	Europe/Paris
-104.83192	accep	Aurora	11 Mar 2015	39.72943	America/Denver
-68.30472	excellent	Tinaquillo	06 Nov 2017	9.91861	America/Caracas
4.47124	average	Schiebroek	2018/08/18	51.95838	Europe/Amsterdam
0.30367	good	Hartley	2022/08/02	51.38673	Europe/London
75.96976	excellent	Gajendragarh	06/07/2013, 00:00:00	15.73628	Asia/Kolkata
10.18003	average	Ghat	09/29/2013, 00:00:00	24.96334	Africa/Tripoli
17.22635	maintenance	Skalica	09/24/2021, 00:00:00	48.8449	Europe/Bratislava
3.1631	excellent	Palafrugell	2019-11-23	41.91738	Europe/Madrid
-52.2	average	Marau	12/09/2014, 00:00:00	-28.44917	America/Sao_Paulo
99.96667	accep	Nakhon Si Thammarat	2021/01/09	8.43333	Asia/Bangkok
-0.32247	average	Lancing	2012-10-26	50.82882	Europe/London
77.40858	good	Leteri	11/14/2014, 00:00:00	24.05979	Asia/Kolkata
120.33063	average	Longgang	25 Jul 2014	37.65181	Asia/Shanghai
86.51499	maintenance	Kenda	2015/04/28	23.1959	Asia/Kolkata
41.00817	average	Silvan	2019/11/23	38.13708	Europe/Istanbul
7.60872	accep	Ventimiglia	21 Aug 2022	43.78956	Europe/Rome
38.16694	good	Kashira	2015-01-17	54.84444	Europe/Moscow
-46.99583	excellent	Valinhos	01/26/2017, 00:00:00	-22.97056	America/Sao_Paulo
-102.36764	accep	Odessa	03 Feb 2018	31.84568	America/Chicago
3.20639	average	Mouscron	2014/02/21	50.74497	Europe/Brussels
5.16108	excellent	Bar-le-Duc	11/03/2016, 00:00:00	48.77275	Europe/Paris
-41.25528	accep	Resplendor	29 Jul 2019	-19.32556	America/Sao_Paulo
-51.87389	average	Sarandi	12 Mar 2015	-23.44361	America/Sao_Paulo
139.55722	accep	Okegawa	12/01/2019, 00:00:00	36	Asia/Tokyo
83.62389	good	Novosilikatnyy	2014/10/01	53.30972	Asia/Barnaul
-82.45426	building	Venice	2013/10/16	27.09978	America/New_York
114.68333	average	Heyuan	2018-03-22	23.73333	Asia/Shanghai
-73.58248	building	Sainte-Catherine	30 May 2020	45.40008	America/Toronto
140.72287	acceptable	Nikolayevsk-on-Amure	2017-01-01	53.14657	Asia/Vladivostok
120.4861	excellent	Manaoag	01/06/2020, 00:00:00	16.0438	Asia/Manila
11.412	accep	Montecchio Maggiore-Alte Ceccato	2013/03/10	45.50369	Europe/Rome
83.62389	accep	Novosilikatnyy	2013/09/16	53.30972	Asia/Barnaul
-2.58736	building	Arbroath	24 Feb 2017	56.56317	Europe/London
98.19151	maintenance	Dawei	2019-02-28	14.0823	Asia/Yangon
-73.20483	good	Bridgeport	03/11/2013, 00:00:00	41.16704	America/New_York
13.31783	excellent	Hermsdorf	2022-01-22	52.61131	Europe/Berlin
5.4384	good	Marseille 11	2021/05/12	43.2907	Europe/Paris
117.65694	accep	Laiwu	2018/03/19	36.19278	Asia/Shanghai
-0.74934	accep	High Wycombe	2021/12/30	51.62907	Europe/London
-89.64066	excellent	Pekin	13 Jun 2017	40.56754	America/Chicago
12.84052	accep	Portogruaro	2015-04-13	45.78071	Europe/Rome
3.64633	good	Shagamu	05/12/2020, 00:00:00	6.8485	Africa/Lagos
-80.38297	good	Norfolk County	05/04/2016, 00:00:00	42.8334	America/Toronto
-6.03731	good	San Juan de Aznalfarache	2020/06/07	37.35813	Europe/Madrid
10.5511	good	Gifhorn	2022-09-06	52.47774	Europe/Berlin
99.89166	accep	Thap Than	2019/09/30	15.46063	Asia/Bangkok
-117.79394	average	North Tustin	24 May 2013	33.76446	America/Los_Angeles
-111.78903	average	Gilbert	2018-09-29	33.35283	America/Phoenix
-91.06177	accep	Greenville	2021-10-16	33.41012	America/Chicago
115.8614	excellent	Perth	2020/10/28	-31.95224	Australia/Perth
-73.99681	average	Dumont	07/14/2017, 00:00:00	40.94065	America/New_York
9.22796	average	Pfullingen	18 May 2022	48.46458	Europe/Berlin
118.53333	accep	Pucheng	25 Mar 2020	27.92333	Asia/Shanghai
37.49338	accep	Tyoply Stan	13 Jun 2015	55.62047	Europe/Moscow
123.89071	excellent	Cebu City	2022-08-13	10.31672	Asia/Manila
51.3452	excellent	Otradnyy	12/31/2015, 00:00:00	53.37596	Europe/Samara
51.67462	building	Isfahan	2017/06/05	32.65246	Asia/Tehran
110.8405	accep	Kudus	2021/04/26	-6.8048	Asia/Jakarta
-45.94722	average	Alfenas	2020/01/17	-21.42917	America/Sao_Paulo
136.61667	accep	Nonoichi	2019-03-28	36.53333	Asia/Tokyo
111.4834	excellent	Aykhal	21 Mar 2020	65.93381	Asia/Yakutsk
-122.2608	accep	American Canyon	2013-01-27	38.17492	America/Los_Angeles
85.83636	average	Dalsingh Sarai	05/17/2020, 00:00:00	25.66795	Asia/Kolkata
68.88871	accep	Jhol	10/27/2021, 00:00:00	25.95533	Asia/Karachi
104.1451	building	Yasothon	02/19/2022, 00:00:00	15.79408	Asia/Bangkok
-118.10583	excellent	San Gabriel	2013/04/09	34.09611	America/Los_Angeles
100.48528	building	Bang Ban	02/16/2021, 00:00:00	14.37395	Asia/Bangkok
-156.47432	good	Kahului	2019/02/26	20.88953	Pacific/Honolulu
10.78222	good	Beni Khiar	09/29/2017, 00:00:00	36.46917	Africa/Tunis
-81.56929	good	Collinwood	2021/10/14	41.55838	America/New_York
75.11937	average	Parola	2013-03-27	20.88098	Asia/Kolkata
-0.32247	average	Lancing	09/25/2014, 00:00:00	50.82882	Europe/London
-75.23266	average	Utica	2017-04-26	43.1009	America/New_York
-111.89903	accep	Scottsdale	2017/09/07	33.50921	America/Phoenix
10.18003	good	Ghat	2018/08/04	24.96334	Africa/Tripoli
115.8614	accep	Perth	2019/02/24	-31.95224	Australia/Perth
77.24779	average	Udumalaippettai	2021-01-31	10.58806	Asia/Kolkata
17.22635	maintenance	Skalica	19 Dec 2020	48.8449	Europe/Bratislava
-79.2663	excellent	Markham	2020-11-04	43.86682	America/Toronto
1.53414	good	les Escaldes	06/13/2019, 00:00:00	42.50729	Europe/Andorra
-41.88778	average	Itaperuna	2015/10/31	-21.205	America/Sao_Paulo
-1.86343	good	Caravaca	2013-04-18	38.10558	Europe/Madrid
75.11937	excellent	Parola	2018/08/18	20.88098	Asia/Kolkata
-86.57415	good	Olanchito	2020/06/15	15.48131	America/Tegucigalpa
178.00417	building	Gisborne	30 May 2014	-38.65333	Pacific/Auckland
114.10479	excellent	Tsuen Wan	2021-01-12	22.37066	Asia/Hong_Kong
145.13643	excellent	Frankston South	2016/09/13	-38.16604	Australia/Melbourne
27.02444	average	Edremit	10 Jun 2016	39.59611	Europe/Istanbul
14.39024	average	Lanciano	02/18/2022, 00:00:00	42.22718	Europe/Rome
-2.58736	average	Arbroath	05/09/2013, 00:00:00	56.56317	Europe/London
-88.81395	accep	Jackson	03/03/2015, 00:00:00	35.61452	America/Chicago
-79.00453	good	Cuenca	13 May 2018	-2.90055	America/Guayaquil
-73.97069	excellent	Kensington	2016/05/15	40.64621	America/New_York
67.84222	good	Jizzax	2017-03-03	40.11583	Asia/Samarkand
-84.50855	good	Covington	2015/02/18	39.08367	America/New_York
-73.58248	average	Sainte-Catherine	2021/03/13	45.40008	America/Toronto
1.04945	average	Frenda	22 Dec 2017	35.06544	Africa/Algiers
14.01481	building	Roseto degli Abruzzi	11 Nov 2017	42.67164	Europe/Rome
32.88667	building	Kitgum	2015/03/19	3.27833	Africa/Kampala
59.4839	building	Kachkanar	2020-12-15	58.7002	Asia/Yekaterinburg
82.85749	average	Elamanchili	08 Dec 2015	17.54907	Asia/Kolkata
-76.88442	excellent	Harrisburg	21 Dec 2012	40.2737	America/New_York
-5.682	maintenance	Lakota	2015/11/23	5.84752	Africa/Abidjan
-2.1875	average	Westbury	2018-06-23	51.26	Europe/London
-87.71255	maintenance	South Lawndale	13 Nov 2015	41.84364	America/Chicago
34.37389	good	Sungurlu	06/19/2021, 00:00:00	40.1675	Europe/Istanbul
-84.67837	maitennce	Acworth	2016/08/19	34.06635	America/New_York
4.62744	good	El Achir	11/25/2012, 00:00:00	36.06386	Africa/Algiers
129.96972	maintenance	Karatsu	2014/03/14	33.4425	Asia/Tokyo
103.65309	excellent	Roi Et	03/26/2018, 00:00:00	16.0567	Asia/Bangkok
-94.74049	average	Longview	23 Jan 2022	32.5007	America/Chicago
-3.52751	accep	Exeter	2018/04/11	50.7236	Europe/London
-52.2	excellent	Marau	12/29/2015, 00:00:00	-28.44917	America/Sao_Paulo
5.22778	excellent	Culemborg	06/08/2014, 00:00:00	51.955	Europe/Amsterdam
-85.43772	maintenance	Liberia	17 May 2015	10.63504	America/Costa_Rica
117.33333	good	Taozhuang	2022/07/13	34.85	Asia/Shanghai
120.74792	good	Nanpiao	2013-10-04	41.09822	Asia/Shanghai
76.11996	building	Manjeri	2014/07/08	11.12018	Asia/Kolkata
83.62389	excellent	Novosilikatnyy	2021-06-19	53.30972	Asia/Barnaul
38.15035	excellent	Svatove	11/27/2021, 00:00:00	49.41029	Europe/Zaporozhye
-5.53715	average	Penzance	2013-06-06	50.11861	Europe/London
137.02166	maintenance	Minokamo	23 Feb 2013	35.48199	Asia/Tokyo
38.12408	average	Bogoroditsk	22 Sep 2016	53.77166	Europe/Moscow
2.44892	excellent	Gonesse	01/13/2015, 00:00:00	48.98693	Europe/Paris
4.7934	accep	Saint-Genis-Laval	2020/01/22	45.69558	Europe/Paris
32.88667	good	Kitgum	02/17/2014, 00:00:00	3.27833	Africa/Kampala
-8.33147	good	Paredes	02/24/2016, 00:00:00	41.20485	Europe/Lisbon
8.91229	excellent	Eppingen	2015-08-26	49.13645	Europe/Berlin
-102.04897	building	Paracho de Verduzco	2013-09-19	19.64745	America/Mexico_City
-60.47389	good	Chacabuco	2013-07-25	-34.64167	America/Argentina/Buenos_Aires
91.00632	accep	Barpeta	2014/09/05	26.32293	Asia/Kolkata
-95.36969	building	Muskogee	2016/10/04	35.74788	America/Chicago
36.7138	average	Binnish	21 Sep 2021	35.95664	Asia/Damascus
46.10925	maintenance	Gudermes	02/08/2017, 00:00:00	43.35071	Europe/Moscow
-86.19903	accep	Jinotepe	2016-05-12	11.84962	America/Managua
86.79271	excellent	Madhipura	09/18/2014, 00:00:00	25.92127	Asia/Kolkata
-52.2	maintenance	Marau	08/11/2021, 00:00:00	-28.44917	America/Sao_Paulo
15.28318	good	Brazzaville	2021/11/19	-4.26613	Africa/Brazzaville
73.06784	good	Sheoganj	2022/08/09	25.13915	Asia/Kolkata
178.00417	average	Gisborne	2015/04/13	-38.65333	Pacific/Auckland
10.98461	building	Friedberg	05/01/2015, 00:00:00	48.35693	Europe/Berlin
-60.47389	building	Chacabuco	06/15/2015, 00:00:00	-34.64167	America/Argentina/Buenos_Aires
-74.26419	accep	Madrid	2021-05-02	4.73245	America/Bogota
71.57737	excellent	Gariadhar	2014-01-22	21.53889	Asia/Kolkata
-80.38297	accep	Norfolk County	2018/04/29	42.8334	America/Toronto
-122.38731	excellent	Troutdale	12/19/2021, 00:00:00	45.53929	America/Los_Angeles
-68.3	excellent	Ushuaia	11 Jan 2015	-54.8	America/Argentina/Ushuaia
120.4861	building	Manaoag	2020/08/12	16.0438	Asia/Manila
17.10558	excellent	Hudiksvall	12/20/2012, 00:00:00	61.72744	Europe/Stockholm
37.49338	average	Tyoply Stan	01/11/2014, 00:00:00	55.62047	Europe/Moscow
35.90057	maintenance	Tver	2022-09-13	56.85836	Europe/Moscow
71.52847	average	Mianwali	2013-10-26	32.57756	Asia/Karachi
8.96317	excellent	Hechingen	2022/03/17	48.35149	Europe/Berlin
117.33333	good	Taozhuang	18 Dec 2012	34.85	Asia/Shanghai
-47.1725	accep	Artur Nogueira	2013-07-15	-22.57306	America/Sao_Paulo
37.38115	good	Solntsevo	2020-10-02	55.63711	Europe/Moscow
30.91105	accep	Arua	01/10/2022, 00:00:00	3.02013	Africa/Kampala
-97.50417	good	Heroica Matamoros	2020/02/19	25.87972	America/Matamoros
102.3278	accep	Kampung Ayer Molek	03/04/2018, 00:00:00	2.2139	Asia/Kuala_Lumpur
14.51472	average	Valletta	2018-02-10	35.89972	Europe/Malta
101.18445	good	Phanat Nikhom	07 Jun 2017	13.44581	Asia/Bangkok
10.78222	average	Beni Khiar	2014-03-20	36.46917	Africa/Tunis
-104.22884	average	Carlsbad	23 Mar 2016	32.42067	America/Denver
84.87144	average	Zaysan	2016-08-19	47.46657	Asia/Almaty
-73.89125	average	Cypress Hills	2021-09-16	40.67705	America/New_York
15.28318	good	Brazzaville	2022-07-24	-4.26613	Africa/Brazzaville
-72.27814	average	Keene	11 May 2013	42.93369	America/New_York
111.4834	average	Aykhal	2018-09-18	65.93381	Asia/Yakutsk
36.7138	average	Binnish	10/23/2015, 00:00:00	35.95664	Asia/Damascus
144.23058	accep	Mount Hagen	07 Jun 2022	-5.85746	Pacific/Port_Moresby
6.92917	average	Oldenzaal	29 Jan 2019	52.31333	Europe/Amsterdam
103.81667	average	Ulu Tiram	15 May 2020	1.6	Asia/Kuala_Lumpur
9.22796	building	Pfullingen	2016-05-16	48.46458	Europe/Berlin
117.81667	excellent	Zhoucun	2015/07/28	36.81667	Asia/Shanghai
78.55757	good	Lal Bahadur Nagar	03 Jun 2018	17.34769	Asia/Kolkata
84.87144	average	Zaysan	10 Apr 2019	47.46657	Asia/Almaty
6.51352	excellent	Korschenbroich	2014/08/20	51.19139	Europe/Berlin
36.36339	excellent	Nyahururu	2020/10/05	0.03813	Africa/Nairobi
46.10925	accep	Gudermes	05 Jun 2019	43.35071	Europe/Moscow
51.67462	building	Isfahan	2018-12-22	32.65246	Asia/Tehran
-3.67029	good	Las Gabias	2021/04/20	37.13548	Europe/Madrid
34.3869	accep	Ar Ruseris	2022-08-22	11.8659	Africa/Khartoum
-51.87389	good	Sarandi	2016/01/25	-23.44361	America/Sao_Paulo
-63.13414	average	Charlottetown	08/27/2016, 00:00:00	46.23899	America/Halifax
122.20488	accep	Zhoushan	05/18/2014, 00:00:00	29.98869	Asia/Shanghai
-113.3187	excellent	Sherwood Park	02/06/2022, 00:00:00	53.51684	America/Edmonton
29.41824	excellent	Artsyz	11/03/2016, 00:00:00	45.99194	Europe/Kiev
-73.20483	maintenance	Bridgeport	01/16/2016, 00:00:00	41.16704	America/New_York
6.10237	accep	Onex	02/24/2022, 00:00:00	46.18396	Europe/Zurich
-93.263	maintenance	Columbia Heights	2018/07/06	45.0408	America/Chicago
-121.74052	building	Davis	15 Aug 2017	38.54491	America/Los_Angeles
8.86704	average	Nidderau	2020/11/04	50.23805	Europe/Berlin
13.32127	maintenance	Wittenau	2013/05/17	52.59319	Europe/Berlin
3.55665	excellent	Thenia	2021-04-02	36.72544	Africa/Algiers
-0.76667	excellent	Gainsborough	21 Apr 2013	53.38333	Europe/London
2.95924	average	Cheraga	10/28/2017, 00:00:00	36.76775	Africa/Algiers
-1.98956	accep	Tarkwa	11 Jan 2019	5.30383	Africa/Accra
12.84052	average	Portogruaro	2015/05/22	45.78071	Europe/Rome
-116.21677	accep	Indio	2018/11/21	33.7207	America/Los_Angeles
-73.49484	good	New Canaan	2014/02/18	41.14676	America/New_York
-75.60804	good	West Chester	2021-09-09	39.96097	America/New_York
-53.13722	maintenance	Loanda	2022/08/25	-22.92306	America/Sao_Paulo
130.57211	good	Boli	2019-02-03	45.75279	Asia/Shanghai
15.07041	building	Catania	08/07/2014, 00:00:00	37.49223	Europe/Rome
-89.64066	accep	Pekin	2019/04/30	40.56754	America/Chicago
-1.64295	good	Segundo Ensanche	02/17/2019, 00:00:00	42.8139	Europe/Madrid
114.10479	building	Tsuen Wan	2021-04-25	22.37066	Asia/Hong_Kong
76.92421	average	Izluchinsk	05 Mar 2017	60.97944	Asia/Yekaterinburg
2.12213	excellent	Le Chesnay	2013-09-05	48.8222	Europe/Paris
130.94098	average	Hita	2019/05/08	33.3213	Asia/Tokyo
3.47717	excellent	Boumerdas	2018/08/15	36.76639	Africa/Algiers
9.72749	good	Ehingen	2013/01/30	48.28259	Europe/Berlin
-3.52751	building	Exeter	2019/01/25	50.7236	Europe/London
32.6178	excellent	Kherson	05 Oct 2012	46.65581	Europe/Kiev
5.22778	excellent	Culemborg	2016/12/17	51.955	Europe/Amsterdam
30.28491	excellent	Kolomyagi	03/06/2015, 00:00:00	60.02427	Europe/Moscow
-116.21677	good	Indio	19 Oct 2018	33.7207	America/Los_Angeles
-76.43941	building	Middle River	04 Aug 2022	39.33427	America/New_York
-81.79819	average	Lakewood	2013/05/06	41.48199	America/New_York
11.5	building	Mbalmayo	2015/10/07	3.51667	Africa/Douala
29.47306	excellent	Beni	06/05/2013, 00:00:00	0.49113	Africa/Lubumbashi
37.56667	maintenance	Likhobory	16 Jan 2016	55.85	Europe/Moscow
128.63083	accep	Eisen	03/25/2018, 00:00:00	36.82167	Asia/Seoul
-71.29144	average	Middletown	08/06/2019, 00:00:00	41.54566	America/New_York
112.73333	average	Xinzhou	2021-08-19	38.40917	Asia/Shanghai
-86.77917	good	Brentwood Estates	2022-03-11	36.02506	America/Chicago
112.73333	excellent	Xinzhou	30 Apr 2020	38.40917	Asia/Shanghai
-82.45426	good	Venice	06/23/2017, 00:00:00	27.09978	America/New_York
-102.04897	accep	Paracho de Verduzco	2019/10/23	19.64745	America/Mexico_City
27.46153	excellent	Tonota	2015-07-12	-21.44236	Africa/Gaborone
13.10984	good	Oschatz	24 Sep 2022	51.30001	Europe/Berlin
30.96755	excellent	Zvenihorodka	2019/12/04	49.07866	Europe/Kiev
33.9162	building	Hlukhiv	2012/12/08	51.67822	Europe/Kiev
71.57118	excellent	Daud Khel	2015/02/15	32.87533	Asia/Karachi
113.13148	good	Foshan	01/08/2016, 00:00:00	23.02677	Asia/Shanghai
