H2CO	CO	latitude	longitude	O3	NH3	SO2	TEMP	C2H3NO5	PRES	CFCs	Pb	warning	PM2.5	NOx	PM10	CH4	PAHs
76.18763	6.34367	27.85	112.9	8.46502	9.00541	6.88812	28.98232	0.32252	1131.33255	51.90659	73.52130	0.00000	6.41272	5.82941	6.11185	9.53004	7.89825
59.88530	7.75702	60.02427	30.28491	5.40500	7.82227	6.93207	19.68471	0.20973	1082.51090	52.26174	54.98337	0.00000	4.70253	8.38133	6.34287	5.70873	7.47864
31.91217	9.40441	30.81383	75.16878	5.76007	5.32711	8.38042	27.24440	0.31671	1116.99959	56.90187	72.30420	1.00000	9.65671	7.51935	6.11877	6.35814	6.62055
26.88997	7.69672	10.31672	123.89071	8.31609	4.73621	6.55058	24.25957	0.50176	1076.41173	55.02872	42.28430	1.00000	2.67652	6.59311	7.27797	7.90729	6.91149
41.07273	9.14946	0.46005	34.11169	7.11490	8.03603	6.62577	20.77573	0.31668	1128.25199	68.62554	51.45529	0.00000	6.01128	6.36413	5.38165	9.94459	5.61855
42.95650	6.79513	65.93381	111.4834	7.55364	7.68772	6.20183	16.14803	0.78982	1163.93782	28.64109		1.00000	4.62564	7.31357	8.20254	5.81024	7.02344
50.98010	6.85642	30.46907	70.96699	7.81750	8.81442	9.33234	19.83907	3.18103	1185.46227	56.60106	54.74978	1.00000	6.16738	7.78443	9.84391	5.33602	5.11469
50.41996	8.87782	-34.64966	-58.38341	5.33326	9.98006	6.65626	12.73163	0.60661	1105.50923	44.98341	60.64597	0.00000	7.13716	6.45217	7.72952	7.83931	6.76626
62.41725	5.72286	28.98002	77.70636	6.31383	9.67771	6.93295	-4.00649	0.80640	1157.07329	49.21061	67.43839	0.00000	5.82614	6.40820	8.09944	4.47034	6.29280
40.28331	7.59158	55.1904	30.2049	4.71219	8.65224	6.68182	9.92766	1.32484	1199.60722	63.27782	50.72835	0.00000	4.45344	6.95367	8.86149	5.83841	8.16529
40.71723	8.51461	44.97639	19.61222	6.07520	9.14501	6.84088	35.65125	0.46121	1124.43643	57.59754	58.44916	0.00000	6.84693	7.83310	6.37567	8.71593	8.68755
	8.14424	11.84962	-86.19903	4.82805	7.21462	6.36243	9.37424	0.33918	1090.73685	50.66457	40.61519	1.00000	7.38350	9.30162	7.09518	6.60657	6.75022
50.88872	7.25375	51.08468	7.11393	8.22598	9.28975	7.44433	28.92807	1.64328	1061.97189	60.53331	59.19910	1.00000	4.36541	8.61835	9.10265	5.56508	6.88826
44.92090	7.57894	38.13708	41.00817	5.83440	6.20435	7.58549	35.38755	0.25049	1137.97196	49.13854	36.20985	1.00000	7.75494	6.66349	6.04632	5.60526	7.78075
31.33385	5.52312	61.78491	34.34691	5.76486	8.52927	7.29663	15.54268	0.76665	1182.80158	53.06817	36.77769	0.00000	6.36732	7.39790	8.01026	6.18808	5.18902
59.54588	7.92124	56.56317	-2.58736	6.00699	6.25181	7.40676	24.39085	0.24073	1072.63810	59.23864	47.74674	1.00000	7.37270	7.19264	6.18398	6.62231	7.21419
46.16995	3.68546	24.81757	84.63445	8.93046	6.04668	5.86287	6.87756	0.87286	1082.54776	37.69721	62.06176	1.00000	6.69181	7.21297	8.27858	5.32431	7.68621
47.70262	6.47366	39.33427	-76.43941	3.43491	9.63177	9.09710	27.10331	3.73332	1057.90241	66.46887	46.66412	0.00000	5.99445	7.63060	10.03665	5.82500	6.19038
61.50337	6.48055	32.57756	71.52847	6.51146	8.97776	6.71825	20.97365	0.59318	1146.92608	73.48218	81.72191	0.00000	4.78017	5.60258	7.59694	5.24389	6.84386
57.04623	7.88050	20.88953	-156.47432	8.11260	8.23548	7.04132	-3.93550	0.81191	1098.64173	42.44768	48.35304	1.00000	3.49975	7.37646	8.25312	6.44211	7.66439
53.30936	4.81475	9.91861	-68.30472	5.84878	10.61146	7.26389	14.68516	1.45506	1198.99167	64.19613	52.90842	0.00000	7.10237	6.73756	9.02869	3.48333	7.27089
40.64814	5.55105	25.67927	-80.31727	8.80049	8.03506	6.01243	29.32256	1.45036	1086.63056	50.85504	70.58313	1.00000	6.23843	7.67365	8.94907	5.84033	9.41717
51.19683	11.42997	53.77166	38.12408	2.17980	6.64953	6.08287	11.77918	0.63235	1138.62669	52.29085	58.29476	0.00000	5.85638	6.25774	7.79760	6.69467	6.50071
47.04098	8.74002	6.33444	124.95278	5.87916	6.26756	6.40336	37.92032	0.22730	1122.01001	50.89498	43.13260	1.00000	8.96749	7.41049	5.23546	5.61233	6.80226
37.10117	4.55237	41.55815	-73.0515	7.65562	7.35297	8.09305	20.12066	0.66549	1101.45067	40.32109	52.43588	1.00000	7.64191	6.12994	7.63762	5.94670	7.26750
32.49213	11.70835	6.46838	-73.26022	5.18739	6.74558	6.73238	26.03879	0.43155	1091.03195	35.32096	60.02854	1.00000	9.20388	6.08136	6.50851	7.67452	5.99056
34.81483	4.77736	36.06386	4.62744	7.71390	10.77400	8.01423	8.70749	0.40900	1184.26415	38.40233	67.77680	0.00000	6.38519	8.05487	7.39124	2.76457	7.63559
43.04761	11.16742	49.13645	8.91229	4.45529	7.88389	5.82393	8.91248	0.80679	1125.41144	68.88410	53.28624	0.00000	5.91716	7.26385	8.30105	5.93785	6.97740
35.80258	6.26659	38.13708	41.00817	7.83496	9.35502	6.43479	28.96569	0.29574	1081.90840	60.34643	58.26768	0.00000	5.90672	6.62493	5.30435	8.04219	6.87485
38.07453	7.42282	25.49043	85.94001	9.03720	7.28409	7.02071	-3.60750	0.72089	1105.53992	62.56906	68.43297	1.00000	3.08240	6.06264	8.07253	6.91199	5.90576
39.87126	7.44642	-23.7975	-48.59278	4.96087	7.43438	7.92686	-9.08658	0.29858	1166.39008	66.99370	54.95706	1.00000	7.15573	7.20730	6.59630	5.95177	9.97324
51.15679	7.86060	52.31333	6.92917	6.98348	5.57558	6.71289	21.77455	0.19100	1068.50453	65.25126	30.33792	1.00000	9.29848	7.99831	4.83187	5.35471	6.91998
30.83783	10.24707	-6.8	39.25	6.06169	4.71205	6.73837	10.25634	0.33052	1139.39969	31.49544	50.63451	1.00000	8.60476	7.96851	5.60385	6.31292	6.02334
41.06156	7.37027	47.90771	106.88324	4.65610	7.39487	6.55988	21.07358	0.42430	1171.32427	33.00491	72.10855	1.00000	7.40144	6.57170	6.69892	5.92965	6.99786
50.73182	3.49509	-33.38056	-56.52361	7.66950	8.14659	7.77957	11.40798	0.52788	1195.83705	63.98173	26.87120	1.00000	9.48399	6.97120	7.18925	6.00680	9.44709
30.36992	5.73673	40.49748	44.7662	4.57302	10.13997	7.35445	2.81446	1.85921	1166.72046	65.97839	51.54378	0.00000	6.59274	7.53701	9.30402	4.74792	8.27874
54.79950	8.82586	25.66795	85.83636	6.95208	3.42169	8.32124	4.43460	0.26197	1150.70900	43.62614	33.25471	1.00000	8.81813	8.45041	4.56045	5.22666	7.80710
52.24383	6.76975	24.96334	10.18003	5.98349	7.47248	6.58399	8.52701	0.23882	1110.54647	67.21882	57.88266	1.00000	9.47837	6.64614	4.91644	4.41254	7.35186
39.72024	9.34704	48.35149	8.96317	6.23859	6.54086	8.04774	19.91934	0.39146	1120.34951	57.96471	50.94548	1.00000	8.71758	6.87792	6.10770	6.91712	7.53110
41.97118	8.84522	41.91738	3.1631	5.04152	8.05357	5.89358	5.06651	0.35843	1114.52471	41.07540	40.90566	1.00000	8.23841	6.64117	6.98837	6.80248	6.95402
46.19688	4.85844	29.21399	78.95693	8.54398	9.44489	7.04636	4.54113	0.52353	1059.60356	47.59369	62.08005	0.00000	5.76300	6.63524	7.44480	3.31291	8.15020
53.68820	5.96734	-6.8	39.25	4.99094	10.36063	6.89565	20.59875	0.62600	1156.37767	61.48626	27.40947	0.00000	6.45160	5.23954	7.74064	5.04021	6.85418
30.48291	8.81526	44.89784	8.86374	7.81541	7.50900	6.04420	18.40396	6.94145	1171.74398	62.73212	36.30981	1.00000	4.53416	7.12665	10.70737	6.42509	8.02391
51.25731	6.83139	41.20485	-8.33147	4.45851	9.56936	5.88488	10.71994	0.73233	1078.34728	54.14783	42.15375	0.00000	5.50408	5.77418	8.22220	5.88707	5.17723
42.16593	6.50802	31.39547	34.75699	7.70052	8.02227	7.90376	18.40365	1.10999	1078.24506	42.53951	38.20971	1.00000	5.34976	7.57415	8.68007	5.53079	7.52189
52.82120	6.73721	34.8825	128.62667	5.64657	8.11110	8.53064	13.82306	0.36653	1052.00878	31.24215	66.54909	1.00000	8.78234	6.29313	5.92768	5.71907	5.70359
57.75745	6.67152	23.73333	114.68333	6.42109	8.49790	6.53515	18.19299	0.42530	1087.35583	66.21792	50.01698	1.00000	9.01132	5.90736	4.12825	4.15816	7.76499
26.62871	4.13656	-32.05251	115.88782	8.13077	6.49131	6.06282	14.28639	0.43728	1179.35949	46.02220	48.01146	0.00000	6.79219	5.28606	7.21967	6.95083	6.62716
43.41219	6.48817	-34.64966	-58.38341	7.07440	9.94729	5.68671	8.90931	0.66932	1177.29816	84.19148	62.99066	1.00000	6.53275	6.74460	7.84505	5.59766	9.19331
33.37657	7.26321	-1.26753	116.82887	7.00957	9.22549	6.62898	33.24693	0.41683	1129.04322	53.98605	75.91746	1.00000	4.44552	7.03796	7.16128	5.81046	7.78491
72.52520	8.24877	43.91452	-69.96533	5.57718	7.52291	8.07348	6.66551	0.33993	1159.65008	59.48539	65.32887	1.00000	8.36573	7.32692	6.04758	6.49200	8.66121
50.58385	7.82245	9.57046	76.32756	4.63680	8.15322	5.95550	11.54229	1.73200	1109.99978	50.53241	39.23205	0.00000	3.95886	7.48557	9.17687	6.33529	8.97130
56.06371	7.14374	-10.95817	-38.79084	4.65922	6.94778	6.01990	10.37732	1.42635	1145.74701	72.68317	44.11304	0.00000	4.94123	6.95274	9.02015	7.57869	9.53679
27.23157	4.52606	55.62047	37.49338	8.66036	6.23168	8.20183	5.11880	0.81245	1088.87578	54.96446	61.47636	0.00000	5.86988	6.63344	8.01235	6.14258	7.66329
41.19948	12.15802	61.78491	34.34691	6.21151	3.17689	7.15906	8.74878	0.17601	1108.53137	72.24731	41.19904	1.00000	11.07221	6.88158	4.92241	6.13830	6.94445
46.63111	6.83713	47.38093	-122.23484	7.55790	11.07147	6.83884	-5.35627	1.79933	1162.67363	50.87489	62.01231	1.00000	6.29076	6.66695	9.25246	4.73048	9.80849
36.96814	5.12008	45.75279	130.57211	5.78747	8.47475	6.50297	26.28615	2.33131	1071.30192	56.12454	53.11347	0.00000	6.54614	8.56953	9.54371	5.32646	7.93734
61.02004	7.25119	43.32686	-2.98884	7.43970	9.67788	6.41379	7.48947	0.38138	1165.29263	67.36303	44.34505	0.00000	6.52559	5.74008	6.28134	8.18993	8.34458
39.82482	6.21741	51.19139	6.51352	7.18471	8.02330	6.87103	28.72521	0.18055	1113.24526	39.46145	50.54009	0.00000	4.89653	6.45533	4.52415	6.41168	6.96568
56.42086	11.86969	53.49389	-1.29243	5.59685	4.81144	7.26516	30.74692	0.34016	1163.46800	66.39633	51.68344	1.00000	10.78760	6.65675	6.10445	7.44856	5.70832
49.20883	10.10794	35.85	117.7	6.05332	4.60858	6.94556	12.61767	0.32425	1135.27883	57.95178	40.25764	1.00000	8.64046	4.26530	5.11682	6.07038	7.57826
43.80785	8.32472	47.76232	-122.2054	5.61031	7.05294	7.45627	22.57912	0.42360	1113.31714	57.87464	28.25102	1.00000	8.41514	7.56438	5.93654	6.12197	8.31525
49.51456	6.37397	1.6	103.81667	9.36971	7.99358	6.25149	2.02447	3.00825	1105.95285	13.15943	53.33927	1.00000	4.80663	6.43731	9.77844	5.73679	7.61287
52.19528	5.82279	38.40917	112.73333	4.44123	9.68853	8.18070	11.15597	0.74566	1197.50365	67.58830	37.21590	0.00000	6.79476	5.82631	8.09223	6.06141	7.00916
32.91397	4.60249	50.11861	-5.53715	6.79749	9.18716	8.91818	38.17947	0.28702	1117.15659	45.24688	61.54792	1.00000	6.11487	7.08839	5.07226	5.16409	6.21318
50.61674	8.16164	10.15031	-73.9614	5.03357	6.26253	6.63725	20.52551	0.34194	1087.51809	32.81586	46.06313	1.00000	8.90952	6.56643	7.21280	6.74731	6.44353
53.76691	6.26872	53.53395	33.72798	4.88196	9.51821	9.21724	20.23357	1.17964	1127.89293	74.24370	28.00333	0.00000	5.85836	7.02997	8.53850	5.51423	7.25093
22.84534	8.72147	40.2737	-76.88442	5.23818	7.91809	5.36916	28.88021	0.42485	1196.29662	80.54141	50.40446	1.00000	8.14102	6.76704	7.39464	7.58059	6.88527
30.81640	8.14817	56.85836	35.90057	5.17849	5.90610	7.07259	5.08075	0.32809	1198.82569	48.81507	51.69136	1.00000	8.61078	7.46017	6.43759	6.35451	5.90724
47.87468	5.91503	43.78956	7.60872	5.97982	6.85822	8.35134	3.67117	0.24435	1141.56313	53.26348	37.26666	1.00000	8.07699	6.58580	5.53828	4.51369	9.31848
69.34238	7.52884	-21.205	-41.88778	5.17139	8.82495	6.32642	26.78344	1.14697	1163.90531	46.46463	43.25775	0.00000	4.38617	6.87606	8.43709	5.51883	8.23974
24.16449	8.57221	27.09978	-82.45426	3.40175	8.05508	5.44688	10.88608	0.78228	1176.79165	34.95454	73.12199	0.00000	6.27973	6.94287	7.85709	7.40189	6.22897
41.61487	8.57962	26.2649	81.54855	7.30466	3.07855	6.92519	26.84242	0.38509	1118.23194	53.46986	73.62361	1.00000	7.04873	8.41355	4.31081	4.74474	8.69165
55.13950	9.09635	-4.26613	15.28318	7.37716	9.91740	7.30688	-0.62644	0.24577	1160.86964	33.49095	52.60800	0.00000	5.85462	7.48967	3.94407	9.56293	8.14933
44.60911	6.62412	-31.95224	115.8614	3.72543	5.51153	7.37320	4.03318	4.31439	1076.18707	38.65387	37.57498	0.00000	5.82358	7.59819	10.14872	9.23893	6.66097
41.57917	8.66089	50.7236	-3.52751	6.14448	8.42787	7.65861	10.73908	0.28425	1059.93477	34.52420	61.18575	0.00000	5.45749	6.06106	4.21901	9.82614	8.03887
36.00137	8.17004	34.31	-2.16	6.24484	4.99418	8.22787	-2.04423	0.33193	1104.07735	73.81364	61.94791	1.00000	9.23131	7.06745	5.23534	5.11790	6.78007
35.16711	10.62486	12.37169	123.62494	6.13901	1.82215	7.30635	19.57797	0.47970	1107.60188	48.14920	61.37972	1.00000	9.31178	7.45785	5.35361	5.95053	7.66041
48.20723	9.90789	25.80565	68.49143	5.07163	5.19362	6.79096	7.76817	0.57685	1110.65891	43.64283	34.74524	1.00000	8.19148	7.46426	6.81269	6.90190	5.58035
30.46532	4.26679	29.65163	-82.32483	7.63568	8.25776	6.67639	6.21261	0.74046	1152.90165	53.29671	41.43563	0.00000	6.82521	8.07746	8.03025	5.06924	7.33483
47.23160	6.90505	25.87498	86.59611	3.80518	9.74630	9.07442	13.94473	2.70414	1175.31668	38.88410	57.64946	0.00000	5.51128	6.62262	9.67955	5.34457	7.11881
45.90626	13.06235	14.14989	121.3152	1.99444	8.14553	9.35220	-10.68652	0.32249	1107.01129	55.07480	54.46662	1.00000	7.46658	7.71792	6.34656	10.03150	7.77278
29.19639	6.04823	47.56494	31.33078	4.49065	8.47580	8.34627	30.65820	1.76925	1103.83622	43.19180	49.43296	0.00000	6.20673	7.11752	9.16559	6.53718	6.88150
45.35355	10.38798	37.51803	15.00913	6.60684	3.50710	8.30777	-0.72079	0.30763	1121.60171	65.68838	63.88550	1.00000	9.52771	5.08810	5.04067	5.92021	7.39211
66.49159	7.73045	46.7055	38.2739	7.67353	8.91441	5.81073	12.73258	0.35983	1062.51744	41.91097	68.44415	1.00000	3.10816	7.78799	6.40926	6.80646	7.78272
25.13776	7.73558	49.97704	9.15214	6.57183	4.60069	6.00945	18.91590	0.20179	1080.17602	42.19289	48.17537	1.00000	8.99876	6.00750	4.35673	4.38715	8.62535
44.08043	6.61097	53.53041	43.67663	8.85563	11.10897	7.50044	4.05176	1.96773	1193.33807	43.49175	57.82718	1.00000	5.56740	8.80495	9.27832	5.20493	8.65590
62.40142	5.34620	43.11667	1.6	9.07527	5.43152	5.41621	9.84109	2.33286	1182.25417	73.28347	26.67397	1.00000	6.42793	10.42820	9.50456	6.89222	7.57050
37.36267	5.34072	51.78967	1.15597	9.45732	8.36776	5.55983	-2.30621	2.16364	1198.43865	39.08392	55.50301	1.00000	5.81792	8.84987	9.46375	5.51014	7.90563
45.26038	3.28803	47.90771	106.88324	10.07192	9.45298	7.44466	25.17441	0.76841	1053.00268	41.69869	37.23668	1.00000	6.57661	6.22867	8.09643	4.78717	6.64440
47.37064	3.68049	37.56667	140.11667	9.60867	8.10823	6.96129	16.97593	3.01279	1179.29524	40.57538	54.52077	1.00000	8.42131	7.72847	9.70315	5.62855	7.16428
50.76585	7.34250	6.8485	3.64633	6.50983	9.61574	6.72612	14.02421	0.35709	1185.64143	72.75377	73.66382	0.00000	6.60556	6.49573	5.58605	8.98078	6.70517
40.86369	6.25953	13.44581	101.18445	4.80235	9.41325	6.66397	15.63594	1.96448	1155.95445	78.61889	74.34158	0.00000	5.77109	6.70718	9.29938	5.19475	6.53099
36.18263	10.46078	10.58806	77.24779	4.19329	5.35567	6.96876	-21.18178	0.34606	1105.20727	34.86783	36.61562	1.00000	4.29181	6.77230	7.05182	7.14651	7.68769
47.15266	6.58111	26.2649	81.54855	5.95595	7.59403	6.67110	3.97643	0.35767	1180.76396	47.82560	61.05267	1.00000	6.61793	6.99355	5.92463	5.76469	8.04467
76.89122	9.11455	-33.59217	-70.6996	6.16086	4.01719	6.26549	9.19796	0.41784	1151.91891	59.11097	38.51350	1.00000	7.88330	8.37971	6.30523	6.77704	9.78725
53.11713	9.85533	32.44874	-99.73314	4.34596	7.01495	9.38642	17.73212	0.61191	1108.79364	53.88064	51.65538	1.00000	7.69056	8.05247	7.89538	7.63766	7.84476
29.24754	4.52032	-21.42917	-45.94722	7.33262	9.14771	6.74274	8.08646	0.70431	1098.89186	31.28371	33.08613	0.00000	6.76317	7.14259	8.22073	4.18272	8.69412
52.79702	5.21279	46.75451	33.34864	7.36403	3.93391	6.23195	11.28253	0.67954	1064.20550	42.80747	33.63206	1.00000	6.15355	7.82683	7.81711	6.66406	8.28133
25.28608	7.14637	50.20528	19.27498	5.08089	7.71717	7.71326	9.19465	0.41016	1183.10745	52.68358	63.63554	1.00000	7.70007	6.03147	7.50954	6.70823	6.66425
45.79421	9.17741	-22.53722	-42.98194	4.60495	8.76232	7.32559	9.02476	0.26474	1087.66860	47.00733	31.89413	0.00000	6.04756	8.23488	6.34182		6.12592
52.92920	8.36062	18.42745	-67.15407	5.72271	7.54978	7.14867	1.80320	0.34462	1115.75031	40.71921	46.71012	1.00000	9.78827	7.38234	6.19406	6.14548	8.93507
58.50250	5.33112	18.42745	-67.15407	8.55391	9.78060	7.61979	23.14997	0.32465	1191.43825	47.56867	47.55859	0.00000	6.23038	8.24098	5.25751	8.97892	5.58814
29.98512	6.71783	-19.7625	-44.31389	6.82414	6.52679	6.37422	8.69127	0.63662	1081.14539	52.56283	60.57053	0.00000	4.98020	7.45673	7.85117	6.02483	8.25637
41.71160	6.53773	1.6	103.81667	8.17950	9.90323	6.62807	0.31948	1.27030	1055.07821	48.82967	64.67778	1.00000	6.24015	6.92988	8.83421	5.54256	6.83057
31.00331	2.41282	56.56317	-2.58736	10.23288	8.71469	7.98641	10.25773	0.48961	1159.08350	46.75194	28.45399	0.00000	7.66959	7.49259	7.35698	3.23702	8.41062
32.66649	7.97998	51.78967	1.15597	4.00221	11.18906	6.40337	24.37079	0.64980	1140.21908	49.23255	34.66198	0.00000	4.71946	7.47114	7.55276	4.68057	7.38362
43.31641	10.19513	-20.88231	55.4504	3.98061	5.81792	8.25847	5.03642	0.52581	1086.39421	46.51638	53.07429	0.00000	4.53641	7.05536	6.59547	7.17256	5.60849
71.02656	4.12945	36	139.55722	9.07075	11.41650	7.99346	-0.07924	0.74276	1051.87402	42.63741	37.66939	1.00000	6.44820	8.53701	7.61560	4.33039	7.91015
44.49561	8.88555	53.53041	43.67663	6.78553	8.39814	5.49417	16.96121	0.23742	1169.77032	57.65161	52.45488	0.00000	5.33684	7.96359	6.11629	8.08066	7.84001
51.04747	5.13230	55.8736	85.4265	5.68647	9.16496	6.33163	29.29533	0.68606	1190.30802	42.02820	30.36967	0.00000	6.70385	7.45277	8.14175	5.80931	6.85983
38.86376	8.28111	43.41949	77.0202	5.40160	8.29489	5.62261	-0.72499	0.27599	1123.49985	46.93783	56.13524	0.00000	5.30420	5.47571	5.91471	7.53065	7.13594
14.66134	6.75542	-6.8048	110.8405	6.34311	5.40451	6.35157	13.83679	0.17659	1140.93900	63.16101	38.90539	1.00000	8.39313	7.07584	4.93337	4.37543	6.57822
51.25385	5.12249	33.76446	-117.79394	6.31496	8.37623	7.46587	11.02593	2.02087	1148.13259	80.92407	35.04623	0.00000	6.26896	6.11733	9.30363	5.13255	6.28960
56.44293	3.28313	9.91861	-68.30472	8.72296	9.75349	6.42282	27.48860	0.47884	1197.73104	58.22823	43.58701	1.00000	7.96460	8.74314	7.06599	4.86289	6.97955
55.81581	7.11962	11.15583	42.7125	4.33184	8.34045	5.68050	14.02914	2.92062	1118.94751	47.57234	33.05821	0.00000	4.87786	7.51588	9.80059	6.16414	6.82715
34.58047	11.10339	6.46838	-73.26022	3.17885	6.18867	8.75352	0.40948	1.69713	1171.34259	46.38513	71.66386	1.00000	8.53509	7.67770	9.15530	8.89888	7.71437
47.28727	11.84947	48.28259	9.72749	2.80606	7.48260	7.11470	12.74533	0.29261	1182.25602	54.51964	36.35225	0.00000	5.83390	7.16883	6.23909	8.42361	7.07204
25.76136	10.50864	8.88988	-79.62603	5.82262	4.41347	7.85729	21.43380	0.44358	1169.79178	53.28938	47.08456	1.00000	9.63567	6.72181	5.70169	6.61680	7.59075
44.50276	7.12441	53.53395	33.72798	6.17239	5.18375	7.11679	16.08205	0.21999	1115.03872	67.75285	68.12437	1.00000	8.64241	7.81581	5.78686	5.39522	5.89923
37.86538	2.34429	45.69558	4.7934	10.09128	9.51203	6.85618	14.24421	0.56498	1062.26545	57.73814	51.80850	1.00000	7.48407	7.82713	7.61571	4.77710	7.25509
23.85273	8.11376	-34.88422	150.60036	7.32423	7.50998	6.49029	22.03661	0.66766	1161.49017	70.59346	49.72617	0.00000	5.03758	6.50898	7.45353	6.50008	6.67201
	9.21719	-15.21194	-75.11028	5.56780	6.60379	8.15237	7.83518	0.31788	1132.10400	35.76311	75.61716	1.00000	9.13215	7.09080	5.81345	6.30051	6.45685
38.87055	7.76898	25.87498	86.59611	7.16485	8.28547	9.59961	19.71798	1.04644	1192.62616	44.66949	68.78215	1.00000	4.97987	6.96864	8.38795	6.31601	8.10389
47.54463	8.43778	48.21644	9.02596	5.44297	8.41612	6.82884	5.90297	0.34326	1166.13541	37.64688	50.73744	0.00000	6.27370	7.54238	5.43691	9.34584	7.58401
46.86073	5.45453	58.23583	92.48278	5.30434	8.60300	7.51856	24.94036	0.39558	1058.02517	46.82412	43.00151	1.00000	7.55337	7.36313	6.84331	5.48554	8.63775
53.93085	9.71554	46.7055	38.2739	2.05939	6.23853	7.81358	11.01167	0.63067	1186.58411	74.28196	43.28840	0.00000	4.93681	9.54082	7.46494	6.23426	7.57262
55.22187	9.01496	26.9423	68.11759	4.83379	8.12025	4.87837	26.92558	0.85942	1146.97730	57.29051	32.28302	1.00000	7.41086	7.87049	7.92070	8.14682	7.40177
47.20467	7.69143	-7.81667	112.01667	9.98343	6.15950	7.21398	7.00812	2.98882	1091.27601	52.83216	54.57787	1.00000	2.76843	8.44134	9.81564	7.32759	7.56387
71.93671	8.87301	30.81383	75.16878	6.72025	5.50823	5.87929	25.85339	0.39870	1164.55997	69.55008	40.94854	1.00000	8.79891	6.80035	4.66938	5.37442	7.78438
61.89346	8.77775	55.62047	37.49338	6.89460	9.46521	6.71401	17.44504	0.50591	1060.12102	59.27897	82.82249	0.00000	7.62538	7.48551	7.46611	9.87160	5.48630
51.02071	9.69683	36.82167	128.63083	5.35890	10.25832	7.79141	15.98444	0.74498	1153.97407	39.41593	20.45531	1.00000	4.74794	5.66323	8.06418	6.20353	6.26952
50.93920	12.33652	51.14942	15.00835	5.09234	3.34764	6.94616	5.49930	0.59188	1063.49996	34.55526	67.32139	1.00000	10.37903	6.69157	7.14118	8.37458	7.79736
54.91867	7.83372	19.30157	72.85107	4.03514	10.97633	7.90172	6.07503	0.57289	1163.89125	74.03182	58.30804	0.00000	4.71591	7.52257	7.84655	4.80940	7.80732
46.70439	7.94824	33.78333	114.51667	6.12933	6.63901	5.59926	27.69737	0.48099	1172.44650	70.70050	28.87584	1.00000	6.22247	6.34161	6.94496	7.38461	7.40234
37.55577	6.19744	51.65	-0.2	5.44833	8.05317	6.61838	14.22369	0.54682	1073.99675	50.54030	57.12405	0.00000	5.75850	8.99560	7.45008	7.22292	6.73856
54.25115	10.20629	50.7236	-3.52751	5.90036	4.85438	6.34571	23.97732	0.39934	1064.33676	80.75461	53.81823	1.00000	10.76001	6.89383	5.17823	5.73793	8.99127
58.18669	4.65534	33.35283	-111.78903	4.97375	5.12716	8.11033	9.36383	3.16819	1053.55085	49.53480	77.52310	0.00000	7.34990	6.74057	9.88531	9.31866	6.46799
