location	QoS	longitude	station	latitude	revision
Europe/Paris	accep	1.33467	Colomiers	43.61058	05/03/2015, 00:00:00
Asia/Colombo	good	79.883	Hendala	6.9909	29 Apr 2015
Europe/Paris	excellent	2.45012	Bobigny	48.90982	2022-09-06
Africa/Dar_es_Salaam	excellent	39.25	Magomeni	-6.8	2013/07/21
America/Porto_Velho	average	-63.90389	Porto Velho	-8.76194	2016-10-27
America/Chicago	building	-93.75018	Shreveport	32.52515	08/25/2017, 00:00:00
Europe/Moscow	accep	33.2525	Valday	57.97472	11 Sep 2013
Asia/Shanghai	maintenance	122.05228	Tianfu	37.19723	27 Oct 2012
America/Chicago	average	-96.67834	Ada	34.77453	2021-08-12
Europe/Zurich	good	6.10237	Onex	46.18396	29 Jun 2017
Asia/Karachi	average	70.96699	Kot Addu	30.46907	2022/05/17
America/Chicago	accep	-89.99038	Fairview Heights	38.58894	2019/02/25
America/New_York	good	-78.19444	Front Royal	38.91817	06/15/2016, 00:00:00
Asia/Kolkata	average	82.85749	Elamanchili	17.54907	30 Dec 2019
America/Chicago	excellent	-94.41551	Independence	39.09112	2017-12-07
America/Managua	excellent	-86.58208	Somoto	13.48082	2014/08/15
Europe/Kiev	maintenance	25.34244	Lutsk	50.75932	2013-01-15
America/Havana	building	-81.24441	Varadero	23.15678	15 Dec 2017
Asia/Manila	excellent	120.56528	Pilar	14.66	12/18/2016, 00:00:00
Europe/Rome	accep	12.70038	Cordenons	45.9836	16 Jul 2018
America/Maceio	good	-37.03861	Barra dos Coqueiros	-10.90889	2015/03/06
America/Chicago	good	-97.90308	Copperas Cove	31.12406	24 Sep 2015
Europe/London	good	-2.1875	Westbury	51.26	12/06/2013, 00:00:00
Europe/Moscow	good	35.90057	Tver	56.85836	2015/06/01
Asia/Tokyo	good	136.13108	Ueno-ebisumachi	34.75856	2014/04/23
Asia/Tokyo	maintenance	136.61667	Nonoichi	36.53333	2022-02-24
America/Mexico_City	accep	-97.35992	Teziutlan	19.8173	16 Feb 2020
Europe/Dublin	good	-7.35	An Muileann gCearr	53.53333	11/29/2015, 00:00:00
Asia/Bangkok	maintenance	102.05461	Tak Bai	6.25947	2019/12/21
Europe/Rome	accep	9.32241	Chiavari	44.31771	2018/12/09
America/Chicago	good	-89.64066	Pekin	40.56754	2016-06-27
Asia/Manila	good	123.33471	Dipolog	8.56697	17 Jul 2016
Asia/Kolkata	maintenance	81.54855	Jais	26.2649	10 Jan 2014
Asia/Jerusalem	accep	34.8732	Ganei Tikva	32.05971	2016-03-24
Asia/Ho_Chi_Minh	excellent	105.75635	Sa Dec	10.29085	29 Oct 2019
Europe/London	good	-2.68758	Leyland	53.69786	12/10/2014, 00:00:00
Asia/Kolkata	good	74.4818	Malaut	30.21121	25 Jan 2017
Asia/Vladivostok	maintenance	133.42825	Lesozavodsk	45.47885	2021/09/21
Europe/Chisinau	good	28.28489	Soroca	48.15659	12/28/2012, 00:00:00
America/New_York	average	-81.56929	Collinwood	41.55838	2014-06-24
America/New_York	good	-73.99681	Dumont	40.94065	2020/08/15
Asia/Damascus	good	38.28402	Tadmur	34.5624	11/14/2015, 00:00:00
Europe/Paris	good	8.73812	Ajaccio	41.91886	05/31/2014, 00:00:00
Europe/Minsk	excellent	31.3237	Dobrush	52.4089	17 Jun 2017
Asia/Bangkok	good	104.1451	Yasothon	15.79408	14 Jan 2018
Asia/Shanghai	average	111.73861	Changzhi	35.20889	2015/07/22
Europe/Rome	good	12.6723	Ariccia	41.72063	2016-04-02
Asia/Dhaka	excellent	91.84128	Manikchari	22.83957	2016-07-16
America/Los_Angeles	excellent	-122.2054	Bothell	47.76232	2013-06-14
Asia/Shanghai	building	122.22833	Yingkou	40.66482	10/13/2019, 00:00:00
Asia/Manila	maintenance	123.89071	Cebu City	10.31672	03/03/2020, 00:00:00
Australia/Sydney	accep	150.60036	Nowra	-34.88422	05 Oct 2013
Europe/Rome	excellent	9.32241	Chiavari	44.31771	10/13/2016, 00:00:00
America/Sao_Paulo	maintenance	-44.31389	Esmeraldas	-19.7625	2017/12/12
Europe/Berlin	accep	8.51667	Verl	51.88333	07/10/2021, 00:00:00
Europe/Berlin	maintenance	6.26667	Schwalmtal	51.21667	2021-05-13
America/Chicago	good	-91.73625	Searcy	35.25064	2020/12/10
Asia/Tehran	good	51.0193	Shahre Jadide Andisheh	35.6803	2021-07-23
America/Los_Angeles	excellent	-120.00865	Sunnyside	46.32374	2021-10-12
Asia/Shanghai	excellent	125.51176	Dongfeng	42.64031	28 Dec 2017
America/New_York	average	-73.9625	Morningside Heights	40.81	03 Mar 2021
America/Los_Angeles	good	-122.2608	American Canyon	38.17492	2016-03-07
Asia/Tokyo	accep	138.31667	Suzaka	36.65	2013/08/04
Europe/Chisinau	excellent	28.28489	Soroca	48.15659	2019-12-08
Europe/Berlin	accep	11.18709	Neuburg an der Donau	48.73218	01/16/2018, 00:00:00
Europe/Kiev	accep	33.9162	Hlukhiv	51.67822	19 Jun 2017
America/Edmonton	accep	-113.3187	Sherwood Park	53.51684	01/28/2019, 00:00:00
Asia/Shanghai	accep	120.33063	Longgang	37.65181	2016/11/13
Europe/Paris	good	5.03586	Cavaillon	43.83125	2016/03/20
America/Los_Angeles	good	-117.54866	Norco	33.93113	2019-05-25
America/Glace_Bay	good	-60.1831	Sydney	46.1351	01/11/2015, 00:00:00
Asia/Shanghai	excellent	114.68333	Heyuan	23.73333	2013/04/14
America/New_York	excellent	-77.70066	Gates-North Gates	43.16547	12/10/2019, 00:00:00
America/Sao_Paulo	average	-42.19667	Miracema	-21.41222	24 Sep 2020
Asia/Bangkok	excellent	99.89166	Thap Than	15.46063	2021/01/19
Africa/Algiers	average	3.55665	Thenia	36.72544	2021-07-21
America/Port-au-Prince	good	-72.22625	Croix-des-Bouquets	18.57677	2022-05-12
Europe/Brussels	excellent	3.20639	Mouscron	50.74497	2018/02/02
Europe/Brussels	excellent	4.52529	Rixensart	50.71229	20 Nov 2017
Asia/Kolkata	average	88.1453	Pujali	22.4711	10/08/2020, 00:00:00
Europe/Rome	good	14.30935	Afragola	40.92298	03/10/2017, 00:00:00
America/Denver	average	-104.83192	Aurora	39.72943	18 Jul 2022
America/New_York	accep	-78.87836	Fayetteville	35.05266	2019-07-25
Asia/Tokyo	good	137.4	Toyokawa	34.81667	05/10/2015, 00:00:00
Europe/Berlin	average	9.15214	Aschaffenburg	49.97704	07/12/2015, 00:00:00
America/Chicago	average	-97.90308	Copperas Cove	31.12406	21 Mar 2019
Asia/Tehran	good	51.0193	Shahre Jadide Andisheh	35.6803	07/24/2014, 00:00:00
Asia/Karachi	good	71.67164	Qadirpur Ran	30.29184	19 May 2018
America/New_York	building	-74.13653	Port Richmond	40.63316	2020/07/26
Asia/Kolkata	average	76.35484	Alwaye	10.10649	21 Dec 2018
Europe/Brussels	maintenance	4.82313	Lille	51.24197	2014/08/24
America/Santiago	accep	-71.23106	La Ligua	-32.45242	2019/07/14
Europe/Paris	average	1.00288	Elbeuf	49.28669	2013-11-05
Asia/Shanghai	average	122.74754	Haicheng	40.85158	07/08/2013, 00:00:00
America/Recife	good	-34.88111	Recife	-8.05389	2014-09-17
Europe/Belgrade	average	19.61222	Sremska Mitrovica	44.97639	05 Sep 2015
Europe/Sofia	good	24.71204	Smolyan	41.57439	03 Nov 2012
America/Recife	excellent	-35.71667	Catende	-8.66667	31 Mar 2019
America/Chicago	maintenance	-91.77127	Rolla	37.95143	26 Feb 2013
America/Costa_Rica	good	-85.43772	Liberia	10.63504	2022-08-14
America/Phoenix	average	-111.89903	Scottsdale	33.50921	02 Mar 2013
Asia/Tehran	good	48.26258	Aleshtar	33.86419	22 May 2015
Europe/Amsterdam	building	5.51978	Tongelre	51.44889	09 Feb 2020
Asia/Karachi	average	71.57118	Daud Khel	32.87533	11/30/2015, 00:00:00
Europe/Zaporozhye	good	38.15035	Svatove	49.41029	05/04/2014, 00:00:00
Asia/Kolkata	maintenance	78.25795	Tiruppuvanam	9.82564	23 Feb 2022
America/Chicago	good	-87.70172	Evergreen Park	41.72059	05/17/2020, 00:00:00
Asia/Manila	average	122.8637	Santa Catalina	9.3337	14 May 2020
Europe/Paris	building	2.08333	Marly-le-Roi	48.86667	27 Jun 2020
Europe/Rome	accep	11.04979	Castelfranco Emilia	44.59445	16 Jun 2014
Asia/Kolkata	excellent	78.25795	Tiruppuvanam	9.82564	08 Dec 2020
Europe/Tallinn	excellent	28.19028	Narva	59.37722	2020-01-06
Europe/Moscow	good	37.49338	Tyoply Stan	55.62047	11 Jun 2021
Europe/Berlin	excellent	9.02596	Albstadt	48.21644	09/11/2019, 00:00:00
America/Chicago	building	-88.31476	Murray	36.61033	08/25/2017, 00:00:00
Europe/Amsterdam	excellent	5.74861	Emmeloord	52.71083	2020/11/02
Europe/Rome	excellent	17.80774	Mesagne	40.55851	10/27/2013, 00:00:00
America/Los_Angeles	excellent	-117.23991	Opportunity	47.64995	2020/12/14
America/Bogota	average	-73.26022	Socorro	6.46838	17 May 2017
Europe/Berlin	accep	11.32903	Weimar	50.9803	2013-01-26
Asia/Kolkata	average	88.1453	Pujali	22.4711	01 Sep 2022
America/Los_Angeles	good	-117.14392	Mira Mesa	32.9156	2013-10-14
America/Santiago	accep	-70.6996	San Bernardo	-33.59217	2014/08/21
Africa/Dar_es_Salaam	excellent	33	Usagara	-2.68333	15 Apr 2015
Pacific/Auckland	average	171.25364	Timaru	-44.39672	2021/02/07
America/Sao_Paulo	maintenance	-45.94722	Alfenas	-21.42917	10/29/2020, 00:00:00
America/Sao_Paulo	maintenance	-43.80139	Itabirito	-20.25333	2016/03/17
Europe/Paris	excellent	2.45012	Bobigny	48.90982	07/16/2020, 00:00:00
Asia/Manila	average	120.57224	Burgos	15.72892	2014/05/08
Europe/Amsterdam	accep	5.23333	Zeist	52.09	2014/11/07
Africa/Cairo	maintenance	29.91582	Alexandria	31.20176	2017/04/18
America/Chicago	average	-93.08883	Lino Lakes	45.16024	10/08/2014, 00:00:00
America/Chicago	average	-90.10674	Estelle	29.84576	12 May 2022
Europe/London	good	-0.33525	Kingston upon Hull	53.7446	2021/05/17
Europe/Madrid	accep	-5.55835	Villaquilambre	42.64685	2015-09-22
America/New_York	average	-84.20299	Lebanon	39.43534	2015/06/14
Asia/Seoul	accep	128.9889	T’aebaek	37.1759	2017/07/27
America/Mexico_City	good	-100.44843	Santa Rosa Jauregui	20.74122	11/23/2014, 00:00:00
Europe/Brussels	maintenance	3.16667	Wevelgem	50.8	2020/11/30
Europe/Berlin	accep	8.77155	Karben	50.23019	04/22/2019, 00:00:00
America/Detroit	average	-82.42491	Port Huron	42.97086	11/05/2020, 00:00:00
Europe/Berlin	good	13.10984	Oschatz	51.30001	06/01/2016, 00:00:00
America/New_York	building	-73.89875	Yonkers	40.93121	2015/01/27
Europe/Brussels	excellent	4.69889	Gembloux	50.56149	2018/07/26
America/Merida	excellent	-89.66123	Progreso	21.28306	2017/07/16
Africa/Tunis	excellent	10.78222	Beni Khiar	36.46917	07 Sep 2019
Africa/Algiers	excellent	3.47717	Boumerdas	36.76639	2021-01-13
Asia/Manila	maintenance	120.56528	Pilar	14.66	12/04/2012, 00:00:00
Asia/Bangkok	excellent	99.95469	Damnoen Saduak	13.51825	2019/11/16
America/Chicago	average	-97.03285	Grand Forks	47.92526	2018-09-09
Asia/Manila	accep	123.758	Naga	10.20898	2016-03-23
Asia/Jakarta	excellent	109.3243	Randudongkal	-7.0981	2018/05/11
Asia/Kolkata	accep	76.0586	Hungund	16.06213	16 Jun 2021
Europe/Moscow	building	53.26023	Bavly	54.39304	10/08/2019, 00:00:00
Europe/London	excellent	-1.06667	Selby	53.78333	2018/01/04
Europe/Istanbul	maintenance	41.00817	Silvan	38.13708	26 Feb 2020
America/New_York	excellent	-71.06616	Malden	42.4251	04/01/2017, 00:00:00
Europe/Madrid	building	-2.77259	Baza	37.49073	09/22/2013, 00:00:00
America/Argentina/Ushuaia	excellent	-68.3	Ushuaia	-54.8	22 Oct 2012
Asia/Jakarta	accep	110.71639	Ngemplak	-7.54972	04/18/2014, 00:00:00
Europe/Rome	accep	14.39024	Lanciano	42.22718	08 Sep 2014
America/Chicago	excellent	-87.88754	Bourbonnais	41.15376	28 Feb 2014
Asia/Seoul	accep	128.62667	Sinhyeon	34.8825	09/17/2022, 00:00:00
America/Detroit	accep	-84.62081	Waverly	42.7392	2016-05-23
Europe/Sarajevo	average	19.21437	Bijeljina	44.75874	02/19/2017, 00:00:00
Asia/Karachi	accep	73.38333	Sangla Hill	31.71667	06 Sep 2018
Asia/Shanghai	excellent	122.74754	Haicheng	40.85158	2019-05-06
Europe/Bucharest	good	26.01649	Sector 6	44.43579	2013-10-17
Africa/Dar_es_Salaam	good	39.25	Magomeni	-6.8	2019/03/31
Asia/Shanghai	excellent	117.27583	Sishui	35.64889	2014-06-20
Europe/Moscow	accep	38.16694	Kashira	54.84444	2015-04-18
Europe/Helsinki	excellent	24.95034	Kallio	60.18427	2015/08/03
Asia/Shanghai	good	120.33063	Longgang	37.65181	31 Dec 2013
Asia/Kolkata	building	71.30633	Kundla	21.34222	09/04/2022, 00:00:00
America/Havana	building	-81.24441	Varadero	23.15678	17 Nov 2020
America/Chicago	excellent	-93.71133	West Des Moines	41.57721	12 Oct 2019
Europe/London	average	-0.36053	Bushey	51.64316	07/15/2021, 00:00:00
Europe/London	accep	-0.74934	High Wycombe	51.62907	08/16/2013, 00:00:00
Asia/Kolkata	average	73.06784	Sheoganj	25.13915	2017-03-07
Asia/Kolkata	accep	79.5286	Haldwani	29.22254	2018-12-12
Asia/Manila	excellent	124.84472	Maasin	10.13361	2014/04/22
Asia/Tehran	building	47.3799	Darreh Shahr	33.14447	10/12/2015, 00:00:00
Africa/Lagos	accep	3.39467	Lagos	6.45407	2013/03/22
America/Sao_Paulo	good	-41.88778	Itaperuna	-21.205	2018-03-16
Europe/London	average	-2.58736	Arbroath	56.56317	07/10/2016, 00:00:00
Asia/Manila	accep	123.33471	Dipolog	8.56697	2021-11-12
Europe/Berlin	excellent	13.10984	Oschatz	51.30001	2015-08-28
Asia/Shanghai	average	112.9	Xiangtan	27.85	08/22/2017, 00:00:00
Europe/Paris	good	2.61667	Mitry-Mory	48.98333	07/01/2018, 00:00:00
Asia/Tokyo	accep	137.36215	Namerikawa	36.75965	2016/12/13
Asia/Kolkata	maintenance	84.13864	Jashpurnagar	22.88783	11 Jun 2014
Europe/Madrid	good	3.1631	Palafrugell	41.91738	11/06/2013, 00:00:00
Asia/Damascus	accep	36.7138	Binnish	35.95664	2020-03-19
Europe/Rome	accep	13.57661	Agrigento	37.31065	27 Jun 2020
America/New_York	excellent	-81.79819	Lakewood	41.48199	16 Dec 2014
Australia/Sydney	average	151.07986	Strathfield	-33.88096	2013-09-09
Asia/Phnom_Penh	good	102.56365	Paoy Paet	13.65805	24 Aug 2013
Asia/Tokyo	average	141.95	Yamada	39.46667	01/11/2021, 00:00:00
Europe/Rome	accep	13.44275	Villabate	38.07789	02/22/2021, 00:00:00
Asia/Yekaterinburg	average	60.70278	Ozersk	55.75556	12/23/2021, 00:00:00
America/New_York	excellent	-73.97069	Kensington	40.64621	06 Jan 2015
Europe/Moscow	excellent	37.49338	Tyoply Stan	55.62047	31 May 2022
Africa/Porto-Novo	accep	2.59753	Tchaourou	8.88649	2015-07-01
Europe/Berlin	accep	6.9747	Wesseling	50.82709	15 Apr 2022
America/Phoenix	accep	-111.78903	Gilbert	33.35283	2016/10/22
Asia/Seoul	average	128.9889	T’aebaek	37.1759	2015-10-23
Europe/Rome	excellent	12.38878	Perugia	43.1122	2019/07/22
Europe/Berlin	accep	11.18709	Neuburg an der Donau	48.73218	2012-11-01
Asia/Shanghai	good	113.13148	Foshan	23.02677	10 Mar 2014
America/Costa_Rica	excellent	-85.43772	Liberia	10.63504	2017-06-21
Asia/Kolkata	good	78.27539	Robertsonpet	12.95629	2021/11/23
America/Chicago	building	-87.65644	New City	41.80753	10/08/2015, 00:00:00
America/Argentina/Buenos_Aires	building	-60.47389	Chacabuco	-34.64167	2020/06/04
Australia/Sydney	excellent	150.99292	Baulkham Hills	-33.75881	2016/09/23
Europe/Moscow	accep	53.26023	Bavly	54.39304	2013-04-19
Europe/Paris	accep	1.33467	Colomiers	43.61058	2015/05/18
Africa/Algiers	excellent	3.47717	Boumerdas	36.76639	2021-07-22
Europe/Amsterdam	maintenance	6.76111	Hoogezand	53.16167	2019/11/21
Asia/Kuala_Lumpur	maintenance	100.24529	Batu Feringgi	5.4709	2018/02/01
Europe/Berlin	excellent	11.32903	Weimar	50.9803	2017-09-14
Pacific/Auckland	excellent	171.25364	Timaru	-44.39672	2018-09-13
America/Chicago	building	-88.3162	Crystal Lake	42.24113	2016/03/09
Europe/Berlin	good	9.02596	Albstadt	48.21644	2016-06-26
Africa/Algiers	average	4.85668	Bordj Zemoura	36.27462	04 Mar 2022
Europe/Berlin	maintenance	8.96317	Hechingen	48.35149	2016-04-14
Africa/Accra	excellent	-2.31938	Bibiani	6.46346	2016-03-28
America/Chicago	accep	-86.99666	Hueytown	33.45122	2013-02-05
Asia/Kolkata	accep	84.13864	Jashpurnagar	22.88783	09 Sep 2015
America/Recife	excellent	-35.03333	Cabo	-8.28333	2021-08-23
Australia/Sydney	accep	151.08057	Eastwood	-33.79176	2012/10/31
Asia/Kolkata	good	76.03889	Osmanabad	18.18158	2019-11-03
Europe/Copenhagen	accep	12.53463	Frederiksberg	55.67938	06/02/2019, 00:00:00
America/Caracas	maintenance	-62.64102	Ciudad Guayana	8.35122	2018-02-23
America/Port_of_Spain	excellent	-61.51889	Port of Spain	10.66668	2013/11/01
America/Chicago	excellent	-87.45476	Schererville	41.47892	04 Oct 2018
America/New_York	maintenance	-81.26367	Deltona	28.90054	10 Sep 2019
America/Sao_Paulo	average	-50.00639	Palmeira	-25.42944	11/19/2016, 00:00:00
Europe/Amsterdam	accep	6.76111	Hoogezand	53.16167	2020/01/13
America/Puerto_Rico	good	-67.15407	Aguadilla	18.42745	2018/02/04
Asia/Shanghai	accep	112.73333	Xinzhou	38.40917	03/11/2015, 00:00:00
Europe/Berlin	building	10.30215	Bad Segeberg	53.94313	26 Jun 2017
Indian/Antananarivo	accep	46.58333	Ikalamavony	-21.15	03/23/2021, 00:00:00
Europe/Stockholm	excellent	17.10558	Hudiksvall	61.72744	29 Mar 2016
America/Sao_Paulo	building	-53.13722	Loanda	-22.92306	02 Nov 2019
Europe/Madrid	accep	-6.03731	San Juan de Aznalfarache	37.35813	2019-01-25
Africa/Lagos	good	4.18333	Olupona	7.6	09 May 2022
Asia/Kolkata	accep	85.37752	Barbil	22.10194	2021-02-01
America/New_York	maintenance	-69.96533	Brunswick	43.91452	11 Aug 2017
Asia/Tokyo	excellent	135.21667	Sasayama	35.06667	10/15/2014, 00:00:00
Europe/Berlin	building	8.63333	Kirchlengern	52.2	13 May 2015
Asia/Kolkata	accep	78.23456	Bachhraon	28.92694	28 Sep 2019
Asia/Karachi	excellent	71.67164	Qadirpur Ran	30.29184	02 Apr 2016
Africa/Freetown	excellent	-13.2356	Freetown	8.48714	2022-04-10
America/Havana	excellent	-77.43532	Media Luna	20.14298	03 Apr 2015
Europe/London	excellent	-2.52398	Winsford	53.19146	2013-04-28
America/Chicago	good	-97.54667	Hutto	30.5427	06/16/2021, 00:00:00
America/Los_Angeles	building	-122.24064	Bothell West	47.80527	05/30/2015, 00:00:00
Europe/Kiev	average	26.97253	Krasyliv	49.65186	18 Mar 2014
Europe/Paris	good	2.44892	Gonesse	48.98693	30 May 2017
Europe/Berlin	average	9.02596	Albstadt	48.21644	2020/11/22
Africa/Bangui	excellent	15.87735	Carnot	4.94273	11/24/2018, 00:00:00
Europe/Kiev	good	27.06365	Shepetivka	50.18545	12/07/2014, 00:00:00
Europe/Berlin	building	8.70745	Bretten	49.03685	10/19/2013, 00:00:00
Asia/Bangkok	maintenance	103.65309	Roi Et	16.0567	19 Jun 2022
Europe/London	average	-0.74934	High Wycombe	51.62907	08/08/2014, 00:00:00
America/Mexico_City	good	-96.72365	Oaxaca	17.06542	25 Mar 2016
Asia/Jakarta	maintenance	99.1625	Tebingtinggi	3.3285	2012/10/08
America/New_York	maintenance	-73.75513	Far Rockaway	40.60538	18 Jul 2013
Europe/Moscow	maintenance	53.26023	Bavly	54.39304	27 May 2017
Asia/Baghdad	building	44.02488	Karbala	32.61603	28 Sep 2016
Asia/Tokyo	excellent	135.21667	Sasayama	35.06667	05 Feb 2015
Africa/Bangui	maintenance	15.87735	Carnot	4.94273	10/24/2012, 00:00:00
America/Chicago	excellent	-88.31476	Murray	36.61033	2016-09-13
America/Port_of_Spain	average	-61.51889	Port of Spain	10.66668	01 Apr 2016
Africa/Douala	maintenance	11.5	Mbalmayo	3.51667	2012-12-08
Asia/Tashkent	excellent	72.34424	Andijon	40.78206	17 Jan 2021
Australia/Perth	accep	115.88782	Willetton	-32.05251	11/06/2012, 00:00:00
Asia/Jakarta	excellent	110.8405	Kudus	-6.8048	09/16/2013, 00:00:00
Africa/Algiers	average	4.62744	El Achir	36.06386	2020/07/29
Asia/Kolkata	good	86.59509	Supaul	26.11527	17 Dec 2012
Africa/Dar_es_Salaam	good	35.7	Iringa	-7.76667	10/25/2012, 00:00:00
America/Sao_Paulo	average	-47.1725	Artur Nogueira	-22.57306	2021/03/18
America/Bogota	accep	-73.26022	Socorro	6.46838	2016/07/27
Asia/Kolkata	average	83.36889	Gorakhpur	26.76628	05 Jul 2014
Europe/Berlin	building	6.74549	Losheim	49.5099	2013/05/01
Asia/Manila	accep	121.96361	Recodo	6.95194	08 Nov 2019
Asia/Shanghai	average	122.74754	Haicheng	40.85158	26 Jan 2015
Europe/London	good	-3.05	Blackpool	53.81667	28 Feb 2016
Australia/Perth	average	115.8614	Perth	-31.95224	06/18/2016, 00:00:00
Asia/Kolkata	building	76.11996	Manjeri	11.12018	2014/09/29
America/Los_Angeles	good	-116.97725	Beaumont	33.92946	2016/06/16
Indian/Reunion	maintenance	55.4504	Saint-Denis	-20.88231	21 Sep 2016
Africa/Bangui	excellent	15.87735	Carnot	4.94273	11/01/2019, 00:00:00
Europe/Warsaw	building	19.27498	Jaworzno	50.20528	2020/08/19
Asia/Shanghai	excellent	111.73861	Changzhi	35.20889	2020-09-18
Asia/Tokyo	average	144.09638	Motomachi	43.82634	03/17/2015, 00:00:00
Asia/Kolkata	maintenance	91.61356	Rangia	26.44931	2016/07/08
Europe/Volgograd	average	43.2379	Mikhaylovka	50.06	17 May 2021
America/Chicago	accep	-96.39774	Brenham	30.16688	12 Aug 2013
Asia/Tehran	good	51.49621	Nowshahr	36.64852	2019-10-05
Africa/Lagos	excellent	3.64633	Shagamu	6.8485	2019-11-14
Europe/Brussels	average	5.37429	Houthalen	51.03427	2016-10-13
Africa/Algiers	average	4.08282	Beni Douala	36.61954	2016/12/15
Asia/Bangkok	good	102.05461	Tak Bai	6.25947	05/15/2017, 00:00:00
Asia/Karachi	maintenance	68.21204	Larkana	27.55898	2012-10-24
America/Mexico_City	excellent	-98.11889	Casa Blanca	19.04222	2021-03-19
Europe/London	accep	-1.29772	Cowes	50.76306	2013/10/17
Asia/Karachi	building	72.54064	Sillanwali	31.82539	2018/06/25
Europe/Copenhagen	maintenance	12.53463	Frederiksberg	55.67938	2021-08-09
Asia/Kolkata	average	88.28637	Pandua	23.07492	2020/03/14
Asia/Jakarta	maintenance	113.69785	Besuki	-7.73379	04/25/2017, 00:00:00
America/New_York	average	-73.0515	Waterbury	41.55815	2019-01-26
America/Chicago	maintenance	-87.65644	New City	41.80753	08/31/2020, 00:00:00
Europe/Paris	good	2.44892	Gonesse	48.98693	18 Sep 2015
Europe/London	accep	0.75	Thetford	52.41667	31 Dec 2019
Europe/Paris	average	3.87723	Montpellier	43.61092	2020/04/22
America/New_York	excellent	-71.8023	Fitchburg	42.58342	2021-03-03
Asia/Kolkata	maintenance	72.68533	Kheda	22.75218	2022-01-27
America/New_York	maintenance	-74.13653	Port Richmond	40.63316	04/03/2017, 00:00:00
Asia/Manila	maintenance	122.8637	Santa Catalina	9.3337	2017-08-04
Asia/Almaty	excellent	77.0202	Otegen Batyra	43.41949	08/20/2020, 00:00:00
Asia/Karachi	excellent	73.38333	Sangla Hill	31.71667	2015-08-31
America/Chicago	average	-94.74049	Longview	32.5007	2013-01-10
Europe/Berlin	excellent	7.973	Finnentrop	51.168	01/15/2022, 00:00:00
Africa/Lubumbashi	accep	29.47306	Beni	0.49113	2021/10/18
Asia/Kolkata	maintenance	75.35927	Talipparamba	12.04161	04 Mar 2014
