H2CO	O3	TEMP	CO	longitude	CFCs	PRES	warning	C2H3NO5	PM10	NH3	SO2	Pb	NOx	PM2.5	latitude	CH4	PAHs
29.50956	8.94920	25.43217	11.64732	-104.83192	43.18450	1079.96839	0.00000	0.23711	8.22440	6.41629	8.49751	51.97988	10.34242	7.62222	39.72943	11.71255	11.19462
47.74296	8.33310	17.43701	8.68402	-78.19444	49.50594	1140.11355	1.00000	0.07215	5.57325	9.75552	9.47294	31.47046	9.37161	6.02870	38.91817	9.13579	6.90753
33.06926	8.26143	3.52431	7.22119	-99.73314	68.27052	1110.39685	1.00000	3.00688	11.07212	6.37900	7.33531	65.55789	7.77822	9.38930	32.44874	10.34048	9.56713
45.37568	6.02659	-4.17470	9.65324	133.42825	41.98694	1108.05623	1.00000	0.35259	8.87204	11.82650	8.11787	59.32440	8.88626	8.43374	45.47885	9.36227	8.36538
40.87642	9.04660	6.59446	9.56811	117.59152	56.53853	1055.07071	1.00000	0.57205	9.39865	7.21976	9.10824	50.76804	8.46937	8.88498	3.31332	8.78655	10.28462
21.24380	9.37777	13.05426	10.05668	77.54372	39.80410	1080.49463	0.00000	0.88114	9.77386	6.28861	10.87033	59.43860	10.37217	10.21452	10.12268	8.68869	9.24474
50.80894	9.70835	9.21558	11.52290	31.3237	33.05245	1086.11948	1.00000	0.15821	7.47775	8.43916	8.41285	69.14722	8.73271	10.11074	52.4089	9.95642	9.54649
46.76107	6.68612	16.44483	7.75252	9.5586	48.17702	1114.23689	1.00000	0.98461	9.89463	6.00421	8.81430	56.68855	9.91255	10.55753	54.52156	8.98920	10.25351
22.83884	7.30825	13.92988	9.48181	-73.89875	42.01324	1081.56873	1.00000	0.20580	7.85894	9.59830	9.69446	36.73521	9.36280	6.73958	40.93121	10.74288	7.33179
57.21152	8.32873	6.85447	9.89788	33.34864	57.03893	1162.45205	1.00000	0.27849	8.54721	9.77407	9.90480	55.21501	9.71138	7.96316	46.75451	11.53278	7.58995
47.17522	9.29445	24.51736	11.61253	16.4	50.45791	1089.50759	0.00000	0.14517	7.54297	11.25060	7.77784	41.08039	7.94919	10.56121	48.25	10.29324	10.29901
34.12071	9.25115	25.59124	8.07743	89.11943	47.47973	1177.41173	1.00000	0.78539	9.67434	6.46429	8.33801	63.62171	9.99251	11.45184	23.9028	10.63011	8.67786
55.06380	6.96629	7.56664	7.85047	-69.96533	52.14902	1121.73620	0.00000	1.27184	10.19215	7.91984	7.44756	41.53527	7.90834	10.14394	43.91452	10.39605	7.52639
58.21270	9.90562	10.54010	9.46483	83.97573	44.70013	1195.18514	1.00000	0.05456	3.53730	7.03052	8.69443	47.29339	8.34648	6.23596	21.46527	9.73633	4.93633
56.45734	7.77138	0.84327	11.51180	122.20488	53.31123	1149.71932	0.00000	0.80995	9.70404	6.87626	9.15904	51.53249	7.24526	8.17319	29.98869	10.60233	9.41990
42.96835	6.82009	15.02104	9.94901	-68.30472	62.45376	1159.46919	0.00000	0.73542	9.60179	9.01463	9.58591	40.26067	6.87453	9.33311	9.91861	12.11825	11.65827
42.14652	8.77486	18.07657	9.81702	-113.3187	36.37741	1075.39001	0.00000	2.32291	10.81198	7.03640	8.38708	39.22061	7.98204	11.80300	53.51684	7.48906	13.27995
56.45065	9.40283	18.30349	10.30696	120.56528	23.35664	1083.48449	0.00000	4.07548	11.37172	9.70281	10.38905	57.68759	8.49596	13.25132	14.66	8.52570	13.82535
39.32481	9.71270	18.78338	11.09534	102.56365	34.83166	1066.54313	0.00000	0.37291	8.87213	5.99460	9.71281	39.93600	8.29531	8.55280	13.65805	10.62874	10.08529
69.95512	7.50339	5.86158	11.28507	14.39024	67.31019	1090.52369	0.00000	0.28786	8.39455	7.17134	8.62257	44.69756	8.10250	9.15344	42.22718	6.13630	9.67017
53.37310	6.78773	7.41128	11.72972	7.00417	29.24287	1132.05924	1.00000	0.10794	7.48939	8.35002	8.92373	29.33725	6.99353	8.72732	52.26083	10.29437	7.63892
59.20960	6.03101	10.65107	9.76266	84.13864	59.39681	1180.97799	0.00000	0.13922	7.28633	8.98474	8.80000	67.91586	8.01670	9.18866	22.88783	6.33592	10.20913
49.30997	8.16138	21.02960	9.02944	-52.2	50.91703	1153.18636	1.00000	0.26655	8.51936		7.13922	58.28240	7.63094	7.10837	-28.44917	8.69565	7.23876
68.85875	8.71795	18.55618	8.75818	103.65309	75.83995	1161.72461	0.00000	0.20731	7.96382	10.42688	7.87175	77.97263	8.40631	10.55722	16.0567	7.16875	11.75123
44.24556	10.49061	12.85437	9.86547	135.31667	47.41305	1080.34094	0.00000	0.08815	6.87369	8.02924	9.13381	53.67565	8.43328	8.38540	34.25	5.96886	10.81917
45.63535	8.67025	-0.58476	11.13844	24.71204	39.77434	1070.29679	0.00000	0.08909	4.85259	11.23990	9.95481	71.26629	9.38985	9.52459	41.57439	6.95730	8.70055
23.58116	7.71366	26.01908	10.17425	-75.60804	30.05995	1182.35174	1.00000	0.32022	8.58554	7.87052	7.33884	59.73312	8.42712	7.69471	39.96097	9.08810	10.76625
51.46650	9.96856	24.86734	7.98167	-85.43772	43.04542	1067.32503	0.00000	0.71436	9.60878	10.09903	8.43223	15.67873	7.23712	11.41064	10.63504	6.89843	11.48999
52.98383	8.23754	2.07925	10.46719	14.39024	55.67274	1122.86606	0.00000	0.11931	7.50343	10.10351	8.02669	59.72019	9.44765	9.51125	42.22718	7.49330	8.46114
48.47825	8.31967	3.38645	6.81837	-111.78903	37.99313	1068.11689	1.00000	2.50981	10.88064	7.86498	8.13268	42.85778	8.79446	10.82588	33.35283	10.58359	8.30972
46.56816	9.67841	14.42477	11.03790	5.51978	54.83840	1178.31479	1.00000	0.08907	6.65296	10.09697	7.69860	68.61546	8.93649	6.84022	51.44889	8.70670	5.69800
41.38095	8.28143	33.24053	10.97828	115.88782	40.19229	1157.25059	1.00000	0.14986	7.37220	9.02361	8.96488	71.42032	6.27740	7.23598	-32.05251	10.38130	5.99978
38.95186	9.50038	36.28852	11.03635	-90.10674	55.62615	1156.45490	0.00000	0.24404	8.32422	5.38117	10.12484	59.15931	9.36557	8.98471	29.84576	10.22173	9.57900
53.01275	8.54660	16.12627	4.99156	-117.71978	74.31427	1165.29949	1.00000	2.14791	10.74521	9.33131	8.81757	63.13708	7.79925	8.34759	34.09668	11.84372	9.77686
65.12119	8.69944	-3.20472	8.50158	-117.71978	58.77210	1099.44282	0.00000	0.23288	8.15661	11.96338	7.66210	65.86829	7.99903	10.42918	34.09668	8.41632	11.56095
63.51825	8.55798	13.10919	8.26001	-87.66561	54.86434	1159.11971	1.00000	0.59727	9.32091	4.10767	8.36181	39.07340	7.88830	14.64796	41.8542	9.18720	8.31326
35.35153	8.84879	26.26595	10.73252	11.18709	37.64453	1088.76894	0.00000	0.11570	7.03450	7.34126	11.27773	49.50569	9.38767	8.48358	48.73218	6.34796	9.47004
43.44678	9.86011	24.70392	10.17042	33	34.24038	1125.82842	1.00000	0.69140	9.53513	11.20915	7.55230	58.42376	7.26569	6.13791	-2.68333	9.48247	4.61822
61.25192	9.02600	5.02824	6.08109	-76.88442	31.47174	1093.04087	1.00000	0.68954	9.55717	9.99918	8.71933	45.21987	9.40883	8.25317	40.2737	11.10626	10.31421
66.32860	8.94112	4.55615	7.01484	-100.88023	50.92158	1152.17152	1.00000	1.94861	10.63626	3.57060	7.71268	40.15755	9.07124	12.55936	20.21322	8.26626	10.24686
36.64281	7.21992	11.07807	9.47071	122.74754	36.98865	1164.06847	1.00000	1.38949	10.26116	8.61275	8.88043	46.83417	8.35083	10.10542	40.85158	10.73688	9.93094
33.89094	8.68065	15.07380	9.93175	14.30935	38.16626	1068.16538	0.00000	7.17626	11.94562	9.89697	7.91692	47.48598	8.64945	10.67037	40.92298	10.42714	8.95324
41.18161	8.06976	33.17184	9.58738	-121.75689	52.73824	1081.18115	1.00000	0.06918	7.18590	10.87263	8.55560	61.11483	8.69637	6.34079	36.91023	8.64022	7.01463
32.91283	6.93416	16.11949	8.70457	83.36889	33.22691	1068.04649	1.00000	0.68759	9.54837	6.14967	9.35062	50.48085	8.58788	10.26030	26.76628	8.25447	10.59338
64.34284	8.87114	14.91851	7.01485	-117.14392	59.23155	1163.70164	1.00000	2.78930	10.98127	6.95453	10.06931	54.51324	8.82733	8.94587	32.9156	9.42899	10.18119
40.92042	9.16006	23.40884	10.06130	-43.80139	55.88147	1093.90384	1.00000	0.22660	8.01133	12.18360	9.91704	52.84217	8.04416	7.25724	-20.25333	9.40777	8.48075
57.81547	8.77785	3.43421	7.71829	-35.71667	62.11142	1168.76742	1.00000	4.73634	11.52636	4.70392	7.01880	58.22692	8.68523	11.02505	-8.66667	9.58892	8.84733
41.44859	7.27703	10.47860	10.96306	-0.18333	48.36499	1115.09043	1.00000	0.04027	4.15267	6.65236	8.19092	85.66265	8.75903	7.35341	38.96667	11.14351	7.51941
47.81419	6.97718	21.27425	8.84682	-97.54667	42.16321	1131.93759	1.00000	0.28357	8.48002	11.88030	7.88000	44.96317	8.24875	6.09390	30.5427	9.62146	6.29738
57.07895	9.25624	9.09155	6.24598	-97.90308	61.75521	1159.85657	1.00000	5.50748	11.67776	10.40678	9.01980	25.21583	10.05271	6.24483	31.12406	10.74920	9.76385
73.89947	7.24507	13.59786	8.26552	71.30633	43.04258	1054.37432	1.00000	0.80035	9.70998	7.28879	6.56312	72.81213	8.58322	8.61808	21.34222	10.18571	10.21439
59.61005	7.38146	12.16583	5.99561	44.02488	43.06170	1185.35817	1.00000	10.27569	12.30560	5.78466	8.25705	43.02740	8.36772	10.27295	32.61603	11.41363	8.29481
36.85629	9.80527	29.83488	11.05305	146.05093	43.16384	1118.90400	1.00000	0.32627	8.63520	10.53614	7.90331	59.58869	9.67221	7.15510	-34.28853	10.11275	8.47808
41.59633	9.49236	-0.03995	9.76460	-82.42491	59.25477	1168.91439	0.00000	0.11032	7.23701	5.50735	9.62933	75.86061	6.69775	7.23766	42.97086	12.60762	9.68163
59.18306	8.88196	9.03969	11.90916	-95.44744	39.50203	1061.35228	1.00000	0.18148	7.88121	9.74311	6.85258	43.58216	9.68741	7.02138	29.53885	9.85161	6.38586
19.09298	8.20561	-2.82314	7.58712	-77.55777	50.55568	1071.93088	1.00000	0.65850	9.40582	9.29049	9.47080	58.27952	8.40600	7.46564	37.52487	10.21471	10.80923
41.07078	9.09849	14.11515	9.58574	18.34717	39.94816	1104.72670	1.00000	0.09164	5.93887	9.76130	7.68185	69.40221	7.51810	7.19944	54.60528	9.54484	7.36670
61.10237	6.38408	27.33972	9.72788	24.95034	57.77026	1104.01743	1.00000	0.31442	8.64189	7.83255	6.62075	46.10761	8.98640	9.83111	60.18427	8.02906	10.31661
47.32967	8.78510	20.48174	8.78980	11.32903	70.06341	1173.73315	0.00000	6.57657	11.85696	3.96412	8.25368	49.41233	8.14804	9.91167	50.9803	8.84162	9.39173
55.69662	8.12033	8.11832	13.04595	75.37991	57.04304	1131.69616		0.11644	6.62463	3.57288	7.97496	52.15178	10.40989	7.38136	25.75728	9.98428	10.64393
28.32480	11.28060	11.68075	9.95638	24.95034	23.94410	1079.69990	1.00000	0.09019	7.14729	9.50572	7.75099	70.96908	8.97969	8.93700	60.18427	11.66048	8.84639
26.86634	6.55370	12.81675	9.11507	9.02596	43.21264	1071.59138	0.00000	2.12916	10.72288	6.91054	8.77669	72.03787	7.71476	9.49196	48.21644	9.18862	7.91650
32.93191	8.61534	11.07979	12.37799	1.53414	58.13852	1196.55299	1.00000	1.08418	10.01503	10.23487	10.08833	49.76723	8.34746	8.70921	42.50729	10.88289	5.40272
35.33245	9.97932	10.92523	8.72643	79.41727	68.90082	1097.07437	1.00000	0.59475	9.36174	7.49778	8.74961	58.89165	10.48639	7.72471	12.25282	9.42868	11.06257
42.25683	10.95955	26.55101	10.47563	73.08333	60.61883	1118.73886	1.00000	0.23240	8.07261	5.02770	8.84188	43.74120	9.02356	12.36519	19.21667	10.68878	8.11690
62.09454	9.04388	27.76043	7.21942	120.74221	26.62228	1195.07021	1.00000	3.35243	11.18586	7.85177	8.43242	70.58883	9.11616	6.78813	31.64615	9.18817	11.20268
44.11715	10.40986	10.11823	9.21729	79.5286	40.45683	1054.66767	0.00000	0.29587	8.46558	5.05589	8.93623	64.12485	8.42325	9.12402	29.22254	9.86247	8.65377
48.25725	7.90272	13.19540	8.74289	-2.98884	56.28042	1069.49280	1.00000	0.36415	8.82737	6.30404	9.12521	59.22679	8.54132	10.81851	43.32686	11.01551	9.03417
19.41277	7.43516	15.37076	7.11370	-87.93341	38.62818	1109.94037	1.00000	0.48626	9.07480	7.49576	6.19693	69.13158	8.03255	11.46815	42.55308	10.91054	9.13591
30.57739	10.84683	8.13939	11.99026	4.52529	65.43101	1145.21166	1.00000	0.17387	7.63052	11.18559	9.73840	52.07239	9.32015	7.72912	50.71229	9.01926	6.65585
48.42144	8.14742	12.16041	9.96164	-68.30472	72.15711	1056.23870	1.00000	0.05549	4.79721	8.07516	7.68074	32.01197	8.68972	6.75764	9.91861	12.44971	9.64241
59.39123	9.42868	1.73782	5.97847	78.40102	57.99649	1054.67229	1.00000	0.43999	9.15015	9.41015	8.70198	59.71280	8.48093	10.97260	27.9247	10.33786	9.70302
28.46895	8.40947	1.47645	9.92096	8.63333	24.52608	1104.41850	0.00000	0.06283	6.88425	9.80930	9.18936	63.33370	7.03496	9.41700	52.2	8.14109	9.69994
47.11526	9.49886	14.74766	10.49834	76.12647	41.85878	1172.38003	0.00000	0.62215	9.39477	6.96901	8.04511	52.92897	8.03406	8.06719	32.55531	10.97870	9.43649
32.48993	9.25275	22.06733	10.56862	151.07986	49.12064	1165.24367	0.00000	0.06440	6.50913	11.05768	9.08627	29.59784	8.37603	9.89577	-33.88096	5.98934	9.01385
50.34083	9.60383	25.33083	10.50798	1.00288	32.51043	1050.85495	1.00000	1.17241	10.11013	4.51514	7.83892		7.48321	9.90415	49.28669	7.95044	9.86489
27.56840	9.17036	21.14524	11.98895	43.2379	55.16812	1180.81084	0.00000	0.06696	5.34687	10.69004	6.01992	60.84954	8.85449	9.17692	50.06	4.54979	7.91296
63.69854	6.95666	20.60643	11.18381	78.27539	37.67371	1106.34729	0.00000	0.71275	9.55191	6.85914	8.27195	55.79328	9.85117	7.34830	12.95629	10.74898	8.88461
27.40425	8.86715	-4.34175	9.03614	106.85417	31.75289	1052.41081	1.00000	0.04711	5.71030	7.90125	7.80835	58.56704	8.84447	6.95060	-6.48167	9.43624	7.26388
59.95591	8.87104	26.47206	9.91980	-117.71978	58.63492	1162.37310	0.00000	0.18378	7.86867	11.29351	7.93810	59.61990	8.03529	10.65659	34.09668	5.69575	8.13764
36.93020	9.12231	4.86975	11.35506	-113.3187	22.25797	1188.73593	1.00000	0.07975	6.11709	8.09875	7.36085	57.79456	7.97281	7.57989	53.51684	9.29163	5.87273
28.21849	6.04499	15.03625	11.05406	112.23109	36.21417	1086.87399	1.00000	0.08431	5.95559	7.86928	9.58730	42.35606	7.16734	7.11561	-7.57897	10.98299	6.19187
9.82976	7.60556	18.93453	10.79834	0.75	40.89103	1160.64690	0.00000	0.43327	8.96349	6.14403	7.53897	23.69722	7.67161	8.87417	52.41667	9.93680	10.72200
33.53749	8.34949	41.15222	9.84434	78.25795	35.39402	1068.93950	0.00000	0.11790	7.15918	9.30802	8.90744	52.49797	9.11804		9.82564	6.94441	8.65159
51.97798	7.62447	15.61405	9.11222	-37.07167	59.46534	1094.32399	1.00000	1.48590	10.34300	6.72510	8.27610	58.30443	7.36577	9.62628	-10.91111	9.36667	9.06252
20.32184	7.32021	7.35283	8.48452	-93.75018	45.25529	1178.04593	1.00000	0.59211	9.24877	8.60654	8.57410	60.29336	8.29097	7.38931	32.52515	9.02257	11.47778
33.50682	9.26577	6.41641	9.28415	-116.97725	54.55485	1075.93916	0.00000	2.17512	10.70517	9.76878	9.66463	55.42955	6.94229	11.74592	33.92946	10.40686	13.85924
59.90034	8.54644	19.05002	11.32290	136.61667	43.08722	1071.55433	1.00000	0.24693	8.04903	11.94783	8.52768	47.05992	8.52014	6.50032	36.53333	7.94105	6.15843
54.27549	9.16685	14.83014	9.72398	12.53463	36.52559	1135.30946	0.00000	0.33795	8.88627	6.01952	7.99960	76.79729	7.15081	8.79495	55.67938	10.83195	8.22521
46.83597	7.43052	11.69888	11.97567	79.41727	56.00035	1132.57286	0.00000	0.08725	6.98604	6.61020	8.00607	77.26179	6.10462	8.04682	12.25282	5.23600	9.97883
73.75777	7.88817	13.68994	5.37939	2.18967	51.66794	1193.47112	1.00000	38.80739	13.64139	6.87081	7.36773	74.02575	10.12758	6.86370	48.8765	7.85033	11.47034
39.84170	7.65522	10.48457	9.45370	128.62667	40.36241	1177.80563	1.00000	0.09363	5.59702	8.30453	8.03308	59.53312	6.96141	6.20259	34.8825	8.84512	6.32826
28.15935	9.16959	0.82626	8.77840	24.99798	59.92555	1128.26709	1.00000	0.05102	4.92921	6.80897	9.41527	54.67120	6.72045	8.30676	-8.73508	10.20469	7.71622
44.92456	9.49364	19.82820	8.69627	116.82887	41.34207	1175.55592	1.00000	1.00656	9.93087	11.82157	8.33769	56.15403	8.28169	8.68100	-1.26753	9.27093	9.30760
29.62598	7.93555	19.66625	7.08892	-111.90466	70.48148	1115.86679	0.00000	4.02933	11.36680	9.95781	7.96139	51.42619	6.90186	12.06039	40.34912	10.65520	11.44010
58.53919	7.52781	2.69252	10.60005	171.25364	47.65525	1194.31847	1.00000	0.26342	8.14607	7.66430	7.88172	37.50345	9.08607	8.35597	-44.39672	12.01946	7.59050
46.13775	9.40478	24.48618	11.59232	14.30935	59.74079	1077.82241	1.00000	0.11680	7.13770	9.44718	7.63082	45.18087	9.22802	8.18606	40.92298	8.31083	6.75659
52.95510	7.87269	16.28459	7.10254	137.36215	31.10750	1082.86552	1.00000	1.20544	10.12916	8.57363	8.28960	61.97093	8.23744	8.48567	36.75965	10.48506	9.99262
69.26273	7.86424	10.58177	10.35632	-88.31476	52.42511	1075.25872	1.00000	0.09157	6.74677	8.00293	8.82643	35.39537	8.43349	9.86529	36.61033	9.86106	9.93594
53.64961	7.60637	36.50038	8.63569	109.22921	65.12126	1138.27686	1.00000	0.06785	6.88010	10.31141	8.60434	65.80807	8.02670	6.30069	34.65918	9.89881	8.49996
38.46473	8.82046	4.89343	7.60471	51.0193	67.09729	1094.03430	1.00000	0.40578	8.82650	7.06985	7.73601	56.69640	8.80047	11.30127	35.6803	8.37388	10.70106
42.50609	8.30692	1.92955	10.68905	26.01649	70.37733	1063.53277	1.00000	0.05617	6.09431	9.34378	8.67781	51.41281	8.42011	7.77873	44.43579	11.09860	7.02859
51.81566	9.69501	-0.18382	8.40315	111.73861	68.58980	1082.73257	1.00000	0.25842	8.32510	11.62510	10.40161	37.37059	7.54758	6.99589	35.20889	9.62458	6.65230
35.62632	8.56332	12.59932	11.34847	9.00472	80.01274	1091.11308	0.00000	0.09097	6.91557	8.42494	7.50105	57.62218	8.77493	9.70803	4.2475	7.41889	9.24803
