longitude	latitude	location	station	revision	QoS
18.84	42.28639	Europe/Podgorica	Budva	07 Nov 2012	accep
57.3552	51.4781	Asia/Yekaterinburg	Kuvandyk	20 Dec 2019	maintenance
129.96972	33.4425	Asia/Tokyo	Karatsu	30 Apr 2015	good
139.55722	36	Asia/Tokyo	Okegawa	2016/02/13	average
-51.50361	-29.2975	America/Sao_Paulo	Carlos Barbosa	2015/06/13	excellent
117.7	35.85	Asia/Shanghai	Dongdu	2019/09/30	maintenance
-87.71255	41.84364	America/Chicago	South Lawndale	06/17/2013, 00:00:00	excellent
-122.24064	47.80527	America/Los_Angeles	Bothell West	24 Aug 2021	excellent
51.67462	32.65246	Asia/Tehran	Isfahan	2020/07/23	accep
73.08333	19.21667	Asia/Kolkata	Dombivli	20 Nov 2018	accep
103.65309	16.0567	Asia/Bangkok	Roi Et	2017-12-11	accep
34.75699	31.39547	Asia/Jerusalem	Rahat	04/04/2016, 00:00:00	good
-82.32483	29.65163	America/New_York	Gainesville	17 Jan 2019	excellent
-68.30472	9.91861	America/Caracas	Tinaquillo	2019/06/24	excellent
-120.00865	46.32374	America/Los_Angeles	Sunnyside	11/23/2018, 00:00:00	accep
-74.13653	40.63316	America/New_York	Port Richmond	01/31/2019, 00:00:00	average
104.1451	15.79408	Asia/Bangkok	Yasothon	28 Mar 2019	maintenance
111.73861	35.20889	Asia/Shanghai	Changzhi	2012-12-10	excellent
-81.23621	33.98154	America/New_York	Lexington	16 Dec 2015	good
-102.36764	31.84568	America/Chicago	Odessa	2017-11-26	average
-120.00865	46.32374	America/Los_Angeles	Sunnyside	2013-06-23	good
123.50266	41.94175	Asia/Shanghai	Hushitai	02/03/2017, 00:00:00	excellent
-93.71133	41.57721	America/Chicago	West Des Moines	2019/02/12	building
73.08333	19.21667	Asia/Kolkata	Dombivli	2020-11-04	excellent
2.1699	48.98994	Europe/Paris	Herblay	06 Mar 2018	accep
-120.43572	34.95303	America/Los_Angeles	Santa Maria	2022/04/03	maintenance
139.6853	35.815	Asia/Tokyo	Shimotoda	2013/03/20	average
-97.35992	19.8173	America/Mexico_City	Teziutlan	28 Sep 2016	good
120.56528	14.66	Asia/Manila	Pilar	2014/08/13	average
-117.79394	33.76446	America/Los_Angeles	North Tustin	2022-04-13	accep
74.83554	14.62072	Asia/Kolkata	Sirsi	10/30/2021, 00:00:00	average
2.44892	48.98693	Europe/Paris	Gonesse	2016/08/26	building
71.21169	21.59983	Asia/Kolkata	Amreli	2017-03-13	average
130.94098	33.3213	Asia/Tokyo	Hita	16 Jul 2016	accep
-74.38987	40.65538	America/New_York	Scotch Plains	06/17/2016, 00:00:00	accep
111.4834	65.93381	Asia/Yakutsk	Aykhal	2018/07/16	average
101.44167	0.51667	Asia/Jakarta	Pekanbaru	2015/08/16	excellent
4.69889	50.56149	Europe/Brussels	Gembloux	11/06/2012, 00:00:00	accep
-69.96533	43.91452	America/New_York	Brunswick	21 Jan 2016	average
88.18466	22.19303	Asia/Kolkata	Diamond Harbour	01/05/2021, 00:00:00	building
140.73667	41.77583	Asia/Tokyo	Hakodate	12/08/2020, 00:00:00	accep
-75.23266	43.1009	America/New_York	Utica	12 Dec 2014	good
-88.64235	46.09273	America/Menominee	Iron River	2019-11-03	good
73.06784	25.13915	Asia/Kolkata	Sheoganj	2020-11-10	good
-48.29694	-20.87306	America/Sao_Paulo	Viradouro	2014-03-09	accep
-82.00919	23.04419	America/Havana	Jaruco	11/30/2019, 00:00:00	building
-77.02303	38.70734	America/New_York	Fort Washington	2017/07/06	excellent
37.99117	44.92934	Europe/Moscow	Krymsk	03/24/2015, 00:00:00	acceptable
-73.58248	45.40008	America/Toronto	Sainte-Catherine	10 May 2016	accep
39.25	-6.8	Africa/Dar_es_Salaam	Magomeni	2019-09-24	excellent
103.61667	-1.6	Asia/Jakarta	Jambi City	03 May 2013	average
18.84	42.28639	Europe/Podgorica	Budva	2012/10/05	average
-73.78458	41.0051	America/New_York	Scarsdale	11/19/2019, 00:00:00	good
86.79271	25.92127	Asia/Kolkata	Madhipura	11 Sep 2022	good
-44.31389	-19.7625	America/Sao_Paulo	Esmeraldas	2017/06/15	excellent
11.412	45.50369	Europe/Rome	Montecchio Maggiore-Alte Ceccato	29 Oct 2020	average
122.74754	40.85158	Asia/Shanghai	Haicheng	2014-07-24	accep
43.91385	54.03876	Europe/Moscow	Kovylkino	2019/12/12	good
109.05389	-7.51611	Asia/Jakarta	Wangon	2014-09-17	good
-82.90375	32.54044	America/New_York	Dublin	2020/09/03	excellent
78.95693	29.21399	Asia/Kolkata	Kashipur	2021/12/10	acceptable
127.08472	36.20389	Asia/Seoul	Nonsan	26 Mar 2019	building
-72.47417	7.83389	America/Bogota	Villa del Rosario	2018-08-01	excellent
34.8732	32.05971	Asia/Jerusalem	Ganei Tikva	2020-09-24	excellent
-52.2	-28.44917	America/Sao_Paulo	Marau	05/25/2016, 00:00:00	average
122.05228	37.19723	Asia/Shanghai	Tianfu	02/23/2022, 00:00:00	average
73	40.93333	Asia/Bishkek	Jalal-Abad	2014-10-28	building
-1.06667	53.78333	Europe/London	Selby	29 Aug 2018	accep
12.87117	50.23271	Europe/Prague	Karlovy Vary	2019/02/02	excellent
20.89389	42.62833	Europe/Belgrade	Glogovac	2021-09-28	average
43.2379	50.06	Europe/Volgograd	Mikhaylovka	2017-05-29	accep
5.58472	52.14	Europe/Amsterdam	Barneveld	26 Oct 2014	excellent
15.00835	51.14942	Europe/Warsaw	Zgorzelec	2015/02/07	maintenance
114.33333	-8.43333	Asia/Jakarta	Muncar	2018/10/08	maintenance
139.55722	36	Asia/Tokyo	Okegawa	2019/03/05	excellent
-58.38341	-34.64966	America/Argentina/Buenos_Aires	Barracas	2021/12/01	accep
85.83636	25.66795	Asia/Kolkata	Dalsingh Sarai	2017/12/31	maintenance
103.81667	1.6	Asia/Kuala_Lumpur	Ulu Tiram	01/07/2014, 00:00:00	maintenance
39.25	-6.8	Africa/Dar_es_Salaam	Magomeni	2015/06/21	accep
31.33078	47.56494	Europe/Kiev	Voznesensk	07 Feb 2017	average
-93.71133	41.57721	America/Chicago	West Des Moines	2020-02-01	accep
-84.23381	33.54428	America/New_York	Stockbridge	2019/06/21	accep
86.00214	46.51872	Asia/Urumqi	Hoxtolgay	08/06/2018, 00:00:00	excellent
115.8614	-31.95224	Australia/Perth	Perth	2021/09/18	excellent
-88.42814	42.16808	America/Chicago	Huntley	2022-05-30	excellent
74.4818	30.21121	Asia/Kolkata	Malaut	26 Feb 2022	excellent
-111.99633	40.65995	America/Denver	Kearns	2017-08-12	average
37.73333	-4.06667	Africa/Dar_es_Salaam	Same	2015/03/17	good
44.53333	-22.9	Indian/Antananarivo	Sakaraha	30 Nov 2015	building
28.28489	48.15659	Europe/Chisinau	Soroca	12/11/2012, 00:00:00	average
4.18333	7.6	Africa/Lagos	Olupona	2020/08/05	accep
-0.59543	44.80477	Europe/Paris	Talence	30 Apr 2013	excellent
-82.90375	32.54044	America/New_York	Dublin	12 Dec 2021	excellent
-85.76942	39.78504	America/Indiana/Indianapolis	Greenfield	2014-01-03	accep
-45.94722	-21.42917	America/Sao_Paulo	Alfenas	06/17/2018, 00:00:00	excellent
-95.36969	35.74788	America/Chicago	Muskogee	05 Apr 2020	good
-79.62098	9.15093	America/Panama	Chilibre	2021-04-08	good
55.4504	-20.88231	Indian/Reunion	Saint-Denis	2022-05-24	good
-82.00919	23.04419	America/Havana	Jaruco	2021/06/07	accep
18.34717	54.60528	Europe/Warsaw	Reda	08 Aug 2014	building
-97.92977	38.06084	America/Chicago	Hutchinson	2012/12/04	accep
9.20427	48.49144	Europe/Berlin	Reutlingen	2013/08/23	average
-43.80139	-20.25333	America/Sao_Paulo	Itabirito	10/18/2016, 00:00:00	accep
29.24152	-26.93366	Africa/Johannesburg	Standerton	13 Nov 2013	average
-77.03116	3.8801	America/Bogota	Buenaventura	2018-01-05	accep
114.33333	-8.43333	Asia/Jakarta	Muncar	12 Dec 2020	accep
31.33078	47.56494	Europe/Kiev	Voznesensk	2017-03-27	average
123.33471	8.56697	Asia/Manila	Dipolog	2022-03-21	average
79.87116	6.84019	Asia/Colombo	Dehiwala-Mount Lavinia	2016-09-22	average
-71.05977	42.35843	America/New_York	Boston	07/12/2020, 00:00:00	accep
-84.67837	34.06635	America/New_York	Acworth	18 Aug 2016	maintenance
-4.0573	55.82737	Europe/London	Viewpark	14 Feb 2019	accep
77.54372	10.12268	Asia/Kolkata	Periyakulam	17 May 2021	good
4.47124	51.95838	Europe/Amsterdam	Schiebroek	06 Mar 2016	good
128.62667	34.8825	Asia/Seoul	Sinhyeon	2018-01-09	maintenance
18.84	42.28639	Europe/Podgorica	Budva	2013-11-24	good
-105.11221	39.57582	America/Denver	Ken Caryl	14 Feb 2016	maintenance
27.06365	50.18545	Europe/Kiev	Shepetivka	01/13/2014, 00:00:00	maintenance
120.97844	14.8361	Asia/Manila	Guyong	09/17/2014, 00:00:00	excellent
8.86704	50.23805	Europe/Berlin	Nidderau	2014/10/07	good
139.07204	36.24624	Asia/Tokyo	Fujioka	09/22/2014, 00:00:00	accep
-8.07257	12.74409	Africa/Bamako	Kati	07/22/2013, 00:00:00	excellent
17.58522	40.53123	Europe/Rome	Francavilla Fontana	2017/10/30	accep
-68.3	-54.8	America/Argentina/Ushuaia	Ushuaia	28 Jan 2014	excellent
-122.2608	38.17492	America/Los_Angeles	American Canyon	08/26/2020, 00:00:00	excellent
135.21667	35.06667	Asia/Tokyo	Sasayama	03 Mar 2013	average
-78.04471	34.25628	America/New_York	Leland	2015/06/26	excellent
8.73812	41.91886	Europe/Paris	Ajaccio	11 Aug 2015	excellent
78.40102	27.9247	Asia/Kolkata	Chharra	11 Sep 2020	maintenance
120.74221	31.64615	Asia/Shanghai	Changshu City	2016-02-11	maintenance
29.47306	0.49113	Africa/Lubumbashi	Beni	14 Jan 2016	maintenance
-71.23106	-32.45242	America/Santiago	La Ligua	12/13/2015, 00:00:00	average
17.22635	48.8449	Europe/Bratislava	Skalica	2015-04-01	good
104.64992	14.64056	Asia/Bangkok	Kantharalak	13 Mar 2016	average
-60.94228	14.67751	America/Martinique	Le Robert	2022-07-31	average
-37.03861	-10.90889	America/Maceio	Barra dos Coqueiros	2020-08-27	good
9.32241	44.31771	Europe/Rome	Chiavari	2018-05-16	excellent
32.6178	46.65581	Europe/Kiev	Kherson	2018-04-22	excellent
123.33471	8.56697	Asia/Manila	Dipolog	2021/08/22	building
-50.19556	-19.72806	America/Sao_Paulo	Iturama	15 Oct 2018	accep
-68.30472	9.91861	America/Caracas	Tinaquillo	30 Oct 2017	average
116.11768	24.28859	Asia/Shanghai	Meizhou	07 Nov 2019	building
120.56528	14.66	Asia/Manila	Pilar	2013-09-23	excellent
-81.38758	30.17746	America/New_York	Palm Valley	10/30/2015, 00:00:00	average
-71.19901	-30.60106	America/Santiago	Ovalle	2014/09/18	excellent
9.29109	45.39402	Europe/Rome	San Giuliano Milanese	26 Sep 2020	good
118.9707	-3.5403	Asia/Makassar	Majene	10/26/2017, 00:00:00	average
6.10237	46.18396	Europe/Zurich	Onex	06/26/2019, 00:00:00	accep
39.85331	57.30185	Europe/Moscow	Gavrilov-Yam	01/03/2016, 00:00:00	excellent
139.07204	36.24624	Asia/Tokyo	Fujioka	01/08/2016, 00:00:00	accep
-1.29243	53.49389	Europe/London	Mexborough	2015/08/25	good
-8.07257	12.74409	Africa/Bamako	Kati	04/01/2020, 00:00:00	average
10.18527	47.98372	Europe/Berlin	Memmingen	02/04/2019, 00:00:00	excellent
37.73333	-4.06667	Africa/Dar_es_Salaam	Same	2018/10/12	accep
3.87723	43.61092	Europe/Paris	Montpellier	2016-12-21	accep
9.02596	48.21644	Europe/Berlin	Albstadt	2016/10/16	good
124.95278	6.33444	Asia/Manila	Tupi	2019-05-07	excellent
72.68533	22.75218	Asia/Kolkata	Kheda	2014-05-03	average
29.00974	-24.19436	Africa/Johannesburg	Mokopane	05/09/2016, 00:00:00	excellent
10.7	4.96667	Africa/Douala	Tonga	2014-06-02	excellent
-98.1664	19.32932	America/Mexico_City	Contla	2016/09/17	average
48.41667	-17.83333	Indian/Antananarivo	Ambatondrazaka	24 Jan 2020	good
-82.00919	23.04419	America/Havana	Jaruco	17 Jun 2022	average
26.01649	44.43579	Europe/Bucharest	Sector 6	2020/07/07	good
122.05228	37.19723	Asia/Shanghai	Tianfu	12/09/2018, 00:00:00	accep
11.412	45.50369	Europe/Rome	Montecchio Maggiore-Alte Ceccato	12/04/2020, 00:00:00	excellent
-76.88442	40.2737	America/New_York	Harrisburg	09/12/2018, 00:00:00	average
2.29026	48.77644	Europe/Paris	Sceaux	2017/12/20	accep
14.30935	40.92298	Europe/Rome	Afragola	2018-10-22	accep
-82.35176	27.71809	America/New_York	Sun City Center	19 Jun 2014	average
3.39467	6.45407	Africa/Lagos	Lagos	08/29/2015, 00:00:00	excellent
-75.87877	5.6561	America/Bogota	Andes	19 Dec 2020	good
-73.86586	45.43341	America/Toronto	Beaconsfield	01 Oct 2013	maintenance
83.97573	21.46527	Asia/Kolkata	Sambalpur	2015/12/11	excellent
122.22833	40.66482	Asia/Shanghai	Yingkou	2022-05-01	maintenance
6.92917	52.31333	Europe/Amsterdam	Oldenzaal	2015-08-04	accep
-94.74049	32.5007	America/Chicago	Longview	2017-02-16	accep
-104.22884	32.42067	America/Denver	Carlsbad	2020-11-21	good
30.28491	60.02427	Europe/Moscow	Kolomyagi	2019/04/05	excellent
-105.36369	22.49396	America/Mazatlan	Acaponeta	10 Feb 2021	good
18.30056	50.5107	Europe/Warsaw	Strzelce Opolskie	17 Nov 2020	excellent
-72.27814	42.93369	America/New_York	Keene	05/01/2018, 00:00:00	excellent
39.85331	57.30185	Europe/Moscow	Gavrilov-Yam	03/30/2018, 00:00:00	maintenance
110.71639	-7.54972	Asia/Jakarta	Ngemplak	23 Jan 2017	accep
-73.75513	40.60538	America/New_York	Far Rockaway	08/19/2022, 00:00:00	average
-39.25	-12.91667	America/Bahia	Muritiba	28 May 2015	excellent
-1.4001	7.06273	Africa/Accra	Mampong	2013-07-31	average
12.87117	50.23271	Europe/Prague	Karlovy Vary	10/05/2016, 00:00:00	accep
15.07041	37.49223	Europe/Rome	Catania	2013/11/18	accep
5.55575	46.67535	Europe/Paris	Lons-le-Saunier	2014-12-28	building
4.08282	36.61954	Africa/Algiers	Beni Douala	2019/11/20	excellent
-0.45877	46.32313	Europe/Paris	Niort	2019-05-14	average
2.18967	48.8765	Europe/Paris	Rueil-Malmaison	21 Sep 2014	maintenance
43.67663	53.53041	Europe/Moscow	Nizhniy Lomov	2020-02-29	average
124.3697	9.6531	Asia/Manila	Jagna	04 Feb 2018	good
120.56528	14.66	Asia/Manila	Pilar	29 May 2015	accep
91.84128	22.83957	Asia/Dhaka	Manikchari	2014/11/13	average
-5.53715	50.11861	Europe/London	Penzance	05/01/2016, 00:00:00	excellent
-89.64066	40.56754	America/Chicago	Pekin	12 Feb 2017	accep
-93.08883	45.16024	America/Chicago	Lino Lakes	11 May 2014	average
29.00974	-24.19436	Africa/Johannesburg	Mokopane	2020/05/03	maintenance
-40.7475	-4.16694	America/Fortaleza	Guaraciaba do Norte	07/06/2019, 00:00:00	good
76.56719	24.41288	Asia/Kolkata	Aklera	2017-04-29	average
32.86389	53.95278	Europe/Moscow	Roslavl’	2018/08/04	average
-75.87877	5.6561	America/Bogota	Andes	18 Mar 2019	good
38.15035	49.41029	Europe/Zaporozhye	Svatove	15 Oct 2015	good
92.48278	58.23583	Asia/Krasnoyarsk	Lesosibirsk	2018/04/18	average
42.7125	11.15583	Africa/Djibouti	'Ali Sabieh	2018-08-11	accep
-95.36969	35.74788	America/Chicago	Muskogee	10 Feb 2022	average
-8.2503	37.08819	Europe/Lisbon	Albufeira	2014/05/21	accep
74.3092	33.37526	Asia/Kolkata	Rajaori	2013-01-21	building
1.10687	41.15612	Europe/Madrid	Reus	2013-06-19	maitennce
-74.28459	40.5576	America/New_York	Woodbridge	2014/11/12	accep
73.7553	15.5439	Asia/Kolkata	Calangute	2018-12-07	good
73	40.93333	Asia/Bishkek	Jalal-Abad	2016/05/20	excellent
35.34722	-23.85972	Africa/Maputo	Maxixe	11 Jun 2018	average
129.96972	33.4425	Asia/Tokyo	Karatsu	2016/11/06	maintenance
103.65309	16.0567	Asia/Bangkok	Roi Et	19 Nov 2014	good
-73.89125	40.67705	America/New_York	Cypress Hills	2019-02-18	accep
-72.47417	7.83389	America/Bogota	Villa del Rosario	18 Apr 2016	maintenance
22.53083	44.22639	Europe/Belgrade	Negotin	2014/04/06	average
109.3243	-7.0981	Asia/Jakarta	Randudongkal	12/08/2018, 00:00:00	excellent
114.33333	-8.43333	Asia/Jakarta	Muncar	2020-07-22	excellent
78.27539	12.95629	Asia/Kolkata	Robertsonpet	2022/02/26	excellent
136.84186	34.4833	Asia/Tokyo	Toba	2021/04/25	good
5.2875	51.65333	Europe/Amsterdam	Vught	2019-09-14	excellent
-8.53778	7.57944	Africa/Monrovia	New Yekepa	2021-03-24	maintenance
2.31889	35.21222	Africa/Algiers	Ksar Chellala	03/25/2014, 00:00:00	average
68.49143	25.80565	Asia/Karachi	Bhit Shah	04 Jun 2021	excellent
86.79271	25.92127	Asia/Kolkata	Madhipura	08 Mar 2021	average
8.77069	50.80904	Europe/Berlin	Marburg an der Lahn	01 Jul 2021	building
8.88104	45.79377	Europe/Rome	Malnate	05/07/2022, 00:00:00	good
136.51667	35	Asia/Tokyo	Komono	2013/06/21	average
-79.59415	-2.13404	America/Guayaquil	Milagro	2021-02-08	average
5.2875	51.65333	Europe/Amsterdam	Vught	26 Jan 2019	maintenance
30.28491	60.02427	Europe/Moscow	Kolomyagi	09 Dec 2012	excellent
83.62389	53.30972	Asia/Barnaul	Novosilikatnyy	2017-12-25	excellent
-103.42897	20.28527	America/Mexico_City	Jocotepec	16 Sep 2021	good
10.58082	35.72917	Africa/Tunis	Msaken	2013-02-25	average
-13.68778	9.535	Africa/Conakry	Camayenne	09/22/2017, 00:00:00	good
8.2926	9.58126	Africa/Lagos	Kafanchan	08/25/2013, 00:00:00	accep
122.05228	37.19723	Asia/Shanghai	Tianfu	19 Feb 2014	average
84.63445	24.81757	Asia/Kolkata	Rafiganj	21 Apr 2016	average
121.12251	14.62578	Asia/Manila	Antipolo	2013/01/13	good
74.80555	34.08565	Asia/Kolkata	Srinagar	2017/12/24	excellent
75.16878	30.81383	Asia/Kolkata	Moga	17 Jan 2021	accep
84.87144	47.46657	Asia/Almaty	Zaysan	2016/06/01	accep
106.92667	-6.91806	Asia/Jakarta	Sukabumi	2017-04-05	excellent
-90.10674	29.84576	America/Chicago	Estelle	2017-05-23	average
8.86374	44.89784	Europe/Rome	Tortona	16 Nov 2016	average
73.08333	19.21667	Asia/Kolkata	Dombivli	2022/07/28	average
-111.89903	33.50921	America/Phoenix	Scottsdale	2021-05-11	excellent
14.30935	40.92298	Europe/Rome	Afragola	03/14/2017, 00:00:00	good
53.47103	54.48147	Asia/Yekaterinburg	Oktyabr’skiy	2013/01/01	excellent
-95.30106	32.35126	America/Chicago	Tyler	03 Jun 2021	average
30.98551	2.41669	Africa/Kampala	Paidha	2018-02-01	maintenance
112.01667	-7.81667	Asia/Jakarta	Kediri	2020-05-19	accep
-96.72365	17.06542	America/Mexico_City	Oaxaca	02/02/2015, 00:00:00	excellent
-121.74052	38.54491	America/Los_Angeles	Davis	04/12/2013, 00:00:00	excellent
-3.53261	40.42386	Europe/Madrid	San Fernando de Henares	2019/07/12	excellent
11.32903	50.9803	Europe/Berlin	Weimar	14 May 2015	maintenance
-93.71133	41.57721	America/Chicago	West Des Moines	03/14/2021, 00:00:00	average
9.0027	11.86064	Africa/Lagos	Gaya	12 Sep 2020	good
117.7	35.85	Asia/Shanghai	Dongdu	2016/06/28	average
-3.59625	5.27247	Africa/Abidjan	Bonoua	2019-04-07	average
70.96699	30.46907	Asia/Karachi	Kot Addu	2014-09-10	maintenance
72.54566	29.69221	Asia/Karachi	Hasilpur	12/06/2021, 00:00:00	average
-71.06616	42.4251	America/New_York	Malden	2020/04/03	good
76.11996	11.12018	Asia/Kolkata	Manjeri	07/27/2018, 00:00:00	accep
77.656	28.71271	Asia/Kolkata	Pilkhua	02 Sep 2014	good
133.42825	45.47885	Asia/Vladivostok	Lesozavodsk	2016-05-02	accep
-69.96533	43.91452	America/New_York	Brunswick	2018/06/12	accep
24.43973	0.76755	Africa/Lubumbashi	Yangambi	01/16/2021, 00:00:00	average
86.59509	26.11527	Asia/Kolkata	Supaul	10 Jul 2020	accep
74.80555	34.08565	Asia/Kolkata	Srinagar	03/30/2017, 00:00:00	average
5.74861	52.71083	Europe/Amsterdam	Emmeloord	2012-10-30	maintenance
-86.57415	15.48131	America/Tegucigalpa	Olanchito	2017/01/24	building
2.44892	48.98693	Europe/Paris	Gonesse	2015-02-26	accep
83.36889	26.76628	Asia/Kolkata	Gorakhpur	07/22/2022, 00:00:00	good
139.55722	36	Asia/Tokyo	Okegawa	01/12/2018, 00:00:00	average
71.57737	21.53889	Asia/Kolkata	Gariadhar	26 Jul 2022	good
-37.65	-10.91722	America/Maceio	Lagarto	2016/12/03	average
-73.9614	10.15031	America/Bogota	El Copey	2015-12-20	excellent
51.49621	36.64852	Asia/Tehran	Nowshahr	2019/07/11	accep
69.01354	38.55632	Asia/Dushanbe	Vahdat	25 May 2022	good
73.97117	31.96258	Asia/Karachi	Naushahra Virkan	01 Jun 2013	excellent
51.49621	36.64852	Asia/Tehran	Nowshahr	2020/12/10	acceptable
-0.91979	51.42708	Europe/London	Lower Earley	01/03/2014, 00:00:00	maintenance
-74.13653	40.63316	America/New_York	Port Richmond	2013-05-10	average
-97.50417	25.87972	America/Matamoros	Heroica Matamoros	06/07/2016, 00:00:00	excellent
30.91105	3.02013	Africa/Kampala	Arua	2019-05-25	maintenance
-77.37331	37.60876	America/New_York	Mechanicsville	2019/08/02	good
117.33333	34.85	Asia/Shanghai	Taozhuang	2013-04-03	average
25.8191	53.5942	Europe/Minsk	Novogrudok	05/10/2022, 00:00:00	good
9.15214	49.97704	Europe/Berlin	Aschaffenburg	07/19/2019, 00:00:00	average
-74.28459	40.5576	America/New_York	Woodbridge	19 May 2018	average
-80.08199	35.88264	America/New_York	Thomasville	2021/03/07	excellent
-73.9614	10.15031	America/Bogota	El Copey	2018-06-29	good
69.01354	38.55632	Asia/Dushanbe	Vahdat	2020-03-30	average
129.96972	33.4425	Asia/Tokyo	Karatsu	2013/10/12	accep
114.51667	33.78333	Asia/Shanghai	Wacheng	02 Jan 2022	good
-56.52361	-33.38056	America/Montevideo	Durazno	2018-07-18	average
-5.682	5.84752	Africa/Abidjan	Lakota	2017-09-17	good
88.28637	23.07492	Asia/Kolkata	Pandua	2016/08/12	building
-81.38758	30.17746	America/New_York	Palm Valley	24 Aug 2017	average
8.51667	51.88333	Europe/Berlin	Verl	2022/03/06	good
-101.2591	21.01858	America/Mexico_City	Guanajuato	2018-11-14	building
-1.29772	50.76306	Europe/London	Cowes	2013/07/01	average
106.85417	-6.48167	Asia/Jakarta	Cibinong	2016-08-18	good
-86.19903	11.84962	America/Managua	Jinotepe	2021-08-11	building
8.77155	50.23019	Europe/Berlin	Karben	2020-08-07	accep
30.79165	-27.76952	Africa/Johannesburg	Vryheid	07/01/2015, 00:00:00	excellent
-67.15407	18.42745	America/Puerto_Rico	Aguadilla	12/21/2014, 00:00:00	excellent
122.22833	40.66482	Asia/Shanghai	Yingkou	21 Nov 2012	accep
-7.35	53.53333	Europe/Dublin	An Muileann gCearr	2020-08-31	good
128.62667	34.8825	Asia/Seoul	Sinhyeon	2018-01-28	maintenance
144.23058	-5.85746	Pacific/Port_Moresby	Mount Hagen	03/23/2016, 00:00:00	excellent
2.29275	48.79325	Europe/Paris	Fontenay-aux-Roses	28 Jan 2014	good
-82.07842	26.91756	America/New_York	Punta Gorda Isles	2019/07/08	accep
-115.98391	36.20829	America/Los_Angeles	Pahrump	15 Sep 2021	accep
-2.98884	43.32686	Europe/Madrid	Leioa	2013/06/07	accep
40.74357	37.31309	Europe/Istanbul	Mardin	2016-04-03	accep
125.21972	-8.99167	Asia/Dili	Maliana	11/02/2018, 00:00:00	average
-75.87877	5.6561	America/Bogota	Andes	11/17/2014, 00:00:00	accep
99.89166	15.46063	Asia/Bangkok	Thap Than	15 Nov 2017	average
-120.00865	46.32374	America/Los_Angeles	Sunnyside	2014/12/21	accep
