O3	C2H3NO5	NH3	PM2.5	CFCs	PAHs	PM10	CH4	warning	longitude	CO	Pb	PRES	NOx	latitude	H2CO	TEMP	SO2
8.58723	5.18519	10.39240	4.57647	81.30489	5.57028	4.24931	5.59489	0.00000	-98.1664	7.34214	49.58335	1053.86267	7.32897	19.32932	58.46858	7.27638	7.27696
5.29915	5.47332	3.60526	4.26651	63.95560	5.12814	6.93813	5.57211	0.00000	86.59509	6.21808	41.34012	1126.19732	4.82943	26.11527	40.85126	4.66161	6.41830
7.44047	7.34586	7.18153	6.61528	66.94924	9.17756	6.69700	6.38767	1.00000	-83.55521	6.38257	52.36573	1073.74562	8.68691	41.66394	35.71139	8.29278	8.54317
3.48898	6.29453	10.95332	6.27842	52.09053	8.26378	6.10088	6.02272	1.00000	86.59509	1.46698	34.61164	1090.61847	7.83133	26.11527	57.73264	32.44021	7.61365
4.50001	5.78220	10.28687	6.15255	53.35766	4.98601	6.34994	5.99028	0.00000	139.55722	4.45379	28.41184	1121.47332	10.11965	36	34.06818	17.76349	3.64264
6.01548	6.81222	9.40207	5.85060	56.94359	3.27764	7.22877	6.73006	0.00000	-7.95	4.58724	44.33134	1157.62556	7.05485	53.43333	56.29241	23.69905	5.73614
5.47856	4.74165	3.01083	4.97594	61.15414	3.23818	6.67821	6.07540	0.00000	121.06761	11.67262	55.39377	1141.20048	7.10924	12.35275	47.38423	17.08278	9.15560
8.26487	3.75355	3.55357	6.13830	47.21210	6.04737	5.91610	5.21344	1.00000	-5.682	7.30851	58.42175	1191.30936	4.42241	5.84752	42.62730	14.39670	3.60982
8.03998	3.40735	7.66127	5.19806	65.56617	6.53421	6.82089	7.43121	0.00000	17.58522	6.94533	46.91521	1052.67682	8.04329	40.53123	58.80576	18.59054	10.97206
3.41876	7.14909	6.63898	5.87071	69.25833	3.00551	6.64522	6.26435	0.00000	4.74161	5.80980	42.32210	1064.87080	7.62910	7.62789	67.88223	18.52438	4.97314
10.43297	6.05645	2.29651	6.60126	53.68128	3.23586	5.64506	5.46210	1.00000	-82.35176	6.75677	60.30006	1068.15389	3.81088	27.71809	53.63891	19.23506	5.40362
7.91210	5.57692	8.39085	7.99674	53.81835	4.62242	6.57474	6.58391	0.00000	42.7125	6.92482	38.46629	1170.88381	9.07465	11.15583	50.64743	20.53316	9.22672
7.26973	5.51479	7.66847	7.50047	44.45017	5.43951	6.59776	7.26866	0.00000	-121.75689	8.37842	48.71517	1077.32950	7.24302	36.91023	12.16847	10.54959	7.71708
4.80925	5.63447	8.15181	6.47404	66.16884	9.15727	5.60827	5.65399	1.00000	-91.73625	4.06513	51.44829	1086.89945	7.68080	35.25064	57.97387	-5.05018	7.55146
2.52407	5.53388	5.19036	7.06791	51.53953	5.92968	6.09054	6.31788	0.00000	99.96667	6.58791	42.54967	1154.30296	8.97074	8.43333	52.74243	20.81559	4.52487
4.54549	3.82050	9.98219	6.30912	63.01790	7.58941	4.73128	7.71830	1.00000	109.05389	3.73210	38.85239	1101.13609	8.40921	-7.51611	56.36339	5.79257	8.74751
6.79584	5.71419	9.08347	6.06205	55.01973	9.58778	7.47356	7.21615	1.00000	8.91229	4.82782	65.56072	1055.20519	9.32447	49.13645	59.87671	15.44002	7.30867
3.70961	7.00358	7.81192	6.67255	48.49581	7.70102	6.27548	3.74473	1.00000	3.39467	3.79770	29.07141	1171.15582	6.54480	6.45407	37.74354	6.91436	8.09290
5.94851	5.04506	5.54853	7.36909	41.75548	4.69357	5.90428	9.14592	0.00000	135.21667	3.80105	31.41043	1099.22728	5.36021	35.06667	26.80226	22.27205	6.25350
5.35879	9.21419	7.82275	6.60212	50.44922	5.59593	7.14762	6.40626	0.00000	-96.39774	6.86850	53.22294	1158.81881	8.36548	30.16688		30.01962	4.58440
3.78740	7.24871	5.80787	4.75560	49.97686	5.64984	6.73255	5.16216	0.00000	4.52514	5.92363	37.61793	1075.98163	7.91790	12.74482	54.32679	17.64682	4.57673
5.15151	3.94056	7.28327	6.16770	65.36342	4.48412	5.01241	6.01428	0.00000	124.84472	4.07493	37.09066	1069.01125	7.27258	10.13361	66.56425	39.69746	5.41458
5.36556	7.97268	5.94539	6.56416	52.88551	5.82036	7.14520	5.75796	1.00000	-7.35	8.66363	58.97278	1102.24606	3.77068	53.53333	39.79919	24.03347	5.38158
8.53532	3.89104	3.98382	7.94267	33.96506	4.16874	5.66694	4.42385	1.00000	10.98461	7.17601	40.16871	1183.03879	5.22542	48.35693	68.82463	13.49583	5.30696
4.76961	5.84331	9.71608	7.01385	41.83017	4.12267	6.03687	6.09021	0.00000	-119.27337	4.54663	64.90920	1102.23345	9.34863	50.26729	56.51747	-3.20794	4.52730
6.67422	7.21902	9.15106	7.40226	17.01814	6.50895	7.31022	8.28626	0.00000	16.91667	7.49578	44.83616	1086.14518	7.69906	-21.98333	34.04159	21.43852	7.41513
6.61668	4.80168	5.51613	6.81940	46.02860	6.51501	4.94880	5.90378	1.00000	-86.11084	7.30771	28.54228	1086.18277	5.82789	41.75338	61.78727	22.35490	4.39880
2.83540	12.28055	9.78997	6.46269	45.97255	6.63872	8.36698	8.09841	1.00000	8.77155	4.47099	56.58722	1186.07031	9.14122	50.23019	32.65118	-0.85191	7.09623
9.17167	4.82848	9.86971	6.15104	47.62235	5.04291	5.92996	6.08401	0.00000	75.06583	6.00779	45.06038	1077.47725	8.25900	32.17629	45.47573	4.18662	8.01369
7.42628	8.25301	8.11592	5.61424	59.08601	12.19982	6.80365	9.11345	1.00000	8.77155	5.70069	45.17784	1124.66470	9.41153	50.23019	45.21539	30.34191	8.14312
4.29274	4.74770	6.34054	6.54046	50.36338	7.01144	6.49223	5.81541	1.00000	-82.07842	6.14596	50.72943	1147.46211	6.89894	26.91756	51.78628	8.71846	6.77813
7.02495	6.07257	5.37849	7.59853	45.23868	5.61577	5.44840	4.94714	1.00000	83.36889	7.78108	58.40095	1135.35131	4.46466	26.76628	47.08376		5.05615
7.60542	3.17847	2.22748	5.56445	33.14827	4.42915	5.86220	6.91318	1.00000	31.33078	7.28785	45.62779	1066.25735	4.10345	47.56494	53.37815	35.76940	3.69778
5.76563	6.89952	9.90208	7.13292	32.60494	9.53779	6.73514	5.03692	1.00000	69.01354	2.69061	34.47632	1059.14587	8.53421	38.55632	37.35753	20.31935	7.75116
9.48691	5.64099	11.07829	5.36407	25.11387	6.17116	7.27048	6.43187	0.00000	10.18003	5.32018	61.92435	1149.55601	7.91111	24.96334	71.06320	19.79621	7.01657
3.42265	8.14824	6.59460	5.78598	33.03227	4.30081	7.28753	5.85731	0.00000	35.90057	5.78241	40.59574	1117.08629	8.00662	56.85836	46.43565	3.85835	4.93943
8.80784	5.40105	8.10258	5.76733	26.80422	4.62736	6.06623	5.02892	0.00000	51.49621	6.85306	57.27841	1146.06052	7.86764	36.64852	53.70789	26.31923	7.93085
5.92347	6.19693	6.37951	6.93710	65.00218	9.92259	6.69900	5.30088	1.00000	-74.13653	7.02696	29.39703	1132.54945	8.61141	40.63316	39.13520	22.35604	7.82154
5.43965	6.96091	8.42125	6.30523	42.97522	3.85205	6.76385	5.14343	0.00000	-104.22884	4.09507	51.32872	1099.15265	6.91765	32.42067	36.14991	18.63466	5.40435
4.18594	6.97564	5.90829	6.70169	58.80431	7.29472	6.32800	5.36362	1.00000	-77.96389	7.27973	40.28932	1103.47641	6.66061	39.45621	43.03331	21.90245	9.92125
5.97647	5.08013	6.89071	6.17380	69.22013	5.04900	5.76049	7.49316	0.00000	-104.22884	9.91664	52.29404	1080.18397	7.32369	32.42067	64.20538	6.97562	6.75477
5.10932	8.04232	11.19124	7.41614	67.92824	7.95724	7.10677	4.36979	1.00000	-105.11221	2.66108	45.17713	1138.50162	9.44430	39.57582	64.92604	5.13587	6.61520
9.98973	8.72939	9.24405	6.87484	61.29007	5.32138	7.37210	6.50645	0.00000	38.94324	5.98138	47.53698	1115.33328	7.34678	44.98901	44.82063	9.93048	7.85335
8.51587	8.70152	8.38192	5.83797	12.28156	5.01657	7.29479	5.39088	0.00000	29.24152	5.00467	47.66997	1187.76657	9.25014	-26.93366	29.37361	0.94331	8.16963
6.87750	4.14566	3.95219	5.72841	49.03220	4.31814	6.51323	6.23208	1.00000	1.53414	7.21481	29.37213	1195.13162	3.98963	42.50729	35.20838	7.81931	5.88707
4.81657	2.76747	8.03367	5.80081	69.18192	9.59324	7.22121	7.72845	1.00000	14.34085	4.99032	41.54685	1170.52503	7.46473	40.87363	57.11470	12.15238	9.84059
3.69925	6.06013	7.67698	7.75419	26.88618	5.94537	6.36679	6.67787	1.00000	37.99117	5.26767	53.92007	1180.95330	7.76795	44.92934	55.23203	17.72668	8.24125
4.05599	8.24819	8.57165	6.71176	73.49757	8.58896	7.27324	7.22341	1.00000	-82.35176	5.07143	39.43540	1082.91095	7.47425	27.71809	48.14857	26.41127	9.44716
3.87499	5.99136	5.00918	6.44797	31.57467	5.40821	6.23305	5.23759	1.00000	3.87723	7.05300	60.01218	1063.02836	6.40838	43.61092	59.36680	17.56510	7.08707
5.23193	8.25562	7.99289	6.26416	45.73367	4.45063	7.08935	6.20709	0.00000	-77.37331	9.34785	58.08431	1081.24392	8.42092	37.60876	63.48661	24.87873	7.34967
8.50613	9.68653	8.00009	7.50654	42.32082	4.25542	7.81668	5.08664	0.00000	14.30935	6.46661	37.10732	1197.98962	8.23610	40.92298	29.14698	0.95579	8.39648
7.35169	12.39637	6.88908	5.32867	35.61840	5.08356	8.19795	6.92797	0.00000	-0.32247	7.21489	22.18897	1053.26454	7.00507	50.82882	32.45536	7.78540	5.17576
2.85767	4.74520	8.07917	5.65139	68.14585	7.10854	5.49815	5.82181	1.00000	-44.31389	2.90418	48.37642	1115.73411	6.90806	-19.7625	48.55256	19.88717	5.32615
8.04323	5.86505	7.95922	7.56019	78.35003	5.53300	7.18886	3.74555	0.00000	-68.30472	7.33472	52.15337	1154.44265	7.52590	9.91861	30.73617	8.76012	8.44938
7.46303	6.02877	5.95880	6.93809	60.66776	4.79083	6.82129	6.91777	1.00000	136.13108	8.65587	47.96596	1139.40463	4.69700	34.75856	38.09831	14.07018	5.67653
5.43668	6.58097	7.39680	5.31606	64.56070	3.40808	6.44869	6.12770	0.00000	117.63083	6.68665	76.03504	1172.08295	6.57987	35.50056	65.52669	14.59660	6.14289
7.44090	7.51701	4.43373	7.32886	32.50837	4.83693	6.37969	6.92780	1.00000	-122.39168	7.31563	35.65562	1189.05760	5.02197	40.58654	42.66287	6.16404	5.48135
8.63388	6.01116	5.00932	8.16921	50.68823	5.67947	6.71711	6.90531	1.00000	43.91385	7.21573	41.93650	1190.98298	5.33538	54.03876	46.31874	9.32234	4.49305
7.29404	7.48746	6.35634	6.35195	35.88268	5.12000	6.73420	7.23002	1.00000	-82.07842	8.90540	41.17640	1069.36402	3.99373	26.91756	47.41509	21.50525	6.57923
5.46503	5.28052	10.42276	6.47027	60.25923	5.85770	5.33919	7.21244	0.00000	-13.68778	4.28145	35.86975	1084.98520	9.20283	9.535	69.08330	17.53400	3.68049
9.21778	6.00445	8.77564	7.76179	72.63438	7.18353	6.66703	6.20055	0.00000	68.49143	4.81182	60.24854	1143.15629	8.27637	25.80565	53.76836	30.74780	9.91869
4.87643	7.16470	10.18104	4.83408	58.26548	8.75714	6.91306	6.66103	1.00000	8.91229	3.39695	22.13418	1124.76565	9.77857	49.13645	54.81397	20.87551	6.91000
6.07998	6.12953	9.23706	6.68718	45.66879	9.81174	6.70969	7.16150	1.00000	122.22833	3.15878	59.21396	1139.07289	8.67045	40.66482	50.59111	16.00982	6.93515
6.01305	6.16300	8.60265	7.17276	38.07317	9.21977	6.52676	5.56196	1.00000	-111.90466	5.40708	54.68242	1141.00261	8.15733	40.34912	72.03159	-0.07087	9.17487
5.05581	7.57791	10.03273	6.13751	63.92034	4.52277	6.39994	5.91420	0.00000	14.30935	4.65247	36.67746	1096.39256	8.78036	40.92298	57.58153	10.82625	4.34076
7.18305	7.57781	4.22411	6.46578	41.47098	5.38454	7.14334	7.90639	1.00000	37.55	7.50302	58.00786	1086.86486	5.31220	6.03333	28.88616	7.96540	2.91497
8.52104	16.59532	4.07300	5.57571	85.20252	6.37033	8.55344	5.31302	1.00000	-100.44843	9.09030	40.25488	1160.91056	3.73231	20.74122	49.92188	1.92203	1.89217
7.43682	7.54262	5.22598	7.00671	48.72731	5.67447	7.09667	5.29536	1.00000	-7.35	8.54783	41.43759	1069.50598	4.18134	53.53333	31.23736	14.51437	4.26472
4.47619	1.58739	6.87075	6.44016	54.22832	5.47638	5.22658	5.68544	1.00000	-87.45476	6.33039	25.77496	1188.32237	7.19511	41.47892	36.97196	5.19310	8.97437
6.41691	8.53301	4.21273	6.95306	54.83071	6.20905	6.92243	7.27191	1.00000	-101.2591	6.04713	36.20959	1111.55794	6.27955	21.01858	42.87075	21.64582	3.25300
5.95127	8.07628	6.86024	4.32525	17.93149	7.50333	6.47904	6.50681	1.00000	-76.78319	7.41770	50.14326	1107.83554	8.19762	18.00747	21.59546	13.86041	8.53466
5.69114	5.41090	8.00395	6.19020	49.62675	9.64783	6.89255	8.49549	1.00000	117.7	4.92675	58.49567	1101.64796	8.54904	35.85	68.27063	8.70865	7.49621
9.97666	4.73895	2.68500	7.06629	27.70215	4.47137	4.71713	7.03383	1.00000	76.03889	6.21458	39.75332	1063.67635	5.54786	18.18158	53.18547	-0.80691	3.63069
7.85422	6.74136	5.26768	6.05850	50.45929	3.94299	6.91362	6.30208	1.00000	76.0586	8.17212	38.14498	1065.09674	5.16841	16.06213	59.83480	32.77607	5.66433
7.02999	5.68743	5.79919	6.53655	56.86967	5.36810	4.25649	7.10413	1.00000	-70.6996	8.51837	48.47858	1114.90510	3.57456	-33.59217	27.56777	26.76971	5.52714
4.39487	8.76104	3.50017	7.23381	54.49846	5.08528	7.11096	5.77940	1.00000	97.01124	6.87582	34.06101	1097.20841	4.96614	17.30858	62.92071	-1.96112	6.35594
5.79650	5.30726	6.49833	6.63738	55.12564	4.65407	6.93256	5.87228	0.00000	37.92792	4.95740	57.35390	1130.22791	5.79853	53.93361	45.73125	3.11686	6.07020
8.29449	5.30773	5.56646	4.35040	62.15482	5.61592	4.28990	5.04884	1.00000	25.8191	8.79159	65.19375	1141.00226	3.93214	53.5942	32.20453	31.90719	4.17685
4.64254	3.78263	7.26640	5.68027	59.11508	4.94903	5.94990	5.48741	1.00000	6.76111	5.16191	40.76426	1161.85671	6.99944	53.16167	56.99755	27.42738	7.48674
6.50510	6.22040	5.62371	6.38391	64.97005	8.12389	5.65645	7.06244	1.00000	139.55722	6.32094	41.68045	1156.21221	7.95077	36	66.53126	20.04404	6.43288
7.33084	5.52773	3.88204	6.23346	48.87418	5.61459	5.43238	6.03606	1.00000	48.41667	7.82420	50.68570	1108.61661	3.68947	-17.83333	65.70342	29.89573	3.83125
3.39710	4.14663	7.64162	6.13893	62.40743	5.04450	7.12281	6.84448	1.00000	35.90057	5.42153	40.66511	1109.76742	6.47870	56.85836	30.51516	10.98069	9.04541
5.25879	8.02353	8.10088	6.51860	45.15655	3.39413	6.41646	6.25764	0.00000	-7.35	5.05582	51.34463	1074.72066	7.08654	53.53333	32.34105	27.09285	5.78979
8.54044	4.54475	3.00273	7.36108	47.66794	4.71165	5.04105	6.33170	1.00000	8.91229	6.04626	39.76952	1106.73701	5.94052	49.13645	38.16956	20.03153	3.37499
8.73913	3.64312	9.42579	6.10429	70.56871	5.29518	5.25516	7.14239	0.00000	35.90057	6.07698	47.74185	1102.73401	8.29466	56.85836	74.27077	10.82448	7.81718
9.99096	5.95725	9.06469	6.90402	33.50422	5.33630	5.11962	7.89882	0.00000	92.48278	5.60819	43.94843	1187.74759	7.64364	58.23583	30.91302	18.22727	8.65554
6.82881	5.86935	4.43865	6.97379	29.63539	6.88089	4.43093	6.78765	1.00000	15.00835	6.30102	46.34239	1061.20361	6.87515	51.14942	48.54660	16.69960	5.35674
7.57902	7.75648	9.64348	6.33552	46.30337	4.97141	7.64935	7.47138	0.00000	9.22796	6.66955	39.77499	1051.97906	7.99500	48.46458	49.63569	15.10282	4.92266
8.66333	6.32307	4.99144	5.70207	39.29481	4.74574	7.06238	6.23851	1.00000	-75.87877	7.87094	34.40030	1086.12841	5.61384	5.6561	58.57514	15.44798	4.36539
6.33806	3.07218	7.05289	7.25106	54.89371	6.07185	6.06690	5.60215	1.00000	-70.6996	9.38430	56.30283	1073.28272	4.41987	-33.59217	22.43980	28.96415	5.53926
6.67801	5.07415	6.73185	7.19943	39.51214	4.16064	6.06566	5.92189	0.00000	-111.99633	8.89263	48.50047	1080.03633	7.98803	40.65995	57.03037	22.73936	7.97266
6.79256	7.31883	5.63267	6.99935	36.63132	10.08569	6.95222	6.27374	1.00000	-119.27337	5.16186	25.74280	1130.02358	6.96049	50.26729	51.37808	25.76518	6.45321
6.64843	6.36997	7.29974	5.16317	55.09023	4.94419	6.41872	5.23744	1.00000	-7.95	7.94605	47.50845	1187.65981	5.99518	53.43333	43.76707	6.18365	6.85797
6.21552	9.30878	6.32094	6.80109	31.77854	10.58684	7.26880	7.49807	1.00000	-89.66123	6.43690	32.87812	1190.97094	7.95358	21.28306	42.03434	34.62581	8.06471
5.82729	5.61237	7.06221	6.29217	64.08330	6.77354	6.05920	5.74166	1.00000	123.33471	9.07750	49.68010	1098.09464	4.44681	8.56697	65.33146	24.34442	5.00870
7.81124	9.33150	2.91325	4.43343	62.96631	6.28516	7.75227	6.11428	1.00000	13.58357	7.06408	59.32144	1119.62527	4.44035	-1.63333	51.58562	23.90966	2.76757
5.36938	5.63958	9.37983	5.62139	43.36254	7.50574	6.37055	5.96384	0.00000	99.96667	3.96381	49.89866	1110.08637	7.90062	8.43333	50.27900	24.35751	8.34367
4.27937	5.36728	6.09886	6.49122	42.72242	4.60893	6.28373	6.98068	0.00000	48.41667	5.15675	47.12948	1127.27844	6.74657	-17.83333	89.43390	27.50969	5.38909
4.01983	4.59117	7.12405	7.24630	25.28028	7.76309	6.21362	6.73503	1.00000	35.90057	4.06378	56.22722	1149.01689	7.18884	56.85836	32.20102	19.18151	6.25347
5.80685	12.60896	7.29448	6.90089	60.07722	6.65375	8.05712	6.51066	1.00000	137.5	5.03520	56.77695	1119.77882	7.99609	34.9	45.43003	9.54997	5.60864
2.83095	12.96643	8.73715	6.30153	40.69225	5.51723	7.94296	5.21331	1.00000	-73.95097	3.56090	49.91107	1164.62463	7.34748	40.72371	47.18464	17.81596	7.40043
6.01232	6.01042	3.66676	6.75894	53.80755	6.56861	6.07660	7.27376	1.00000	113.82465	8.08013	44.93374	1163.70317	6.31738	23.29549	54.27633	18.61070	7.41686
4.04016	9.77930	6.52116	6.48741	72.36342	2.93843	7.47380	7.90843	0.00000	9.02596	4.74306	41.60452	1177.25100	7.15127	48.21644	69.40628	0.35988	6.32035
