longitude	revision	station	QoS	latitude	code
-1.99421	2020-05-19	Devizes	accep	51.35084	GB
-96.39774	2022/02/23	Brenham	excellent	30.16688	US
9.85	12 Apr 2016	Halstenbek	average	53.63333	DE
85.83636	2020-01-26	Dalsingh Sarai	average	25.66795	IN
-117.79394	2019-03-26	North Tustin	good	33.76446	US
86.51499	01 Jul 2013	Kenda	good	23.1959	IN
13.29371	2021-04-12	Charlottenburg-Nord	good	52.53048	DE
121.12251	03/01/2016, 00:00:00	Antipolo	excellent	14.62578	PH
130.57211	2020-09-12	Boli	good	45.75279	CN
120.74792	2013-12-20	Nanpiao	accep	41.09822	CN
48.41667	10/27/2015, 00:00:00	Ambatondrazaka	good	-17.83333	MG
121.12251	29 Oct 2020	Antipolo	accep	14.62578	PH
85.83334	23 Sep 2019	Bhuban	accep	20.88197	IN
120.14278	10 Jul 2013	Jiangyan	good	32.50611	CN
114.68333	01/14/2021, 00:00:00	Heyuan	excellent	23.73333	CN
113.69785	2013/02/05	Besuki	accep	-7.73379	ID
78.25795	01/01/2014, 00:00:00	Tiruppuvanam	maintenance	9.82564	IN
-2.09814	05/20/2017, 00:00:00	Aberdeen	average	57.14369	GB
-2.01111	06/18/2019, 00:00:00	Great Wyrley	average	52.66277	GB
9.00472	12/14/2020, 00:00:00	Idenao	accep	4.2475	CM
-82.61573	2014-09-03	Norwalk	good	41.24255	US
32.6178	2013-07-14	Kherson	accep	46.65581	UA
109.3243	2020/05/23	Randudongkal	building	-7.0981	ID
17.80774	2014/01/19	Mesagne	building	40.55851	IT
38.12408	01/07/2020, 00:00:00	Bogoroditsk	accep	53.77166	RU
107.60627	2019/09/02	Ulan-Ude	good	51.82721	RU
-94.41551	2022/09/23	Independence	average	39.09112	US
76.0586	2017/04/25	Hungund	excellent	16.06213	IN
-95.44744	03/11/2014, 00:00:00	Fresno	excellent	29.53885	US
5.03586	11/03/2012, 00:00:00	Cavaillon	maintenance	43.83125	FR
10.78222	2021/11/13	Beni Khiar	average	36.46917	TN
138.89585	2021-09-20	Annaka	good	36.33011	JP
79.5286	04/18/2017, 00:00:00	Haldwani	average	29.22254	IN
9.5586	2022-01-01	Schleswig	building	54.52156	DE
-39.25	2021/10/27	Muritiba	accep	-12.91667	BR
1.26738	06/05/2022, 00:00:00	Walton-on-the-Naze	excellent	51.84819	GB
68.21204	2020/12/08	Larkana	average	27.55898	PK
74.3092	09/28/2021, 00:00:00	Rajaori	maintenance	33.37526	IN
4.52529	24 Dec 2014	Rixensart	excellent	50.71229	BE
75.35927	2019-09-29	Talipparamba	accep	12.04161	IN
-97.92977	07/30/2022, 00:00:00	Hutchinson	average	38.06084	US
-63.90389	2019-01-06	Porto Velho	excellent	-8.76194	BR
38.01667	2018/06/06	Chanika	accep	-5.41667	TZ
8.4493	2018-04-17	Hofheim am Taunus	building	50.09019	DE
25.34244	2020-11-09	Lutsk	good	50.75932	UA
0.75	10/10/2020, 00:00:00	Thetford	maintenance	52.41667	GB
19.21437	07/10/2019, 00:00:00	Bijeljina	excellent	44.75874	BA
-105.36369	06 May 2021	Acaponeta	maintenance	22.49396	MX
113.82465	2015/07/11	Licheng	accep	23.29549	CN
27.25	12/25/2014, 00:00:00	Aytos	excellent	42.7	BG
24.99798	24 Mar 2017	Kamina	excellent	-8.73508	CD
32.6178	2016-02-17	Kherson	good	46.65581	UA
123.50266	02/08/2015, 00:00:00	Hushitai	average	41.94175	CN
-97.35992	2022/01/07	Teziutlan	good	19.8173	MX
-94.91386	22 Nov 2021	Acayucan	average	17.94979	MX
76.92421	2013-01-19	Izluchinsk	excellent	60.97944	RU
-111.99633	07 Jun 2019	Kearns	accep	40.65995	US
-0.18333	23 Mar 2019	Gandia	excellent	38.96667	ES
-86.77917	2017/08/16	Brentwood Estates	excellent	36.02506	US
-74.01042	22 Mar 2016	Newburgh	maintenance	41.50343	US
74.80555	2014-09-23	Srinagar	building	34.08565	IN
-56.52361	09 May 2016	Durazno	good	-33.38056	UY
139.55722	22 Jan 2018	Okegawa	accep	36	JP
33.2525	2020/04/20	Valday	excellent	57.97472	RU
3.16667	01/17/2017, 00:00:00	Wevelgem	good	50.8	BE
-6.03731	2020/02/13	San Juan de Aznalfarache	good	37.35813	ES
-73.99681	2022/09/02	Dumont	good	40.94065	US
47.1192	09 Dec 2019	Buynaksk	good	42.819	RU
30.2049	2021-08-18	Vitebsk	excellent	55.1904	BY
151.08057	2020-11-18	Eastwood	good	-33.79176	AU
68.49143	2015/07/24	Bhit Shah	average	25.80565	PK
48.41667	2014/01/24	Ambatondrazaka	excellent	-17.83333	MG
9.32241	2021/12/15	Chiavari	accep	44.31771	IT
-37.07167	17 Jun 2017	Aracaju	average	-10.91111	BR
-50.00639	2019-04-07	Palmeira	excellent	-25.42944	BR
10.58082	11/21/2016, 00:00:00	Msaken	excellent	35.72917	TN
-13.2356	12/18/2021, 00:00:00	Freetown	excellent	8.48714	SL
9.02596	07/22/2014, 00:00:00	Albstadt	maintenance	48.21644	DE
-119.0376	2020/01/01	Camarillo	average	34.21639	US
12.38878	06/01/2014, 00:00:00	Perugia	building	43.1122	IT
-77.55777	2019/07/03	Bon Air	average	37.52487	US
84.13864	09 May 2015	Jashpurnagar	building	22.88783	IN
22.53083	07/16/2021, 00:00:00	Negotin	good	44.22639	RS
88.18466	2020/03/20	Diamond Harbour	building	22.19303	IN
-87.65644	02/28/2014, 00:00:00	New City	good	41.80753	US
85.94001	2021-10-27	Teghra	good	25.49043	IN
88.58	11/22/2015, 00:00:00	Aistala	excellent	23.18	IN
-97.90308	25 May 2016	Copperas Cove	average	31.12406	US
113.82465	01/16/2020, 00:00:00	Licheng	building	23.29549	CN
2.25	10/20/2021, 00:00:00	Saint-Omer	average	50.75	FR
-73.9625	2016-04-11	Morningside Heights	accep	40.81	US
89.20083	2021/12/25	Sharypovo	accep	55.54028	RU
-93.75018	12/09/2019, 00:00:00	Shreveport	maitennce	32.52515	US
-42.98194	30 Mar 2019	Guapimirim	accep	-22.53722	BR
24.14662	03/16/2016, 00:00:00	Tornio	accep	65.84811	FI
-100.88023	2017/01/20	Salvatierra	accep	20.21322	MX
-0.91979	2014-04-24	Lower Earley	average	51.42708	GB
-122.86705	21 Jul 2019	Aloha	good	45.49428	US
9.20427	2014/05/26	Reutlingen	maintenance	48.49144	DE
115.04814	06/08/2020, 00:00:00	Huangshi	accep	30.24706	CN
135.21667	2016/06/17	Sasayama	excellent	35.06667	JP
-71.8023	2019/12/13	Fitchburg	excellent	42.58342	US
98.19151	09/13/2017, 00:00:00	Dawei	good	14.0823	MM
29.24152	2019/07/03	Standerton	average	-26.93366	ZA
19.91667	2016/04/16	Luena	building	-11.78333	AO
84.13864	24 Jun 2022	Jashpurnagar	accep	22.88783	IN
9.85	11 Apr 2022	Halstenbek	average	53.63333	DE
-74.15987	04/05/2015, 00:00:00	Nutley	excellent	40.82232	US
-95.36969	2013/02/08	Muskogee	average	35.74788	US
115.8614	09/10/2020, 00:00:00	Perth	average	-31.95224	AU
16.50104	08/24/2014, 00:00:00	Bisceglie	good	41.24264	IT
-48.52333	2022-03-30	Soure	building	-0.71667	BR
37.73333	2016-06-13	Same	average	-4.06667	TZ
24.14662	21 Sep 2021	Tornio	excellent	65.84811	FI
-69.08333	2015/03/05	Yunguyo	average	-16.25	PE
13.32127	11 Aug 2021	Wittenau	good	52.59319	DE
53.47103	16 Feb 2017	Oktyabr’skiy	excellent	54.48147	RU
-120.00865	2022-02-24	Sunnyside	excellent	46.32374	US
-117.14392	2012-12-21	Mira Mesa	excellent	32.9156	US
19.61222	07 Apr 2021	Sremska Mitrovica	excellent	44.97639	RS
-102.36764	2019/05/20	Odessa	maintenance	31.84568	US
73.06784	01/09/2015, 00:00:00	Sheoganj	excellent	25.13915	IN
75.96976	2017/12/24	Gajendragarh	building	15.73628	IN
-1.4001	2018-11-26	Mampong	good	7.06273	GH
11.04979	27 May 2015	Castelfranco Emilia	accep	44.59445	IT
117.65694	02/05/2019, 00:00:00	Laiwu	maintenance	36.19278	CN
7.20769	2013-12-28	Siegburg	accep	50.80019	DE
-119.48568	07/26/2013, 00:00:00	Kelowna	average	49.88307	CA
-73.75513	10 Aug 2022	Far Rockaway	maintenance	40.60538	US
-58.44417	2021-02-22	Itacoatiara	maintenance	-3.14306	BR
2.59753	15 Mar 2018	Tchaourou	excellent	8.88649	BJ
42.7125	2015-01-23	'Ali Sabieh	excellent	11.15583	DJ
39.85331	2021-01-25	Gavrilov-Yam	good	57.30185	RU
-73.97069	02/15/2020, 00:00:00	Kensington	accep	40.64621	US
117.4831	24 Jun 2013	Shaowu	building	27.34089	CN
86.79271	2017/05/07	Madhipura	average	25.92127	IN
105.89333	17 Aug 2019	Beidao	maintenance	34.56861	CN
-88.81395	06/06/2014, 00:00:00	Jackson	excellent	35.61452	US
38.2739	21 Jan 2014	Yeysk	accep	46.7055	RU
146.05093	2022-06-22	Griffith	accep	-34.28853	AU
-5.55835	2013-03-31	Villaquilambre	average	42.64685	ES
56.36091	2021/11/14	Saraktash	average	51.78771	RU
140.11667	10/20/2015, 00:00:00	Inawashiro	excellent	37.56667	JP
17.4674	08/25/2017, 00:00:00	Brzeg	accep	50.86079	PL
-84.67837	02/13/2021, 00:00:00	Acworth	good	34.06635	US
-76.43941	10/04/2021, 00:00:00	Middle River	building	39.33427	US
-91.11667	29 Sep 2021	Chichicastenango	good	14.93333	GT
-84.13722	02 Dec 2019	San Rafael	good	9.92787	CR
-82.90375	2014-12-03	Dublin	accep	32.54044	US
100.24529	2021/11/01	Batu Feringgi	accep	5.4709	MY
-122.40433	29 Aug 2016	Visitacion Valley	average	37.71715	US
-75.60804	2014/06/25	West Chester	average	39.96097	US
2.18967	07/19/2015, 00:00:00	Rueil-Malmaison	excellent	48.8765	FR
12.6723	19 Jan 2015	Ariccia	accep	41.72063	IT
-80.08199	2018/11/28	Thomasville	average	35.88264	US
74.80555	11/09/2019, 00:00:00	Srinagar	average	34.08565	IN
5.4384	2014/05/08	Marseille 11	average	43.2907	FR
122.05228	04/18/2015, 00:00:00	Tianfu	excellent	37.19723	CN
13.63617	2013-06-22	Most	accep	50.50301	CZ
82.85749	15 Nov 2017	Elamanchili	maintenance	17.54907	IN
69.67639	18 Jan 2020	Parkent	good	41.29444	UZ
48.26258	11 Mar 2016	Aleshtar	building	33.86419	IR
-76.43941	07/26/2022, 00:00:00	Middle River	maintenance	39.33427	US
-52.67056	2021-08-06	Pato Branco	good	-26.22861	BR
-13.2356	2019/07/26	Freetown	maintenance	8.48714	SL
34.02537	2014/11/15	Aksaray	good	38.37255	TR
72.93924	11/15/2020, 00:00:00	Uran	average	18.87813	IN
-102.36764	2015-05-29	Odessa	good	31.84568	US
12.53463	2021/09/22	Frederiksberg	accep	55.67938	DK
-42.98194	05 Apr 2021	Guapimirim	good	-22.53722	BR
2.18247	2013-10-31	el Camp de l'Arpa del Clot	accep	41.41204	ES
-75.60804	08/14/2015, 00:00:00	West Chester	excellent	39.96097	US
140.73667	21 May 2018	Hakodate	maintenance	41.77583	JP
3.47717	2021/03/30	Boumerdas	accep	36.76639	DZ
-99.32556	08/29/2022, 00:00:00	San Lorenzo Acopilco	accep	19.32889	MX
-88.3162	2019-07-25	Crystal Lake	good	42.24113	US
-82.35176	14 Feb 2017	Sun City Center	excellent	27.71809	US
123.99333	2017-06-18	Sorsogon	good	12.97389	PH
-93.75018	2018-03-19	Shreveport	good	32.52515	US
79.41727	2012-10-31	Gingee	average	12.25282	IN
-118.10583	2013-09-09	San Gabriel	accep	34.09611	US
115.8614	12/26/2019, 00:00:00	Perth	good	-31.95224	AU
12.38878	13 Apr 2018	Perugia	excellent	43.1122	IT
-58.44417	2015/04/10	Itacoatiara	maintenance	-3.14306	BR
81.54855	06/30/2017, 00:00:00	Jais	accep	26.2649	IN
135.31667	13 Oct 2016	Iwade	excellent	34.25	JP
7.20769	2016-04-10	Siegburg	excellent	50.80019	DE
120.5875	17 Dec 2015	La Trinidad	excellent	16.455	PH
120.89694	2017/10/19	Baliuag	excellent	14.95472	PH
71.67164	2016/07/05	Qadirpur Ran	average	30.29184	PK
145.13643	11 Nov 2014	Frankston South	average	-38.16604	AU
6.74549	27 Jul 2019	Losheim	good	49.5099	DE
2.18967	2019-06-06	Rueil-Malmaison	building	48.8765	FR
111.73861	04/25/2017, 00:00:00	Changzhi	excellent	35.20889	CN
37.49338	12 Dec 2016	Tyoply Stan	average	55.62047	RU
-94.91386	08/13/2015, 00:00:00	Acayucan	good	17.94979	MX
2.44892	2022-04-13	Gonesse	excellent	48.98693	FR
85.83636	04 Sep 2021	Dalsingh Sarai	good	25.66795	IN
-3.53261	2016/01/12	San Fernando de Henares	good	40.42386	ES
76.11996	09 Apr 2022	Manjeri	maintenance	11.12018	IN
-37.65	2018-12-14	Lagarto	building	-10.91722	BR
39.25	2018/01/09	Magomeni	building	-6.8	TZ
-45.94722	2021-09-25	Alfenas	average	-21.42917	BR
38.16694	29 Jan 2022	Kashira	good	54.84444	RU
-7.32097	26 Sep 2016	Custoias	accep	41.1053	PT
112.01667	03/03/2020, 00:00:00	Kediri	accep	-7.81667	ID
-100.44843	02/04/2016, 00:00:00	Santa Rosa Jauregui	building	20.74122	MX
-1.32471	2012/12/30	Newbury	building	51.40148	GB
-71.8023	11 Nov 2020	Fitchburg	acceptable	42.58342	US
24.43973	06/05/2022, 00:00:00	Yangambi	good	0.76755	CD
-60.93173	2017/10/04	Esperanza	accep	-31.4488	AR
77.5609	10/18/2014, 00:00:00	Kangayam	average	11.00599	IN
-3.59625	06 Dec 2019	Bonoua	maintenance	5.27247	CI
85.37752	06/05/2013, 00:00:00	Barbil	excellent	22.10194	IN
117.59152	2017-07-03	Tarakan	excellent	3.31332	ID
43.83992	10/02/2012, 00:00:00	Arzamas	average	55.39485	RU
-97.50417	2016/07/30	Heroica Matamoros	accep	25.87972	MX
83.62389	2020-09-12	Novosilikatnyy	excellent	53.30972	RU
-1.98956	2022-01-16	Tarkwa	excellent	5.30383	GH
38.01667	2015/04/05	Chanika	good	-5.41667	TZ
59.80222	07 Aug 2021	Lesnoy	good	58.63667	RU
-84.23381	2021/01/13	Stockbridge	good	33.54428	US
-73.47429	05 Nov 2016	Massapequa	accep	40.68066	US
126.835	02/15/2017, 00:00:00	Goyang-si	excellent	37.65639	KR
85.83334	2015/01/01	Bhuban	average	20.88197	IN
-42.98194	05 Jun 2021	Guapimirim	building	-22.53722	BR
-78.19444	02/03/2020, 00:00:00	Front Royal	building	38.91817	US
38.94324	2018/07/29	Yablonovskiy	accep	44.98901	RU
31.4976	01/16/2015, 00:00:00	Juhaynah	good	26.67319	EG
41.77921	17 May 2015	Kobuleti	accep	41.82143	GE
15.16554	2016/07/17	Kasangulu	excellent	-4.5833	CD
35.23388	2014/12/28	East Jerusalem	good	31.78336	PS
1.15597	19 Apr 2014	Clacton-on-Sea	good	51.78967	GB
100.48528	01 Jun 2016	Bang Ban	maintenance	14.37395	TH
-84.67837	03/22/2015, 00:00:00	Acworth	maintenance	34.06635	US
3.39467	2019/10/13	Lagos	excellent	6.45407	NG
13.10984	2018/06/12	Oschatz	excellent	51.30001	DE
-119.27337	2019/05/29	Vernon	good	50.26729	CA
37.92792	12/26/2017, 00:00:00	Kireyevsk	good	53.93361	RU
13.10984	2017-11-06	Oschatz	average	51.30001	DE
126.28333	2014/01/24	Shuangcheng	excellent	45.35	CN
-74.73584	02/25/2022, 00:00:00	Honda	average	5.20856	CO
-84.50855	2016/03/19	Covington	average	39.08367	US
124.84472	2021-03-25	Maasin	good	10.13361	PH
-83.48216	2016/12/08	Canton	excellent	42.30865	US
-73.20483	2020-06-18	Bridgeport	average	41.16704	US
-2.98884	17 May 2020	Leioa	excellent	43.32686	ES
141.95	2017/11/07	Yamada	maintenance	39.46667	JP
30.2049	09/12/2013, 00:00:00	Vitebsk	average	55.1904	BY
-77.02303	2015-12-01	Fort Washington	accep	38.70734	US
31.4976	05 Mar 2014	Juhaynah	building	26.67319	EG
120.5875	03 May 2017	La Trinidad	excellent	16.455	PH
-61.51889	2018/08/11	Port of Spain	maintenance	10.66668	TT
35.96944	04 Dec 2017	Volokolamsk	building	56.03361	RU
-2.09814	2015/11/24	Aberdeen	maintenance	57.14369	GB
3.20639	10/03/2017, 00:00:00	Mouscron	accep	50.74497	BE
135.6	02 Oct 2021	Yao	maintenance	34.61667	JP
-43.80139	12/12/2013, 00:00:00	Itabirito	good	-20.25333	BR
73.06784	27 May 2017	Sheoganj	accep	25.13915	IN
-79.2663	07/01/2018, 00:00:00	Markham	average	43.86682	CA
9.37082	2020-01-30	Siliana	excellent	36.08497	TN
30.28491	2022-03-24	Kolomyagi	average	60.02427	RU
13.58357	10/06/2018, 00:00:00	Franceville	good	-1.63333	GA
34.8732	03 Dec 2020	Ganei Tikva	building	32.05971	IL
141.95	2016/09/15	Yamada	good	39.46667	JP
-77.03116	21 Dec 2016	Buenaventura	building	3.8801	CO
-82.42491	2022/05/09	Port Huron	good	42.97086	US
-1.60452	24 Jun 2019	Tudela	excellent	42.06166	ES
120.4861	2014/06/16	Manaoag	average	16.0438	PH
-74.07764	01/18/2013, 00:00:00	Jersey City	building	40.72816	US
145.06667	29 Oct 2013	Carnegie	good	-37.88333	AU
-91.58045	02/21/2019, 00:00:00	Coralville	good	41.6764	US
33.2525	2021-09-21	Valday	accep	57.97472	RU
17.8031	2018-07-31	Hlohovec	excellent	48.43174	SK
123.50266	2021/04/17	Hushitai	accep	41.94175	CN
5.23333	06/04/2020, 00:00:00	Zeist	accep	52.09	NL
-81.38758	2021-06-12	Palm Valley	accep	30.17746	US
5.22778	2022/06/05	Culemborg	accep	51.955	NL
10.7	15 Dec 2014	Tonga	accep	4.96667	CM
118.9707	21 Mar 2013	Majene	good	-3.5403	ID
136.61667	01/31/2014, 00:00:00	Nonoichi	excellent	36.53333	JP
85.4265	09 Jul 2015	Yashkino	maintenance	55.8736	RU
13.29371	10/07/2016, 00:00:00	Charlottenburg-Nord	maintenance	52.53048	DE
141.95	02/20/2019, 00:00:00	Yamada	accep	39.46667	JP
116.11768	2021-06-07	Meizhou	excellent	24.28859	CN
9.72749	2020-01-14	Ehingen	accep	48.28259	DE
7.973	2017/05/13	Finnentrop	accep	51.168	DE
42.85693	2013-02-07	Patnos	excellent	39.22493	TR
82.85749	19 Apr 2016	Elamanchili	accep	17.54907	IN
-122.86705	2013-06-28	Aloha	good	45.49428	US
145.06667	25 Jun 2014	Carnegie	good	-37.88333	AU
122.8637	2015-11-14	Santa Catalina	good	9.3337	PH
31.33078	2015-11-08	Voznesensk	excellent	47.56494	UA
-77.4286	07/06/2015, 00:00:00	Sterling	accep	39.00622	US
114.10479	2019/02/16	Tsuen Wan	accep	22.37066	HK
73.38333	2018/10/29	Sangla Hill	average	31.71667	PK
4.69889	13 Oct 2021	Gembloux	good	50.56149	BE
30.98551	23 May 2020	Paidha	good	2.41669	UG
114.68333	28 Apr 2013	Heyuan	good	23.73333	CN
106.85417	2017/03/27	Cibinong	building	-6.48167	ID
4.8951	2019/07/26	Valence	building	44.92801	FR
35.7	17 Oct 2016	Iringa	building	-7.76667	TZ
-100.44843	05/21/2021, 00:00:00	Santa Rosa Jauregui	good	20.74122	MX
-1.325	2020-07-15	Jumilla	excellent	38.47917	ES
-96.72365	2017/10/08	Oaxaca	building	17.06542	MX
-49.27306	2020-04-13	Curitiba	good	-25.42778	BR
51.3452	10/05/2018, 00:00:00	Otradnyy	good	53.37596	RU
-9.24671	02/19/2017, 00:00:00	Carnaxide	excellent	38.72706	PT
-75.23266	2020/01/16	Utica	average	43.1009	US
9.02596	2017-06-24	Albstadt	excellent	48.21644	DE
8.88104	2020-11-29	Malnate	good	45.79377	IT
-82.46148	2016/08/24	Lutz	good	28.15112	US
99.1625	2018/08/17	Tebingtinggi	average	3.3285	ID
28.19028	02/17/2017, 00:00:00	Narva	excellent	59.37722	EE
15.16554	2016/10/30	Kasangulu	good	-4.5833	CD
77.5609	2022-09-02	Kangayam	average	11.00599	IN
120.5875	2021/10/04	La Trinidad	accep	16.455	PH
-8.2194	2015-01-08	Ferrol	maintenance	43.48961	ES
-2.12139	11/29/2015, 00:00:00	Brierley Hill	excellent	52.48173	GB
102.05461	06/06/2020, 00:00:00	Tak Bai	average	6.25947	TH
-5.22126	02/24/2016, 00:00:00	Azrou	accep	33.43443	MA
13.44275	03/08/2016, 00:00:00	Villabate	good	38.07789	IT
-1.29772	08/12/2015, 00:00:00	Cowes	accep	50.76306	GB
17.22635	10 Jan 2020	Skalica	acceptable	48.8449	SK
117.59152	2020/12/17	Tarakan	good	3.31332	ID
-2.77259	2019-01-09	Baza	average	37.49073	ES
-47.53028	19 Jun 2013	Santa Gertrudes	average	-22.45667	BR
145.18333	18 Jun 2017	Wheelers Hill	accep	-37.9	AU
-93.08883	2015-10-22	Lino Lakes	average	45.16024	US
-113.3187	01/27/2021, 00:00:00	Sherwood Park	building	53.51684	CA
46.5813	2015-10-24	Alatyr’	accep	54.8421	RU
65.50917	09 Jul 2017	Kyzylorda	good	44.85278	KZ
-2.98884	12 Aug 2017	Leioa	building	43.32686	ES
-35.03333	2021-10-24	Cabo	accep	-8.28333	BR
-77.96389	10/16/2015, 00:00:00	Martinsburg	good	39.45621	US
76.35484	10/31/2015, 00:00:00	Alwaye	building	10.10649	IN
133.42825	2021/01/22	Lesozavodsk	excellent	45.47885	RU
-111.89903	2015-01-18	Scottsdale	excellent	33.50921	US
-98.15529	25 Aug 2016	San Juan	excellent	26.18924	US
-82.46148	2014-03-06	Lutz	accep	28.15112	US
127.08472	2013/10/03	Nonsan	good	36.20389	KR
-83.48216	05/02/2019, 00:00:00	Canton	good	42.30865	US
9.5586	14 Jan 2020	Schleswig	good	54.52156	DE
139.07204	18 Dec 2016	Fujioka	excellent	36.24624	JP
30.28491	2021/04/29	Kolomyagi	accep	60.02427	RU
98.19151	06 Dec 2012	Dawei	average	14.0823	MM
-73.02841	2022/05/27	Chiguayante	good	-36.9256	CL
84.87144	09/12/2015, 00:00:00	Zaysan	accep	47.46657	KZ
-87.882	07 Jul 2014	Westchester	excellent	41.85059	US
26.01649	2016-01-26	Sector 6	accep	44.43579	RO
120.14278	2021-02-22	Jiangyan	accep	32.50611	CN
101.02083	2021-07-09	Teluk Intan	good	4.02219	MY
8.86704	2012/12/10	Nidderau	average	50.23805	DE
81.54855	2013/12/18	Jais	accep	26.2649	IN
138.89585	25 Mar 2015	Annaka	average	36.33011	JP
-76.88442	2014-09-03	Harrisburg	good	40.2737	US
-120.00865	2013-08-30	Sunnyside	accep	46.32374	US
-116.56346	03 Jun 2017	Nampa	average	43.54072	US
107.60627	03/08/2020, 00:00:00	Ulan-Ude	good	51.82721	RU
79.883	2016/09/28	Hendala	accep	6.9909	LK
-117.23991	05/26/2015, 00:00:00	Opportunity	maintenance	47.64995	US
25.8191	13 Sep 2021	Novogrudok	excellent	53.5942	BY
9.15013	10 Feb 2021	Mirriah	good	13.70727	NE
-72.22625	2018/10/23	Croix-des-Bouquets	accep	18.57677	HT
-73.02841	19 Mar 2019	Chiguayante	average	-36.9256	CL
120.4861	10 Oct 2014	Manaoag	maintenance	16.0438	PH
13.58357	20 Nov 2013	Franceville	average	-1.63333	GA
24.14662	18 Jun 2013	Tornio	excellent	65.84811	FI
-51.50361	21 Sep 2018	Carlos Barbosa	excellent	-29.2975	BR
16.4	2016/05/19	Floridsdorf	accep	48.25	AT
28.28489	2014/10/16	Soroca	good	48.15659	MD
116.10146	2016-07-25	Donggongon	average	5.90702	MY
-8.53778	2015/12/15	New Yekepa	accep	7.57944	LR
117.63083	2015-10-31	Pingyi	accep	35.50056	CN
120.14278	16 Mar 2022	Jiangyan	accep	32.50611	CN
123.99333	23 Oct 2015	Sorsogon	excellent	12.97389	PH
136.13108	2018/01/08	Ueno-ebisumachi	excellent	34.75856	JP
139.07204	01/26/2017, 00:00:00	Fujioka	accep	36.24624	JP
27.46153	06/14/2015, 00:00:00	Tonota	maintenance	-21.44236	BW
30.79165	2022-09-02	Vryheid	average	-27.76952	ZA
8.86704	05/12/2017, 00:00:00	Nidderau	accep	50.23805	DE
-70.6996	08 Nov 2016	San Bernardo	average	-33.59217	CL
101.44167	2018/08/30	Pekanbaru	average	0.51667	ID
-93.75018	2013/06/04	Shreveport	good	32.52515	US
100.04427	07/09/2019, 00:00:00	Nakhon Pathom	excellent	13.8196	TH
-117.79394	2018-08-03	North Tustin	building	33.76446	US
17.58522	2020-04-18	Francavilla Fontana	good	40.53123	IT
2.18247	2018-01-07	el Camp de l'Arpa del Clot	good	41.41204	ES
-71.10077	2016-06-20	Santa Cruz de Barahona	accep	18.20854	DO
