SO2	PRES	longitude	H2CO	CH4	TEMP	O3	Pb	warning	latitude	CO	PM10	PM2.5	NOx	CFCs	NH3	PAHs	C2H3NO5
7.16801	1055.24643	141.95	27.35608	6.27799	22.52110	7.78138	38.16789	1.00000	39.46667	7.37635	11.87825	10.00502	7.84390	49.17902	8.79488	8.27117	11.53823
9.31270	1177.23562	27.46153	58.36269	7.51550	16.89878	8.97466	23.21011	1.00000	-21.44236	5.26934	6.74302	7.85869	5.96042	59.90450	6.46206	9.80502	0.20146
5.63688	1095.91061	9.15013	50.89586	6.26191	22.42755	8.13100	38.06340	1.00000	13.70727	4.62836	10.88466	8.19135	6.96773	37.95088	11.40948	7.13419	4.33245
7.39480	1127.71757	48.26258	63.18661	5.92254	-0.11284	7.07218	59.22438	1.00000	33.86419	5.39188	5.58343	8.32150	6.04687	30.21092	7.39782	8.45947	0.16440
8.56175	1078.09588	36.73307	47.79730	4.71814	6.08519	7.16466	24.41291	0.00000	55.38752	11.88734	7.26218	8.38951	3.26692	19.62014	8.99318	6.70647	0.21928
8.67973	1137.43634	-102.36764	61.30037	10.97602	13.85351	6.02111	29.33345	0.00000	31.84568	6.39467	6.63902	7.90763	6.98513	61.05827	8.40326	6.83180	0.14360
7.45945	1097.69250	73.66633	49.58771	8.82076	21.62719	7.07360	46.73025	0.00000	25.92493	6.48416	6.05404	7.78382	5.56316	54.26606	10.25509	10.25788	0.15847
7.22243	1191.67551	136.51667	38.68453	8.10361	-0.13954	7.27610	41.17069	0.00000	35	6.98591	3.99961	8.56016	5.31929	51.59176	6.73812	5.12956	0.15839
5.78223	1190.05950	-122.86705	55.66508	9.32375	22.98870	8.99466	37.53440	1.00000	45.49428	5.94310	9.03245	7.61485	9.92232	37.53215	8.01551	6.24070	0.78694
7.34826	1052.30019	117.81667	34.55996	9.13236	6.80353	8.31341	68.61896	1.00000	36.81667	5.68891	7.55444	7.90493	10.80776	19.12805	8.81133	5.32254	0.29098
8.15297	1175.62215	73.7553	34.92719	5.27171	7.99853	8.79003	34.04502	1.00000	15.5439	6.56536	5.83045	7.84164	6.39864	69.41321	6.14334	8.43250	0.12693
6.35438	1122.81976	101.44167	65.51669	6.18998	17.83035	9.04159	38.78032	0.00000	0.51667	7.64289	3.58463	5.53517	2.44198	53.71786	8.16868	5.14834	0.08853
6.20834	1074.24886	85.94001	41.43068	9.87380	10.63265	7.03378	45.67015	1.00000	25.49043	6.44595	8.41322	9.05483	8.87984	49.84237	11.68503	7.36578	0.49013
6.76989	1128.98514	39.28333	57.75955	8.38164	17.85778	6.80854	49.63127	1.00000	-10.33333	5.78237	6.95301	6.75799	10.73858	74.24124	9.37127	5.00750	0.17087
6.50611	1107.23471	26.01649	51.19134	7.82482	-1.50665	6.97192	46.57800	0.00000	44.43579	6.48407	9.98865	6.76561	4.60607	29.83743	8.58605	6.87777	1.83811
7.59537	1109.54586	-121.74052	47.22264	6.68798	7.08002	8.29422	57.31565	0.00000	38.54491	7.43836	9.26841	7.14498	6.00668	49.56854	8.99979	4.44147	0.99096
6.95221	1162.38269	120.4861	69.10385	7.67274	15.14974	9.02912	47.00416	1.00000	16.0438	3.59491	7.53200	6.81843	11.22951	19.81562	10.75167	6.74723	0.21378
8.51641	1101.09483	-49.27306	27.03089	8.24831	4.99042	10.36878	40.02125	0.00000	-25.42778	5.77339	5.84674	8.13033	6.49597	49.84013	8.60831	6.58710	0.16639
6.81148	1056.53654	73.38333	57.84927	8.38271	21.81004	6.72277	30.84946	0.00000	31.71667	6.98571	9.02234	6.66443	7.28390	34.49988	10.05620	7.25017	0.77020
7.93409	1157.03131	150.60036	52.30676	10.66321	30.77875	7.23344	30.94164	1.00000	-34.88422	7.03308	8.78498	8.49819	8.55898	30.76312	8.47270	7.06340	0.64837
6.85840	1191.05097	78.95693	63.62396	8.92510	5.28937	7.49358	37.99338	0.00000	29.21399	7.68752	5.26629	7.87014	5.42689	51.54835	8.66297	5.69967	0.09314
7.63728	1056.66244	2.44892	40.70567	6.45451	8.84742	9.04021	29.40050	0.00000	48.98693	7.09063	5.36470	10.16368	2.81477	68.27033	8.36851	4.33116	0.18137
7.89185	1154.25592	116.10146	39.37658	8.93296	17.99333	7.09852	46.12296	0.00000	5.90702	4.52309	6.13400	7.38660	7.32527	31.24495	7.90256	5.61463	0.17139
6.74891	1117.16380	101.44167	37.71799	7.79478	16.25862	6.91531	58.56352	0.00000	0.51667	7.22488	4.81977	8.00726	5.38582	62.58037	8.36176	5.49959	0.10568
9.12135	1053.08376	-73.86586	52.70585	7.61843	17.04644	7.23763	58.54609	1.00000	45.43341	3.96747	9.48950	6.08035	8.09748	67.31903	7.96479	7.80766	1.09567
9.09533	1107.02335	15.87735	48.91425	9.41946	5.97331	5.79887	65.11938	1.00000	4.94273	5.03376	9.28061	6.35041	8.56869	40.17455	11.47071	7.53789	0.96294
6.62137	1175.47428	19.21437	52.74964	5.64461	20.82657	8.71068	71.61326	1.00000	44.75874	5.74178	6.73481	7.03927	6.66569	45.03612	7.15609	7.57157	0.22044
6.24372	1067.32756	16.50104	32.11935	8.24374	11.76574	7.16114	51.07341	0.00000	41.24264	8.48245	8.29224	7.81004	4.09692	75.01406	10.26414	8.21603	0.41995
8.30382	1102.89464	-76.88442	65.76776	4.98951	4.79958	6.93435	35.99646	1.00000	40.2737	5.98820	5.93236	6.80046	7.45344	58.05368	5.95907	6.51141	0.09987
5.88349	1122.25201	124.84472	41.80549	9.00676	14.35413	8.85091	16.19837	1.00000	10.13361	4.40282	7.19676	8.24937	6.23183	78.86722	5.20751	10.93991	0.20283
7.16112	1187.07874	9.85	55.99963	7.73539	27.43678	7.43722	37.00698	0.00000	53.63333	6.11989	7.12147	7.76664	5.62263	40.86328	10.82429	7.51160	0.21634
5.66179	1191.17214	13.32127	38.82024	5.19406	18.08788	8.51918	47.08868	1.00000	52.59319	6.65703	7.00610	6.81130	7.35645	50.68661	5.96340	7.50888	0.19592
7.25757	1071.43204	42.85693	39.02303	5.17451	20.72101	8.08272	48.59088	0.00000	39.22493	9.54532	5.18137	6.57468	3.32706	72.53112	9.92649	5.52599	0.10925
8.76589	1165.53253	-1.29772	61.31148	6.58046	22.81720	6.72915	62.00444	1.00000	50.76306	6.64274	3.04602	5.75479	4.66292	46.20665	3.65822	10.29719	0.15218
8.34470	1076.16308	72.68533	28.10339	6.49467	-3.27797	6.23664	30.61360	0.00000	22.75218	6.58872	8.73348	6.33980	3.50338	69.33598	8.49989	6.34122	0.60547
7.58424	1104.49281	30.96755	54.13348	10.91926	8.87886	8.35967	69.24874	0.00000	49.07866	4.47970	6.83713	8.41655	9.08678	60.81255	7.24914	4.95070	0.17095
7.76003	1054.52442	-122.2608	57.22005	6.10415	8.58400	6.10000	54.58684	1.00000	38.17492	7.57336	8.12914	6.54452	6.21663	44.28556	6.73338	10.01467	0.39869
4.84600	1110.56580	69.67639	62.55957		7.20504	6.96304	26.74568	1.00000	41.29444	5.21333	10.37201	7.46904	7.96934	43.84102	9.87431	6.05140	2.74103
8.87884	1059.58688	-88.3162	70.30187	9.49935	8.13353	8.12711	51.56476	0.00000	42.24113	4.77545	4.15006	6.95369	5.54778	49.01516	6.67806	4.34405	0.03213
8.00614	1196.39725	48.26258	56.32445	4.38120	24.17577	7.46006	48.21286	1.00000	33.86419	6.42193	8.59240	8.34659	9.39844	70.84265	6.43165	5.61159	0.49976
8.07605	1196.43288	-96.39774	64.12936	9.78920	18.34561	9.16836	41.14838	1.00000	30.16688	7.93269	9.11151	7.42260	8.04214	51.60476	7.20916	7.84321	0.77982
7.78856	1171.38914	-73.99681	65.69311	9.11090	8.27354	9.64786		0.00000	40.94065	5.70868	4.69763	5.92475	5.74383	59.40604	7.78460	4.75017	0.07758
8.23931	1078.61207	73.06784	32.88498	8.59520	33.29374	6.28255	63.95415	1.00000	25.13915	6.16199	9.09485	6.80728	7.99011	68.97139	9.58110	4.35942	0.81177
8.35724	1051.20770	121.3152	67.55491	10.04313	6.62242		58.07929	1.00000	14.14989	7.20692	8.31281	7.09372	8.90323	64.89521	9.46477	6.65660	0.46950
7.40554	1054.09531	-88.3162	38.39160	6.88585	22.81023	8.27011	31.18097	1.00000	42.24113	5.45890	7.65291	7.03058	7.51720	48.70629	5.99875	8.37513	0.31318
7.30104	1078.01790	113.82465	51.35423	9.04519	13.22848	7.83719	41.46387	0.00000	23.29549	8.39322	7.58177	6.21740	6.20936	36.40682	9.46589	8.29847	0.30461
7.65274	1156.94734	39.28333	66.39188	9.55929	-5.28644	8.52770	37.29086	0.00000	-10.33333	10.97222	11.13607	8.40163	7.59888	45.32836	7.09768	4.28774	5.50163
8.03352	1086.80260	98.19151	47.18443	6.44442	11.75989	6.99715	42.23922	0.00000	14.0823	7.97652	5.79983	5.41903	4.43927	26.83356	10.34791	5.22074	0.19631
5.93109	1145.17527	71.21169	50.91338	11.04999	29.98189	6.43088	52.48658	0.00000	21.59983	6.25125	5.23556	7.80859	6.21804	40.20817	5.98908	6.85176	0.13593
8.52091	1186.97765	78.25795	37.65966	8.75870	16.62248	6.67821	33.12733	1.00000	9.82564	6.69723	9.80989	7.33593	8.15845	79.94933	6.81164	6.39752	1.56253
8.34735	1052.90049	17.4674	61.16742	9.56165	20.91693	7.09603	35.36708	1.00000	50.86079	6.37248	6.46647	8.14645	10.74433	50.52100	10.36847	4.24661	0.08522
8.50923	1095.24657	-82.00919	41.57180	7.64205	34.29982	7.63371	36.66378	0.00000	23.04419	8.26375	8.95999	7.86177	6.64979	39.45084	10.86322	7.76484	0.69693
6.67666	1057.75782	-4.10734	49.65839	8.15685	15.76660	8.19299	43.90408	0.00000	38.68712	4.67503	5.79790	8.95002	7.30954	36.68276	9.09131	4.26731	0.20661
7.39959	1095.51939	135.31667	49.20087	7.88876	29.45736	8.61427	43.47261	1.00000	34.25	2.72383	6.11046	7.69213	7.40766	64.02568	5.72985	7.84122	0.19419
6.92380	1176.14333	-77.4286	56.35768	8.47307	14.99032	7.54372	41.28531	0.00000	39.00622	9.35237	12.53368	8.67824	7.66881	50.46619	9.50812	7.28508	22.09927
8.60325	1129.76454	-74.15987	29.19068	7.27511	6.67949	7.48831	50.36118	1.00000	40.82232	5.12419	7.11916	6.51124	6.91914	52.25423	5.66227	8.89883	0.21599
7.23418	1062.37691	-73.20483	49.95048	9.42891	8.79998	7.35919	20.57511	0.00000	41.16704	10.07591	7.77089	6.54388	4.85156	38.37694	7.43299	6.22728	0.24300
6.95933	1196.88337	-61.4867	64.81304	4.31462	23.93458	7.05011	23.76705	1.00000	-31.25033	8.58020	3.44315	9.12109	4.31981	66.32606	4.76713	8.23877	0.16090
6.20494	1149.86951	76.35484	52.90656	9.52526	16.42168	7.48174	55.70269	0.00000	10.10649	7.56745	7.34582	6.81822	7.37870	47.20497	9.90424	6.06506	0.24418
6.31326	1142.44290	72.34424	51.97788	8.65266	19.64940	7.38910	39.49141	1.00000	40.78206	5.98377	9.62664	6.45554	8.27528	63.26843	7.41181	6.51170	1.33870
7.25282	1092.95308	-93.75018	52.85452	11.95808	26.83025	7.64823	47.61201	1.00000	32.52515	9.43714	10.86200	8.19608	6.62691	73.05021	6.56808	5.46303	4.32162
7.37110	1072.94262	142.45778	71.69191	10.40541	-3.75950	9.52557	27.62662	0.00000	44.35056	4.96011	4.65059	6.19653	6.86836	35.18454	8.06277	5.21700	0.07426
7.06846	1084.84372	-75.23266	39.41489	7.85606	27.06456	6.75390	55.34471	1.00000	43.1009	5.39303	7.28167	6.59021	10.13397	54.79698	8.47874	7.02782	0.25424
6.70823	1144.84650	13.10984	48.03838	5.45792	32.49907	7.50234	37.20426	1.00000	51.30001	7.44685	8.25091	6.14474	6.46567	67.82021	7.76677	8.91192	0.34030
6.78031	1172.49553	104.1451	54.77285	6.51895	10.15753	7.95502	66.58152	0.00000	15.79408	5.81850	4.82371	7.02924	4.86103	28.29563	7.82324	5.02907	0.15011
7.81022	1113.91924	-120.00865	32.26050	6.25754	35.50111	8.95017	44.51164	1.00000	46.32374	6.26787	10.29614	6.72125	8.62169	50.91955	6.98027	9.06100	2.40509
8.58405	1099.67654	-87.882	72.95615	7.75076	18.30473	8.46261	15.24163	1.00000	41.85059	4.73519	2.43564	9.02957	4.80467	61.87574	3.60584	9.84787	0.09751
7.55818	1138.91497	4.52529	25.24537	7.73031	9.28129	6.89214	54.44813	1.00000	50.71229	4.76770	7.33669	5.82480	5.94395	41.47653	8.52279	10.18228	0.19211
9.03333	1114.97645	79.87116	29.46346	10.15689	15.90025	8.26348	47.87953	1.00000	6.84019	7.71905	9.64158	7.32514	7.14746	43.57160	5.03905	5.29978	1.34973
7.96194	1155.75431	8.63333	59.11973	8.61500	9.23003	5.53451	48.14517	0.00000	52.2	6.85785	7.32348	6.55647	6.06973	51.59441	8.85720	7.36360	0.21205
7.55005	1079.97187	110.8405	35.54987	11.61426	15.14899	5.48951	34.75305	1.00000	-6.8048	6.26035	10.38428	4.81318	8.18295	70.11124	10.31450	5.72229	2.70628
6.83114	1181.97819	-73.02841	38.20786	7.53078	4.06848	8.64753	49.31422	0.00000	-36.9256	9.63726	9.51379	10.06425	5.76263	20.47590	9.50636	7.66988	1.22936
9.95666	1197.96071	6.74549	70.44880	9.94562	20.50972	7.27311	54.88090	1.00000	49.5099	7.32847	7.60010	8.45357	9.96597	71.11963	6.80106	4.96681	0.24464
7.99954	1145.28373	-91.73625	54.34330	7.57514	12.07960	6.48554	49.22445	0.00000	35.25064	8.57567	9.44271	8.41864	4.93230	41.75956	11.16560	8.12921	1.06756
8.44676	1096.99099	136.13108	52.15599	9.24925	23.94338	6.80439	28.61160	1.00000	34.75856	4.92548	8.17567	7.79135	9.28575	46.15136	10.87529	5.52817	0.40625
7.00580	1052.42666	-74.01042	50.52998	7.02393	24.37074	8.08425	56.19082	0.00000	41.50343	7.00244	11.96286	9.50759	6.92032	45.40732	10.39365	7.19681	12.54626
8.48156	1165.46919	9.02596	40.49697	5.20366	1.69156	7.44080	61.84805	1.00000	48.21644	5.83658	9.57867	7.51925	7.37733	30.90495	7.61005	7.93925	1.24801
6.72792	1131.20391	-82.46148	28.09690	10.77724	32.00659	7.49844	30.21532	0.00000	28.15112	6.27923	6.42216	7.43191	7.81651		8.34776	7.65002	0.24272
7.56274	1142.89907	85.83334	43.73410	11.33799	21.22584	8.92685	34.57726	0.00000	20.88197	4.83448	6.41149	8.18335	9.30158	45.02000	7.54260	6.36097	0.17492
8.09678	1102.74237	-7.95	87.79436	9.38472	5.30146	9.51431	51.13471	0.00000	53.43333	5.95988	5.03240	8.17904	5.00463	68.32998	6.96811	6.70915	0.10023
6.98305	1178.05916	24.14662	49.08481	6.87014	18.47902	8.64887	33.13127	0.00000	65.84811		12.61348	8.93973	4.25859	61.58596	6.33880	5.05937	23.91054
7.49128	1163.14785	1.26738	34.47944	8.43506	15.80420	7.40267	32.95921	0.00000	51.84819	4.50074	5.93007	8.36285	6.23545	29.43169	8.49127	5.20638	0.09955
7.48003	1101.10070	-83.48216	56.26424	10.82031	5.28225	7.71356	54.09721	0.00000	42.30865	5.57296	5.50210	7.98122	8.46607	28.78559	6.04102	6.45455	0.12494
6.18515	1129.34276	-2.98884	64.44304	9.26879	10.36525	8.73665	52.81110	0.00000	43.32686	11.92184	6.85879	8.56319	6.22260	59.47206	7.83664	5.11931	0.19549
7.79965	1056.77745	4.92235	51.59835	8.15866	19.20336	8.20870	46.66211	1.00000	7.65649	2.90573	4.50868	8.11352	6.07452	25.46692	6.47428	8.93766	0.11732
8.30355	1158.33907	-2.68333	54.63735	8.03028	25.43264	7.42036	42.07120	1.00000	43.31667	2.41718	6.57238	5.77312	7.72180	62.80258	6.80109	7.51946	0.13515
7.36714	1109.93639	-71.06616	37.75828	6.84096	2.61002	6.88135	67.27512	1.00000	42.4251	4.53116	1.76116	5.44627	4.55682	48.12817	4.62978	8.95783	0.09129
9.33444	1050.43224	5.4584	78.86329	5.91570	28.88908	7.30050	41.75268	1.00000	43.32393	7.08402	4.85741	6.58422	4.57439	62.77899	6.43426	9.82741	0.19338
6.97834	1185.05246	36.73307	49.50502	7.70712	10.76890	6.78566	55.15288	0.00000	55.38752	10.58952	9.95207	5.83594	4.90892	42.01285	8.66350	8.07904	1.72464
9.11111	1085.60885	-61.51889	51.38695	7.53396	19.01862	7.12528	60.98488	0.00000	10.66668	5.95458	10.19108	7.86837	6.46652	58.52932	8.90519	4.53241	2.25016
6.51638	1159.88177	13.39954	61.98219	9.78041	24.99556	7.90527	58.51969	1.00000	43.62558	6.12084	9.06227	7.59096	9.24613	21.71703	9.21400	4.39479	0.83649
7.08189	1163.99419	76.92421	28.13579	8.16248	18.01030	6.66096	29.38527	1.00000	60.97944	5.80297	9.45688	6.26169	8.54326	41.29741	9.20086	6.65899	1.10622
6.37487	1103.34238	-89.66123	51.60567	6.60832	22.00631	10.61394	44.46833	0.00000	21.28306	8.56339	8.92241	7.45502	4.35179	34.02860	7.84296	4.94849	0.66876
6.62649	1120.07869	13.32127	60.08477	9.86454	2.36818	9.84418	26.18858	1.00000	52.59319	4.71877	8.98423	7.05481	10.19148	41.18512	9.86067	4.69338	0.73924
7.81459	1196.97365	-119.01677	74.40439	7.82607	18.58243	7.75820	60.01363	0.00000	36.06523	6.66603	8.17994	7.97438	5.98771	35.18413	10.67523	9.00600	0.34192
7.65689	1068.37108	77.40858	43.08451	8.09603	17.85175	6.63288	43.23708	0.00000	24.05979	8.70293	8.98519	9.37528	4.81014	65.86793	8.97984	7.98722	0.73286
6.33079	1125.09013	59.80222	45.83500	8.03752	10.31680	7.90515	47.64951	0.00000	58.63667	5.45180	6.55700	9.35446	7.65962	46.14942	8.69928	3.48213	0.14872
6.86877	1186.32335	75.35927	60.63919	9.10635	5.66047	6.56745	34.15521	1.00000	12.04161	4.01530	8.66599	7.63360	11.46921	37.81834	9.07928	5.14041	0.57752
6.49911	1152.23369	-111.89903	47.16873	6.15289	17.15401	5.46638	37.97450	1.00000	33.50921	5.21074	3.88488	7.45334	5.72758	35.99106	6.29300	8.62803	0.08781
8.33719	1093.65407	84.63445	56.78529	9.95639	8.90083	6.45174	21.50119	0.00000	24.81757	9.76061	8.47761	6.07817	4.64620	56.46553	7.47908	7.43085	0.53486
7.60196	1092.86202	-2.16	57.29701	8.73364	20.57788	8.20247	52.39188	0.00000	34.31	9.95980	9.77590	8.22234	4.50648	37.18173	8.21917	8.43373	1.55058
6.84443	1197.18417	37.73333	39.90247	4.69400	18.76539	6.84115	39.12853	1.00000	-4.06667	7.37834	6.11242	7.32351	6.19156	35.22469	6.37139	8.42524	0.13209
6.43715	1082.07480	-74.07764	41.39986	4.90056	10.78076	6.49583	53.93446	1.00000	40.72816	3.88585	1.60386	6.97799	5.47957	46.83130	7.60769	6.61036	0.12804
5.13334	1105.68520	-51.50361	57.97744	10.26746	31.15833	9.01743	33.07074	1.00000	-29.2975	5.89414	7.28675	5.84065	9.67129	58.29704	12.63640	5.16929	0.25707
7.22646	1125.67143	104.1451	49.02852	8.31017	12.46919	6.61443	45.87403	1.00000	15.79408	8.26889	4.19019	7.68864	3.73855	73.67414	8.40421	6.81988	0.27801
7.97419	1077.61111	138.89585	58.79642	6.69686	14.83294	8.77162	60.13273	1.00000	36.33011	3.92869	9.33477	7.22859	8.44865	31.64332	8.28863	7.35975	1.00411
6.47065	1111.86384	-122.86705	56.08862	11.45622	32.75002	7.94343	51.67043	0.00000	45.49428	9.70498	9.17623	7.52975	7.46567	43.63426	8.35340	6.73183	0.87347
7.79786	1152.41560	29.00974	55.45545	6.67193	30.22919	8.27712	45.57960		-24.19436	6.93453	7.87561	9.31347	6.54373	47.59018	5.90257	9.46054	0.39982
7.27244	1188.47823	-76.72803	74.78830	9.34292	15.59097	6.81815	43.50911	0.00000	39.32288	7.19249	3.17241	6.65223	3.91220	63.70136	6.26550	4.34095	0.16242
9.42243	1133.47471	5.4584	62.75779	10.63945	1.49276	5.50792	33.50944	0.00000	43.32393	8.49693	9.43306	6.36514	7.32254	48.16322	9.15206	7.23491	1.21035
6.91814	1155.18719	-74.15987	26.39568	6.69818	20.63259	8.05038	26.09562	1.00000	40.82232	5.72348	9.04291	8.34786	8.65138	56.43439	8.28618	6.49539	0.71048
7.20662	1186.70359	123.50266	62.47310	8.79879	17.46624	8.44204	46.03436	0.00000	41.94175	11.26267	7.23287	6.37107	4.02490	45.41457	6.49776	5.33738	0.25404
6.95686	1100.90174	3.16667	59.74697	8.51738	3.73935	8.80957	51.99444	0.00000	50.8	6.74317	5.20780	8.81867	3.96896	60.61294	8.98945	7.36549	0.09814
6.66657	1065.54914	12.84052	63.26439	7.72401	2.96068	8.28798	51.69398	1.00000	45.78071	6.38420	7.84147	6.85965	8.41683	48.01084	8.66496	5.24875	0.24983
8.46146	1075.98710	-73.9625	32.16963	9.89904	13.15093	8.44538	45.82635	1.00000	40.81	6.38307	10.95445	7.91767	7.53088	46.24943	8.10766	5.98256	4.66213
6.08633	1151.29339	123.50266	39.08129	11.37258	15.15597	7.25714	48.07826	0.00000	41.94175	5.27446	10.23016	8.77951	8.27907	47.09239	9.67596	6.82203	2.33581
8.51968	1198.24186	-1.32471	35.65609	8.50492	26.63107	7.72509	66.64907	1.00000	51.40148	6.25326	9.95415	8.71382	6.97789	43.31898	8.37366	8.11223	1.75756
7.35825	1054.94522	48.87498	43.32293	7.07485	31.56413	9.73540	64.21727	1.00000	38.45598	4.45389	8.49977	6.28289	9.02552	43.33229	11.68771	5.57190	0.49638
7.52613	1100.53948	-85.43772	54.07370	9.81807	30.61856	6.75723	40.63535	1.00000	10.63504	5.18564	8.78930	6.54775	10.05409	43.46976	10.76380	6.26022	0.67742
8.81978	1156.75051	-73.75513	43.15327	8.15590	21.17454	7.77039	41.72810	1.00000	40.60538	6.26600	10.81276	6.94279	7.38774	29.44906	9.72075	7.91248	4.05635
6.90896	1139.03722	82.85749	69.69740	5.51073	12.90345	9.03366	66.81213	1.00000	17.54907	7.84208	5.98329	7.48917	5.53399	58.35168	5.76064	9.18810	0.11470
7.16575	1097.60213	59.4839	54.86210	7.98333	16.90041	8.59375	37.18503	1.00000	58.7002	6.61879	8.80428	8.12969	8.66006	44.11950	7.41769	8.52588	0.69522
10.07552	1099.41881	8.96317	69.57312	5.70671	12.87463	6.88835	53.06180	0.00000	48.35149	8.29819	9.07480	7.74941	3.53301	19.52475	9.19634	7.55854	0.84606
7.87616	1107.76942	100.04427	42.19419	7.80191	14.61706	7.24161	47.33918	1.00000	13.8196	5.42230	7.30127	6.99639	9.87870	51.19309	8.75391	7.28476	0.25717
7.13070	1097.11096	9.37082	46.48496	7.00093	15.75269	6.19863	26.71517	1.00000	36.08497	6.10429	5.66185	7.62509	5.22307	59.72325	6.22809	10.28004	0.08473
7.18155	1076.03955	72.85107	47.20360	3.83253	10.50787	6.92622	33.22719	1.00000	19.30157	9.89462	7.29040	7.52537	5.85023	67.94696	6.79634	9.45020	0.18626
5.62407	1164.24426	135.6	50.01862	8.03535	15.83034	7.32198	48.39769	1.00000	34.61667	4.13013	5.56621	8.63036	7.12316	39.65636	3.70175	8.92693	0.09376
6.88751	1117.56435	-84.62081	65.59311		20.35116	7.96950	62.98696	0.00000	42.7392	5.73676	4.87534	7.74526	5.57658	58.76151	7.65087	5.69653	0.10008
7.17606	1086.39882	4.86667	19.09909	9.05120	29.87608	8.12943	17.24954	1.00000	45.51667	6.01255	8.96398	7.52193	9.10313	35.74197	9.39994	6.85200	0.68211
5.60412	1142.54242	-74.15987	64.04761	10.23555	10.76701	8.03205	13.62280	1.00000	40.82232	6.43616	8.27205	8.52132	10.09401	61.40802	8.10891	6.70422	0.33802
