revision	longitude	location	QoS	code	latitude
2017-05-30	86.79271	Asia/Kolkata	average	IN	25.92127
25 Feb 2019	-93.12577	America/Chicago	accep	US	44.73941
2013-03-10	-75.69947	America/Bogota	average	CO	8.79577
2017-06-21	117.55417	Asia/Shanghai	excellent	CN	34.86472
14 May 2014	-96.39774	America/Chicago	average	US	30.16688
2020/04/28	51.67462	Asia/Tehran	excellent	IR	32.65246
2021/10/28	0.30367	Europe/London	accep	GB	51.38673
2021/01/19	59.80222	Asia/Yekaterinburg	good	RU	58.63667
2018-10-11	-88.3162	America/Chicago	excellent	US	42.24113
2012-11-25	-52.20639	America/Santarem	good	BR	-3.20333
18 Jul 2022	17.8031	Europe/Bratislava	good	SK	48.43174
2015/09/18	-88.27205	America/Chicago	building	US	44.27804
17 Oct 2019	-73.89875	America/New_York	good	US	40.93121
2016-06-29	40.17171	Europe/Moscow	average	RU	58.1908
2021-12-24	-94.91386	America/Mexico_City	good	MX	17.94979
2019/05/03	138.31667	Asia/Tokyo	excellent	JP	36.65
2015-05-12	142.45778	Asia/Tokyo	maintenance	JP	44.35056
2013/10/22	-73.99681	America/New_York	average	US	40.94065
01/10/2022, 00:00:00	-118.03917	America/Los_Angeles	excellent	US	33.95015
2016-07-02	-117.71978	America/Los_Angeles	maintenance	US	34.09668
2018-09-24	-82.32483	America/New_York	good	US	29.65163
12 Jan 2017	49.62251	Asia/Riyadh	excellent	SA	27.0174
2022-08-16	-87.88754	America/Chicago	accep	US	41.15376
2019/02/21	34.86563	Asia/Jerusalem	excellent	IL	31.92923
09/12/2016, 00:00:00	47.31667	Indian/Antananarivo	maintenance	MG	-19.65
12 Jul 2020	-91.58045	America/Chicago	average	US	41.6764
09 Jul 2016	-52.20639	America/Santarem	good	BR	-3.20333
2016-10-06	78.14797	Asia/Kolkata	building	IN	15.45144
09/23/2015, 00:00:00	8.73812	Europe/Paris	average	FR	41.91886
2018/04/28	-88.27205	America/Chicago	good	US	44.27804
11/03/2015, 00:00:00	-69.08333	America/Lima	accep	PE	-16.25
2016-07-05	117.59152	Asia/Makassar	excellent	ID	3.31332
2021/11/26	85.4265	Asia/Novokuznetsk	accep	RU	55.8736
2017/02/23	124.95278	Asia/Manila	excellent	PH	6.33444
14 Apr 2014	89.11943	Asia/Dhaka	accep	BD	23.9028
2014/12/24	10.03478	Africa/Tunis	good	TN	37.16911
02/21/2021, 00:00:00	75.35927	Asia/Kolkata	good	IN	12.04161
2012/11/11	78.40102	Asia/Kolkata	maintenance	IN	27.9247
2019-05-12	125.51176	Asia/Shanghai	excellent	CN	42.64031
08 Mar 2017	-48.59278	America/Sao_Paulo	accep	BR	-23.7975
05/03/2016, 00:00:00	25.34244	Europe/Kiev	average	UA	50.75932
2014-10-04	-77.43532	America/Havana	accep	CU	20.14298
2016/12/27	-60.1831	America/Glace_Bay	maintenance	CA	46.1351
22 Feb 2014	12.19458	Africa/Lagos	excellent	NG	10.61285
01 Aug 2021	138.31667	Asia/Tokyo	accep	JP	36.65
04/29/2014, 00:00:00	85.4265	Asia/Novokuznetsk	excellent	RU	55.8736
02/01/2020, 00:00:00	117.63083	Asia/Shanghai	excellent	CN	35.50056
22 Nov 2012	84.13864	Asia/Kolkata	good	IN	22.88783
18 Mar 2022	-6.00137	Africa/Casablanca	good	MA	33.42585
2020-07-17	48.41667	Indian/Antananarivo	maintenance	MG	-17.83333
19 Feb 2020	-105.11221	America/Denver	building	US	39.57582
27 Nov 2016	111.4834	Asia/Yakutsk	average	RU	65.93381
12/23/2016, 00:00:00	11.412	Europe/Rome	accep	IT	45.50369
2022-06-17	-6.00137	Africa/Casablanca	accep	MA	33.42585
07/31/2021, 00:00:00	-73.25383	America/Lima	accep	PE	-3.74912
2020/11/10	-1.98956	Africa/Accra	excellent	GH	5.30383
08/10/2021, 00:00:00	-73.95958	America/New_York	excellent	US	40.57788
09 Nov 2017	18.30056	Europe/Warsaw	excellent	PL	50.5107
01/29/2017, 00:00:00	71.52847	Asia/Karachi	maitennce	PK	32.57756
19 Apr 2018	-86.57415	America/Tegucigalpa	building	HN	15.48131
15 Feb 2015	16.86194	Europe/Warsaw	maintenance	PL	54.58048
2022/04/16	16.86194	Europe/Warsaw	good	PL	54.58048
29 Apr 2020	123.50266	Asia/Shanghai	excellent	CN	41.94175
17 Dec 2015	9.15013	Africa/Niamey	good	NE	13.70727
2022/01/16	4.07601	Europe/Brussels	maintenance	BE	50.88506
2020-05-15	-91.06177	America/Chicago	average	US	33.41012
11/05/2013, 00:00:00	120.56528	Asia/Manila	good	PH	14.66
05 Dec 2019	43.63417	Europe/Moscow	building	RU	43.96222
2019/01/29	0.57856	Europe/Madrid	accep	ES	40.70995
10 Apr 2014	12.19458	Africa/Lagos	average	NG	10.61285
01/17/2016, 00:00:00	72.34424	Asia/Tashkent	good	UZ	40.78206
2013/02/26	29.00974	Africa/Johannesburg	excellent	ZA	-24.19436
27 Jun 2018	-1.29772	Europe/London	average	GB	50.76306
06 Dec 2020	-79.62603	America/Panama	good	PA	8.88988
05 Jul 2016	48.26258	Asia/Tehran	average	IR	33.86419
2019-10-10	-100.88023	America/Mexico_City	accep	MX	20.21322
05/13/2022, 00:00:00	-60.94228	America/Martinique	excellent	MQ	14.67751
09/30/2021, 00:00:00	-3.05814	Europe/London	accep	GB	53.00974
2015/09/30	7.11393	Europe/Berlin	accep	DE	51.08468
19 Dec 2014	3.50309	Africa/Algiers	excellent	DZ	34.15429
2015-10-30	-3.53261	Europe/Madrid	average	ES	40.42386
03/25/2015, 00:00:00	16.43915	Europe/Zagreb	good	HR	43.50891
08/31/2017, 00:00:00	121.06761	Asia/Manila	accep	PH	12.35275
2013/01/09	7.60872	Europe/Rome	excellent	IT	43.78956
2016-07-31	-73.49484	America/New_York	maintenance	US	41.14676
30 Dec 2012	8.91229	Europe/Berlin	maintenance	DE	49.13645
09/14/2014, 00:00:00	7.20769	Europe/Berlin	maintenance	DE	50.80019
21 Jun 2020	14.51472	Europe/Malta	accep	MT	35.89972
2013-06-15	13.63617	Europe/Prague	average	CZ	50.50301
02/24/2019, 00:00:00	-48.59278	America/Sao_Paulo	accep	BR	-23.7975
2016-02-01	72.54566	Asia/Karachi	accep	PK	29.69221
05/13/2014, 00:00:00	24.71204	Europe/Sofia	excellent	BG	41.57439
05 Aug 2021	-74.95472	America/Bogota	excellent	CO	10.98778
2018-01-31	73.06784	Asia/Kolkata	accep	IN	25.13915
08/01/2022, 00:00:00	-48.67028	America/Sao_Paulo	maintenance	BR	-28.24
2021/05/31	-86.77917	America/Chicago	good	US	36.02506
2020/02/11	-39.25	America/Bahia	maitennce	BR	-12.91667
07/04/2015, 00:00:00	32.6178	Europe/Kiev	excellent	UA	46.65581
09/28/2015, 00:00:00	-81.38758	America/New_York	average	US	30.17746
2019-05-18	34.3869	Africa/Khartoum	building	SD	11.8659
2016/09/11	136.51667	Asia/Tokyo	accep	JP	35
2019-06-07	-113.3187	America/Edmonton	average	CA	53.51684
16 Nov 2015	-97.90308	America/Chicago	good	US	31.12406
01/17/2017, 00:00:00	97.01124	Asia/Yangon	accep	MM	17.30858
2021/07/20	129.96972	Asia/Tokyo	building	JP	33.4425
2018/03/27	-41.45861	America/Fortaleza	building	BR	-4.42472
2022/09/11	-4.21376	Europe/London	good	GB	55.82885
07/03/2017, 00:00:00	18.34717	Europe/Warsaw	good	PL	54.60528
12/24/2020, 00:00:00	140.73667	Asia/Tokyo	average	JP	41.77583
02/23/2016, 00:00:00	4.08282	Africa/Algiers	average	DZ	36.61954
10/09/2017, 00:00:00	117.59152	Asia/Makassar	excellent	ID	3.31332
05/29/2020, 00:00:00	38.12408	Europe/Moscow	average	RU	53.77166
2012-12-21	0.47713	Europe/London	good	GB	51.39323
2014/10/15	-73.26022	America/Bogota	building	CO	6.46838
08 Feb 2017	10.7	Africa/Douala	excellent	CM	4.96667
2015-10-09	123.33471	Asia/Manila	excellent	PH	8.56697
01/01/2022, 00:00:00	-13.68778	Africa/Conakry	good	GN	9.535
2016-10-19	-66.8499	America/Puerto_Rico	maintenance	PR	18.03496
14 Feb 2015	6.83042	Africa/Lagos	good	NG	6.15038
05/12/2019, 00:00:00	71.57118	Asia/Karachi	average	PK	32.87533
2013-07-06	102.3278	Asia/Kuala_Lumpur	good	MY	2.2139
03/30/2019, 00:00:00	83.36889	Asia/Kolkata	accep	IN	26.76628
06/11/2021, 00:00:00	-42.19667	America/Sao_Paulo	average	BR	-21.41222
09 Jun 2019	-87.70172	America/Chicago	accep	US	41.72059
25 Feb 2019	111.50861	Asia/Shanghai	average	CN	32.54278
06/01/2018, 00:00:00	4.08282	Africa/Algiers	excellent	DZ	36.61954
05/09/2017, 00:00:00	13.10984	Europe/Berlin	accep	DE	51.30001
01 Oct 2016	-87.70172	America/Chicago	good	US	41.72059
2021-11-22	29.26639	Europe/Istanbul	excellent	TR	37.58105
10/08/2015, 00:00:00	24.43973	Africa/Lubumbashi	excellent	CD	0.76755
2015-04-15	73.7553	Asia/Kolkata	excellent	IN	15.5439
09/24/2014, 00:00:00	103.61667	Asia/Jakarta	average	ID	-1.6
28 Oct 2015	71.57118	Asia/Karachi	accep	PK	32.87533
07/15/2021, 00:00:00	26.01649	Europe/Bucharest	good	RO	44.43579
10/22/2012, 00:00:00	-63.90389	America/Porto_Velho	accep	BR	-8.76194
2016/05/24	-99.32556	America/Mexico_City	good	MX	19.32889
2019/10/30	5.51978	Europe/Amsterdam	excellent	NL	51.44889
20 May 2014	-73.47429	America/New_York	building	US	40.68066
2015-07-12	-48.62789	America/Sao_Paulo	excellent	BR	-17.74431
25 Dec 2017	14.39024	Europe/Rome	accep	IT	42.22718
2022-02-06	-51.87389	America/Sao_Paulo	maintenance	BR	-23.44361
2020-08-02	85.37752	Asia/Kolkata	good	IN	22.10194
2021-10-30	3.1631	Europe/Madrid	average	ES	41.91738
18 Apr 2017	-8.53778	Africa/Monrovia	average	LR	7.57944
05 Apr 2015	2.31889	Africa/Algiers	good	DZ	35.21222
13 Sep 2018	168.31366	Pacific/Efate	excellent	VU	-17.73648
11/20/2014, 00:00:00	7.60872	Europe/Rome	accep	IT	43.78956
09/06/2015, 00:00:00	10.5511	Europe/Berlin	accep	DE	52.47774
2018-05-12	3.55665	Africa/Algiers	accep	DZ	36.72544
12/13/2020, 00:00:00	-111.89903	America/Phoenix	average	US	33.50921
11/10/2018, 00:00:00	-88.42814	America/Chicago	excellent	US	42.16808
05/20/2016, 00:00:00	75.96976	Asia/Kolkata	average	IN	15.73628
05 May 2017	4.47124	Europe/Amsterdam	excellent	NL	51.95838
2017-12-29	19.91667	Africa/Luanda	average	AO	-11.78333
2013/01/20	34.3869	Africa/Khartoum	good	SD	11.8659
02/12/2018, 00:00:00	-73.58248	America/Toronto	excellent	CA	45.40008
2016/11/05	-7.35	Europe/Dublin	accep	IE	53.53333
27 May 2022	46.5813	Europe/Moscow	building	RU	54.8421
2020/11/06	1.15597	Europe/London	accep	GB	51.78967
04/29/2020, 00:00:00	10.5511	Europe/Berlin	accep	DE	52.47774
17 Jul 2013	1.00288	Europe/Paris	average	FR	49.28669
2018/11/08	117.55417	Asia/Shanghai	building	CN	34.86472
2017-02-10	-2.98333	Europe/London	good	GB	53.83333
2015/06/16	-82.00919	America/Havana	good	CU	23.04419
28 Mar 2015	-76.88442	America/New_York	accep	US	40.2737
2019-10-29	8.51667	Europe/Berlin	good	DE	51.88333
18 Sep 2019	-97.35992	America/Mexico_City	building	MX	19.8173
20 Nov 2012	9.40531	Europe/Rome	good	IT	45.53069
2014-07-15	-65.61427	America/Argentina/Tucuman	good	AR	-27.4338
2013-05-20	73.85535	Asia/Kolkata	good	IN	18.51957
29 Jan 2016	-2.16	Africa/Casablanca	average	MA	34.31
07 May 2022	-90.10674	America/Chicago	maintenance	US	29.84576
26 Aug 2016	-15.6	Africa/Banjul	building	GM	13.56667
2018/04/02	137.95378	Asia/Tokyo	accep	JP	35.82756
02 Feb 2018	4.85668	Africa/Algiers	excellent	DZ	36.27462
2014/06/13	72.85107	Asia/Kolkata	average	IN	19.30157
05/22/2014, 00:00:00	-87.65644	America/Chicago	accep	US	41.80753
05/03/2013, 00:00:00	99.1625	Asia/Jakarta	accep	ID	3.3285
2018-04-29	11.5	Africa/Douala	excellent	CM	3.51667
2016-08-10	102.05461	Asia/Bangkok	average	TH	6.25947
2014/01/13	-8.53778	Africa/Monrovia	accep	LR	7.57944
05 Feb 2022	-111.78903	America/Phoenix	maintenance	US	33.35283
2018-02-19	-113.3187	America/Edmonton	average	CA	53.51684
20 Apr 2019	-2.16	Africa/Casablanca	maintenance	MA	34.31
2019/08/12	-3.05	Europe/London	average	GB	53.81667
2020/04/11	18.84	Europe/Podgorica	excellent	ME	42.28639
2022/03/25	68.75915	Asia/Karachi	average	PK	27.52948
2015-12-26	-91.58045	America/Chicago	average	US	41.6764
12/19/2015, 00:00:00	-93.75018	America/Chicago	excellent	US	32.52515
03/02/2015, 00:00:00	1.6	Europe/Paris	excellent	FR	43.11667
07/06/2021, 00:00:00	-73.89125	America/New_York	building	US	40.67705
07/19/2016, 00:00:00	-94.91386	America/Mexico_City	excellent	MX	17.94979
2013-09-15	37.38115	Europe/Moscow	excellent	RU	55.63711
2017/11/22	5.4584	Europe/Paris	excellent	FR	43.32393
2017/01/06	-122.2054	America/Los_Angeles	accep	US	47.76232
02/13/2017, 00:00:00	13.32127	Europe/Berlin	excellent	DE	52.59319
22 Feb 2021	-121.75689	America/Los_Angeles	maintenance	US	36.91023
2012/12/03	75.11937	Asia/Kolkata	average	IN	20.88098
20 Sep 2018	3.50309	Africa/Algiers	average	DZ	34.15429
2022/01/06	-93.12577	America/Chicago	building	US	44.73941
2021-02-18	-85.43772	America/Costa_Rica	maitennce	CR	10.63504
10 Feb 2022	-76.70944	America/Lima	building	PE	-11.94306
29 Oct 2018	100.24529	Asia/Kuala_Lumpur	acceptable	MY	5.4709
2019-01-09	144.23058	Pacific/Port_Moresby	accep	PG	-5.85746
13 Feb 2017	24.14662	Europe/Helsinki	good	FI	65.84811
2016-12-20	-97.90308	America/Chicago	excellent	US	31.12406
2016/03/08	-69.08333	America/Lima	excellent	PE	-16.25
2022-05-22	85.83334	Asia/Kolkata	building	IN	20.88197
2019/05/24	4.21372	Europe/Brussels	building	BE	51.12794
01/18/2020, 00:00:00	33.72798	Europe/Moscow	good	RU	53.53395
2017-03-21	73	Asia/Bishkek	building	KG	40.93333
01/31/2015, 00:00:00	34.4587	Africa/Blantyre	average	MW	-13.7804
07/23/2014, 00:00:00	118.9707	Asia/Makassar	accep	ID	-3.5403
03/23/2013, 00:00:00	5.22778	Europe/Amsterdam	good	NL	51.955
03/04/2018, 00:00:00	-76.70944	America/Lima	good	PE	-11.94306
2021-12-05	1.33467	Europe/Paris	accep	FR	43.61058
06/01/2020, 00:00:00	18.69303	Africa/Ndjamena	average	TD	12.18441
01/11/2015, 00:00:00	33.34864	Europe/Kiev	good	UA	46.75451
19 Dec 2016	74.3092	Asia/Kolkata	average	IN	33.37526
2020/10/31	-93.12577	America/Chicago	building	US	44.73941
05/07/2022, 00:00:00	9.15013	Africa/Niamey	good	NE	13.70727
25 Mar 2015	-118.25508	America/Los_Angeles	good	US	34.14251
05 Feb 2019	35.7	Africa/Dar_es_Salaam	accep	TZ	-7.76667
06/11/2017, 00:00:00	-115.98391	America/Los_Angeles	building	US	36.20829
10 Jul 2017	91.61356	Asia/Kolkata	good	IN	26.44931
06/12/2014, 00:00:00	12.70038	Europe/Rome	excellent	IT	45.9836
2017/12/04	-81.23621	America/New_York	building	US	33.98154
11/29/2018, 00:00:00	-122.39168	America/Los_Angeles	average	US	40.58654
2013-10-25	-82.07842	America/New_York	good	US	26.91756
2012-12-24	33.72798	Europe/Moscow	excellent	RU	53.53395
26 May 2014	-123.02621	America/Los_Angeles	accep	US	44.99012
10/21/2016, 00:00:00	-93.71133	America/Chicago	excellent	US	41.57721
2018-01-01	-118.25508	America/Los_Angeles	building	US	34.14251
08 Jul 2020	-3.53261	Europe/Madrid	maintenance	ES	40.42386
2020-08-02	37.00438	Africa/Dar_es_Salaam	maitennce	TZ	-7.60361
2017-01-19	6.92917	Europe/Amsterdam	average	NL	52.31333
10/12/2013, 00:00:00	77.9129	Asia/Kolkata	accep	IN	25.6439
13 Sep 2022	4.52529	Europe/Brussels	building	BE	50.71229
15 Jan 2018	-98.1664	America/Mexico_City	average	MX	19.32932
25 Dec 2016	-2.98333	Europe/London	average	GB	53.83333
2020/11/04	127.08472	Asia/Seoul	good	KR	36.20389
2014/12/11	28.28489	Europe/Chisinau	maintenance	MD	48.15659
13 May 2021	137.36215	Asia/Tokyo	average	JP	36.75965
2013/08/17	1.15597	Europe/London	average	GB	51.78967
01 Aug 2015	121.12251	Asia/Manila	good	PH	14.62578
06/02/2013, 00:00:00	53.26023	Europe/Moscow	building	RU	54.39304
08/19/2016, 00:00:00	2.29026	Europe/Paris	maitennce	FR	48.77644
2018-09-12	-88.81395	America/Chicago	accep	US	35.61452
02/23/2018, 00:00:00	51.67462	Asia/Tehran	excellent	IR	32.65246
2019-09-16	-47.1725	America/Sao_Paulo	good	BR	-22.57306
17 Jun 2013	74.3092	Asia/Kolkata	building	IN	33.37526
2021/12/18	79.87116	Asia/Colombo	good	LK	6.84019
2021-12-18	121.96361	Asia/Manila	building	PH	6.95194
2013/04/06	83.36889	Asia/Kolkata	good	IN	26.76628
02/03/2016, 00:00:00	-91.77127	America/Chicago	good	US	37.95143
15 Sep 2015	5.74861	Europe/Amsterdam	accep	NL	52.71083
2014-02-03	2.25	Europe/Paris	accep	FR	50.75
12/23/2017, 00:00:00	8.64409	Europe/Berlin	accep	DE	48.07667
2021/05/05	-88.70464	America/Chicago	accep	US	34.25807
2021/01/19	-122.23484	America/Los_Angeles	accep	US	47.38093
2017-11-16	8.77155	Europe/Berlin	average	DE	50.23019
06/01/2020, 00:00:00	2.12213	Europe/Paris	average	FR	48.8222
04/04/2016, 00:00:00	84.13864	Asia/Kolkata	building	IN	22.88783
22 May 2017	7.20769	Europe/Berlin	accep	DE	50.80019
2017/05/25	-71.06616	America/New_York	excellent	US	42.4251
07/19/2020, 00:00:00	10.98461	Europe/Berlin	maintenance	DE	48.35693
2015/06/30	2.08333	Europe/Paris	excellent	FR	48.86667
11/26/2016, 00:00:00	-93.75018	America/Chicago	accep	US	32.52515
29 Dec 2013	38.66667	Africa/Dar_es_Salaam	excellent	TZ	-6.25
02 Jun 2018	-87.71255	America/Chicago	building	US	41.84364
2021-12-25	-80.66756	America/New_York	good	US	26.68451
06 Jun 2020	-48.59278	America/Sao_Paulo	building	BR	-23.7975
26 Apr 2020	18.34717	Europe/Warsaw	average	PL	54.60528
02 Oct 2020	-75.87877	America/Bogota	average	CO	5.6561
05 Dec 2019	4.08282	Africa/Algiers	excellent	DZ	36.61954
2013/07/18	15.16554	Africa/Kinshasa	good	CD	-4.5833
03/19/2013, 00:00:00	47.3799	Asia/Tehran	good	IR	33.14447
30 Jul 2018	171.25364	Pacific/Auckland	good	NZ	-44.39672
05 Jun 2022	-73.95958	America/New_York	good	US	40.57788
2017-07-21	74.80555	Asia/Kolkata	excellent	IN	34.08565
2021/12/31	-84.20299	America/New_York	accep	US	39.43534
19 Apr 2015	120.74792	Asia/Shanghai	excellent	CN	41.09822
2013/07/07	-122.86705	America/Los_Angeles	accep	US	45.49428
2022/01/11	-60.47389	America/Argentina/Buenos_Aires	excellent	AR	-34.64167
08/10/2017, 00:00:00	-76.72803	America/New_York	good	US	39.32288
07/13/2020, 00:00:00	33.72798	Europe/Moscow	excellent	RU	53.53395
11/09/2016, 00:00:00	-73.99681	America/New_York	average	US	40.94065
02 Feb 2018	75.06583	Asia/Karachi	maintenance	PK	32.17629
13 Apr 2013	-81.38758	America/New_York	excellent	US	30.17746
12 May 2015	46.04833	Europe/Saratov	excellent	RU	51.40944
04 Sep 2013	-3.52751	Europe/London	good	GB	50.7236
17 May 2020	6.76111	Europe/Amsterdam	maintenance	NL	53.16167
2013-04-04	78.27539	Asia/Kolkata	accep	IN	12.95629
2018-07-05	-42.19667	America/Sao_Paulo	good	BR	-21.41222
08/23/2013, 00:00:00	86.51499	Asia/Kolkata	average	IN	23.1959
2015-05-04	43.91385	Europe/Moscow	excellent	RU	54.03876
06 Dec 2013	43.63417	Europe/Moscow	maintenance	RU	43.96222
2022-02-09	-100.88023	America/Mexico_City	maitennce	MX	20.21322
22 Feb 2015	78.27539	Asia/Kolkata	accep	IN	12.95629
2014/06/05	123.99333	Asia/Manila	excellent	PH	12.97389
2016-04-13	-98.15529	America/Chicago	good	US	26.18924
2012/12/28	-87.45476	America/Chicago	average	US	41.47892
30 Dec 2013	117.55417	Asia/Shanghai	average	CN	34.86472
2017-09-05	51.0193	Asia/Tehran	average	IR	35.6803
2016-10-31	46.58333	Indian/Antananarivo	excellent	MG	-21.15
26 Jun 2014	-103.42897	America/Mexico_City	building	MX	20.28527
05/26/2020, 00:00:00	103.81667	Asia/Kuala_Lumpur	excellent	MY	1.6
07/28/2017, 00:00:00	-3.67029	Europe/Madrid	accep	ES	37.13548
2013-01-17	8.52462	Europe/Zurich	good	CH	47.30997
2012-10-07	-6.03731	Europe/Madrid	accep	ES	37.35813
2015/02/18	8.51667	Europe/Berlin	good	DE	51.88333
11/10/2014, 00:00:00	-73.97069	America/New_York	excellent	US	40.64621
11/15/2013, 00:00:00	27.18052	Europe/Istanbul	building	TR	39.12074
2021/11/14	99.96667	Asia/Bangkok	accep	TH	8.43333
2016/10/25	8.62118	Europe/Rome	good	IT	45.44694
02/23/2018, 00:00:00	-58.38341	America/Argentina/Buenos_Aires	maintenance	AR	-34.64966
2021-03-04	34.75699	Asia/Jerusalem	excellent	IL	31.39547
21 Feb 2019	-83.48216	America/Detroit	accep	US	42.30865
2020-01-10	139.07204	Asia/Tokyo	building	JP	36.24624
04/27/2022, 00:00:00	-52.51028	America/Sao_Paulo	building	BR	-28.81833
2013/06/21	-105.11221	America/Denver	average	US	39.57582
2018/05/10	74.12286	Asia/Karachi	average	PK	30.76468
20 Aug 2015	114.10479	Asia/Hong_Kong	maintenance	HK	22.37066
2022-06-20	-80.08199	America/New_York	excellent	US	35.88264
06/22/2013, 00:00:00	73.7553	Asia/Kolkata	accep	IN	15.5439
2012-11-03	122.8637	Asia/Manila	excellent	PH	9.3337
2017/07/31	136.51667	Asia/Tokyo	average	JP	35
2019-11-13	-15.6	Africa/Banjul	good	GM	13.56667
06 Apr 2021	78.40102	Asia/Kolkata	good	IN	27.9247
2018/03/13	37.99117	Europe/Moscow	average	RU	44.92934
11/02/2021, 00:00:00	-73.86586	America/Toronto	excellent	CA	45.43341
06/15/2016, 00:00:00	-81.56929	America/New_York	maintenance	US	41.55838
2013-10-25	-72.86843	America/New_York	accep	US	41.27621
29 Sep 2018	10.03988	Europe/Berlin	average	DE	53.6052
07/23/2019, 00:00:00	27.06365	Europe/Kiev	maintenance	UA	50.18545
2014/10/09	73.08333	Asia/Kolkata	excellent	IN	19.21667
16 Sep 2018	126.665	Asia/Seoul	maintenance	KR	36.6009
2019-08-24	-1.08593	Europe/London	average	GB	50.79205
2017/02/02	-2.98884	Europe/Madrid	accep	ES	43.32686
2016-11-03	-78.04471	America/New_York	good	US	34.25628
