CH4	PRES	warning	PM2.5	SO2	latitude	C2H3NO5	CO	NH3	TEMP	longitude	NOx	PAHs	H2CO	Pb	O3	PM10	CFCs
4.88749	1083.85697	0.00000	9.93353	9.48885	37.35813	0.07888	7.57134	7.46099	1.49989	-6.03731	8.35179	6.01786	52.31403	61.77905	7.34940	6.42995	33.28343
7.24477	1083.01028	1.00000	10.92524	6.41287	-11.94306	0.21327	8.14206	7.90596	18.73758	-76.70944	8.56242	6.98931	61.68300	59.28560	7.32746	8.29493	61.74814
3.71514	1193.29039	1.00000	8.89965	11.19207	25.95533	2.28347	8.36591	7.81654	16.99231	68.88871	6.82860	10.83449	56.90724	80.06592	6.09835	11.03581	34.19849
7.86018	1180.95524	0.00000	9.07099	8.55367	33.37526	0.07734	7.23232	7.78365	20.57034	74.3092	5.83987	7.09658	55.03721	38.49224	10.05127	5.17435	70.24398
9.57604	1107.94157	0.00000	9.14435	9.25725	37.16911	0.12205	8.98125	8.51753	15.63590	10.03478	8.46987	6.43972	62.37261	62.74433	10.23411	7.59845	30.47230
5.64140	1135.68288	1.00000	7.63211	7.60585	35.82756	0.09363	6.56208	6.68560	19.97979	137.95378	8.54391	8.87323	55.93279	63.10042	4.90814	6.79578	60.06222
4.35933	1173.00144	1.00000	9.72452	8.95151	40.92298	0.72129	7.42093	6.92519	20.85972	14.30935	6.84348	11.79102	50.29973	45.17201	5.70892	9.82883	45.07566
8.82017	1168.75800	1.00000	9.12589	7.75666	-10.95817	0.08851	7.12679	6.63660	13.59215	-38.79084	7.90747	4.19839	52.38060	57.91603	7.61469	6.70185	57.82561
8.37707	1112.60177	0.00000	8.01954	8.90184	-34.28853	0.18480	8.35075	8.18427	12.89720	146.05093	8.69211	4.63095	82.44665	61.61434	5.56936	8.03125	45.26043
10.39510	1102.15263	0.00000	8.89263	8.48718	54.03876	0.12968	8.69666		14.34330	43.91385	10.07299	3.57319	52.91202	67.26421	9.51872	7.64330	44.11144
7.44214	1087.38613	0.00000	7.86414	9.17216	26.68451	0.41548	8.26525	6.83919	14.22989	-80.66756	8.73240	9.00695	49.46696	50.47823	6.85796	9.18006	36.80444
5.93019	1051.54991	1.00000	7.26571	9.08442	6.95194	0.54915	7.94291	7.79096	7.99712	121.96361	8.83284	11.93659	41.19648	52.55456	5.60877	9.60101	53.80937
11.65499	1157.18591	0.00000	8.69194	8.08965	28.90054	0.10675	8.66418	8.39015	9.92557	-81.26367	7.68695	5.84673	34.33570	60.90386	7.37578	7.66682	36.26503
7.01119	1069.45466	1.00000	9.09641	8.96981	47.38093	0.71485	9.13042	6.79242	26.91143	-122.23484	8.25464	7.79365	45.63472	68.75439	8.09200	9.82437	60.70751
7.18597	1105.33821	1.00000	9.19038	9.48368	40.2737	0.18744	6.44889	8.64472	13.19762	-76.88442	7.44082	5.93348	59.19990	42.32780	6.54738	7.92826	48.17790
5.20317	1179.66599	1.00000	9.58611	5.00726	10.7375	0.06047	7.64996	7.91268	3.61885	122.9666	8.76104	9.96894	60.67725	68.46550	12.01360	4.77486	23.44460
7.86756	1175.29721	0.00000	8.23376	10.58195	34.21639	0.30828	7.19025	8.29604	30.92432	-119.0376	9.13858	6.35730	69.01317	47.60124	6.19392	8.87130	49.49482
5.32897	1070.37031	1.00000	8.50861	11.08839	40.93333	1.04704	7.53019	8.20938	-2.88603	73	6.64582	10.31646	56.06954	70.91762	6.51609	10.22777	28.93784
6.64669	1193.58927	1.00000	9.76961	5.89808	6.84019	0.05901	7.91569	8.43313	24.52705	79.87116	7.14551	9.12798	53.14777	37.98820	11.05176	5.07520	60.83353
5.87246	1063.86865	1.00000	7.55085	5.40336	3.51667	0.06563	7.74904	6.68597	7.39916	11.5	7.05297	7.82600	42.65928	45.85299	8.81477	5.22625	37.21625
10.48556	1172.36949	0.00000	9.42886	8.01824	38.91817	0.13927	8.59561	7.49688	10.15927	-78.19444	7.25697	4.74562	70.70412	39.96095	8.71054	7.54212	55.78531
9.16570	1102.45323	1.00000	9.30894	9.13773	37.08819	0.19893	7.51469	8.03924	11.18188	-8.2503	6.76507	5.13116	50.87073	54.43330	5.95433	8.14470	49.78360
9.00801	1138.69623	0.00000	10.57240	10.67229	43.32393	0.66400	6.58642	7.27964	9.07345	5.4584	8.62088	8.29131	55.55062	53.71226	7.93323	9.68626	42.33094
7.24866	1068.36260	1.00000	8.80621	6.47567	43.50891	0.06719	7.86173	7.85567	31.89945	16.43915	7.59361	8.23850	62.66323	53.62507	9.42785	5.89679	25.24229
5.24065	1193.82339	1.00000	8.03567	5.91899	54.8421	0.08632	7.91993	7.00796	-1.72461	46.5813	7.96670	9.20575	74.93118	68.10965	8.86689	6.34536	43.13796
8.34813	1155.88289	1.00000	6.43296	9.74579	4.92675	0.48529	8.25138	6.23892	31.09850	6.26764	6.85724	8.90268	50.24887	49.50431	7.70851	9.31223	55.96361
7.16577	1115.05169	0.00000	7.22291	11.85070	6.15038	0.14204	6.50634	10.24396	1.94399	6.83042	7.78819	8.88472	50.33476	41.13152	8.58561	7.83751	28.99118
11.16122	1056.50136	0.00000	7.51489	8.55584	38.10558	0.09648	8.08045	8.83152	16.06662	-1.86343	8.24182	6.47776	57.25637	30.49042	5.67291	6.79788	37.10910
8.99242	1164.47950	0.00000	11.38501	11.66838	50.20528	0.16097	8.24081	7.79091	23.61831	19.27498	6.34213	7.29472	54.48892	40.45455	11.87451	8.04880	51.45647
5.95849	1095.47048	1.00000	9.64131		27.52948	0.08066	7.57812	7.54790	24.76247	68.75915	6.32833	6.61230	30.86651	56.05618	10.04700	4.64151	60.25358
7.05267	1158.90812	1.00000	9.72069	6.75769	35.6803	0.07513	9.11247	8.25854	16.01416	51.0193	7.43554	8.76065	58.34106	40.15616	9.86806	6.40223	39.26726
5.64151	1189.60243	1.00000	11.25186	10.23119	34.21639	8.04791	6.94526	7.03987	19.00094	-119.0376	8.06580	10.89569	50.26089	41.91427	8.02572	12.30844	62.27818
7.80294	1123.22551	1.00000	11.03249	10.19724	49.03685	0.49833	7.62512	6.79178	14.36012	8.70745	8.38247	9.09031	53.66329	51.75035	6.89076	9.32548	63.26180
9.95364	1094.71534	0.00000	8.21104	9.23201	-5.41667	0.11316	8.67477	7.66337	11.15718	38.01667	6.34037	5.04360	76.97656	75.90981	7.84757	7.07394	55.81789
8.07052	1162.38136	1.00000	12.75447	8.87318	34.65918	0.68733	6.81684	7.52234	18.05253	109.22921	7.73852	7.14174	41.20051	65.29362	8.72936	9.70659	57.75387
9.56051	1051.14115	0.00000	9.37091	10.09172	54.03876	0.07339	8.30499	8.12475	23.29593	43.91385	8.67780	8.88394	41.72095	58.48128	7.44369	6.70451	53.95852
8.22153	1172.97992	1.00000	9.45278	10.10343	34.14251	0.28187	7.97181	8.46292	15.37035	-118.25508	7.26404	13.95466	38.24117	49.29556	9.72429	8.79583	76.13628
7.99753	1082.04972	0.00000	7.04688	9.31354	52.41667	0.09500	5.49512	5.61687	-0.30329	0.75	7.94761	7.78506	64.27213	70.46687	11.37799	5.63682	38.91882
5.96747	1063.45176	1.00000	8.82524	6.09263	8.43333	0.08756	10.20462	8.59940	15.39230	99.96667	7.21846	9.59942	48.73194	31.69619	9.43002	6.01593	50.42092
7.41349	1169.62543	1.00000	9.70631	7.14483	-3.20333	0.10896	7.51097	7.92316	10.86704	-52.20639	7.93407	9.20620	58.98671	45.38012	9.02170	6.45316	57.65388
8.56054	1132.99441	0.00000	11.44349	9.04706	-28.81833	0.07537	7.99880	7.94060	0.43652	-52.51028	6.07279	4.77807	50.88696	68.40355	8.17792	6.73005	42.35178
5.17973	1167.88532	1.00000	9.68146	5.09609	24.41288	0.13196	5.46428	5.95783		76.56719	8.19959	7.46912	61.00734	72.77405	7.61522	7.02988	45.29870
7.25715	1190.94477	1.00000	8.55000	7.21112	40.94065	0.05602	7.46996	8.30605	14.49738	-73.99681	8.02064	8.67628	34.63624	66.42623	4.31608	5.58354	50.72955
4.71570	1182.61192	1.00000	6.40852	8.48258	8.62261	0.13128	6.43543	9.11877	15.44900	-70.20749	8.36429	8.50470	44.17529	51.54843	5.09202	7.44859	70.72073
6.42820	1157.95461	1.00000	10.28424	7.90616	49.07866	0.19871	9.06523	7.28378	23.34171	30.96755	6.51549	7.82327	52.03987	60.33962	6.16119	8.48479	55.01019
8.34119	1199.86967	0.00000	8.17606	7.71157	-23.44361	0.39016	7.75690	8.08976	4.25163	-51.87389	6.83121	5.11336	70.23792	69.72208	5.04708	9.13397	39.45821
10.57332	1075.15758	0.00000	10.17658	8.68742	37.13548	0.16588	7.92747	9.01571	-7.16272	-3.67029	8.65964	4.19776	45.88938	47.00368	8.62434	8.00299	41.52994
10.34962	1119.51140	0.00000	11.42898	10.62431	33.37526	0.13882	9.22897	7.17773	13.70774	74.3092	7.14197	8.24199	37.60999	66.60053	9.90747	7.62415	63.44448
7.97549	1092.91349	1.00000	7.57281	11.13006	-8.66667	0.27289	8.08783	6.96923	11.87445	-35.71667	7.93641	8.10866	54.18777	46.42770	7.15505	8.77845	50.23022
5.00723	1132.86509	1.00000	7.79822	6.13647	55.39485	0.11412	7.19289	8.03513	5.24459	43.83992	8.66635	8.98581	41.66177	46.74805	6.78889	7.27439	67.88341
8.97067	1133.53487	0.00000	7.87270	9.41006	50.71229	0.51435	5.94073	8.46547	23.79914	4.52529	7.89557	7.22951	55.49329	62.54881	6.47514	9.44697	47.41182
5.75894	1062.03290	0.00000	5.34247	4.38015	52.4089	0.06887	7.13989	7.19454	5.22560	31.3237	7.39342	2.15484	57.02108	55.77368	9.69723	2.91736	
8.50454	1118.33929	1.00000	9.65866	7.15615	52.57583	0.12993	8.13598	7.04964	35.80843	6.61944	7.41481	8.43974	65.49896	55.30375	6.30944	7.78256	50.59103
4.37356	1170.35909	1.00000	8.34663	8.44384	33.92866	0.50884	5.98814	8.56125	6.40733	-6.90656	8.63103	8.53391	62.37527	45.24612	5.87796	9.43280	49.34870
6.64636	1094.87160	1.00000	8.66377	5.16321	-26.22861	0.04395	8.36020	5.88757	30.71256	-52.67056	6.78551	7.85137	78.31265	38.76533	11.93698	3.75951	49.18105
7.82235	1142.13869	0.00000	7.70211	13.34465	41.57439	0.09422	6.72525	8.45527	35.62680	24.71204	6.55931	7.23873	46.09124	59.14532	7.88075	7.26684	67.50470
7.78948	1079.16057	1.00000	11.05035	11.93192	42.4251	2.02573	6.43491	7.47280	20.40292	-71.06616	9.17872	10.41315	38.54984	69.20320	8.12404	10.89556	25.12933
4.97666	1059.90342	0.00000	9.54545	8.92997	39.78504	0.18737	7.78286	8.56248	10.50781	-85.76942	6.74726	8.83380	52.34097	44.11719	8.55395	8.21249	47.84719
6.27209	1083.50317	1.00000	7.49373	6.06793	8.48714	0.06002	7.39643	6.97294	11.14146	-13.2356	8.13318	8.85562	64.71964	61.32343	9.07056	5.56637	37.67031
6.85573	1195.33101	1.00000	8.70065	6.19695	34.08565	0.06075	7.79070	8.18537	43.91173	74.80555	7.84470	8.06233	60.53929	19.91037	10.04592	5.21143	64.34207
6.06854	1130.92728	0.00000	10.22768	7.36883	-12.91667	0.11635	8.63465	7.58247	5.47925	-39.25	8.43586	4.71056	48.33134	64.34057	6.17899	7.38330	39.29257
6.55624	1150.76652	1.00000	8.79908	6.04738	32.05971	0.07035	9.12446	8.46638	17.64711	34.8732	8.09063	8.85039	35.27261	71.37492	9.80516	5.41046	49.34513
8.15546	1179.34905	1.00000	10.08522	8.34840	65.84811	0.15286	8.03512	5.04250	14.29368	24.14662	8.54444	9.34552	49.90676	48.50360	8.64915	7.77962	61.16670
6.89795	1104.63517	1.00000	11.31430	8.85537	-17.83333	1.11115	5.60615	7.48769	8.60511	48.41667	4.48460	11.92037	82.74217	48.51832	6.79705	10.27674	37.11121
7.03392	1159.97380	1.00000	9.70700	7.39744	-29.2975	0.12980	8.98229	6.91754	22.85806	-51.50361	9.18167	9.51426	48.90850	44.53972	8.30988	7.54208	54.47960
4.39284	1079.79716	1.00000	10.39479	9.68928	53.77166	1.24019	7.58864	7.57702	13.55262	38.12408	8.26281	7.87056	57.88380	65.97769	7.32563	10.41111	40.39972
7.00114	1093.99102	1.00000	8.37727	8.35257	42.16808	0.44395	6.90130	9.15134	8.87074	-88.42814	6.31443	9.39757	45.23257	59.95892	6.23992	9.28303	55.92983
5.06134	1128.75912	1.00000	8.22377	5.66457	33.4425	0.06660	7.29804	8.12982	36.21181	129.96972	8.88444	9.12431	43.11998	67.03583	8.34060	6.35312	46.19218
9.87203	1063.39708	0.00000	7.78802	9.92785	45.69558	0.49865	7.75963	8.36216	39.19417	4.7934	7.48225	7.57923	54.38810	57.83961	6.84889	9.39404	47.22547
4.96628	1082.16783	1.00000	11.23517	10.20601	51.26	5.98221	9.06764	7.05503	24.40123	-2.1875	8.29921	9.97207	49.31893	24.63683	7.92949	12.00913	51.50812
7.52619	1064.35653	0.00000	9.08145	9.61570	46.08333	0.07340	8.86447	8.21678	25.65659	122.08333	10.02978	6.13122	61.86701	55.03826	9.59608	5.63616	48.33564
7.49692	1172.57234	1.00000	12.12881	7.46915	41.27621	0.15115	5.64899	6.86635	2.53975	-72.86843	7.92064	5.89398	53.27515	71.67836	7.38745	7.96084	31.00489
6.62717	1065.43674	1.00000	8.10017	6.33375	47.64995	0.02730	7.86372	7.99702	15.03233	-117.23991	6.56680	8.36743	32.50484	39.51425	8.78078	5.53159	41.83996
8.09402	1114.55178	0.00000	10.04089	9.53964	50.80019	0.07217	7.45234	6.90316	7.86822	7.20769	7.63646	6.20981	55.81391	68.31831	10.74376		41.86836
5.52183	1196.72537	1.00000	9.00274	4.93759	3.11988	0.04619	6.61481	6.66939	25.90364	35.59642	8.65567	8.94748	46.30130	65.05038	10.37963	4.97995	51.04531
5.37954	1087.32563	1.00000	9.85140	4.73371	4.92675	0.06423	7.36321	7.61763	28.22384	6.26764	9.61073	7.41012	52.29204	52.34978	8.19767	5.91688	40.38956
7.32214	1068.73950	1.00000	10.51231	8.85094	18.65297	0.28004	8.63736	7.85613	8.78802	-72.09391	6.67276	9.64683	65.44526	69.05072	6.37185	8.64092	51.08207
6.77605	1147.39286	1.00000	10.46673	9.77336	35.89972	0.06025	7.94005	7.79176	10.81456	14.51472	9.57005	7.37794	53.57856	50.81651	10.40712	5.45840	62.14848
7.03650	1189.40567	1.00000	10.06486	6.33421	10.7375	0.07323	8.27600	7.21924	5.96083	122.9666	8.54232	9.21031	65.49268	29.61150	10.44614	5.73955	32.17658
7.99479	1171.33432	0.00000	8.58867	8.38483	40.67705	0.08862	7.81605	8.19881	27.06424	-73.89125	6.41372	7.62607	32.77978	52.50615	9.52010	4.99101	36.75223
6.17901	1101.96204	0.00000	10.24169	8.54681	42.8334	0.06662	7.88135	7.89009	26.34751	-80.38297	7.54641	6.30830	64.39512	41.30090	11.91763	5.13538	31.31543
8.78939	1117.68179	0.00000	12.25428	7.43656	34.25807	0.43673	7.18344	7.23048	15.57303	-88.70464	7.19802	8.71800	54.10923	71.75601	8.56328	9.28525	59.50299
6.55076	1081.88476	0.00000	8.96724	9.46776	50.71229	0.41767	8.54056	7.84907	9.69539	4.52529	6.17998	9.11291	41.50019	63.02690	6.96202	9.22712	43.12724
6.03583	1151.45071	1.00000	10.03579	6.83520	37.19723	0.14183	7.52718	8.56407	17.72912	122.05228	5.41012	8.95731	58.63782	46.09931	7.00401	7.89373	61.29928
7.66882	1121.87437	0.00000	8.45675	10.26335	55.8736	0.08575	7.48840	7.60417	25.43253	85.4265	6.36862	5.73270	63.69523	76.82937	11.58368	6.13876	56.19550
7.98324	1060.56343	0.00000	9.21934	9.30134	43.78956	0.47805	7.68370	9.17313	30.06068	7.60872	8.32528	7.02277	70.97345	55.21355	6.60009	9.38138	53.83297
5.94642	1071.83393	1.00000	8.76051	5.31302	49.97704	0.11808	7.87997	6.06589	14.63569	9.15214	7.66728	7.63823	55.76078	57.20033	9.23533	5.66010	47.28606
5.76446	1186.23284	1.00000	7.46290	6.43789	45.9836	0.08322	8.40816	8.31013	9.77149	12.70038	8.10583	9.43920	44.79383	37.50368	7.85606	6.89604	42.27271
6.31898	1111.33514	0.00000	9.19505	6.58414	40.93333	0.05726	7.85674	5.88655	13.83397	73	9.13112	5.26298	63.07888	79.32533	8.73737	3.91318	46.95977
9.06379	1117.45229	0.00000	8.53892	9.68637	18.42745	0.58482	5.79150	5.56053	18.42654	-67.15407	9.14202	6.89286	41.51218	53.20656	6.54611		47.22673
8.89279	1184.60512	1.00000	8.82451	8.51243	39.57582	0.09334	7.36842	7.68267	30.86914	-105.11221	6.26458	9.49560	34.77447	41.42299	9.38777	7.03800	48.35848
10.62938	1160.65716	0.00000	9.27785	6.16140	53.69786	7.08388	6.28672	7.87465	7.16364	-2.68758	7.48519	6.09038	52.73115	35.79068	4.57517	12.17720	52.65043
10.89093	1174.85507	0.00000	7.08448	11.24909	-3.74912	1.32678	5.76983	8.19968	2.37187	-73.25383	8.14359	7.44446	73.18722	54.33314	5.68860	10.46720	38.23677
9.73372	1113.69264	0.00000	6.79746	8.79308	38.54491	0.07653	8.34415	7.48295	23.71297	-121.74052	6.09471	4.10190	44.52185	67.24306	9.18574	7.00280	34.69616
7.39049	1064.01542	1.00000	12.36684	7.45064	20.28527	1.36117	9.12577	6.90074	22.39967	-103.42897	6.29884	8.83306	59.57804	33.43693	8.11669	10.49470	58.85293
6.17832	1178.05728	1.00000	7.37146	11.82397	-4.5833	1.66424	9.35601	7.70247	17.80346	15.16554	8.03358	8.89993	20.20196	47.83972	7.16165	10.71183	43.11937
9.98038	1068.77310	0.00000	10.17787	9.89010	5.4709	0.14119	8.47792	7.92190	7.74981	100.24529	9.88991	6.54146	46.68971	56.88323	9.51019	7.70401	65.97491
6.42684	1089.07163	1.00000	6.63990	6.08711	43.50891	0.05116	6.79364	9.03379	19.44232	16.43915	7.27044	8.71055	19.06993	57.91623	8.83492	5.09213	63.61867
8.73690	1128.48133	0.00000	7.58076	11.51098	25.13915	0.89332	6.61096	7.92979	8.17692	73.06784	5.62926	7.86745	62.54550	48.48155	6.77818	10.05735	74.39598
8.35868	1178.20124	0.00000	8.17283	8.18735	0.46005	0.05500	6.22888	7.88440	11.46841	34.11169	6.76743	6.67347	60.67678	43.21555	8.09326	5.10144	43.72701
4.44026	1088.79184	1.00000	7.07218	8.84766	53.6052	0.29613	6.79215	9.23673	29.84312	10.03988	8.33004	10.46373	64.64883	58.19231	4.35823	8.81900	56.06602
8.80294	1178.89445	0.00000	7.25893	8.78992	33.41012	1.25934	6.85310	5.93702	18.28792	-91.06177	7.35313	7.92620	62.86276	43.04819	6.24859	10.39929	65.71224
5.59365	1102.19120	1.00000	9.17279	8.67465	60.2052	0.07105	8.52442	7.56936	9.55215	24.6522	7.10486	8.57699	43.35931	57.57855	4.39283	6.47987	48.78917
8.34762	1063.19488	0.00000	11.75097	8.39838	58.1908	0.39672	8.29497	8.20494	8.66907	40.17171	6.69950	6.36060	54.43252	65.10553	7.05570	9.22756	66.52024
9.51664	1174.86365	0.00000	10.34400	8.51889	40.78206	0.11146	5.81362	7.73874	19.60671	72.34424	8.06327	5.15099	67.07904	48.47731	8.63842	7.41966	44.43592
6.31128	1148.81305	1.00000	10.42936	7.44488	23.18	0.17312	5.54941	8.52638	7.22124	88.58	8.83579	11.44380	35.39075	53.55461	8.94598	7.91537	54.09834
7.35667	1128.18144	1.00000	10.23938	8.02816	50.75932	0.13008	8.28226	7.12302	13.53871	25.34244	8.65715	10.16424	48.44431	60.70684	6.09729	7.54498	57.40015
6.29613	1108.24771	1.00000	9.03049	6.18613	41.48199	0.04927	9.55741	8.37244	8.55520	-81.79819	7.33681	9.60892	41.98272	69.35670	10.61736	5.80591	74.19518
7.57378	1157.85081	1.00000	9.30175	6.82800	49.41029	0.06433	10.27925	6.81162	6.16027	38.15035	6.10830	9.58205	46.62551	37.61209	11.75334	4.94011	54.29000
7.26860	1076.79594	1.00000	9.82060	8.64932	53.81667	0.34225	8.17231	6.91920	36.24577	-3.05	7.63877	6.11069	80.54990	49.93197	6.06191	9.02920	55.97007
9.19922	1172.01319	0.00000	9.29796	7.38275	52.09	0.05340	7.88933	8.10747	16.15471	5.23333	6.87865	7.91064	57.47811	38.03842	7.46811	5.59858	29.66748
8.01108	1064.25159	1.00000	9.78259	7.96858	50.76306	0.60396	6.56045	8.60396	28.68620	-1.29772	7.81671	7.28942	62.63284	45.75301	8.04854	9.55657	42.11800
9.22849	1117.30488	0.00000	7.62266	10.07691	46.75451	0.27255	7.61563	7.32548	9.88306	33.34864	6.80553	6.28144	57.63655	49.99079	6.39765	8.66204	41.76588
6.02844	1168.63069	1.00000	9.35867	9.65699	26.91756	1.74317	7.26801	8.12146	27.17348	-82.07842	9.39392	10.82386	59.36448	53.41461	6.73378	10.75817	43.92008
4.93617	1076.29220	1.00000	9.78840	5.56246	10.63504	0.09532	7.46098	7.80065	15.07771	-85.43772	8.08717	9.61328	45.13317	64.41841	8.91492	7.10434	64.02470
4.91111	1078.57760	1.00000	9.53506	5.01895	-28.81833	0.07887	7.82690	9.06508	16.28047	-52.51028	8.21983	8.69507	48.85344	49.08363	8.71272	6.28299	32.37701
4.10424	1189.63809	1.00000	9.35249	2.91617	41.91738	0.05978	8.88884	8.09109	27.06690	3.1631	6.05721	7.10009	49.97347	41.39431	10.82870	3.64987	49.84628
6.24483	1149.34232	1.00000	8.92810	5.92033	50.82882	0.11265	8.05496	6.61251	1.78810	-0.32247	8.63890	8.10359	46.33716	54.06582	8.62710	6.11634	40.45439
7.24315	1091.83419	0.00000	11.06369	9.66735	40.11583	0.09014	8.50520	8.38066	4.14454	67.84222	7.67371	5.40360	66.68980	49.69507	11.04913	5.95333	51.65695
7.55917	1132.19342	0.00000	9.52455	10.68896	-6.25	0.06105	9.05235	9.30565	3.24026	38.66667	7.10551	8.71785	50.01113	57.47299	9.78828	5.86875	54.55790
8.26983	1055.35479	0.00000	8.81031	8.41624	52.4581	0.32408	8.60296	5.68624	28.45146	13.28702	7.84337	6.33048	68.26466	64.20080	6.23900	8.94590	51.76723
5.61971	1186.73830	1.00000	9.21152	6.73413	52.09	0.08524	7.77028	9.21782	19.60647	5.23333	6.75196	10.70344	56.91313	60.14732	9.20341	7.09881	52.14954
	1056.03850	1.00000	7.47163	8.02597	6.95194	0.09712	8.03917	8.61333	20.54813	121.96361	8.38138	8.16212	48.99037	43.71288	4.21495	6.92086	35.63416
7.32780	1052.23100	0.00000	8.04592	9.85606	33.08014	0.90977	7.37869	6.62299	17.03120	-83.2321	8.53413	11.41883	61.40829	50.80596	5.65179	10.06340	68.15250
6.77233	1051.30406	1.00000	7.75153	10.80973	10.61285	0.22792	6.41356	8.18807	16.59721	12.19458	7.08181	8.68969	92.85535	43.13705	5.92861	8.29625	35.19211
7.01215	1109.90292	1.00000	8.16998	8.06242	41.55815	0.12068	9.27859	7.76564	21.34872	-73.0515	6.53576	10.13138	47.53509	57.44555	8.13418	7.59715	55.14673
7.38551	1145.98304	1.00000	9.70671	8.70374	44.92934	0.08964	8.13609	8.66463	13.90149	37.99117	8.79594	8.98553	62.20064	53.51515	5.11895	6.88880	51.37635
5.63699	1052.03810	1.00000	11.11934	8.71505	30.76468	1.93646	8.31311	8.17124	-10.73319	74.12286	8.70364	8.78544	41.53188	50.98797	7.57367	10.85916	54.51064
5.01457	1166.73233	1.00000	9.36664	10.10663	40.65995	0.70803	8.16046	6.79734	26.98136	-111.99633	7.39101	8.34143	53.47690	57.01448	6.63941	9.77150	36.44724
6.66065	1179.24724	1.00000	7.32107	8.94431	36.61954	0.19071	8.15765	6.84618	22.07946	4.08282	10.46304	8.16128	58.34552	57.27092	6.18394	8.17039	42.78580
9.25399	1132.18287	0.00000	10.33404	6.53344	40.93121	0.73557	7.51160	8.94169	4.79343	-73.89875	8.43090	7.90534	54.00072	46.29809	7.18309	9.86947	34.11188
8.57938	1051.63983	0.00000	7.69901	10.16277	20.88098	1.42208	7.78430	8.23896	17.07527	75.11937	7.38228	8.03805	58.68078	58.34823	6.40896	10.53131	55.99715
8.06665	1174.33745	1.00000	8.44315	7.92079	51.955	0.08674	7.91317	9.06893	-4.17072	5.22778	8.16023	8.90957	54.47814	66.31805	8.40877	6.88704	28.85928
9.21155	1182.58094	1.00000	8.76232	8.78680	-23.44361	0.35733	7.89404	6.33705	29.11445	-51.87389	7.82701	8.51730	58.40884	47.15598	8.06642	9.09341	39.34886
5.04838	1062.75081	1.00000	6.62575	9.30413	26.11527	0.12575	8.63320	8.01264	23.69498	86.59509	8.27843	10.64120	65.21979	60.83766	4.38092	8.08150	42.38892
7.45253	1116.10942	1.00000	12.56160	8.80101	-33.75881	0.31364	8.21589	8.69791	26.17998	150.99292	8.59146	8.25573	24.02131	32.51941	7.41346	8.90127	61.10939
7.45307	1175.67212	1.00000	6.88141	7.26918	52.4089	0.10577	7.23337	8.81825	19.80362	31.3237	7.06999	7.23359	68.01382	49.47674	5.28429	7.42002	50.05201
5.86028	1106.62897	1.00000	9.71916	6.40709	29.65163	0.17399	8.31603	6.85913	7.96936	-82.32483	7.60964	8.81881	43.90052	64.93939	7.94849	7.76196	60.01712
5.64839	1119.05958	0.00000	8.99878	5.22912	20.88098	0.67956	7.83394	7.72612	-1.65516	75.11937	8.89870	7.08264	67.78222	68.16600	5.79058	9.79314	43.12638
