QoS	location	longitude	revision	latitude	station
excellent	America/Chicago	-95.36969	06/29/2018, 00:00:00	35.74788	Muskogee
good	Europe/Skopje	21.32778	2016/10/24	42	Saraj
good	America/Chicago	-89.99038	26 Aug 2020	38.58894	Fairview Heights
excellent	Asia/Shanghai	117.4831	05 Aug 2019	27.34089	Shaowu
building	America/Puerto_Rico	-66.8499	08/20/2017, 00:00:00	18.03496	Yauco
good	Africa/Brazzaville	15.28318	27 Nov 2021	-4.26613	Brazzaville
accep	America/Caracas	-70.20749	12/29/2017, 00:00:00	8.62261	Barinas
good	Europe/Amsterdam	5.22778	25 Jun 2013	51.955	Culemborg
accep	Asia/Karachi	73.97117	2021-11-08	31.96258	Naushahra Virkan
excellent	America/New_York	-71.08977	2016-02-04	41.9001	Taunton
good	Europe/Skopje	21.32778	2017/01/05	42	Saraj
good	Europe/Rome	11.412	22 Nov 2017	45.50369	Montecchio Maggiore-Alte Ceccato
maintenance	Europe/Paris	4.7934	2013-07-07	45.69558	Saint-Genis-Laval
excellent	Europe/Moscow	33.72798	2014-07-02	53.53395	Zhukovka
average	Asia/Karachi	68.88871	2015-05-25	25.95533	Jhol
accep	Africa/Tunis	10.78222	16 Mar 2013	36.46917	Beni Khiar
maintenance	America/Sao_Paulo	-47.53028	2019/09/12	-22.45667	Santa Gertrudes
good	Asia/Aqtobe	59.6	2016-04-21	47.83333	Shalqar
building	Asia/Tokyo	136.61667	06 May 2019	36.53333	Nonoichi
accep	Europe/Berlin	8.96317	06/19/2016, 00:00:00	48.35149	Hechingen
maintenance	America/Chicago	-88.31476	2021-11-22	36.61033	Murray
maintenance	America/New_York	-82.90375	2018-03-07	32.54044	Dublin
maintenance	Europe/Paris	5.4384	2021-03-26	43.2907	Marseille 11
good	Asia/Bangkok	103.65309	02/26/2019, 00:00:00	16.0567	Roi Et
average	Africa/Dar_es_Salaam	37.00438	08/06/2019, 00:00:00	-7.60361	Kidodi
excellent	America/Indiana/Indianapolis	-86.11084	01 Oct 2019	41.75338	Granger
average	Europe/Madrid	-1.86343	2020/07/24	38.10558	Caravaca
average	Europe/Minsk	31.3237	10/28/2015, 00:00:00	52.4089	Dobrush
excellent	Europe/Berlin	7.2278	2015-06-09	50.64336	Bad Honnef
good	Africa/Niamey	9.15013	2014/07/11	13.70727	Mirriah
good	Asia/Yerevan	44.7662	2012/12/22	40.49748	Hrazdan
accep	Europe/Prague	12.87117	2013-10-13	50.23271	Karlovy Vary
excellent	Asia/Tokyo	137.36215	06/16/2017, 00:00:00	36.75965	Namerikawa
excellent	Asia/Karachi	68.21204	03/16/2018, 00:00:00	27.55898	Larkana
good	Africa/Djibouti	42.7125	2014/10/04	11.15583	'Ali Sabieh
maintenance	America/Chicago	-89.64066	2014/05/05	40.56754	Pekin
maintenance	America/New_York	-82.32483	08/10/2016, 00:00:00	29.65163	Gainesville
excellent	America/Chicago	-86.99666	16 Jan 2014	33.45122	Hueytown
maintenance	Europe/Rome	7.60872	2017-01-17	43.78956	Ventimiglia
maintenance	Asia/Ho_Chi_Minh	105.75635	03/23/2016, 00:00:00	10.29085	Sa Dec
building	Europe/Madrid	-1.86343	28 Sep 2018	38.10558	Caravaca
accep	Asia/Shanghai	130.57211	2021/06/24	45.75279	Boli
accep	Asia/Tokyo	139.55028	27 Apr 2015	35.30889	Kamakura
maitennce	America/Chicago	-98.15529	2014-03-18	26.18924	San Juan
excellent	Europe/Berlin	12.1369	06/01/2018, 00:00:00	51.04962	Zeitz
accep	Europe/Belgrade	22.53083	12/19/2013, 00:00:00	44.22639	Negotin
maintenance	Africa/Dar_es_Salaam	38.01667	23 Mar 2018	-5.41667	Chanika
average	Asia/Kolkata	75.16878	2019/07/14	30.81383	Moga
maintenance	Europe/Moscow	38.12408	11 Apr 2021	53.77166	Bogoroditsk
average	America/Chicago	-102.36764	2018-03-01	31.84568	Odessa
average	Asia/Makassar	117.59152	2017/08/26	3.31332	Tarakan
excellent	America/Recife	-35.71667	09/18/2015, 00:00:00	-8.66667	Catende
accep	Europe/Minsk	25.8191	02 Jul 2013	53.5942	Novogrudok
building	Asia/Jakarta	112.01667	10/30/2015, 00:00:00	-7.81667	Kediri
good	Africa/Lubumbashi	24.99798	2014-12-13	-8.73508	Kamina
good	Europe/Berlin	12.16179	04/29/2017, 00:00:00	48.52961	Landshut
accep	Africa/Kinshasa	15.16554	2013/03/24	-4.5833	Kasangulu
maintenance	Europe/Sofia	27.25	01/07/2022, 00:00:00	42.7	Aytos
building	America/Sao_Paulo	-51.87389	2014/08/18	-23.44361	Sarandi
average	Europe/Moscow	34.33825	01/12/2019, 00:00:00	53.59782	Dyat’kovo
excellent	Asia/Kolkata	74.3092	2018-11-23	33.37526	Rajaori
average	Asia/Kolkata	88.18466	2016-03-26	22.19303	Diamond Harbour
accep	America/New_York	-80.08199	2021-07-28	35.88264	Thomasville
accep	Asia/Bangkok	104.64992	02 Dec 2016	14.64056	Kantharalak
average	Pacific/Auckland	171.25364	01/16/2020, 00:00:00	-44.39672	Timaru
accep	Europe/Paris	5.55575	2013-01-13	46.67535	Lons-le-Saunier
accep	Africa/Douala	10.7	01 Dec 2019	4.96667	Tonga
maintenance	America/Sao_Paulo	-53.13722	01 Nov 2019	-22.92306	Loanda
excellent	America/Los_Angeles	-122.24092	2015/08/16	47.4943	Bryn Mawr-Skyway
good	Africa/Casablanca	-2.16	16 Mar 2022	34.31	Jerada
average	Europe/Berlin	7.973	2013/01/02	51.168	Finnentrop
maintenance	America/El_Salvador	-89.10944	28 Apr 2021	13.70167	Ilopango
excellent	America/New_York	-73.20483	07/14/2020, 00:00:00	41.16704	Bridgeport
average	Asia/Jakarta	99.1625	2019/08/14	3.3285	Tebingtinggi
accep	Asia/Jakarta	110.8405	02/28/2016, 00:00:00	-6.8048	Kudus
average	America/New_York	-81.26367	06 Aug 2016	28.90054	Deltona
building	Asia/Manila	120.57224	04/16/2013, 00:00:00	15.72892	Burgos
good	Europe/Amsterdam	7.00417	2020/06/15	52.26083	Losser
accep	America/New_York	-84.23381	2013/11/27	33.54428	Stockbridge
accep	America/Los_Angeles	-120.45794	07/29/2013, 00:00:00	34.63915	Lompoc
excellent	Africa/Libreville	13.58357	01/23/2017, 00:00:00	-1.63333	Franceville
building	Asia/Tehran	51.49621	2017-02-12	36.64852	Nowshahr
maintenance	America/Toronto	-73.58248	01/16/2020, 00:00:00	45.40008	Sainte-Catherine
accep	America/Chicago	-96.39774	07/16/2020, 00:00:00	30.16688	Brenham
accep	America/Los_Angeles	-117.14392	2015-04-07	32.9156	Mira Mesa
good	Asia/Manila	122.8637	2014-06-23	9.3337	Santa Catalina
building	Europe/London	-1.29243	2016-05-18	53.49389	Mexborough
accep	America/Manaus	-58.44417	26 Jun 2014	-3.14306	Itacoatiara
maintenance	Asia/Bangkok	103.65309	2019/12/09	16.0567	Roi Et
accep	Asia/Yerevan	44.7662	2021-10-17	40.49748	Hrazdan
excellent	America/Sao_Paulo	-42.98194	02/15/2022, 00:00:00	-22.53722	Guapimirim
excellent	Asia/Kolkata	74.4818	09 Feb 2013	30.21121	Malaut
good	Europe/Istanbul	28.88222	13 Mar 2018	40.37528	Mudanya
accep	America/Chicago	-87.88754	05/26/2019, 00:00:00	41.15376	Bourbonnais
good	Europe/Rome	15.00913	04 Jan 2016	37.51803	Misterbianco
excellent	Asia/Karachi	71.52847	2017/11/06	32.57756	Mianwali
building	America/New_York	-75.60804	11/28/2016, 00:00:00	39.96097	West Chester
accep	America/Los_Angeles	-122.24064	11 Dec 2013	47.80527	Bothell West
average	Asia/Shanghai	117.65694	02/04/2022, 00:00:00	36.19278	Laiwu
building	America/Chicago	-87.88754	2019/11/28	41.15376	Bourbonnais
accep	Asia/Seoul	128.63083	11/04/2017, 00:00:00	36.82167	Eisen
accep	Asia/Bangkok	99.95469	2012/11/30	13.51825	Damnoen Saduak
maintenance	Europe/Moscow	38.02486	02 May 2018	55.64776	Malakhovka
average	Asia/Kolkata	79.5286	2014-07-31	29.22254	Haldwani
accep	Asia/Kolkata	75.37991	11 Oct 2016	25.75728	Deoli
good	Asia/Tokyo	144.09638	28 Jun 2017	43.82634	Motomachi
accep	Europe/Rome	13.57661	2017/09/26	37.31065	Agrigento
building	Europe/Madrid	-1.325	04 Mar 2022	38.47917	Jumilla
good	Europe/Paris	2.61667	2016/09/11	48.98333	Mitry-Mory
accep	America/Lima	-73.25383	2015-03-04	-3.74912	Iquitos
accep	Asia/Tokyo	140.11667	07/06/2017, 00:00:00	37.56667	Inawashiro
maitennce	Europe/Berlin	10.98461	09 Sep 2013	48.35693	Friedberg
accep	Europe/Moscow	32.86389	2022-08-25	53.95278	Roslavl’
accep	Asia/Karachi	72.54566	2016-10-05	29.69221	Hasilpur
average	Europe/Paris	5.4584	2021-04-07	43.32393	Les Olives
good	Asia/Shanghai	114.51667	06/04/2019, 00:00:00	33.78333	Wacheng
excellent	Asia/Tokyo	130.94098	11 Apr 2022	33.3213	Hita
building	Europe/Zagreb	16.43915	2017/08/15	43.50891	Split
good	America/New_York	-72.27814	2014-01-16	42.93369	Keene
maintenance	America/Mexico_City	-99.32556	2019-12-18	19.32889	San Lorenzo Acopilco
maintenance	Asia/Seoul	128.9889	20 Nov 2018	37.1759	T’aebaek
building	Asia/Kolkata	77.5609	2022/07/07	11.00599	Kangayam
accep	Africa/Douala	10.7	2018/03/13	4.96667	Tonga
excellent	Asia/Shanghai	117.55417	2021/12/21	34.86472	Zaozhuang
good	Asia/Jakarta	104.09701	15 Jun 2014	-1.26424	Simpang
accep	Africa/Djibouti	42.7125	09/14/2015, 00:00:00	11.15583	'Ali Sabieh
excellent	America/Chicago	-97.03285	2012-10-01	47.92526	Grand Forks
excellent	Europe/Rome	14.66737	2017/03/27	41.55947	Campobasso
good	America/Havana	-77.43532	05/20/2020, 00:00:00	20.14298	Media Luna
average	America/Chicago	-95.44744	11 May 2021	29.53885	Fresno
building	America/Toronto	-80.38297	06 Oct 2019	42.8334	Norfolk County
good	America/Chicago	-88.27205	2016-05-11	44.27804	Kaukauna
accep	Asia/Kolkata	71.30633	2022/04/19	21.34222	Kundla
accep	America/Chicago	-93.71133	2019/04/25	41.57721	West Des Moines
average	Africa/Lagos	4.18333	01/29/2016, 00:00:00	7.6	Olupona
maitennce	Africa/Lagos	6.83042	12 Aug 2014	6.15038	Nkpor
accep	Europe/Rome	9.32241	2017/11/12	44.31771	Chiavari
average	Asia/Tehran	48.26258	05/07/2021, 00:00:00	33.86419	Aleshtar
excellent	America/Santiago	-71.19901	06/16/2021, 00:00:00	-30.60106	Ovalle
excellent	Europe/Warsaw	18.30056	05/26/2019, 00:00:00	50.5107	Strzelce Opolskie
accep	America/Caracas	-68.30472	2021/05/07	9.91861	Tinaquillo
average	America/New_York	-73.75513	07 Jul 2016	40.60538	Far Rockaway
excellent	Asia/Kolkata	77.70636	2014/02/15	28.98002	Meerut
average	Africa/Johannesburg	30.79165	2013/02/15	-27.76952	Vryheid
maintenance	Europe/Berlin	7.973	2020/02/07	51.168	Finnentrop
building	Europe/Berlin	8.91229	11 Aug 2022	49.13645	Eppingen
accep	America/Lima	-73.25383	08/25/2017, 00:00:00	-3.74912	Iquitos
building	Africa/Casablanca	-2.16	2021/10/27	34.31	Jerada
average	Europe/Berlin	6.26667	2013-12-26	51.21667	Schwalmtal
building	America/New_York	-73.20483	15 Oct 2017	41.16704	Bridgeport
accep	Asia/Bangkok	102.05461	15 Nov 2018	6.25947	Tak Bai
good	America/Recife	-35.71667	2016/12/31	-8.66667	Catende
average	Pacific/Auckland	178.00417	11/04/2014, 00:00:00	-38.65333	Gisborne
maintenance	Asia/Tokyo	137.36215	06/05/2017, 00:00:00	36.75965	Namerikawa
accep	Asia/Tokyo	137.4	2021/10/27	34.81667	Toyokawa
good	America/Sao_Paulo	-52.67056	2021-03-05	-26.22861	Pato Branco
building	Asia/Jakarta	99.1625	2016/01/22	3.3285	Tebingtinggi
average	Europe/Madrid	-2.98884	2018/10/14	43.32686	Leioa
excellent	Africa/Lagos	8.2926	2015-01-18	9.58126	Kafanchan
excellent	America/New_York	-75.23266	12/17/2018, 00:00:00	43.1009	Utica
accep	Europe/Paris	2.45012	2021/07/10	48.90982	Bobigny
building	Europe/Helsinki	24.6522	2016/10/22	60.2052	Espoo
excellent	Europe/Moscow	47.1192	29 May 2015	42.819	Buynaksk
building	Asia/Vladivostok	133.42825	2020/11/17	45.47885	Lesozavodsk
good	America/New_York	-82.90375	28 Apr 2018	32.54044	Dublin
accep	Africa/Lagos	3.64633	01/26/2014, 00:00:00	6.8485	Shagamu
good	America/New_York	-73.47429	09/07/2019, 00:00:00	40.68066	Massapequa
maintenance	Europe/Moscow	35.90057	2015-03-23	56.85836	Tver
excellent	Africa/Nairobi	35.59642	03 Jun 2017	3.11988	Lodwar
building	Europe/Berlin	8.91229	2015/11/23	49.13645	Eppingen
average	Asia/Yerevan	44.7662	18 Jul 2014	40.49748	Hrazdan
good	Europe/Paris	5.55575	08/24/2014, 00:00:00	46.67535	Lons-le-Saunier
building	Asia/Kolkata	71.57737	20 Sep 2017	21.53889	Gariadhar
good	Asia/Jakarta	103.61667	2022/03/31	-1.6	Jambi City
average	Asia/Tehran	48.26258	2016-09-10	33.86419	Aleshtar
excellent	Asia/Tokyo	138.31667	11/21/2018, 00:00:00	36.65	Suzaka
good	Asia/Almaty	77.0202	2017-05-16	43.41949	Otegen Batyra
average	Europe/Istanbul	28.88222	08 Jun 2013	40.37528	Mudanya
accep	Europe/London	-3.52751	2016/06/19	50.7236	Exeter
good	Europe/Amsterdam	5.23333	2019/08/24	52.09	Zeist
excellent	Europe/Paris	5.4584	03/23/2015, 00:00:00	43.32393	Les Olives
accep	Asia/Kolkata	77.54372	12/10/2013, 00:00:00	10.12268	Periyakulam
accep	Europe/Kiev	33.34864	02/26/2014, 00:00:00	46.75451	Nova Kakhovka
excellent	America/New_York	-82.61573	2017-04-24	41.24255	Norwalk
accep	Asia/Krasnoyarsk	89.20083	20 Oct 2013	55.54028	Sharypovo
maintenance	Asia/Tokyo	136.51667	2015/01/09	35	Komono
accep	Europe/London	-1.48119	06/04/2018, 00:00:00	53.0233	Belper
accep	Europe/Berlin	8.51667	2014-11-15	51.88333	Verl
excellent	Asia/Tokyo	136.51667	2014-05-16	35	Komono
accep	Europe/Istanbul	28.88222	03/11/2017, 00:00:00	40.37528	Mudanya
excellent	America/Los_Angeles	-119.01677	2022-06-17	36.06523	Porterville
average	Asia/Colombo	79.883	2019/10/21	6.9909	Hendala
accep	America/Los_Angeles	-122.86705	07/20/2021, 00:00:00	45.49428	Aloha
good	Europe/London	-1.99421	2013-07-25	51.35084	Devizes
maintenance	America/Bahia	-38.94722	07/24/2013, 00:00:00	-15.675	Canavieiras
building	America/Chicago	-88.70464	15 Feb 2016	34.25807	Tupelo
average	America/New_York	-74.07764	2014/06/06	40.72816	Jersey City
excellent	Europe/Madrid	-4.10734	08 Apr 2020	38.68712	Puertollano
average	Europe/Moscow	36.73307	2016/04/20	55.38752	Naro-Fominsk
accep	Europe/Berlin	8.77069	2018-09-08	50.80904	Marburg an der Lahn
good	Europe/Dublin	-7.95	2016-08-09	53.43333	Athlone
average	Europe/Berlin	8.70745	08/23/2020, 00:00:00	49.03685	Bretten
average	America/Chicago	-93.263	03/10/2015, 00:00:00	45.0408	Columbia Heights
accep	Europe/Paris	-1.05366	2021/08/20	43.71032	Dax
excellent	Europe/London	1.26738	05/10/2013, 00:00:00	51.84819	Walton-on-the-Naze
excellent	Europe/Moscow	37.56667	2022/07/10	55.85	Likhobory
excellent	Europe/Madrid	2.18247	15 Feb 2018	41.41204	el Camp de l'Arpa del Clot
excellent	Europe/London	0.93333	05 Oct 2012	52.68333	East Dereham
average	America/Chicago	-87.70172	01 Oct 2012	41.72059	Evergreen Park
building	Africa/Lagos	4.18333	09/11/2022, 00:00:00	7.6	Olupona
good	Australia/Brisbane	153.10236	2022-03-21	-27.50578	Carindale
average	Asia/Bangkok	104.64992	2020-03-26	14.64056	Kantharalak
average	Asia/Shanghai	115.70111	2020-07-13	37.73222	Hengshui
average	America/Los_Angeles	-122.23484	2018/04/20	47.38093	Kent
accep	Asia/Yekaterinburg	56.36091	2014/06/20	51.78771	Saraktash
maintenance	Asia/Seoul	128.63083	05/29/2018, 00:00:00	36.82167	Eisen
good	Europe/Andorra	1.53414	23 Feb 2016	42.50729	les Escaldes
good	Australia/Sydney	150.60036	2020/02/09	-34.88422	Nowra
excellent	America/Chicago	-93.08883	01/08/2019, 00:00:00	45.16024	Lino Lakes
excellent	Asia/Manila	120.56528	06/19/2017, 00:00:00	14.66	Pilar
accep	America/Fortaleza	-40.7475	11/25/2020, 00:00:00	-4.16694	Guaraciaba do Norte
excellent	Europe/London	-0.2	2016/11/02	51.65	Barnet
building	America/Guatemala	-91.11667	05 May 2020	14.93333	Chichicastenango
excellent	Europe/Chisinau	28.28489	09/10/2021, 00:00:00	48.15659	Soroca
excellent	America/Panama	-79.62098	02/06/2022, 00:00:00	9.15093	Chilibre
building	Asia/Bangkok	104.1451	2019/09/02	15.79408	Yasothon
accep	Europe/Moscow	36.73307	2017-03-15	55.38752	Naro-Fominsk
building	America/Manaus	-58.44417	2014-05-24	-3.14306	Itacoatiara
good	Asia/Samarkand	67.84222	2016-06-05	40.11583	Jizzax
average	Africa/Khartoum	34.3869	17 Nov 2012	11.8659	Ar Ruseris
excellent	Asia/Kuala_Lumpur	102.3278	04/25/2014, 00:00:00	2.2139	Kampung Ayer Molek
good	America/Chicago	-87.65644	03/30/2017, 00:00:00	41.80753	New City
excellent	Europe/London	-2.58736	2016-09-30	56.56317	Arbroath
maintenance	Africa/Accra	-1.4001	2017-04-04	7.06273	Mampong
building	Asia/Kolkata	84.13864	2013-06-28	22.88783	Jashpurnagar
good	Europe/Rome	12.38878	26 Mar 2016	43.1122	Perugia
good	Europe/Istanbul	28.88222	2013/07/14	40.37528	Mudanya
building	America/Sao_Paulo	-49.27306	2013/01/28	-25.42778	Curitiba
maintenance	Europe/Moscow	47.1192	2016/08/18	42.819	Buynaksk
good	Europe/Sofia	23.225	01/11/2015, 00:00:00	43.4125	Montana
excellent	America/Mexico_City	-101.2591	05/10/2020, 00:00:00	21.01858	Guanajuato
good	Europe/Berlin	9.5586	2017/01/04	54.52156	Schleswig
maintenance	America/Los_Angeles	-121.75689	30 Apr 2020	36.91023	Watsonville
excellent	Asia/Tokyo	144.09638	2021-06-24	43.82634	Motomachi
average	Europe/Paris	4.91667	10/06/2016, 00:00:00	45.73333	Bron
good	America/New_York	-81.23621	07 Sep 2013	33.98154	Lexington
average	America/Toronto	-73.81669	2013/03/28	45.44868	Pointe-Claire
accep	Europe/Rome	14.34085	04/09/2013, 00:00:00	40.87363	Volla
accep	Europe/Berlin	7.973	2015-03-27	51.168	Finnentrop
good	Africa/Accra	-1.4001	2021/08/10	7.06273	Mampong
accep	Europe/Berlin	10.18527	30 Jun 2021	47.98372	Memmingen
good	Asia/Kolkata	83.36889	18 Jan 2020	26.76628	Gorakhpur
excellent	Asia/Kolkata	76.11996	09/09/2013, 00:00:00	11.12018	Manjeri
average	America/Sao_Paulo	-48.67028	05/23/2019, 00:00:00	-28.24	Imbituba
accep	Asia/Tashkent	69.67639	04/16/2016, 00:00:00	41.29444	Parkent
good	Asia/Tokyo	139.07204	04 Aug 2020	36.24624	Fujioka
average	Africa/Lagos	12.19458	2016-03-09	10.61285	Biu
building	Asia/Tokyo	142.45778	2020/07/22	44.35056	Nayoro
maintenance	Europe/Moscow	38.02486	2017/01/22	55.64776	Malakhovka
excellent	America/New_York	-74.96933	08/16/2016, 00:00:00	39.71734	Sicklerville
average	Asia/Riyadh	49.62251	10/07/2020, 00:00:00	27.0174	Al Jubayl
excellent	Africa/Lagos	3.64633	2014/06/11	6.8485	Shagamu
building	Europe/Madrid	-2.98884	2017-09-21	43.32686	Leioa
good	Europe/Rome	14.34085	15 Dec 2015	40.87363	Volla
building	America/Maceio	-37.07167	2022-05-07	-10.91111	Aracaju
excellent	America/New_York	-84.20299	06 Feb 2021	39.43534	Lebanon
average	Asia/Jakarta	101.44167	20 Aug 2018	0.51667	Pekanbaru
average	Europe/Berlin	9.15214	10 Feb 2015	49.97704	Aschaffenburg
maintenance	Asia/Manila	120.56528	2018/04/26	14.66	Pilar
good	Europe/Madrid	-5.55835	2014-06-04	42.64685	Villaquilambre
accep	Europe/Minsk	30.2049	01/18/2019, 00:00:00	55.1904	Vitebsk
average	Asia/Bangkok	100.04427	2018-10-06	13.8196	Nakhon Pathom
good	Asia/Hong_Kong	114.10479	2020/05/08	22.37066	Tsuen Wan
accep	America/Denver	-104.83192	04/16/2017, 00:00:00	39.72943	Aurora
excellent	Asia/Tehran	51.0193	27 Apr 2019	35.6803	Shahre Jadide Andisheh
excellent	Europe/Zaporozhye	38.15035	2019-02-01	49.41029	Svatove
good	Asia/Makassar	118.9707	2020/06/07	-3.5403	Majene
excellent	Europe/London	-1.99421	2022-04-10	51.35084	Devizes
accep	Europe/Berlin	12.16179	27 Aug 2022	48.52961	Landshut
accep	Europe/Istanbul	41.00817	2014/04/01	38.13708	Silvan
accep	Asia/Tokyo	138.31667	18 Jun 2017	36.65	Suzaka
maintenance	Europe/Rome	12.70038	2019/01/23	45.9836	Cordenons
good	Asia/Kabul	65.93249	2015/03/28	36.21544	Sar-e Pul
good	America/Cuiaba	-52.35558	2014/08/07	-14.66463	Nova Xavantina
accep	America/New_York	-82.07842	24 Jan 2015	26.91756	Punta Gorda Isles
excellent	America/New_York	-80.22588	2015/03/24	26.2173	North Lauderdale
building	America/New_York	-82.61573	2014/03/22	41.24255	Norwalk
building	America/Chicago	-95.36969	11/26/2021, 00:00:00	35.74788	Muskogee
accep	America/Los_Angeles	-116.21677	25 Aug 2013	33.7207	Indio
average	Asia/Riyadh	49.62251	24 Sep 2022	27.0174	Al Jubayl
good	America/Chicago	-97.03285	2015-06-22	47.92526	Grand Forks
accep	Asia/Seoul	128.62667	21 Apr 2017	34.8825	Sinhyeon
average	Europe/Rome	14.39024	01/08/2021, 00:00:00	42.22718	Lanciano
average	America/Santiago	-70.6996	06 May 2017	-33.59217	San Bernardo
maintenance	Africa/Abidjan	-5.682	08/08/2016, 00:00:00	5.84752	Lakota
average	Asia/Yerevan	44.7662	2013-09-15	40.49748	Hrazdan
good	Asia/Karachi	73.97117	2020/10/26	31.96258	Naushahra Virkan
maintenance	Europe/Paris	2.25	2020-01-27	50.75	Saint-Omer
excellent	Asia/Tbilisi	41.77921	2019-12-15	41.82143	Kobuleti
average	Asia/Makassar	118.9707	20 May 2015	-3.5403	Majene
maintenance	Europe/London	-0.29825	2013/10/15	51.39148	Surbiton
excellent	Europe/London	-2.01111	2013/10/06	52.66277	Great Wyrley
acceptable	Europe/Amsterdam	6.92917	08 May 2014	52.31333	Oldenzaal
good	Asia/Bangkok	99.89166	2017/10/30	15.46063	Thap Than
maintenance	Asia/Tokyo	139.55028	04/02/2018, 00:00:00	35.30889	Kamakura
excellent	Asia/Tokyo	144.09638	2016/08/26	43.82634	Motomachi
