O3	PRES	CFCs	warning	TEMP	SO2	C2H3NO5	NOx	longitude	CO	PM10	PAHs	Pb	PM2.5	latitude	CH4	H2CO	NH3
7.97554	1055.18708	74.86179	1.00000	5.08116	9.14839	1.16018	8.12868	-116.21677	6.74643	9.27947	10.38955	70.59904	10.61248	33.7207	9.90557	25.67872	
9.97025	1080.63222	78.21545	0.00000	19.47418	6.93686	0.21074	8.16878	39.8302	7.00739	6.27492	10.16462	38.76521	5.53539	64.5635	7.70337	60.73613	6.67584
10.04634	1058.38279	72.18800	1.00000	12.71980	7.94999	0.46636	7.04939	43.38531	8.24887	8.15592	9.89250	47.14261	9.57566	9.89206	9.83309	33.93939	9.19739
9.16724	1185.10488	74.31884	1.00000	31.20719	7.87094	0.39893	8.88103	48.26258	8.28791	8.02396	10.39778	48.39006	10.44302	33.86419	9.40884	55.54881	8.01946
6.39735	1065.33248	73.13098	1.00000	11.79442	9.50362	0.40796	4.15491	-79.62098	9.23021	7.92809	6.24588	56.52663	10.65482	9.15093	4.07520	22.58461	9.45120
10.44251	1197.92468	61.36870	1.00000	13.90340	9.16536	1.84656	5.41043	-104.83192	8.77350	9.88085	9.03083	65.04936	8.78369	39.72943	9.89770	39.81348	7.60832
6.43283	1078.13239	78.61800	0.00000	3.38361	8.57803	0.17415	5.28916	-83.48216	7.38357	5.45219	9.71989	56.61989	9.70541	42.30865	6.48923	52.31329	9.99837
7.04491	1184.95286	70.14615	1.00000	22.38817	8.50578	0.26924	7.50970	7.60872	10.31469	7.37809	7.70484	41.50791	9.80163	43.78956	6.88305	62.30135	8.97833
8.83626	1082.16589	64.06503	0.00000	23.61508	8.42915	0.34470	6.51496	-104.83192	9.53226	8.15107	8.29918	57.80036	6.91650	39.72943	6.63354	38.63790	8.92097
7.06334	1188.50393	54.96319	1.00000	-2.07930	8.07064		5.66096	15.28318	7.80789	7.90062	6.86699	33.31189	11.09984	-4.26613	6.62743	68.84698	7.52901
5.81375	1172.08152	78.84724	1.00000	14.92988	8.86910	0.30759	4.22169	65.27258	7.15179	7.82726	8.76911	60.15727	10.83997	58.04254	5.94097	49.61560	6.83559
9.75421	1091.12268	79.21923	1.00000	13.17298	6.36379	0.64389	4.30300	37.99117	9.03519	8.77644	11.00790	34.10381	8.44809	44.92934	8.49170	29.91522	9.43060
10.37147	1163.11895	63.62508	1.00000	19.33078	8.04069	4.07539	6.40235	-122.23484	6.75593	10.72667	8.26738	72.53359	10.89158	47.38093	7.72513	46.47703	8.87230
3.88972	1171.48778	77.17992	0.00000	31.29115	10.56246	0.09346	7.14021	-42.98194	9.04518	1.16063	13.74602	40.89596	12.07945	-22.53722	6.52856	48.22639	8.92908
11.13152	1077.19163	70.97368	1.00000	11.67222	8.18459	2.48068	6.79484	-60.47389	8.36893	10.17713	8.22009	36.58722	9.21703	-34.64167	7.57035	30.00472	9.38380
7.04079	1129.26848	69.43521	1.00000	20.74231	6.33260	0.25892	4.96365	-4.10734	8.05482	7.63666	7.12818	33.65173	11.95266	38.68712	7.85487	56.19370	10.25780
9.84667	1136.82487	74.22209	0.00000	-0.14500	7.20200	0.16522	6.73467	-76.72803	8.19658	4.44439	9.74377	51.28846	5.28128	39.32288	7.68523	82.17962	6.89820
11.50738	1187.26595	72.37223	1.00000	12.42146	7.64744	2.43836	5.61926	126.835	6.27021	10.18770	7.78583	57.87517	8.78504	37.65639	9.05258	44.21667	8.38746
7.22523	1070.55086	69.17384	1.00000	22.64390	7.53082	0.14676	7.41813	-74.26419	8.29108	5.29184	6.48322	40.61953	8.42453	4.73245	7.39035	34.12758	7.23107
7.58273	1103.04924	78.48610	0.00000	5.90572	7.58502	0.37611	7.17050	6.92917	7.25695	7.99960	10.16256	47.79059	8.24206	52.31333	8.81392	61.58660	8.14500
7.94566	1169.93864	83.87370	0.00000	21.35433	7.24716	2.41404	10.10722	65.93249	8.89527	10.21310	9.81024	53.51106	11.21548	36.21544	9.04767	59.15336	7.59940
6.78687	1082.62090	72.06327	0.00000	26.51697	7.42006	0.67241	5.42538	12.16179	7.19297	8.52165	6.01773	63.25060	10.84567	48.52961	5.92734	59.21211	8.48765
6.48581	1134.55172	67.76416	0.00000	20.70787	9.22758	0.22446	9.50232	9.15013	8.44401	6.60576	11.71001	38.60279	11.22296	13.70727	6.63727	55.12077	8.85758
10.53191	1165.35106	75.74753	1.00000	31.76834	8.54200	2.11248	5.61789	-35.71667	9.48707	10.05382	8.75352	63.06696	8.98254	-8.66667	10.35494	49.13110	8.67960
11.29157	1137.96296	72.05282	1.00000	11.82773	9.57351	1.23876	6.56115	120.74221	8.67007	9.50503	8.55568	58.26171	7.72296	31.64615	9.72015	38.68980	9.36170
12.38687	1148.94314	79.15965	1.00000	3.75063	9.60628	0.35391	6.86819	-81.23621	9.32280	8.11431	8.28172	51.81175	10.55473	33.98154	8.30360	47.20942	7.14479
9.75611	1184.55947	63.75317	0.00000	10.81244	8.77707	0.31837	6.39212	-35.71667	7.35539	6.79724	8.53571	37.43819	6.90561	-8.66667	5.99649	72.66109	10.00991
6.88204	1147.55549	78.59153	0.00000	17.73125	7.88470	1.76697	7.23859	-59.13316	7.47970	9.79455	11.09066	61.86367	7.80046	-37.32167	9.75905	57.98344	6.15988
7.67895	1160.26078	77.19228	0.00000	22.44763	8.05665	0.66152	7.07376	-78.19444	8.21359	8.80153	9.38093	60.00122	8.72551	38.91817	7.82393	38.20761	10.10113
7.47133	1070.47579	76.35632	1.00000	7.55735	9.00397	0.25881	7.60545	8.62118	9.05978	6.38555	5.72325	54.98254	8.99138	45.44694	7.23282	47.75399	7.63169
11.82659	1116.49909	78.06406	1.00000	9.77244	8.36434	0.36753	5.34041	-73.97069	8.13339	7.87156	10.39241	90.87759	7.07487	40.64621	7.69195	49.92991	8.36586
13.32514	1087.36215	76.45606	1.00000	11.49424	7.58781	1.58869	7.33643	153.10236	9.12270	9.77257	7.45432	52.72770	9.77666	-27.50578	5.08060	62.72528	7.02425
6.13790	1077.24514	64.41223	0.00000	19.16597	7.42769	0.80322	6.87311	72.68533	6.96411	8.83726	9.22356	54.71668	8.72648	22.75218	8.75608	60.63516	7.91730
7.80341	1119.94429	78.14007	1.00000	-1.49865	7.40085	3.30718	7.13484	7.20769	6.70347	10.51640	9.93358	51.04945	9.48035	50.80019	10.80406	58.93776	7.59201
8.46468	1110.94458	77.04604	1.00000	12.66189	7.92117	0.96276	8.12103	109.3243	7.23279	9.16571	4.82092	8.04499	10.95736	-7.0981	6.28086	20.35794	9.89633
8.03392	1189.06069	78.19583	1.00000	12.56484	8.12087	0.35384	7.23799	-1.47217	8.45495	7.96453	6.83724	65.40062	10.84905	53.46506	4.31919	43.15511	8.96659
10.86848	1138.73180	62.54556	1.00000	21.01317	8.57195	0.90091	7.13850	-81.77285	8.34762	9.13767	9.31187	45.83040	10.18767	28.54944	7.03577	65.53773	7.27033
6.67915	1148.58937	86.78981	0.00000	14.94709	7.99213	0.23867	6.75921	72.54566	8.26319	6.22569	11.19395	38.13186	8.80380	29.69221	8.85046	59.93089	9.04038
9.62265	1137.42341	69.69029	1.00000	13.31931	8.21158	3.10265	10.09133	139.6853	8.25746	10.43636	7.81332	75.13595	11.42146	35.815	9.44672	60.51299	8.14530
6.70136	1110.03864	73.34862	0.00000	31.24827	9.48251	0.14428	7.38070	-62.64102	8.72645	4.23699	9.01420	67.56741	10.72955	8.35122	5.11078	37.29199	8.94873
9.01836	1105.59558	71.31610	0.00000	15.01049	8.88665	2.51277	8.37729	33.34864	8.98872	10.19550	9.29982	51.73904	8.77981	46.75451	7.82733	37.21610	8.33753
7.03381	1085.12243	69.40600	1.00000	21.88784	9.09178	0.89038	6.49664	28.88222	8.75992	9.03330	6.32844	72.72864	10.09198	40.37528	5.80183	62.00644	8.72203
4.95119	1171.99049	71.72654	1.00000	12.13053	8.64273	0.09921	6.21779	24.04142	8.81779	3.22413	10.34165	41.36744	11.17071	54.39635	6.19678	54.00523	6.62433
11.20280	1083.42310	64.80353	1.00000	23.88494	8.12514	3.68992	7.22565	130.57211	7.81681	10.61313	7.47799	52.74929	12.17887	45.75279	7.02323	60.13817	8.45009
10.00263	1140.44870	73.12143	0.00000	-0.33859	7.68593	0.03980	6.53331	9.02596	8.88713	4.50383	7.50993	29.41927	4.61701	48.21644	5.76123	67.77790	6.02269
6.87470	1051.32031	66.44267	1.00000	25.14569	8.47499	0.73526	7.45222	-2.58736	7.36173	8.88325	7.43465	42.12736	10.32062	56.56317	5.74265	48.71995	10.53732
6.63220	1188.37745	63.46755	1.00000	18.23495	5.22566	0.31046	6.94768	71.30633	7.89376	6.88522	6.44195	58.53324	8.53989	21.34222	5.86831	22.08217	11.27238
8.59857	1145.42531	66.23547	1.00000	22.80069	8.37901	1.50130	8.96998	7.973	8.36712	9.64527		67.51462	9.88390	51.168	4.63023	47.34484	6.31250
11.19440	1146.85980	58.19052	1.00000	4.77917	8.54491	0.60972	8.02414	-81.23621	7.52475	8.65576	8.38460	36.76790	9.69779	33.98154	10.22700	36.01088	8.47466
6.70051	1170.47035	76.04820	0.00000	29.48370	7.90324	0.21468	6.92524	138.31667	10.69344	4.96694	12.58064	77.00821	9.98543	36.65	7.86069	45.45950	8.16543
10.28894	1061.40512	78.75133	0.00000	28.77128	8.60481	0.18162		-2.16	6.70781	5.15829	8.99960	51.27497	7.14634	34.31	6.09216	49.93742	8.66985
8.89721	1067.91046	75.18227	1.00000	12.32625	8.66037	2.89923	5.48367	130.57211	7.02951	10.36117	10.69722	55.74435	6.85986	45.75279	8.82807	46.47768	9.91162
5.77529	1130.76259	66.15242		9.82099	6.66798	0.16590	6.60704	-70.6996	8.92714	6.95394	9.07613	49.90383	8.69049	-33.59217	8.43010	44.30988	7.95652
6.32259	1076.62342	65.47151	0.00000	23.76876	8.25579	0.52640	6.75016	77.9129	6.64352	8.31897	8.85939	66.51420	9.59393	25.6439	6.54826	36.16548	8.58926
7.51535	1110.63415	72.93727	0.00000	9.95137	6.95237	0.34643	7.75775	-96.39774		7.95071	9.16073	60.26813	9.44249	30.16688	6.96353	57.58465	9.84367
7.67012	1171.71797	68.98135	1.00000	5.08700	8.12087	0.27676	7.94364	114.33333	8.96410	6.84826	6.78544	58.30627	10.15557	-8.43333	9.35863	60.01770	8.67908
7.39321	1080.64668	66.81844	0.00000	19.01933	10.39380	0.11449	6.56537	4.82313	8.55025	6.39362	7.47261	53.45030	10.09896	51.24197	5.04912	40.70552	8.72595
7.25106	1071.21920	63.66470	0.00000	13.79125	7.84525	0.64531	6.07911	56.36091	7.89446	8.66037	10.26802	64.25216	7.58117	51.78771	9.58017	61.44628	8.34741
9.10821	1061.52435	65.19971	1.00000	14.95890	8.54038	0.29965	9.73200	-87.70172	7.86972	7.68208	7.03868	50.86275	12.12534	41.72059	8.87773	44.28586	7.59263
4.48171	1149.18349	63.61012	1.00000	-3.93357	9.92012	0.21281	7.18882	-83.48216	9.85649	6.88414	7.07061	50.67047	4.09364	42.30865	7.02815	40.95103	7.36427
9.57564	1153.96354	71.10760	1.00000	21.30037	6.90941	3.65237	7.46304	128.62667	6.98167	10.62598	8.62582	57.46519	10.20623	34.8825	9.35223	38.60877	9.32631
8.64912	1082.23914	63.34087	1.00000	11.66483	7.82418	0.45823	8.34642	2.12213	8.28662	8.42144	5.75378	54.30051	10.83922	48.8222	6.21412	28.16873	8.01863
8.34117	1091.43470	77.84376	1.00000	21.62873	8.73946	0.28393	6.19193	55.4504	7.36706	7.89195	11.35514	27.00719	8.71006	-20.88231	11.68786	79.21561	8.53567
7.33805	1069.25349	81.41648	1.00000	12.63946	9.45109	0.22847	5.49495	68.88871	6.94304	5.69036	6.73133	48.20623	10.47569	25.95533	6.34557	51.79500	8.15932
11.10611	1056.97538	70.35159	1.00000	18.47542	8.49440	3.52983	6.44782	68.21204	9.23632	10.57091	6.88247	46.17479	11.69208	27.55898	9.70223	23.41660	10.12679
6.01546	1125.98691	73.51483	0.00000	15.18603	7.56981	0.11589	6.09182	77.24779	7.05904	4.93365	8.74643	68.29251	9.26057	10.58806	7.44350	66.09053	8.86566
10.15701	1078.18075	67.14081	1.00000	9.23313	6.87861	0.92247		-99.73314	7.98943	9.11927	9.30637	46.69272	9.60886	32.44874	8.49932	50.02248	8.55688
5.49846	1175.85648	81.87549	0.00000	44.85735	8.61395	0.18863	5.84040	8.96317	10.14605	6.69700	10.01171	61.89675	9.47250	48.35149	7.58871	53.27122	6.50412
7.68674	1162.16894	74.84185	1.00000	25.43900	8.43467	0.18651	8.06341	72.54566	8.93345	3.65744	6.63441	50.83932	10.06607	29.69221	7.88171	48.37835	8.83894
9.92506	1189.72332	68.81064	1.00000	-0.01274	9.00600	1.68193	7.24306	-93.08883	9.25529	9.77428	8.62013	47.78094	7.49588	45.16024	12.00741	63.08827	8.79883
11.63171	1176.87640	68.83392	1.00000	-1.34363	7.18178	1.37049	7.89585	38.16694	6.33544	9.57816	7.76383	61.47809	8.44647	54.84444	9.16218	58.84429	8.52343
11.02957	1082.92405	61.71491	1.00000	10.63777	7.50937	0.51873	3.38449	30.38167	9.04080	8.31066	10.49969	56.82160	9.36565	59.80917	7.16962	45.02302	6.58658
6.44867	1162.48127	78.61869	0.00000	2.42788	8.80560	0.19314	7.63846	47.1192	7.93046	5.96566	10.07031	39.96910	10.63186	42.819	6.03573	29.31785	8.64743
6.25523	1051.82021	64.23353	1.00000	-0.27421	10.32978	0.13297	6.72149	27.25	7.62317	6.36632	6.89532	70.08419	8.84584	42.7	7.84641	19.61205	8.02128
5.88855	1080.37130	67.23758	0.00000	5.63507	8.46276	0.10042	9.02294	-1.5443	7.49478	4.63350	11.93976	50.36659	11.79554	50.75767	5.70467	60.19694	9.54163
9.34119	1125.10654	59.85299	1.00000	19.01067	7.90830	1.95063	6.98751	-99.32556	8.89140	9.94257	9.93583	52.89266	10.38697	19.32889	6.58335	28.43873	9.02025
6.86554	1079.31703	74.81537	1.00000	27.37200	7.15201	0.16316	6.33787	-96.39774	8.60488	5.19222	5.99510	54.01647	9.89657	30.16688	8.86215	53.56563	8.28224
7.16938	1065.31727	79.52629	1.00000	6.87934	7.68259	0.28687	7.48386	38.02486	9.65309	7.59714	5.57076	61.89743	8.60849	55.64776	4.41644	35.51802	8.44027
9.20775	1127.72619	77.52702	1.00000	2.14514	9.31406	0.41396	6.58437	45.36561	9.05657	8.19589	10.78716	52.39622	9.28420	41.09246	10.03103	39.91801	6.92398
11.29782	1082.44188	74.12261	1.00000	-5.76993	8.14657	0.78392	6.42372	72.93924	7.52258	8.98122	9.27586	73.68285	8.79769	18.87813	6.53636	38.07695	8.22942
9.49497	1076.99507	70.55575	1.00000	28.34543	7.66183	0.26257	8.02426	34.11169	8.92367	6.31759	5.76508	75.47087	13.05386	0.46005	7.19127	55.30974	11.07363
11.68108	1178.59883	74.09263	0.00000	10.55236	8.81356	0.10248	8.37054	-82.90375	8.99922	6.28939	7.56441	75.50553	3.89137	32.54044	5.37126	53.54751	8.81906
4.79719	1117.99252	69.52621	1.00000	12.74183	9.35690	0.19419	4.08964	8.70745	7.94309	5.73206	10.65842	59.27721	8.73899	49.03685	8.49058	44.65160	9.26360
9.05214	1090.71638	63.45246	0.00000	29.32384	6.68572	0.16893	7.23552	73	6.63393	6.48961	9.29035	61.61248	5.22068	40.93333	7.76174	42.29878	9.27446
8.17509	1091.24534	75.76028	0.00000	10.67720	9.46660	1.74274	7.29940	10.7	9.04161	9.81868	9.23598	39.64686	8.17814	4.96667	6.71432	34.07693	10.60142
4.89517	1143.66825	67.14026	1.00000	16.08259	9.33959	0.12574	4.74487	8.2926	8.21395	4.12868	9.55205	51.09873	7.74184	9.58126	7.49236	21.36222	9.52301
9.89173	1199.60007	74.36113	0.00000	29.26557	9.44104	0.46107	7.20402	-35.71667	8.54576	8.22747	9.81330	50.38714	9.59660	-8.66667	5.16615	47.12168	9.52435
7.25792	1192.78968	72.91236	1.00000	31.71698	6.99125	0.59406	7.40804	12.19458	5.74442	8.54947	7.03619	58.07106	10.30037	10.61285	8.48326	41.40511	8.55999
6.67111	1196.35914	65.20254	1.00000	25.84858	6.55770	0.27777	6.16784	26.97253	8.87053	7.51813	8.04223	39.88201	10.42941	49.65186	4.37799	49.47476	10.38365
9.47619	1150.13171	68.93333	1.00000	-1.81023	7.79510	0.69009	8.96783	-93.08883	8.76614	8.69550	9.72266	58.18172	8.65521	45.16024	10.14561	43.51731	9.32652
7.40316	1051.17594	66.42654	1.00000	16.43941	8.72053	1.34913	7.55989	-1.4001	8.25439	9.56876	11.13472	41.29972	11.26478	7.06273	9.28267	40.55128	7.16774
8.66968	1080.17548	68.46853	0.00000	32.38702	8.34111	0.21774	5.20988	2.95924	7.69873	6.59043	9.48155	41.12761	8.21459	36.76775	7.08086	55.10276	7.83172
10.72193	1160.14752	64.96042	1.00000	23.59436	7.64064	2.49157	5.61138	-74.96933	8.58966	10.20817	8.44405	45.18180	10.75530	39.71734	8.97649	27.11075	8.37142
10.23205	1084.49179	63.78262	0.00000	24.82313	8.28433	0.47296	5.54389	28.88222	7.91086	8.32850	9.67886	76.74567	9.34162	40.37528	6.38045	59.73636	7.12098
7.76736	1148.04221	74.83200	1.00000	0.65301	8.28656	0.16562	7.59990	-75.23266	8.11104	5.58612	7.82643	62.76410	10.78906	43.1009	8.32017	67.38048	7.67478
11.97465	1182.82149	72.10994	0.00000	30.25215	8.38706	0.20814	7.30115	-86.19903	7.95493	6.81516	8.73440	52.86118	5.81892	11.84962	5.80763	38.50585	9.84291
5.92616	1115.71386	74.00423	0.00000	23.01215	8.08084	0.12412	6.55360	25.34244	7.55221	7.06585	7.63146	56.13412	8.24073	50.75932	9.09943	58.79551	7.85128
9.84444	1090.54689	54.11914	0.00000	9.90158	9.18616	0.96350	10.37239	2.18247	8.60413	9.16100	9.68197	35.20136	6.16509	41.41204	6.61846	43.36191	6.76404
7.05744	1057.68537	74.01922	1.00000	26.76233	8.57571	0.33400	7.70529	-7.95	8.00536	8.16180	7.18993	46.87680	9.95449	53.43333	9.17706	27.08267	10.77002
10.15651	1106.37146	66.77053	1.00000	17.53213	7.70939	0.33386	8.71303	6.26667	8.07749	7.54808	9.67220	78.22024	10.40795	51.21667	9.74518	75.40336	8.05892
9.89209	1144.13939	76.90113	1.00000	-1.82297	7.78449	3.92919	6.92911	-89.64066	8.78636	10.68914	8.57677	49.45510	7.70418	40.56754	10.13624	71.78058	8.87054
7.36652	1077.90720	72.77676	1.00000	0.99077	8.71550	0.14043	8.80761	144.09638	9.28843	5.13261	6.72073	87.14146	8.33348	43.82634	7.84878	51.05457	5.84561
7.89863	1051.22142	74.67425	0.00000	22.64909	6.76961	0.68976	7.41570	12.70038	7.89043	8.78357	9.98875	38.30284	9.20708	45.9836	7.27952	62.79277	7.57868
9.66296	1060.62884	74.14971	0.00000	28.59047	6.80397	0.35393	8.16840	-119.48568	9.31595	8.14063	9.60265	59.07627	5.41833	49.88307	7.71391	55.80372	7.58770
5.23324	1194.13282	80.82831	1.00000	34.72301	9.28056	0.17527	6.78729	-73.99681	8.93664	6.51494	7.12816	56.26795	6.56853	40.94065	7.21534	58.33809	8.21461
9.65103	1108.20310	75.97249	1.00000	7.05822	8.37763	0.58099	7.66381	45.36561	10.32669	8.66610	10.53915	57.59371	7.16180	41.09246	8.46555	54.98870	8.13446
6.61771	1062.10797	73.80748	0.00000	18.03025	8.81642	0.10230	5.89295	77.9129	8.76861	4.25399	6.93532	49.40411	9.12996	25.6439	6.62728	50.37276	9.72757
7.26210	1056.23792	69.26383	1.00000	8.52455	7.43637	1.13116	10.32490	7.00417	8.48471	9.36484	10.28783	64.88112	8.36082	52.26083	11.61039	40.17666	9.37500
11.83027	1130.46045	55.33344	0.00000	33.91886	7.52949	0.37076	8.88535	-85.76942	6.46030	7.47678	11.04774	57.01866	5.59352	39.78504	8.15175	50.66375	7.94082
5.38502	1192.77721	72.18117	0.00000	24.66939	7.65136	0.31663	5.60196	-87.88754	8.51814	7.99322	8.08087	57.45640	7.93260	41.15376	9.18591	39.42909	9.47111
8.25117	1132.04134	66.73419	1.00000	9.20389	7.27398	5.26923	5.74777	45.36561	9.97675	10.98542	9.42676	36.85734	10.26758	41.09246	11.13469	50.10831	7.82600
7.29447	1129.89840	67.03670	1.00000	15.45559	9.89041	0.26667	5.41177	114.51667	7.67897	7.06421	7.90817	71.15727	12.57805	33.78333	6.75945	43.87130	6.30413
8.03363	1124.72742	61.18245	0.00000	21.08479		0.47864	7.64007	8.70745	6.27816	8.07707	9.27252	42.25166	10.84032	49.03685	4.77564	66.33362	7.74567
6.65309	1160.26026	61.40519	0.00000	8.53538	7.38963	0.25094	6.65315	-37.93278	6.61763	7.41245	9.97980	61.68669	9.55432	-11.48472	7.10153	39.68979	9.30240
11.02573	1188.29457	70.73337	0.00000	11.05549	7.28530	0.25517	9.23851	136.51667	7.77991	7.49358	9.67681	24.22387	6.82297	35	5.80643	44.72818	
6.82173	1063.53430	55.16599	1.00000	15.24579	8.66282	0.22291	8.08049	28.88222	9.08744	7.12042	7.24329	70.85329	7.94099	40.37528	6.44754	33.51608	7.19399
10.81055	1103.84196	65.78994	1.00000	3.17425	9.41511	0.90064	7.03567	140.11667	9.77557	9.04113	9.47700	54.58311	9.46636	37.56667	7.92747	48.30451	8.97005
10.98630	1101.84285	63.96479	0.00000	22.98280	8.09743	0.16020	6.35519	-77.4286	7.38034	5.44240	10.48688	65.71279	5.05234	39.00622	8.67129	73.99851	9.19797
7.59500	1125.47530	73.92269	1.00000	34.91216	8.88198	0.51615	7.94865	84.13864	7.80036	8.48316	5.70006	70.22409	9.88008	22.88783	4.78861	34.26749	7.15912
8.61006	1056.19279	62.50793	1.00000	10.54336	6.96199	3.30352	8.43878	-118.03917	7.95078	10.49837	9.27099	35.19812	10.59219	33.95015	9.62113	51.86125	8.77860
7.86572	1166.38744	69.27891	1.00000	-1.14706	10.43679	0.15098	8.24883	33.72798	9.05249	6.43381	6.95427	41.21308	10.84735	53.53395	8.01834	53.56080	8.39406
5.78130	1153.09485	71.40314	1.00000	28.16430	8.19310	0.08378	3.67762	12.84052	10.59446	6.54165	6.58930	74.49175	9.88262	45.78071	7.02463		10.39787
7.09131	1078.94932	67.77499	1.00000	19.72426	7.88850	2.06611	8.15624	117.27583	7.29770	10.04444	10.88876	48.56104	10.37022	35.64889	10.60013	58.25220	7.56815
10.01946	1084.70514	63.68716	1.00000	11.83668	9.27447	4.04783	7.87955	30.2049	9.06928	10.72298	8.27681	69.66383	9.40122	55.1904	9.46537	49.20073	9.71648
7.51213	1195.45727	70.53102	1.00000	15.50250	8.73224	10.14836	8.69564	30.79165	8.24503	11.66092	8.87276	58.89538	11.69824	-27.76952	9.45055	27.65131	10.26245
