TEMP	latitude	warning	CH4	longitude	CO	PRES	PM10	PM2.5	H2CO	Pb	PAHs	SO2	CFCs	O3	C2H3NO5	NOx	NH3
15.01061	58.1908	1.00000	6.42318	40.17171	8.41327	1052.62573	6.03398	8.52607	53.06307	56.91307	7.38366	7.95250	58.87659	6.57458	0.10140	9.35182	8.75365
25.81911	-22.57306	1.00000	5.81504	-47.1725	8.35680	1134.43610	6.45563	11.48470	53.26701	56.61695	10.87991	6.48235	52.30033	7.00809	0.08537	8.95244	5.34965
13.30100	22.88783	0.00000	7.87808	84.13864	9.43719	1055.07538	8.16883	8.23074	57.33301	41.55537	5.83085	7.99153	73.71389	6.32328	0.25542	9.45242	10.13954
11.60398	40.1675	1.00000	7.88741	34.37389	11.16184	1170.19319	5.65499	7.94350	57.35296	38.70655	8.13142	8.44260	76.23526	9.73778	0.08443	6.06104	4.88926
19.67362	40.34912	0.00000	6.96810	-111.90466	7.93793	1061.37729	10.12506	9.53198	49.63879	43.21971	6.38672	6.75114	35.87278	7.14430	1.25293	8.72357	9.33472
21.09204	44.99012	1.00000	8.31664	-123.02621	8.99448	1058.87275	5.03365	9.78637	65.74895	51.15887	9.07501	7.30172	44.72591	8.68064	0.08469	8.83243	5.53283
23.47288	41.14676	1.00000	8.25840	-73.49484	5.35711	1167.89346	8.54341	9.01753	45.34316	33.43269	4.36019	6.51967	61.55574	6.15420	0.29404	10.22628	6.18656
12.40254	-24.19436	1.00000	7.25370	29.00974	10.36343	1127.02954	7.87396	10.01294	29.86821	44.97652	9.66831	8.71005	42.19702	7.39507	0.15931	6.94301	5.73555
7.28873	0.51667	1.00000	8.58169	101.44167	7.99988	1083.08095	6.21413	4.88306	29.46414	41.75826	6.95459	6.92902	55.12278	7.05031	0.09064	9.01207	8.12236
14.27990	14.0823	1.00000	7.24893	98.19151	8.07636	1148.31618	5.94333	8.49539	35.90102	43.92884	5.88325	8.29851	46.53784	6.56558	0.10823	10.07923	6.04061
18.77729	25.87972	0.00000	6.68013	-97.50417	8.59448	1184.78911	7.40888	9.13468	64.17820	31.40672	5.32160	7.42958	69.71162	7.18850	0.17895	9.10922	8.10010
10.76182	-1.9487	1.00000	7.30709	30.4347	8.22650	1117.33996	5.62212	7.73011	50.96026	48.82980	7.84843	8.24291	47.96595	6.53847	0.07084	11.09699	8.78259
9.76275	26.32293	0.00000	7.11990	91.00632	4.84128	1083.25823	6.02787	5.64863	38.07913	45.28275	7.13718	7.79587	45.46337	8.44577	0.10341	5.82683	9.88549
21.69953	-8.43333	0.00000	9.42120	114.33333	7.34200	1112.86338	8.80586	9.84724	42.11246	50.97596	6.29667	6.78130	67.12315	8.62523	0.36508	7.77152	7.99554
8.53511	39.32011	1.00000	8.98789	-76.51552	8.76508	1069.18941	6.86732	11.27481	42.38874	35.96409	10.08243	8.19360	59.50273	7.55700	0.12307	9.10368	5.90412
14.94475	53.95278	1.00000	7.90909	32.86389		1117.77307	6.71397	9.78786	69.50379	55.26575	8.90337	7.87881	44.95989	5.68733	0.14056	10.50471	7.23258
12.55440	6.33444	1.00000	6.86056	124.95278	8.58948	1137.15012	5.42267	11.46359	36.44271	47.77934	8.19711	7.22444	46.43671	6.35720	0.12463	9.76958	8.54230
6.19037	46.18396	1.00000	6.91624	6.10237	3.35688	1058.70189	8.79155	7.57936	63.39643	51.75789	9.16038	7.68033	34.59117	8.12564	0.37683	8.73495	9.64968
25.10986	10.58806	0.00000	6.78448	77.24779	7.95159	1053.18149	8.05852	9.05560	48.58772	42.70785	7.21885	7.26736	61.56228	7.13581	0.21242	9.21774	8.22629
19.79077	41.54566	1.00000	8.49144	-71.29144	7.61232	1191.01624	6.05743	6.58735	42.73489	45.98371	7.52661	6.37301	59.02599	7.31060	0.08314	10.32549	7.03975
13.32227	38.38479	0.00000	6.52729	-0.76773	6.50178	1170.22303	7.30265	4.67187	35.04702	51.71869	8.94083	7.58699	56.12764	7.29056	0.16312	5.96650	8.63315
2.38193	32.52515	0.00000	7.90933	-93.75018	6.30317	1064.13629	9.01567	10.98002	46.29530	33.45081	4.20663	8.91217	35.97857	8.49398	0.42012	8.20682	9.88750
-1.60974	48.49144	1.00000	7.89178	9.20427	11.09796	1145.85110	6.87242	8.49217	36.99084	53.40907	8.66588	8.18224	52.42722	6.76393	0.15180	6.40211	4.70829
29.34146	8.88988	0.00000	7.29308	-79.62603	6.90549	1186.64831	9.98428	7.52034	23.19462	58.28581	4.19383	7.92888	58.31915	7.98562	1.09030	5.75165	8.76358
-1.87906	54.58048	1.00000	6.53006	16.86194	2.16358	1160.45454	7.18489	8.20174	53.75007	41.41962	8.59125	7.63822	70.61852	7.27847	0.14938	7.23911	8.11011
34.75025	28.92694	0.00000	9.04052	78.23456	7.98723	1172.11077	7.12706	9.94176	18.22846	52.83053	4.11942	9.07459	68.09769	7.18309	0.16079	7.46487	7.78646
19.44428	41.54566	1.00000	8.51775	-71.29144	3.50632	1113.37486	10.64811	9.21328	43.75859	55.70739	7.39104	6.84669	34.33351	8.12755	2.01002	7.00646	7.51670
-0.24714	37.65181	0.00000	6.99583	120.33063	6.45913	1094.98059	6.10990	10.83943	48.43706	42.51252	4.83780	8.22524	34.71692	8.25802	0.07921	9.75095	7.57064
12.87686	4.73245	1.00000	8.00081	-74.26419	6.66397	1135.70690	5.29410	8.27950	56.45266	60.65299	5.96277	6.75855	33.36501	8.69103	0.08773	9.35259	5.46109
21.45776	37.52487	0.00000	7.80826	-77.55777	4.43193	1077.80734	6.31315	5.25537	38.69500	46.33513	7.20941	5.86865	33.70089	8.78548	0.12863	5.70101	9.16896
29.49725	36.19278	1.00000	8.36526	117.65694	6.54390	1179.87095	8.18762	6.43469	35.37290	36.15553	5.82286	6.72852	35.28469	7.88147	0.25540	4.91164	8.58469
25.69776	35.25064	0.00000	7.79058	-91.73625	7.48157	1107.77858	8.52492	9.96572	54.12671	35.99550	7.17688	5.77713	56.76395	8.36913	0.34322	10.14001	7.77073
2.19538	45.49428	0.00000	8.45322	-122.86705	10.69927	1150.45249	7.82621	7.43308	26.68923	46.93877	7.25149	6.96073	66.29147	7.89029	0.18529	10.17400	8.02711
16.57602	-34.64167	0.00000	5.98463	-60.47389	6.58219	1192.38293	6.20724	6.72118	44.08653	46.16998	7.28365	7.79013	52.50916	7.76568	0.08668	5.22940	9.36400
21.82315	26.68451	0.00000	8.40648	-80.66756	7.23635	1116.79314	7.47657	9.46433	35.14815	70.99663	6.28307	7.91067	52.58371	7.24115	0.18973	9.94696	6.96660
19.77345	37.65181	0.00000	7.53556	120.33063	4.84792	1129.38280	8.55224	5.63878	43.18216	36.01232	5.79183	6.01765	62.93249	8.59729	0.31342	6.30026	8.94290
6.05347	46.08333	0.00000	7.57777	122.08333	9.25786	1140.19101	8.03516	8.06851	42.49341	40.14484	5.52824	8.74194	34.12854	7.92900	0.19122	9.47555	9.81244
9.58220	47.05	0.00000	7.08244	15.46667	2.64012	1190.03908	8.53181	3.84860	58.26493	27.00045	6.71759	8.05575	40.05677	9.60957	0.34304	7.77034	9.14535
-4.38950	43.67681	0.00000	8.11689	4.63031	6.90396	1053.97828	10.00373	6.43771	42.26401	64.82368	6.98704	7.03316	50.47671	6.16146	1.05377	7.14909	7.61282
17.39397	33.44872	1.00000	6.86900	-86.78777	8.11980	1161.03080	7.07481	8.46973	42.42909	38.20857	8.37901	7.11827	50.79796	6.65331	0.12676	8.86921	8.72726
25.90958	47.76232	0.00000	7.29559	-122.2054	9.49076	1101.91859	7.71910	7.82324	44.51028	75.80902	7.59762	6.07753	61.19214	6.47115	0.18095	11.42746	7.94400
24.74570	36.20829	0.00000	6.69149	-115.98391	3.15891	1063.97307	5.83442	4.57612	35.94811	57.16405	6.58063	6.69128	50.98673	5.18983	0.11319	6.01954	10.62342
5.75827	24.28859	1.00000	8.08211	116.11768	7.85258	1157.58711	4.51212	8.80818	37.05241	44.75123	6.52805	8.72174	51.34051	7.93394	0.09346	9.98400	6.53991
13.53395	48.77275	0.00000	7.14007	5.16108	9.00570	1124.24042	8.72115	9.08807	51.97682	50.92601	6.19813	8.20479	35.74321	6.42307	0.37765	11.29227	9.40570
27.68407	18.18158	1.00000	7.10419	76.03889	7.13576	1123.04113	6.32614	6.91071	44.71370	17.38010	8.68485	7.87397	40.28406	6.22192	0.12286	10.50904	8.37135
15.90747	-33.79176		6.02126	151.08057	5.55849	1093.48316	7.24820	9.68283	38.85248	47.73064	6.24635	6.73803	69.68246	8.64589	0.13059	7.24068	4.66894
32.82308	41.91886	0.00000	9.57641	8.73812	11.59430	1054.80139	10.53453	6.99302	69.49859	21.00258	7.29696	4.64520	46.09742	8.21561	1.84688	4.66461	
17.57995	-22.57306	1.00000	7.18778	-47.1725	7.96340	1100.35302	4.28207	8.90566	60.03358	51.64105	6.25490	7.90758	54.72410	6.90092	0.11561	10.56980	6.93507
16.57328	53.30972	1.00000	6.68123	83.62389	4.55561	1116.36706	6.49144	9.66813	46.91434	60.52176	6.93290	6.33878	30.83566	8.42273	0.11655	7.11850	6.50721
13.94033	29.69221	1.00000	8.28901	72.54566	4.33767	1082.66427	7.92603	10.05259	44.57405	45.94505	5.85834	7.53607	50.38863	5.93134	0.20513	7.77962	6.74125
22.27812	-37.32167	1.00000	6.99242	-59.13316	10.51247	1185.95528	5.49350	7.35106	33.07099	49.36623	3.87579	7.53942		9.35537	0.07205	12.50068	4.86544
24.58660	57.97472	0.00000	5.71804	33.2525	4.43216	1142.60069	5.94926	9.70903	43.24881	60.87337	8.08304	8.31760	61.18896	7.11220	0.11337	7.64279	7.68712
-0.24296	44.89784	0.00000	7.61010	8.86374	11.32830	1125.70085	9.74012	6.67983	30.51916	36.49319	6.53139	7.51347	39.65782	7.50327	0.85790	9.04103	10.57354
10.79847	43.86682	1.00000	8.03736	-79.2663	3.85252	1089.71158	5.96304	8.30824	58.68975	54.78510	9.32468	5.53378	43.99759	5.68533	0.08780	6.88252	8.35012
13.51673	52.21099	0.00000	7.43989	7.02238	7.39341	1090.55103	8.40137	10.09500	27.42225	51.42240	5.48989	7.16119	44.66127	7.06084	0.30289	9.27104	8.47261
17.81705	-23.44361	1.00000	6.90095	-51.87389	10.86846	1157.35597	5.69434	8.15953	40.58228	49.24620	9.10700	6.82792	30.15052	8.34571	0.06678	6.13980	4.14632
29.79869	45.44868	0.00000	8.04129	-73.81669	6.21602	1115.46576	5.80441	6.71843	32.96579	61.97229	5.99998	7.29051	20.90939	7.98905	0.09080	3.97671	9.78591
8.77960	-32.05251	0.00000	9.07128	115.88782	8.02426	1161.82324	8.36019	9.19514	55.72356	43.04357	4.63007	5.84897	61.13283	6.32596	0.27882	10.24266	8.70598
4.20073	41.84364	1.00000	7.04426	-87.71255	6.19872	1195.58385	6.47026	10.59701	45.05952	54.30951	5.85385	7.48490	33.02004	7.50781	0.15535	8.35277	7.13575
8.33123	42.06166	0.00000	6.74315	-1.60452	7.83861	1060.95456	7.35616	8.84842	52.60219	46.53292	4.56314	6.67296	68.29544	7.73515	0.13432	9.84872	8.89592
9.94574	53.43333	1.00000	9.23666	-7.95	4.99038	1191.51532	8.47825	10.27562	40.79374	37.71762	4.28156	7.73117	78.27973	7.06917	0.29991	7.89630	4.95363
15.54456	41.94175	1.00000	8.60903	123.50266	7.72021	1113.15472	4.49342	9.22211	48.58788	54.98775	4.63770	7.50211	43.05904	7.73706	0.12168	9.77293	5.50116
16.29850	51.88333	0.00000	7.18584	8.51667	11.93177	1071.18108	9.92819	6.13608	42.25956	60.40880	7.15556	7.15434	85.82595	7.05869	1.05622	9.64924	10.22610
29.32535	13.65805	1.00000	8.32461	102.56365	9.84957	1076.41430	5.90397	9.51487	36.37448	65.62971	9.60518	7.79892	41.46150	7.46185	0.13137	7.24198	5.10324
25.44924	37.65181	1.00000	5.29627	120.33063	8.33976	1122.87774	5.44791	7.84559	63.86322	36.80851	8.99276	8.64755	36.69582	7.04464	0.09240	9.35986	4.37219
23.06774	37.65181	1.00000	9.12027	120.33063	9.44874	1050.60500	4.94430	8.65518	29.67382	47.69984	6.06794	5.65550	66.65244	6.82845	0.07907	10.81795	6.57134
14.36196	51.88333	0.00000	6.46274	8.51667	6.43629	1132.68657	10.08098	6.76617	34.81406	27.25987	5.22552	7.00971	47.58921	8.02399	1.19182	6.74338	8.72769
2.22694	-36.9256	1.00000	7.04967	-73.02841	7.09553	1172.62090	5.24576	7.49456	50.03212	32.24149	5.19104	6.96748	60.22256	8.41061	0.13640	10.76258	5.78657
14.25554	34.06635	0.00000	6.90926	-84.67837	6.57855	1192.25839	9.92267	6.48479	53.38356	45.25097	7.02511	7.35559	59.40174	9.43124	0.99979	7.56908	7.82408
-5.61296	8.48714	0.00000	7.13069	-13.2356	9.75968	1096.23095	6.35081	7.62734	62.79723	38.75180	4.92075	7.49910	15.68474	7.56743	0.13185	8.81255	9.33406
8.32451	59.80917	1.00000	9.96662	30.38167	5.95446	1109.37320	4.10569	9.58596	35.75113	39.87595	5.30026	8.94568	77.67211	5.44150	0.05808	8.69699	5.97949
	53.30972	0.00000	7.79505	83.62389	5.32100	1191.75029	8.56340	6.34328	49.16724	71.95129	5.04945	6.30016	43.69188	8.24872	0.28888	6.09358	9.53259
17.48985	14.53767	1.00000	6.02055	46.83187	8.56216	1056.50301	6.50617	8.22141	42.28548	39.67651	8.17004	6.63446	47.65090	8.43541	0.15739	9.16398	7.00909
12.81281	33.86419	1.00000	5.77058	48.26258	10.14290	1199.17509	6.88976	10.76431	38.64400	36.08226	8.96438	7.08693	76.98255	7.91799	0.13611	7.51355	6.90833
8.52182	39.71734	1.00000	6.23800	-74.96933	9.19308	1098.87459	5.94689	10.72569	57.43642	41.44266	8.70237	8.87777	46.85925	7.96879	0.10807	8.69211	7.29862
18.51206	38.70734	0.00000	7.28081	-77.02303	6.25676	1062.81166	7.48966	5.41601	52.80200	63.93311	6.19235	8.50799	62.62800	9.02583	0.15253	4.59987	9.51848
4.91230	52.4581	0.00000	9.68781	13.28702	6.76417	1079.45144	12.17041	6.64038	56.89269	29.12525	4.92319	7.40199	40.96531	8.25243	8.85630	7.42382	7.62750
4.58994	-27.50578	0.00000	9.40048	153.10236	6.75550	1177.35702	9.11583	7.12000	41.66564	42.17092	6.13446	8.77893	38.44659	7.55686	0.47293	6.56026	8.42209
