revision	station	QoS	latitude	location	longitude
11/17/2016, 00:00:00	Suzaka	building	36.65	Asia/Tokyo	138.31667
2019/07/12	Contla	excellent	19.32932	America/Mexico_City	-98.1664
2015/08/30	Wangon	accep	-7.51611	Asia/Jakarta	109.05389
2019/05/13	Mechanicsville	building	37.60876	America/New_York	-77.37331
2021-11-21	Jackson	good	35.61452	America/Chicago	-88.81395
01/28/2013, 00:00:00	Kot Addu	excellent	30.46907	Asia/Karachi	70.96699
02/03/2013, 00:00:00	Dorval	maintenance	45.4473	America/Toronto	-73.75335
2022-03-08	Malnate	accep	45.79377	Europe/Rome	8.88104
06/12/2015, 00:00:00	Schiebroek	excellent	51.95838	Europe/Amsterdam	4.47124
2015-08-13	Otegen Batyra	average	43.41949	Asia/Almaty	77.0202
2014/02/07	Korschenbroich	average	51.19139	Europe/Berlin	6.51352
2015/05/17	Mexborough	maintenance	53.49389	Europe/London	-1.29243
2016/11/17	Likhobory	acceptable	55.85	Europe/Moscow	37.56667
2019-01-04	Mokopane	average	-24.19436	Africa/Johannesburg	29.00974
2018-02-26	Shinshiro	maintenance	34.9	Asia/Tokyo	137.5
07/15/2014, 00:00:00	Lutsk	building	50.75932	Europe/Kiev	25.34244
12/25/2021, 00:00:00	Chilibre	excellent	9.15093	America/Panama	-79.62098
02/10/2018, 00:00:00	Saint-Genis-Laval	excellent	45.69558	Europe/Paris	4.7934
2019-11-13	Komono	average	35	Asia/Tokyo	136.51667
12/28/2018, 00:00:00	Ulan-Ude	average	51.82721	Asia/Irkutsk	107.60627
16 Mar 2013	Agrigento	average	37.31065	Europe/Rome	13.57661
23 Jun 2022	Rwamagana	building	-1.9487	Africa/Kigali	30.4347
06/19/2018, 00:00:00	Gudermes	excellent	43.35071	Europe/Moscow	46.10925
2014-03-17	Hardenberg	average	52.57583	Europe/Amsterdam	6.61944
2018/09/04	Keizer	average	44.99012	America/Los_Angeles	-123.02621
2014/12/23	Rutherglen	good	55.82885	Europe/London	-4.21376
2019/06/13	Kherson	excellent	46.65581	Europe/Kiev	32.6178
2019/03/01	Progreso	maintenance	21.28306	America/Merida	-89.66123
2016/06/12	Kamakura	accep	35.30889	Asia/Tokyo	139.55028
2022-06-28	Agrigento	accep	37.31065	Europe/Rome	13.57661
13 May 2013	Villabate	excellent	38.07789	Europe/Rome	13.44275
08 Feb 2020	Acworth	good	34.06635	America/New_York	-84.67837
10/17/2016, 00:00:00	T’aebaek	excellent	37.1759	Asia/Seoul	128.9889
2013/06/14	Gilbert	maintenance	33.35283	America/Phoenix	-111.78903
08/14/2017, 00:00:00	South Whittier	good	33.95015	America/Los_Angeles	-118.03917
2020-03-19	Rueil-Malmaison	maintenance	48.8765	Europe/Paris	2.18967
2021-11-20	Kidodi	excellent	-7.60361	Africa/Dar_es_Salaam	37.00438
04/13/2013, 00:00:00	Gernika-Lumo	good	43.31667	Europe/Madrid	-2.68333
2013-11-18	Lakewood	good	41.48199	America/New_York	-81.79819
2016/04/08	Aracaju	building	-10.91111	America/Maceio	-37.07167
06/01/2018, 00:00:00	Gisborne	excellent	-38.65333	Pacific/Auckland	178.00417
2017/04/09	Nayoro	good	44.35056	Asia/Tokyo	142.45778
2016/10/01	Newbury	accep	51.40148	Europe/London	-1.32471
2015/01/20	Boyeros	average	23.0072	America/Havana	-82.4017
05/03/2017, 00:00:00	Krasyliv	good	49.65186	Europe/Kiev	26.97253
07 Aug 2015	Perugia	good	43.1122	Europe/Rome	12.38878
24 Nov 2012	Selby	maintenance	53.78333	Europe/London	-1.06667
2013/02/11	Otegen Batyra	accep	43.41949	Asia/Almaty	77.0202
12/28/2014, 00:00:00	Gaya	building	11.86064	Africa/Lagos	9.0027
2015/04/20	Far Rockaway	accep	40.60538	America/New_York	-73.75513
25 Aug 2020	Meerut	accep	28.98002	Asia/Kolkata	77.70636
09 Oct 2013	Volokolamsk	accep	56.03361	Europe/Moscow	35.96944
05/31/2022, 00:00:00	Tupiza	good	-21.44345	America/La_Paz	-65.71875
18 Mar 2014	Perugia	good	43.1122	Europe/Rome	12.38878
06/07/2020, 00:00:00	Dyat’kovo	average	53.59782	Europe/Moscow	34.33825
2015/06/01	Socorro	accep	6.46838	America/Bogota	-73.26022
06/03/2016, 00:00:00	T’aebaek	good	37.1759	Asia/Seoul	128.9889
21 Feb 2013	Wheelers Hill	good	-37.9	Australia/Melbourne	145.18333
25 Apr 2017	Sishui	excellent	35.64889	Asia/Shanghai	117.27583
02 Sep 2014	Greenville	excellent	33.41012	America/Chicago	-91.06177
2020/02/20	Hofheim am Taunus	maintenance	50.09019	Europe/Berlin	8.4493
22 Sep 2015	Gudermes	accep	43.35071	Europe/Moscow	46.10925
2021-09-04	Sishui	average	35.64889	Asia/Shanghai	117.27583
2016-08-10	Alwaye	maintenance	10.10649	Asia/Kolkata	76.35484
13 Jan 2019	Varadero	average	23.15678	America/Havana	-81.24441
2013/03/03	Sambalpur	good	21.46527	Asia/Kolkata	83.97573
04/12/2013, 00:00:00	Rio Real	average	-11.48472	America/Bahia	-37.93278
2013/10/29	Albstadt	maintenance	48.21644	Europe/Berlin	9.02596
2014/04/28	Puducherry	excellent	11.93381	Asia/Kolkata	79.82979
22 May 2017	Carlos Barbosa	accep	-29.2975	America/Sao_Paulo	-51.50361
2016-05-14	Zhoushan	accep	29.98869	Asia/Shanghai	122.20488
10/05/2017, 00:00:00	South Whittier	good	33.95015	America/Los_Angeles	-118.03917
2012-12-11	Alexandria	good	31.20176	Africa/Cairo	29.91582
03/13/2013, 00:00:00	San Fernando de Henares	maitennce	40.42386	Europe/Madrid	-3.53261
2015-12-21	Gernika-Lumo	accep	43.31667	Europe/Madrid	-2.68333
2021/09/10	Juhaynah	excellent	26.67319	Africa/Cairo	31.4976
21 Jul 2022	Ferrol	accep	43.48961	Europe/Madrid	-8.2194
07/29/2018, 00:00:00	Jashpurnagar	building	22.88783	Asia/Kolkata	84.13864
2020/02/21	Pandua	good	23.07492	Asia/Kolkata	88.28637
2013/08/31	Chilibre	average	9.15093	America/Panama	-79.62098
2017/02/28	Watsonville	accep	36.91023	America/Los_Angeles	-121.75689
05/03/2018, 00:00:00	Beaconsfield	good	45.43341	America/Toronto	-73.86586
2020/04/29	Kyzylorda	maintenance	44.85278	Asia/Qyzylorda	65.50917
07/12/2014, 00:00:00	Watsonville	accep	36.91023	America/Los_Angeles	-121.75689
08/15/2014, 00:00:00	Middle River	good	39.33427	America/New_York	-76.43941
23 Jul 2020	Aloha	excellent	45.49428	America/Los_Angeles	-122.86705
11/15/2016, 00:00:00	Soure	average	-0.71667	America/Belem	-48.52333
22 Nov 2016	La Victoria	average	10.22677	America/Caracas	-67.33122
28 Aug 2013	Izluchinsk	excellent	60.97944	Asia/Yekaterinburg	76.92421
01/28/2017, 00:00:00	Sorsogon	good	12.97389	Asia/Manila	123.99333
02/28/2013, 00:00:00	Okahandja	average	-21.98333	Africa/Windhoek	16.91667
13 Aug 2016	Palm Desert	average	33.72255	America/Los_Angeles	-116.37697
09/29/2017, 00:00:00	Saratoga Springs	average	40.34912	America/Denver	-111.90466
2016/11/20	Gainesville	average	29.65163	America/New_York	-82.32483
04/29/2017, 00:00:00	Liberia	average	10.63504	America/Costa_Rica	-85.43772
2022/01/09	Chosica	accep	-11.94306	America/Lima	-76.70944
2015-10-13	Malden	excellent	42.4251	America/New_York	-71.06616
2015/08/19	Yasothon	good	15.79408	Asia/Bangkok	104.1451
2015-07-04	Westbury	excellent	51.26	Europe/London	-2.1875
27 Sep 2021	Puducherry	good	11.93381	Asia/Kolkata	79.82979
2020-05-22	Watsonville	accep	36.91023	America/Los_Angeles	-121.75689
2022-06-19	Jais	maintenance	26.2649	Asia/Kolkata	81.54855
2019/01/07	Tarkwa	excellent	5.30383	Africa/Accra	-1.98956
19 Jul 2021	Shreveport	accep	32.52515	America/Chicago	-93.75018
2017/09/07	Searcy	average	35.25064	America/Chicago	-91.73625
2017-04-19	Tucano	accep	-10.95817	America/Bahia	-38.79084
12/31/2016, 00:00:00	Tonga	excellent	4.96667	Africa/Douala	10.7
2012-12-29	T’aebaek	good	37.1759	Asia/Seoul	128.9889
18 Aug 2016	Pleasant Prairie	average	42.55308	America/Chicago	-87.93341
2019/04/25	Fayetteville	building	35.05266	America/New_York	-78.87836
2015/10/18	Buri	average	-23.7975	America/Sao_Paulo	-48.59278
11/20/2012, 00:00:00	Frenda	average	35.06544	Africa/Algiers	1.04945
15 Mar 2019	Betamcherla	average	15.45144	Asia/Kolkata	78.14797
11/19/2019, 00:00:00	Pahrump	good	36.20829	America/Los_Angeles	-115.98391
28 Jun 2018	Eastwood	excellent	-33.79176	Australia/Sydney	151.08057
01/01/2017, 00:00:00	Rosedale	excellent	39.32011	America/New_York	-76.51552
2019/02/17	Iringa	good	-7.76667	Africa/Dar_es_Salaam	35.7
2021/01/05	Caravaca	accep	38.10558	Europe/Madrid	-1.86343
04/06/2022, 00:00:00	Roi Et	accep	16.0567	Asia/Bangkok	103.65309
02/18/2017, 00:00:00	Lal Bahadur Nagar	excellent	17.34769	Asia/Kolkata	78.55757
10 Jul 2018	Pleasant Prairie	good	42.55308	America/Chicago	-87.93341
04 Nov 2013	Finnentrop	building	51.168	Europe/Berlin	7.973
2022-08-31	Bang Ban	maintenance	14.37395	Asia/Bangkok	100.48528
20 Jan 2018	Mexborough	average	53.49389	Europe/London	-1.29243
2014-01-15	Chacabuco	accep	-34.64167	America/Argentina/Buenos_Aires	-60.47389
04 Aug 2018	Hlukhiv	accep	51.67822	Europe/Kiev	33.9162
2022-01-01	Oaxaca	accep	17.06542	America/Mexico_City	-96.72365
02/06/2020, 00:00:00	Gajendragarh	accep	15.73628	Asia/Kolkata	75.96976
09/08/2019, 00:00:00	Ar Ruseris	excellent	11.8659	Africa/Khartoum	34.3869
04/29/2017, 00:00:00	Talence	average	44.80477	Europe/Paris	-0.59543
2021/11/23	Hutto	excellent	30.5427	America/Chicago	-97.54667
07 Nov 2017	Beryozovsky	average	56.9083	Asia/Yekaterinburg	60.8019
14 Aug 2014	Talisay	excellent	10.7375	Asia/Manila	122.9666
09 Dec 2019	Viradouro	excellent	-20.87306	America/Sao_Paulo	-48.29694
2022-07-16	Kobuleti	average	41.82143	Asia/Tbilisi	41.77921
12/11/2015, 00:00:00	Sojat	average	25.92493	Asia/Kolkata	73.66633
05/10/2014, 00:00:00	Pucheng	good	27.92333	Asia/Shanghai	118.53333
2018-07-05	Otradnyy	building	53.37596	Europe/Samara	51.3452
2017-01-16	Damnoen Saduak	average	13.51825	Asia/Bangkok	99.95469
22 May 2022	Sheoganj	building	25.13915	Asia/Kolkata	73.06784
2020-09-16	Strood	excellent	51.39323	Europe/London	0.47713
2020-03-13	Busia	accep	0.46005	Africa/Nairobi	34.11169
12 Feb 2013	Cardedeu	accep	41.63976	Europe/Madrid	2.35739
10 May 2021	Soure	good	-0.71667	America/Belem	-48.52333
2021-09-24	Redding	excellent	40.58654	America/Los_Angeles	-122.39168
06/23/2014, 00:00:00	Carnaxide	excellent	38.72706	Europe/Lisbon	-9.24671
19 Mar 2019	Franceville	maintenance	-1.63333	Africa/Libreville	13.58357
2015-08-05	Okegawa	maintenance	36	Asia/Tokyo	139.55722
2021/03/28	Yunguyo	accep	-16.25	America/Lima	-69.08333
2019/05/01	Canavieiras	average	-15.675	America/Bahia	-38.94722
02 Jun 2020	Casa Blanca	accep	19.04222	America/Mexico_City	-98.11889
2021/10/07	Otradnyy	building	53.37596	Europe/Samara	51.3452
11 Mar 2021	Karben	accep	50.23019	Europe/Berlin	8.77155
2020-05-29	Sremska Mitrovica	good	44.97639	Europe/Belgrade	19.61222
01/04/2016, 00:00:00	Kensington	accep	40.64621	America/New_York	-73.97069
2018-07-23	Alytus	good	54.39635	Europe/Vilnius	24.04142
2015/07/08	Kalavoor	average	9.57046	Asia/Kolkata	76.32756
2013/09/24	Huntley	accep	42.16808	America/Chicago	-88.42814
16 Apr 2021	Dax	good	43.71032	Europe/Paris	-1.05366
2021/04/04	Perugia	average	43.1122	Europe/Rome	12.38878
08 Aug 2015	Yunguyo	accep	-16.25	America/Lima	-69.08333
30 Apr 2016	Wangon	accep	-7.51611	Asia/Jakarta	109.05389
04/04/2013, 00:00:00	South Whittier	average	33.95015	America/Los_Angeles	-118.03917
2015-02-18	Leioa	excellent	43.32686	Europe/Madrid	-2.98884
2017-11-18	Madhipura	accep	25.92127	Asia/Kolkata	86.79271
30 May 2016	Bavly	acceptable	54.39304	Europe/Moscow	53.26023
15 Sep 2019	Albufeira	good	37.08819	Europe/Lisbon	-8.2503
14 Apr 2018	Novelda	accep	38.38479	Europe/Madrid	-0.76773
2020/09/24	Saraktash	good	51.78771	Asia/Yekaterinburg	56.36091
2016/01/24	Nutley	average	40.82232	America/New_York	-74.15987
2017-03-08	Walton-on-the-Naze	building	51.84819	Europe/London	1.26738
10/12/2016, 00:00:00	Wevelgem	maintenance	50.8	Europe/Brussels	3.16667
09/15/2020, 00:00:00	Bon Air	average	37.52487	America/New_York	-77.55777
05/04/2015, 00:00:00	Meerut	maintenance	28.98002	Asia/Kolkata	77.70636
2022/03/23	Mouscron	good	50.74497	Europe/Brussels	3.20639
2021/06/30	Hudiksvall	excellent	61.72744	Europe/Stockholm	17.10558
2013/09/12	les Escaldes	good	42.50729	Europe/Andorra	1.53414
11/24/2020, 00:00:00	Kitgum	good	3.27833	Africa/Kampala	32.88667
2021-03-15	Hlohovec	excellent	48.43174	Europe/Bratislava	17.8031
22 May 2013	Pfullingen	average	48.46458	Europe/Berlin	9.22796
2021-11-08	Iwade	average	34.25	Asia/Tokyo	135.31667
2012-12-05	Heroica Matamoros	good	25.87972	America/Matamoros	-97.50417
12/03/2017, 00:00:00	Thap Than	average	15.46063	Asia/Bangkok	99.89166
19 Mar 2022	Tupi	accep	6.33444	Asia/Manila	124.95278
31 Aug 2017	Camayenne	excellent	9.535	Africa/Conakry	-13.68778
23 Feb 2014	Moga	good	30.81383	Asia/Kolkata	75.16878
2014/12/27	Middletown	average	41.54566	America/New_York	-71.29144
2022/01/02	Gua Musang	good	4.88441	Asia/Kuala_Lumpur	101.96857
2021-07-08	Verl	good	51.88333	Europe/Berlin	8.51667
25 Jul 2021	Utica	average	43.1009	America/New_York	-75.23266
2015/11/14	Hasilpur	accep	29.69221	Asia/Karachi	72.54566
2013-01-15	Paoy Paet	building	13.65805	Asia/Phnom_Penh	102.56365
2013-06-25	San Carlos	average	8.79577	America/Bogota	-75.69947
08/06/2019, 00:00:00	Tsuen Wan	maintenance	22.37066	Asia/Hong_Kong	114.10479
2017-03-19	Tarkwa	good	5.30383	Africa/Accra	-1.98956
2015/04/29	Dumont	accep	40.94065	America/New_York	-73.99681
22 Mar 2015	Gaziantep	maintenance	37.05944	Europe/Istanbul	37.3825
29 Sep 2013	Talence	excellent	44.80477	Europe/Paris	-0.59543
2022-05-15	Tharu Shah	excellent	26.9423	Asia/Karachi	68.11759
13 Jul 2013	Shushary	accep	59.80917	Europe/Moscow	30.38167
2018-08-03	Bordj Zemoura	accep	36.27462	Africa/Algiers	4.85668
23 Nov 2013	Frankston South	accep	-38.16604	Australia/Melbourne	145.13643
20 Jun 2018	Weimar	excellent	50.9803	Europe/Berlin	11.32903
2020-07-12	Majene	accep	-3.5403	Asia/Makassar	118.9707
04 Sep 2021	Markham	good	43.86682	America/Toronto	-79.2663
27 Aug 2017	Sungurlu	excellent	40.1675	Europe/Istanbul	34.37389
2022-06-18	Deoli	maintenance	25.75728	Asia/Kolkata	75.37991
07/01/2018, 00:00:00	Mexborough	accep	53.49389	Europe/London	-1.29243
2022-04-18	Bibiani	excellent	6.46346	Africa/Accra	-2.31938
12/03/2015, 00:00:00	Espoo	average	60.2052	Europe/Helsinki	24.6522
05/23/2021, 00:00:00	Hushitai	excellent	41.94175	Asia/Shanghai	123.50266
11/21/2019, 00:00:00	Haldwani	maintenance	29.22254	Asia/Kolkata	79.5286
2022/01/24	Ustka	average	54.58048	Europe/Warsaw	16.86194
05 Jan 2020	Polohy	accep	47.48444	Europe/Zaporozhye	36.25361
02 Oct 2021	Odessa	good	31.84568	America/Chicago	-102.36764
2015/04/29	Gates-North Gates	good	43.16547	America/New_York	-77.70066
09 Jun 2016	Greenville	excellent	33.41012	America/Chicago	-91.06177
15 Nov 2020	Reutlingen	building	48.49144	Europe/Berlin	9.20427
01/24/2018, 00:00:00	Waverly	accep	42.7392	America/Detroit	-84.62081
18 Nov 2014	Barpeta	excellent	26.32293	Asia/Kolkata	91.00632
29 May 2021	Norfolk County	excellent	42.8334	America/Toronto	-80.38297
2014/05/20	Sherwood Park	maintenance	53.51684	America/Edmonton	-113.3187
2012-11-11	Kushtia	good	23.9028	Asia/Dhaka	89.11943
10/24/2014, 00:00:00	Chharra	accep	27.9247	Asia/Kolkata	78.40102
08/18/2019, 00:00:00	Port Richmond	maitennce	40.63316	America/New_York	-74.13653
11 Apr 2013	Pekanbaru	accep	0.51667	Asia/Jakarta	101.44167
2020-09-03	El Achir	average	36.06386	Africa/Algiers	4.62744
2022/07/20	Hita	building	33.3213	Asia/Tokyo	130.94098
03/30/2013, 00:00:00	Rolla	maintenance	37.95143	America/Chicago	-91.77127
2020-03-27	Simpang	building	-1.26424	Asia/Jakarta	104.09701
12 Feb 2021	Foshan	accep	23.02677	Asia/Shanghai	113.13148
2021-08-24	Saratoga Springs	accep	40.34912	America/Denver	-111.90466
2013/09/14	Simpang	excellent	-1.26424	Asia/Jakarta	104.09701
20 Jul 2014	Hakodate	average	41.77583	Asia/Tokyo	140.73667
11/10/2021, 00:00:00	Lesnoy	accep	58.63667	Asia/Yekaterinburg	59.80222
2022-05-06	Supaul	average	26.11527	Asia/Kolkata	86.59509
08/22/2020, 00:00:00	Carlos Barbosa	building	-29.2975	America/Sao_Paulo	-51.50361
2020-04-21	Gainsborough	maintenance	53.38333	Europe/London	-0.76667
05/19/2018, 00:00:00	San Fernando de Henares	good	40.42386	Europe/Madrid	-3.53261
05/28/2018, 00:00:00	Mount Hagen	good	-5.85746	Pacific/Port_Moresby	144.23058
2017/09/04	Lompoc	average	34.63915	America/Los_Angeles	-120.45794
2021/12/30	Cardedeu	maintenance	41.63976	Europe/Madrid	2.35739
2020/04/22	Laiwu	maintenance	36.19278	Asia/Shanghai	117.65694
17 Oct 2012	Front Royal	average	38.91817	America/New_York	-78.19444
2021-07-15	Belle Glade	excellent	26.68451	America/New_York	-80.66756
2016-09-03	Utica	accep	43.1009	America/New_York	-75.23266
2016/11/22	Malden	average	42.4251	America/New_York	-71.06616
10/20/2014, 00:00:00	Sorsogon	accep	12.97389	Asia/Manila	123.99333
21 Jun 2016	Sirsi	accep	14.62072	Asia/Kolkata	74.83554
12/24/2021, 00:00:00	Brazzaville	building	-4.26613	Africa/Brazzaville	15.28318
24 Oct 2018	Manikchari	maintenance	22.83957	Asia/Dhaka	91.84128
11/30/2021, 00:00:00	Watsonville	good	36.91023	America/Los_Angeles	-121.75689
2014-12-16	Gates-North Gates	maintenance	43.16547	America/New_York	-77.70066
2020-05-03	Norco	excellent	33.93113	America/Los_Angeles	-117.54866
20 Oct 2021	Teziutlan	maintenance	19.8173	America/Mexico_City	-97.35992
2013-06-30	Solntsevo	excellent	55.63711	Europe/Moscow	37.38115
2020-03-08	New Kingston	average	18.00747	America/Jamaica	-76.78319
02 Mar 2022	Aksaray	accep	38.37255	Europe/Istanbul	34.02537
22 Mar 2017	Muritiba	excellent	-12.91667	America/Bahia	-39.25
2014-02-05	Zeist	accep	52.09	Europe/Amsterdam	5.23333
2016/04/02	Fairview Heights	excellent	38.58894	America/Chicago	-89.99038
2014/12/18	Ataq	maintenance	14.53767	Asia/Aden	46.83187
2014/10/11	Muritiba	building	-12.91667	America/Bahia	-39.25
2018/12/02	Gainesville	average	29.65163	America/New_York	-82.32483
2018/07/26	Nyangao	average	-10.33333	Africa/Dar_es_Salaam	39.28333
12/16/2014, 00:00:00	Ambatondrazaka	good	-17.83333	Indian/Antananarivo	48.41667
07/04/2018, 00:00:00	Viewpark	accep	55.82737	Europe/London	-4.0573
2013/12/15	Lakota	maintenance	5.84752	Africa/Abidjan	-5.682
2018-03-14	Viradouro	accep	-20.87306	America/Sao_Paulo	-48.29694
29 Mar 2019	West Chester	maintenance	39.96097	America/New_York	-75.60804
2017/05/24	Punta Gorda Isles	excellent	26.91756	America/New_York	-82.07842
03 Oct 2017	Moga	maintenance	30.81383	Asia/Kolkata	75.16878
2020/09/05	La Victoria	building	10.22677	America/Caracas	-67.33122
2018-03-17	Tak Bai	average	6.25947	Asia/Bangkok	102.05461
02 Mar 2021	Pandua	accep	23.07492	Asia/Kolkata	88.28637
01/02/2014, 00:00:00	Pahrump	good	36.20829	America/Los_Angeles	-115.98391
17 Apr 2022	Chharra	excellent	27.9247	Asia/Kolkata	78.40102
2017/06/22	Sukabumi	good	-6.91806	Asia/Jakarta	106.92667
2018/07/17	Emmeloord	excellent	52.71083	Europe/Amsterdam	5.74861
2017-01-20	Tupi	excellent	6.33444	Asia/Manila	124.95278
2016-10-16	Bourbonnais	average	41.15376	America/Chicago	-87.88754
2018-07-24	Dahlem	excellent	52.4581	Europe/Berlin	13.28702
19 Oct 2021	Davangere	good	14.46693	Asia/Kolkata	75.92694
20 Jun 2014	Yeysk	good	46.7055	Europe/Moscow	38.2739
14 Nov 2019	Gorgonzola	excellent	45.53069	Europe/Rome	9.40531
07 Jul 2017	Manjeri	accep	11.12018	Asia/Kolkata	76.11996
11/03/2020, 00:00:00	Pointe-Claire	maintenance	45.44868	America/Toronto	-73.81669
14 Nov 2013	Santa Gertrudes	good	-22.45667	America/Sao_Paulo	-47.53028
12/02/2017, 00:00:00	Nyangao	building	-10.33333	Africa/Dar_es_Salaam	39.28333
2014-01-21	Laiwu	excellent	36.19278	Asia/Shanghai	117.65694
06/11/2021, 00:00:00	Pleasant Prairie	maintenance	42.55308	America/Chicago	-87.93341
2015/05/09	Catania	good	37.49223	Europe/Rome	15.07041
12/12/2017, 00:00:00	Belle Glade	average	26.68451	America/New_York	-80.66756
2014-11-12	Burscheid	building	51.08468	Europe/Berlin	7.11393
05 Jul 2014	Aberdeen	good	57.14369	Europe/London	-2.09814
06 Mar 2014	Somoto	excellent	13.48082	America/Managua	-86.58208
08/18/2014, 00:00:00	Negotin	maintenance	44.22639	Europe/Belgrade	22.53083
2020/11/20	Newburgh	maintenance	41.50343	America/New_York	-74.01042
2013-07-05	Sarandi	average	-23.44361	America/Sao_Paulo	-51.87389
10/11/2013, 00:00:00	New Canaan	average	41.14676	America/New_York	-73.49484
2022-04-17	Farafenni	average	13.56667	Africa/Banjul	-15.6
28 Mar 2021	Sathyamangalam	average	11.50526	Asia/Kolkata	77.23826
2014/01/07	Viewpark	accep	55.82737	Europe/London	-4.0573
2017-10-19	Novosilikatnyy	building	53.30972	Asia/Barnaul	83.62389
03/08/2017, 00:00:00	Pottstown	excellent	40.24537	America/New_York	-75.64963
2013/06/20	Jashpurnagar	good	22.88783	Asia/Kolkata	84.13864
01/20/2022, 00:00:00	Porto Velho	average	-8.76194	America/Porto_Velho	-63.90389
11 May 2013	Jashpurnagar	excellent	22.88783	Asia/Kolkata	84.13864
01/24/2014, 00:00:00	Hechingen	good	48.35149	Europe/Berlin	8.96317
2014/04/01	Elamanchili	good	17.54907	Asia/Kolkata	82.85749
2022-01-06	Kundla	accep	21.34222	Asia/Kolkata	71.30633
2015/12/11	Phanat Nikhom	good	13.44581	Asia/Bangkok	101.18445
2019/02/23	Saint-Denis	accep	-20.88231	Indian/Reunion	55.4504
07 Mar 2022	Fresno	average	29.53885	America/Chicago	-95.44744
2019/07/07	Lons-le-Saunier	good	46.67535	Europe/Paris	5.55575
2018-12-22	Rosemount	excellent	44.73941	America/Chicago	-93.12577
2014-08-22	Sremska Mitrovica	average	44.97639	Europe/Belgrade	19.61222
05/19/2016, 00:00:00	Sainte-Catherine	accep	45.40008	America/Toronto	-73.58248
2013/03/20	Valletta	accep	35.89972	Europe/Malta	14.51472
2015-02-13	Sector 6	good	44.43579	Europe/Bucharest	26.01649
05/03/2015, 00:00:00	Binnish	accep	35.95664	Asia/Damascus	36.7138
04/25/2015, 00:00:00	Tongelre	average	51.44889	Europe/Amsterdam	5.51978
08/02/2021, 00:00:00	Ehingen	average	48.28259	Europe/Berlin	9.72749
21 Apr 2018	Port Richmond	average	40.63316	America/New_York	-74.13653
2016-11-29	T’aebaek	accep	37.1759	Asia/Seoul	128.9889
2020/01/10	El Achir	average	36.06386	Africa/Algiers	4.62744
2014/12/15	Buenaventura	maintenance	3.8801	America/Bogota	-77.03116
2019-05-21	Tiruppuvanam	average	9.82564	Asia/Kolkata	78.25795
28 Nov 2017	Charlottenburg-Nord	excellent	52.53048	Europe/Berlin	13.29371
2017/06/25	Oldenzaal	good	52.31333	Europe/Amsterdam	6.92917
24 Dec 2017	Villa del Rosario	good	7.83389	America/Bogota	-72.47417
2014/07/11	Nikolayevsk-on-Amure	good	53.14657	Asia/Vladivostok	140.72287
08/22/2017, 00:00:00	Manjeri	accep	11.12018	Asia/Kolkata	76.11996
08/14/2018, 00:00:00	Palm Desert	excellent	33.72255	America/Los_Angeles	-116.37697
2021/02/19	Culemborg	average	51.955	Europe/Amsterdam	5.22778
2020-05-23	Kamakura	excellent	35.30889	Asia/Tokyo	139.55028
2016/06/14	Wittenau	good	52.59319	Europe/Berlin	13.32127
07/15/2018, 00:00:00	An Muileann gCearr	excellent	53.53333	Europe/Dublin	-7.35
2013/03/26	Guapimirim	acceptable	-22.53722	America/Sao_Paulo	-42.98194
