PM10	NH3	warning	H2CO	SO2	TEMP	C2H3NO5	Pb	NOx	PM2.5	latitude	PRES	longitude	CH4	PAHs	CFCs	CO	O3
9.47687	7.62417	0.00000	69.94839	6.71154	28.83218	0.15793	51.80335	7.36856	8.11055	14.62072	1130.70816	74.83554	6.29142	7.75971	38.31679	9.42307	10.25903
6.07689		1.00000	46.29439	10.44402	10.26363	0.02336	48.93405	6.34522	9.60769	36.75965	1064.22036	137.36215	9.14324	8.57706	45.82312	9.15486	8.27323
7.17238	3.71432	1.00000	48.72108	9.20832	25.09195	0.03418	55.29899	7.15689	6.35990	38.91817	1106.64947	-78.19444	9.97143	6.73012	59.97594	5.34948	7.98649
8.69105	6.65436	1.00000	45.35490	8.43712	14.42269	0.08986	53.60898	8.86184	8.95663	-17.73648	1064.84512	168.31366	7.56631	7.78764	46.96959	7.51323	7.57655
5.08565	5.82737	1.00000	52.90641	9.47109	5.93389	0.01900	34.89343	4.09334	8.68322	42	1072.67959	21.32778	7.80678	8.58768	37.26476	9.93186	7.54893
7.70005	5.66478	1.00000	57.86915	8.76174	23.03791	0.03739	40.29857	7.70739	7.65982	40.78206	1050.71067	72.34424	8.00499	9.96375	35.66815	7.97636	10.09742
8.75007	8.52830	1.00000	53.85755	10.74679	12.31834	0.09037	58.23702	8.37060	7.90224	43.11667	1104.38084	1.6	7.94296	10.34748	47.68071	10.75687	7.69746
7.86989	7.35074	1.00000	43.07205	10.99878	20.93649	0.04950	59.18383	6.66450	6.95168	36.61033	1098.18350	-88.31476	7.59790	9.68088	69.01149	10.73060	10.04265
8.06570	4.75833	0.00000	37.34568	11.09158	21.81247	0.06182	42.86712	6.28643	6.26567	50.74497	1092.91856	3.20639	7.51129	8.70693	47.01001	6.47233	6.85124
7.29568	9.12623	1.00000	37.66002	10.16963	0.65804	0.04120	52.88362	6.62468	8.49721	41.16704	1099.98174	-73.20483	6.96489	7.03883	42.14734	8.73342	8.91326
10.69808	7.99005	0.00000	49.53519	8.77173	9.31520	0.47716	51.63063	9.83812	7.21975	0.03813	1188.62043	36.36339	9.03707	5.87715	37.38839	5.45555	8.24020
11.30023	5.60985	0.00000	61.30470	11.74997	14.19152	0.86180	49.44443	6.63602	7.35279	38.91817	1088.58262	-78.19444	9.68706		46.34534	4.58866	8.71677
6.34611	9.73036	1.00000	58.07724	9.59116	15.67208	0.02243	44.98697	6.93701	7.63714	-30.60106	1148.12301	-71.19901	8.79264	7.12733	56.06973	7.18192	7.08243
7.76556	7.23521	1.00000	56.35786	12.11140	30.05082	0.04512	41.91507	7.30964	8.00205	38.55632	1185.24123	69.01354	6.71850	10.43484	40.17238	9.03931	7.18748
7.64919	4.76718	1.00000	76.50162	7.06344	3.54778	0.04497	26.64209	6.07814	7.77520	31.78336	1174.67055	35.23388	6.88406	12.13917	73.86745	8.99502	9.00009
6.46547	6.08874	1.00000	52.67021	9.15453	36.02075	0.02733	39.87245	6.70666	7.95228	51.39323	1177.83195	0.47713	7.66660	7.92246	34.19125	9.00285	8.12768
6.24052	7.61762	1.00000	58.89270	10.24215	12.78854	0.02787	53.79650	5.97545	6.65305	24.81757	1057.54645	84.63445	8.74880	7.47970	43.33737	5.97554	7.36689
9.13095	6.78658	0.00000	75.30534	8.29937	28.98588	0.11775	34.42829	9.61757	8.50337	21.01858	1192.13014	-101.2591	9.00086	6.03392	55.10309	10.63065	8.49753
9.83714	8.47164	0.00000	65.19937	7.76098	19.90410	0.21606	23.96436	9.81528	9.63372	39.57582	1151.31240	-105.11221	8.95516	5.19936	41.61463	8.39388	5.37656
5.29865	5.29629	1.00000	60.88762	8.22255	19.65022	0.02069	76.94965	5.49909	7.95981	38.96372	1076.55483	-76.99081	8.45790	6.55519	59.28723	4.57686	7.92397
10.84054	4.74914	0.00000	54.37650	6.05195	4.75963	0.54715	60.85547	6.87504	8.16369	-19.7625	1072.74213	-44.31389	7.83541	5.75213	43.03393	9.77069	7.09530
10.72685	5.59102	0.00000	52.36817	6.46659	24.50353	0.49585	59.20787	5.17415	7.05088	10.7375	1149.94538	122.9666	7.74059	6.54193	33.39257	8.23134	7.38912
6.71861	7.29854	1.00000	57.73254	9.63165	12.93099	0.02904	40.35577	7.03967	8.99595	37.49223	1198.33088	15.07041	6.52548	9.78345	58.36391	9.12848	8.50812
5.94543	7.19071	1.00000	76.28834	9.90565	11.75604	0.01986	40.67223	6.13734	6.53855	53.38333	1138.81763	-0.76667	7.26413	4.82913	51.11341	7.78258	5.61443
6.09460	4.90527	1.00000	33.97679	8.89582	12.93604	0.03455	44.05154	5.58930	8.17584	27.34089	1060.82483	117.4831	8.98130	7.13661	27.66029	4.99146	7.12497
8.51290	1.66408	1.00000		9.07614	17.39135	0.07625	44.31009	8.76166	7.25067	53.93361	1111.96849	37.92792	8.05262	8.26225	31.26052	3.64887	9.33670
5.59593	7.60951	0.00000	53.01899	7.44575	22.18599	0.02522	36.73897	8.49807	7.48068	13.73417	1184.64930	-89.71472	8.22866	7.06303	35.26171	10.38996	8.72385
8.17151	6.28325	0.00000	45.01279	8.91095	30.69518	0.05854	67.47299	7.03128	8.05573	-8.66667	1077.34661	-35.71667	8.05798	7.35817	42.34636	8.47527	8.01729
5.21706	6.58684	1.00000	55.13954	8.75996	10.96281	0.03003	52.97708	5.88092	7.89142	47.98372	1101.78052	10.18527	8.39583	9.51300	46.70392	8.16180	7.98935
8.50392	6.41985	0.00000	72.60437	7.25428	7.45814	0.07288	64.86046	7.75251	6.42372	13.48082	1180.21493	-86.58208	6.39714	6.88399	52.37272	9.61151	8.45755
4.52610	6.94051	1.00000	39.16232	9.41995	-2.38874	0.02172	51.64011	5.12706	8.06692	15.48131	1068.37699	-86.57415	7.78204	7.66196	38.93422	9.45684	8.15644
7.09734	5.16896	1.00000	61.09747	8.20088	-11.91831	0.02845	47.03997	6.93249	8.36821	23.04419	1173.73833	-82.00919	6.14929	9.80376	52.05532	8.11875	7.65188
9.23417	6.93363	0.00000	55.69437	4.76038	45.08965	0.13621	42.29816	6.06023	6.72074	41.09822	1175.37230	120.74792	7.54085	6.66918	52.06930	9.49544	7.56492
7.24461	4.93043	1.00000	50.85520	8.40869	32.89958	0.03909	37.39892	7.74320	9.00791	37.58105	1181.35188	29.26639	7.72143	8.33095	73.46019	4.08858	7.45831
11.34714	6.68881	1.00000	23.12108	10.69063	38.94640	0.90156	41.53876	8.99475	6.23447	50.56149	1056.75294	4.69889	7.13025	7.21807	64.86166	4.21062	8.26427
7.51077	7.98439	1.00000	57.73862	9.07979	2.08465	0.04126	49.00731	8.83766	7.46207	39.33427	1092.35428	-76.43941	9.42116	7.10276	52.12896	6.78794	7.31643
6.99787	6.68609	0.00000	58.00573	7.97274	19.29439	0.03776	29.74204	7.03894	10.17371	37.95143	1106.74127	-91.77127	8.53503	8.26851	51.20962	5.56401	9.71608
9.01768	7.14183	0.00000	69.63410	7.76803	9.38385	0.10752	69.99476	10.42134	8.15399	-7.0981	1127.27931	109.3243	8.74163	4.22927	55.02738	9.37487	5.65490
10.23136	5.02803	0.00000	66.85945	10.77607	24.25717	0.30960	86.89543	10.57281	8.50722	22.10194	1086.40605	85.37752	7.75107	6.59616	45.63989	5.55980	8.81042
10.77007	5.11877	0.00000	74.92860	11.97211	16.78587	0.52156	49.72253	6.88322	9.13246	6.25947	1149.92638	102.05461	7.60593	7.90351	43.28920	4.94706	7.59857
3.78605	6.19420	1.00000	54.90460	10.14948	4.57907	0.02961	50.27356	2.22438	9.41056	27.55898	1080.21002	68.21204	7.63206	5.01574	53.77116	6.37645	8.43173
7.20117	6.79075	1.00000	42.22250	8.77431	8.01883	0.03111	35.48875	7.37450	6.42628	34.5624	1164.37590	38.28402	7.46144	5.76401	30.88018	8.17846	7.28213
4.78654	4.90727	1.00000	48.51160	6.35782	12.36893	0.02984	34.46311	5.02624	7.65074	23.1959	1193.97312	86.51499	9.05432	10.76409	56.91105	7.53649	6.96742
6.58692	8.38096	1.00000	50.41779	10.23053	4.24650	0.02623	46.70528	7.34880	7.87448	19.8173	1068.51258	-97.35992	9.40020	7.93821	67.77998	10.40005	7.50467
9.65731	5.72403	0.00000	56.87208	10.07546	14.24135	0.18451	62.11205	9.85085	9.04728	43.67681	1065.66850	4.63031	8.53359	6.70803	43.40289	6.59710	6.93976
9.05127	6.00001	0.00000	50.31696	10.13903	14.52325	0.11562	33.92948	9.34262	7.21450	50.75	1175.28416	2.25	9.43338	8.24461	57.42396	5.18154	7.07756
7.50052	7.29550	0.00000	37.41877	6.24989	8.96518	0.03483	55.37189	7.72980	5.82839	23.0072	1172.77378	-82.4017	5.91692	5.95721	36.04540	10.45981	8.82608
7.78567	6.24153	1.00000	48.85904	8.92888	24.59126	0.05274	55.63527	7.23444	7.67934	34.31	1147.57415	-2.16	7.78873	10.55821	53.57189	9.05117	8.25262
6.09028	5.82127	1.00000	63.57748	8.43681	3.09859	0.02330	26.07121	5.47451	7.31550	6.45407	1138.13210	3.39467	6.19961	7.09683	33.48222	5.95446	6.74529
13.95690	8.75825	0.00000	52.98167	5.82403	12.62781	11.99699	38.84943	4.24599	7.36016	47.83333	1162.43285	59.6	8.42155	7.63060	40.09034	7.95381	7.95542
6.98059	8.10056	0.00000	58.03569	8.40797	18.34516	0.03310	48.70098	7.02920	9.03708	27.92333	1053.34575	118.53333	9.10665	9.61452	47.86130	8.22435	8.95065
9.61952	7.15427	0.00000	58.22853	5.28489	6.42353	0.17133	32.81675	4.55495	7.23465	14.37395	1052.30802	100.48528	8.43171	6.92952	63.98658	8.17880	8.08008
6.83776	7.40162	1.00000	67.70534	9.25089	21.84507	0.02627	29.88481	7.77822	6.32729	38.10558	1070.54526	-1.86343	7.63552	8.23220	45.60517	9.22933	6.66489
12.14112		0.00000	39.34322	11.05526	29.01391	1.96483	68.19835	8.87900	8.54968	43.83125	1184.36223	5.03586	8.70373	6.79661	68.24472	3.22983	10.17820
7.44665	6.24427	1.00000	47.27551	9.52618	6.57779	0.03799	68.99188	7.60857	6.71085	42.55308	1124.51012	-87.93341	8.44788	9.30103	47.57588	8.52965	7.42188
8.81230	5.29244	0.00000	42.45264	10.37474	4.58823	0.08949	26.98376	8.18925	7.65568	18.57677	1068.98404	-72.22625	8.02083	6.58594	36.59917	9.14105	7.62841
7.05697	4.35565	1.00000	43.58885	10.05305	18.28278	0.03016	28.83759	5.46264	7.32157	68.79833	1160.73536	16.54165	7.71612	6.98781	45.00254	6.42350	9.89872
7.20111	6.61233	1.00000	61.28529	9.54337	2.47104	0.03630	42.73186	6.78412	9.55369	41.47892	1137.18974	-87.45476	8.67452	10.93415	46.47480	9.01643	7.96528
9.90429	7.95751	1.00000	42.76971	7.46553	11.36129	0.22519	45.42367	12.13764	6.30667	-28.81833	1126.82535	-52.51028	8.49911	7.04653	82.99626	8.76438	5.08623
6.18877	4.46232	1.00000	68.67071	8.77648	13.19206	0.02205	53.55887	6.35564	9.25304	13.8196	1084.58848	100.04427	6.60900	7.55060	51.53713	3.88387	8.06594
8.14743	6.64056	0.00000	51.90232	9.63284	7.26135	0.05941	45.85213	7.08574	6.39383	44.35056	1192.35228	142.45778	9.88628	8.65249	61.61988	6.20647	5.73613
7.65558	8.33615	1.00000	58.94082	9.44302	15.13845	0.03846	47.84412	8.12071	8.34112	60.2052	1150.88231	24.6522	6.64712	6.47368	47.08925	8.29194	7.34185
6.53631	8.02729	1.00000	36.48027	9.82937	12.89251	0.02491	50.32296	6.47206	6.91974	38.55632	1158.64633	69.01354	8.32922	9.04758	52.62915	10.55816	
8.50786	6.31821	0.00000	67.64145	8.72495	13.21508	0.06417	60.40983	9.69216	9.33561	38.96372	1107.47994	-76.99081	6.41662	5.74039	55.91676	8.52908	7.21462
5.34710	3.95996	1.00000	43.72866	9.33722	10.82567	0.01699	60.77255	4.54226	8.70974	7.62789	1147.02687	4.74161	7.99223	6.48913	38.13549	4.60404	7.62711
5.76433	6.97827	1.00000	66.98112	8.51234	15.69027	0.02862	29.92910	5.48487	7.06614	-33.88096	1126.92123	151.07986	6.84345	10.48161	60.28868	9.68150	8.62969
9.54876	5.62089	0.00000	26.33532	7.12203	11.36199	0.15970	54.28046	6.60913	8.05286	38.10558	1195.99154	-1.86343	8.13771	6.06086	60.20183	9.15555	5.48276
9.92965	7.07287	0.00000	57.90321	5.92365	4.97650	0.23606	34.61980	6.68975	7.74191	16.06213	1195.46232	76.0586	8.04138	5.46296	52.75715	9.83162	9.07409
8.72293	5.91551	1.00000	30.75412	8.76519	13.20965	0.09148	36.34231	7.79500	8.94231	29.22254	1167.72900	79.5286	10.05683	11.88675	39.40805	8.74344	8.79649
8.82256	6.86277	1.00000	57.79323	7.30362	21.62145	0.08760	81.55856	10.63969	6.50956	53.00974	1165.14642	-3.05814	8.12084	7.80303	33.63567	6.74326	9.45565
7.03487	8.21952	1.00000	46.01650	9.06046	10.48101	0.03146	46.67377	8.79869	7.43421	-26.22861	1103.92256	-52.67056	7.22412	6.46432	59.83323	6.59026	7.35791
7.34050	5.65169	1.00000	55.26256	11.57127	18.62188	0.03234	42.95027	6.61581	8.60492	26.11527	1055.57751	86.59509	7.65572	7.87326	42.33685	5.48411	9.33610
6.48378	8.90150	1.00000	64.61963	10.29490	26.40747	0.02498	27.34955	5.91219	7.12441	23.02677	1065.82673	113.13148	7.39111	6.34214	70.08818	8.42437	7.73945
6.82070	6.08975	1.00000	61.36749	8.21851	8.34318	0.03155	50.45832	7.50697	7.13916	-7.01833	1168.26676	107.60389	8.08441	9.47571	42.82917	7.89936	8.39287
6.79311	7.36073	1.00000	47.80071	9.67434	16.42188	0.03570	24.96972	6.68637	7.09598	40.82232	1155.54612	-74.15987	6.92283	10.02651	67.55362	9.68145	7.40530
11.46217	6.38912	0.00000	59.98975	11.03086	8.02078	1.01727	60.52809	7.37864	7.86359	24.96334	1152.28891	10.18003	8.26028	6.71962	39.36009	5.79939	8.59976
6.36620	7.48309	1.00000	44.56340	8.30680	23.18944	0.03221	49.49069	6.61365	8.37854	32.65246	1088.72794	51.67462	8.91990	5.56281	52.74593	8.12835	8.54495
10.42217	4.18966	0.00000	48.46287	7.42877	4.73460	0.37684	28.59514	4.07403	8.36846	39.08367	1153.77263	-84.50855	8.35394	6.78557	47.93948	7.38073	8.58962
8.28990	4.74531	1.00000	65.64984	7.69447	32.59807	0.05784	47.51812	8.38135	10.12303	-21.44236	1192.21201	27.46153	8.53648	8.22883	47.38839	8.10007	6.64345
5.49367	6.58570	1.00000	68.57268	9.05848	1.63402	0.02225	37.88740	5.62813	9.29423	-14.66463	1192.45546	-52.35558	7.30934	7.90532	61.24230	9.72074	7.06415
14.37380	7.76849	0.00000	60.16704	7.06016	19.20563	18.19689	39.05589	6.81257	9.76586	35.20889	1128.20209	111.73861	8.01040	6.15649	17.34371	9.60995	9.66762
6.89814	7.43885	1.00000	69.16362	10.55876	33.52920	0.03711	25.26033	5.82075	9.79054	32.87533	1150.54504	71.57118	7.06538	7.40077	40.18702	7.25798	9.75260
11.42965	5.91581	0.00000	83.29082	11.53917	28.45190	0.97585	53.00711	7.98374	8.99351	50.75932	1091.83242	25.34244	8.43198	7.24326	58.03962	3.94278	6.00483
6.72824	6.42391	0.00000	51.43676	6.01547	14.81886	0.03671	53.61978	4.77479	10.52738	13.44581	1171.94650	101.18445	7.66165	6.87714	53.79600	8.26334	7.83845
5.16212	5.13778	1.00000	39.86148	9.83082	15.36639	0.02739	55.71611	4.25266	8.48490	38.45598	1141.65388	48.87498	7.68470	7.01091	39.40751	4.53783	6.07408
3.23402	7.90110	1.00000	41.62693	9.45233	17.45516	0.02336	37.15340	3.52189	7.36602	33.08014	1101.51445	-83.2321	7.33343	8.84386	39.07722	10.36266	8.76266
6.74018	6.46026	1.00000	59.79617	9.83869	1.90504	0.02429	34.95694	6.84043	7.87431	43.61058	1183.17223	1.33467	7.63124	5.76856	43.35748	7.46128	8.15772
6.33758	7.11448	1.00000	35.71601	10.41816	8.48205	0.02329	29.63742	8.24767	8.62402	16.75973	1079.49438	-93.11308	8.60905		32.14232	8.03091	6.90578
13.34615	6.78878	0.00000	43.69982	5.22091	22.13383	6.52754	60.71955	4.89817	7.16013	12.37169	1158.10108	123.62494	8.14573	6.36898	41.97375	8.52938	7.80333
7.63212	5.79911	0.00000	33.76438	8.93894	19.31792	0.04109	39.14655	9.25398	7.13036	31.92923	1192.47837	34.86563	7.90646	6.54818	50.62347	8.12428	7.70222
9.54693	5.09607	0.00000	59.46341	6.77392	1.68677	0.16801	57.72837	5.47305	6.23006	14.8361	1136.90599	120.97844	8.33907	6.58200	53.37802	8.30264	8.04914
5.33213	5.01801	0.00000	63.50950	8.57792	12.68692	0.02114	36.54958	6.33398	7.59186	48.8222	1100.28923	2.12213	7.96524	7.13088	57.97005	7.28870	6.01173
6.43164	4.61830	1.00000	56.60999	7.46472	23.16139	0.03472	26.29802	6.57096	6.51285	-38.65333	1079.52289	178.00417	7.21616	9.32383	30.25955	7.58187	8.51698
9.16007	7.35083	0.00000	55.89274	8.61104	-2.97166	0.11987	57.59668	8.81450	6.13568	40.93121	1165.38740	-73.89875	8.14049	6.23610	51.07337	6.79018	6.09447
8.63744	5.05197	0.00000	51.76480	7.09425	2.54696	0.08789	34.51991	7.73182	7.82640	33.41012	1083.07248	-91.06177	7.64923	6.17376	29.63068	9.61888	7.48033
6.30088	5.45335	1.00000	66.48257	7.81184	16.81026	0.02224	42.82673	5.40402	8.72153	23.49668	1101.85329	86.68363	9.26088	10.16293	18.09467	9.49592	6.85713
8.27500	5.73931	1.00000	63.58515	8.84163	22.26799	0.06694	53.04735	8.00283	8.10563	40.72586	1190.84161	8.55552	8.22441	8.50159	59.85396	6.03768	6.11315
6.80887	5.58201	1.00000	68.29192	8.27150	17.68579	0.02318	54.99041	8.29050	6.09822	17.34769	1182.19010	78.55757	7.47385	9.11734	66.05993	6.50975	7.35482
5.26935	7.09906	1.00000	54.02394	10.34133	23.25845	0.03121	23.72408	4.19310	9.07598	-1.63333	1055.88055	13.58357	8.16091	11.47394	46.24228	9.67501	9.00670
9.10117	8.11836	1.00000	30.61543	9.80433	26.07196	0.11472	47.41201	8.27781	6.52077	18.20854	1076.38528	-71.10077	7.84697	10.28067	60.42366	11.18617	7.15606
8.70881	7.66111	1.00000	41.97620	9.42952	26.99340	0.08141	31.74165	8.51902	8.51019	3.7278	1103.78267	98.6738	7.44844	9.75589	41.81437	10.22059	4.95158
8.28923	7.94808	0.00000	49.00684	7.37243	31.47250	0.06394	38.46677	10.20168	8.45971	-14.66463	1101.79945	-52.35558	9.15468	5.81544	63.12949	8.05319	9.05224
5.51421	7.08124	1.00000	24.48067	9.24504	6.97981	0.01666	29.19156	6.05607	8.13413	53.38333	1091.14691	-0.76667	8.27675	6.50749	54.08531	5.51781	8.00833
5.33417	8.32475	1.00000	50.34148	10.67910	-7.07203	0.02991	62.46469	5.17603	8.64204	40.66482	1097.75301	122.22833	7.04859	5.90331	41.61038	6.98411	7.58910
8.37741	8.66961	0.00000	49.74490	6.76426	13.11650	0.06224	72.05910	10.68060	7.03586	12.74409	1165.13354	-8.07257	6.43528	6.12897	45.32240	7.08088	7.97226
9.39151	6.49420	0.00000	31.36247	7.64728	17.06827	0.15493	59.04092	7.38526	8.23991	36.08497	1162.53275	9.37082	8.04404	5.24134	56.20983	9.73831	7.56067
5.67386	6.94640	1.00000	53.87729	7.87042	8.94969	0.02088	49.87032	5.30009	6.55358	6.03333	1177.27359	37.55	6.69486	5.46980	50.50525	7.85873	7.31622
