location	revision	longitude	QoS	code	latitude
America/Lima	2018/12/05	-76.70944	excellent	PE	-11.94306
America/Argentina/Ushuaia	03 Dec 2017	-68.3	building	AR	-54.8
America/Sao_Paulo	07 Oct 2013	-46.99583	average	BR	-22.97056
Europe/Berlin	2020-12-31	6.51352	good	DE	51.19139
Europe/Brussels	2017-01-31	4.25633	maintenance	BE	51.21187
Asia/Kolkata	11/18/2015, 00:00:00	72.68533	excellent	IN	22.75218
America/Tegucigalpa	03/29/2015, 00:00:00	-86.57415	average	HN	15.48131
Africa/Nairobi	2021-02-08	34.11169	good	KE	0.46005
Europe/Skopje	2019/11/16	21.32778	maintenance	MK	42
Europe/Berlin	2019-05-21	10.5511	good	DE	52.47774
Europe/Rome	07 Nov 2017	15.00913	good	IT	37.51803
America/Sao_Paulo	2016/01/12	-44.31389	accep	BR	-19.7625
Europe/Berlin	10/18/2017, 00:00:00	13.32127	building	DE	52.59319
Asia/Manila	07/31/2015, 00:00:00	123.99333	accep	PH	12.97389
America/Fortaleza	2018/09/19	-40.7475	excellent	BR	-4.16694
Asia/Urumqi	2013/12/04	86.00214	excellent	CN	46.51872
Europe/London	2022-02-15	-0.29825	building	GB	51.39148
Asia/Manila	01/14/2022, 00:00:00	121.3152	good	PH	14.14989
Pacific/Auckland	12/23/2012, 00:00:00	178.00417	accep	NZ	-38.65333
Asia/Kolkata	2022-05-15	78.25795	building	IN	9.82564
Europe/London	2020-07-25	-0.91979	excellent	GB	51.42708
America/Chicago	2022-04-05	-87.93341	building	US	42.55308
Africa/Mogadishu	2014-02-13	42.54536	building	SO	-0.35817
Asia/Shanghai	2019/06/23	122.22833	excellent	CN	40.66482
America/Denver	2013-04-22	-104.22884	average	US	32.42067
America/Denver	01 Aug 2018	-111.90466	good	US	40.34912
Europe/Berlin	2013-07-05	12.16179	excellent	DE	48.52961
Europe/Paris	27 Jul 2020	2.18967	accep	FR	48.8765
Asia/Tokyo	2013/11/24	138.31667	accep	JP	36.65
America/New_York	02/08/2019, 00:00:00	-81.26367	average	US	28.90054
Europe/Brussels	07/20/2013, 00:00:00	4.07601	good	BE	50.88506
Asia/Kolkata	06/26/2014, 00:00:00	73.06784	good	IN	25.13915
Europe/London	12 Dec 2018	-1.48119	maintenance	GB	53.0233
Europe/Madrid	2016-01-12	-0.76773	average	ES	38.38479
Asia/Manila	17 Sep 2015	123.62494	excellent	PH	12.37169
America/New_York	03/13/2019, 00:00:00	-82.32483	accep	US	29.65163
Europe/Moscow	2015/09/08	43.67663	accep	RU	53.53041
Africa/Gaborone	2013/05/25	27.46153	good	BW	-21.44236
Europe/Berlin	2014-11-19	8.96317	average	DE	48.35149
Europe/London	2020-11-10	-1.5443	excellent	GB	50.75767
Europe/Rome	2013-11-05	11.412	good	IT	45.50369
Asia/Bangkok	2021-06-12	100.04427	average	TH	13.8196
Asia/Kolkata	2016-11-08	78.55757	good	IN	17.34769
America/Recife	2014/06/05	-35.71667	good	BR	-8.66667
America/New_York	2018-03-29	-78.19444	average	US	38.91817
America/New_York	2018/03/17	-74.96933	good	US	39.71734
America/Sao_Paulo	23 Dec 2013	-49.27306	average	BR	-25.42778
Europe/Rome	03/17/2017, 00:00:00	13.57661	good	IT	37.31065
America/New_York	05 Aug 2017	-76.99081	good	US	38.96372
Africa/Brazzaville	2019/02/21	15.28318	good	CG	-4.26613
Asia/Tokyo	2022-01-22	144.09638	good	JP	43.82634
Africa/Algiers	2021-10-06	2.31889	maintenance	DZ	35.21222
Europe/Paris	2015-09-13	3.87723	building	FR	43.61092
Australia/Sydney	2022-01-25	151.07986	excellent	AU	-33.88096
America/Phoenix	18 Mar 2019	-111.78903	average	US	33.35283
Europe/Belgrade	2021/11/07	19.61222	maintenance	RS	44.97639
Europe/Moscow	03/28/2020, 00:00:00	36.73307	average	RU	55.38752
Africa/Lagos	2019/07/18	4.74161	good	NG	7.62789
Europe/Kiev	2020/04/01	33.9162	accep	UA	51.67822
Europe/Stockholm	2020/10/29	17.10558	accep	SE	61.72744
Europe/London	01/30/2016, 00:00:00	-2.12139	average	GB	52.48173
Europe/Rome	27 Jan 2022	8.88104	accep	IT	45.79377
America/Los_Angeles	04/24/2022, 00:00:00	-120.43572	average	US	34.95303
Africa/Nairobi	27 Feb 2019	36.36339	excellent	KE	0.03813
Asia/Kolkata	24 Aug 2016	75.37991	accep	IN	25.75728
Asia/Kolkata	2019-08-06	75.92694	building	IN	14.46693
Europe/Paris	2014/12/10	2.29026	accep	FR	48.77644
Europe/Rome	25 Oct 2021	15.00913	average	IT	37.51803
Asia/Tokyo	2014/06/19	138.89585	good	JP	36.33011
Asia/Shanghai	07/28/2013, 00:00:00	109.22921	accep	CN	34.65918
Asia/Shanghai	2020-01-19	123.50266	average	CN	41.94175
Europe/Skopje	19 Jun 2018	21.32778	excellent	MK	42
Asia/Tokyo	02 Jun 2016	136.13108	good	JP	34.75856
Asia/Kuala_Lumpur	2015/03/27	101.02083	average	MY	4.02219
America/Los_Angeles	02 Jul 2021	-117.70755	excellent	US	33.52253
Asia/Kolkata	2012-11-21	74.3092	excellent	IN	33.37526
Asia/Kuching	10 Aug 2020	116.10146	maintenance	MY	5.90702
Asia/Taipei	2015/12/08	119.58627	accep	TW	23.5654
Africa/Lagos	2014/06/21	3.39467	accep	NG	6.45407
America/Managua	12/22/2017, 00:00:00	-86.58208	excellent	NI	13.48082
America/Chicago	2016-06-17	-97.54667	maintenance	US	30.5427
Europe/Rome	29 Feb 2016	12.6723	maintenance	IT	41.72063
Africa/Cairo	04/27/2015, 00:00:00	31.4976	good	EG	26.67319
America/Chicago	21 Nov 2020	-87.88754	excellent	US	41.15376
Asia/Kolkata	2017/08/08	77.70636	excellent	IN	28.98002
America/Port_of_Spain	2013-12-26	-61.51889	excellent	TT	10.66668
Europe/Istanbul	2015-02-06	27.18052	building	TR	39.12074
America/Sao_Paulo	04 Jun 2015	-47.53028	building	BR	-22.45667
America/El_Salvador	06/07/2019, 00:00:00	-89.71472	accep	SV	13.73417
America/New_York	06 Feb 2016	-72.97261	good	US	43.61062
Europe/Rome	11 Jan 2016	14.34085	accep	IT	40.87363
America/Recife	30 Nov 2019	-34.88111	accep	BR	-8.05389
Europe/Rome	06 Jun 2020	12.38878	excellent	IT	43.1122
Africa/Bangui	2017/01/12	15.87735	maintenance	CF	4.94273
Asia/Kolkata	2014-07-01	74.83554	excellent	IN	14.62072
Asia/Kolkata	2022/06/07	79.82979	good	IN	11.93381
Africa/Dar_es_Salaam	15 Nov 2015	29.65806	accep	TZ	-4.83
Europe/Moscow	19 Dec 2017	37.38115	good	RU	55.63711
Europe/Paris	2015/01/18	2.12213	accep	FR	48.8222
America/Chicago	29 Dec 2018	-97.54667	accep	US	30.5427
America/Mexico_City	18 May 2016	-93.11308	accep	MX	16.75973
America/New_York	2020-11-29	-74.13653	excellent	US	40.63316
America/Chicago	05 Jun 2016	-97.92977	accep	US	38.06084
Asia/Tokyo	09/13/2017, 00:00:00	135.6	maitennce	JP	34.61667
Asia/Kolkata	10/14/2012, 00:00:00	75.37991	average	IN	25.75728
America/Chicago	08 Aug 2020	-88.70464	maintenance	US	34.25807
Europe/Madrid	2017/04/05	-4.10734	accep	ES	38.68712
Indian/Reunion	06/10/2021, 00:00:00	55.4504	average	RE	-20.88231
Europe/London	2021-11-03	-0.74934	accep	GB	51.62907
America/Bogota	2014/05/06	-77.03116	good	CO	3.8801
America/Sao_Paulo	09/29/2014, 00:00:00	-42.98194	accep	BR	-22.53722
Africa/Nairobi	2019/09/01	36.36339	building	KE	0.03813
Asia/Kolkata	13 Nov 2016	84.63445	excellent	IN	24.81757
Africa/Lagos	29 Sep 2016	4.74161	excellent	NG	7.62789
Asia/Shanghai	2014-02-04	120.74792	good	CN	41.09822
America/Chicago	2015-10-20	-91.73625	maitennce	US	35.25064
America/Chicago	19 May 2016	-87.88754	average	US	41.15376
America/Sao_Paulo	2021/05/15	-48.67028	excellent	BR	-28.24
Europe/Moscow	2018-08-19	30.28491	accep	RU	60.02427
America/Fortaleza	05/31/2020, 00:00:00	-41.45861	average	BR	-4.42472
Europe/Rome	2015-07-15	8.55552	accep	IT	40.72586
America/Los_Angeles	2022/07/04	-117.54866	excellent	US	33.93113
Africa/Abidjan	2020-12-21	-5.682	excellent	CI	5.84752
Asia/Bangkok	12/13/2019, 00:00:00	99.95469	average	TH	13.51825
Africa/Kampala	2019/07/08	32.88667	average	UG	3.27833
Asia/Tokyo	29 Dec 2012	136.51667	average	JP	35
America/Vancouver	09/29/2014, 00:00:00	-119.27337	excellent	CA	50.26729
Asia/Novokuznetsk	06/20/2015, 00:00:00	85.4265	good	RU	55.8736
America/Sao_Paulo	19 Nov 2015	-47.1725	average	BR	-22.57306
Asia/Kolkata	03/08/2021, 00:00:00	79.5286	accep	IN	29.22254
Asia/Tehran	2012-11-17	47.3799	good	IR	33.14447
America/Phoenix	06/26/2022, 00:00:00	-111.78903	good	US	33.35283
Asia/Kolkata	2015-04-29	78.95693	accep	IN	29.21399
Asia/Shanghai	05/27/2021, 00:00:00	113.13148	good	CN	23.02677
America/Sao_Paulo	14 Aug 2017	-42.98194	maintenance	BR	-22.53722
Asia/Bangkok	2017-06-15	101.18445	average	TH	13.44581
Europe/Tallinn	2020-08-12	28.19028	accep	EE	59.37722
Europe/Paris	10/07/2017, 00:00:00	4.86667	excellent	FR	45.51667
America/Chicago	2015/04/19	-91.77127	excellent	US	37.95143
Asia/Kolkata	2019/08/23	78.95693	accep	IN	29.21399
Africa/Niamey	01/16/2017, 00:00:00	9.15013	excellent	NE	13.70727
America/Belem	05/28/2013, 00:00:00	-48.52333	excellent	BR	-0.71667
Asia/Kolkata	2013-03-08	78.14797	good	IN	15.45144
Pacific/Auckland	05 Sep 2016	171.25364	maintenance	NZ	-44.39672
Asia/Kolkata	10/12/2019, 00:00:00	73.85535	maintenance	IN	18.51957
America/Los_Angeles	2014/10/07	-122.24064	good	US	47.80527
America/Mexico_City	2013-10-11	-103.5687	good	MX	20.22816
Asia/Kolkata	04/21/2014, 00:00:00	79.41727	excellent	IN	12.25282
Asia/Jakarta	2018/04/22	109.3243	acceptable	ID	-7.0981
Asia/Tokyo	2015/03/13	139.6853	average	JP	35.815
America/Chicago	2021/12/25	-87.70172	average	US	41.72059
Europe/Paris	10 Jul 2016	2.12213	good	FR	48.8222
America/Mexico_City	2016-10-23	-98.1664	average	MX	19.32932
Asia/Kolkata	05/20/2019, 00:00:00	84.63445	average	IN	24.81757
Europe/Rome	2015-02-09	11.04979	maintenance	IT	44.59445
America/Argentina/Cordoba	27 Mar 2016	-61.4867	building	AR	-31.25033
Australia/Brisbane	2016/08/20	152.70493	average	AU	-25.54073
Asia/Karachi	02/27/2020, 00:00:00	75.06583	good	PK	32.17629
America/Chicago	2018/10/14	-89.64066	good	US	40.56754
Africa/Lagos	2016/10/11	4.92235	maintenance	NG	7.65649
America/Lima	2012-10-25	-69.08333	accep	PE	-16.25
America/New_York	2016/09/28	-81.77285	accep	US	28.54944
Europe/Zagreb	2019/02/22	16.43915	accep	HR	43.50891
Asia/Vladivostok	08 Feb 2018	133.42825	excellent	RU	45.47885
America/Maceio	2018-03-31	-37.03861	accep	BR	-10.90889
Asia/Irkutsk	2021/11/05	107.60627	building	RU	51.82721
America/New_York	2019/03/26	-77.96389	average	US	39.45621
America/New_York	2021/03/10	-73.78458	maintenance	US	41.0051
America/Menominee	02/02/2017, 00:00:00	-88.64235	accep	US	46.09273
Europe/London	2017-11-18	-5.53715	excellent	GB	50.11861
Europe/Berlin	12/04/2019, 00:00:00	9.5926	average	DE	52.86147
Asia/Vladivostok	2021-07-24	140.72287	good	RU	53.14657
Australia/Melbourne	2015-02-17	145.13643	accep	AU	-38.16604
America/Los_Angeles	2022/05/19	-119.0376	good	US	34.21639
Europe/Minsk	2017-07-04	31.3237	excellent	BY	52.4089
America/Costa_Rica	15 Mar 2021	-85.43772	excellent	CR	10.63504
America/Maceio	2018/05/30	-37.65	good	BR	-10.91722
America/El_Salvador	09/04/2018, 00:00:00	-89.71472	accep	SV	13.73417
Europe/Lisbon	2015/11/19	-7.32097	excellent	PT	41.1053
Europe/Paris	2013-12-09	4.63031	good	FR	43.67681
America/Sao_Paulo	2014/10/27	-49.27306	maintenance	BR	-25.42778
America/New_York	2014-05-07	-76.43941	average	US	39.33427
Europe/Skopje	2013/05/02	20.91361	excellent	MK	41.92361
Africa/Dar_es_Salaam	2013-11-07	38.01667	average	TZ	-5.41667
America/New_York	04 May 2018	-76.72803	good	US	39.32288
America/Santiago	31 Mar 2019	-70.6996	good	CL	-33.59217
Africa/Lagos	11 Oct 2015	4.92235	good	NG	7.65649
Europe/Rome	02/15/2021, 00:00:00	17.58522	accep	IT	40.53123
Europe/Rome	2014-04-07	15.07041	average	IT	37.49223
Asia/Bangkok	2019/06/17	102.42587	accep	TH	15.58552
Africa/Casablanca	22 Nov 2015	-2.16	maintenance	MA	34.31
Africa/Porto-Novo	2020/12/16	2.59753	maintenance	BJ	8.88649
Pacific/Port_Moresby	12/25/2021, 00:00:00	144.23058	building	PG	-5.85746
Europe/Moscow	2020/12/09	32.86389	excellent	RU	53.95278
Asia/Kolkata	2013/10/28	88.18466	average	IN	22.19303
Asia/Shanghai	2021-08-03	120.74221	excellent	CN	31.64615
Europe/London	2015-01-15	-2.1875	good	GB	51.26
Europe/Moscow	19 Nov 2015	37.99117	excellent	RU	44.92934
America/Bogota	17 May 2013	-77.03116	accep	CO	3.8801
Europe/Berlin	2019-02-21	10.18527	accep	DE	47.98372
Europe/London	2017-07-05	-4.0573	good	GB	55.82737
Africa/Gaborone	20 Feb 2022	27.46153	good	BW	-21.44236
Asia/Bangkok	2020/09/06	103.65309	building	TH	16.0567
Indian/Antananarivo	04/18/2013, 00:00:00	44.53333	average	MG	-22.9
Europe/Berlin	25 Jan 2018	8.96317	good	DE	48.35149
America/Sao_Paulo	2017-08-03	-50.00639	accep	BR	-25.42944
America/Santiago	2020-07-02	-73.02841	excellent	CL	-36.9256
America/Panama	02/12/2013, 00:00:00	-79.62603	accep	PA	8.88988
America/Chicago	2017-01-24	-87.45476	good	US	41.47892
Africa/Dar_es_Salaam	04 Mar 2016	39.25	good	TZ	-6.8
America/Los_Angeles	05/28/2014, 00:00:00	-116.97725	accep	US	33.92946
Europe/Amsterdam	10/13/2014, 00:00:00	5.74861	excellent	NL	52.71083
Europe/London	05/14/2013, 00:00:00	-1.29772	average	GB	50.76306
America/New_York	2019/08/10	-84.20299	excellent	US	39.43534
America/Bogota	11 Jan 2016	-73.9614	excellent	CO	10.15031
Africa/Abidjan	2021/01/30	-3.59625	average	CI	5.27247
America/Lima	12/25/2018, 00:00:00	-76.70944	excellent	PE	-11.94306
Europe/Amsterdam	06/17/2022, 00:00:00	5.22778	good	NL	51.955
America/Cuiaba	05/29/2018, 00:00:00	-52.35558	average	BR	-14.66463
Europe/Samara	2014-11-21	51.3452	good	RU	53.37596
Europe/Rome	2014/11/08	13.57661	excellent	IT	37.31065
Africa/Addis_Ababa	07 Apr 2013	37.55	maintenance	ET	6.03333
Europe/Berlin	27 Feb 2014	10.03988	good	DE	53.6052
America/Chicago	30 Dec 2012	-95.30106	accep	US	32.35126
Europe/Paris	2014/11/25	5.4584	excellent	FR	43.32393
Africa/Johannesburg	2019/04/07	29.00974	average	ZA	-24.19436
Africa/Dar_es_Salaam	28 Oct 2018	33	average	TZ	-2.68333
Europe/Amsterdam	2022-01-26	7.00417	maitennce	NL	52.26083
Africa/Banjul	2018/06/16	-15.6	average	GM	13.56667
Africa/Banjul	11/18/2020, 00:00:00	-15.6	building	GM	13.56667
America/Cuiaba	2013/06/18	-52.35558	good	BR	-14.66463
Europe/London	2020/10/14	-1.29772	average	GB	50.76306
Asia/Jakarta	08/28/2021, 00:00:00	101.44167	accep	ID	0.51667
America/Caracas	04 Oct 2012	-62.64102	good	VE	8.35122
Africa/Conakry	08/05/2020, 00:00:00	-13.68778	average	GN	9.535
Asia/Tokyo	2015/02/11	144.09638	maintenance	JP	43.82634
Europe/Madrid	10/06/2014, 00:00:00	-8.2194	average	ES	43.48961
Europe/Kiev	2018/09/16	29.41824	accep	UA	45.99194
Asia/Jakarta	2012-10-26	106.92667	excellent	ID	-6.91806
Asia/Tokyo	04/28/2022, 00:00:00	139.6853	excellent	JP	35.815
Africa/Monrovia	04 Jul 2018	-8.53778	good	LR	7.57944
America/Santarem	2018/11/22	-52.20639	maintenance	BR	-3.20333
Africa/Dar_es_Salaam	2016/11/02	37.00438	good	TZ	-7.60361
Asia/Bangkok	14 Mar 2018	100.48528	good	TH	14.37395
Europe/Sofia	11/05/2013, 00:00:00	24.71204	good	BG	41.57439
Asia/Kolkata	05/22/2021, 00:00:00	91.00632	average	IN	26.32293
