PAHs	latitude	PM2.5	SO2	CO	CH4	CFCs	PRES	PM10	C2H3NO5	O3	NOx	TEMP	warning	longitude	Pb	NH3	H2CO
7.49667	-4.83	7.29933	7.05030	7.50123	7.19124	73.59618	1074.89057	10.49354	2.82902	8.47598	6.30723	12.77795	1.00000	29.65806	45.71130	10.34034	56.44395
8.48957	36.76775	7.07496	6.56831	8.93063	5.52446	74.36775	1107.46630	5.96805	0.19510	9.08915	8.90035	20.77273	1.00000	2.95924	48.56967	8.18663	64.62060
6.89682	42.16808	5.89224	7.42809	7.94620	5.77904	75.01926	1143.07393	5.77065	0.19170	5.85101	7.80595	8.05026	0.00000	-88.42814	51.04716	9.14027	30.29057
10.43584	40.82232	5.87879	6.05283	7.57070	5.44111	60.07111	1070.36960	7.17385	0.15305	7.54626	9.40599	8.87988	0.00000	-74.15987	66.64738	8.98180	55.65718
8.46076	47.46657	8.05066	6.01229	7.87436	4.40305	68.88545	1147.19242	7.27052	0.20435	4.85399	7.46708	27.59732	1.00000	84.87144	60.06855	10.12472	57.69376
6.44149	-6.48167	5.70958	7.34500	7.88365	7.49212	61.70818	1194.54007	6.42705	0.11089	4.95423	7.88957	18.82751	0.00000	106.85417	27.72581	8.40558	50.35434
8.20529	36	4.12250	8.15507	7.66950	10.10593	67.21171	1084.48679	2.72333	0.11714	5.42767	5.64535	-7.37999	1.00000	139.55722	62.73995	7.76389	60.61405
6.91948	49.97704	8.17186	8.32906	7.72438	5.07903	79.26760	1087.70172	8.38075	0.45331	5.61977	10.38556	0.07511	1.00000	9.15214	36.06564	5.31404	63.28612
7.32663	43.83125	7.49252		7.57093	4.90069	88.56987	1113.54686	5.24919	0.13907	7.97756	9.66443	2.92676	1.00000	5.03586	49.11288	7.30626	66.45068
8.09179	2.2139	6.47533	5.81745	8.97134	9.32589	72.49430	1082.73771	4.87150	0.11454	7.99072	7.87965	17.13706	1.00000	102.3278	43.91701	5.01029	60.84059
5.19206	10.7375	6.16061	8.74614	8.19447	6.07204	64.37439	1060.90158	5.77211	0.15912	4.78763	7.95540	6.44523	0.00000	122.9666	54.06120	11.57375	67.30479
8.71768	33.44872	6.29539	8.60037	8.69618	5.82944	69.54066	1123.83668	5.75817	0.12269	5.13650	8.63007	15.80577	0.00000	-86.78777	55.25612	6.62687	51.54855
5.90853	-21.205	5.99521	9.29848	7.71377	6.14346	62.54126	1104.26529	7.21445	0.19177	7.20981	9.99984	8.34649	0.00000	-41.88778	62.08850	8.08296	34.41402
7.08465	12.35275	9.04060	7.82837	5.89569	6.35183	66.77497	1136.74814	7.08492	0.21648	6.80162	8.85373	5.59239	1.00000	121.06761	39.13916	8.73735	62.50291
7.68344	36.27462	4.98654	6.62962	7.33569	8.24867	68.97414	1070.10901	5.57186	0.09599	4.32779	8.67413	14.48167	1.00000	4.85668	53.91009	5.46848	66.70061
7.60420	23.15678	8.53060	7.19820	7.36943	7.64397	71.66748	1107.28825	8.91684	0.63093	8.45389	9.61598	6.72638	1.00000	-81.24441	60.15188	7.45612	71.52155
7.81914	46.32313	6.36906	6.75500	8.54928	7.52915	74.86555	1193.88353	7.85440	0.35337	5.77865	10.03185	13.37456	1.00000	-0.45877	64.25013	4.36379	57.21151
6.80333	41.09822	7.73776	6.98497	6.48723	4.04940	74.05903	1065.30463	7.56475	0.31058	5.13065	7.06300	15.76366	1.00000	120.74792	28.78200	8.76760	45.96312
8.31142	29.98869	5.54912	6.00960	7.10513	7.36286	80.23097	1070.69434	7.27646	0.24559	3.08076	9.76626	6.58953	1.00000	122.20488	55.76592	5.91984	51.57440
6.64916	29.53885	10.99291	8.38026	7.92467	7.27322	73.76068	1166.50805	8.69767	0.58289	9.16568	4.17010	22.70964	0.00000	-95.44744	55.22540	8.72854	35.59291
7.16046	16.75973	5.91737	7.54586	8.67167	7.92737	64.66010	1079.29179	7.11438	0.19432	5.12024	8.80499	1.43075	0.00000	-93.11308	74.30788	9.11264	69.12961
8.68593	-33.59217	8.13440	8.03170	6.18609	8.22116	58.43147	1080.93071	7.88525	0.36033	8.90907	10.40604	16.32651	1.00000	-70.6996	58.32213	6.16376	63.76325
7.39942	-36.9256	9.72386	5.99711	8.34833	4.68493	76.15763	1082.42290	10.05290	1.85400	7.65447	6.68636	8.91975	0.00000	-73.02841	42.28286	9.46001	51.75421
7.24612	41.24255	8.49602	7.88068	6.55413	5.28121	71.18243	1060.97409	8.40747	0.50099	5.10958	7.96390	40.73228	1.00000	-82.61573	67.48731	8.98513	56.17837
7.45837	11.85	5.24311	9.20489	8.10720	8.22108	62.60569	1115.59031	5.54900	0.13400	4.42120	7.18795	21.47166	0.00000	38.01667	59.75177	8.74613	57.92461
6.56968	42.58342	8.99329	8.93091	8.21363	7.11152	68.44259	1172.47645	7.52535	0.30293	8.38053	4.49117	3.47163	0.00000	-71.8023	53.11134	7.45115	48.35705
7.58310	43.32393	7.77437	5.45677	7.39451	3.66954	84.39848	1084.74300	9.89690	1.59646	6.25205	8.11456	5.44841	0.00000	5.4584	53.58348	7.07509	56.31896
7.52577	51.955	6.55522	7.23758	5.93476	8.81539	83.26026	1144.76720	5.29920	0.14314	5.20034	7.56644	17.56661	1.00000	5.22778	42.09593	6.92372	52.87290
6.68535	5.27247	6.40784	7.72683	6.69749	4.79613		1106.67813	3.80489	0.20038	5.30760	9.32907	18.94194	0.00000	-3.59625	45.93968	7.65188	39.87165
7.22487	42.8139	7.16105	7.86344	7.23098	8.30481	79.29566	1056.62182	7.33020	0.18660	7.95699	9.31020	17.42825	1.00000	-1.64295	60.74717	3.63288	47.51270
5.93645	13.70167	7.91407	6.26494	6.00097	5.13931	66.14346	1105.34444	10.10945	2.02942	6.20694	6.77160	18.77449	0.00000	-89.10944	68.22635	8.39905	64.52464
9.83837	54.84444	5.71176	7.94620	8.33844	8.24297	78.81076	1179.41190	6.24954	0.13319	4.73792	8.93083	19.42955	1.00000	38.16694	48.35820	7.05740	49.19147
7.08201	-7.57897	5.90812	7.59110	7.44177	4.11033	59.66575	1187.21312	5.00115	0.17081	6.96395	9.04251	6.86231	0.00000	112.23109	53.19908	5.88631	57.62737
5.45546	11.85	4.64672	7.22022	7.92815	9.50540	69.67295	1172.17757	5.43046	0.02648	6.02827	5.19021	-1.49337	1.00000	38.01667	80.04086	6.53399	86.63363
9.04822	-37.32167		6.57790	7.40020	8.89453	69.96049	1114.12683	5.04788	0.21306	5.53172	7.51037	11.50348	1.00000	-59.13316	60.31598	6.17699	52.94165
8.54954	51.955	7.80982	6.35054	5.69336	8.91927	70.70053	1143.24266	6.66875	0.16626	8.15938	8.38379	6.99620	1.00000	5.22778	44.39202	7.45035	54.87823
7.08230	17.54907	7.08296	7.76827	7.07902	7.45763	61.19719	1166.43581	8.15824	0.38250	6.28047	11.28089	9.14489	1.00000	82.85749	31.74919	6.87727	63.89985
5.87707	39.71734	11.14954	8.35744	6.53359	6.31820	62.61553	1165.15622	9.38994	1.02279	1.68824	8.70380	29.24297	1.00000	-74.96933	62.85500	10.93504	50.00403
8.16942	26.2173	9.74311	7.28281	7.71774	6.68130	75.55645	1145.09962	5.89819	0.18639	10.34171	4.83788	16.18230	0.00000	-80.22588	72.14402	9.90382	57.89612
6.82685	20.28527	4.56297	6.25489	8.81497	9.50792	69.96405	1106.82181	4.23410	0.13443	7.08644	7.41231	5.67001	1.00000	-103.42897	34.72184	4.86857	65.15230
6.61872	42.50729	5.81866	6.43898	7.48150	5.66443	62.69247	1123.75187	8.78430	0.62875	8.01320	8.76017	13.92287	0.00000	1.53414	33.24967	7.71901	75.26190
7.83963	4.02219	5.90660	7.34137	6.76033	3.00279	57.22471	1076.42691	3.22887	0.14762	6.84706	9.31465	9.20809	0.00000	101.02083	49.41073	3.91561	50.62486
5.91071	34.75856	8.70718	5.19940	7.23921	6.38728	69.93672	1143.65815	7.18946	0.23312	9.06168	5.77003	34.46802	0.00000	136.13108	62.99762	7.36120	42.04550
6.89680	42.64685	8.72097	7.79255	6.88173	4.38781	66.65839	1112.93436	8.31822	0.50011	3.68336	8.68921	13.23827	1.00000	-5.55835	68.65420	7.35824	64.12125
7.41958	-27.4338	8.41938	7.64004	8.02470	6.68886	77.23233	1129.05056	10.38616	2.57299	5.54771	6.36541	16.77781	1.00000	-65.61427	49.64783	12.39517	68.90074
7.80470	43.1009	6.89917	7.01157	7.87764	6.16663	67.51337	1105.21853	9.58031	1.24414	8.13514	5.81136	2.26819	1.00000	-75.23266	74.51346	10.27320	25.50669
8.53999	42.4251	5.93569	8.15417	5.89607	7.62757	75.24277	1140.38955	8.26801	0.42320	5.82931	9.49388	26.83073	1.00000	-71.06616	38.48981	5.54665	28.62666
6.08750	53.0233	7.83303	5.97817	6.24500	4.84836	75.85560	1124.42554	8.53476	0.44406	5.28077	7.99165	7.99783	1.00000	-1.48119	52.33037	8.75296	63.33799
7.57734	57.47908	6.06780	8.28543	6.69734	6.68520	81.49729	1166.19414	7.17561	0.25264	5.98557	8.31686	18.82177	0.00000	-4.22398	59.97520	9.37989	99.54094
8.01666	44.98901	9.15945		6.00258	5.90805	74.98437	1155.49351	6.79615	0.21667	6.50476	10.93213	3.39085	1.00000	38.94324	60.75915	5.44293	63.69397
5.67785	40.57788	9.17885	7.60211	6.38879	5.20208	63.40294	1101.04891	8.45633	0.52170	4.02344	9.41336	23.71552	1.00000	-73.95958	40.21700	7.60259	40.91405
6.90429	38.54491	6.48804	6.86180	5.54484	9.17296	77.93703	1115.17676	5.27960	0.13747	7.49287	7.70661	26.91204	1.00000	-121.74052	65.91004	4.91620	58.35018
6.89160	40.85158	8.91585	7.08748	7.48454	7.08440	66.19771	1076.00197	9.63519	1.33965	6.60441	9.31988	7.36899	1.00000	122.74754	63.35036	7.41345	28.82430
8.42696	30.76468	9.24431	7.10592	7.55359	5.11602	88.74592	1164.16652	10.47447	2.74344	2.84607	8.09782	26.75661	1.00000	74.12286	56.22401	7.33420	85.28524
7.54055	40.78206	9.60146	7.46251	8.56688	6.28865	75.24678	1072.06629	9.24448	0.98600	4.15061	8.93233	11.49031	1.00000	72.34424	54.68090	9.54126	20.82436
7.99853	10.10649	8.69873	5.18114	7.04148	6.31564	68.50382	1117.80791	9.14004	0.85243	5.93387	8.43249	18.53313	1.00000	76.35484	58.32284	8.59844	44.61607
8.43824	39.46667	9.96424	8.29364	7.21920	7.91980	69.82272	1095.49167	10.68327	3.46992	5.75737	9.80653	23.02115	1.00000	141.95	45.13153	7.28531	43.75398
6.65455	8.88649	6.84326	8.16569	7.05503	4.52733	75.49323	1061.59744	5.97874	0.15927	6.45156	9.12594	24.91841	0.00000	2.59753	58.40120	7.24129	55.04334
5.81438	43.61058	7.36035	6.68788	6.98113	7.14461	83.48675	1128.00463	10.02778	1.83141	9.68100	6.56104	17.06411	0.00000	1.33467	47.21388	10.44558	33.08259
7.53111	31.92923	5.44726	9.66001	4.99608	7.61407	73.22936	1193.44628	6.21442	0.12375	5.12404	7.51383	14.40117	0.00000	34.86563	56.48084	10.54339	59.48571
6.05613	4.94273	4.91737	7.91650	6.82634	8.08384	70.26663	1089.14874	7.05974	0.22304	6.81437	9.39778	10.86604	0.00000	15.87735	63.77075	2.65592	72.93918
8.25163	45.4473	7.92037	7.80794	6.27040	5.18899	60.93434	1095.90813	7.35986	0.32986	6.17281	7.84688	22.29996	1.00000	-73.75335		10.14238	61.53285
6.83654	40.53123	7.05206	8.47319	6.92560	6.44490	74.76342	1170.21571	9.95671	1.68465	8.63020	8.32716	6.95543	1.00000	17.58522	68.44449	6.09847	57.17829
6.96386	-1.9487	9.20129	8.18836	7.30102	5.42187	76.43086	1062.05543	7.51936	0.29968	5.18527	10.46577	22.50222	1.00000	30.4347	60.56450	5.93947	42.42518
6.22697	43.62558	9.20975	6.77666	7.95828	8.32561	69.16628	1085.45733	11.16427	5.49471	8.36565	5.36532	32.42851	0.00000	13.39954	72.45086	7.07369	35.78112
6.79681	38.40917	7.48343	8.72970	8.16492	8.76629	67.51360	1150.26095	6.38457	0.18403	7.79816	9.19301	7.25257	1.00000	112.73333	64.91974	6.10525	52.88550
6.23001	40.93333	5.70068	6.67890	7.98077	8.69566	77.66295	1130.89953	4.82923	0.10064	4.99417	8.99504	-1.10953	1.00000	73	57.35281	7.48748	66.77493
7.01742	-5.41667	5.91931	7.09542	5.82369	7.60785	65.98177	1146.40896	7.38542	0.25501	5.53500	10.82373	17.53818	1.00000	38.01667	46.91541	6.31311	39.69731
8.10142	30.35028	5.55982	8.34787	4.30825	5.25558	74.61386	1137.42039	6.36634	0.24040	8.07573	9.63798	14.55130	0.00000	112.19028	62.44420	6.49257	39.64443
6.60279	12.74409	8.28395	6.87133	8.52819	6.24913	83.73514	1139.09303	8.19230	0.46979	6.65355	7.87275	33.91896	1.00000	-8.07257	63.48312	10.38399	24.54925
7.88478	42.819	9.80781	7.09801	6.33758	8.22447	71.05825	1125.64724	8.44736	0.49971	7.39176	9.44685	22.90874	1.00000	47.1192	29.61488	9.59453	63.01439
6.17885	29.21399	7.58201	7.07363	7.57841	5.40861	75.88176	1151.79070	9.36694	1.07703	6.40079	7.38818	5.12310	1.00000	78.95693	72.42604	7.92381	44.93488
7.55184	41.66394	6.25460	6.21181	6.61062	3.51432	81.53269	1137.10772	5.42774	0.16540	7.36461	9.41534	10.47505	0.00000	-83.55521	38.90014	6.91716	33.75500
7.35668	-20.87306	7.43362	4.63914	7.40886	4.93154	76.66330	1122.96636	9.15836	0.84950	5.38649	6.04975	0.17571	1.00000	-48.29694	67.85826	11.07807	42.37409
7.47732	37.60876	6.00583	5.13413	6.86004	8.26765	71.96586	1073.27942	6.20040	0.15849	6.44435	9.42063	16.10496	1.00000	-77.37331	46.27024	4.28524	40.96345
7.62750	51.24197	5.55032	7.80168	6.93244	8.73405	58.53269	1084.14256	7.46787	0.29023	4.51988	7.23415	-0.77874	0.00000	4.82313	37.86723	7.48058	63.02179
5.81349	35.20889	3.45965	8.33091	8.37227	8.57327	65.74681	1130.55620	5.30985	0.12712	4.71586	7.56685	15.36747	1.00000	111.73861	22.50580	4.95370	61.39960
5.24131	53.81667	5.40622	7.62419	8.15299	5.06099	70.26924	1114.85845	6.82442	0.17058	8.15767	9.01078	13.08213	0.00000	-3.05	33.89898	6.32537	53.07851
6.66985	25.49043	5.59907	8.28980	8.55299	7.94546	72.12938	1077.83652	5.50056	0.18050	4.96367	10.93368	15.10745	1.00000	85.94001	36.53003	6.51682	65.60601
7.67227	35.95664	8.27158	6.70762	8.10752	7.39641	81.94243	1160.81788	7.47897	0.22897	8.46977	5.33465	9.75954	0.00000	36.7138	56.14735	8.57276	38.77294
7.13355	50.11861	5.09702	5.79238	6.93456	10.77474	77.62034	1095.75696	2.92229	0.17217	8.80365	4.74282	7.73405	1.00000	-5.53715	55.11366	5.56711	58.05023
7.51455	40.58654	6.52394	7.43173	6.89277	8.17892	78.18429	1150.90549	7.44215	0.25890	7.08557	9.14719	20.86610	1.00000	-122.39168	39.62083	4.38301	45.30717
8.75265	35.20889	8.00590	7.61204	7.45857	7.96421	74.96877	1084.62308	6.73037	0.19395	6.10981	10.36768	8.44707	1.00000	111.73861	31.48930	7.42054	49.61758
6.67693	3.02013	7.45048	7.15278	5.83121	2.26179	70.30295	1093.44363	7.42705	0.21095	6.23566	8.94455	-10.59279	0.00000	30.91105	37.61571	8.99310	33.83106
7.75978	48.21644	7.03852	7.22422	7.14972	8.94498	62.05651	1053.25081	5.68963	0.11558	8.35222	9.22804	29.87445	1.00000	9.02596	56.93487	4.59021	40.82553
7.28605	28.88162	6.18711	5.74810	5.68659	9.05031	81.11376	1155.35910	6.05408	0.17113	3.20336	7.78148	29.86788	0.00000	120.03308	55.88178	10.96426	56.68730
8.11873	42	10.12534	6.84084	6.67514	4.90802	66.65222	1161.62944	9.83418	1.52549	6.71142	4.69676	13.86481	0.00000	21.32778	65.89161	4.97228	66.57522
7.32910	53.93361	7.04880	7.23004	5.47526	8.42450	67.50334	1130.44692	5.32690	0.15397	5.37485	9.66782	17.42012	1.00000	37.92792	59.24675	7.56342	61.83082
