station	QoS	longitude	code	latitude	revision
Paoy Paet	maintenance	102.56365	KH	13.65805	2019-10-14
El Copey	accep	-73.9614	CO	10.15031	2014/04/01
San Jose	excellent	121.06761	PH	12.35275	2019-04-09
Barras	building	-42.29444	BR	-4.24444	03 Apr 2013
Lesozavodsk	good	133.42825	RU	45.47885	15 Dec 2020
Kediri	excellent	112.01667	ID	-7.81667	13 Oct 2017
Cabo	good	-35.03333	BR	-8.28333	2014/10/01
Lille	excellent	4.82313	BE	51.24197	2019-07-17
Danjiangkou	average	111.50861	CN	32.54278	04 Aug 2021
Qadirpur Ran	good	71.67164	PK	30.29184	05/16/2021, 00:00:00
Walsrode	average	9.5926	DE	52.86147	27 Jun 2022
Calangute	accep	73.7553	IN	15.5439	2014/06/26
Bhuban	average	85.83334	IN	20.88197	09 Oct 2020
Muskogee	average	-95.36969	US	35.74788	2014/12/07
Kherson	good	32.6178	UA	46.65581	11 Feb 2016
Sishui	accep	117.27583	CN	35.64889	2020/09/17
Fairview Heights	building	-89.99038	US	38.58894	2015/04/27
Larkana	excellent	68.21204	PK	27.55898	03/28/2017, 00:00:00
Chilibre	excellent	-79.62098	PA	9.15093	01 Dec 2016
Covington	building	-84.50855	US	39.08367	2022/09/06
Aykhal	average	111.4834	RU	65.93381	2015-05-17
Buenaventura	maintenance	-77.03116	CO	3.8801	03/25/2014, 00:00:00
Pilar	average	120.56528	PH	14.66	02/21/2018, 00:00:00
Izluchinsk	average	76.92421	RU	60.97944	2014/07/04
Robertsonpet	excellent	78.27539	IN	12.95629	2022-02-15
Onex	accep	6.10237	CH	46.18396	08/08/2018, 00:00:00
Cuenca	average	-79.00453	EC	-2.90055	2017/07/04
Stockbridge	good	-84.23381	US	33.54428	01/31/2015, 00:00:00
Buynaksk	good	47.1192	RU	42.819	04/13/2017, 00:00:00
Yingkou	good	122.22833	CN	40.66482	2015/12/03
Boli	accep	130.57211	CN	45.75279	09/11/2015, 00:00:00
San Lorenzo Acopilco	good	-99.32556	MX	19.32889	30 Oct 2016
Saraj	building	21.32778	MK	42	2021-03-07
Dahlem	good	13.28702	DE	52.4581	2012-10-25
Sa Dec	average	105.75635	VN	10.29085	2020/09/16
Narva	accep	28.19028	EE	59.37722	20 Aug 2019
Chichicastenango	maintenance	-91.11667	GT	14.93333	2016/07/01
Lexington	good	-81.23621	US	33.98154	2020/10/09
Elamanchili	building	82.85749	IN	17.54907	26 Aug 2018
Arbroath	good	-2.58736	GB	56.56317	12/07/2014, 00:00:00
Penzance	excellent	-5.53715	GB	50.11861	12/15/2018, 00:00:00
Novosilikatnyy	excellent	83.62389	RU	53.30972	2021/09/12
Scotch Plains	good	-74.38987	US	40.65538	2022/05/09
Boston	good	-71.05977	US	42.35843	2015-12-22
Pamiers	building	1.6	FR	43.11667	28 Apr 2019
Davis	excellent	-121.74052	US	38.54491	2020-04-04
Malaut	maintenance	74.4818	IN	30.21121	2019-11-08
Tandil	average	-59.13316	AR	-37.32167	21 Jun 2018
Shepetivka	building	27.06365	UA	50.18545	12/22/2021, 00:00:00
Pucheng	accep	118.53333	CN	27.92333	2018/06/07
Daud Khel	excellent	71.57118	PK	32.87533	2021-08-28
Rudolstadt	good	11.34046	DE	50.72043	11/02/2017, 00:00:00
Jerada	excellent	-2.16	MA	34.31	2017-05-21
Novogrudok	maintenance	25.8191	BY	53.5942	2016-11-23
Shinshiro	excellent	137.5	JP	34.9	24 Mar 2021
Jocotepec	good	-103.42897	MX	20.28527	2017-10-05
Carnot	good	15.87735	CF	4.94273	2015-01-18
Pilar	maintenance	120.56528	PH	14.66	2013/11/12
Ventimiglia	accep	7.60872	IT	43.78956	2015-07-20
'Ali Sabieh	excellent	42.7125	DJ	11.15583	2018-08-26
Amreli	good	71.21169	IN	21.59983	17 Mar 2022
Naga	good	123.758	PH	10.20898	2017-08-01
Deoli	average	75.37991	IN	25.75728	2022/06/15
Novelda	accep	-0.76773	ES	38.38479	06/28/2014, 00:00:00
Balikpapan	maintenance	116.82887	ID	-1.26753	2014/12/11
Fazilpur	maintenance	75.06583	PK	32.17629	16 Apr 2018
Krymsk	excellent	37.99117	RU	44.92934	02 Dec 2014
Bad Honnef	excellent	7.2278	DE	50.64336	2014-01-15
Southsea	accep	-1.08593	GB	50.79205	29 Mar 2018
Scarsdale	excellent	-73.78458	US	41.0051	04/24/2020, 00:00:00
Chharra	excellent	78.40102	IN	27.9247	05/01/2017, 00:00:00
Hudiksvall	accep	17.10558	SE	61.72744	31 Jan 2019
Lakota	building	-5.682	CI	5.84752	07 May 2017
Itaperuna	average	-41.88778	BR	-21.205	11/24/2012, 00:00:00
Fayetteville	good	-78.87836	US	35.05266	2016-09-25
Annaka	average	138.89585	JP	36.33011	2017-07-31
Greenville	maintenance	-91.06177	US	33.41012	15 Feb 2022
Canavieiras	good	-38.94722	BR	-15.675	08/06/2018, 00:00:00
Nyangao	accep	39.28333	TZ	-10.33333	2020-02-15
San Jose	maintenance	121.06761	PH	12.35275	2017/12/25
Rutland	average	-72.97261	US	43.61062	22 Jun 2022
Carnot	good	15.87735	CF	4.94273	2020-12-25
Sun City Center	excellent	-82.35176	US	27.71809	2016/11/05
Pahrump	good	-115.98391	US	36.20829	04/28/2019, 00:00:00
Pameungpeuk	average	107.60389	ID	-7.01833	02/03/2018, 00:00:00
Mouscron	average	3.20639	BE	50.74497	05 Apr 2013
Ikalamavony	maintenance	46.58333	MG	-21.15	09 Apr 2014
Imbituba	good	-48.67028	BR	-28.24	2015-05-19
Tchaourou	excellent	2.59753	BJ	8.88649	2012-11-18
Lymington	excellent	-1.5443	GB	50.75767	2018-10-20
Haldwani	average	79.5286	IN	29.22254	2015/07/21
Troutdale	good	-122.38731	US	45.53929	04 Jan 2022
Aschaffenburg	excellent	9.15214	DE	49.97704	2014/08/02
Kashira	accep	38.16694	RU	54.84444	2021/05/18
Toledo	accep	-83.55521	US	41.66394	2012/09/29
Cheraga	building	2.95924	DZ	36.76775	28 Oct 2017
Malden	building	-71.06616	US	42.4251	09/09/2015, 00:00:00
Svatove	accep	38.15035	UA	49.41029	2017-07-20
Pandua	good	88.28637	IN	23.07492	2022/03/24
Same	building	37.73333	TZ	-4.06667	12 Jul 2015
Bothell West	accep	-122.24064	US	47.80527	2017/03/11
Ilopango	excellent	-89.10944	SV	13.70167	18 Mar 2020
Valinhos	average	-46.99583	BR	-22.97056	2018-10-11
Villaquilambre	good	-5.55835	ES	42.64685	07/01/2020, 00:00:00
Belper	average	-1.48119	GB	53.0233	28 Nov 2021
Rahat	accep	34.75699	IL	31.39547	2020-07-23
Cibinong	good	106.85417	ID	-6.48167	06/24/2013, 00:00:00
Malaut	good	74.4818	IN	30.21121	07 Nov 2020
Rosedale	average	-76.51552	US	39.32011	2021-02-12
Acayucan	excellent	-94.91386	MX	17.94979	2017/12/12
Kismayo	good	42.54536	SO	-0.35817	2019-10-19
Albstadt	accep	9.02596	DE	48.21644	2019-03-03
Gero	excellent	137.23333	JP	35.8	20 Jan 2020
Oulmes	average	-6.00137	MA	33.42585	04 Sep 2013
Lompoc	good	-120.45794	US	34.63915	30 Sep 2018
Paidha	accep	30.98551	UG	2.41669	2016/05/24
Esmeraldas	good	-44.31389	BR	-19.7625	2015-03-14
Walton-on-the-Naze	average	1.26738	GB	51.84819	2015/05/20
Olupona	average	4.18333	NG	7.6	2019-02-04
Jinotepe	good	-86.19903	NI	11.84962	2013-05-24
Smolyan	excellent	24.71204	BG	41.57439	11/29/2018, 00:00:00
Middle River	good	-76.43941	US	39.33427	2012/12/10
Mwandiga	building	29.65806	TZ	-4.83	2018/04/17
Bijeljina	accep	19.21437	BA	44.75874	2021-02-16
Lower Earley	average	-0.91979	GB	51.42708	2018-05-16
Curitiba	good	-49.27306	BR	-25.42778	05/15/2016, 00:00:00
Teluk Intan	accep	101.02083	MY	4.02219	2020-09-15
Aguilares	average	-65.61427	AR	-27.4338	28 Dec 2016
Gorakhpur	accep	83.36889	IN	26.76628	18 Jan 2014
Strood	building	0.47713	GB	51.39323	2017-09-01
Hutchinson	average	-97.92977	US	38.06084	03/21/2014, 00:00:00
Greenfield	average	-85.76942	US	39.78504	2016-12-26
Serinhisar	good	29.26639	TR	37.58105	08/25/2018, 00:00:00
Madrid	average	-74.26419	CO	4.73245	20 May 2015
La Trinidad	average	120.5875	PH	16.455	2016-06-26
Varadero	average	-81.24441	CU	23.15678	2015-03-15
San Juan	accep	-98.15529	US	26.18924	2017/11/08
Naga	excellent	123.758	PH	10.20898	2021/04/07
Halstenbek	average	9.85	DE	53.63333	06/20/2016, 00:00:00
Thap Than	accep	99.89166	TH	15.46063	20 Aug 2014
Agrigento	accep	13.57661	IT	37.31065	2021/11/13
Sirsi	good	74.83554	IN	14.62072	19 Jan 2013
Copperas Cove	excellent	-97.90308	US	31.12406	2021/04/15
Bibiani	excellent	-2.31938	GH	6.46346	2020/09/22
Glogovac	building	20.89389	XK	42.62833	2013-06-01
Harstad	excellent	16.54165	NO	68.79833	06/03/2018, 00:00:00
Camarillo	average	-119.0376	US	34.21639	07 Nov 2020
Ilopango	average	-89.10944	SV	13.70167	2013/08/28
Rangia	average	91.61356	IN	26.44931	2022/03/01
Mokopane	maintenance	29.00974	ZA	-24.19436	2020/06/25
Gorgonzola	average	9.40531	IT	45.53069	2015/01/19
Troutdale	maintenance	-122.38731	US	45.53929	11/07/2014, 00:00:00
Damnoen Saduak	accep	99.95469	TH	13.51825	2019-09-27
Hueytown	accep	-86.99666	US	33.45122	05/27/2016, 00:00:00
Masbate	accep	123.62494	PH	12.37169	15 Jun 2017
Patnos	average	42.85693	TR	39.22493	2014-09-19
Jalal-Abad	average	73	KG	40.93333	10/13/2017, 00:00:00
San Juan de Aznalfarache	accep	-6.03731	ES	37.35813	2017/01/09
East Dereham	good	0.93333	GB	52.68333	04/20/2015, 00:00:00
La Victoria	building	-67.33122	VE	10.22677	20 Jul 2022
Hardenberg	average	6.61944	NL	52.57583	2014-04-23
East Dereham	average	0.93333	GB	52.68333	05 Jan 2021
Diwek	accep	112.23109	ID	-7.57897	2022/05/21
Parkent	maitennce	69.67639	UZ	41.29444	24 May 2013
Polohy	accep	36.25361	UA	47.48444	2015/12/01
Dawei	average	98.19151	MM	14.0823	2013/10/16
Sishui	excellent	117.27583	CN	35.64889	17 Nov 2014
Gua Musang	building	101.96857	MY	4.88441	17 Feb 2013
Huntley	building	-88.42814	US	42.16808	2016-01-27
Selby	good	-1.06667	GB	53.78333	2015/09/12
Campobasso	excellent	14.66737	IT	41.55947	01/27/2017, 00:00:00
Nampa	average	-116.56346	US	43.54072	12 Aug 2019
Isfahan	excellent	51.67462	IR	32.65246	24 Apr 2021
Fayetteville	accep	-78.87836	US	35.05266	2022/09/06
Maxixe	average	35.34722	MZ	-23.85972	19 Dec 2012
Nutley	excellent	-74.15987	US	40.82232	25 Jun 2017
Jagna	accep	124.3697	PH	9.6531	2022/08/03
Encinitas	accep	-117.29198	US	33.03699	2018-02-12
Elbeuf	excellent	1.00288	FR	49.28669	2016/10/02
Andes	accep	-75.87877	CO	5.6561	01 Jan 2016
Sicklerville	building	-74.96933	US	39.71734	02/08/2018, 00:00:00
Pottstown	good	-75.64963	US	40.24537	2021-11-20
Malaut	excellent	74.4818	IN	30.21121	11/02/2016, 00:00:00
Acayucan	accep	-94.91386	MX	17.94979	2018-11-02
Guanajuato	maintenance	-101.2591	MX	21.01858	09 Apr 2022
Nowshahr	accep	51.49621	IR	36.64852	2019/12/19
Vestavia Hills	excellent	-86.78777	US	33.44872	06/05/2017, 00:00:00
Barnet	good	-0.2	GB	51.65	09 Jan 2017
Karbala	building	44.02488	IQ	32.61603	01 Sep 2021
Hlukhiv	accep	33.9162	UA	51.67822	2015/04/02
Mwandiga	good	29.65806	TZ	-4.83	04 Aug 2019
Kampung Ayer Molek	good	102.3278	MY	2.2139	2018/02/15
Antipolo	good	121.12251	PH	14.62578	2016/09/01
Donggongon	average	116.10146	MY	5.90702	2020/02/06
Baulkham Hills	accep	150.99292	AU	-33.75881	2015-05-20
Culemborg	excellent	5.22778	NL	51.955	02 May 2014
Alfenas	building	-45.94722	BR	-21.42917	03/19/2017, 00:00:00
Sirsi	good	74.83554	IN	14.62072	25 Aug 2014
Patti	accep	74.85849	IN	31.28092	07 Oct 2021
Keizer	average	-123.02621	US	44.99012	2021/08/17
Francavilla Fontana	maintenance	17.58522	IT	40.53123	01/05/2015, 00:00:00
Kent	average	-122.23484	US	47.38093	2019/06/02
Gorakhpur	average	83.36889	IN	26.76628	08/20/2015, 00:00:00
Barra dos Coqueiros	average	-37.03861	BR	-10.90889	10/02/2021, 00:00:00
Itabirito	excellent	-43.80139	BR	-20.25333	2021-02-26
Ataq	good	46.83187	YE	14.53767	2021-11-20
Rutland	accep	-72.97261	US	43.61062	2014/04/14
Iringa	average	35.7	TZ	-7.76667	2018-07-01
Kanganpur	excellent	74.12286	PK	30.76468	2015-09-04
Rosemount	accep	-93.12577	US	44.73941	2019/01/21
Kirchlengern	excellent	8.63333	DE	52.2	2013/04/16
Bron	good	4.91667	FR	45.73333	2017-03-03
Meerut	maintenance	77.70636	IN	28.98002	11/21/2012, 00:00:00
Blackpool	excellent	-3.05	GB	53.81667	17 Aug 2016
Tarakan	average	117.59152	ID	3.31332	15 Dec 2015
Perugia	average	12.38878	IT	43.1122	04/26/2018, 00:00:00
Roi Et	maintenance	103.65309	TH	16.0567	2018-12-11
Pleasant Prairie	average	-87.93341	US	42.55308	2012/12/19
Mira Mesa	building	-117.14392	US	32.9156	2015/06/20
Lille	average	4.82313	BE	51.24197	07/05/2022, 00:00:00
Saint-Genis-Laval	accep	4.7934	FR	45.69558	05 Feb 2015
Novopavlovsk	excellent	43.63417	RU	43.96222	2015/07/22
Cuenca	building	-79.00453	EC	-2.90055	2013-09-06
Quimper	accep	-4.1	FR	48	2018-12-26
Crystal Lake	good	-88.3162	US	42.24113	2016-01-27
Kahului	average	-156.47432	US	20.88953	19 Jul 2021
Binnish	accep	36.7138	SY	35.95664	09/11/2020, 00:00:00
Yao	accep	135.6	JP	34.61667	12/12/2018, 00:00:00
Likhobory	average	37.56667	RU	55.85	04/01/2022, 00:00:00
Nampa	average	-116.56346	US	43.54072	2018-09-26
Oschatz	good	13.10984	DE	51.30001	2014/08/27
Bron	average	4.91667	FR	45.73333	02 Jun 2019
Bua Yai	good	102.42587	TH	15.58552	2018-12-30
Brenham	average	-96.39774	US	30.16688	2013-10-22
Zhoucun	average	117.81667	CN	36.81667	2022-02-10
Fitchburg	good	-71.8023	US	42.58342	07/19/2019, 00:00:00
Mokopane	maintenance	29.00974	ZA	-24.19436	06/16/2017, 00:00:00
Ataq	good	46.83187	YE	14.53767	2017-01-13
Shuangcheng	good	126.28333	CN	45.35	2019-03-02
Ajdabiya	accep	20.22625	LY	30.75545	2021-04-10
La Ligua	accep	-71.23106	CL	-32.45242	2013-12-28
Lutz	building	-82.46148	US	28.15112	2013/07/21
Waterbury	good	-73.0515	US	41.55815	03/14/2021, 00:00:00
Bad Honnef	accep	7.2278	DE	50.64336	02/04/2021, 00:00:00
Brunswick	average	-69.96533	US	43.91452	15 Aug 2017
Keene	good	-72.27814	US	42.93369	06/09/2019, 00:00:00
Franceville	average	13.58357	GA	-1.63333	2017-07-04
Chiguayante	good	-73.02841	CL	-36.9256	12/06/2018, 00:00:00
Ulan Bator	average	106.88324	MN	47.90771	2020-08-22
Amreli	good	71.21169	IN	21.59983	01/04/2022, 00:00:00
Bonoua	good	-3.59625	CI	5.27247	02 Mar 2015
Cypress Hills	good	-73.89125	US	40.67705	2014/02/21
Camayenne	building	-13.68778	GN	9.535	2019-05-02
Manaoag	good	120.4861	PH	16.0438	2018-06-11
Curitiba	accep	-49.27306	BR	-25.42778	2014/02/17
Carnaxide	excellent	-9.24671	PT	38.72706	2016/11/10
Okegawa	excellent	139.55722	JP	36	12 Jan 2022
Landshut	maintenance	12.16179	DE	48.52961	05/20/2020, 00:00:00
Colomiers	average	1.33467	FR	43.61058	2019/07/27
Bordj Zemoura	excellent	4.85668	DZ	36.27462	2020-02-07
Nkpor	average	6.83042	NG	6.15038	2015-08-03
San Juan de Aznalfarache	building	-6.03731	ES	37.35813	2016/01/24
Beaumont	excellent	-116.97725	US	33.92946	2020-07-05
Carlos Barbosa	excellent	-51.50361	BR	-29.2975	20 Aug 2018
Barracas	average	-58.38341	AR	-34.64966	03 Aug 2022
Bonoua	building	-3.59625	CI	5.27247	08/04/2018, 00:00:00
Zhukovka	excellent	33.72798	RU	53.53395	2013-06-14
Tak Bai	building	102.05461	TH	6.25947	2016-04-14
Svatove	accep	38.15035	UA	49.41029	2017-02-05
Oktyabr’skiy	excellent	53.47103	RU	54.48147	09/25/2013, 00:00:00
Chanika	average	38.01667	TZ	-5.41667	2015/05/02
Bordj Zemoura	average	4.85668	DZ	36.27462	05/31/2021, 00:00:00
Dharmapuri	excellent	78.15794	IN	12.1277	27 Apr 2021
Iringa	good	35.7	TZ	-7.76667	12 Dec 2012
Ilopango	good	-89.10944	SV	13.70167	11/24/2015, 00:00:00
Alfenas	good	-45.94722	BR	-21.42917	2020-01-28
Ozersk	average	60.70278	RU	55.75556	2020-08-16
Jaworzno	accep	19.27498	PL	50.20528	2018/05/03
Bogovinje	accep	20.91361	MK	41.92361	2021/03/31
Pilkhua	good	77.656	IN	28.71271	04/16/2016, 00:00:00
Villabate	accep	13.44275	IT	38.07789	11/06/2017, 00:00:00
Rajaori	accep	74.3092	IN	33.37526	2014-06-01
Blackpool	accep	-3.05	GB	53.81667	01/16/2013, 00:00:00
New Kingston	good	-76.78319	JM	18.00747	01/11/2020, 00:00:00
Bothell West	maintenance	-122.24064	US	47.80527	2014-08-04
Kashipur	accep	78.95693	IN	29.21399	03 Feb 2013
Novogrudok	accep	25.8191	BY	53.5942	14 Jul 2020
Guapimirim	accep	-42.98194	BR	-22.53722	11/10/2018, 00:00:00
Vryheid	good	30.79165	ZA	-27.76952	2017/08/20
Kearns	average	-111.99633	US	40.65995	09/24/2015, 00:00:00
Le Chesnay	good	2.12213	FR	48.8222	2020-10-19
Manjeri	average	76.11996	IN	11.12018	2015/07/12
Agrigento	building	13.57661	IT	37.31065	2014/10/03
Pucheng	good	118.53333	CN	27.92333	2014-05-25
Okegawa	good	139.55722	JP	36	11 Oct 2020
Goyang-si	good	126.835	KR	37.65639	22 Jun 2021
Beidao	building	105.89333	CN	34.56861	2015/07/06
Sishui	average	117.27583	CN	35.64889	07/19/2018, 00:00:00
Scarsdale	excellent	-73.78458	US	41.0051	2015-06-18
Viradouro	good	-48.29694	BR	-20.87306	2014/04/21
Cibinong	average	106.85417	ID	-6.48167	2017-04-18
Friedberg	average	10.98461	DE	48.35693	2016-08-31
Robertsonpet	building	78.27539	IN	12.95629	2014/06/07
Santa Maria	accep	-120.43572	US	34.95303	2019/01/30
Port-Vila	good	168.31366	VU	-17.73648	2017-10-31
New City	good	-87.65644	US	41.80753	2020/03/06
Alipur	maintenance	70.91106	PK	29.38242	05 May 2018
Mianwali	good	71.52847	PK	32.57756	04 Apr 2022
Tver	good	35.90057	RU	56.85836	20 Jan 2021
Tarakan	good	117.59152	ID	3.31332	06 Apr 2017
Shahre Jadide Andisheh	accep	51.0193	IR	35.6803	2019-01-30
Searcy	good	-91.73625	US	35.25064	2018-08-03
Ken Caryl	good	-105.11221	US	39.57582	25 Sep 2020
Sonzacate	average	-89.71472	SV	13.73417	25 Jun 2022
Claremont	excellent	-117.71978	US	34.09668	2021/04/25
Soledade	excellent	-52.51028	BR	-28.81833	08/16/2017, 00:00:00
Mitry-Mory	excellent	2.61667	FR	48.98333	2014/01/24
