location	station	revision	latitude	longitude	QoS
Europe/Madrid	Talavera de la Reina	2017-10-23	39.96348	-4.83076	average
Asia/Kolkata	Sirsi	2016/09/12	14.62072	74.83554	average
Europe/Moscow	Tver	07/24/2020, 00:00:00	56.85836	35.90057	good
Europe/Rome	Mesagne	2015-08-29	40.55851	17.80774	excellent
America/Maceio	Lagarto	03/14/2020, 00:00:00	-10.91722	-37.65	maintenance
Europe/Rome	Bisceglie	2013/12/16	41.24264	16.50104	accep
Asia/Shanghai	Beidao	2016-11-30	34.56861	105.89333	accep
Africa/Lagos	Igbara-Odo	2018/02/24	7.50251	5.06258	average
Europe/Berlin	Radevormwald	17 Jun 2016	51.20219	7.36027	excellent
Asia/Qyzylorda	Kyzylorda	02 Feb 2019	44.85278	65.50917	good
Asia/Seoul	Goyang-si	2021/05/12	37.65639	126.835	good
America/New_York	Cypress Hills	2015/05/08	40.67705	-73.89125	building
Europe/Kiev	Kherson	2018-08-19	46.65581	32.6178	excellent
America/Toronto	Markham	2022/03/21	43.86682	-79.2663	excellent
America/Argentina/Tucuman	Aguilares	04/25/2015, 00:00:00	-27.4338	-65.61427	good
Africa/Dar_es_Salaam	Usagara	03/26/2013, 00:00:00	-2.68333	33	average
Africa/Lagos	Kafanchan	2019-06-27	9.58126	8.2926	accep
Africa/Ndjamena	Mongo	2013-01-27	12.18441	18.69303	maintenance
Asia/Kolkata	Chharra	2019/09/01	27.9247	78.40102	accep
Africa/Mogadishu	Baki	2012-10-19	9.89206	43.38531	average
America/Merida	Progreso	2015-10-26	21.28306	-89.66123	accep
Pacific/Honolulu	Kahului	2022/08/04	20.88953	-156.47432	good
Asia/Karachi	Naushahra Virkan	2016-03-12	31.96258	73.97117	average
Africa/Dar_es_Salaam	Kidodi	27 Nov 2018	-7.60361	37.00438	building
America/Chicago	Estelle	2014-02-25	29.84576	-90.10674	average
Europe/Berlin	Landshut	2019/01/30	48.52961	12.16179	average
Europe/Moscow	Nizhniy Lomov	2016/08/07	53.53041	43.67663	maintenance
Europe/Rome	Villabate	04 Sep 2016	38.07789	13.44275	maintenance
America/New_York	Cypress Hills	2020-09-01	40.67705	-73.89125	accep
Asia/Bangkok	Tak Bai	08/17/2021, 00:00:00	6.25947	102.05461	accep
Africa/Windhoek	Okahandja	2016/11/08	-21.98333	16.91667	good
America/Chicago	Tupelo	2018-09-15	34.25807	-88.70464	average
America/Los_Angeles	Kent	14 Oct 2018	47.38093	-122.23484	average
Asia/Kabul	Sar-e Pul	07/15/2013, 00:00:00	36.21544	65.93249	excellent
Europe/Moscow	Stupino	2015/11/17	54.90083	38.07083	excellent
Europe/Berlin	Reutlingen	2013-01-26	48.49144	9.20427	excellent
America/Mexico_City	Tuxtla	2019/01/27	16.75973	-93.11308	good
Asia/Dhaka	Kushtia	02/09/2021, 00:00:00	23.9028	89.11943	accep
America/Santiago	La Ligua	11/01/2017, 00:00:00	-32.45242	-71.23106	average
America/New_York	Bon Air	2018-08-19	37.52487	-77.55777	accep
Africa/Blantyre	Salima	2021-02-01	-13.7804	34.4587	excellent
America/Chicago	Huntley	2013/09/09	42.16808	-88.42814	excellent
Asia/Shanghai	Heyuan	07 Nov 2015	23.73333	114.68333	building
Asia/Shanghai	Licheng	2020-12-09	23.29549	113.82465	building
Europe/Rome	Tortona	2017-02-28	44.89784	8.86374	good
America/New_York	Harrisburg	12 Nov 2013	40.2737	-76.88442	excellent
America/Chicago	Coralville	19 Feb 2017	41.6764	-91.58045	accep
America/Sao_Paulo	Artur Nogueira	01 Oct 2014	-22.57306	-47.1725	building
America/New_York	Palm Valley	2019/11/05	30.17746	-81.38758	accep
Asia/Kolkata	Osmanabad	11/08/2014, 00:00:00	18.18158	76.03889	average
Asia/Kolkata	Dombivli	25 Aug 2014	19.21667	73.08333	excellent
Asia/Bangkok	Kantharalak	2017/04/05	14.64056	104.64992	average
Europe/Paris	Talence	2019-03-07	44.80477	-0.59543	accep
Asia/Kolkata	Davangere	2014-02-01	14.46693	75.92694	average
America/New_York	Thomasville	2014-07-13	35.88264	-80.08199	good
Europe/Moscow	Bogoroditsk	2018-08-04	53.77166	38.12408	accep
Europe/Rome	Falconara Marittima	11 Mar 2013	43.62558	13.39954	average
America/New_York	Brunswick	2012-12-19	43.91452	-69.96533	average
Asia/Yangon	Dawei	01/24/2014, 00:00:00	14.0823	98.19151	accep
Europe/London	Hartley	31 Jul 2016	51.38673	0.30367	excellent
America/Denver	Carlsbad	19 Feb 2018	32.42067	-104.22884	good
Europe/Brussels	Lille	2018/05/16	51.24197	4.82313	building
Africa/Lubumbashi	Yangambi	02 May 2021	0.76755	24.43973	accep
Europe/Minsk	Dobrush	2018/11/07	52.4089	31.3237	accep
America/New_York	Brunswick	02/23/2014, 00:00:00	43.91452	-69.96533	accep
Europe/Istanbul	Bergama	2018/12/08	39.12074	27.18052	good
Europe/Istanbul	Edremit	09 Aug 2016	39.59611	27.02444	excellent
Asia/Shanghai	Dongfeng	09/27/2019, 00:00:00	42.64031	125.51176	average
Europe/Rome	Tortona	02/19/2020, 00:00:00	44.89784	8.86374	accep
America/New_York	Yonkers	02 May 2015	40.93121	-73.89875	good
America/Chicago	Jackson	2014/08/12	35.61452	-88.81395	building
America/Los_Angeles	Watsonville	02/20/2013, 00:00:00	36.91023	-121.75689	maintenance
Europe/Berlin	Gronau	2018-01-20	52.21099	7.02238	excellent
Australia/Sydney	Baulkham Hills	2015/05/12	-33.75881	150.99292	good
America/Sao_Paulo	Alfenas	2022/01/08	-21.42917	-45.94722	good
Europe/Rome	Tortona	2015/01/02	44.89784	8.86374	acceptable
America/Sao_Paulo	Artur Nogueira	2014-02-23	-22.57306	-47.1725	excellent
Africa/Kampala	Arua	2014/05/03	3.02013	30.91105	accep
America/Toronto	Pointe-Claire	08 Jun 2021	45.44868	-73.81669	average
Asia/Kolkata	Deoli	15 Sep 2018	25.75728	75.37991	excellent
America/Mexico_City	Tuxtla	2019/02/23	16.75973	-93.11308	excellent
Asia/Kolkata	Pilkhua	2020/05/21	28.71271	77.656	average
America/New_York	Leland	11/26/2021, 00:00:00	34.25628	-78.04471	building
Asia/Jakarta	Simpang	2019-03-21	-1.26424	104.09701	good
America/Los_Angeles	Watsonville	10 Oct 2016	36.91023	-121.75689	excellent
Asia/Kolkata	Pilkhua	05 Feb 2018	28.71271	77.656	good
America/Costa_Rica	San Rafael	2014/02/27	9.92787	-84.13722	maintenance
Asia/Kolkata	Madhipura	06 Aug 2013	25.92127	86.79271	excellent
Europe/Madrid	Leioa	2017/11/01	43.32686	-2.98884	accep
America/Los_Angeles	Opportunity	05/08/2016, 00:00:00	47.64995	-117.23991	good
Asia/Tehran	Aleshtar	2018-05-31	33.86419	48.26258	average
Asia/Tbilisi	Kobuleti	18 Oct 2020	41.82143	41.77921	average
America/Chicago	Hueytown	10 May 2019	33.45122	-86.99666	excellent
America/New_York	Jersey City	2015-11-30	40.72816	-74.07764	good
Asia/Colombo	Dehiwala-Mount Lavinia	02/13/2017, 00:00:00	6.84019	79.87116	excellent
America/Toronto	Markham	2019-08-14	43.86682	-79.2663	excellent
Europe/Moscow	Arzamas	2021/04/05	55.39485	43.83992	good
America/Chicago	Crystal Lake	06/21/2017, 00:00:00	42.24113	-88.3162	accep
Asia/Seoul	T’aebaek	11/02/2018, 00:00:00	37.1759	128.9889	good
America/Guayaquil	Cuenca	04/26/2020, 00:00:00	-2.90055	-79.00453	building
Europe/Moscow	Alatyr’	27 Sep 2022	54.8421	46.5813	accep
Europe/Berlin	Trossingen	2016/01/25	48.07667	8.64409	building
Europe/Madrid	Palafrugell	2019-05-04	41.91738	3.1631	average
Asia/Shanghai	Shuangcheng	07 May 2021	45.35	126.28333	excellent
America/New_York	Rutland	2022-02-14	43.61062	-72.97261	excellent
America/Bogota	Honda	2018/03/04	5.20856	-74.73584	excellent
Europe/Paris	Talence	10/29/2021, 00:00:00	44.80477	-0.59543	excellent
America/Los_Angeles	Sunnyside	2016-09-03	46.32374	-120.00865	average
Asia/Kolkata	Gorakhpur	16 Mar 2019	26.76628	83.36889	accep
America/Chicago	Fresno	2019-11-14	29.53885	-95.44744	building
Europe/Moscow	Kovylkino	2016/06/13	54.03876	43.91385	excellent
Asia/Kolkata	Kalavoor	2017/05/04	9.57046	76.32756	good
America/New_York	Gainesville	2014-11-30	29.65163	-82.32483	good
Africa/Addis_Ababa	Arba Minch	2017-02-14	6.03333	37.55	accep
America/Bogota	Andes	2020/03/08	5.6561	-75.87877	average
Asia/Manila	Burgos	2017/11/13	15.72892	120.57224	acceptable
Asia/Kolkata	Betamcherla	12/30/2013, 00:00:00	15.45144	78.14797	maintenance
Africa/Algiers	Thenia	2014/08/28	36.72544	3.55665	maintenance
Australia/Sydney	Eastwood	2019/03/16	-33.79176	151.08057	accep
Asia/Shanghai	Yingkou	2017-11-16	40.66482	122.22833	accep
Europe/Paris	Gonesse	2020-12-27	48.98693	2.44892	accep
Asia/Shanghai	Sishui	2013-10-31	35.64889	117.27583	accep
Africa/Tunis	Beni Khiar	2020-08-26	36.46917	10.78222	excellent
Asia/Urumqi	Hoxtolgay	2020-08-30	46.51872	86.00214	maintenance
America/Los_Angeles	Mira Mesa	09/18/2017, 00:00:00	32.9156	-117.14392	excellent
Asia/Shanghai	Yingkou	2017-01-17	40.66482	122.22833	good
Europe/Zaporozhye	Polohy	22 Dec 2020	47.48444	36.25361	good
Europe/Lisbon	Custoias	06/21/2013, 00:00:00	41.1053	-7.32097	building
Asia/Almaty	Zaysan	2019/07/15	47.46657	84.87144	good
Asia/Kolkata	Hungund	08 Dec 2015	16.06213	76.0586	maintenance
America/New_York	Lexington	09/21/2020, 00:00:00	33.98154	-81.23621	good
America/New_York	Martinsburg	2022-08-19	39.45621	-77.96389	average
Europe/London	Southsea	2022-07-12	50.79205	-1.08593	excellent
America/Chicago	New City	2020-05-10	41.80753	-87.65644	accep
Australia/Sydney	Eastwood	2021/02/15	-33.79176	151.08057	good
Europe/Kiev	Zvenihorodka	2014/10/11	49.07866	30.96755	building
Asia/Shanghai	Dongfeng	2019-12-26	42.64031	125.51176	average
Europe/Moscow	Kovylkino	2017/07/21	54.03876	43.91385	good
America/Sao_Paulo	Pato Branco	02/07/2015, 00:00:00	-26.22861	-52.67056	maintenance
Asia/Tokyo	Kamakura	2013/02/15	35.30889	139.55028	accep
Europe/Moscow	Shushary	04/25/2013, 00:00:00	59.80917	30.38167	average
America/Chicago	Hutchinson	2016-02-09	38.06084	-97.92977	good
Asia/Kolkata	Jashpurnagar	2013/11/22	22.88783	84.13864	excellent
Africa/Cairo	Juhaynah	04 Oct 2019	26.67319	31.4976	average
Europe/London	High Wycombe	2013/07/16	51.62907	-0.74934	accep
Europe/Brussels	Lille	2020/02/27	51.24197	4.82313	accep
Pacific/Port_Moresby	Mount Hagen	2015-06-08	-5.85746	144.23058	excellent
Africa/Algiers	Frenda	2019/01/30	35.06544	1.04945	excellent
Asia/Kolkata	Hungund	26 Jun 2020	16.06213	76.0586	good
Africa/Luanda	Luena	2021-09-25	-11.78333	19.91667	excellent
America/Chicago	Columbia Heights	08 Sep 2020	45.0408	-93.263	accep
Europe/Paris	Bobigny	2015-08-04	48.90982	2.45012	excellent
America/New_York	Peabody	10 Oct 2019	42.52787	-70.92866	good
Europe/Rome	Agrigento	02/10/2017, 00:00:00	37.31065	13.57661	maintenance
Australia/Brisbane	Maryborough	05/13/2016, 00:00:00	-25.54073	152.70493	good
Asia/Kolkata	Sirsi	11/14/2013, 00:00:00	14.62072	74.83554	average
Europe/Brussels	Denderleeuw	2012/12/27	50.88506	4.07601	good
Asia/Shanghai	Shaowu	2017/06/03	27.34089	117.4831	accep
Africa/Kampala	Paidha	2021-04-05	2.41669	30.98551	good
Asia/Shanghai	Heyuan	2022-04-02	23.73333	114.68333	accep
America/Chicago	Kaukauna	03/07/2014, 00:00:00	44.27804	-88.27205	excellent
Asia/Shanghai	Jiangyan	2018-04-26	32.50611	120.14278	excellent
Europe/Rome	Perugia	03/23/2021, 00:00:00	43.1122	12.38878	excellent
America/Caracas	Barinas	09/12/2021, 00:00:00	8.62261	-70.20749	good
Europe/Paris	Vienne	2020-04-08	45.51667	4.86667	good
America/New_York	Morningside Heights	11/25/2015, 00:00:00	40.81	-73.9625	excellent
Asia/Jerusalem	Rahat	2021/09/24	31.39547	34.75699	accep
Asia/Yekaterinburg	Tavda	2021-04-20	58.04254	65.27258	accep
Africa/Algiers	Beni Douala	05/17/2014, 00:00:00	36.61954	4.08282	accep
Europe/Berlin	Burscheid	2020/11/19	51.08468	7.11393	average
Europe/Berlin	Eppingen	02/07/2016, 00:00:00	49.13645	8.91229	good
Europe/Moscow	Shushary	2016-11-01	59.80917	30.38167	maintenance
Asia/Kolkata	Narwar	02/05/2013, 00:00:00	25.6439	77.9129	good
America/Mexico_City	Tuxtla	15 Jan 2015	16.75973	-93.11308	good
America/New_York	Cypress Hills	03/06/2021, 00:00:00	40.67705	-73.89125	average
America/New_York	East Haven	01/16/2013, 00:00:00	41.27621	-72.86843	building
America/New_York	Fayetteville	05 Jun 2015	35.05266	-78.87836	accep
Asia/Kolkata	Udumalaippettai	2019-09-14	10.58806	77.24779	excellent
America/Toronto	Beaconsfield	13 Feb 2013	45.43341	-73.86586	accep
Europe/Oslo	Harstad	23 Dec 2015	68.79833	16.54165	building
America/Mexico_City	Santa Rosa Jauregui	2015/11/03	20.74122	-100.44843	maintenance
America/Vancouver	Kelowna	2014-10-27	49.88307	-119.48568	accep
Europe/Rome	Tortona	2017/06/01	44.89784	8.86374	accep
Africa/Dar_es_Salaam	Usagara	2013/02/05	-2.68333	33	accep
America/Santarem	Altamira	2020-02-02	-3.20333	-52.20639	building
Asia/Kolkata	Sathyamangalam	2018/09/23	11.50526	77.23826	excellent
America/Lima	Yunguyo	14 Jun 2021	-16.25	-69.08333	excellent
Asia/Jerusalem	Rahat	2016/08/17	31.39547	34.75699	excellent
Africa/Kigali	Rwamagana	2013-01-27	-1.9487	30.4347	accep
America/New_York	Deltona	10/26/2014, 00:00:00	28.90054	-81.26367	average
America/New_York	Rutland	11/06/2019, 00:00:00	43.61062	-72.97261	acceptable
Asia/Jerusalem	Ramla	2013-08-03	31.92923	34.86563	average
Asia/Kolkata	Calangute	11/04/2012, 00:00:00	15.5439	73.7553	accep
Europe/Madrid	Tudela	2021/07/13	42.06166	-1.60452	good
Europe/Moscow	Bavly	12 Jan 2020	54.39304	53.26023	accep
Europe/Andorra	les Escaldes	2017/10/13	42.50729	1.53414	accep
America/Chicago	Odessa	17 Jul 2022	31.84568	-102.36764	building
Europe/Berlin	Karben	21 Nov 2013	50.23019	8.77155	maintenance
Asia/Colombo	Dehiwala-Mount Lavinia	2017/02/02	6.84019	79.87116	excellent
Asia/Kolkata	Supaul	04/15/2019, 00:00:00	26.11527	86.59509	good
Atlantic/Canary	Maspalomas	12 Jun 2018	27.76056	-15.58602	average
Australia/Sydney	Baulkham Hills	12 May 2017	-33.75881	150.99292	excellent
Australia/Brisbane	Maryborough	12/15/2021, 00:00:00	-25.54073	152.70493	good
America/New_York	Brunswick	31 Mar 2022	43.91452	-69.96533	excellent
Asia/Krasnoyarsk	Sharypovo	2016-06-27	55.54028	89.20083	average
Asia/Kolkata	Patti	2020-06-02	31.28092	74.85849	accep
Asia/Yangon	Myawadi	23 Jul 2018	16.68911	98.50893	maintenance
Asia/Shanghai	Shuangcheng	12 Sep 2014	45.35	126.28333	excellent
Africa/Porto-Novo	Tchaourou	01 Jul 2018	8.88649	2.59753	accep
Africa/Algiers	Messaad	11/11/2014, 00:00:00	34.15429	3.50309	excellent
Asia/Phnom_Penh	Paoy Paet	2021-09-02	13.65805	102.56365	average
Asia/Kolkata	Amreli	2016/06/10	21.59983	71.21169	good
Asia/Karachi	Daud Khel	02/06/2016, 00:00:00	32.87533	71.57118	accep
Europe/Moscow	Novopavlovsk	24 Dec 2013	43.96222	43.63417	excellent
Asia/Tashkent	Parkent	2019-08-31	41.29444	69.67639	accep
Asia/Dili	Maliana	2016/08/05	-8.99167	125.21972	accep
Asia/Seoul	Sinhyeon	11 Jun 2021	34.8825	128.62667	average
Europe/Madrid	Las Gabias	02 Sep 2021	37.13548	-3.67029	accep
Europe/Moscow	Yablonovskiy	2022-09-22	44.98901	38.94324	maintenance
America/Havana	Boyeros	2022/02/27	23.0072	-82.4017	excellent
America/Chicago	Murray	2014-03-21	36.61033	-88.31476	good
Asia/Karachi	Sangla Hill	2013-05-09	31.71667	73.38333	good
America/New_York	Middletown	2014-02-02	41.54566	-71.29144	building
Europe/Berlin	Wittenau	2019/05/27	52.59319	13.32127	accep
Europe/Moscow	Dyat’kovo	2021/03/28	53.59782	34.33825	accep
Asia/Shanghai	Hushitai	12/24/2014, 00:00:00	41.94175	123.50266	excellent
Asia/Kolkata	Udumalaippettai	12/21/2012, 00:00:00	10.58806	77.24779	excellent
Asia/Manila	San Jose	2016-07-24	12.35275	121.06761	good
America/New_York	North Lauderdale	2018/03/16	26.2173	-80.22588	average
Asia/Jakarta	Simpang	16 Jul 2021	-1.26424	104.09701	average
Asia/Almaty	Zaysan	2021/06/14	47.46657	84.87144	good
Asia/Bangkok	Phanat Nikhom	02/25/2018, 00:00:00	13.44581	101.18445	excellent
America/Chicago	Fairview Heights	2018/05/24	38.58894	-89.99038	good
Europe/London	Devizes	26 Mar 2016	51.35084	-1.99421	accep
America/Los_Angeles	American Canyon	12/15/2013, 00:00:00	38.17492	-122.2608	accep
Asia/Tokyo	Toyokawa	2019/01/23	34.81667	137.4	accep
Asia/Shanghai	Jingzhou	05/16/2021, 00:00:00	30.35028	112.19028	building
Indian/Antananarivo	Ikalamavony	15 Apr 2016	-21.15	46.58333	accep
Asia/Jerusalem	Ramla	07 Sep 2015	31.92923	34.86563	accep
Europe/Skopje	Bogovinje	2022/05/19	41.92361	20.91361	average
Asia/Aqtobe	Shalqar	2012-12-06	47.83333	59.6	good
Europe/Moscow	Tver	29 Jul 2015	56.85836	35.90057	average
Europe/Rome	Falconara Marittima	12/15/2019, 00:00:00	43.62558	13.39954	good
