C2H3NO5	CO	longitude	TEMP	NH3	PM2.5	CFCs	latitude	warning	SO2	CH4	NOx	PAHs	PM10	Pb	H2CO	O3	PRES
0.14934	6.06233	118.53333	20.87060	7.93225	6.84095	87.74407	27.92333	1.00000	10.07124	6.82851	7.80142	4.61630	6.74964	28.17204	44.55678	5.43551	1080.86089
0.23197	6.28765	-1.60452	0.26715	7.83340	8.04098	58.26545	42.06166	1.00000	9.98132	6.11208	7.60504	7.99683	7.73562	56.05095	41.02063	3.78225	1086.11635
0.23558	6.09324	-84.23381	-6.18510	4.96501	7.80090	66.57444	33.54428	1.00000	7.14750	5.19713	9.85152	5.49714	7.51648	53.72250	53.96039	3.47592	1169.23957
0.49344	8.67918	104.09701	12.30419	6.61232	7.28754	48.52913	-1.26424	1.00000	9.53436	4.34158	7.98634	7.06644	8.69525	59.28888	44.92744	3.38769	1052.10809
0.08212	7.37484	-87.45476	-3.03226	7.05346	6.85734	43.55596	41.47892	0.00000	4.48321	6.32375	8.98272	7.55412	5.17428	47.19581	44.26926	6.02819	1059.68766
0.54947	5.00280	4.7934	15.42197	6.39977	7.84133	61.10014	45.69558	1.00000	6.48936	6.17908		4.67408	8.79376	52.22707	33.31999	7.44480	1188.12611
0.03216	5.71895	104.09701	22.19011	6.01166	7.47616	28.57799	-1.26424	1.00000	9.35439	6.87844	4.49188	4.91238	5.20687	63.72966	64.44288	4.90607	1085.02347
0.16701	7.72127	36.25361	18.82599	6.46676	6.23025	45.89663	47.48444	1.00000	7.29070	3.37747	8.46035	5.46697	6.15149	40.61150	42.06500	3.70760	1139.07039
10.60240	7.58370	8.2926	12.39913	7.70907	7.12074	50.66317	9.58126	1.00000	9.22229	4.94598	6.64575	9.25938	12.04154	68.30116	69.14006	7.53003	1095.26819
1.05754	6.15225	76.03889	19.77245	5.68704	5.88595	64.20794	18.18158	1.00000	5.88091	10.08294	9.70585	8.56651	9.62140	30.13852	43.40139	7.90535	1151.13501
0.99263	6.67270	-73.86586	24.10209	7.31485	6.34443	24.75410	45.43341	0.00000	6.41913	6.85316	8.70043	5.04042	9.58706	50.64280	54.78769	7.11538	1183.31622
2.14894	5.88685	121.12251	20.91606	7.23195	6.32091	57.37440	14.62578	1.00000	7.36889	4.56611	9.62959	7.12742	10.41147	66.95150	65.46402	5.37693	1108.01406
0.32503	6.40821	10.7	28.21061	4.96372	6.76284	52.61316	4.96667	1.00000	10.73791	7.55282	7.58667	5.37462	8.24587	54.74689	43.08424	6.49774	1171.62996
0.15640	5.48494	-2.68333	13.44987	7.82113	4.70293	55.39422	43.31667	0.00000	6.40389	6.30582	10.46302	6.28252	6.70571	47.13591	29.52630	10.36892	1122.80110
0.17332	6.01460	45.36561	24.08013	7.36188	6.59667	32.66618	41.09246	0.00000	4.55007	7.34047	9.90339	10.07085	5.87174	48.06801	60.87483	3.59604	1130.32399
3.38596	5.63989	24.95034	-1.26903	6.70443	6.12127	52.50107	60.18427	0.00000	6.84458	5.82772	9.65624	5.42171	10.90594	42.69316	38.71343	8.32996	1121.74959
2.79709	8.22382	2.08333	17.99326	7.07587	7.74730	64.52244	48.86667	0.00000	5.36880	4.41711	9.68616	5.82662	10.65429	33.42450	46.71850	4.05954	1123.88216
0.33909	6.68217	-4.0573	4.55554	6.96107	6.02185	39.55578	55.82737	1.00000	8.57137	7.98018	10.12950	8.53512	8.10329	60.95568	42.65109	4.07588	1092.81701
0.03430	7.83255	6.8625	21.95249	6.30192	5.20419	34.63626	51.47805	0.00000	4.31156	4.73947	9.70564	9.12628	5.45255	68.65648	62.38642	10.30942	1069.69076
0.06862	8.11542	7.00417	18.03738	7.39128	7.28667	54.02984	52.26083	0.00000	4.32681	6.96576	8.62830	7.33709	4.71752	66.10847	30.52486	6.06145	1191.63254
0.22404	8.14095	89.20083	15.88875	8.68420	7.41046	36.40319	55.54028	1.00000	6.56144	4.71361	7.29750	6.42977	7.51582	40.81466	33.09144	7.19127	1125.98144
0.17287	6.94009	-86.19903	16.68114	7.57084	5.80019	48.63554	11.84962	1.00000	8.26746	8.98626	9.90714	8.91068	6.71557	48.94518	63.77725	4.55312	1127.16803
6.60028	6.58648	128.9889	10.57566	6.43186	8.05331	49.08851	37.1759	1.00000	8.76080	3.07025	7.83112	9.40856	11.56619	38.75188	36.94749	5.79216	1174.01407
0.17754	5.01532	-2.77259	-0.76827	5.93987	6.46895	49.11039	37.49073	1.00000	7.21010	3.68260	9.29191	5.94081	7.17186	39.57796	53.69539	3.54061	1155.13494
0.14151	5.32979	27.02444	29.45247	6.16068	7.82278	53.34437	39.59611	0.00000	5.26936	5.53203	8.16936	9.25048	5.49065	18.33891	54.68973	4.93791	1075.58253
0.05067	7.31524	73.08333	19.44685	6.58232	8.98774	43.81755	19.21667	0.00000	4.25306	8.45369	10.41241	8.89110	3.68505	49.63092	61.91581	4.85736	1105.63671
0.47485	7.52433	-119.01677	5.32591	7.08934	6.86825	38.58506	36.06523	1.00000	10.59623	7.89806	8.24714	10.56667	8.66400	49.61443	28.53913	4.24641	1051.67526
0.24838	5.30151	-3.67029	2.42195	5.59880	7.37246	41.73578	37.13548	0.00000	7.28137	5.06464	7.83944	8.30684	7.47941	65.97412	46.41429	5.98252	1082.47793
0.28568	6.80764	100.24529	6.05478	7.22373	7.52201	45.31486	5.4709	1.00000	7.04796	9.28601	9.49153	8.22980	7.97080	57.47201	22.91970	5.87985	1084.51900
0.12456	6.69897	17.58522	10.29212	8.03484	6.61131	57.99286	40.53123		5.55226	6.31548	8.33038	8.34338	5.04416	63.08283	56.99073	5.56006	1199.75598
0.85261	8.49555	114.68333	7.88038	7.92715	5.95689	51.58251	23.73333	0.00000	6.07776	5.87424	6.64052	4.67523	9.48078	33.82526	31.27295	8.10318	1127.91664
0.19338	5.54129	-93.11308	16.46437	6.32859	8.75562	51.03250	16.75973	1.00000	9.67897	7.45172	7.51667	5.20695	7.56245	50.03877	57.64288	6.12438	1139.74373
2.12303	7.06317	85.83636	6.63031	7.34564	8.87358	43.35011	25.66795	1.00000	8.15278	5.96994	10.80668	5.60631	10.39915	42.61218	43.24629	6.76994	1074.05804
0.32756	7.36515	-122.2608	27.50092	8.60954	6.75466	49.18423	38.17492	1.00000	8.24132	8.30267	8.48341	8.17232	8.17630	50.35601	50.32276	6.91658	1070.93523
0.37017	7.20507	89.11943	19.93131	6.82644	6.15140	67.86305	23.9028	1.00000	10.52108	7.53318	7.14047	8.83466	8.39045	32.85098	47.40445	4.99736	1093.71919
0.13331	8.22147	106.88324	1.29529	8.51684	6.69034	53.46028	47.90771	1.00000	9.87873	6.55495	9.99391	3.09976	5.99654	82.82725	53.85942	5.51305	1173.57343
0.13729	7.86139	-94.91386	4.45834	7.28038	7.85188	71.03570	17.94979	1.00000	11.47711	7.81516	5.93780	7.18303	6.89636	56.91954	67.70222	4.41300	1104.86131
0.09358	7.71882	71.67164	3.97030	6.38184	9.50288	46.29023	30.29184	0.00000	6.76977	6.13848	7.67051	10.08934	5.21891	50.12492	61.90450	4.75135	1176.24752
0.11803	7.33234	20.89389	-2.60885	7.80046	6.62316	43.26388	42.62833	0.00000	7.54505	5.06965	5.86226	9.27413	5.92511	40.18107	59.65224	5.45932	1069.22147
0.24675	7.46966	121.3152	45.76962	6.53220	8.78568	64.44296	14.14989	0.00000	7.71218	3.70567	8.41747	10.12303	7.37477	36.48313	51.61022	5.51557	1168.36630
1.75477	8.59204	86.00214	22.74052	8.05473	6.89855	46.49420	46.51872	1.00000	6.80086	9.63041	10.16507	10.00728	10.19350	65.99531	48.44062	7.05142	1196.90456
0.09554	6.72944	-1.64295	14.41718	6.40547	5.48144	33.43290	42.8139	1.00000	9.83287	6.12855	5.85407	6.46612	5.22372	62.75958	46.85180	3.85765	1054.08205
2.26912	5.99590	-79.00453	28.31647	6.63272	7.60477	65.07112	-2.90055	0.00000	11.16937	9.14371	8.51814	5.19216	10.45613	45.35380	67.87006	7.93173	1165.82490
0.24245	7.07243	150.99292	0.15876	6.54452	4.93105	54.84638	-33.75881	1.00000	5.56201	8.28748	8.94844	6.66782	7.88779	46.73864	37.04040	6.72324	1090.29821
0.26807	5.49272	4.82313	11.44016	7.52875	6.56317	50.79659	51.24197	1.00000	8.55259	7.27998	8.99295	7.99287	7.90875	49.58650	55.52198	4.66529	1095.63286
0.27337	6.73737	99.96667	19.86105	8.63832	5.90036	71.50582	8.43333	1.00000	10.34549	6.00286	7.66438	5.26208	7.64453	56.98855	55.10686	6.76641	1090.97411
0.52844	6.38549	8.77069	19.84494	7.88718	6.88110	55.57266	50.80904	1.00000	5.36161	10.14904	11.45036	10.36913	8.70544	56.28601	51.35128	6.01536	1078.07181
0.21688	7.11255	-2.98333	21.39121	7.90868	7.43322	42.78319	53.83333	0.00000	5.70957	6.37389	6.20413	4.70363	7.72699	39.50789	57.64545	8.62847	1140.20748
0.12829	5.13150	-0.74934	21.82612	7.99977	6.78320	40.88291	51.62907	0.00000	3.19828	6.87078	7.89636	5.15077	5.15908	16.37105	45.04345	6.83795	1185.06283
0.52037	6.13351	71.30633	11.78540	7.34483	6.86352	46.17991	21.34222	1.00000	11.32407	6.67930	5.94004	7.03844	8.81424	51.47217	42.81333	6.33683	1185.42701
0.11687	6.72256	-78.04471	29.58709	5.43902	7.16827	48.09323	34.25628	1.00000	8.17251	3.86275	10.30970	3.43199	4.39399	32.43441	39.93887	1.39769	1089.80390
0.12786	5.64166	-2.98333	12.13859	6.42222	6.50150	72.81180	53.83333	1.00000	5.66784	8.67649	6.58047	4.42583	5.84954	39.28859	45.55880	7.32789	1168.04873
0.16219	7.05625	73.38333	14.28233	6.07530	7.11390	65.25061	31.71667	1.00000	8.19669	5.04481	8.65122	4.28945	5.13735	48.63665	53.54839	3.37468	1094.04211
32.44030	5.80541	26.97253	24.18066	4.21256	7.52597	35.44455	49.65186	0.00000	7.57552	7.00491	7.89789	3.82785	13.16644	58.45702	37.27137	6.84431	1115.22443
0.15436	8.52248	8.88104	26.74481	8.44816	6.41245	38.00452	45.79377	0.00000	4.07223	3.35776	9.64877	6.94115	5.61808	48.98344	38.98061	8.12210	1183.71584
0.98729	7.84441	43.38531	16.98410	7.49932	6.29061	63.65437	9.89206	1.00000	6.75651	2.72556	9.96319	7.37537	9.54890	41.10543	41.81175	4.35397	1199.44847
0.15118	7.00698	27.18052	2.33263	7.26430	6.79080	74.07911	39.12074	0.00000	5.39209	5.61429	8.52856	5.71168	7.12133	53.05618	38.41888	8.68774	1179.69029
0.06325	7.69477	-81.26367	2.81372	7.65113	7.00969	62.93707	28.90054	0.00000	5.45854	6.85311	6.52479	5.40648	5.29100	43.08373	45.53879	10.47321	1177.70977
0.20538	6.85988	-78.04471	8.83026	8.21587	5.91022	59.14697	34.25628	1.00000	9.22012	8.77139	8.86502	3.25730	7.22567	71.21625	59.35592	7.01838	1122.67546
0.16026	6.94155	-38.94722	-2.80161	7.80230	4.65975	48.17337	-15.675	0.00000	4.89410	7.22494	9.46442	10.22271	4.36632	69.57664	37.64797	3.95231	1145.47750
1.36152	6.00992	-73.89125	6.25738	4.59066	6.20988	63.79071	40.67705	1.00000	7.64671	10.35517	9.85176	10.66588	9.89874	37.64868	34.91498	6.56217	1095.13851
0.49057	7.60133	137.02166	1.63181	7.38514	6.40977	45.85189	35.48199	1.00000	4.92117	8.96335	10.10245	8.38885	8.72722	36.09581	60.25556	7.89012	1171.65357
0.13198	8.78015	37.49338	20.41002	6.64758	8.82614	57.36497	55.62047	0.00000	7.72115	5.43734	9.45199	10.73375	7.17438	31.37037	48.73859	4.37209	1162.22395
0.13588	6.04222	13.44275	10.09659	7.86191	9.34668	43.46898	38.07789	0.00000	3.76980	6.70625	9.66501	7.74086	5.78139	67.72414	68.14963	5.10742	1107.16793
0.27880	4.34207	-0.33525	5.75199	6.41306	5.85295	59.01303	53.7446	0.00000	7.32453	4.70606	9.87955	9.57992	7.92034	44.97917	35.75763	5.46909	1099.56185
1.32231	7.59797	13.10984	13.03722	7.40242	6.53930	73.60654	51.30001	1.00000	8.42512	9.77181	8.25521	9.94400	9.92108	40.60203	46.16215	6.58262	1142.15299
0.10929	6.05569	-96.67834	27.92133	7.80376	7.97508	63.80568	34.77453	1.00000	7.76922	5.50949	8.22065	4.71730	6.52428	46.07260	46.56413	5.23776	1153.54081
1.00890	6.98757	29.26639	10.22054	6.87914	8.54102	41.57036	37.58105	1.00000	9.83676	8.67872	8.40752	9.40622	9.57302	31.03902	42.22722	4.97897	1077.29910
0.79394	6.35299	-2.77259	15.02458	6.47310	6.12722	25.73015	37.49073	1.00000	8.83863	6.90244	7.68839	6.11055	9.37249	61.84844	29.84416	6.42912	1060.81249
0.22468	7.09523	19.27498	3.62755	7.17878	6.43836	36.99293	50.20528	1.00000	8.24483	8.78290	7.23694	6.96319	6.92464	49.68483	55.22329	6.55962	1153.70319
0.16244	5.97125	68.21204	20.49265	6.39290	9.37445	52.33170	27.55898	1.00000	7.05650	7.55164	8.15088	8.87245	6.63863	55.60311	48.86657	5.38294	1167.55741
1.41866	5.29479	79.87116	16.91806	7.42321	7.81202	44.10864	6.84019	1.00000	7.82342	4.92141	7.49267	8.18181	9.98234	41.65925	44.17303	4.74693	1086.10382
0.17006	7.55261	-84.13722	33.86339	6.50119	5.36814	44.62015	9.92787	0.00000	7.92093	5.31640	8.16402	10.42611	5.79889	16.14236	25.62776	5.37668	1164.99603
20.45776	6.00484	99.95469	18.55145	6.74445	7.73053	38.53537	13.51825	1.00000	7.20131	3.46448	9.23414	9.58909	12.70079	65.84582	33.44119	5.40086	1100.36833
0.11215	7.79518	112.19028	-0.04795	7.54127	7.01968	62.34628	30.35028	0.00000	7.17497	5.72587	6.82334	9.78283	3.84426	40.93384	55.45464	5.60221	1180.08522
0.47315	7.02097	115.88782	28.10207	9.64815	6.57882	56.08685	-32.05251	0.00000	5.68317	6.43273	9.01926	6.54896	8.64667	48.63546	75.61960	5.76659	1061.08693
0.97921	6.36006	-118.03917	23.29420	6.23627	6.96821	43.17702	33.95015	1.00000	11.31994	7.20169	8.28734	6.16982	9.51091	42.33609	65.59973	6.82707	1075.03923
0.26773	6.98901	30.4347	9.31711	8.29189	7.20858	48.03132	-1.9487	1.00000	6.75436	8.98823	9.81257	7.58011	7.89733	39.68132	41.21877	6.08178	1147.45763
0.30478	7.18113	-82.32483	17.54282	5.56699	7.63811	29.07227	29.65163	1.00000	6.90231	9.34663	10.44726	10.90937	7.92573	46.03303	32.73423	5.77417	1113.56948
51.99917	4.55323	-122.24092	34.36812	6.82171	5.44473	31.81782	47.4943	1.00000	9.40610	6.62943	6.38629	10.40293	13.63828	33.21507	46.39406	7.34901	1062.05281
0.54284	7.66296	73.08333	7.02145	6.61596	10.08977	42.95621	19.21667	1.00000	8.16847	9.45535	9.59011	8.93889	8.75537	47.98161	40.47501	4.95216	1169.52715
0.14741	4.78136	36.25361	21.24917	6.28364	6.16069	62.74523	47.48444	1.00000	6.58571	2.83824	8.46307	5.33857	5.39117	36.61336	39.54982	3.11063	1078.93175
0.38476	7.54896	-122.86705	-0.63505	7.22698	5.35157	41.04690	45.49428	0.00000	7.65897	4.16499	8.58634	10.79197	8.46252	59.81491	34.92972	4.17518	1135.42150
3.14532	5.85706	-9.24671	15.13915	7.23838	7.62325	35.06616	38.72706	1.00000	7.12630	8.95730	9.35411	10.31519	10.81917	50.02902	36.95154	7.85554	1176.30854
0.10163	4.33659	-93.11308	10.29315	5.62520	7.11185	31.41319	16.75973	0.00000	5.01197	7.13354	10.58101	11.83182	5.50513	61.11056	33.71400	2.36301	1183.86540
2.93550	8.09276	77.0202	19.44164	6.48193	7.97959	35.55761	43.41949	1.00000	7.57673	4.73318	9.35550	7.54056	10.73098	45.98268	49.70715	5.00386	1180.90386
0.21124	6.16291	123.89071	22.41029	6.74790	7.21439	43.28624	10.31672	0.00000	4.30187	6.33788	6.46114	9.09561	7.13066	34.32664	55.01099	9.01307	1081.14087
0.76384	7.92271	14.72443	9.35728	9.38165	8.11594	64.96551	36.92574	1.00000	6.82594	9.58734	8.99124	10.21875	9.28076	38.34465	37.60353	6.36628	1123.02946
1.21015	7.33606	-87.45476	17.82342	6.00643	8.42208	40.51899	41.47892	1.00000	6.65255	10.70841	10.61524	10.14455	9.80050	46.14007	29.34581	6.40684	1067.56766
0.57644	6.96433	9.29109	-1.53303	5.79930	7.86365	47.76957	45.39402	1.00000	6.70217	5.19500	8.57640	6.19970	8.98677	52.55387	37.87517	7.13790	1197.34136
0.24714	8.14801	118.53333	16.96503	8.70421	5.99979	48.86279	27.92333	1.00000	7.37582	5.51810	7.17125	5.35510	7.61237	44.88069	48.00305	7.40753	1067.68137
0.25679	7.60665	-70.92866	17.05196	7.63604	6.34500	42.58182	42.52787	0.00000	7.56096	3.44814	8.71874	10.01225	7.77228	19.91723	52.89578	5.46370	1175.97394
0.11927	7.91393	114.68333	25.33193	7.90414	5.48953	59.21115	23.73333	0.00000	6.04557	4.82035	8.13215	7.96351	6.01673	38.59396	55.33445	6.39441	1159.52577
0.87566	6.81567	120.89694	18.76016	4.60302	7.07957	43.60573	14.95472	1.00000	9.37439	7.74806	8.88245	5.59698	9.39676	50.52752	39.35770	6.29985	1120.85184
16.43145	7.42970	78.15794	5.05099	5.65766	8.27833	70.96980	12.1277	1.00000	8.72650	9.99649	10.46781	11.43312	12.48430	70.19201	46.24485	7.06219	1100.73778
0.20608	7.54857	8.86374	21.22715	8.45543	6.62182	66.41444	44.89784	0.00000	5.50190	5.84740	9.00058	5.90327	7.31304	42.40219	42.68531	5.66382	1099.01520
1.03958	7.52360	55.4504	24.32209	4.43679	6.65929	63.15516	-20.88231	1.00000	12.01276	6.88049	7.06268	8.23858	9.57570	43.72665	47.69459	3.59002	1060.14076
1.10203	5.81207	-45.94722	15.55930	6.37978		50.18329	-21.42917	0.00000	6.01180	6.12642	7.83457	4.60334	9.70362	37.79781	46.26096	8.25859	1199.62282
0.16803	7.33607	34.75699	24.65493	6.66784	5.93044	28.00390	31.39547	1.00000	4.35061	9.61332	9.85180	6.58512	7.39566	43.40835	36.74139	7.94879	1076.07347
0.41562	6.49040	30.2049	6.12207	8.24496	8.38260	42.94590	55.1904	1.00000	9.14935	5.93510	7.46074	6.49024	8.27630	38.64313	39.63520	4.92111	1148.24700
0.27332	6.75600	-71.29144	12.85892	8.10357	8.03812	41.02218	41.54566	0.00000	5.79460	5.65962	7.65146	5.49613	7.70714	57.18188	39.64955	10.17395	1052.25754
0.08322	6.35579	15.00913	4.37998	7.62582	7.41763	53.98977	37.51803	0.00000	5.89079	5.78856	8.04235	7.91926	4.69024	52.05541	35.22966	6.66931	1096.96572
0.18351	8.88358	-88.27205	-7.11536	7.97768	7.31544	57.36455	44.27804	1.00000	6.94591	5.09525	8.78829	10.52710	6.24637	46.99201	54.88840	4.83702	1174.76174
0.40807	4.91993	-100.44843	28.86211	7.32723	7.85569	78.15959	20.74122	0.00000	5.04416	5.10654	3.06158	3.07541	8.58138	39.86083	56.08993	9.28626	1118.74282
0.19271	7.09055	35.96944	27.43769	7.51957	5.08920	22.42971	56.03361	0.00000	7.03874	4.64259	5.82224	7.18705	7.59507	49.56382	49.58345	6.21372	1118.19995
0.12419	8.57982	30.91105	24.38271	7.77154	5.98923	32.08213	3.02013	0.00000	6.39660	5.18460	8.56752	8.97369	6.32330	39.94403	47.51566	5.78720	1082.14827
	7.06986	104.09701	14.62203	5.84541	6.19257	58.08589	-1.26424	1.00000	6.99979	2.99613	7.62848	8.58665	9.79307	58.68473	47.95914	4.81392	1053.00926
0.39911	8.36923	5.4584	13.32262	6.01742	7.81918	60.41585	43.32393	1.00000	10.91315	6.39972	6.78751	5.79087	8.46000	57.92109	38.44340	7.58339	1094.44212
0.25451	5.81525	34.02537	20.83139	5.70646	6.97058	76.15280	38.37255	1.00000	8.00080	8.16990	6.83266	6.32417	7.60621	33.20853	48.98781	6.20097	1067.85159
0.14976	5.95855	-65.61427	20.23567	9.11146	5.81950	38.53615	-27.4338	1.00000	6.48961	5.89967	7.78088	4.45458	6.55697	27.40090	30.66981	6.70033	1109.52793
1.02637	6.36416	8.88104	13.97469	6.41359	7.35799	39.78528	45.79377	0.00000	6.65479	6.18318	8.56461	4.04585	9.62091	61.80543	38.77155	7.74953	1189.02767
0.24878	5.98506	34.3869	33.40567	6.14742	6.31165	44.21541	11.8659	1.00000	8.05364	8.60895	8.54764	7.82127	7.80261	59.50706	50.67911	5.80461	1068.89777
0.12911	6.61632	15.46667	25.80382	8.69755	6.73207	54.41089	47.05	0.00000	7.69790	4.27471	7.39549	8.94854	6.62266	50.38184	47.35956	6.34832	1099.69009
0.23998	9.09180	39.8302	26.41152	7.82720	7.68912	21.47957	64.5635	1.00000	8.41007	7.93348	5.76398	5.19661	7.67237	34.59664	67.04967	7.00019	1188.76662
0.20910	6.66394	91.61356	29.76470	6.57436	6.46835	27.30996	26.44931	1.00000	6.26038	5.15533	8.36152	8.41031	7.86619	64.75094	64.83649	5.12468	1114.07024
0.26551	6.85947	-1.98956	10.14841	7.54887	8.99578	44.12027	5.30383	0.00000	4.71018	7.16943	4.44150	7.13310	7.36525	39.49020	46.57945	8.91395	1109.17927
0.13088	6.31570	-2.1875	11.95595	6.56496	7.92396	63.81687	51.26	1.00000	8.89075	5.75750	4.75025	4.94025	4.41035	57.65157	19.70269	4.61738	1184.59398
0.22444	6.37833	-80.66756	8.71470	6.56659	7.66410	60.56653	26.68451	1.00000	12.15970	7.05101	3.99217		7.66397	49.09097	49.64973	5.08681	1062.39783
0.17692	7.95466	43.83992	5.04598	8.28976	7.02682	42.88019	55.39485	1.00000	9.09293	7.61037	6.91351	4.41710	6.10642	60.61107	54.44788	4.98620	1151.08026
0.20532	6.58446	36.36339	9.15110	8.49694	7.37046	42.78098	0.03813	0.00000	6.15081	6.40867	9.63013	6.26380	7.73287	43.90787	34.31414	9.72416	1139.66461
0.20896	6.56455	46.10925	21.71492	7.31239	5.80244	22.68483	43.35071	0.00000	5.57675	6.03490	6.20683	7.01391	5.12015	78.71935	37.04553	6.29838	1052.81549
0.10067	8.79583	-44.31389	12.46162	6.83425	5.87879	68.91064	-19.7625	0.00000	4.28239	5.28965	9.01934	8.90495	6.19335	56.38760	47.70221	8.00144	1068.98994
0.30007	8.16867	-70.6996	15.24998		6.44808	22.14029	-33.59217	0.00000	7.76057		7.06330	9.72542	8.20301	47.73425	60.68499	4.30355	1126.24259
1.94777	7.39732	-84.62081	11.07505	4.90233	7.48786	31.30608	42.7392	1.00000	5.23796	9.78551	9.21967	8.85534	10.32917	52.92799	34.81515	8.75933	1185.40404
