location	latitude	station	QoS	revision	longitude
America/Sao_Paulo	-21.42917	Alfenas	accep	2021/02/06	-45.94722
Europe/London	51.35084	Devizes	average	23 Feb 2016	-1.99421
Africa/Tunis	36.08497	Siliana	good	09 Sep 2016	9.37082
America/New_York	42.4251	Malden	accep	13 Jul 2019	-71.06616
Europe/Paris	45.51667	Vienne	good	26 Mar 2015	4.86667
Asia/Taipei	23.5654	Magong	excellent	06/02/2021, 00:00:00	119.58627
Europe/Andorra	42.50729	les Escaldes	excellent	09 Feb 2013	1.53414
Asia/Tokyo	35.06667	Sasayama	average	2013-02-06	135.21667
Africa/Cairo	31.20176	Alexandria	excellent	2016-12-18	29.91582
Africa/Addis_Ababa	11.85	Debre Tabor	excellent	04/10/2020, 00:00:00	38.01667
America/Port-au-Prince	18.57677	Croix-des-Bouquets	excellent	12/21/2015, 00:00:00	-72.22625
Africa/Dar_es_Salaam	-6.8	Magomeni	good	2020/06/28	39.25
Europe/Rome	40.92298	Afragola	accep	07 Dec 2021	14.30935
America/Mexico_City	19.8173	Teziutlan	good	12 Jan 2013	-97.35992
Europe/Berlin	52.4581	Dahlem	accep	2019-10-28	13.28702
America/Chicago	26.18924	San Juan	maintenance	01/03/2016, 00:00:00	-98.15529
America/Sao_Paulo	-23.44361	Sarandi	excellent	14 May 2013	-51.87389
Asia/Manila	15.72892	Burgos	average	04/16/2013, 00:00:00	120.57224
Europe/Berlin	51.08468	Burscheid	building	2017-06-15	7.11393
Africa/Algiers	36.61954	Beni Douala	accep	30 Aug 2018	4.08282
America/Chicago	42.55308	Pleasant Prairie	good	09/08/2019, 00:00:00	-87.93341
Europe/Rome	43.62558	Falconara Marittima	maintenance	2019-08-31	13.39954
America/Chicago	29.84576	Estelle	excellent	06 Mar 2014	-90.10674
Asia/Manila	14.14989	Calauan	good	27 Jun 2014	121.3152
Europe/Rome	42.67164	Roseto degli Abruzzi	building	10 Jul 2021	14.01481
Europe/Amsterdam	51.44889	Tongelre	building	2014-10-26	5.51978
Africa/Douala	4.2475	Idenao	building	2017-03-15	9.00472
Africa/Tunis	36.46917	Beni Khiar	maintenance	2017-10-31	10.78222
Europe/Moscow	53.93361	Kireyevsk	building	2016-07-23	37.92792
Asia/Shanghai	34.86472	Zaozhuang	maintenance	2018/10/10	117.55417
Asia/Vladivostok	45.47885	Lesozavodsk	maintenance	12/27/2017, 00:00:00	133.42825
Asia/Kolkata	12.25282	Gingee	good	2022/04/09	79.41727
Africa/Kampala	2.41669	Paidha	excellent	2014-09-05	30.98551
Asia/Manila	10.31672	Cebu City	accep	13 Jan 2015	123.89071
Europe/Prague	50.23271	Karlovy Vary	excellent	28 May 2020	12.87117
Africa/Conakry	9.535	Camayenne	average	2021-09-15	-13.68778
Asia/Karachi	32.17629	Fazilpur	good	01/18/2017, 00:00:00	75.06583
Africa/Lagos	6.15038	Nkpor	excellent	01/12/2021, 00:00:00	6.83042
America/Mexico_City	20.21322	Salvatierra	average	04/07/2014, 00:00:00	-100.88023
Asia/Karachi	30.76468	Kanganpur	average	2013-06-12	74.12286
Asia/Kuala_Lumpur	1.6	Ulu Tiram	excellent	10/22/2020, 00:00:00	103.81667
America/Panama	8.88988	Veracruz	accep	07/17/2018, 00:00:00	-79.62603
America/Los_Angeles	34.09611	San Gabriel	average	02/04/2017, 00:00:00	-118.10583
Asia/Kolkata	9.57046	Kalavoor	excellent	2019/11/10	76.32756
America/Chicago	41.80753	New City	building	22 Jun 2013	-87.65644
Asia/Kolkata	33.37526	Rajaori	maintenance	2019/11/16	74.3092
Europe/Rome	37.31065	Agrigento	good	2013/08/24	13.57661
Asia/Shanghai	29.98869	Zhoushan	building	09/23/2020, 00:00:00	122.20488
Europe/London	53.19146	Winsford	excellent	2018/02/21	-2.52398
America/New_York	40.81	Morningside Heights	accep	2020/12/01	-73.9625
Europe/Amsterdam	52.09	Zeist	good	2016-01-19	5.23333
Europe/Amsterdam	52.09	Zeist	excellent	19 Nov 2015	5.23333
America/Lima	-16.25	Yunguyo	good	2021-03-01	-69.08333
America/New_York	42.58342	Fitchburg	good	11/20/2015, 00:00:00	-71.8023
Africa/Maputo	-23.85972	Maxixe	excellent	20 Jun 2013	35.34722
America/Costa_Rica	9.92787	San Rafael	accep	2013-02-05	-84.13722
Asia/Manila	10.20898	Naga	excellent	12/26/2017, 00:00:00	123.758
America/Matamoros	25.87972	Heroica Matamoros	accep	2014-10-02	-97.50417
America/New_York	41.50343	Newburgh	acceptable	12 Jan 2015	-74.01042
Europe/Rome	40.55851	Mesagne	accep	2019/06/05	17.80774
America/Havana	22.98212	Corralillo	good	2018-05-06	-80.58556
Africa/Dar_es_Salaam	-7.60361	Kidodi	good	2013-05-17	37.00438
Asia/Karachi	27.55898	Larkana	maintenance	2017/05/19	68.21204
America/New_York	40.67705	Cypress Hills	maintenance	07/18/2015, 00:00:00	-73.89125
Europe/Amsterdam	53.16167	Hoogezand	accep	2021-03-01	6.76111
Africa/Douala	4.96667	Tonga	maintenance	2015-04-10	10.7
Europe/Moscow	56.85836	Tver	accep	03 Aug 2016	35.90057
America/New_York	40.94065	Dumont	average	2013-09-15	-73.99681
Africa/Conakry	9.535	Camayenne	accep	2016-04-17	-13.68778
Europe/Berlin	53.63333	Halstenbek	accep	2014-07-05	9.85
Asia/Shanghai	42.64031	Dongfeng	excellent	02/16/2016, 00:00:00	125.51176
America/Recife	-8.05389	Recife	building	01 Dec 2014	-34.88111
Europe/Skopje	41.92361	Bogovinje	accep	2021/03/28	20.91361
Asia/Tokyo	35.30889	Kamakura	accep	2018-11-02	139.55028
Europe/Istanbul	38.13708	Silvan	accep	2018/01/12	41.00817
Asia/Makassar	-1.26753	Balikpapan	good	2014-07-29	116.82887
Asia/Kolkata	26.11527	Supaul	good	2018-02-06	86.59509
Europe/Rome	40.53123	Francavilla Fontana	excellent	2020/12/06	17.58522
Asia/Manila	10.31672	Cebu City	accep	27 Jun 2016	123.89071
Asia/Kolkata	10.58806	Udumalaippettai	accep	2013-01-18	77.24779
Europe/Istanbul	37.58105	Serinhisar	excellent	2020/12/31	29.26639
America/New_York	40.94065	Dumont	good	03/29/2019, 00:00:00	-73.99681
Asia/Tashkent	40.78206	Andijon	average	11/10/2018, 00:00:00	72.34424
Africa/Dar_es_Salaam	-4.06667	Same	average	2022/09/22	37.73333
America/New_York	39.00622	Sterling	average	2014-11-20	-77.4286
America/Bogota	10.15031	El Copey	excellent	20 Apr 2013	-73.9614
America/Chicago	30.16688	Brenham	accep	2017-11-04	-96.39774
Africa/Brazzaville	-4.26613	Brazzaville	average	23 Feb 2018	15.28318
Europe/Zurich	47.30997	Adliswil	good	11/22/2015, 00:00:00	8.52462
Asia/Shanghai	36.19278	Laiwu	accep	02 Feb 2022	117.65694
America/Los_Angeles	34.14251	Glendale	maintenance	2015/02/15	-118.25508
America/Sao_Paulo	-28.44917	Marau	good	2022/01/13	-52.2
Asia/Urumqi	46.51872	Hoxtolgay	excellent	11/02/2018, 00:00:00	86.00214
Africa/Banjul	13.56667	Farafenni	excellent	02/15/2014, 00:00:00	-15.6
Asia/Kolkata	23.07492	Pandua	average	13 Jul 2014	88.28637
America/New_York	40.24537	Pottstown	accep	05 Dec 2021	-75.64963
Europe/London	51.26	Westbury	excellent	2016/03/06	-2.1875
America/Martinique	14.67751	Le Robert	good	10/21/2019, 00:00:00	-60.94228
Asia/Shanghai	28.88162	Guli	good	03/01/2019, 00:00:00	120.03308
Asia/Kolkata	16.06213	Hungund	accep	2018-03-11	76.0586
America/Chicago	32.52515	Shreveport	good	2019/06/23	-93.75018
Asia/Yekaterinburg	54.48147	Oktyabr’skiy	excellent	02/01/2018, 00:00:00	53.47103
Asia/Manila	6.33444	Tupi	average	12/20/2021, 00:00:00	124.95278
Asia/Shanghai	37.65181	Longgang	excellent	2020-05-31	120.33063
Asia/Jakarta	-7.51611	Wangon	average	10/08/2012, 00:00:00	109.05389
America/Los_Angeles	45.49428	Aloha	good	2017-07-31	-122.86705
Asia/Yekaterinburg	56.9083	Beryozovsky	good	05 Aug 2021	60.8019
America/Recife	-8.05389	Recife	excellent	23 Nov 2020	-34.88111
Asia/Tokyo	34.4833	Toba	building	10/23/2012, 00:00:00	136.84186
Europe/Berlin	48.78232	Stuttgart	building	19 Nov 2013	9.17702
Asia/Jakarta	-7.01833	Pameungpeuk	good	2017-09-29	107.60389
Asia/Kolkata	26.76628	Gorakhpur	good	2019-04-27	83.36889
America/Los_Angeles	38.17492	American Canyon	good	02/25/2018, 00:00:00	-122.2608
America/Havana	22.98212	Corralillo	accep	08 Feb 2015	-80.58556
America/Los_Angeles	47.4943	Bryn Mawr-Skyway	average	06/02/2013, 00:00:00	-122.24092
Europe/Moscow	55.62047	Tyoply Stan	building	2020-01-29	37.49338
Europe/Skopje	42	Saraj	good	18 Aug 2021	21.32778
Asia/Yekaterinburg	56.11281	Ishim	average	2013-04-25	69.49015
Asia/Hong_Kong	22.37066	Tsuen Wan	building	29 Jun 2021	114.10479
Europe/Berlin	52.21099	Gronau	good	04/30/2015, 00:00:00	7.02238
Africa/Brazzaville	-4.26613	Brazzaville	excellent	2017/11/26	15.28318
Europe/Vienna	48.25	Floridsdorf	excellent	2015-01-10	16.4
Europe/Berlin	48.49144	Reutlingen	excellent	2018-09-29	9.20427
America/Toronto	43.86682	Markham	good	2018-09-15	-79.2663
America/Los_Angeles	32.9156	Mira Mesa	accep	2018-04-28	-117.14392
America/Chicago	34.25807	Tupelo	average	2017/01/01	-88.70464
America/Los_Angeles	33.7207	Indio	accep	03/12/2022, 00:00:00	-116.21677
Asia/Tokyo	34.75856	Ueno-ebisumachi	excellent	10/08/2021, 00:00:00	136.13108
America/Jamaica	18.00747	New Kingston	average	02/14/2016, 00:00:00	-76.78319
Europe/Madrid	41.41204	el Camp de l'Arpa del Clot	acceptable	03/01/2014, 00:00:00	2.18247
Europe/Moscow	46.7055	Yeysk	maintenance	12/27/2012, 00:00:00	38.2739
Asia/Seoul	36.82167	Eisen	excellent	2013/08/12	128.63083
Europe/Berlin	48.35149	Hechingen	average	11/07/2018, 00:00:00	8.96317
Asia/Dili	-8.99167	Maliana	good	2012-12-27	125.21972
Europe/Moscow	53.93361	Kireyevsk	average	2013-03-31	37.92792
Africa/Casablanca	33.42585	Oulmes	accep	2022-06-06	-6.00137
Asia/Jakarta	3.3285	Tebingtinggi	good	2015/11/13	99.1625
Europe/Brussels	51.03427	Houthalen	accep	15 Feb 2015	5.37429
Africa/Johannesburg	-24.19436	Mokopane	good	02/21/2015, 00:00:00	29.00974
Asia/Tokyo	41.77583	Hakodate	excellent	2013/08/01	140.73667
America/Los_Angeles	34.95303	Santa Maria	excellent	12/22/2019, 00:00:00	-120.43572
America/New_York	40.5576	Woodbridge	accep	04/14/2013, 00:00:00	-74.28459
Europe/Paris	46.32313	Niort	building	23 Aug 2014	-0.45877
America/Sao_Paulo	-22.92306	Loanda	maitennce	04/30/2017, 00:00:00	-53.13722
Africa/Dar_es_Salaam	-6.8	Magomeni	accep	05/09/2015, 00:00:00	39.25
Asia/Dili	-8.99167	Maliana	excellent	05/18/2016, 00:00:00	125.21972
America/New_York	25.67927	Kendall	good	2022/02/18	-80.31727
Asia/Kolkata	27.9247	Chharra	average	05 Jul 2022	78.40102
Europe/Brussels	50.71229	Rixensart	excellent	2020/08/11	4.52529
America/Chicago	41.72059	Evergreen Park	average	2013/08/20	-87.70172
Europe/Berlin	54.52156	Schleswig	accep	02/09/2017, 00:00:00	9.5586
Asia/Kolkata	17.34769	Lal Bahadur Nagar	average	06/04/2014, 00:00:00	78.55757
Europe/Madrid	41.91738	Palafrugell	good	10/13/2013, 00:00:00	3.1631
America/New_York	41.66394	Toledo	average	07/09/2019, 00:00:00	-83.55521
Europe/Bratislava	48.43174	Hlohovec	accep	2017-10-30	17.8031
Africa/Freetown	8.48714	Freetown	excellent	2013-02-12	-13.2356
Europe/Kiev	50.18545	Shepetivka	building	19 Jun 2013	27.06365
Europe/London	57.14369	Aberdeen	good	2014/03/14	-2.09814
Europe/Belgrade	44.97639	Sremska Mitrovica	maintenance	2013/04/18	19.61222
Asia/Kuala_Lumpur	1.6	Ulu Tiram	acceptable	04/08/2014, 00:00:00	103.81667
Europe/Berlin	49.13645	Eppingen	good	2019/06/16	8.91229
America/Mexico_City	21.01858	Guanajuato	maitennce	07 Oct 2013	-101.2591
Asia/Shanghai	45.35	Shuangcheng	average	2015-01-12	126.28333
Asia/Shanghai	35.50056	Pingyi	accep	2015-11-16	117.63083
Europe/London	51.78967	Clacton-on-Sea	accep	2017-03-31	1.15597
Africa/Bangui	4.94273	Carnot	accep	26 May 2020	15.87735
America/New_York	43.61062	Rutland	average	2021/10/30	-72.97261
Asia/Kolkata	9.57046	Kalavoor	average	16 Apr 2020	76.32756
Asia/Karachi	30.46907	Kot Addu	excellent	2020-10-05	70.96699
Europe/Berlin	50.23019	Karben	good	05/21/2019, 00:00:00	8.77155
America/Chicago	34.25807	Tupelo	excellent	20 Aug 2021	-88.70464
America/New_York	38.96372	Chillum	accep	2020-09-30	-76.99081
America/Costa_Rica	10.63504	Liberia	average	06/09/2015, 00:00:00	-85.43772
America/Guatemala	14.93333	Chichicastenango	accep	03/15/2015, 00:00:00	-91.11667
Europe/Paris	48.79325	Fontenay-aux-Roses	good	01 Mar 2015	2.29275
Europe/London	51.64316	Bushey	maintenance	12 Jan 2016	-0.36053
Europe/Madrid	37.49073	Baza	good	21 Aug 2018	-2.77259
Europe/Copenhagen	55.67938	Frederiksberg	excellent	04/02/2014, 00:00:00	12.53463
Asia/Manila	14.66	Pilar	average	2021/08/12	120.56528
Asia/Kolkata	25.13915	Sheoganj	good	23 Apr 2021	73.06784
America/Los_Angeles	33.52253	Laguna Niguel	good	26 Mar 2017	-117.70755
America/New_York	39.43534	Lebanon	excellent	2017/10/27	-84.20299
Europe/Moscow	53.53041	Nizhniy Lomov	building	2017/05/09	43.67663
Asia/Kolkata	23.49668	Adra	average	08/06/2017, 00:00:00	86.68363
America/Chicago	34.77453	Ada	maintenance	2013/08/12	-96.67834
Europe/Moscow	53.53395	Zhukovka	accep	01/15/2018, 00:00:00	33.72798
Asia/Tokyo	34.9	Shinshiro	good	18 Dec 2021	137.5
Asia/Manila	16.0438	Manaoag	good	12/10/2017, 00:00:00	120.4861
Indian/Antananarivo	-22.9	Sakaraha	average	2019-02-21	44.53333
Asia/Manila	14.95472	Baliuag	average	2021/01/30	120.89694
Asia/Tokyo	35	Komono	accep	09/14/2015, 00:00:00	136.51667
America/Detroit	42.30865	Canton	good	2014-01-06	-83.48216
Europe/Amsterdam	53.16167	Hoogezand	good	23 Feb 2021	6.76111
Africa/Algiers	34.15429	Messaad	good	21 Oct 2020	3.50309
Europe/Vilnius	54.39635	Alytus	good	30 Sep 2017	24.04142
Europe/Paris	44.80477	Talence	maintenance	24 Jan 2016	-0.59543
Europe/Moscow	53.93361	Kireyevsk	average	2020-01-01	37.92792
Asia/Kuala_Lumpur	1.6561	Kulai	good	2020/10/14	103.6032
Europe/Warsaw	50.20528	Jaworzno	average	22 Feb 2014	19.27498
Europe/Rome	40.53123	Francavilla Fontana	average	24 Mar 2015	17.58522
Europe/Moscow	57.97472	Valday	average	07 Oct 2013	33.2525
Asia/Kolkata	12.95629	Robertsonpet	accep	2021/05/15	78.27539
Asia/Kuching	5.90702	Donggongon	good	01 Sep 2019	116.10146
Africa/Nairobi	0.46005	Busia	excellent	2018/04/27	34.11169
America/Chicago	41.84364	South Lawndale	average	12/12/2014, 00:00:00	-87.71255
America/Sao_Paulo	-23.44361	Sarandi	average	01/08/2019, 00:00:00	-51.87389
America/Denver	32.42067	Carlsbad	average	2022-07-06	-104.22884
Europe/London	51.62907	High Wycombe	average	06 Sep 2017	-0.74934
Asia/Manila	8.56697	Dipolog	good	09 Jun 2019	123.33471
America/Caracas	8.35122	Ciudad Guayana	accep	2018/02/20	-62.64102
Asia/Kolkata	11.50526	Sathyamangalam	good	2018-07-24	77.23826
Europe/Volgograd	50.06	Mikhaylovka	good	25 Jul 2014	43.2379
Europe/Berlin	48.46458	Pfullingen	average	2015-10-29	9.22796
America/New_York	35.88264	Thomasville	good	12/20/2019, 00:00:00	-80.08199
Europe/Berlin	48.06919	Gauting	excellent	2022-02-02	11.37703
America/Caracas	10.22677	La Victoria	average	2020-05-03	-67.33122
Indian/Reunion	-20.88231	Saint-Denis	building	2020-10-04	55.4504
America/Sao_Paulo	-20.25333	Itabirito	average	05/11/2014, 00:00:00	-43.80139
Africa/Dar_es_Salaam	-4.06667	Same	accep	29 May 2014	37.73333
Asia/Aqtobe	47.83333	Shalqar	average	2017/05/27	59.6
America/Cuiaba	-14.66463	Nova Xavantina	good	2019-08-13	-52.35558
Asia/Tehran	32.65246	Isfahan	maintenance	11/03/2020, 00:00:00	51.67462
Europe/Berlin	51.08468	Burscheid	maintenance	29 Mar 2022	7.11393
Asia/Karachi	32.17629	Fazilpur	accep	07/15/2013, 00:00:00	75.06583
Asia/Karachi	26.9423	Tharu Shah	accep	02/27/2014, 00:00:00	68.11759
America/Los_Angeles	33.52253	Laguna Niguel	excellent	04/03/2014, 00:00:00	-117.70755
America/Chicago	38.58894	Fairview Heights	average	2019/06/20	-89.99038
America/Chicago	41.15376	Bourbonnais	excellent	07 Dec 2013	-87.88754
Europe/Lisbon	41.20485	Paredes	building	2018/11/19	-8.33147
America/New_York	26.2173	North Lauderdale	average	2019-05-25	-80.22588
Europe/Paris	45.69558	Saint-Genis-Laval	building	01 May 2017	4.7934
Europe/Berlin	48.52961	Landshut	average	02/06/2014, 00:00:00	12.16179
Africa/Nairobi	3.11988	Lodwar	excellent	2022-06-22	35.59642
Europe/Moscow	44.92934	Krymsk	accep	2016-04-23	37.99117
Europe/Berlin	48.35693	Friedberg	accep	10/26/2021, 00:00:00	10.98461
Europe/Minsk	53.5942	Novogrudok	excellent	31 May 2020	25.8191
Asia/Tokyo	34.81667	Toyokawa	excellent	02 Aug 2022	137.4
Asia/Kolkata	12.1277	Dharmapuri	excellent	27 Aug 2018	78.15794
Europe/Zurich	47.30997	Adliswil	excellent	02/11/2016, 00:00:00	8.52462
Asia/Urumqi	46.51872	Hoxtolgay	average	2017-06-03	86.00214
Asia/Jakarta	3.7278	Labuhan Deli	maintenance	18 Apr 2021	98.6738
Africa/Accra	5.30383	Tarkwa	good	2020-02-10	-1.98956
America/Chicago	41.85059	Westchester	accep	2015-01-23	-87.882
Europe/London	50.11861	Penzance	building	19 Jul 2014	-5.53715
Asia/Seoul	37.1759	T’aebaek	accep	15 Jul 2020	128.9889
Africa/Dar_es_Salaam	-4.83	Mwandiga	good	2022-08-26	29.65806
America/Chicago	36.02506	Brentwood Estates	good	2016/11/11	-86.77917
Africa/Tunis	35.72917	Msaken	accep	2016/05/09	10.58082
America/New_York	42.58342	Fitchburg	average	2015/09/24	-71.8023
Asia/Kolkata	21.34222	Kundla	average	08/26/2016, 00:00:00	71.30633
Asia/Jerusalem	31.92923	Ramla	good	24 Oct 2019	34.86563
Indian/Reunion	-20.88231	Saint-Denis	excellent	2016/05/20	55.4504
America/Port-au-Prince	18.65297	Thomazeau	good	08/17/2015, 00:00:00	-72.09391
America/Chicago	31.12406	Copperas Cove	good	2014/02/26	-97.90308
Europe/Paris	44.80477	Talence	maintenance	28 Aug 2015	-0.59543
Europe/London	53.49389	Mexborough	accep	2018/04/09	-1.29243
Europe/Zaporozhye	49.41029	Svatove	average	05 Jun 2017	38.15035
America/Chicago	36.02506	Brentwood Estates	accep	10/26/2014, 00:00:00	-86.77917
Europe/Istanbul	40.1675	Sungurlu	building	2018-11-01	34.37389
America/Los_Angeles	47.4943	Bryn Mawr-Skyway	average	06/04/2020, 00:00:00	-122.24092
Africa/Blantyre	-13.7804	Salima	good	13 Nov 2019	34.4587
America/New_York	39.96097	West Chester	building	24 Feb 2018	-75.60804
America/Bogota	10.15031	El Copey	building	2020/03/25	-73.9614
Europe/Berlin	48.73218	Neuburg an der Donau	good	14 Jul 2019	11.18709
Asia/Kolkata	10.12268	Periyakulam	building	02/08/2022, 00:00:00	77.54372
