QoS	code	station	latitude	revision	longitude
good	US	Front Royal	38.91817	2020/09/06	-78.19444
maintenance	BR	Canavieiras	-15.675	2016-06-28	-38.94722
building	MY	Teluk Intan	4.02219	28 Aug 2020	101.02083
maintenance	LT	Alytus	54.39635	05/24/2017, 00:00:00	24.04142
building	CU	Media Luna	20.14298	2020/01/08	-77.43532
excellent	US	Beaumont	33.92946	2019-08-25	-116.97725
excellent	BR	Itaperuna	-21.205	09 Sep 2014	-41.88778
average	NI	Somoto	13.48082	23 Dec 2013	-86.58208
excellent	PK	Kot Addu	30.46907	02 Jan 2022	70.96699
accep	CO	Socorro	6.46838	20 Feb 2015	-73.26022
good	DE	Memmingen	47.98372	06/06/2016, 00:00:00	10.18527
good	US	Port Richmond	40.63316	2014-04-21	-74.13653
average	VU	Port-Vila	-17.73648	20 Mar 2016	168.31366
average	US	Canton	42.30865	2016-04-27	-83.48216
good	IN	Pune	18.51957	05 Jul 2020	73.85535
good	US	Massapequa	40.68066	2016-05-19	-73.47429
good	KE	Nyahururu	0.03813	04/28/2014, 00:00:00	36.36339
acceptable	GT	Chichicastenango	14.93333	06/25/2017, 00:00:00	-91.11667
accep	DE	Bad Honnef	50.64336	2019/08/26	7.2278
accep	CN	Dongfeng	42.64031	2017-12-09	125.51176
excellent	CR	Liberia	10.63504	07/16/2015, 00:00:00	-85.43772
accep	PK	Kanganpur	30.76468	2021/10/23	74.12286
excellent	SV	Sonzacate	13.73417	06/24/2018, 00:00:00	-89.71472
accep	TT	Port of Spain	10.66668	20 Apr 2014	-61.51889
maintenance	RU	Tavda	58.04254	2017-08-01	65.27258
good	NG	Yenagoa	4.92675	2019-12-05	6.26764
maintenance	FR	Elbeuf	49.28669	2013-02-01	1.00288
accep	JP	Gero	35.8	10/05/2019, 00:00:00	137.23333
good	US	Sun City Center	27.71809	2015/04/27	-82.35176
average	US	Norco	33.93113	01 Feb 2013	-117.54866
excellent	MY	Teluk Intan	4.02219	2012/10/18	101.02083
good	MX	Heroica Matamoros	25.87972	2017/01/09	-97.50417
maintenance	IN	Madhipura	25.92127	2020-12-10	86.79271
average	DZ	Frenda	35.06544	12 Jul 2020	1.04945
maintenance	FR	Montpellier	43.61092	08 Dec 2015	3.87723
good	US	Santa Maria	34.95303	02 Sep 2021	-120.43572
accep	DE	Rudolstadt	50.72043	16 Jun 2018	11.34046
average	MX	San Lorenzo Acopilco	19.32889	2017/11/09	-99.32556
accep	US	Venice	27.09978	15 Oct 2015	-82.45426
building	CN	Hoxtolgay	46.51872	2021-07-15	86.00214
maintenance	KR	Sinhyeon	34.8825	10/13/2019, 00:00:00	128.62667
maintenance	IN	Kangayam	11.00599	2015/11/23	77.5609
good	CH	Onex	46.18396	2014-12-18	6.10237
good	YE	Ataq	14.53767	04 Jul 2022	46.83187
excellent	SV	Sonzacate	13.73417	03/31/2016, 00:00:00	-89.71472
excellent	GB	Arbroath	56.56317	2016/11/13	-2.58736
good	PT	Custoias	41.1053	18 Oct 2020	-7.32097
average	RW	Rwamagana	-1.9487	23 Jul 2019	30.4347
accep	US	Kent	47.38093	2017-12-04	-122.23484
building	JP	Nonoichi	36.53333	2019/05/08	136.61667
good	IN	Parola	20.88098	2018/09/29	75.11937
average	KE	Lodwar	3.11988	2016/10/24	35.59642
maintenance	MX	San Lorenzo Acopilco	19.32889	28 Jun 2017	-99.32556
maintenance	JP	Gero	35.8	2016-04-08	137.23333
good	BR	Barra dos Coqueiros	-10.90889	2019-11-29	-37.03861
accep	AZ	Qazax	41.09246	31 Jul 2019	45.36561
excellent	DZ	El Achir	36.06386	2019-07-24	4.62744
good	KR	T’aebaek	37.1759	2019/03/22	128.9889
accep	GB	Brierley Hill	52.48173	2019/09/22	-2.12139
accep	CL	Ovalle	-30.60106	08 Jul 2018	-71.19901
good	IN	Tiruppuvanam	9.82564	2016-05-06	78.25795
good	AR	Barracas	-34.64966	02 Aug 2016	-58.38341
excellent	IN	Talipparamba	12.04161	2021/07/09	75.35927
accep	PK	Tharu Shah	26.9423	2017-06-18	68.11759
good	NG	Kafanchan	9.58126	2013/07/05	8.2926
good	BR	Esmeraldas	-19.7625	12 Dec 2019	-44.31389
accep	LY	Ghat	24.96334	2022-01-14	10.18003
excellent	RU	Kolomyagi	60.02427	08/14/2014, 00:00:00	30.28491
average	IN	Uran	18.87813	2013-06-29	72.93924
maintenance	DE	Burscheid	51.08468	06/11/2021, 00:00:00	7.11393
good	IN	Rafiganj	24.81757	2013/09/25	84.63445
good	US	Tupelo	34.25807	11/04/2019, 00:00:00	-88.70464
accep	CA	Dorval	45.4473	09 Nov 2018	-73.75335
excellent	DE	Pfullingen	48.46458	2020-05-02	9.22796
excellent	DE	Schwalmtal	51.21667	2022/03/12	6.26667
building	MY	Ulu Tiram	1.6	2020-09-20	103.81667
good	TT	Port of Spain	10.66668	10 Sep 2016	-61.51889
good	US	Huntley	42.16808	08/04/2015, 00:00:00	-88.42814
good	US	Waterbury	41.55815	08/16/2016, 00:00:00	-73.0515
accep	US	Lebanon	39.43534	26 May 2016	-84.20299
accep	IN	Chharra	27.9247	10 Mar 2021	78.40102
accep	GB	Strood	51.39323	23 Jul 2013	0.47713
good	US	Muskogee	35.74788	2021-05-24	-95.36969
good	NL	Tongelre	51.44889	2015-12-07	5.51978
good	GM	Farafenni	13.56667	2017/09/04	-15.6
average	RU	Stupino	54.90083	2017/08/19	38.07083
good	ID	Balikpapan	-1.26753	08/22/2013, 00:00:00	116.82887
average	SE	Boo	59.33333	2019/01/17	18.28333
average	DZ	Bordj Zemoura	36.27462	02/18/2022, 00:00:00	4.85668
average	US	Massapequa	40.68066	2014/03/15	-73.47429
good	GB	Lymington	50.75767	2021/11/13	-1.5443
building	CA	Norfolk County	42.8334	07/13/2020, 00:00:00	-80.38297
accep	FR	Ajaccio	41.91886	10/16/2015, 00:00:00	8.73812
maintenance	AM	Hrazdan	40.49748	2017-01-14	44.7662
average	AU	Perth	-31.95224	2018-01-08	115.8614
excellent	TR	Patnos	39.22493	06/22/2020, 00:00:00	42.85693
accep	US	Toledo	41.66394	2019-05-31	-83.55521
excellent	IN	Rajaori	33.37526	16 Sep 2015	74.3092
average	US	Milledgeville	33.08014	12/16/2018, 00:00:00	-83.2321
excellent	DE	Ehingen	48.28259	2015-06-01	9.72749
accep	RU	Gudermes	43.35071	07/01/2022, 00:00:00	46.10925
maintenance	ID	Majene	-3.5403	02 Jan 2013	118.9707
average	NL	Hardenberg	52.57583	11/27/2013, 00:00:00	6.61944
maintenance	CO	Socorro	6.46838	03/13/2013, 00:00:00	-73.26022
excellent	IT	Lanciano	42.22718	09/16/2013, 00:00:00	14.39024
accep	DE	Neuburg an der Donau	48.73218	11/25/2014, 00:00:00	11.18709
accep	GB	Chapletown	53.46506	28 May 2020	-1.47217
average	IN	Aistala	23.18	08 Jul 2014	88.58
average	PH	Masbate	12.37169	2018-01-23	123.62494
average	US	Covington	39.08367	07 Oct 2015	-84.50855
excellent	PG	Mount Hagen	-5.85746	2020-02-08	144.23058
excellent	PE	Minas de Marcona	-15.21194	12/09/2013, 00:00:00	-75.11028
building	JP	Komono	35	2016/04/06	136.51667
average	TH	Kantharalak	14.64056	30 Jul 2014	104.64992
building	GB	High Wycombe	51.62907	2016-03-21	-0.74934
excellent	MY	Batu Feringgi	5.4709	13 Apr 2022	100.24529
accep	CD	Yangambi	0.76755	11/14/2012, 00:00:00	24.43973
excellent	CN	Zhoucun	36.81667	09/27/2012, 00:00:00	117.81667
average	CN	Hushitai	41.94175	2013/04/01	123.50266
excellent	PK	Kot Addu	30.46907	22 Aug 2014	70.96699
maintenance	PH	Tupi	6.33444	05 Jul 2020	124.95278
excellent	IL	Ramla	31.92923	2014/01/06	34.86563
good	US	Keene	42.93369	2022/01/27	-72.27814
excellent	NL	Hardenberg	52.57583	2012-10-30	6.61944
average	VE	Ciudad Guayana	8.35122	12/15/2020, 00:00:00	-62.64102
excellent	MX	Zacoalco de Torres	20.22816	09/13/2013, 00:00:00	-103.5687
excellent	BR	Artur Nogueira	-22.57306	2016/12/22	-47.1725
good	FR	Valence	44.92801	02 May 2015	4.8951
excellent	CA	Pointe-Claire	45.44868	2018/02/04	-73.81669
building	DE	Stuttgart	48.78232	2016-06-22	9.17702
maintenance	AT	Sankt Peter	47.05	10/27/2019, 00:00:00	15.46667
excellent	IN	Narwar	25.6439	2015/03/25	77.9129
excellent	US	Aloha	45.49428	08/20/2014, 00:00:00	-122.86705
maintenance	US	Gilbert	33.35283	08/16/2014, 00:00:00	-111.78903
average	RU	Shushary	59.80917	2020/10/17	30.38167
good	NL	Oldenzaal	52.31333	2012-10-06	6.92917
average	CN	Dongdu	35.85	01/04/2020, 00:00:00	117.7
accep	DE	Halstenbek	53.63333	2014/10/06	9.85
maintenance	US	Odessa	31.84568	2014/01/07	-102.36764
average	ID	Tebingtinggi	3.3285	09/12/2018, 00:00:00	99.1625
average	ES	Segundo Ensanche	42.8139	04 Feb 2015	-1.64295
good	MY	Kulai	1.6561	09/15/2015, 00:00:00	103.6032
excellent	CM	Tonga	4.96667	2016-03-12	10.7
maintenance	CD	Kasangulu	-4.5833	07/14/2018, 00:00:00	15.16554
average	US	Santa Maria	34.95303	01 Feb 2020	-120.43572
building	MT	Valletta	35.89972	11/10/2013, 00:00:00	14.51472
maintenance	US	Covington	39.08367	2021-03-22	-84.50855
maintenance	CA	Dorval	45.4473	2016-03-23	-73.75335
accep	US	Waterbury	41.55815	2018/08/05	-73.0515
excellent	AR	Esperanza	-31.4488	2021-08-13	-60.93173
average	TZ	Mwandiga	-4.83	2014/01/25	29.65806
good	JP	Yao	34.61667	15 Oct 2020	135.6
good	IN	Malaut	30.21121	17 Jun 2016	74.4818
average	US	Mira Mesa	32.9156	2019-05-16	-117.14392
maintenance	IT	Volla	40.87363	2017-11-15	14.34085
building	TR	Edremit	39.59611	2015-02-21	27.02444
good	IN	Bachhraon	28.92694	04/19/2017, 00:00:00	78.23456
excellent	PH	Cebu City	10.31672	2014-09-13	123.89071
average	CN	Huangshi	30.24706	2021-07-29	115.04814
acceptable	JP	Karatsu	33.4425	2015-04-25	129.96972
good	JP	Karatsu	33.4425	2017-08-10	129.96972
accep	TN	El Alia	37.16911	2014-02-25	10.03478
maintenance	PK	Tharu Shah	26.9423	2015-09-12	68.11759
building	UA	Lutsk	50.75932	2013/10/31	25.34244
building	FR	Cavaillon	43.83125	2022/03/06	5.03586
accep	US	Fresno	29.53885	02 May 2016	-95.44744
average	GB	Newbury	51.40148	2021/07/31	-1.32471
accep	CA	Sherwood Park	53.51684	10/25/2017, 00:00:00	-113.3187
good	ID	Randudongkal	-7.0981	07/11/2015, 00:00:00	109.3243
average	CF	Carnot	4.94273	2017/02/06	15.87735
good	MY	Donggongon	5.90702	2018/07/08	116.10146
good	CN	Shuangcheng	45.35	03/26/2022, 00:00:00	126.28333
accep	RS	Negotin	44.22639	02 Oct 2013	22.53083
good	DE	Weimar	50.9803	11/18/2020, 00:00:00	11.32903
accep	IN	Puducherry	11.93381	05/02/2013, 00:00:00	79.82979
accep	GB	Mexborough	53.49389	10/19/2016, 00:00:00	-1.29243
maitennce	ES	el Camp de l'Arpa del Clot	41.41204	2015/04/01	2.18247
excellent	IN	Sojat	25.92493	2014-03-30	73.66633
good	GB	Belper	53.0233	27 Oct 2012	-1.48119
maintenance	FR	Talence	44.80477	2014/04/07	-0.59543
building	NG	Shagamu	6.8485	08/16/2018, 00:00:00	3.64633
average	MX	Guanajuato	21.01858	10/27/2019, 00:00:00	-101.2591
average	IT	Cordenons	45.9836	2015-03-12	12.70038
accep	FR	Les Olives	43.32393	2015-09-28	5.4584
building	TH	Thap Than	15.46063	05 Feb 2020	99.89166
good	US	Grand Forks	47.92526	2013/05/04	-97.03285
good	CL	San Bernardo	-33.59217	2019-08-25	-70.6996
accep	BR	Tucano	-10.95817	25 Jul 2021	-38.79084
good	IN	Bachhraon	28.92694	2014-04-09	78.23456
good	FR	Montpellier	43.61092	2020-04-22	3.87723
accep	IT	Cordenons	45.9836	10/29/2013, 00:00:00	12.70038
excellent	AU	Willetton	-32.05251	29 Oct 2020	115.88782
building	MG	Antanifotsy	-19.65	2013-10-29	47.31667
building	JP	Sasayama	35.06667	17 Feb 2020	135.21667
excellent	LY	Ajdabiya	30.75545	12/31/2020, 00:00:00	20.22625
excellent	IT	Bisceglie	41.24264	2017-12-12	16.50104
good	MX	Zacoalco de Torres	20.22816	2015-08-28	-103.5687
maintenance	FI	Kallio	60.18427	11/20/2019, 00:00:00	24.95034
good	MX	Casa Blanca	19.04222	20 Oct 2015	-98.11889
good	PH	Calauan	14.14989	12/18/2013, 00:00:00	121.3152
good	US	Port Richmond	40.63316	2019/08/15	-74.13653
average	US	Nutley	40.82232	03 Aug 2021	-74.15987
excellent	US	Odessa	31.84568	2016-08-28	-102.36764
building	MX	San Lorenzo Acopilco	19.32889	29 Dec 2021	-99.32556
average	PK	Hasilpur	29.69221	2014-07-19	72.54566
excellent	PH	Manaoag	16.0438	2012-10-07	120.4861
building	BY	Vitebsk	55.1904	2014-01-05	30.2049
excellent	RU	Tver	56.85836	2020/12/04	35.90057
accep	BY	Dobrush	52.4089	2019/06/09	31.3237
maintenance	RU	Privolzhskiy	51.40944	2016/03/30	46.04833
average	FR	Les Olives	43.32393	2022/01/05	5.4584
accep	CO	Andes	5.6561	11 Dec 2017	-75.87877
average	UG	Paidha	2.41669	2018-05-05	30.98551
accep	IN	Calangute	15.5439	27 Jul 2021	73.7553
maintenance	US	Laguna Niguel	33.52253	04 Jun 2019	-117.70755
average	US	West Chester	39.96097	05/09/2016, 00:00:00	-75.60804
excellent	DE	Aschaffenburg	49.97704	2018/04/24	9.15214
good	GB	Bushey	51.64316	2015-07-30	-0.36053
average	TR	Bergama	39.12074	2013-10-24	27.18052
excellent	CI	Lakota	5.84752	04 Nov 2014	-5.682
excellent	ID	Simpang	-1.26424	2015-05-25	104.09701
accep	IT	Ventimiglia	43.78956	03/05/2020, 00:00:00	7.60872
good	AR	Barracas	-34.64966	18 Dec 2018	-58.38341
excellent	US	Venice	27.09978	2020-09-18	-82.45426
building	US	Aurora	39.72943	2018/01/25	-104.83192
excellent	IT	Campobasso	41.55947	12/12/2012, 00:00:00	14.66737
good	US	Evergreen Park	41.72059	01/01/2019, 00:00:00	-87.70172
good	PH	Maasin	10.13361	2013/02/17	124.84472
good	IT	Mesagne	40.55851	28 Nov 2015	17.80774
building	BR	Pato Branco	-26.22861	06 Nov 2014	-52.67056
good	US	Davis	38.54491	12 Sep 2017	-121.74052
building	CD	Kasangulu	-4.5833	2019/08/11	15.16554
excellent	SO	Baki	9.89206	04/03/2015, 00:00:00	43.38531
excellent	BR	Imbituba	-28.24	2019/07/11	-48.67028
accep	IN	Moga	30.81383	2018-11-18	75.16878
maintenance	US	Ada	34.77453	2019/02/15	-96.67834
good	US	Greenpoint	40.72371	2021/09/09	-73.95097
good	CN	Zhoushan	29.98869	03/27/2016, 00:00:00	122.20488
accep	IN	Kundla	21.34222	08/14/2017, 00:00:00	71.30633
excellent	BR	Recife	-8.05389	12/03/2017, 00:00:00	-34.88111
good	CN	Zhoucun	36.81667	2018-12-28	117.81667
average	IN	Gorakhpur	26.76628	02/08/2013, 00:00:00	83.36889
good	SY	Tadmur	34.5624	2013/07/05	38.28402
maintenance	NG	Argungu	12.74482	11/30/2014, 00:00:00	4.52514
good	AR	Rafaela	-31.25033	2017-11-05	-61.4867
excellent	BR	Sarandi	-23.44361	16 Apr 2020	-51.87389
good	IT	Tortona	44.89784	2020/03/15	8.86374
good	BR	Canavieiras	-15.675	2016-12-25	-38.94722
building	CN	Danjiangkou	32.54278	2019/01/09	111.50861
average	HN	Olanchito	15.48131	01/25/2019, 00:00:00	-86.57415
excellent	TZ	Iringa	-7.76667	03/24/2013, 00:00:00	35.7
accep	DE	Nidderau	50.23805	03/16/2022, 00:00:00	8.86704
excellent	US	Pekin	40.56754	2015/06/11	-89.64066
average	SK	Skalica	48.8449	08/14/2013, 00:00:00	17.22635
excellent	DE	Gronau	52.21099	12 May 2018	7.02238
good	PE	Chosica	-11.94306	13 Dec 2013	-76.70944
excellent	CO	Villa del Rosario	7.83389	10 Aug 2018	-72.47417
accep	MQ	Le Robert	14.67751	22 May 2019	-60.94228
good	NG	Nkpor	6.15038	2017/10/10	6.83042
accep	DE	Halstenbek	53.63333	03/16/2022, 00:00:00	9.85
excellent	IN	Dharmapuri	12.1277	01/29/2016, 00:00:00	78.15794
good	VU	Port-Vila	-17.73648	28 Feb 2017	168.31366
accep	AU	Griffith	-34.28853	2014-09-14	146.05093
excellent	HR	Split	43.50891	2013-08-12	16.43915
excellent	FR	Rueil-Malmaison	48.8765	05/25/2016, 00:00:00	2.18967
accep	GB	Mexborough	53.49389	2020/08/29	-1.29243
maintenance	US	Keene	42.93369	06/06/2018, 00:00:00	-72.27814
excellent	RU	Arzamas	55.39485	2014/12/26	43.83992
average	CO	Socorro	6.46838	02/02/2019, 00:00:00	-73.26022
good	UG	Paidha	2.41669	2013/12/21	30.98551
average	MD	Soroca	48.15659	2016-10-23	28.28489
building	SL	Freetown	8.48714	01 Jun 2015	-13.2356
building	MG	Ikalamavony	-21.15	08/19/2015, 00:00:00	46.58333
good	BR	Lagarto	-10.91722	2018/07/06	-37.65
good	US	Greenville	33.41012	08 Oct 2018	-91.06177
accep	RU	Petrozavodsk	61.78491	16 Oct 2016	34.34691
average	JP	Komono	35	2017-08-07	136.51667
excellent	PT	Ponta Delgada	37.74615	03 May 2018	-25.66689
excellent	CN	Dongfeng	42.64031	2014-06-08	125.51176
accep	CN	Boli	45.75279	2013-03-29	130.57211
accep	IN	Supaul	26.11527	06 Aug 2016	86.59509
average	KE	Lodwar	3.11988	2020-10-02	35.59642
average	TR	Edremit	39.59611	04/27/2014, 00:00:00	27.02444
maintenance	TN	El Alia	37.16911	2014-08-15	10.03478
accep	GB	Penzance	50.11861	10/20/2012, 00:00:00	-5.53715
good	IT	Mesagne	40.55851	2022/07/15	17.80774
average	DE	Neuburg an der Donau	48.73218	2021/10/04	11.18709
accep	KR	Sinhyeon	34.8825	2016/11/21	128.62667
accep	IN	Leteri	24.05979	27 Jan 2017	77.40858
excellent	MG	Ambatondrazaka	-17.83333	04/19/2017, 00:00:00	48.41667
average	CN	Ulanhot	46.08333	10/10/2019, 00:00:00	122.08333
excellent	DE	Reutlingen	48.49144	2020-07-19	9.20427
accep	US	Far Rockaway	40.60538	11 Oct 2018	-73.75513
good	PE	Minas de Marcona	-15.21194	12 Feb 2015	-75.11028
good	JP	Sasayama	35.06667	2015/06/01	135.21667
building	GB	Rhosllanerchrugog	53.00974	2014-05-20	-3.05814
accep	IN	Jashpurnagar	22.88783	10/10/2013, 00:00:00	84.13864
excellent	IN	Manjeri	11.12018	28 May 2021	76.11996
excellent	KR	Nonsan	36.20389	02/13/2021, 00:00:00	127.08472
good	FR	Ajaccio	41.91886	01 Sep 2019	8.73812
average	IT	Sassari	40.72586	21 Feb 2018	8.55552
good	PE	Chosica	-11.94306	2022-05-22	-76.70944
accep	FR	Saint-Genis-Laval	45.69558	2018-04-02	4.7934
good	ID	Jambi City	-1.6	2015/03/01	103.61667
building	FR	Montpellier	43.61092	2017/08/25	3.87723
accep	UY	Durazno	-33.38056	10/28/2014, 00:00:00	-56.52361
accep	IN	Gorakhpur	26.76628	2013/09/22	83.36889
average	CU	Corralillo	22.98212	2018/04/07	-80.58556
good	ZA	Mokopane	-24.19436	23 Aug 2017	29.00974
average	US	Iron River	46.09273	26 Apr 2016	-88.64235
maintenance	MY	Kulai	1.6561	08/27/2014, 00:00:00	103.6032
average	BR	Guaraciaba do Norte	-4.16694	2013-06-10	-40.7475
average	PH	Talisay	10.7375	2013-10-15	122.9666
excellent	CN	Xiangtan	27.85	2021-03-21	112.9
average	US	Bon Air	37.52487	05/20/2014, 00:00:00	-77.55777
good	US	Westchester	41.85059	03 May 2020	-87.882
average	TR	Serinhisar	37.58105	2016-12-12	29.26639
good	MY	Gua Musang	4.88441	12 Dec 2015	101.96857
accep	PT	Carnaxide	38.72706	2013/02/26	-9.24671
excellent	KE	Lodwar	3.11988	2016-06-11	35.59642
average	CO	Madrid	4.73245	08/23/2016, 00:00:00	-74.26419
excellent	US	Nampa	43.54072	2021/08/03	-116.56346
average	BE	Temse	51.12794	03/11/2016, 00:00:00	4.21372
good	PL	Ustka	54.58048	01 Jan 2020	16.86194
average	US	Deltona	28.90054	05/16/2020, 00:00:00	-81.26367
excellent	FR	Ajaccio	41.91886	09/07/2022, 00:00:00	8.73812
good	DE	Verl	51.88333	14 Aug 2017	8.51667
excellent	CN	Haicheng	40.85158	2020/10/06	122.74754
average	US	Sicklerville	39.71734	02 Feb 2022	-74.96933
excellent	KE	Busia	0.46005	2013-05-06	34.11169
average	RE	Saint-Denis	-20.88231	2013-11-27	55.4504
accep	JP	Karatsu	33.4425	08/20/2022, 00:00:00	129.96972
building	US	Encinitas	33.03699	12/02/2013, 00:00:00	-117.29198
building	DE	Aschaffenburg	49.97704	13 Aug 2013	9.15214
good	ID	Diwek	-7.57897	2016/02/29	112.23109
good	FR	Pamiers	43.11667	2020/09/24	1.6
building	DE	Pfullingen	48.46458	2015-07-14	9.22796
accep	MM	Kyaikto	17.30858	2016-02-20	97.01124
excellent	JP	Inawashiro	37.56667	2013-07-19	140.11667
average	IN	Talipparamba	12.04161	24 Apr 2019	75.35927
accep	BR	Lagarto	-10.91722	2014/12/08	-37.65
average	DE	Korschenbroich	51.19139	2017-10-13	6.51352
excellent	JP	Toba	34.4833	01/28/2020, 00:00:00	136.84186
excellent	NG	Lagos	6.45407	05/20/2016, 00:00:00	3.39467
average	DE	Ehingen	48.28259	2016/10/05	9.72749
excellent	PK	Kot Addu	30.46907	16 May 2015	70.96699
average	JP	Namerikawa	36.75965	2020/09/30	137.36215
average	RU	Yeysk	46.7055	10/04/2017, 00:00:00	38.2739
average	TR	Gaziantep	37.05944	2022/08/07	37.3825
average	DE	Schwalmtal	51.21667	03/20/2016, 00:00:00	6.26667
accep	ES	Amposta	40.70995	02/19/2019, 00:00:00	0.57856
maintenance	PH	Dipolog	8.56697	19 Jul 2015	123.33471
accep	US	Boston	42.35843	2016/05/29	-71.05977
accep	DE	Wittenau	52.59319	14 Aug 2015	13.32127
average	US	Fresno	29.53885	06/25/2013, 00:00:00	-95.44744
accep	TR	Mardin	37.31309	2017/08/23	40.74357
building	IN	Aklera	24.41288	09/21/2015, 00:00:00	76.56719
excellent	BR	Cabo	-8.28333	2019-11-09	-35.03333
excellent	DE	Bensheim	49.68369	2018-10-10	8.61839
average	IN	Rajaori	33.37526	23 Sep 2021	74.3092
accep	US	Indio	33.7207	2022/03/18	-116.21677
excellent	CI	Bonoua	5.27247	01/02/2016, 00:00:00	-3.59625
average	IT	Villabate	38.07789	05 Jul 2018	13.44275
accep	PT	Custoias	41.1053	2019/02/04	-7.32097
building	AO	Luena	-11.78333	2016-04-25	19.91667
average	IN	Hungund	16.06213	2018-02-28	76.0586
accep	GB	Leyland	53.69786	05/04/2022, 00:00:00	-2.68758
excellent	GH	Tarkwa	5.30383	2012/10/01	-1.98956
excellent	NL	Emmeloord	52.71083	2017-07-24	5.74861
accep	RU	Lesnoy	58.63667	2013/04/07	59.80222
average	US	Jersey City	40.72816	10 Jan 2019	-74.07764
accep	US	Acworth	34.06635	2018/10/02	-84.67837
maintenance	CN	Nanpiao	41.09822	05/30/2017, 00:00:00	120.74792
good	JP	Hita	33.3213	2020-11-28	130.94098
maintenance	IL	Ramla	31.92923	2015/07/03	34.86563
average	US	Canton	42.30865	01/07/2017, 00:00:00	-83.48216
average	IT	Montecchio Maggiore-Alte Ceccato	45.50369	2015/10/18	11.412
average	CO	Socorro	6.46838	27 Aug 2021	-73.26022
accep	ES	Amposta	40.70995	2019-12-14	0.57856
accep	US	Kaukauna	44.27804	2018-12-04	-88.27205
good	US	Newburgh	41.50343	06 Mar 2018	-74.01042
average	RU	Tver	56.85836	2019/10/17	35.90057
excellent	US	Thomasville	35.88264	07/17/2022, 00:00:00	-80.08199
excellent	NL	Culemborg	51.955	2022-03-11	5.22778
average	IN	Gariadhar	21.53889	2022/03/30	71.57737
accep	UZ	Parkent	41.29444	26 Apr 2019	69.67639
maintenance	IN	Moga	30.81383	08/17/2020, 00:00:00	75.16878
good	US	Punta Gorda Isles	26.91756	22 Apr 2020	-82.07842
average	US	Visitacion Valley	37.71715	11/07/2021, 00:00:00	-122.40433
excellent	BR	Loanda	-22.92306	2014-08-07	-53.13722
accep	DE	Hermsdorf	52.61131	23 Jan 2022	13.31783
accep	YE	Ataq	14.53767	04/26/2018, 00:00:00	46.83187
building	SY	Tadmur	34.5624	2020-10-11	38.28402
good	US	American Canyon	38.17492	12/25/2012, 00:00:00	-122.2608
accep	GB	Barnet	51.65	10/15/2016, 00:00:00	-0.2
good	ID	Majene	-3.5403	04/21/2013, 00:00:00	118.9707
good	US	Longview	32.5007	2022-01-06	-94.74049
average	SD	Ar Ruseris	11.8659	06 Oct 2021	34.3869
excellent	RU	Kashira	54.84444	11/09/2015, 00:00:00	38.16694
good	DE	Eppingen	49.13645	25 Dec 2021	8.91229
good	PE	Yunguyo	-16.25	02/23/2015, 00:00:00	-69.08333
excellent	CN	Changshu City	31.64615	2021-10-07	120.74221
excellent	PK	Mianwali	32.57756	09/25/2020, 00:00:00	71.52847
