CO	SO2	CH4	NH3	O3	NOx	PRES	C2H3NO5	longitude	CFCs	PM2.5	Pb	latitude	TEMP	PM10	H2CO	PAHs	warning
5.33399	8.14898	8.67339	9.37375	8.24787	6.43540	1115.95488	0.04922	6.83042	78.83205	9.16560	27.10698	6.15038	3.82541	5.68578	49.11526	7.70950	0.00000
5.33846	9.90431	6.92175	7.83690	8.57604	9.05498	1158.04730	0.08492	39.8302	55.11647	8.35912	74.39093	64.5635	22.62377	7.60434	40.87331	8.92988	1.00000
5.03842	7.83505	7.75000	6.66193	7.67746	7.41961	1117.72043	0.06794	5.51978	54.96462	7.51987	41.95916	51.44889	17.80616	7.27695	62.34002	8.28709	1.00000
7.82350	6.52849	7.18398	6.75444	6.84828	6.78191	1130.36531	0.03287	123.17306	59.56569	9.84371	32.77229	41.27194	7.51559	6.03740	35.96658	9.27992	1.00000
5.34007	6.47897	6.79072	9.58086	8.17240	7.56259	1055.97909	0.07133	5.4384	67.00535	4.70537	51.52315	43.2907	13.43865	7.07491	25.44946	6.13992	0.00000
6.13955	8.73244	8.27898	8.34785	7.42743	8.25624	1126.50471	0.04566	65.27258	57.63961	8.85254	70.46164	58.04254	-0.09560	6.24684	32.45483	7.35740	0.00000
6.77544	9.72315	6.69452	9.82986	8.31648	6.89047	1082.31264	0.03884	3.87723	83.76898	10.38266	71.11695	43.61092	12.67459	5.69704	53.09947	4.89786	0.00000
4.67903	6.69129	6.52398	6.46118	7.28388	7.23324	1101.92114	0.20541	34.86563	52.63973	8.21095	52.64278	31.92923	5.77726	8.65384	65.03227	8.35978	1.00000
5.75648	5.82891	7.67550	8.38269	7.74861	7.69139	1056.02433	0.63881	19.91667	41.82610	9.04303	40.65112	-11.78333	10.32227	10.10145		4.76396	0.00000
7.64281	8.57674	8.03204	8.34082	8.41824	7.38716	1160.09753	0.42553	9.15214	51.98787	9.64700	44.36224	49.97704	20.06733	9.66379	43.32935	9.86604	1.00000
5.55489	5.45344	7.46759	8.22771	8.22659	8.06493	1197.14239	0.20572	51.67462	52.96268	7.26761	48.69129	32.65246	19.41013	8.89979	39.12102	6.28766	1.00000
5.98606	8.69233	7.94516	5.91230	7.00102	7.57360	1128.14649	0.14439	-95.44744	45.37581	10.13064	62.80190	29.53885	21.16867	8.37597	37.52334	9.28887	1.00000
5.44461	5.84087	6.48254	9.93043	9.16981	6.73563	1125.20670	0.58540	-97.35992	45.41780	8.37506	44.76062	19.8173	9.64230	9.96637	33.66471	8.58195	1.00000
6.12957	8.47552	8.09890	6.01625	8.12955	8.52290	1154.46852	0.86065	8.62118	48.66692	9.31918	46.92986	45.44694	11.04886	10.40803	58.63864	9.34295	1.00000
4.45911	11.16922	9.70054	8.28750	8.08018	7.25443	1154.38492	2.15675	-44.31389	51.26567	9.00853	62.83207	-19.7625	16.02456	11.34308	34.23913		1.00000
4.19461	8.27909	7.67562	7.69445	7.42931	8.18194	1108.61689	0.52261	9.15214	45.07254	9.94157	42.37449	49.97704	19.11343	9.86439	79.64671	10.06809	1.00000
6.75681	6.00918	5.73215	8.15713	7.84293	8.16807	1117.18455	0.11287	15.87735	21.76464	8.15050	25.16670	4.94273	13.51733	8.10521	48.84851	7.63207	1.00000
5.73235	6.88131	6.43536	8.24315	8.71316	6.95373	1116.80208	0.40661	-70.92866	59.27949	6.25599	47.07337	42.52787	15.13622	9.64332	60.34300	6.65296	0.00000
8.47175	8.71570	7.60958	5.06955	8.79169	6.29501	1137.24925	0.62946	35.59642	47.98583	8.84197	46.48562	3.11988	32.59625	10.11410	33.65164	9.34351	1.00000
8.49233	9.51311		4.02459	9.88219	6.47072	1138.42177	0.64594	-1.5443	56.27931	7.82298	46.83217	50.75767	11.09727	10.10895	63.27665	8.99557	1.00000
5.49033	10.08097	6.86923	6.51143	8.21398	3.60809	1050.15317	0.19756	14.66737	55.26765	8.95315	52.53214	41.55947	10.75920	8.63554	50.76550	9.50117	1.00000
4.15627	2.12610	8.72250	8.84427	7.46885	7.10156	1173.56991	0.11891	-2.1875	44.42748	6.46987	34.38978	51.26	11.82899	8.32735	40.32153	8.94320	0.00000
5.12974	10.57273	7.22378	6.36947	7.49708	8.19482	1134.44528	0.40785	33.2525	64.98699	10.09189	43.13164	57.97472	14.02661	9.63236	48.51710	9.16289	1.00000
4.24106	12.29790	8.41738	7.81302	7.36410	7.67820	1165.22919	0.80206	-38.94722	62.01662	7.80313	72.39765	-15.675	9.05374	10.33628	69.61644	9.59506	1.00000
5.23735	8.45432	6.63720	4.92914	5.60209	6.92977	1131.54085	0.05529	8.73812	50.45561	9.68474	51.69985	41.91886	17.23692	6.91456	63.15299	8.55589	1.00000
5.97952	5.90067	7.45789	6.60171	7.60675	7.63890	1113.37038	0.13725	-58.38341	42.91374	9.64834	47.89526	-34.64966	5.72715	8.30933	47.60015	9.56192	1.00000
7.17276	7.73075	7.08586	7.75927	7.70269	6.23431	1106.00689	0.04864	-74.96933	46.31718	7.69448	37.86765	39.71734	1.33905	6.09099	54.05666	9.04037	0.00000
8.00639	8.89062	6.80688	9.68088	8.30241	7.24535	1070.71840	0.07194	75.35927	39.80185	4.93768	48.87987	12.04161	7.38461	7.61801	31.41828	4.56799	0.00000
4.98985	9.87739	9.35099	7.37127	8.97824	6.62897	1095.69824	0.05148	78.15794	73.15039	9.75001	53.28732	12.1277	17.25967	7.31136	49.60697	6.98763	0.00000
7.19523	7.16814	7.10612	8.30853	7.82034	6.47152	1133.91842	0.17270	-61.4867	30.83242	8.61496	48.77807	-31.25033	12.43565	8.55311	53.08021	9.47163	1.00000
6.10470	8.24905	8.20544	11.60851	7.86028	8.69889	1142.32041	0.05508	-1.98956	58.00654	8.23469	33.36360	5.30383	8.40451	5.74424	24.59728	9.26924	0.00000
9.60539	9.02452	7.14300	9.12039	7.83784	7.24079	1060.20728	0.04106	168.31366	63.71509		58.15014	-17.73648	41.31935	5.67831	50.94605	10.75872	1.00000
5.81812	7.86572	7.10439	4.50647	7.33172	6.95524	1057.40082	0.05509	-156.47432	52.76239	8.80574	59.43486	20.88953	25.53595	6.81303	47.96176	8.45657	1.00000
2.84704	9.96760	7.04369	8.02283	8.45077	5.60989	1186.59623	0.19351	-48.67028	41.42079	8.06570	32.47770	-28.24	34.63288	8.81911	39.43974	7.69437	1.00000
6.29962	6.79408	8.08659	10.10555	5.27533	6.26622	1133.86343	0.25569	6.26764	49.26063	8.17688	73.51430	4.92675	9.88099	9.08794	69.68169	8.50502	1.00000
7.71501	7.35992	6.09928	7.69938	8.00031	5.89615	1057.64149	0.31991	101.02083	55.16647	6.01481	54.94910	4.02219	6.27639	9.25846	48.13060	6.92766	0.00000
3.43840	11.06053	6.83561	5.85689	6.48295	6.82962	1125.35684	0.30241	75.92694	62.20811	10.81632	42.08566	14.46693	16.36848	9.28818	51.99969	8.31216	0.00000
4.31920	8.63780	7.18694	6.87716	6.98981	9.03958	1079.18378	2.21598	101.18445	52.53159	6.24156	50.67369	13.44581	8.44428	11.37105	40.59579	6.65844	0.00000
6.15502	9.81917	7.77060	10.24683	7.69433	7.88820	1174.27988	0.06235	7.02238	49.70923	2.86146	51.54159	52.21099	-4.48124	7.41591	47.60875	4.24034	0.00000
5.65022	6.91132	6.18317	10.05671	8.27086	7.60429	1104.11963	0.94039	-34.88111	52.06182	6.96024	34.06238	-8.05389	15.79947	10.49119	56.66998	8.02450	1.00000
4.06436	10.81445	6.31183	8.06588	7.05969	6.36118	1071.81345	0.03189	9.00472	59.20903	10.82305	35.52115	4.2475	10.97640	7.16086	53.76942	7.33750	0.00000
9.75663	7.82141	6.94474	6.52448	7.50999	7.12883	1054.56112	0.05787	-73.0515	64.81372	7.88919	40.91100	41.55815	24.16476	6.17801	54.35804	8.54224	0.00000
9.52496	8.74299	6.30852	8.67360	8.87803	7.71097	1142.54883	0.05246	73.66633	47.21087	8.00035	62.70151	25.92493	9.49592	6.34020	49.74479	9.80695	1.00000
5.57679	8.82503	7.90219	9.17321	7.76901	7.86559	1060.11329	0.04138	112.23109	29.47616	8.84791	53.59841	-7.57897	2.96661	5.69116	62.65674	9.52450	0.00000
5.83379	8.67844	6.63182	6.60904	5.93488	7.70595	1175.22765	0.49448	3.55665	44.14906	8.20587	60.23802	36.72544	23.16785	9.81889	59.37909	9.31641	1.00000
5.10135	9.01509	8.09853	5.79335	8.13170	6.32861	1173.06775	0.53090	99.96667	41.25483	8.88391	60.27672	8.43333	25.18205	9.84498	53.74877	8.49155	1.00000
6.10042	8.72784	7.63813	7.57692	6.88058	6.18902	1059.44435	0.05973	4.7934	51.83861	8.14438	51.56406	45.69558	8.01802	7.13101	57.44917	10.10717	0.00000
6.24040	5.73444	8.17644	7.73005	7.69204	8.82363	1062.42035	0.03981	8.55552	55.16412	9.09155	73.92122	40.72586	44.00636	6.92267	49.40582	7.76080	1.00000
5.95571	6.02432	7.26226	9.23703	6.05404	6.51937	1133.28472	0.29674	88.18466	53.02959	9.63163	47.61149	22.19303	23.66912	9.25454	49.94633	9.49045	1.00000
5.75842	7.46768	7.93847	8.42288	7.92718	7.93540	1080.99937	0.06186	2.18967	40.41682	7.65721	45.07005	48.8765	4.60758	6.19410	51.91521	10.76211	0.00000
5.02283	8.35183	8.29430	8.32445	5.31358	8.17309	1123.12302	0.42261	-117.79394	51.02771	9.72280	38.21023	33.76446	31.09389	9.64445	42.42973	8.80787	1.00000
7.92593	5.07520	7.14598	9.05805	4.53179	5.97870	1058.40959	0.18736	-116.21677	61.32712	5.31597	53.67674	33.7207	30.27882	8.60587	33.97485	6.99455	0.00000
4.89291	9.94977	8.51052	8.04935	7.98585	7.15556	1131.91548	0.25632	124.84472	41.16444	9.33978	47.60447	10.13361	7.44332	9.11701	47.43781	9.92182	1.00000
5.81987	7.47516	7.05699	10.83742	8.52203	8.95559	1050.28773	0.05821	15.00835	79.87067	7.52527	37.77187	51.14942	20.84612	5.54038	58.06233	11.23670	0.00000
4.69533	4.20192	8.52862	9.13478	8.77458	10.33007	1053.73294	0.50004	25.34244	52.56330	8.90407	65.28097	50.75932	18.43024	9.84068	49.39005	7.13983	1.00000
6.42695	9.99014	6.14093	8.90082	6.74407	7.86568	1139.85432	0.07011	8.4493	64.55318	9.85091	52.03621	50.09019	31.14182	6.07841	51.03268	7.98180	0.00000
2.79867	9.39357	9.08525	7.25609	7.96463	7.01637	1162.76718	0.06005	86.00214	50.16180	8.60547	64.81772	46.51872	17.55657	6.67879	50.41361	7.42566	1.00000
6.71897	8.43066	8.46940	7.44869	9.47718	7.70724	1115.70920	3.16958	103.6032	50.21392	9.26492	33.11305	1.6561	8.87420	11.74741	57.27598	10.68458	1.00000
4.14448	5.57600	7.07808	5.35983	8.70093	7.80050	1197.69850	13.19533	-73.75513	56.44981	9.41039	46.87953	40.60538	32.13395	13.17649	42.72402	8.58796	0.00000
7.93098	8.37882	4.89859	10.77782	5.74923	7.21984	1141.99701	0.03994	-117.79394	50.51566	7.45651	51.71283	33.76446	9.44264	5.45519	47.04701	10.26676	0.00000
6.96086	7.16756	7.54028	10.15976	6.85864	6.33304	1193.27074	0.09102	22.53083	54.40239	3.63282	46.10485	44.22639	25.97700	7.55098	66.63385	5.90259	0.00000
7.37749	6.50594	7.22737	8.09671	6.93442	6.97393	1181.74321	0.09215	-60.94228	49.48927	9.59963	36.15056	14.67751	5.87051	7.65228	56.47907	9.28456	1.00000
5.51168	5.27832	5.76424	8.91120	5.46330	7.16868	1113.34685	0.48296	-103.5687	66.02007	8.50353	30.30969	20.22816	-12.99712	9.80365	38.67048	7.98550	1.00000
5.01854	8.75559	5.82858	8.79879	7.31986	6.25087	1131.48776	0.03975	10.18003	46.88349	9.59476	61.42965	24.96334	8.51364	6.20058	24.41144	6.82487	0.00000
6.47906	4.57560	7.92915	8.64792	5.61392	7.58017	1083.53521	0.15018	34.86563	27.00067	7.15606	38.36365	31.92923	18.55235	8.49931	40.40825	6.91959	0.00000
4.93393	9.80649	7.05768	9.79650	7.22313	7.42052	1164.42318	0.08463	8.4493	61.00812	8.86258	56.27701	50.09019	-0.59563	7.40254	55.62011	11.96822	0.00000
6.11249	9.53710	6.78883	6.93002	7.18158	7.38596	1163.78446	0.05343	24.6522	63.16426	9.83219	46.81981	60.2052	14.71329	6.50318	50.74959	8.34134	0.00000
7.46080	7.11334	8.59036	9.63053	7.47170	6.76431	1129.27439	0.15278	6.83042	47.36757	9.15426	39.12803	6.15038	13.98507	8.34915	18.43314	9.89347	1.00000
9.31350	7.92188	7.18851	12.06319	8.81951	8.52873	1088.08547	0.04814	122.20488	38.26439	4.82901	57.70067	29.98869	16.92754	5.98672	28.58107	2.57276	0.00000
8.01347	6.36495	6.45902	8.65661	8.29173	7.55801	1093.68591	0.04529	59.80222	51.09172	8.77763	41.63507	58.63667	13.95856	5.73489	51.90804	7.31614	1.00000
6.67147	4.79363	5.45247	8.11916	6.66058	7.08750	1161.01051	0.26666	42.7125	54.09722	7.40113	38.60018	11.15583	21.33056	9.12666	59.91925	7.25092	0.00000
7.41837	8.10148	8.19067	11.09838	6.67004	7.88844	1082.29273	0.04917	-42.98194	47.90709	7.98515	52.06089	-22.53722	20.38291	5.36423	43.95138	8.24150	0.00000
8.10078	7.22510	6.93055	6.91654	7.94837	7.34912	1096.93171	0.08442	10.18003	40.95019	9.70603	47.10156	24.96334	15.09735	6.32132	51.49273	10.03751	1.00000
5.75434	11.61161	4.94990	8.30960	7.43353	8.88818	1079.29172	0.09177	117.7	63.71294	8.87470	63.20955	35.85	23.10597	7.43794	31.34871	9.09182	1.00000
6.07641	6.80570	8.89903	9.41373	9.11699	8.24903	1178.33715	0.20040	112.9	44.15193	8.80721	49.05197	27.85	2.15518	8.83593	43.48701	9.43374	0.00000
6.64193	7.59343	7.15583	7.98764	8.66813	6.27369	1114.76326	0.79394	-58.38341	52.89557	10.36820	51.80305	-34.64966	-7.74820	10.31250	44.05349	8.17114	1.00000
7.64191	8.61165	8.25278	9.52180	8.06331	5.48706	1186.36161	0.05747	-97.90308	53.65930	8.36528	45.62186	31.12406	14.39532	5.48469	47.74247	8.08252	0.00000
7.78356	6.56837	10.77371	7.85613	8.53226	8.50842	1199.21171	0.07692	86.59509	27.51698	7.40764	51.02470	26.11527	7.27155	7.03566	60.55890	6.75608	1.00000
9.18780	7.97070	6.16997	7.26340	8.84855	7.71464	1102.60596	0.05074	68.49143	50.83092	9.68661	39.00547	25.80565	23.24836	5.60212	54.18636	10.70324	1.00000
7.86601	8.02194	8.39320	7.07282	6.66998	6.04277	1135.31521	0.74412	9.29109	39.76506	9.65118	37.20064	45.39402	-0.59855	10.23891	48.18886	8.35659	1.00000
4.61449	8.65156	6.80866	6.68922	6.00253	7.77214	1131.93429	0.04706	103.61667	48.43940	11.04500	42.26583	-1.6	23.73671	6.76633	50.29221	7.69708	1.00000
9.55543	7.90580	8.19911	7.24496	7.89248	7.28744	1092.97257	0.06627	-98.11889	60.93944	7.86591	34.37091	19.04222	1.52851	6.29920	38.63405	6.91042	0.00000
2.18329	3.00952	6.55854	7.61396	7.66736	7.98447	1126.67769	1.44126	-76.51552	61.17906	12.14892	66.60394	39.32011	13.96669	10.93419	42.16656	9.84839	1.00000
5.10570	9.44519	8.08282	11.09683	7.79729	7.45547	1051.06300	0.08397	-80.08199	51.95200	9.38113	56.18374	35.88264	10.42182	7.19293	56.07994	7.87371	0.00000
6.60723	7.00649	5.76778	9.86252	6.48316	6.56796	1080.16140	0.16229	29.41824	56.75883	7.49043	50.78464	45.99194	6.22011	8.47625	62.74203	7.65098	1.00000
5.64081	8.19910	7.09326	8.78372	6.48752	8.41195	1107.90667	0.02599	107.60389	58.84954	9.27392	35.28494	-7.01833	9.09812	6.32907	58.53249	8.89183	0.00000
6.89486	6.60245	6.63076	7.03690	9.89525	8.75969	1068.98874	0.10179	8.61839	72.57568	9.12219	61.57646	49.68369	29.08782	8.07541	59.08889	9.92906	1.00000
3.71726	4.28005	7.57886	8.25494	7.27511	6.45907	1164.22285	0.48868	150.60036	54.04501	10.25004	47.68273	-34.88422	8.36763	9.81968	38.23371	8.52783	1.00000
6.46160	9.10010	7.85007	8.67425	9.10760	7.40977	1084.44674	0.57658	-37.65	51.48869	10.81950	55.23305	-10.91722	14.13576	9.98447	55.72523	9.66071	1.00000
7.70299	8.15547	6.07003	7.31172	7.37721	7.94498	1153.51149	0.05413	14.66737	30.41670	8.79214	33.00936	41.55947	-12.43575	6.02799	71.27332	8.66000	0.00000
5.00430	5.49240	8.66903	8.27871	7.13014	6.67206	1137.32053	0.30497	29.26639	70.53888	8.45040	55.99537	37.58105	-0.81370	9.33656	50.93617	7.37395	1.00000
5.53329	8.98025	6.88078	6.89186	7.40735	8.07831	1060.90147	0.09017	69.49015	51.40367	9.11294	36.69681	56.11281	-3.61458	7.50444	36.07282	8.65774	
7.60484	10.28316	9.72268	8.04913	7.33088	8.64976	1054.54477	0.07926	139.6853	42.33330	9.54473	49.95442	35.815	12.72874	6.88946	49.90274	8.48355	0.00000
3.98237	4.66536	8.37849	8.80139	6.03031	8.11266	1197.85232	0.80738	-0.33525	46.91962	9.03764	62.37189	53.7446	9.83212	10.32957	50.01341	7.64895	1.00000
6.93961	6.45588	8.17134	9.58877	7.03760	8.61567	1071.86121	0.16648	-123.02621	57.51362	7.64769	33.20018	44.99012	0.14363	8.58737	60.47424	7.33582	1.00000
3.80268	10.81364	8.30112	9.25580	6.76239	8.34583	1177.53217	0.19942	0.57856	29.74992	8.01547	49.08431	40.70995	7.86365	8.78219	31.46497	8.36617	1.00000
9.36862	7.26317	7.29900	4.48406	7.27249	8.30124	1086.54697	0.08369	113.69785	53.15763	7.80449	47.94196	-7.73379	23.85762	7.11539	38.70259	10.04848	1.00000
8.35536	7.88259	8.87010	5.08727	7.59830	6.44392	1186.12926	1.11965	-97.50417	62.14463	9.28120	35.09393	25.87972	20.88477	10.68740	70.62204	8.75918	1.00000
6.91632	6.15549	8.41322	8.68464	7.32746	8.74573	1122.42846	0.08175	9.72749	77.18083	8.15248	52.33560	48.28259	4.24684	7.85675	66.50866	7.81046	1.00000
4.33579	8.22174	8.42498	9.40372	8.09651	8.00397	1179.13446	0.04214	-0.2	38.03679	8.44136	58.30463	51.65	21.00108	5.89632	58.31912	10.83902	0.00000
5.60954	6.58798	6.61088	9.66105	8.74751	6.66120	1164.03628	0.08152	-2.16	56.41242	5.28805	31.40472	34.31	21.83101	7.26760	48.18379	5.39336	0.00000
3.86069	4.97704	8.80252	9.34968	8.69177	8.86124	1085.54258	0.09359	2.18247	57.33816	7.58608	60.66328	41.41204	4.78350	7.83878	33.61388	5.21975	0.00000
6.78479	6.54160	9.86705	3.91508	9.12107	8.32688	1129.80456	0.04436	74.12286	61.51027	8.68743		30.76468	31.70570	4.46064	38.85242	7.44671	1.00000
6.12014	9.48378	7.28691	5.90386	9.29051	7.19243	1157.12142	0.08156	-5.53715	56.00637	8.16912	47.11085	50.11861	0.88938	7.46589	34.19236	7.80824	1.00000
3.98001	2.75757	7.94693	7.17894	6.35453	9.02201	1067.48481	0.75882	121.3152	50.36089	9.67683	63.05245	14.14989	1.76212	10.31355	46.03168	7.97775	0.00000
4.19803	9.11584	9.78220	11.10711	9.08461	6.82335	1163.01485	0.03291	120.4861	27.23450	9.70290	51.99251	16.0438	8.00439	7.10372	73.05581	7.84957	0.00000
5.04792	7.79680	6.90812	8.66751	7.41543	7.23495	1149.92494	0.33552	-75.11028	70.49716	5.94360	53.35566	-15.21194	31.33365	9.41468	42.62001	5.40272	0.00000
4.69700	4.31189	7.70100	7.25312	7.01371	6.82558	1088.57734	0.48591	114.68333	45.18057	8.24440	25.27729	23.73333	20.68277	9.79560	42.33015	7.85792	0.00000
8.65401	7.72587	6.58056	8.07280	7.25661	7.09305	1064.55214	0.04301	29.91582	44.24411	8.08337	21.30501	31.20176	21.04931	6.68026	31.42132	8.89187	0.00000
7.61086	8.84909	7.20562	7.86018	9.19480	6.97683	1108.92670	0.04059	101.02083	40.37844	9.17576	24.72888	4.02219	21.06562	5.27823	63.35675	7.94138	0.00000
5.78577	8.33869	6.60663	7.43725	5.33889	6.18683	1133.11553	0.01891	-41.45861	56.25959	8.40791	70.45734	-4.42472	13.89793	6.33536	61.16766	8.76292	0.00000
9.80256	7.43837	6.52803	8.85626	6.86158	7.78668	1192.09355	0.04563	-117.54866	48.21819	7.32105	56.64329	33.93113	2.84362	5.19798	48.63129	8.54477	0.00000
