latitude	revision	QoS	location	longitude	station
11.86064	2016/08/29	excellent	Africa/Lagos	9.0027	Gaya
33.4425	2017-04-09	maintenance	Asia/Tokyo	129.96972	Karatsu
-11.78333	2018-03-20	maintenance	Africa/Luanda	19.91667	Luena
50.9803	06/16/2019, 00:00:00	excellent	Europe/Berlin	11.32903	Weimar
40.58654	2017/01/07	average	America/Los_Angeles	-122.39168	Redding
25.49043	2013-01-04	excellent	Asia/Kolkata	85.94001	Teghra
6.45407	03 Jun 2018	average	Africa/Lagos	3.39467	Lagos
53.37596	2022-09-05	average	Europe/Samara	51.3452	Otradnyy
44.99012	2020/03/16	maintenance	America/Los_Angeles	-123.02621	Keizer
33.98154	14 Aug 2021	good	America/New_York	-81.23621	Lexington
10.13361	17 Dec 2012	good	Asia/Manila	124.84472	Maasin
26.68451	05/25/2019, 00:00:00	average	America/New_York	-80.66756	Belle Glade
11.8659	12 Dec 2018	accep	Africa/Khartoum	34.3869	Ar Ruseris
39.09112	2016/02/20	excellent	America/Chicago	-94.41551	Independence
23.18	2013-06-10	excellent	Asia/Kolkata	88.58	Aistala
45.4473	2014/04/04	excellent	America/Toronto	-73.75335	Dorval
33.03699	19 Apr 2020	average	America/Los_Angeles	-117.29198	Encinitas
8.35122	11/20/2018, 00:00:00	excellent	America/Caracas	-62.64102	Ciudad Guayana
45.50369	2018-11-28	average	Europe/Rome	11.412	Montecchio Maggiore-Alte Ceccato
21.46527	2020/08/14	accep	Asia/Kolkata	83.97573	Sambalpur
43.61058	2021/12/14	excellent	Europe/Paris	1.33467	Colomiers
50.56149	08/13/2016, 00:00:00	average	Europe/Brussels	4.69889	Gembloux
44.59445	09 May 2017	excellent	Europe/Rome	11.04979	Castelfranco Emilia
20.14298	01/19/2022, 00:00:00	excellent	America/Havana	-77.43532	Media Luna
50.23805	03/15/2016, 00:00:00	accep	Europe/Berlin	8.86704	Nidderau
36.20829	2020-07-29	accep	America/Los_Angeles	-115.98391	Pahrump
40.78206	2017-10-17	accep	Asia/Tashkent	72.34424	Andijon
56.9083	10/13/2016, 00:00:00	building	Asia/Yekaterinburg	60.8019	Beryozovsky
25.6439	2014-06-25	average	Asia/Kolkata	77.9129	Narwar
15.73628	04/18/2018, 00:00:00	excellent	Asia/Kolkata	75.96976	Gajendragarh
43.32393	09/06/2015, 00:00:00	good	Europe/Paris	5.4584	Les Olives
56.9083	03 Oct 2012	maintenance	Asia/Yekaterinburg	60.8019	Beryozovsky
38.06084	2020-06-27	good	America/Chicago	-97.92977	Hutchinson
5.4709	27 Sep 2019	good	Asia/Kuala_Lumpur	100.24529	Batu Feringgi
32.54044	2016/06/25	accep	America/New_York	-82.90375	Dublin
-8.05389	2017-10-31	accep	America/Recife	-34.88111	Recife
54.60528	2016/03/25	excellent	Europe/Warsaw	18.34717	Reda
51.44889	2013-03-02	good	Europe/Amsterdam	5.51978	Tongelre
27.0174	01/25/2019, 00:00:00	average	Asia/Riyadh	49.62251	Al Jubayl
12.74409	2021-04-17	good	Africa/Bamako	-8.07257	Kati
51.08468	20 May 2018	excellent	Europe/Berlin	7.11393	Burscheid
48	01 Jan 2022	building	Europe/Paris	-4.1	Quimper
50.50301	28 Feb 2019	accep	Europe/Prague	13.63617	Most
48.77644	09/18/2020, 00:00:00	accep	Europe/Paris	2.29026	Sceaux
16.455	12/10/2014, 00:00:00	excellent	Asia/Manila	120.5875	La Trinidad
7.50251	2019/06/16	accep	Africa/Lagos	5.06258	Igbara-Odo
54.03876	2019/05/09	good	Europe/Moscow	43.91385	Kovylkino
55.64776	07/25/2018, 00:00:00	good	Europe/Moscow	38.02486	Malakhovka
4.73245	2013/06/25	average	America/Bogota	-74.26419	Madrid
36.81667	01 Mar 2017	excellent	Asia/Shanghai	117.81667	Zhoucun
53.69786	2019-12-11	maintenance	Europe/London	-2.68758	Leyland
52.53048	2015/01/25	good	Europe/Berlin	13.29371	Charlottenburg-Nord
12.25282	09 Jul 2021	average	Asia/Kolkata	79.41727	Gingee
21.01858	2017-05-26	good	America/Mexico_City	-101.2591	Guanajuato
41.63976	11/20/2019, 00:00:00	accep	Europe/Madrid	2.35739	Cardedeu
40.85158	20 Jan 2020	good	Asia/Shanghai	122.74754	Haicheng
36.20829	07/08/2015, 00:00:00	accep	America/Los_Angeles	-115.98391	Pahrump
24.05979	2021/10/22	excellent	Asia/Kolkata	77.40858	Leteri
-22.45667	2021/04/03	maintenance	America/Sao_Paulo	-47.53028	Santa Gertrudes
28.90054	2018-11-11	accep	America/New_York	-81.26367	Deltona
40.56754	02/01/2015, 00:00:00	average	America/Chicago	-89.64066	Pekin
40.24537	04/11/2020, 00:00:00	average	America/New_York	-75.64963	Pottstown
49.07866	2018/04/18	good	Europe/Kiev	30.96755	Zvenihorodka
24.41288	09/20/2017, 00:00:00	accep	Asia/Kolkata	76.56719	Aklera
-1.6	06 Jan 2021	maintenance	Asia/Jakarta	103.61667	Jambi City
53.38333	10/14/2015, 00:00:00	excellent	Europe/London	-0.76667	Gainsborough
-22.9	10 Feb 2017	average	Indian/Antananarivo	44.53333	Sakaraha
44.89784	17 May 2015	accep	Europe/Rome	8.86374	Tortona
36.92574	2020-10-22	accep	Europe/Rome	14.72443	Ragusa
42.24113	27 Jul 2016	maintenance	America/Chicago	-88.3162	Crystal Lake
29.69221	2020/05/20	acceptable	Asia/Karachi	72.54566	Hasilpur
41.77583	11/13/2015, 00:00:00	accep	Asia/Tokyo	140.73667	Hakodate
-15.21194	2017/11/12	maintenance	America/Lima	-75.11028	Minas de Marcona
55.75556	2020/03/25	building	Asia/Yekaterinburg	60.70278	Ozersk
50.82709	2022-01-10	maintenance	Europe/Berlin	6.9747	Wesseling
50.80904	2022/05/16	building	Europe/Berlin	8.77069	Marburg an der Lahn
44.99012	2018-10-10	average	America/Los_Angeles	-123.02621	Keizer
53.77166	29 Mar 2015	excellent	Europe/Moscow	38.12408	Bogoroditsk
42.52787	2021/02/01	good	America/New_York	-70.92866	Peabody
35.50056	30 Oct 2015	good	Asia/Shanghai	117.63083	Pingyi
36.76639	2015-06-19	good	Africa/Algiers	3.47717	Boumerdas
40.92298	2015/06/30	good	Europe/Rome	14.30935	Afragola
-17.73648	2016/07/06	maintenance	Pacific/Efate	168.31366	Port-Vila
44.85278	2013/10/16	building	Asia/Qyzylorda	65.50917	Kyzylorda
34.95303	2020/12/13	excellent	America/Los_Angeles	-120.43572	Santa Maria
8.43333	17 Apr 2018	excellent	Asia/Bangkok	99.96667	Nakhon Si Thammarat
-8.05389	08/22/2020, 00:00:00	accep	America/Recife	-34.88111	Recife
52.41667	2015-05-09	accep	Europe/London	0.75	Thetford
38.06084	2014/01/20	accep	America/Chicago	-97.92977	Hutchinson
41.91738	2014/07/21	maintenance	Europe/Madrid	3.1631	Palafrugell
37.49223	2013/08/28	average	Europe/Rome	15.07041	Catania
55.82885	2017-01-03	good	Europe/London	-4.21376	Rutherglen
9.58126	2018-08-28	average	Africa/Lagos	8.2926	Kafanchan
52.66277	2013/01/12	average	Europe/London	-2.01111	Great Wyrley
54.90083	25 Nov 2021	excellent	Europe/Moscow	38.07083	Stupino
-22.57306	09 Aug 2017	average	America/Sao_Paulo	-47.1725	Artur Nogueira
47.30997	03/23/2014, 00:00:00	good	Europe/Zurich	8.52462	Adliswil
13.56667	31 Oct 2013	excellent	Africa/Banjul	-15.6	Farafenni
43.71032	2017/08/20	good	Europe/Paris	-1.05366	Dax
37.71715	2020-10-09	maintenance	America/Los_Angeles	-122.40433	Visitacion Valley
58.7002	2016-03-07	building	Asia/Yekaterinburg	59.4839	Kachkanar
48.90982	05/04/2017, 00:00:00	good	Europe/Paris	2.45012	Bobigny
29.69221	2015/09/08	maintenance	Asia/Karachi	72.54566	Hasilpur
18.00747	20 Mar 2013	good	America/Jamaica	-76.78319	New Kingston
-34.28853	04/18/2014, 00:00:00	excellent	Australia/Sydney	146.05093	Griffith
55.82885	2016/11/05	accep	Europe/London	-4.21376	Rutherglen
41.0051	2018/06/05	average	America/New_York	-73.78458	Scarsdale
52.86147	07 Mar 2014	excellent	Europe/Berlin	9.5926	Walsrode
37.1759	12/30/2016, 00:00:00	accep	Asia/Seoul	128.9889	T’aebaek
-3.20333	02/04/2013, 00:00:00	average	America/Santarem	-52.20639	Altamira
49.07866	12 Jul 2016	excellent	Europe/Kiev	30.96755	Zvenihorodka
30.35028	2019-05-23	excellent	Asia/Shanghai	112.19028	Jingzhou
53.6052	03/19/2021, 00:00:00	excellent	Europe/Berlin	10.03988	Barmbek-Nord
9.57046	2017-02-01	average	Asia/Kolkata	76.32756	Kalavoor
64.5635	2016/03/06	accep	Europe/Moscow	39.8302	Severodvinsk
