longitude	QoS	revision	latitude	station	location
-88.3162	excellent	01/26/2020, 00:00:00	42.24113	Crystal Lake	America/Chicago
-87.71255	excellent	09/23/2015, 00:00:00	41.84364	South Lawndale	America/Chicago
-4.83076	excellent	07/15/2018, 00:00:00	39.96348	Talavera de la Reina	Europe/Madrid
72.85107	excellent	2013-11-20	19.30157	Bhayandar	Asia/Kolkata
-72.47417	excellent	11/10/2012, 00:00:00	7.83389	Villa del Rosario	America/Bogota
37.38115	accep	11/18/2018, 00:00:00	55.63711	Solntsevo	Europe/Moscow
-49.27306	average	12/28/2014, 00:00:00	-25.42778	Curitiba	America/Sao_Paulo
101.44167	average	03/03/2020, 00:00:00	0.51667	Pekanbaru	Asia/Jakarta
128.63083	acceptable	06/05/2013, 00:00:00	36.82167	Eisen	Asia/Seoul
78.95693	good	2016-07-20	29.21399	Kashipur	Asia/Kolkata
-44.31389	accep	10/04/2012, 00:00:00	-19.7625	Esmeraldas	America/Sao_Paulo
-95.44744	excellent	07/24/2016, 00:00:00	29.53885	Fresno	America/Chicago
41.77921	good	2019-02-14	41.82143	Kobuleti	Asia/Tbilisi
-122.38731	maintenance	03/22/2014, 00:00:00	45.53929	Troutdale	America/Los_Angeles
-84.50855	accep	07/12/2022, 00:00:00	39.08367	Covington	America/New_York
1.15597	average	15 Jan 2016	51.78967	Clacton-on-Sea	Europe/London
-76.88442	accep	2016-09-15	40.2737	Harrisburg	America/New_York
38.16694	average	02/09/2018, 00:00:00	54.84444	Kashira	Europe/Moscow
-34.88111	accep	27 Jul 2016	-8.05389	Recife	America/Recife
6.76111	excellent	26 Jan 2016	53.16167	Hoogezand	Europe/Amsterdam
137.4	maintenance	11/06/2013, 00:00:00	34.81667	Toyokawa	Asia/Tokyo
1.04945	maintenance	2020/01/27	35.06544	Frenda	Africa/Algiers
8.91229	good	06/23/2016, 00:00:00	49.13645	Eppingen	Europe/Berlin
-3.59625	average	2013-09-30	5.27247	Bonoua	Africa/Abidjan
-84.20299	excellent	2020-01-28	39.43534	Lebanon	America/New_York
37.49338	average	03/29/2021, 00:00:00	55.62047	Tyoply Stan	Europe/Moscow
4.47124	good	2020-01-16	51.95838	Schiebroek	Europe/Amsterdam
-116.37697	accep	2018-10-12	33.72255	Palm Desert	America/Los_Angeles
29.47306	maintenance	2019/11/10	0.49113	Beni	Africa/Lubumbashi
51.3452	average	2017-06-18	53.37596	Otradnyy	Europe/Samara
111.73861	excellent	2022-07-13	35.20889	Changzhi	Asia/Shanghai
-118.03917	average	19 Feb 2017	33.95015	South Whittier	America/Los_Angeles
-0.59543	average	2017/08/08	44.80477	Talence	Europe/Paris
139.07204	accep	01/19/2019, 00:00:00	36.24624	Fujioka	Asia/Tokyo
-117.70755	average	2015/07/02	33.52253	Laguna Niguel	America/Los_Angeles
10.18527	average	2019/11/10	47.98372	Memmingen	Europe/Berlin
55.4504	building	2015/10/31	-20.88231	Saint-Denis	Indian/Reunion
118.9707	accep	07 Dec 2016	-3.5403	Majene	Asia/Makassar
-56.52361	average	03 Apr 2019	-33.38056	Durazno	America/Montevideo
120.74792	accep	2020/07/21	41.09822	Nanpiao	Asia/Shanghai
-71.23106	good	27 May 2015	-32.45242	La Ligua	America/Santiago
43.83992	average	22 Aug 2017	55.39485	Arzamas	Europe/Moscow
152.70493	accep	2016-09-17	-25.54073	Maryborough	Australia/Brisbane
-35.03333	accep	01/02/2021, 00:00:00	-8.28333	Cabo	America/Recife
111.73861	good	2014/01/11	35.20889	Changzhi	Asia/Shanghai
-76.72803	excellent	2019/04/14	39.32288	Woodlawn	America/New_York
8.55552	average	03/05/2015, 00:00:00	40.72586	Sassari	Europe/Rome
32.88667	good	2013/12/24	3.27833	Kitgum	Africa/Kampala
38.02486	excellent	15 Aug 2013	55.64776	Malakhovka	Europe/Moscow
120.97844	good	28 Jun 2020	14.8361	Guyong	Asia/Manila
-15.58602	accep	2013-08-15	27.76056	Maspalomas	Atlantic/Canary
-91.73625	average	25 Dec 2017	35.25064	Searcy	America/Chicago
36.36339	excellent	2016/02/24	0.03813	Nyahururu	Africa/Nairobi
20.89389	good	08/29/2016, 00:00:00	42.62833	Glogovac	Europe/Belgrade
-156.47432	average	04/29/2014, 00:00:00	20.88953	Kahului	Pacific/Honolulu
13.63617	excellent	02 Sep 2019	50.50301	Most	Europe/Prague
38.94324	excellent	08/15/2021, 00:00:00	44.98901	Yablonovskiy	Europe/Moscow
-1.05366	accep	07/22/2015, 00:00:00	43.71032	Dax	Europe/Paris
8.73812	average	07/03/2018, 00:00:00	41.91886	Ajaccio	Europe/Paris
45.36561	excellent	2013-02-08	41.09246	Qazax	Asia/Baku
117.27583	excellent	18 May 2015	35.64889	Sishui	Asia/Shanghai
-69.08333	accep	2019-07-11	-16.25	Yunguyo	America/Lima
141.95	excellent	2016-12-01	39.46667	Yamada	Asia/Tokyo
114.33333	excellent	01/21/2022, 00:00:00	-8.43333	Muncar	Asia/Jakarta
104.1451	good	20 Aug 2019	15.79408	Yasothon	Asia/Bangkok
31.33078	average	2012-10-30	47.56494	Voznesensk	Europe/Kiev
-78.04471	accep	2020/03/21	34.25628	Leland	America/New_York
2.1699	excellent	15 Nov 2014	48.98994	Herblay	Europe/Paris
-86.99666	good	2021-04-02	33.45122	Hueytown	America/Chicago
4.74161	accep	2016-10-17	7.62789	Ilesa	Africa/Lagos
123.62494	average	07/20/2020, 00:00:00	12.37169	Masbate	Asia/Manila
-98.15529	building	2018/08/25	26.18924	San Juan	America/Chicago
-117.23991	excellent	08/25/2016, 00:00:00	47.64995	Opportunity	America/Los_Angeles
76.0586	maintenance	2018-07-12	16.06213	Hungund	Asia/Kolkata
-53.13722	building	19 Jul 2017	-22.92306	Loanda	America/Sao_Paulo
-2.77259	good	2017/10/04	37.49073	Baza	Europe/Madrid
115.70111	excellent	2015-07-28	37.73222	Hengshui	Asia/Shanghai
-82.07842	maitennce	06/11/2013, 00:00:00	26.91756	Punta Gorda Isles	America/New_York
117.65694	excellent	04/24/2015, 00:00:00	36.19278	Laiwu	Asia/Shanghai
73.97117	excellent	2013-02-04	31.96258	Naushahra Virkan	Asia/Karachi
-95.36969	building	05/01/2014, 00:00:00	35.74788	Muskogee	America/Chicago
137.4	good	2020-02-13	34.81667	Toyokawa	Asia/Tokyo
38.94324	excellent	2015/05/12	44.98901	Yablonovskiy	Europe/Moscow
-52.51028	good	01/31/2018, 00:00:00	-28.81833	Soledade	America/Sao_Paulo
12.84052	excellent	12 Jun 2019	45.78071	Portogruaro	Europe/Rome
113.13148	maintenance	2015-10-31	23.02677	Foshan	Asia/Shanghai
17.4674	good	06 Oct 2013	50.86079	Brzeg	Europe/Warsaw
117.27583	average	23 Feb 2021	35.64889	Sishui	Asia/Shanghai
72.34424	good	02/03/2014, 00:00:00	40.78206	Andijon	Asia/Tashkent
-74.73584	excellent	2019/07/28	5.20856	Honda	America/Bogota
-63.13414	maintenance	06/26/2015, 00:00:00	46.23899	Charlottetown	America/Halifax
8.73812	excellent	06/21/2020, 00:00:00	41.91886	Ajaccio	Europe/Paris
109.05389	average	04/09/2014, 00:00:00	-7.51611	Wangon	Asia/Jakarta
12.19458	good	08/06/2017, 00:00:00	10.61285	Biu	Africa/Lagos
-35.03333	good	2017-07-31	-8.28333	Cabo	America/Recife
32.6178	average	2019/06/02	46.65581	Kherson	Europe/Kiev
-48.67028	maintenance	2017/06/19	-28.24	Imbituba	America/Sao_Paulo
135.6	accep	07/22/2017, 00:00:00	34.61667	Yao	Asia/Tokyo
71.30633	good	2016/06/17	21.34222	Kundla	Asia/Kolkata
70.96699	average	2018/11/14	30.46907	Kot Addu	Asia/Karachi
-74.96933	good	2019-04-13	39.71734	Sicklerville	America/New_York
19.91667	maintenance	2013/11/08	-11.78333	Luena	Africa/Luanda
83.62389	average	2022/01/10	53.30972	Novosilikatnyy	Asia/Barnaul
24.43973	average	16 Sep 2019	0.76755	Yangambi	Africa/Lubumbashi
-93.12577	excellent	2014-08-29	44.73941	Rosemount	America/Chicago
125.21972	maintenance	2014/06/16	-8.99167	Maliana	Asia/Dili
86.79271	average	2019/12/20	25.92127	Madhipura	Asia/Kolkata
1.10687	accep	07 Feb 2013	41.15612	Reus	Europe/Madrid
44.02488	accep	06/20/2016, 00:00:00	32.61603	Karbala	Asia/Baghdad
-75.69947	building	2013-08-20	8.79577	San Carlos	America/Bogota
10.18527	accep	06/03/2017, 00:00:00	47.98372	Memmingen	Europe/Berlin
73.7553	good	11 Feb 2013	15.5439	Calangute	Asia/Kolkata
-37.07167	average	2017/09/18	-10.91111	Aracaju	America/Maceio
37.38115	average	2016-05-09	55.63711	Solntsevo	Europe/Moscow
-87.88754	building	05/29/2016, 00:00:00	41.15376	Bourbonnais	America/Chicago
14.51472	excellent	14 Sep 2014	35.89972	Valletta	Europe/Malta
-73.97069	good	17 Aug 2022	40.64621	Kensington	America/New_York
75.96976	average	2019-02-17	15.73628	Gajendragarh	Asia/Kolkata
-111.99633	average	2019-06-15	40.65995	Kearns	America/Denver
33.9162	maintenance	06/23/2021, 00:00:00	51.67822	Hlukhiv	Europe/Kiev
103.61667	good	08/04/2020, 00:00:00	-1.6	Jambi City	Asia/Jakarta
137.02166	accep	2020/07/21	35.48199	Minokamo	Asia/Tokyo
-95.30106	good	2014-03-27	32.35126	Tyler	America/Chicago
34.75699	accep	2013-12-14	31.39547	Rahat	Asia/Jerusalem
7.11393	good	23 Nov 2012	51.08468	Burscheid	Europe/Berlin
-37.07167	excellent	2019/10/06	-10.91111	Aracaju	America/Maceio
128.9889	excellent	12/29/2021, 00:00:00	37.1759	T’aebaek	Asia/Seoul
68.11759	maintenance	2019/11/22	26.9423	Tharu Shah	Asia/Karachi
3.20639	accep	2015/01/29	50.74497	Mouscron	Europe/Brussels
-88.64235	good	2016-04-19	46.09273	Iron River	America/Menominee
75.11937	good	2018-04-14	20.88098	Parola	Asia/Kolkata
117.27583	excellent	2022-09-23	35.64889	Sishui	Asia/Shanghai
72.54566	excellent	03/10/2014, 00:00:00	29.69221	Hasilpur	Asia/Karachi
-119.01677	excellent	14 Sep 2018	36.06523	Porterville	America/Los_Angeles
68.11759	maintenance	2014-01-01	26.9423	Tharu Shah	Asia/Karachi
-34.88111	accep	2017/03/16	-8.05389	Recife	America/Recife
-80.38297	good	2014/01/03	42.8334	Norfolk County	America/Toronto
59.6	good	2018/08/14	47.83333	Shalqar	Asia/Aqtobe
33.34864	building	07/03/2015, 00:00:00	46.75451	Nova Kakhovka	Europe/Kiev
-71.23106	building	2021-01-30	-32.45242	La Ligua	America/Santiago
-100.88023	excellent	2012-10-06	20.21322	Salvatierra	America/Mexico_City
-117.71978	excellent	03/16/2015, 00:00:00	34.09668	Claremont	America/Los_Angeles
4.21372	maintenance	03/15/2019, 00:00:00	51.12794	Temse	Europe/Brussels
120.74792	acceptable	2020/01/07	41.09822	Nanpiao	Asia/Shanghai
-80.08199	building	2022/05/27	35.88264	Thomasville	America/New_York
144.23058	maintenance	01/13/2013, 00:00:00	-5.85746	Mount Hagen	Pacific/Port_Moresby
122.05228	good	12/02/2020, 00:00:00	37.19723	Tianfu	Asia/Shanghai
43.83992	average	30 Jun 2020	55.39485	Arzamas	Europe/Moscow
71.57737	building	15 Jul 2017	21.53889	Gariadhar	Asia/Kolkata
75.06583	good	09 Jun 2013	32.17629	Fazilpur	Asia/Karachi
-76.43941	excellent	2019-09-30	39.33427	Middle River	America/New_York
5.4384	accep	11/05/2020, 00:00:00	43.2907	Marseille 11	Europe/Paris
5.03586	average	19 Oct 2020	43.83125	Cavaillon	Europe/Paris
-2.16	maintenance	31 Mar 2015	34.31	Jerada	Africa/Casablanca
77.24779	maintenance	02 Jul 2017	10.58806	Udumalaippettai	Asia/Kolkata
30.96755	accep	17 Dec 2014	49.07866	Zvenihorodka	Europe/Kiev
-13.2356	excellent	2014-02-14	8.48714	Freetown	Africa/Freetown
16.86194	accep	31 Dec 2013	54.58048	Ustka	Europe/Warsaw
-5.22126	accep	01/30/2013, 00:00:00	33.43443	Azrou	Africa/Casablanca
-99.32556	accep	01/02/2017, 00:00:00	19.32889	San Lorenzo Acopilco	America/Mexico_City
68.21204	maintenance	13 Dec 2018	27.55898	Larkana	Asia/Karachi
115.70111	accep	2016-05-23	37.73222	Hengshui	Asia/Shanghai
-111.99633	average	11/17/2013, 00:00:00	40.65995	Kearns	America/Denver
-71.29144	good	2022-05-29	41.54566	Middletown	America/New_York
8.64409	building	30 Jul 2022	48.07667	Trossingen	Europe/Berlin
-73.95958	accep	2021-07-01	40.57788	Brighton Beach	America/New_York
44.7662	building	2015-12-22	40.49748	Hrazdan	Asia/Yerevan
-88.70464	accep	2015/10/08	34.25807	Tupelo	America/Chicago
13.58357	good	08/07/2018, 00:00:00	-1.63333	Franceville	Africa/Libreville
-77.70066	accep	13 Nov 2012	43.16547	Gates-North Gates	America/New_York
53.26023	excellent	12/05/2019, 00:00:00	54.39304	Bavly	Europe/Moscow
128.63083	building	2021-01-17	36.82167	Eisen	Asia/Seoul
9.29109	maintenance	30 Sep 2019	45.39402	San Giuliano Milanese	Europe/Rome
-59.13316	good	2019-05-15	-37.32167	Tandil	America/Argentina/Buenos_Aires
-89.64066	good	2016-11-04	40.56754	Pekin	America/Chicago
-96.67834	accep	12/23/2018, 00:00:00	34.77453	Ada	America/Chicago
-2.68758	maintenance	2018-07-19	53.69786	Leyland	Europe/London
-48.52333	accep	09 Jul 2022	-0.71667	Soure	America/Belem
76.03889	good	11 Apr 2021	18.18158	Osmanabad	Asia/Kolkata
30.4347	good	2021-04-25	-1.9487	Rwamagana	Africa/Kigali
86.79271	excellent	2017/12/27	25.92127	Madhipura	Asia/Kolkata
12.16179	maintenance	09/30/2017, 00:00:00	48.52961	Landshut	Europe/Berlin
4.47124	good	06/03/2022, 00:00:00	51.95838	Schiebroek	Europe/Amsterdam
-68.3	maintenance	2017/11/27	-54.8	Ushuaia	America/Argentina/Ushuaia
-1.05366	maintenance	2014/01/25	43.71032	Dax	Europe/Paris
47.3799	excellent	28 Sep 2014	33.14447	Darreh Shahr	Asia/Tehran
10.03988	average	03/29/2020, 00:00:00	53.6052	Barmbek-Nord	Europe/Berlin
-89.64066	accep	13 Jul 2016	40.56754	Pekin	America/Chicago
-8.33147	excellent	03/24/2021, 00:00:00	41.20485	Paredes	Europe/Lisbon
-86.19903	accep	04/01/2019, 00:00:00	11.84962	Jinotepe	America/Managua
8.55552	good	2014/12/12	40.72586	Sassari	Europe/Rome
-84.13722	excellent	04/23/2016, 00:00:00	9.92787	San Rafael	America/Costa_Rica
22.53083	good	01/28/2022, 00:00:00	44.22639	Negotin	Europe/Belgrade
106.85417	accep	02/22/2021, 00:00:00	-6.48167	Cibinong	Asia/Jakarta
6.74549	accep	06 Jun 2014	49.5099	Losheim	Europe/Berlin
120.56528	accep	2018-01-03	14.66	Pilar	Asia/Manila
16.4	average	2021-12-09	48.25	Floridsdorf	Europe/Vienna
72.54566	average	2016/06/22	29.69221	Hasilpur	Asia/Karachi
12.84052	accep	09/14/2015, 00:00:00	45.78071	Portogruaro	Europe/Rome
113.69785	excellent	29 Sep 2014	-7.73379	Besuki	Asia/Jakarta
-73.95097	excellent	07/07/2021, 00:00:00	40.72371	Greenpoint	America/New_York
101.96857	good	2014/07/29	4.88441	Gua Musang	Asia/Kuala_Lumpur
73.06784	excellent	11/24/2013, 00:00:00	25.13915	Sheoganj	Asia/Kolkata
33	excellent	09/25/2020, 00:00:00	-2.68333	Usagara	Africa/Dar_es_Salaam
56.36091	accep	2022/09/10	51.78771	Saraktash	Asia/Yekaterinburg
-72.86843	maintenance	2018/08/22	41.27621	East Haven	America/New_York
15.46667	average	04/17/2022, 00:00:00	47.05	Sankt Peter	Europe/Vienna
-97.50417	average	2016/02/22	25.87972	Heroica Matamoros	America/Matamoros
6.61944	excellent	2016/09/16	52.57583	Hardenberg	Europe/Amsterdam
120.89694	good	2014/07/18	14.95472	Baliuag	Asia/Manila
-93.12577	maintenance	13 Oct 2013	44.73941	Rosemount	America/Chicago
-42.19667	building	02 Jul 2013	-21.41222	Miracema	America/Sao_Paulo
76.35484	average	2016-08-01	10.10649	Alwaye	Asia/Kolkata
13.32127	excellent	29 Apr 2016	52.59319	Wittenau	Europe/Berlin
-2.01111	maintenance	2021/05/14	52.66277	Great Wyrley	Europe/London
34.34691	accep	12 Apr 2018	61.78491	Petrozavodsk	Europe/Moscow
39.25	excellent	2015-12-04	-6.8	Magomeni	Africa/Dar_es_Salaam
37.49338	excellent	2014-05-27	55.62047	Tyoply Stan	Europe/Moscow
117.63083	accep	07/18/2015, 00:00:00	35.50056	Pingyi	Asia/Shanghai
-80.22588	good	05/02/2013, 00:00:00	26.2173	North Lauderdale	America/New_York
136.51667	average	02 Sep 2013	35	Komono	Asia/Tokyo
-37.07167	accep	20 Jul 2016	-10.91111	Aracaju	America/Maceio
2.29275	building	2014-05-11	48.79325	Fontenay-aux-Roses	Europe/Paris
-76.70944	excellent	2013/09/24	-11.94306	Chosica	America/Lima
-74.38987	maintenance	08/24/2016, 00:00:00	40.65538	Scotch Plains	America/New_York
5.03586	accep	2018/09/12	43.83125	Cavaillon	Europe/Paris
85.94001	average	2019-10-11	25.49043	Teghra	Asia/Kolkata
-59.13316	excellent	2016-08-14	-37.32167	Tandil	America/Argentina/Buenos_Aires
69.49015	excellent	04 Sep 2015	56.11281	Ishim	Asia/Yekaterinburg
14.43865	good	2015-04-20	40.87329	Somma Vesuviana	Europe/Rome
-42.29444	good	03 Dec 2018	-4.24444	Barras	America/Fortaleza
81.54855	average	04/29/2015, 00:00:00	26.2649	Jais	Asia/Kolkata
86.59509	accep	07 Dec 2014	26.11527	Supaul	Asia/Kolkata
-86.11084	average	03/19/2019, 00:00:00	41.75338	Granger	America/Indiana/Indianapolis
-122.24064	average	07/27/2019, 00:00:00	47.80527	Bothell West	America/Los_Angeles
86.00214	good	2018-12-14	46.51872	Hoxtolgay	Asia/Urumqi
-37.93278	accep	11/21/2015, 00:00:00	-11.48472	Rio Real	America/Bahia
8.64409	excellent	11 Apr 2022	48.07667	Trossingen	Europe/Berlin
1.26738	accep	2017-07-25	51.84819	Walton-on-the-Naze	Europe/London
35.96944	good	2014/11/15	56.03361	Volokolamsk	Europe/Moscow
-117.29198	accep	11/02/2012, 00:00:00	33.03699	Encinitas	America/Los_Angeles
35.96944	maintenance	2014/07/01	56.03361	Volokolamsk	Europe/Moscow
34.8732	excellent	2015/05/05	32.05971	Ganei Tikva	Asia/Jerusalem
-77.03116	good	2014-10-03	3.8801	Buenaventura	America/Bogota
5.55575	accep	01/18/2020, 00:00:00	46.67535	Lons-le-Saunier	Europe/Paris
39.8302	excellent	16 May 2017	64.5635	Severodvinsk	Europe/Moscow
