PRES	SO2	warning	CH4	NOx	PAHs	CFCs	longitude	latitude	H2CO	Pb	PM10	C2H3NO5	NH3	PM2.5	O3	CO	TEMP
1083.42562	10.03000	0.00000	12.54149	8.17798	9.81994	78.15156	-93.263	45.0408	44.69914	70.78955	7.96978	0.04158	8.50319	6.35300	8.07184	5.75496	14.16166
1134.28489	8.60566	1.00000	11.13696	8.16261	9.97132	68.53261	59.6	47.83333	43.96079	79.36849	13.40741	5.58129	11.83598	5.71849	12.21576	8.20126	15.46410
1059.99956	9.75640	1.00000	7.72046	9.32609	11.14354	39.74682	5.03586	43.83125	29.72625	39.92732	11.39831	0.75753	13.63122	8.77063	10.33947	8.63873	27.04727
1126.78097	9.95324	0.00000	7.60554	11.55317	8.05434	46.29280	3.20639	50.74497	41.71654	44.40054	7.76658	0.03334	12.63171	13.91782	8.13642	6.23814	16.69281
1151.82665	10.27686	1.00000	11.21825	9.69804	9.49229	47.52651	84.87144	47.46657	46.81392	51.29728	7.06509	0.02366	7.63170	8.89998	7.81901	12.02132	25.71453
1127.11947	8.74257	1.00000	11.78072	9.56616	11.32671	72.92951	-86.57415	15.48131	72.22146	46.07258	8.01775	0.03600	7.29498	8.34346	8.64047	9.80813	14.93229
1081.34950	11.73825	1.00000	12.64579	11.74972	10.78822	46.57752	128.63083	36.82167	44.84107	36.10894	6.41929	0.01222	9.88368	9.18201	7.31607	8.12661	11.86789
1150.24201	9.03060	1.00000	9.23961	8.64424	10.24501	60.97190	-119.27337	50.26729	44.63785	45.94911	10.18535	0.23280	9.48128	9.28181	11.83340	11.32222	17.74868
1107.08105	11.07801	0.00000	12.45100	10.91303	9.28675	57.66315	44.02488	32.61603	49.48785	68.66082	11.10645	0.57108	9.74788	8.97292	6.56880	7.32198	19.96748
1160.99686	10.50740	1.00000	12.30514	9.92429	8.86154	26.39488	126.28333	45.35	43.85519	54.89177	8.02896	0.03661	10.32432	10.07295	10.10942	7.04696	2.77582
1198.59855	10.08389	0.00000	10.18724	9.86205	9.15236	51.17670	144.09638	43.82634	50.23782	70.02599	9.83225	0.16668	9.41022	8.08758	6.08793	9.27925	-4.07355
1096.53850	9.67798	1.00000	10.48559	9.76008	10.92741	56.25230	-116.97725	33.92946	40.00042	41.33049	11.70178	1.02431	8.88883	9.63573	9.63319	9.67284	29.24615
1116.46229	8.02071	0.00000	12.25254	8.14702	9.20419	44.26108	83.36889	26.76628	58.89999	58.10905	8.87887	0.07352	7.58091	7.04242	10.09777	7.66390	0.87385
1121.57507	9.40897	1.00000	11.61189	9.16659	9.37688	87.92429	76.0586	16.06213	57.31138	71.15890	5.79598	0.01877	7.73538	9.68583	3.85389	12.53701	12.39471
1083.30619	9.27331	0.00000	9.90789	10.05809	9.24955	28.78586	7.11393	51.08468	34.10823	51.25568	6.48047	0.01114	6.78784	9.23021	11.26004	7.43833	5.30022
1128.56220	8.28476	0.00000	11.75319	10.39935	8.86625	58.84876	-51.87389	-23.44361	24.21523	24.51893	7.27439	0.02681	8.15134	7.65194	10.82805	7.60283	14.46660
1095.38717	9.17977	0.00000	10.34499	8.57056	8.13242	38.36604	72.54064	31.82539	30.12390	33.44092	6.93579	0.02222	9.43298	7.16939	8.40082	7.80542	5.42199
1140.77825	8.23062	0.00000	10.86603	7.90513	8.84001	56.44121	-0.36053	51.64316	43.08467	80.75177	12.30237	1.85954	7.95140	9.88298	7.11934	8.62120	20.83880
1122.59531	9.77296	0.00000	10.88273	9.47810	10.15275	75.98958	106.85417	-6.48167	51.64751	73.14165	8.69038	0.06059	7.84840	6.81325	6.82561	7.94978	11.02829
1076.81120	8.97263	1.00000	10.37534	10.41214	7.98913	52.23587	124.95278	6.33444	42.25770	60.90700	8.11267	0.03913	7.01273	8.35205	6.90984	11.71701	24.35284
1187.82154	8.22363	0.00000	8.69928	9.40280	8.68592	65.56380	-80.31727	25.67927	54.74744	31.41158	10.56738	0.32922	9.62817	12.14605	6.50112	7.10398	4.05829
1058.68161	10.32898	1.00000	10.60594	9.41032	10.28099	32.01722	-89.64066	40.56754	45.96048	56.72116	7.92837	0.03344	9.76798	9.65614	10.21340	7.52952	37.26088
1112.10733	9.00737	1.00000	8.16071	8.61095	8.70475	61.17454	139.55722	36	62.04853	81.49357	9.95930	0.17904	5.14818	7.57249	10.45356	14.48723	8.23557
1135.86602	7.97965	1.00000	11.45497	9.74787	12.02800	75.11546	-2.12139	52.48173	26.49164	75.05081	7.31594	0.02395	5.89988	9.05872	8.34712	12.18374	2.79700
1078.62346	9.93552	1.00000	9.91579	11.00170	10.04698	51.25648	-37.65	-10.91722	28.21622	42.57759	10.85262	0.44089	10.59215	10.03652	9.62031	10.02690	19.07668
1135.79498	11.04889	0.00000	11.70601	10.75082	9.84297	57.09505	38.16694	54.84444	36.92272	25.57039	9.03352	0.08138	8.52942	9.27296	7.63280	10.16550	5.76621
1076.41048	10.59276	1.00000	10.85132	9.68020	8.54822	33.47084	21.32778	42	64.70764	42.27054	7.31465	0.02675	7.19299	9.00942	6.91138	12.10655	6.31966
1052.76234	9.66621	1.00000	10.85443	7.60944	9.03667	38.58815	2.35739	41.63976	42.00276	43.99263	7.41045	0.02582	9.99108	7.92517	6.25640	9.45803	19.09610
1110.75112	9.55413	1.00000	13.37447	6.72578	10.43430	35.58017	104.1451	15.79408	76.52989	45.28757	9.26087	0.09340	10.49194	5.28408	11.36611	5.05562	7.72187
1166.08629	8.79314	0.00000	12.08837	9.23653	8.98336	55.70976	38.01667	-5.41667	49.17295	52.91168	6.88018	0.02071	9.98299	8.43731	11.88049	7.75556	6.36849
1090.38628	11.29336	0.00000	11.27403	8.65576	8.44985	42.09868	-97.92977	38.06084	68.47935	55.03356	8.21055	0.04948	8.41116	7.08403	9.25038	5.49190	19.57734
1171.65782	8.47586	0.00000	8.30384	10.99159	7.90381	46.15228	7.973	51.168	48.48040	61.47432	10.15237	0.22211	8.46386	11.46411	6.12688	7.92780	-5.54192
1181.03677	7.03076	0.00000	10.48161	8.55002	11.48953	39.86557	-8.33147	41.20485	55.03172	40.64769	7.75170	0.03110	6.91662	9.72646	9.29023	11.14199	10.82436
1168.73962	9.65410	0.00000	10.85293	8.56397	9.63675	43.34366	-91.73625	35.25064	0.00000	62.61703	11.03732	0.53396	10.36040	10.58354	8.11630	8.33847	21.03079
1057.65394	8.08818	0.00000	11.45468	9.67074	8.05761	44.79172	-105.36369	22.49396	52.83890	64.41112	10.53355	0.32150	12.68223	9.40684	8.76968	8.91096	7.73064
1138.73461	8.56674	1.00000	10.82450	6.68559	8.21926	51.08273	4.47124	51.95838	41.85839	69.80349	8.28968	0.04927	7.26037	8.21224	9.21209	10.55850	10.92609
1178.95156	9.66539	1.00000	12.03739	9.43926	9.01497	42.04518	105.75635	10.29085	41.15816	74.32457	5.88280	0.01445	10.92901	9.64114	5.80027	8.45649	15.29253
1088.25398	8.53104	0.00000	10.58555	10.05596	9.66814	53.20446	53.26023	54.39304	48.76686	49.92209	8.80417	0.06820	7.57910	6.93198	5.75363	7.08249	13.81113
1106.72223	9.16112	0.00000	10.58090	7.30631	9.61798	52.27514	82.85749	17.54907	39.66605	63.99501	11.45955	0.80504	13.40359	10.10825	9.30918	9.02652	6.31687
1074.77952	7.98397	0.00000	8.44933	9.78369	10.52591	54.67989	47.3799	33.14447	59.41019	51.74213	11.81136	1.14540	12.84649	11.82027	8.42992	8.95570	27.16826
1053.06363	7.58723	0.00000	8.87133	7.51682	9.93633	56.95432	125.21972	-8.99167	62.64241	47.99436	9.84091	0.16917	13.62156	12.36408	9.97045	8.64891	7.99041
1107.92570	11.15884	1.00000	8.16261	8.32252	9.00196	34.94613	118.9707	-3.5403	44.57833	54.27759	8.76230	0.05837	10.73980	11.21686	10.87526	11.79923	6.88847
1140.39892	9.72091	0.00000	10.18904	10.40709	8.62333	45.28129	-13.2356	8.48714	76.82996	55.46762	7.38963	0.02043	8.30575	7.74719	8.29220	7.00745	2.47105
1182.06617	8.08048	1.00000	10.76917	7.95699	10.69636	30.17085	-84.23381	33.54428	48.49961	67.52811	12.91737	3.41634	12.34283	7.08868	11.52381	7.51236	18.70561
1091.28833	8.09192	1.00000	10.89086	8.15754	8.60773	59.27864	-37.65	-10.91722	41.11131	37.93881	6.23954	0.01330	6.65511	10.06638	4.56235	12.65661	17.62172
1167.06700	9.69254	1.00000	10.21079	10.71271	11.05960	62.42690	14.30935	40.92298	61.74705	58.47793	9.13748	0.09531	6.97482	7.22395	7.96256	11.42501	27.08484
1122.66962	8.75236	1.00000	8.97987	11.26093	9.28585	42.56485	105.75635	10.29085	30.35983	57.95380	9.75382	0.15857	7.14217	7.08215	7.61829	10.89878	3.59155
1138.44623	9.83591	1.00000	12.06419	9.93291	10.84424	25.22852	2.95924	36.76775	59.57056	51.19390	7.50507	0.03033	11.62789	6.94492	8.89398	6.73110	8.77780
1111.66255	10.25256	1.00000	8.19976	9.88565	9.29584	63.95311	83.62389	53.30972	36.29817	71.71111	12.82834	3.12950	14.68295	9.03425	10.83117	8.82224	7.40765
1094.89637	11.19805	0.00000	11.58711	9.75375	9.66259	59.52903	12.70038	45.9836	37.42576	53.23611	12.25001	1.75471	8.85352	9.55103	8.32949	9.42528	1.47892
