PRES	warning	PM10	C2H3NO5	TEMP	NH3	SO2	CO	longitude	CFCs	PM2.5	latitude	NOx	CH4	O3	PAHs	Pb	H2CO
1157.21826	0.00000	8.47559	5.69603	19.13973	3.76334	8.40850	4.37965	-75.11028	75.00680	7.54283	-15.21194	5.98529	10.63245	9.43844	8.78497	23.26548	46.37251
1096.49096	0.00000	6.95379	2.39542	20.33330	9.82369	7.85228	6.13317	2.44892	49.21953	6.20197	48.98693	7.99357	8.48256	6.50173	6.19177	38.09937	33.76324
1084.28034	1.00000	6.39843	2.01892	8.26916	5.31105	8.16512	5.74138	6.76111	62.93006	9.44102	53.16167	5.82305	8.69358	7.66131	7.71126	59.02428	82.57492
1111.30676	1.00000	8.01260	4.27924	5.27208	8.63585	7.91736	8.47951	2.95924	71.25443	6.64958	36.76775	5.91759	8.00966	6.47889	8.76217	39.56966	19.04051
1087.12422	1.00000	8.08161	4.68839	7.86567	6.91904	9.15299	5.50933	-51.87389	68.34895	7.15637	-23.44361	7.99586	9.81392	7.60306	11.40782	37.68588	34.30605
1163.21758	0.00000	7.83508	4.09190	1.91064	9.29976	5.74668	5.09063	126.835	52.41786	5.09159	37.65639	7.81179	9.10630	9.16956	4.40135	63.82154	63.19413
1145.71546	0.00000	8.40841	5.57936	31.48918	6.17749	6.01543	5.78712	9.15214	61.26389	5.81795	49.97704	5.57997	7.08486	7.56941	10.13291	43.93945	71.49169
1149.19116	1.00000	6.91634	2.76561	2.05421	7.80973	9.35682	5.59904	24.75	48.52509	5.79540	55.25	5.30284	8.90490	8.06800	9.18648	47.73038	53.56756
1173.67357	1.00000	8.17384	4.34341	20.77573	8.88082	5.78934	6.94178	76.0586	52.68292	5.33675	16.06213	5.98033	11.84202	7.79128	11.50446	26.67826	45.61210
1181.13361	1.00000	7.62902	3.48500	8.76309	7.77929	8.21431	3.81291	-47.1725	41.70601	6.64105	-22.57306	6.24117	10.21272	7.31865	10.82325	39.17577	67.41742
1055.54058	1.00000	7.53450	3.33253	7.22555	9.93641	6.08983	7.72235	125.51176	63.97434	5.55121	42.64031	4.40909	6.85377	7.99733	6.78782	33.66124	48.94940
1179.37577	0.00000	5.53642	0.72972	14.91993	6.78569	7.63876	6.99065	-86.99666	63.80042	4.33537	33.45122	7.47042	9.14745	7.45030	7.94820	65.01815	35.12214
1063.39631	1.00000	6.04517	1.59438	17.10976	6.84768	6.30292	4.66201	-111.90466	94.08205	10.60363	40.34912	5.33019	9.63605	7.57579	8.03758	41.96234	77.74718
1136.58216	0.00000	7.32120	2.54879	31.61821	7.79214	5.43223	7.36902	35.34722	63.04429	8.47507	-23.85972	5.73182	6.78527	8.27332	10.97034	76.37834	59.10282
1141.05648	0.00000	6.27633	1.25075	19.48599	7.75055	7.83520	8.89798	20.22625	53.01100	6.89258	30.75545	3.70051	9.98862	7.49941	8.70100	42.26231	30.95421
1087.89050	1.00000	8.67427	6.77798	32.46353	10.68014	6.77650	6.15440	137.95378	49.76677	6.44321	35.82756	8.70598	10.94188	5.89656	8.78759	60.28696	58.84454
1051.78988	1.00000	5.24239	1.27171	14.17260	11.06662	7.51087	5.82643	-47.1725	79.23131	7.26044	-22.57306	10.55660	12.00552	7.89634	10.09266	70.91112	47.25481
1063.87629	1.00000	10.21441	25.60651	11.80702	8.27681	6.57814	8.00809	-43.80139		5.88920	-20.25333	3.49364	6.76412	8.00487	7.74025	59.63198	45.57008
1140.61841	0.00000	7.23457	3.55523	16.58373	6.90901	6.66879	5.59745	-71.05977	100.00000	5.43399	42.35843	8.14849	8.03078	6.20870	8.37555	74.70510	36.46320
1050.91448	1.00000	8.46576	6.78304	15.91558	4.99611	9.28090	9.09071	-5.55835	58.59785	8.27011	42.64685	5.55417	7.38493	9.24936	8.11123	43.64012	32.94805
1125.52704	1.00000	8.13176	5.21937	8.32915	5.89687	7.88282	5.17156	73.97117	59.35427	7.27116	31.96258	8.62557	10.30515	6.32214	10.74097	43.97866	37.99445
1107.74393	0.00000	7.55537	2.88236	10.00156	8.75554	6.69938	2.72493	102.42587	50.61260	9.32709	15.58552	10.34360	8.87738	6.93376	6.46760	35.72032	71.53188
1135.03749	1.00000	6.80146	1.86876	13.67763	8.53975	9.60109	3.75929	-111.99633	47.85358	10.38930	40.65995	8.79084	7.75519	8.33316	10.75067	19.62047	45.50315
1193.32146	1.00000	6.37857	1.22986	-4.74490	6.34463	6.73716	5.71095	85.83636	63.60317	9.94054	25.66795	7.51758	6.76753	8.07928	9.36157	50.96002	40.29470
1051.53297	0.00000	7.60600	2.41071	20.72743	8.65451	6.36961	2.26807	1.10687	53.61158	7.76810	41.15612	10.08403	8.03299	7.70435	6.33307	18.20339	59.80611
1063.11017	0.00000	8.00001	4.40368	23.82977	4.73192	7.39151	6.23035	68.11759	53.11778	6.08642	26.9423	5.20672	9.81317	4.84474	8.90170	64.18022	74.80485
1159.11406	0.00000	6.56501	2.54816	10.31337	10.98444	6.02235	6.00158	-0.33525	37.32746	10.29196	53.7446	10.23903	12.44308	7.32718	6.02609	28.86237	53.07665
1113.80909	1.00000	7.71618	3.70684	12.32650	7.88956	9.08011	8.06791	27.46153	37.10503	7.60141	-21.44236	4.39640	7.93650	6.75099	7.40269	62.02659	78.74055
1109.08342	0.00000	7.40239	2.21393	15.83923	5.98944	8.21467	7.07884	120.97844	61.68241	7.01679	14.8361	4.91099	8.89868	6.11145	8.74042	72.33323	61.09169
1131.06225	1.00000	8.91300	8.90805	15.50822	10.37435	7.38339	7.89071	59.80222	60.32901	6.75204	58.63667	6.56564	10.33344	6.81746	7.21590	36.11416	22.45250
1157.06294	1.00000	8.68742	6.80079	27.58355	5.17142	7.69554	7.27161	27.46153	76.26634	7.82810	-21.44236	7.81269	8.96845	7.04198	10.29883	61.08854	40.41035
1132.14714	1.00000	7.50893	2.94164	15.16462	4.88557	6.32670	7.35815	-91.11667	64.04873	4.50336	14.93333	7.89880	7.82319	6.93660	7.56658	16.52993	68.38309
1064.34100	1.00000	7.53539	2.54925	8.39772	9.18269	6.43148	5.46231	77.24779	54.37629	6.80646	10.58806	7.94698	10.07206	6.66026	9.63753	39.02150	60.08613
1116.94009	1.00000	7.94858	4.36849	5.11209	8.50932	9.09313	6.83694	8.61839	59.10338	5.97598	49.68369	3.92856	7.76493	6.91835	8.02490	70.65848	58.72959
1074.93809	0.00000	6.38715	1.61127	44.15091	10.40174	7.74668	5.18515	8.2926	54.51719	6.56493	9.58126	12.13426	10.53621	8.08814	6.81145	51.00637	54.94774
1120.71388	1.00000	6.98463	1.87174	8.64651	8.77888	6.02179	4.27487	123.62494	58.05366	8.44061	12.37169	7.69395	8.39497	5.51308	10.38747	52.97306	23.67101
1134.37521	0.00000	8.08375	3.91012	37.16397	9.59135	7.01015	6.10195	123.33471	68.57227	6.04580	8.56697	8.54090	7.82763	5.61303	6.80105	61.80324	41.10214
1066.73217	1.00000		2.66193	-2.88280	9.97050	7.89710	4.25149	139.55722	51.05306	7.27395	36	8.52104	11.01211	8.48321	8.94378	42.75403	25.12183
1165.00634	1.00000	7.62925	2.71872	29.78910	8.66378	5.77609	4.50240	34.8732	44.54936	7.29924	32.05971	7.37482	9.91656	8.46491	8.67919	51.80817	43.90644
1158.58151	0.00000	7.35685	2.69869	13.03985	8.55299	7.81611	8.69387	-77.02303	63.11296	4.70116	38.70734	7.15242	7.49535	8.61275	7.04355	59.23776	39.45892
1060.34629	1.00000	7.62378	2.92347	15.01883	8.57642	5.92839	6.29976	8.2926	51.23358	6.39488	9.58126	7.01949	10.08757	10.87551	8.44411	49.54823	53.96214
1193.37292	1.00000	6.22780	1.64412	25.04151	5.07507	7.55460	5.13148	-0.33525	65.18489	11.11590	53.7446	4.84135	9.70388	7.44967	8.06148	54.67960	23.90161
1134.60007	1.00000	7.20605	2.78713	17.82819	8.18962	6.42197	6.57566	-73.97069	44.82992	5.98246	40.64621	4.53001	8.24605	6.70282	9.28392	62.67309	47.66072
1152.21262	1.00000	8.72150	6.53792	19.26052	7.37649	6.67916	6.33286	-77.02303	56.99063	7.16736	38.70734	7.02359	6.63614	7.62174	8.45554	51.73018	33.73382
1137.80467	1.00000	7.18108	3.38733	5.81938	9.18699	7.91334	7.63182	-48.29694	60.34202	6.07797	-20.87306	6.10746	9.16087	8.16828	9.91625	13.65870	54.83590
1059.30732	1.00000	8.26865	5.47058	-1.75658	7.18164	8.32104	7.66231	-77.02303	59.97714	5.41235	38.70734	7.62533	7.98744	6.99495	10.02206	57.26067	31.06147
1130.39858	1.00000	8.16815	4.46924	12.25770	10.61389	6.38207	4.47568	30.38167	55.80404	6.53534	59.80917	8.00567	10.52303	7.88756	8.45529	50.61131	34.02346
1086.89486	0.00000	6.62227	2.08784	29.16824	8.82558	6.90899	7.45639	-96.39774	54.03803	5.79747	30.16688	6.30503	8.69294	8.96294	10.19924	53.51187	55.80369
1142.99434	1.00000	8.39300	6.21024	18.61096	10.08220	7.85760	6.13610	-105.11221	52.67679	8.18047	39.57582	5.14926	7.34441	8.06262	9.38949	36.05472	23.94261
1197.14895	0.00000	8.90784	7.57630	-13.03754	5.85341	8.77796	9.78679	-43.80139	57.59734	1.96097	-20.25333	4.37817	6.37961	9.21751	5.28427	60.34905	37.14438
1142.15443	1.00000	7.45071	3.19672	31.00126	11.29164	8.41493	4.89920	72.68533	61.28649	5.15323	22.75218	6.23815	10.24520	7.62956	7.19217	40.13360	51.68786
1143.93059	1.00000	7.58534	3.02787	16.68267	7.45597	7.69229	2.79996	74.83554	68.64645	6.14741	14.62072	4.57210	8.15869	7.55557	8.87008	46.62130	64.15892
1118.87585	1.00000	6.44756	1.73974	32.26709	6.90574	6.54143	8.14908	35.90057	63.74252	8.34261	56.85836	4.79009	8.57380	7.98134	8.55332	44.35079	58.65427
1156.74731	1.00000	8.25235	4.29672	16.25885	7.99237	6.94492	6.27526	-51.87389	55.41543	6.33304	-23.44361	7.87495	10.65444	5.90910	12.13526	47.61289	33.33220
1195.89654	0.00000	6.98675	2.26426	5.00512	8.42573	7.05166	5.67950	43.83992	64.54660	5.69657	55.39485	9.25923	5.92039	7.26168	8.95256	53.15247	57.92287
1188.70436	1.00000	6.13105	1.42178	24.60543	6.62476	8.16062	3.80657	77.23826	95.29318	12.15097	11.50526	3.75272	11.76957	7.70615	7.41643	59.98233	39.29202
1197.91743	0.00000	6.50063	1.78798	14.07990	10.53662	7.25086	4.85192	34.4587	47.64519	9.60092	-13.7804	9.53394	7.55541	6.67693	8.40815	73.66755	49.95394
1115.08999	0.00000	6.90788	1.82490	29.30915	6.37886	7.79340	6.49887	36.36339	59.30042	5.67782	0.03813	6.55020	7.48156	7.90274	10.70438	27.28017	66.53603
1067.10630	1.00000	8.28343	4.83958	10.02461	5.96788	7.41750	8.01219	-0.76773	65.48461	9.16801	38.38479	5.83045	9.34314	7.36694	9.63278	60.10247	64.88042
1153.47509	0.00000	7.41173	3.32419	29.27038	5.08591	8.11245	6.88581	145.18333	55.17272	7.18167	-37.9	5.62315	9.11564	7.57325	11.08517	49.98709	35.82873
1109.78982	1.00000	7.63639	2.47129	48.12710	7.98480	7.62341	7.89236	16.91667	57.59492	6.25810	-21.98333	6.14720	7.84723	5.91865	9.19838	31.62056	46.83533
1148.04656	0.00000	6.10736	1.58343	18.32589	11.23312	7.88141	6.09658	-96.72365	56.87893	7.93066	17.06542	10.30647	9.75002	6.47539	7.44271	34.30135	49.56827
1115.71355	1.00000	8.43553	6.38262	7.90243	8.29872	7.38493	7.37480	5.16108	52.80563	6.41589	48.77275	5.95217	9.01052	9.84718	10.25467	57.68839	30.63886
1143.93140	1.00000	8.42449	6.24392	12.28425	7.08814	8.27332	3.99496	2.08333	56.65328	10.21039	48.86667	5.17583	8.72988	6.03304	7.12993	33.30387	
1147.35607	0.00000	6.02302	0.85357	29.33128	7.26745	7.09887	9.08406	-50.19556	65.25579	6.93129	-19.72806	3.59073	9.31865	6.59031	9.48625	34.74384	33.09816
1177.50747	0.00000	8.44157	6.17347	14.99530	6.55889	6.80755	7.42610	-103.5687	56.75445	9.76853	20.22816	3.99388	7.51213	8.80005	12.84617	68.54167	74.42317
1098.95182	1.00000	7.62093	3.31625	36.62677	8.79367	8.38149	3.15899	12.1369	63.42831	7.64417	51.04962	6.70215	8.04679	7.67114	6.74906	63.69187	61.01697
1083.67724	0.00000	6.76837	1.65848	24.71043	8.99657	7.89444	5.57044	-51.87389	72.94791	6.94674	-23.44361	8.45349	8.62945	9.30942	6.08957	51.75313	23.26953
1124.13840	0.00000	7.42738	3.51217	25.94011	8.90392	5.98608	8.35088	27.06365	30.34168	6.19111	50.18545	9.99987	10.45361	7.00129	6.85180	53.02041	34.96648
1066.17027	1.00000	7.03880	2.75526	13.23745	7.60981	7.16535	2.72855	-82.35176	73.32270	9.49450	27.71809	9.03097	10.23458	7.15803	12.06480	35.10930	43.03056
1111.84165	0.00000	8.17408	4.83054	28.06235	11.15652	5.95844	5.15438	-87.45476	59.81940	7.18943	41.47892	9.86549	9.43877	8.08146	6.63034	58.21033	29.82620
1067.24303	1.00000	7.75992	3.31856	24.61638	9.29621	9.00450	3.76232	3.39467	68.78811		6.45407	7.61774	8.78566	9.65085	8.66892	46.10346	47.79058
1145.09641	0.00000	8.61588	6.32133	7.22503	10.06413	6.16602	7.09461	43.2379	61.12217	3.25048	50.06	7.00505	8.81878	4.78395	4.51076	34.65817	55.39882
1057.19190	0.00000	7.05501	2.74163	6.70118	5.22502	8.36867	7.23908	59.80222	62.81264	7.09551	58.63667	5.47279	5.24705	7.31844	13.76249	18.22187	60.38927
1120.21044	1.00000	9.43702	13.02721	4.88273	8.81334	9.22706	5.04369	99.96667	59.93279	6.85769	8.43333	6.42670	9.49727	7.87729	8.78767	74.74954	32.61072
1105.39747	1.00000	7.10925	3.10487	6.45562	9.99776	7.50162	6.99766	126.835	61.41171	5.16666	37.65639	6.76998	9.51934	7.41885	8.94230	51.13363	76.17966
1166.32491	0.00000	7.33875	3.00156	6.21739	8.02969	7.98231	6.05323	-78.04471	66.50056	7.52804	34.25628	7.28816	8.04173	5.64749	8.48310	82.10916	24.13598
1118.83409	1.00000	7.63725	3.26691	14.43811	8.00166	8.55706	8.49232	12.19458	51.67310	5.60379	10.61285	3.95668	7.57282	7.82942	7.68390	33.85403	67.46783
1089.28280	1.00000	7.65490	4.14843	10.43956	7.26878	5.17696	4.67057	122.9666	52.08462	6.87618	10.7375	6.76891	9.25129	8.85829	10.03065	30.36398	46.20465
1058.81284	0.00000	9.32635	11.41363	31.21144	7.77667	7.00445	5.08540	6.9747	53.38471	3.39134	50.82709	8.35042	7.68277	7.10647	5.18948	44.44290	36.90342
1145.45105	0.00000	8.02300	3.44791	4.34653	7.94456	8.18248	8.32166	2.18967	50.90409	6.62896	48.8765	10.43343	10.35572	9.42695	6.95796	53.64265	27.79778
1102.18449	0.00000	8.15641	4.29290	27.65930	6.67611	9.45187	4.47477	10.7	56.37105	7.23967	4.96667	8.68516	8.70749	6.45173	5.39263	41.51856	52.49799
1113.29591	1.00000	7.04484	2.63977	18.14311	10.06756	9.11297	7.61717	56.36091	57.30196	6.18135	51.78771	7.27823	9.82420	8.75629	9.02714	51.72137	45.74663
1098.11935	1.00000	6.30445	1.95293	4.53234	9.85732	8.69366	4.82092	106.88324	50.26240	6.29126	47.90771	6.35662	9.05110	9.12504	7.85666	47.04114	57.03243
1097.98923	1.00000	8.41573	5.60694	18.86868	10.09368	8.01208	5.25323	137.23333	56.55406	6.39580	35.8	6.71750	9.64373	8.31791	7.53839	64.64705	73.24268
1112.82474	1.00000	9.11334	9.92358	36.42730	7.02114	7.96996	6.21659	-8.07257	50.29973	12.05794	12.74409	4.54638	9.64041	7.91835	8.67442	48.94822	44.62900
1052.19897	1.00000	7.08647	2.63518	14.48626	8.40970	7.52457	3.92617	-81.79819	51.59848	6.25240	41.48199	7.58824	11.32906	7.27443	11.16829	36.96024	75.29128
1181.64624	1.00000	6.74007	1.79516	14.42966	6.94821	8.90342	4.04594	-118.25508	70.81646	8.71248	34.14251	7.79153	9.64975	7.51649	9.98165	37.35463	
1145.25513	0.00000	7.61841	2.96976	12.86077	6.28454	8.73442	4.53379	-63.90389	66.30824	4.31071	-8.76194	8.63134	7.18710	6.55458	8.06767	54.76132	67.44726
1097.21757	1.00000	7.57736	3.66595	29.85488	5.34377	7.02397	5.45995	-1.29243	53.95564	11.06665	53.49389	6.83326	8.33197	8.92503	8.90517	66.91068	42.20805
1050.06382	1.00000	7.72254	3.87302	12.53120	8.99460	5.63473	5.72895	145.18333	76.20862	7.22442	-37.9	9.16317	10.60666	7.48064	8.99116	51.87143	47.15570
1061.52467	0.00000	7.39202	2.93725	24.38034	7.57952	9.00305	4.89071	114.33333	56.74384	7.00665	-8.43333	8.48601	8.95224	6.77597	6.42384	17.35365	46.16610
1099.64598	1.00000	7.33836	2.93434	5.94511	9.73277	7.81486	7.12175	110.71639	49.09508	6.26157	-7.54972	7.46919	10.12243	7.01885	9.63367	54.19794	57.80886
1117.55497	1.00000	6.98025	2.81697	24.90366	5.69280	6.20958	5.27051	114.51667	53.96086	8.88165	33.78333	6.63377	8.41162	6.53073	8.23817	36.56899	45.12076
1199.67011	1.00000	7.98820	3.76403	12.99780	7.89742	6.71219	6.25140	72.93924	59.68057	4.76778	18.87813	8.39780	7.15055	6.81910	9.89100	43.61912	11.04292
1098.15026	1.00000	7.95415	2.76117	20.65129	9.06434	8.23491	3.31517	19.27498	42.29131	6.07866	50.20528	5.50443	8.65388	8.49145	8.98640	35.85816	49.39410
1084.96734	0.00000	7.99642	5.04264	13.37406	6.67161	7.44268	6.42043	-49.27306	57.00503	8.50287	-25.42778	3.86186	9.93770	7.86635	8.34922	52.09247	51.00377
1168.30458	1.00000	7.34990	2.60297	7.54883	6.63178	7.60855	10.17516	-99.32556	79.82242	4.74072	19.32889	1.84009	6.98675	6.72040	10.16846	73.56187	40.77581
1097.70228	1.00000	7.22928	2.83736	5.21813	4.37118	8.92067	8.19900	76.0586	62.98051	6.93480	16.06213	7.20160	9.09332	7.48441	10.40268	40.32845	53.44478
1149.72232	0.00000	6.99742	2.72640	7.12036	6.56164	8.56664	6.41483	-38.79084	47.98433	7.12040	-10.95817	6.28014	10.62146	9.04583	7.50662	35.35948	30.07983
1190.56017	0.00000	7.44074		11.25120	6.61603	5.90986	5.39278	36.73307	73.29784	5.69004	55.38752	6.19583	7.34560	8.37209	9.22396	43.38289	54.88458
1102.24374	1.00000	7.81371	4.51055	4.13090	4.61601	7.03782	3.99276	-1.06667	44.34463	4.94096	53.78333	11.42916	8.54581	8.84584	9.26184	72.15891	21.75523
1128.15470	0.00000	6.70021	2.49019	10.42384	4.91380	6.02220	4.03007	-78.19444	62.88169	6.13351	38.91817	8.16108	8.84658	6.34351	7.92411	25.27512	47.32394
1177.91470	1.00000	7.55383	2.44518	20.49867	8.39792	8.12890	6.22963	-105.11221	54.55782	5.83833	39.57582	7.24223	8.91544	7.84815	9.70115	53.22832	50.06025
1145.06129	0.00000	7.39234	3.20749	23.71144	8.08816	10.78493	5.10415	-81.26367	59.29504	7.72354	28.90054	9.56124	11.11425	7.56633	4.62111	22.45845	51.05116
1113.48204	0.00000	6.77566	2.36596	16.17821	7.51174	8.48977	9.90950	111.50861	54.01048	2.61936	32.54278	4.99156	7.49350	8.61125	5.59477	43.16092	50.17533
1164.75784	1.00000	8.05664	4.13732	29.17877	8.45565	7.15534	7.94966	-73.86586	64.00947	6.63421	45.43341	7.08796	9.24047	6.98069	10.15816	60.11425	57.41477
1159.91612	0.00000	9.05377	9.42422	24.33292	4.04435	7.62959	4.27901	-73.86586	62.64107	5.58426	45.43341	6.92041	9.61728	8.67693	8.06962	46.07647	36.74476
1140.47244	0.00000	5.36453	1.51354	4.60871	9.33139	6.34368	9.60527	112.73333	60.47125	5.51860	38.40917	8.68248	9.81442	5.74192	6.93291	34.88566	50.79066
1079.91262	0.00000	6.99759	2.10542	22.59120	7.96075	8.86660	6.14753	2.08333	64.33841	6.33190	48.86667	7.03495	8.72608	8.92051	7.27349	36.80940	79.07385
1127.25490	1.00000	7.87166	3.92408		10.15077	8.53696	9.32284	37.99117	37.87388	5.82482	44.92934	6.98709	10.87675	6.38653	8.95116	55.79617	72.42958
1150.49898	1.00000	7.37396	2.21097	12.28562	9.68822	6.47502	7.30171	37.55	41.60559	5.43640	6.03333	6.61961	10.10445	7.10169	9.73287	51.89430	29.52342
1133.79982	0.00000	7.78465	3.34763	18.59940	4.93034	8.64163	5.94054	8.86704	64.79691	7.31488	50.23805	3.86307	9.59004	8.67182	8.58655	94.17479	40.47457
1193.58780	1.00000	8.45383	5.68713	3.91557	7.61203	7.88723	6.30657	4.52529	65.43759	5.69306	50.71229	5.47027	6.68876	7.92226		65.15721	56.30432
1183.77963	1.00000	6.64393	2.16071	-4.53966	8.13360	8.00277	7.74257	-73.86586	47.88893	7.39694	45.43341	6.77274	8.33027	6.88074	10.17032	47.74035	46.21396
1105.05885	1.00000	8.12544	4.64421	18.54011	9.08776	7.84389	6.04503	-52.67056	55.18848	4.63698	-26.22861	6.62086	6.90542	8.23102	5.77289	64.71498	60.37856
1189.61442	1.00000	9.65341	16.55202	3.85284	9.97361	7.00370	5.66138	13.39954	48.22284	6.10849	43.62558	7.75941	9.26697	6.92050	8.24048	54.98632	41.71615
1079.81641	1.00000	6.87677	2.61109	-0.31949	10.67482	7.06752	4.60055	-82.35176	51.31362	5.79626	27.71809	9.32615	11.96853	8.21747	9.94886	44.43925	48.90423
1111.92068	1.00000	6.75025	1.94258	10.52537	9.36855	8.28911	3.49079	8.96317	45.05622	5.62806	48.35149	6.92349	10.92373	7.60002	10.28232	42.78423	46.91617
1059.18232	1.00000	5.63773	1.73869	14.90416	8.04137	8.46301	8.17038	43.2379	59.85769	7.73106	50.06	3.96276	10.42195	7.91517	8.42705	54.52869	61.38736
1191.17451	0.00000	8.52387	5.84232	-3.34534	7.78334	7.67119	7.82163	137.23333	66.24592	2.74609	35.8	7.20035	8.31581	7.70732	5.10520	29.19293	56.87200
1079.67193	1.00000	6.62191	2.05570	10.10196	4.34799	7.94115	5.36769	-47.1725	71.92895	7.55132	-22.57306	7.87789	9.93545	6.51534	10.06386	60.21935	31.96293
1068.52781	0.00000	7.32293	2.72599	23.80603	8.79743	7.00627	6.11557	11.34046	56.43870	6.06752	50.72043	9.02868	6.88861	7.60754	7.75247	46.42671	55.74218
1078.92597	0.00000	9.08549	8.50336	14.35641	4.56357	6.85503	4.27255	-73.97069	72.03303	6.38192	40.64621	8.20473	10.04675	6.64258	8.07306	44.27980	51.18083
1119.16036	0.00000	9.28364	11.82848	12.18847	8.40605	9.34794	7.85739	-79.62603	63.38883	4.82074	8.88988	7.86471	10.21612	8.47799	4.60943	43.15948	56.79701
1172.05091	0.00000	8.47676	5.76831	16.04175	8.39401	6.63149	5.96849	-70.92866	62.79223	5.51358	42.52787	8.38349	6.56158	7.42659	7.45148	30.45431	58.15198
1197.71457	0.00000	6.06911	0.44632	26.85298	7.58183	7.11067		-95.36969	43.24966	4.91989	35.74788	8.34419	9.64430	7.38660	5.46817	36.47921	77.04580
1091.14593	0.00000	7.38835	3.07431	11.63186	6.44412	8.18965	6.99997	-73.95097	65.66543	6.04314	40.72371	6.69976	8.36262	7.17990	9.19368	22.71271	48.38487
1157.84333	0.00000	7.80762	3.55976	6.05313	7.22849	6.43733	7.14573	46.83187	58.94938	7.27007	14.53767	4.60669	8.07234	9.53914	8.99713	53.94849	56.32656
1146.33020	1.00000	8.88962	7.93510	27.40961	5.07535	7.86114	7.08947	123.99333	48.32654	8.61823	12.97389	8.13764	7.88683	7.19031	9.36883	44.86629	42.75261
1150.77696	1.00000	7.40771	2.97694	13.53246	6.66226	8.22824	5.80098	31.4976	65.62803	8.31857	26.67319	6.52306	7.43371	9.04242	7.42462	50.94927	64.88761
1175.67198	1.00000	5.84242	1.88119	19.36056	8.48974	6.98752	6.09819	27.06365	57.62168	5.75325	50.18545	5.24983	10.14696	6.58321	11.73752	29.78585	39.29856
1175.90180	1.00000	7.11323	1.43395	5.05928	8.47899	6.84196	9.38091	-73.9614	32.10742	6.36773	10.15031	7.08281	10.26894	8.47245	11.33584	76.05625	70.66238
1121.63713	0.00000	8.02533	4.07770	11.28466	7.88061	7.35822	6.87494	-74.01042	60.23026	6.08138	41.50343	6.29754	7.75107	7.50054	8.85244	53.52450	52.83250
1083.60141	1.00000	8.44698	4.87429	10.64988	9.76956	8.83939	4.88728	32.88667	63.25262	6.74998	3.27833	6.30965	9.15813	7.49809	7.37323	32.32765	31.38832
