latitude	location	longitude	code	QoS	revision
-21.44345	America/La_Paz	-65.71875	BO	good	03 Oct 2017
-25.42778	America/Sao_Paulo	-49.27306	BR	average	10 Dec 2014
41.77583	Asia/Tokyo	140.73667	JP	accep	09/13/2019, 00:00:00
53.78333	Europe/London	-1.06667	GB	average	2012/10/16
40.1675	Europe/Istanbul	34.37389	TR	accep	2021/12/06
59.80917	Europe/Moscow	30.38167	RU	accep	2017-05-21
-7.76667	Africa/Dar_es_Salaam	35.7	TZ	accep	2021/07/15
-20.87306	America/Sao_Paulo	-48.29694	BR	building	2020-07-21
5.27247	Africa/Abidjan	-3.59625	CI	average	24 Nov 2018
38.96372	America/New_York	-76.99081	US	average	2016-09-30
20.14298	America/Havana	-77.43532	CU	accep	2021-05-05
-23.85972	Africa/Maputo	35.34722	MZ	average	02 May 2015
45.47885	Asia/Vladivostok	133.42825	RU	average	03 Jul 2017
55.1904	Europe/Minsk	30.2049	BY	accep	2016/09/29
-6.8	Africa/Dar_es_Salaam	39.25	TZ	excellent	2013-02-09
48.8765	Europe/Paris	2.18967	FR	excellent	11/08/2017, 00:00:00
21.59983	Asia/Kolkata	71.21169	IN	excellent	2013/10/02
45.0408	America/Chicago	-93.263	US	accep	16 Jan 2014
4.96667	Africa/Douala	10.7	CM	maintenance	2015/02/05
46.51872	Asia/Urumqi	86.00214	CN	good	2021/05/29
65.84811	Europe/Helsinki	24.14662	FI	good	2020/12/22
14.66	Asia/Manila	120.56528	PH	good	02/20/2017, 00:00:00
14.62578	Asia/Manila	121.12251	PH	maintenance	2020-08-30
40.1675	Europe/Istanbul	34.37389	TR	average	04/09/2022, 00:00:00
51.84819	Europe/London	1.26738	GB	building	2015-09-22
43.71032	Europe/Paris	-1.05366	FR	average	05/10/2022, 00:00:00
44.92934	Europe/Moscow	37.99117	RU	accep	2020-12-04
27.71809	America/New_York	-82.35176	US	good	2018/01/14
-1.9487	Africa/Kigali	30.4347	RW	excellent	2022-05-01
44.73941	America/Chicago	-93.12577	US	average	26 Jun 2018
21.01858	America/Mexico_City	-101.2591	MX	building	2017-02-08
26.68451	America/New_York	-80.66756	US	average	27 Aug 2021
-26.22861	America/Sao_Paulo	-52.67056	BR	accep	2016/06/22
13.65805	Asia/Phnom_Penh	102.56365	KH	average	2020/05/10
0.49113	Africa/Lubumbashi	29.47306	CD	average	05 Apr 2018
-6.91806	Asia/Jakarta	106.92667	ID	excellent	11/11/2018, 00:00:00
35.74788	America/Chicago	-95.36969	US	good	22 Jun 2021
50.75767	Europe/London	-1.5443	GB	maintenance	2021-01-19
-17.83333	Indian/Antananarivo	48.41667	MG	good	11/19/2020, 00:00:00
35.06544	Africa/Algiers	1.04945	DZ	excellent	2020-04-11
34.86472	Asia/Shanghai	117.55417	CN	accep	01 Jul 2022
-15.675	America/Bahia	-38.94722	BR	building	05/11/2014, 00:00:00
40.53123	Europe/Rome	17.58522	IT	excellent	2021/08/06
17.30858	Asia/Yangon	97.01124	MM	excellent	13 Oct 2015
48.8222	Europe/Paris	2.12213	FR	excellent	2020/04/12
53.51684	America/Edmonton	-113.3187	CA	accep	01/25/2019, 00:00:00
-8.99167	Asia/Dili	125.21972	TL	good	07/16/2013, 00:00:00
50.23271	Europe/Prague	12.87117	CZ	accep	21 Dec 2013
38.10558	Europe/Madrid	-1.86343	ES	average	12 Mar 2019
6.03333	Africa/Addis_Ababa	37.55	ET	average	2021/11/20
12.04161	Asia/Kolkata	75.35927	IN	average	2020-02-28
50.18545	Europe/Kiev	27.06365	UA	accep	01 Jul 2020
53.16167	Europe/Amsterdam	6.76111	NL	building	03/02/2014, 00:00:00
41.50343	America/New_York	-74.01042	US	good	2013-09-26
6.15038	Africa/Lagos	6.83042	NG	average	03/18/2022, 00:00:00
38.10558	Europe/Madrid	-1.86343	ES	accep	23 Dec 2019
25.92493	Asia/Kolkata	73.66633	IN	average	2012/09/29
38.10558	Europe/Madrid	-1.86343	ES	good	2015/03/11
54.58048	Europe/Warsaw	16.86194	PL	good	05 May 2015
41.47892	America/Chicago	-87.45476	US	good	2012/10/02
42	Europe/Skopje	21.32778	MK	average	2019-06-08
11.00599	Asia/Kolkata	77.5609	IN	excellent	28 Apr 2019
-25.42778	America/Sao_Paulo	-49.27306	BR	building	2017-05-07
24.41288	Asia/Kolkata	76.56719	IN	average	2021/10/30
31.39547	Asia/Jerusalem	34.75699	IL	excellent	2015/02/21
-28.44917	America/Sao_Paulo	-52.2	BR	good	12/28/2014, 00:00:00
6.45407	Africa/Lagos	3.39467	NG	building	2021/02/06
26.11527	Asia/Kolkata	86.59509	IN	accep	23 Oct 2017
41.77583	Asia/Tokyo	140.73667	JP	good	2017/03/29
11.8659	Africa/Khartoum	34.3869	SD	accep	2015-08-22
41.15612	Europe/Madrid	1.10687	ES	good	04 May 2016
50.18545	Europe/Kiev	27.06365	UA	average	2018/11/01
-4.24444	America/Fortaleza	-42.29444	BR	accep	02 Jan 2013
34.25628	America/New_York	-78.04471	US	good	02/19/2018, 00:00:00
-33.75881	Australia/Sydney	150.99292	AU	average	2021/08/26
43.82634	Asia/Tokyo	144.09638	JP	average	03/18/2018, 00:00:00
44.75874	Europe/Sarajevo	19.21437	BA	maintenance	06 Feb 2018
42.8139	Europe/Madrid	-1.64295	ES	accep	2016/02/19
44.92801	Europe/Paris	4.8951	FR	excellent	11 Aug 2020
-7.51611	Asia/Jakarta	109.05389	ID	building	2016-11-28
51.26	Europe/London	-2.1875	GB	building	26 Oct 2012
-7.81667	Asia/Jakarta	112.01667	ID	average	31 Jan 2018
51.26	Europe/London	-2.1875	GB	maintenance	2013/07/05
65.84811	Europe/Helsinki	24.14662	FI	excellent	22 Aug 2021
39.46667	Asia/Tokyo	141.95	JP	average	07/01/2022, 00:00:00
43.61062	America/New_York	-72.97261	US	good	05/02/2015, 00:00:00
20.21322	America/Mexico_City	-100.88023	MX	maintenance	12/28/2020, 00:00:00
53.14657	Asia/Vladivostok	140.72287	RU	excellent	2019-07-11
5.4709	Asia/Kuala_Lumpur	100.24529	MY	excellent	04/05/2021, 00:00:00
42.8334	America/Toronto	-80.38297	CA	average	19 Mar 2015
50.8	Europe/Brussels	3.16667	BE	accep	06/25/2022, 00:00:00
52.26083	Europe/Amsterdam	7.00417	NL	building	2018/04/11
47.30997	Europe/Zurich	8.52462	CH	excellent	09/10/2014, 00:00:00
32.61603	Asia/Baghdad	44.02488	IQ	good	2020-02-12
-10.33333	Africa/Dar_es_Salaam	39.28333	TZ	good	16 Dec 2019
34.14251	America/Los_Angeles	-118.25508	US	excellent	2015-02-10
37.19723	Asia/Shanghai	122.05228	CN	accep	2016-10-30
14.62072	Asia/Kolkata	74.83554	IN	average	11/29/2017, 00:00:00
13.73417	America/El_Salvador	-89.71472	SV	average	18 Jul 2022
-10.95817	America/Bahia	-38.79084	BR	accep	2014-05-19
40.85158	Asia/Shanghai	122.74754	CN	good	20 Nov 2021
53.78333	Europe/London	-1.06667	GB	building	2015/06/01
6.33444	Asia/Manila	124.95278	PH	average	07 Jun 2013
-21.44236	Africa/Gaborone	27.46153	BW	average	2017-11-10
12.37169	Asia/Manila	123.62494	PH	excellent	05/31/2018, 00:00:00
53.5942	Europe/Minsk	25.8191	BY	accep	13 Sep 2020
36.92574	Europe/Rome	14.72443	IT	average	2015/11/18
12.74409	Africa/Bamako	-8.07257	ML	good	30 Apr 2013
18.03496	America/Puerto_Rico	-66.8499	PR	good	05/22/2021, 00:00:00
48.98693	Europe/Paris	2.44892	FR	excellent	2020/07/27
26.91756	America/New_York	-82.07842	US	average	2019-02-21
16.455	Asia/Manila	120.5875	PH	accep	2018/04/05
35.8	Asia/Tokyo	137.23333	JP	accep	2016-01-03
18.51957	Asia/Kolkata	73.85535	IN	building	17 Jan 2021
4.02219	Asia/Kuala_Lumpur	101.02083	MY	excellent	20 Dec 2021
39.96097	America/New_York	-75.60804	US	accep	2014-12-27
40.72371	America/New_York	-73.95097	US	excellent	15 May 2014
43.82634	Asia/Tokyo	144.09638	JP	accep	2015-11-03
49.97704	Europe/Berlin	9.15214	DE	acceptable	2014/10/12
40.67705	America/New_York	-73.89125	US	average	05/27/2014, 00:00:00
53.6052	Europe/Berlin	10.03988	DE	average	04 Aug 2022
50.20528	Europe/Warsaw	19.27498	PL	good	08/31/2014, 00:00:00
35.82756	Asia/Tokyo	137.95378	JP	average	2015/05/24
41.24255	America/New_York	-82.61573	US	accep	06 Dec 2013
50.72043	Europe/Berlin	11.34046	DE	good	2013/03/04
29.98869	Asia/Shanghai	122.20488	CN	average	11/03/2020, 00:00:00
8.56697	Asia/Manila	123.33471	PH	accep	2013/11/18
51.40944	Europe/Saratov	46.04833	RU	average	2020/03/16
35.89972	Europe/Malta	14.51472	MT	building	31 May 2020
-37.88333	Australia/Melbourne	145.06667	AU	accep	29 Apr 2019
33.45122	America/Chicago	-86.99666	US	average	04 Feb 2019
9.82564	Asia/Kolkata	78.25795	IN	good	2014-11-20
12.97389	Asia/Manila	123.99333	PH	average	08 Jul 2016
25.80565	Asia/Karachi	68.49143	PK	accep	09/26/2018, 00:00:00
48.15659	Europe/Chisinau	28.28489	MD	accep	31 Jan 2022
38.38479	Europe/Madrid	-0.76773	ES	accep	06/15/2013, 00:00:00
26.76628	Asia/Kolkata	83.36889	IN	average	2015-07-16
51.39148	Europe/London	-0.29825	GB	excellent	23 Jan 2022
8.88988	America/Panama	-79.62603	PA	good	2017/12/15
24.28859	Asia/Shanghai	116.11768	CN	good	09/01/2018, 00:00:00
0.46005	Africa/Nairobi	34.11169	KE	good	03 Sep 2016
40.70995	Europe/Madrid	0.57856	ES	accep	26 Oct 2013
30.21121	Asia/Kolkata	74.4818	IN	excellent	05/18/2014, 00:00:00
11.50526	Asia/Kolkata	77.23826	IN	accep	03/28/2014, 00:00:00
45.53929	America/Los_Angeles	-122.38731	US	accep	06/06/2021, 00:00:00
49.68369	Europe/Berlin	8.61839	DE	maintenance	29 May 2017
9.15093	America/Panama	-79.62098	PA	average	21 Feb 2020
8.43333	Asia/Bangkok	99.96667	TH	average	2021-12-04
46.65581	Europe/Kiev	32.6178	UA	average	02 Apr 2014
50.9803	Europe/Berlin	11.32903	DE	average	2022/01/07
39.46667	Asia/Tokyo	141.95	JP	accep	2016-11-13
54.8421	Europe/Moscow	46.5813	RU	excellent	2014/03/27
52.21099	Europe/Berlin	7.02238	DE	maintenance	01/13/2022, 00:00:00
5.90702	Asia/Kuching	116.10146	MY	average	2020/05/14
50.74497	Europe/Brussels	3.20639	BE	excellent	12 Feb 2017
21.34222	Asia/Kolkata	71.30633	IN	good	01 Jun 2016
51.44889	Europe/Amsterdam	5.51978	NL	excellent	24 Sep 2021
48.07667	Europe/Berlin	8.64409	DE	accep	2020-05-18
32.05971	Asia/Jerusalem	34.8732	IL	average	26 Jul 2019
55.38752	Europe/Moscow	36.73307	RU	good	2021/02/06
35.30889	Asia/Tokyo	139.55028	JP	good	12/04/2016, 00:00:00
-4.5833	Africa/Kinshasa	15.16554	CD	good	2013/10/05
34.85	Asia/Shanghai	117.33333	CN	maintenance	2019-01-23
44.27804	America/Chicago	-88.27205	US	accep	2014/12/24
42.64685	Europe/Madrid	-5.55835	ES	excellent	2016/01/21
39.71734	America/New_York	-74.96933	US	average	14 Sep 2018
-15.21194	America/Lima	-75.11028	PE	maintenance	18 Feb 2018
0.49113	Africa/Lubumbashi	29.47306	CD	accep	06/29/2018, 00:00:00
46.32374	America/Los_Angeles	-120.00865	US	excellent	2016/07/02
14.8361	Asia/Manila	120.97844	PH	good	2020-01-13
39.08367	America/New_York	-84.50855	US	building	07/28/2020, 00:00:00
41.14676	America/New_York	-73.49484	US	accep	04 Mar 2019
51.40148	Europe/London	-1.32471	GB	average	12 Sep 2020
-31.4488	America/Argentina/Cordoba	-60.93173	AR	accep	20 Nov 2018
43.16547	America/New_York	-77.70066	US	accep	2016-07-18
33.86419	Asia/Tehran	48.26258	IR	good	2019-09-04
3.31332	Asia/Makassar	117.59152	ID	building	2013-05-14
35.74788	America/Chicago	-95.36969	US	good	02 May 2020
-11.48472	America/Bahia	-37.93278	BR	average	04 Nov 2018
-19.72806	America/Sao_Paulo	-50.19556	BR	accep	09/12/2018, 00:00:00
28.98002	Asia/Kolkata	77.70636	IN	excellent	2015/04/17
-19.32556	America/Sao_Paulo	-41.25528	BR	average	2013-02-25
41.29444	Asia/Tashkent	69.67639	UZ	good	07/31/2021, 00:00:00
17.34769	Asia/Kolkata	78.55757	IN	good	2014-03-10
40.5576	America/New_York	-74.28459	US	maintenance	06/13/2015, 00:00:00
45.40008	America/Toronto	-73.58248	CA	average	2016-12-27
-22.9	Indian/Antananarivo	44.53333	MG	building	2017-12-28
40.92298	Europe/Rome	14.30935	IT	maintenance	2015-08-05
50.23271	Europe/Prague	12.87117	CZ	accep	12/19/2020, 00:00:00
13.65805	Asia/Phnom_Penh	102.56365	KH	good	09 Jul 2015
3.02013	Africa/Kampala	30.91105	UG	accep	04/27/2022, 00:00:00
45.9836	Europe/Rome	12.70038	IT	maintenance	2014/09/20
40.92298	Europe/Rome	14.30935	IT	excellent	2018-11-23
12.95629	Asia/Kolkata	78.27539	IN	excellent	03/25/2016, 00:00:00
42.52787	America/New_York	-70.92866	US	accep	2016/12/27
25.87972	America/Matamoros	-97.50417	MX	building	2013/03/21
20.88098	Asia/Kolkata	75.11937	IN	good	06/03/2016, 00:00:00
-37.88333	Australia/Melbourne	145.06667	AU	good	04/09/2021, 00:00:00
12.04161	Asia/Kolkata	75.35927	IN	excellent	2014/12/25
36.76775	Africa/Algiers	2.95924	DZ	excellent	2019/02/25
9.89206	Africa/Mogadishu	43.38531	SO	accep	2017-10-28
44.80477	Europe/Paris	-0.59543	FR	good	2020-07-18
44.31771	Europe/Rome	9.32241	IT	good	01 Feb 2014
64.5635	Europe/Moscow	39.8302	RU	average	2016-09-26
35.25064	America/Chicago	-91.73625	US	accep	2018/03/27
56.9083	Asia/Yekaterinburg	60.8019	RU	building	2019/03/29
48.98994	Europe/Paris	2.1699	FR	accep	2013/09/20
33.52253	America/Los_Angeles	-117.70755	US	maintenance	30 May 2019
27.52948	Asia/Karachi	68.75915	PK	excellent	20 Aug 2014
-2.90055	America/Guayaquil	-79.00453	EC	building	2016/09/14
40.1675	Europe/Istanbul	34.37389	TR	building	2014-02-27
43.61092	Europe/Paris	3.87723	FR	maintenance	30 May 2017
31.71667	Asia/Karachi	73.38333	PK	average	01/26/2017, 00:00:00
58.63667	Asia/Yekaterinburg	59.80222	RU	accep	2015-11-10
16.455	Asia/Manila	120.5875	PH	building	2014/12/13
-7.01833	Asia/Jakarta	107.60389	ID	maintenance	2014/04/04
37.52487	America/New_York	-77.55777	US	maintenance	2017/02/17
53.37596	Europe/Samara	51.3452	RU	accep	06 May 2021
42.16808	America/Chicago	-88.42814	US	accep	24 Jan 2014
48.21644	Europe/Berlin	9.02596	DE	building	2021/11/22
47.90771	Asia/Ulaanbaatar	106.88324	MN	good	2014/07/05
61.72744	Europe/Stockholm	17.10558	SE	maintenance	2013-01-12
46.18396	Europe/Zurich	6.10237	CH	excellent	2015-02-01
-25.42944	America/Sao_Paulo	-50.00639	BR	good	11/12/2019, 00:00:00
26.9423	Asia/Karachi	68.11759	PK	accep	14 Mar 2018
28.90054	America/New_York	-81.26367	US	good	2019/06/26
31.28092	Asia/Kolkata	74.85849	IN	excellent	29 Jul 2014
50.23805	Europe/Berlin	8.86704	DE	excellent	08/07/2014, 00:00:00
38.40917	Asia/Shanghai	112.73333	CN	building	2012-11-12
30.75545	Africa/Tripoli	20.22625	LY	maintenance	25 Oct 2015
3.3285	Asia/Jakarta	99.1625	ID	good	18 Aug 2019
59.33333	Europe/Stockholm	18.28333	SE	maintenance	2016/11/01
50.80904	Europe/Berlin	8.77069	DE	building	26 Oct 2019
48.52961	Europe/Berlin	12.16179	DE	maintenance	2014/12/28
-7.51611	Asia/Jakarta	109.05389	ID	building	2014/10/21
-1.9487	Africa/Kigali	30.4347	RW	good	2012/11/28
48.86667	Europe/Paris	2.08333	FR	maintenance	09/20/2015, 00:00:00
26.2173	America/New_York	-80.22588	US	maintenance	03/28/2018, 00:00:00
-17.83333	Indian/Antananarivo	48.41667	MG	maintenance	04 Apr 2019
-33.75881	Australia/Sydney	150.99292	AU	good	07/07/2021, 00:00:00
39.45621	America/New_York	-77.96389	US	excellent	2016/08/30
26.68451	America/New_York	-80.66756	US	average	2021/09/17
39.46667	Asia/Tokyo	141.95	JP	accep	2020/05/04
42.24113	America/Chicago	-88.3162	US	accep	2013/09/15
49.07866	Europe/Kiev	30.96755	UA	maintenance	11 Jan 2022
22.19303	Asia/Kolkata	88.18466	IN	accep	2020/04/16
23.49668	Asia/Kolkata	86.68363	IN	good	2019-04-26
42.64031	Asia/Shanghai	125.51176	CN	average	08/20/2021, 00:00:00
50.09019	Europe/Berlin	8.4493	DE	accep	07 Mar 2021
26.44931	Asia/Kolkata	91.61356	IN	accep	2015-09-25
52.68333	Europe/London	0.93333	GB	accep	2017/06/19
23.5654	Asia/Taipei	119.58627	TW	acceptable	2018/05/13
52.57583	Europe/Amsterdam	6.61944	NL	average	26 Mar 2019
20.22816	America/Mexico_City	-103.5687	MX	excellent	2016/02/06
11.12018	Asia/Kolkata	76.11996	IN	accep	2021-06-21
44.31771	Europe/Rome	9.32241	IT	building	2019/04/09
45.47885	Asia/Vladivostok	133.42825	RU	maintenance	2019-05-15
38.72706	Europe/Lisbon	-9.24671	PT	excellent	2021-01-23
42.50729	Europe/Andorra	1.53414	AD	good	2012/11/18
47.90771	Asia/Ulaanbaatar	106.88324	MN	building	2015/05/16
52.41667	Europe/London	0.75	GB	excellent	07/27/2017, 00:00:00
26.18924	America/Chicago	-98.15529	US	building	20 Apr 2022
32.61603	Asia/Baghdad	44.02488	IQ	accep	15 Dec 2018
40.11583	Asia/Samarkand	67.84222	UZ	accep	06/11/2016, 00:00:00
30.17746	America/New_York	-81.38758	US	good	2019-02-01
21.34222	Asia/Kolkata	71.30633	IN	good	05 Sep 2014
12.74482	Africa/Lagos	4.52514	NG	average	2013-04-21
32.87533	Asia/Karachi	71.57118	PK	accep	2013-07-09
40.24537	America/New_York	-75.64963	US	accep	2014/04/14
45.16024	America/Chicago	-93.08883	US	good	2014-02-02
35.72917	Africa/Tunis	10.58082	TN	accep	11/20/2018, 00:00:00
25.66795	Asia/Kolkata	85.83636	IN	accep	2021/10/09
33.78333	Asia/Shanghai	114.51667	CN	excellent	20 Feb 2018
14.8361	Asia/Manila	120.97844	PH	average	11 Sep 2014
46.65581	Europe/Kiev	32.6178	UA	building	2022-05-14
-4.16694	America/Fortaleza	-40.7475	BR	excellent	2017-01-17
7.6	Africa/Lagos	4.18333	NG	good	2019/06/01
10.10649	Asia/Kolkata	76.35484	IN	good	2021/07/10
50.23271	Europe/Prague	12.87117	CZ	accep	2021-05-15
36.64852	Asia/Tehran	51.49621	IR	accep	27 Jul 2020
-19.32556	America/Sao_Paulo	-41.25528	BR	average	2018/05/06
34.5624	Asia/Damascus	38.28402	SY	good	01 Dec 2018
47.30997	Europe/Zurich	8.52462	CH	excellent	2022-03-12
12.1277	Asia/Kolkata	78.15794	IN	good	2018-07-26
22.98212	America/Havana	-80.58556	CU	building	22 Mar 2021
36	Asia/Tokyo	139.55722	JP	accep	07/03/2018, 00:00:00
51.19139	Europe/Berlin	6.51352	DE	excellent	04 Nov 2016
36.82167	Asia/Seoul	128.63083	KR	accep	08/07/2022, 00:00:00
21.34222	Asia/Kolkata	71.30633	IN	maintenance	2014/03/18
27.0174	Asia/Riyadh	49.62251	SA	accep	2022/04/22
-21.44236	Africa/Gaborone	27.46153	BW	average	2017-08-19
54.03876	Europe/Moscow	43.91385	RU	maintenance	01 May 2013
45.9836	Europe/Rome	12.70038	IT	average	2018-12-15
33.4425	Asia/Tokyo	129.96972	JP	maintenance	03/28/2015, 00:00:00
48.90982	Europe/Paris	2.45012	FR	good	2022/06/07
27.0174	Asia/Riyadh	49.62251	SA	excellent	09/28/2018, 00:00:00
33.95015	America/Los_Angeles	-118.03917	US	average	2017/03/19
23.29549	Asia/Shanghai	113.82465	CN	building	15 Jul 2018
41.15376	America/Chicago	-87.88754	US	average	30 Dec 2012
35.50056	Asia/Shanghai	117.63083	CN	average	2018-11-23
14.66	Asia/Manila	120.56528	PH	excellent	09/28/2019, 00:00:00
41.82143	Asia/Tbilisi	41.77921	GE	average	12/22/2017, 00:00:00
41.92361	Europe/Skopje	20.91361	MK	excellent	2019-04-27
43.91452	America/New_York	-69.96533	US	building	06/18/2019, 00:00:00
27.52948	Asia/Karachi	68.75915	PK	accep	04/09/2017, 00:00:00
42.8334	America/Toronto	-80.38297	CA	average	08/06/2016, 00:00:00
3.7278	Asia/Jakarta	98.6738	ID	accep	2018-09-06
29.69221	Asia/Karachi	72.54566	PK	average	05/17/2022, 00:00:00
40.66482	Asia/Shanghai	122.22833	CN	excellent	2016/04/15
3.31332	Asia/Makassar	117.59152	ID	good	07 Apr 2020
-8.76194	America/Porto_Velho	-63.90389	BR	building	2016/02/23
48.86667	Europe/Paris	2.08333	FR	average	01/26/2018, 00:00:00
37.13548	Europe/Madrid	-3.67029	ES	average	01/11/2018, 00:00:00
-21.15	Indian/Antananarivo	46.58333	MG	accep	30 Oct 2019
10.98778	America/Bogota	-74.95472	CO	accep	2018/03/12
21.53889	Asia/Kolkata	71.57737	IN	average	11/08/2016, 00:00:00
-37.9	Australia/Melbourne	145.18333	AU	excellent	2018-07-26
-7.0981	Asia/Jakarta	109.3243	ID	excellent	17 Jul 2013
1.6561	Asia/Kuala_Lumpur	103.6032	MY	average	25 Aug 2015
25.80565	Asia/Karachi	68.49143	PK	accep	04/16/2016, 00:00:00
-30.60106	America/Santiago	-71.19901	CL	excellent	2015-12-30
61.78491	Europe/Moscow	34.34691	RU	maintenance	19 Aug 2015
16.68911	Asia/Yangon	98.50893	MM	maintenance	2017/10/16
45.0408	America/Chicago	-93.263	US	maintenance	2014-05-15
40.34912	America/Denver	-111.90466	US	excellent	2020/01/25
15.58552	Asia/Bangkok	102.42587	TH	building	28 Jan 2014
-7.76667	Africa/Dar_es_Salaam	35.7	TZ	good	12 Jan 2018
24.96334	Africa/Tripoli	10.18003	LY	good	2014/09/23
40.53123	Europe/Rome	17.58522	IT	excellent	2019-04-12
34.4833	Asia/Tokyo	136.84186	JP	good	2014/08/29
35.64889	Asia/Shanghai	117.27583	CN	maintenance	05/25/2019, 00:00:00
37.30553	Asia/Shanghai	120.82747	CN	building	2018-09-11
60.02427	Europe/Moscow	30.28491	RU	good	31 Oct 2013
50.79205	Europe/London	-1.08593	GB	building	05 Jul 2017
51.04962	Europe/Berlin	12.1369	DE	good	02/13/2022, 00:00:00
45.75279	Asia/Shanghai	130.57211	CN	excellent	2014-11-12
48.79325	Europe/Paris	2.29275	FR	accep	05 Jan 2022
7.83389	America/Bogota	-72.47417	CO	good	09/12/2019, 00:00:00
-22.57306	America/Sao_Paulo	-47.1725	BR	average	24 Jan 2015
58.63667	Asia/Yekaterinburg	59.80222	RU	excellent	12/05/2013, 00:00:00
53.63333	Europe/Berlin	9.85	DE	excellent	2017/06/29
48.90472	Europe/Paris	2.2469	FR	good	2019-04-29
50.9803	Europe/Berlin	11.32903	DE	average	06/13/2018, 00:00:00
59.33333	Europe/Stockholm	18.28333	SE	excellent	24 Sep 2016
10.7375	Asia/Manila	122.9666	PH	average	2016/06/16
14.93333	America/Guatemala	-91.11667	GT	building	09/06/2013, 00:00:00
0.03813	Africa/Nairobi	36.36339	KE	average	08/13/2019, 00:00:00
32.55531	Asia/Kolkata	76.12647	IN	average	29 Dec 2019
53.77166	Europe/Moscow	38.12408	RU	excellent	20 Aug 2016
25.67927	America/New_York	-80.31727	US	excellent	2020/04/14
30.5427	America/Chicago	-97.54667	US	excellent	01/05/2013, 00:00:00
31.28092	Asia/Kolkata	74.85849	IN	excellent	2022-01-27
37.58105	Europe/Istanbul	29.26639	TR	accep	28 Jun 2015
36.91023	America/Los_Angeles	-121.75689	US	excellent	10/06/2019, 00:00:00
48.77644	Europe/Paris	2.29026	FR	maintenance	05/26/2022, 00:00:00
3.31332	Asia/Makassar	117.59152	ID	good	2022-02-24
-23.85972	Africa/Maputo	35.34722	MZ	accep	24 May 2014
-32.45242	America/Santiago	-71.23106	CL	average	26 Nov 2021
4.92675	Africa/Lagos	6.26764	NG	average	2013/06/22
23.15678	America/Havana	-81.24441	CU	accep	10 May 2019
3.31332	Asia/Makassar	117.59152	ID	excellent	2015/10/30
49.41029	Europe/Zaporozhye	38.15035	UA	average	06/16/2015, 00:00:00
48.21644	Europe/Berlin	9.02596	DE	accep	02 Aug 2013
25.87972	America/Matamoros	-97.50417	MX	accep	31 Mar 2015
34.15429	Africa/Algiers	3.50309	DZ	maintenance	29 May 2022
7.57944	Africa/Monrovia	-8.53778	LR	good	2014/07/19
40.65995	America/Denver	-111.99633	US	acceptable	09/17/2016, 00:00:00
-22.9	Indian/Antananarivo	44.53333	MG	average	2018-06-05
18.42745	America/Puerto_Rico	-67.15407	PR	average	02 Mar 2017
53.7446	Europe/London	-0.33525	GB	good	2022-08-28
34.56861	Asia/Shanghai	105.89333	CN	good	12 Apr 2020
18.03496	America/Puerto_Rico	-66.8499	PR	average	2013-01-24
36	Asia/Tokyo	139.55722	JP	excellent	16 Nov 2017
51.38673	Europe/London	0.30367	GB	good	12/10/2013, 00:00:00
43.91452	America/New_York	-69.96533	US	good	10/01/2015, 00:00:00
51.38673	Europe/London	0.30367	GB	building	2020-11-22
-5.41667	Africa/Dar_es_Salaam	38.01667	TZ	average	23 Jun 2015
61.78491	Europe/Moscow	34.34691	RU	average	27 Apr 2022
22.4711	Asia/Kolkata	88.1453	IN	good	07/28/2016, 00:00:00
