revision	latitude	station	QoS	longitude	location
12 Sep 2020	50.75767	Lymington	accep	-1.5443	Europe/London
2015-10-11	40.60538	Far Rockaway	accep	-73.75513	America/New_York
09 Apr 2013	36.06523	Porterville	good	-119.01677	America/Los_Angeles
2019-10-21	13.56667	Farafenni	good	-15.6	Africa/Banjul
07/15/2018, 00:00:00	0.03813	Nyahururu	good	36.36339	Africa/Nairobi
2015-02-27	52.86147	Walsrode	excellent	9.5926	Europe/Berlin
01/30/2016, 00:00:00	19.21667	Dombivli	accep	73.08333	Asia/Kolkata
2021/11/21	-7.54972	Ngemplak	excellent	110.71639	Asia/Jakarta
07 Dec 2019	22.75218	Kheda	average	72.68533	Asia/Kolkata
02/07/2022, 00:00:00	46.09273	Iron River	excellent	-88.64235	America/Menominee
2022-08-12	-31.25033	Rafaela	excellent	-61.4867	America/Argentina/Cordoba
2015-05-27	52.47774	Gifhorn	accep	10.5511	Europe/Berlin
03/10/2019, 00:00:00	51.65	Barnet	accep	-0.2	Europe/London
09/26/2022, 00:00:00	37.71715	Visitacion Valley	average	-122.40433	America/Los_Angeles
06/29/2021, 00:00:00	5.20856	Honda	accep	-74.73584	America/Bogota
2017-10-07	36.21544	Sar-e Pul	excellent	65.93249	Asia/Kabul
2014/04/17	48.73218	Neuburg an der Donau	maintenance	11.18709	Europe/Berlin
23 Aug 2021	53.14657	Nikolayevsk-on-Amure	excellent	140.72287	Asia/Vladivostok
12/25/2012, 00:00:00	32.54278	Danjiangkou	good	111.50861	Asia/Shanghai
2014/07/16	44.99012	Keizer	maintenance	-123.02621	America/Los_Angeles
18 Feb 2022	-36.9256	Chiguayante	excellent	-73.02841	America/Santiago
2018/10/27	6.84019	Dehiwala-Mount Lavinia	excellent	79.87116	Asia/Colombo
26 Sep 2022	34.85	Taozhuang	excellent	117.33333	Asia/Shanghai
2014-02-27	15.46063	Thap Than	excellent	99.89166	Asia/Bangkok
2013/12/24	35.74788	Muskogee	average	-95.36969	America/Chicago
01/25/2018, 00:00:00	48.90982	Bobigny	maintenance	2.45012	Europe/Paris
2015/04/09	53.16167	Hoogezand	excellent	6.76111	Europe/Amsterdam
2014/07/26	35.64889	Sishui	maintenance	117.27583	Asia/Shanghai
2020/11/04	51.4781	Kuvandyk	excellent	57.3552	Asia/Yekaterinburg
2017-10-11	11.15583	'Ali Sabieh	building	42.7125	Africa/Djibouti
2016/08/27	31.82539	Sillanwali	accep	72.54064	Asia/Karachi
02/04/2016, 00:00:00	47.4943	Bryn Mawr-Skyway	average	-122.24092	America/Los_Angeles
2021/07/12	14.62578	Antipolo	building	121.12251	Asia/Manila
02/08/2013, 00:00:00	5.6561	Andes	accep	-75.87877	America/Bogota
15 Oct 2019	10.63504	Liberia	accep	-85.43772	America/Costa_Rica
2019-11-16	37.49073	Baza	maintenance	-2.77259	Europe/Madrid
01/13/2019, 00:00:00	-30.60106	Ovalle	excellent	-71.19901	America/Santiago
2018-01-21	25.92493	Sojat	accep	73.66633	Asia/Kolkata
03/30/2015, 00:00:00	48.98333	Mitry-Mory	average	2.61667	Europe/Paris
03 Sep 2019	30.24706	Huangshi	accep	115.04814	Asia/Shanghai
2017-06-09	53.49389	Mexborough	building	-1.29243	Europe/London
09 Sep 2018	33.3213	Hita	building	130.94098	Asia/Tokyo
07/12/2016, 00:00:00	4.02219	Teluk Intan	average	101.02083	Asia/Kuala_Lumpur
08/17/2020, 00:00:00	22.49396	Acaponeta	good	-105.36369	America/Mazatlan
2012/10/18	26.76628	Gorakhpur	excellent	83.36889	Asia/Kolkata
2020/12/12	25.80565	Bhit Shah	good	68.49143	Asia/Karachi
07/10/2014, 00:00:00	50.9803	Weimar	good	11.32903	Europe/Berlin
01/25/2016, 00:00:00	52.71083	Emmeloord	building	5.74861	Europe/Amsterdam
2020/06/24	-27.50578	Carindale	excellent	153.10236	Australia/Brisbane
09/11/2019, 00:00:00	50.75	Saint-Omer	good	2.25	Europe/Paris
2013-01-25	26.2173	North Lauderdale	excellent	-80.22588	America/New_York
2014-12-20	31.71667	Sangla Hill	excellent	73.38333	Asia/Karachi
05/30/2015, 00:00:00	46.23899	Charlottetown	maintenance	-63.13414	America/Halifax
2018-03-22	-33.59217	San Bernardo	good	-70.6996	America/Santiago
01 Nov 2016	40.64621	Kensington	building	-73.97069	America/New_York
2014-01-08	54.52156	Schleswig	accep	9.5586	Europe/Berlin
17 Oct 2014	49.88307	Kelowna	excellent	-119.48568	America/Vancouver
15 Oct 2016	68.79833	Harstad	building	16.54165	Europe/Oslo
2013/06/02	36.24624	Fujioka	maintenance	139.07204	Asia/Tokyo
06/23/2016, 00:00:00	33.45122	Hueytown	excellent	-86.99666	America/Chicago
2021/04/30	12.04161	Talipparamba	excellent	75.35927	Asia/Kolkata
09/24/2022, 00:00:00	42.93369	Keene	good	-72.27814	America/New_York
01/04/2018, 00:00:00	40.93121	Yonkers	maintenance	-73.89875	America/New_York
2021-04-26	38.07789	Villabate	average	13.44275	Europe/Rome
2016/07/29	48.35693	Friedberg	average	10.98461	Europe/Berlin
2016/08/29	9.91861	Tinaquillo	accep	-68.30472	America/Caracas
06 Aug 2019	35.48199	Minokamo	good	137.02166	Asia/Tokyo
28 Nov 2012	14.14989	Calauan	excellent	121.3152	Asia/Manila
02 Feb 2020	36	Okegawa	accep	139.55722	Asia/Tokyo
25 Apr 2017	50.11861	Penzance	average	-5.53715	Europe/London
2015-06-01	49.68369	Bensheim	accep	8.61839	Europe/Berlin
11/27/2012, 00:00:00	46.08333	Ulanhot	average	122.08333	Asia/Shanghai
2019-10-22	15.72892	Burgos	good	120.57224	Asia/Manila
06/04/2015, 00:00:00	36.64852	Nowshahr	average	51.49621	Asia/Tehran
01 Apr 2021	51.30001	Oschatz	average	13.10984	Europe/Berlin
16 Feb 2021	45.4473	Dorval	good	-73.75335	America/Toronto
2018-10-27	27.0174	Al Jubayl	accep	49.62251	Asia/Riyadh
02/25/2018, 00:00:00	-38.16604	Frankston South	maintenance	145.13643	Australia/Melbourne
06/25/2020, 00:00:00	26.68451	Belle Glade	maintenance	-80.66756	America/New_York
10/20/2015, 00:00:00	-4.06667	Same	accep	37.73333	Africa/Dar_es_Salaam
09 Apr 2016	39.96097	West Chester	average	-75.60804	America/New_York
22 Jul 2020	5.84752	Lakota	average	-5.682	Africa/Abidjan
02/26/2018, 00:00:00	40.94065	Dumont	maintenance	-73.99681	America/New_York
2015-05-21	54.8421	Alatyr’	good	46.5813	Europe/Moscow
2013-03-06	21.46527	Sambalpur	good	83.97573	Asia/Kolkata
2016-06-17	53.0233	Belper	maintenance	-1.48119	Europe/London
03 Aug 2021	-7.60361	Kidodi	building	37.00438	Africa/Dar_es_Salaam
10/09/2017, 00:00:00	53.59337	Stade	accep	9.47629	Europe/Berlin
20 Jan 2015	14.62072	Sirsi	average	74.83554	Asia/Kolkata
2021-05-04	38.68712	Puertollano	average	-4.10734	Europe/Madrid
16 Apr 2017	30.29184	Qadirpur Ran	excellent	71.67164	Asia/Karachi
12/21/2016, 00:00:00	36.33011	Annaka	good	138.89585	Asia/Tokyo
2016/07/28	16.455	La Trinidad	excellent	120.5875	Asia/Manila
2017/05/25	31.82539	Sillanwali	average	72.54064	Asia/Karachi
2015/12/01	43.48961	Ferrol	building	-8.2194	Europe/Madrid
04 Dec 2013	53.49389	Mexborough	accep	-1.29243	Europe/London
06/22/2013, 00:00:00	43.32393	Les Olives	good	5.4584	Europe/Paris
2018-09-18	27.34089	Shaowu	excellent	117.4831	Asia/Shanghai
29 Aug 2018	40.87363	Volla	average	14.34085	Europe/Rome
2015/06/20	-34.28853	Griffith	maintenance	146.05093	Australia/Sydney
04 Oct 2013	33.42585	Oulmes	excellent	-6.00137	Africa/Casablanca
05/13/2018, 00:00:00	33.43443	Azrou	accep	-5.22126	Africa/Casablanca
2017/06/05	-17.74431	Caldas Novas	accep	-48.62789	America/Sao_Paulo
05/09/2019, 00:00:00	38.45598	Astara	accep	48.87498	Asia/Baku
2015-06-16	36.19278	Laiwu	excellent	117.65694	Asia/Shanghai
11/28/2020, 00:00:00	37.19723	Tianfu	accep	122.05228	Asia/Shanghai
2015-02-14	46.32374	Sunnyside	maintenance	-120.00865	America/Los_Angeles
03/28/2015, 00:00:00	36.6009	Hongseong	accep	126.665	Asia/Seoul
03/10/2015, 00:00:00	32.42067	Carlsbad	building	-104.22884	America/Denver
2013-12-14	53.53041	Nizhniy Lomov	good	43.67663	Europe/Moscow
09/12/2021, 00:00:00	43.32393	Les Olives	average	5.4584	Europe/Paris
04/17/2019, 00:00:00	43.86682	Markham	building	-79.2663	America/Toronto
11/19/2021, 00:00:00	28.71271	Pilkhua	average	77.656	Asia/Kolkata
02/09/2019, 00:00:00	38.45598	Astara	average	48.87498	Asia/Baku
15 Oct 2021	48.43174	Hlohovec	accep	17.8031	Europe/Bratislava
2021/07/01	7.50251	Igbara-Odo	good	5.06258	Africa/Lagos
13 Dec 2020	56.85836	Tver	average	35.90057	Europe/Moscow
2016/02/10	51.12794	Temse	good	4.21372	Europe/Brussels
20 Mar 2016	-31.4488	Esperanza	excellent	-60.93173	America/Argentina/Cordoba
2017/01/04	42.7392	Waverly	accep	-84.62081	America/Detroit
29 Nov 2017	-44.39672	Timaru	building	171.25364	Pacific/Auckland
2016-04-25	48.98333	Mitry-Mory	excellent	2.61667	Europe/Paris
08/01/2018, 00:00:00	42.819	Buynaksk	good	47.1192	Europe/Moscow
02/17/2018, 00:00:00	23.0072	Boyeros	building	-82.4017	America/Havana
07/10/2015, 00:00:00	-19.72806	Iturama	maintenance	-50.19556	America/Sao_Paulo
2021/11/30	48	Quimper	accep	-4.1	Europe/Paris
09/14/2014, 00:00:00	-37.9	Wheelers Hill	good	145.18333	Australia/Melbourne
2015-09-20	36.92574	Ragusa	excellent	14.72443	Europe/Rome
15 Apr 2015	6.45407	Lagos	excellent	3.39467	Africa/Lagos
2021/10/29	31.39547	Rahat	average	34.75699	Asia/Jerusalem
23 Feb 2016	33.52253	Laguna Niguel	good	-117.70755	America/Los_Angeles
08 Apr 2017	31.28092	Patti	average	74.85849	Asia/Kolkata
2019/11/24	52.09	Zeist	excellent	5.23333	Europe/Amsterdam
10/10/2017, 00:00:00	-1.26753	Balikpapan	good	116.82887	Asia/Makassar
27 Mar 2019	48	Quimper	accep	-4.1	Europe/Paris
03/11/2013, 00:00:00	34.81667	Toyokawa	accep	137.4	Asia/Tokyo
09/07/2015, 00:00:00	4.96667	Tonga	good	10.7	Africa/Douala
2013/04/24	16.0567	Roi Et	average	103.65309	Asia/Bangkok
2016-09-06	5.30383	Tarkwa	maintenance	-1.98956	Africa/Accra
2015-11-04	51.26	Westbury	excellent	-2.1875	Europe/London
2018/02/16	42.58342	Fitchburg	accep	-71.8023	America/New_York
2017/02/13	52.4089	Dobrush	accep	31.3237	Europe/Minsk
30 Nov 2016	29.98869	Zhoushan	good	122.20488	Asia/Shanghai
2012-12-23	44.99012	Keizer	maintenance	-123.02621	America/Los_Angeles
02/18/2013, 00:00:00	39.00622	Sterling	accep	-77.4286	America/New_York
2015-10-29	27.92333	Pucheng	average	118.53333	Asia/Shanghai
2021-05-07	45.51667	Vienne	good	4.86667	Europe/Paris
2016/08/16	41.27194	Liaoyang	excellent	123.17306	Asia/Shanghai
2021-05-04	35.05266	Fayetteville	excellent	-78.87836	America/New_York
2021-03-05	53.37596	Otradnyy	maintenance	51.3452	Europe/Samara
06 Jun 2017	34.15429	Messaad	accep	3.50309	Africa/Algiers
2018/07/20	46.32313	Niort	excellent	-0.45877	Europe/Paris
2021-06-26	60.97944	Izluchinsk	excellent	76.92421	Asia/Yekaterinburg
2019/01/07	55.38752	Naro-Fominsk	good	36.73307	Europe/Moscow
10/19/2012, 00:00:00	-4.83	Mwandiga	maintenance	29.65806	Africa/Dar_es_Salaam
2018/08/26	32.54278	Danjiangkou	excellent	111.50861	Asia/Shanghai
18 May 2022	50.9803	Weimar	excellent	11.32903	Europe/Berlin
2019-06-19	30.5427	Hutto	average	-97.54667	America/Chicago
2021-11-28	14.62578	Antipolo	average	121.12251	Asia/Manila
2020-05-24	46.32313	Niort	good	-0.45877	Europe/Paris
11/28/2013, 00:00:00	41.80753	New City	good	-87.65644	America/Chicago
24 Sep 2015	19.32889	San Lorenzo Acopilco	excellent	-99.32556	America/Mexico_City
06/09/2019, 00:00:00	38.37255	Aksaray	building	34.02537	Europe/Istanbul
07/22/2019, 00:00:00	51.65333	Vught	building	5.2875	Europe/Amsterdam
2019-08-23	28.71271	Pilkhua	excellent	77.656	Asia/Kolkata
2016/03/24	25.87498	Saharsa	acceptable	86.59611	Asia/Kolkata
14 Mar 2018	33.86419	Aleshtar	average	48.26258	Asia/Tehran
09/05/2013, 00:00:00	18.42745	Aguadilla	maintenance	-67.15407	America/Puerto_Rico
2014/07/13	24.81757	Rafiganj	good	84.63445	Asia/Kolkata
09/09/2022, 00:00:00	18.57677	Croix-des-Bouquets	good	-72.22625	America/Port-au-Prince
2022-09-19	37.16911	El Alia	average	10.03478	Africa/Tunis
20 Mar 2016	58.63667	Lesnoy	good	59.80222	Asia/Yekaterinburg
2020/12/29	16.0567	Roi Et	average	103.65309	Asia/Bangkok
2018/11/12	34.56861	Beidao	average	105.89333	Asia/Shanghai
03/29/2018, 00:00:00	51.12794	Temse	accep	4.21372	Europe/Brussels
2019-11-21	44.22639	Negotin	accep	22.53083	Europe/Belgrade
10/07/2019, 00:00:00	8.88649	Tchaourou	average	2.59753	Africa/Porto-Novo
01/05/2018, 00:00:00	48.35693	Friedberg	good	10.98461	Europe/Berlin
12/01/2021, 00:00:00	50.75932	Lutsk	excellent	25.34244	Europe/Kiev
2019-10-26	14.66	Pilar	excellent	120.56528	Asia/Manila
06/28/2013, 00:00:00	-21.42917	Alfenas	average	-45.94722	America/Sao_Paulo
2013/04/02	35	Komono	excellent	136.51667	Asia/Tokyo
2016-06-22	-8.76194	Porto Velho	accep	-63.90389	America/Porto_Velho
20 Sep 2015	40.87363	Volla	average	14.34085	Europe/Rome
2022/08/04	48.35149	Hechingen	accep	8.96317	Europe/Berlin
09/22/2015, 00:00:00	27.92333	Pucheng	good	118.53333	Asia/Shanghai
24 Jul 2015	51.44889	Tongelre	good	5.51978	Europe/Amsterdam
2012-10-26	50.09019	Hofheim am Taunus	average	8.4493	Europe/Berlin
2014/02/14	65.93381	Aykhal	maintenance	111.4834	Asia/Yakutsk
26 Jul 2017	4.94273	Carnot	excellent	15.87735	Africa/Bangui
19 Jun 2018	-7.60361	Kidodi	average	37.00438	Africa/Dar_es_Salaam
2020/03/28	18.65297	Thomazeau	excellent	-72.09391	America/Port-au-Prince
02 Jan 2017	2.2139	Kampung Ayer Molek	average	102.3278	Asia/Kuala_Lumpur
2021/10/04	51.40148	Newbury	excellent	-1.32471	Europe/London
2013-12-11	53.7446	Kingston upon Hull	accep	-0.33525	Europe/London
2014/12/05	12.18441	Mongo	average	18.69303	Africa/Ndjamena
10/28/2013, 00:00:00	14.62578	Antipolo	average	121.12251	Asia/Manila
09 Oct 2020	43.91452	Brunswick	good	-69.96533	America/New_York
24 Feb 2018	45.4473	Dorval	good	-73.75335	America/Toronto
07/11/2020, 00:00:00	24.96334	Ghat	good	10.18003	Africa/Tripoli
2016-08-07	68.79833	Harstad	excellent	16.54165	Europe/Oslo
2019/10/19	35.82756	Ina	average	137.95378	Asia/Tokyo
2021-08-13	9.15093	Chilibre	maintenance	-79.62098	America/Panama
11/18/2020, 00:00:00	48.46458	Pfullingen	accep	9.22796	Europe/Berlin
15 Nov 2016	19.64745	Paracho de Verduzco	good	-102.04897	America/Mexico_City
2013-05-06	41.09822	Nanpiao	average	120.74792	Asia/Shanghai
08/05/2016, 00:00:00	-34.74785	Pontevedra	good	-58.70072	America/Argentina/Buenos_Aires
