longitude	NOx	SO2	CFCs	NH3	O3	TEMP	C2H3NO5	PAHs	PRES	Pb	PM10	CH4	H2CO	warning	PM2.5	latitude	CO
112.01667	2.72639	8.19895	26.70823	9.54833	7.66099	25.11736	0.13657	7.47424	1131.07052	57.61467	7.46244	7.14581	49.94452	0.00000	8.16805	-7.81667	9.05806
-67.33122	9.76390	6.29091	58.98554	10.03176	6.54790	3.40825	0.83225	8.24856	1198.47352	59.52008	9.65075	9.74956	51.05799	0.00000	8.46850	10.22677	7.37345
-78.19444	5.44739	8.13983	48.23642	10.56407	8.72516	12.10813	1.07226	8.81643	1191.59675	50.22368	9.87083	8.61529	42.45792	0.00000	6.14992	38.91817	8.94654
117.27583	8.24195	7.00533	49.49878	6.20620	7.36943	36.00943	0.46609	7.55983	1198.81714	46.08606	8.96984	7.43842	60.23924	1.00000	8.15963	35.64889	9.61769
75.96976	9.74793	8.52012	60.54135	5.14239	7.95301	32.19680	1.45013	8.89944	1172.59115	37.25755	10.20549	9.28937	59.93566	1.00000	8.00932	15.73628	9.17743
122.08333	7.54462	7.56248	32.36950	5.77079	7.93794	24.28468	0.12069	9.60193	1136.56011	22.20551	7.56117	6.90350	46.88421	1.00000	6.66868	46.08333	10.88624
101.02083	8.96694	8.52545	77.27275	10.67026	8.13789	14.46739	1.36941	8.83210	1139.41860	67.72435	10.13370	6.25409	33.88187	0.00000	7.28247	4.02219	8.78413
-1.08593	5.60145	7.67784	61.40157	6.69346	8.11870	14.17500	0.11827	9.57781	1121.73056	53.46046	6.98401	9.29499	70.10057	1.00000	10.70624	50.79205	9.67704
117.7	10.22036	8.23083	53.05460	9.14671	8.35052	-8.63589	0.44562	5.57428	1091.55016	32.90543	8.86159	7.02668	55.26838	0.00000	9.73451	35.85	7.78925
118.53333	9.30069	9.41375	53.50521	6.31399	8.99556	14.99913	0.15926	10.39508	1198.90054	42.05932	7.73651	9.44133	77.77432	1.00000	8.81706	27.92333	9.21608
74.3092	5.29117	7.29323	34.32202	8.15902	7.76265	1.94711	0.10659	11.59895	1077.81134	29.08966	5.44190	6.72376	53.71049	1.00000	9.20881	33.37526	7.91413
-87.71255	13.46128	8.55666	54.30194	11.42661	8.67128	12.96316	3.61503	8.62284	1178.51805	52.60595	11.13196	7.44081	41.51558	0.00000	9.51209	41.84364	9.32909
14.72443	9.85614	7.27368	43.16235	6.36545	8.01031	17.87542	0.29627	9.86930	1074.62321	35.86347	8.42235	7.36464	66.97844	1.00000	7.69808	36.92574	11.51619
83.36889	8.51550	8.05266	45.73894	5.92495	8.70594	28.86735	0.14789	10.19335	1158.62850	47.94548	6.67553	8.14292	51.68950	0.00000	6.13534	26.76628	6.37667
-98.1664	7.40953	8.48921	28.45399	8.07037	6.89304	14.65330	0.11624	9.54470	1135.02813	64.08489	6.40094	8.43797	50.79402	1.00000	11.98833	19.32932	6.40287
126.665	8.64154	9.47464	56.10561	8.37530	7.86339	36.41399	1.30096	10.70967	1069.69757	50.91025	10.10789	7.88446	39.77327	1.00000	5.63470	36.6009	6.53498
5.4584	7.28235	7.71838	49.28685	6.59356	6.89717	19.15375	0.16160	7.78516	1125.87610	44.98891	7.55652	6.62195	44.43003	1.00000	9.06871	43.32393	10.15300
104.1451	9.90907	9.32932	43.38586	11.64203	7.07872	4.14254	4.46322	9.88938	1192.64739	63.72016	11.34290	7.64397	38.39785	0.00000	6.69592	15.79408	9.58340
123.17306	9.59229	8.79618	40.22105	5.43106	8.38131	1.42815	0.29995	8.89918	1130.95556	43.40370	8.32973	7.44556	51.50721	1.00000	9.98791	41.27194	9.31939
5.06258	11.12004	8.74554	62.16827	11.90211	6.69766	16.41523	0.84315	2.18870	1058.66689	47.69367	9.63182	7.68922	62.03226	0.00000	10.94354	7.50251	7.25011
2.44892	6.12073	9.33398	70.23036	8.48997	9.18827	16.48049	0.08890	5.84996	1165.40659	40.15285	5.80356	9.17386	29.66718	0.00000	7.14015	48.98693	6.77396
9.02596	10.31469	7.91415	64.99532	6.22275	7.57624	17.36144	1.45708	9.20496	1172.17073	64.34857	10.20843	8.29883	52.77608	1.00000	6.27849	48.21644	10.51170
-84.50855	11.35416	7.04240	31.97959	10.38738	8.40267	15.89465	1.05322	8.04424	1198.73705	59.15872	9.84448	8.12013	30.07808	0.00000	9.52940	39.08367	7.35653
-88.64235	10.96779	8.56904	59.89801	9.40428	8.27965	29.65716	0.41678	8.97357	1101.78286	56.46214	8.89684	8.58486	38.28738	0.00000	8.96839	46.09273	10.44286
124.3697	10.93810	7.94501	50.75330	6.33441	6.06662	27.79437	0.47781	10.92278	1174.29030	61.93003	8.92606	7.51397	46.79730	1.00000	7.20551	9.6531	10.82948
-82.35176	6.40140	8.92726	36.99053	10.38073	7.08211	13.92184	0.21326	7.73278	1153.91240	34.38464	7.99375	8.23616	40.17826	0.00000	6.69410	27.71809	7.91832
72.54064	6.35093	9.07934	36.42401	6.95357	8.29586	8.18473	0.23996	6.04309	1111.01598	46.23528	8.18632	7.56756	31.43617		8.37808	31.82539	8.74211
-73.02841	8.64918	7.26085	39.54019	7.36534	8.71480	11.15873	0.24399	9.74360	1070.80217	46.00486	7.94728	9.15677	37.26859	1.00000	7.14515	-36.9256	8.81722
136.84186	6.49108	6.18144	53.14670	9.25712	8.08426	27.91575	0.56891	9.91536	1186.16083	57.30462	9.11367	8.02616	47.10245	0.00000	4.36480	34.4833	12.09794
26.97253	6.20084	8.77735	39.88658	6.60980	7.08339	33.00941	0.10634	8.89918	1103.54060	54.71719	6.44647	7.25114	36.07328	1.00000	10.90983	49.65186	9.15359
137.95378	5.20590	10.39029	49.07252	8.64717	7.37719	17.77384	0.05242	5.94614	1116.82954	41.78751	4.70166	8.98812	50.27948	1.00000	14.19951	35.82756	7.53255
137.95378	6.00009	7.49431	54.32055	6.48147	9.23429	23.57045	0.15976	10.89145	1148.68435	79.32338	7.24314	9.18634	31.64907	1.00000	6.75365	35.82756	10.18558
-3.59625	8.75758	7.65578	32.32805	9.40229	9.40971	8.42188	0.14749	13.60669	1177.00717	41.44473	7.38292	6.79245	48.33519	1.00000	5.44636	5.27247	10.60522
-88.64235	8.92958	10.02192	53.53483	9.20926	8.74127	15.02495	0.65892	9.17979	1060.42332	63.05384	9.20334	7.53211	22.39642	0.00000	7.17898	46.09273	9.39580
129.96972	9.15745	7.30649	14.33901	9.30376	8.23090	14.56393	0.72588	8.13082	1113.38074	35.78855	9.45217	6.85877	68.73391	0.00000	6.91458	33.4425	9.36480
51.3452	6.62557	7.61635	39.01329	8.90302	8.87661	13.17315	0.28098	9.35291	1065.77855	42.59077	8.41927	7.07889	56.55064	1.00000	6.55935	53.37596	7.23390
3.55665	7.75581	6.94910	54.31865	5.48880	9.18698	17.63537	0.33395	9.85713	1128.55004	39.90558	8.58199	9.23773	59.94126	1.00000	8.58413	36.72544	10.76694
1.33467	3.64926	8.94247	43.30180	7.69213	6.92922	20.40057	0.04428	8.05502	1114.84537	70.32977	4.50842	7.39605	36.65987	0.00000	5.88485	43.61058	8.50846
-1.4001	6.01360	7.74420	68.25362	7.71718	8.60152	1.86961	0.15424	9.40152	1054.52541	32.62487	6.30077	6.90548	45.72184	1.00000	10.77833	7.06273	8.77836
37.3825	12.21358	8.55891	69.57954	5.91717	7.06804	-0.03954	6.52244	11.30863	1136.15107	72.60681	11.73088	8.15670	61.59128	1.00000	5.23423	37.05944	10.12788
10.03478	4.85690	10.52759	33.02796	8.77709	8.02412	-0.34769	0.05451	10.29423	1129.46067	18.75437	5.87832	8.08389	26.65425	1.00000	12.16579	37.16911	7.04884
-4.1	10.57812	7.42191	50.01922	7.02257	9.34682	31.66794	1.25823	10.89131	1148.56184	74.96750	10.04033	7.24295	63.98038	1.00000	5.72755	48	9.58248
-73.75335	7.38926	9.49318	40.55540	8.43617	5.82453	11.81203	1.13780	8.07515	1098.87445	57.62772	9.91836	7.48957	46.43620	1.00000	5.08312	45.4473	5.83354
-73.49484	6.84450	7.96688	58.07072	7.80895	8.24958	15.05508	0.14058	11.56749	1114.76090	81.71039	7.28210	9.36226	79.21623	0.00000	8.41632	41.14676	8.38615
51.49621	11.17490	8.74322	55.77367	9.14115	7.71920	21.17133	0.67429	10.75466	1173.59297	62.87315	9.38237	8.59365	43.00227	0.00000	6.95298	36.64852	8.92568
-47.53028	10.19137	8.16921	42.51171	4.72622	8.25020	20.41441	1.21321	7.93459	1114.81304	57.63753	10.02006	7.93901	39.99475	1.00000	8.09728	-22.45667	11.58408
-1.64295	5.17190	8.74933	48.95777	10.23316	7.09967	26.94539	0.37441	9.16394	1065.56027	53.40799	8.83824		17.61948	0.00000	5.87857	42.8139	10.76604
152.70493	9.92456	6.52969	15.08937	9.97031	9.25888	15.67091	1.97941	11.11327	1174.14265	60.09883	10.50406	8.45386	44.33080	1.00000	5.17096	-25.54073	12.08517
117.33333	9.08570	9.66683	27.32421	7.97209	8.61042	13.23251	0.22865	8.88219	1184.21556	69.95534	7.99023	8.33950	57.29307	0.00000	6.86802	34.85	10.73851
35.7	9.19688	5.73987	31.00827	5.99902	8.23148	38.68795	0.21666	7.87867	1074.58967	46.58475	8.01611	7.96385	30.66960	1.00000	12.35262	-7.76667	9.07021
-2.77259	8.18880	6.48745	11.34945	8.66993	10.03880	5.41254	0.07715	6.79612	1162.06349	39.99739	5.85446	7.25778	40.26680	0.00000	6.23853	37.49073	6.41004
10.03988	9.98086	7.27450	24.47497	10.94034	8.88526	11.84152	1.46520	8.98726	1051.43931	8.69167	10.20109	8.49317	39.08308	0.00000	8.17502	53.6052	8.63101
37.00438	4.68674	8.77169	59.27173	7.61672	8.40783	18.21380	0.13652	12.54433	1137.61425	51.10173	7.21134	7.34689	66.94504	1.00000	6.53468	-7.60361	9.38588
-82.35176	10.69890	8.39889	64.02907	8.86914	10.25625	18.90073	0.67760	9.90030	1157.34926	31.05680	9.34676	7.42551	68.87954	0.00000	6.96470	27.71809	10.66706
102.05461	7.51730	6.82650	52.43392	9.28285	6.99856	29.52981	0.31776	7.68503	1075.26555	49.46072	8.54448	8.13565	56.14528	0.00000	7.63676	6.25947	8.66565
-75.60804	7.77955	7.79395	64.11002	5.10811	6.53758	14.34304	0.11802	8.59812	1184.82709	66.51554	6.94295	8.42988	64.94124	1.00000	10.25840	39.96097	
-81.26367	7.78341	8.37781	76.55009	5.60885	7.95957	1.42354	0.13327	8.01131	1051.50736	47.93174	6.90196	9.07374	49.11163	1.00000	7.86042	28.90054	11.32256
114.10479	6.81178	8.04428	27.21770	9.44889	8.75523	16.56621	0.09975	6.98577	1091.65036	35.51580	7.56127		56.63914	0.00000	7.14262	22.37066	11.48822
103.65309	8.01103	9.55604		6.09393	7.96619	22.63953	0.23893	6.97605	1104.20449	45.81764	8.18424	7.37687	61.59301	1.00000	8.18430	16.0567	10.94848
-4.21376	5.75314	8.64367	52.11570	7.80488	8.63539	11.33866	0.14418	10.82049	1166.92885	42.59037	7.67501	9.11206	45.17466	1.00000	10.07357	55.82885	8.15276
5.55575	7.69946		37.87854	11.40951	7.52156	20.98663	0.20009	7.15881	1178.21555	54.15977	7.90602	7.41751	59.94383	0.00000	7.32322	46.67535	8.23459
-1.32471	10.23826	8.30523	40.83719	6.79566	9.39644	13.63187	4.08383	9.37754	1136.37299	51.05252	11.26458	8.37664	58.14886	1.00000	5.75957	51.40148	6.79405
-1.64295	9.58769	8.59615	49.95748	9.93864	7.07306	20.28071	1.12257	10.52003	1065.40753	49.76100	9.92296	8.36031	46.35053	0.00000	6.23605	42.8139	11.34960
128.9889	5.62106	6.66111	59.41858	9.18305	6.47945	19.39570	0.09253	13.01737	1125.07632	48.57293	5.63170	7.01731	47.36628	1.00000	9.22245	37.1759	6.48105
6.92917	5.13629	7.71819	51.75596	7.55394	6.99655	11.10425	0.08706	10.32153	1090.20683	63.81377	6.32115	8.52256	47.02304	1.00000	8.60125	52.31333	9.54981
121.12251	5.72944	6.47637	32.28733	8.13499	7.53313	10.99030	0.09124	7.79320	1111.61575	51.40038	5.54577	7.90672	38.19763	1.00000	10.60734	14.62578	8.51746
-0.45877	6.93285	6.24357	48.40571	6.88475	7.21965	0.89785	0.25514	9.52226	1120.31883	77.08428	7.93260	9.78068	34.53185	1.00000	8.74881	46.32313	9.16026
5.55575	4.19109	6.57377	36.80670	8.07582	8.78133	-1.24635		11.28566	1064.41002	55.79356	6.82460	6.93930	65.24690	1.00000	9.37974	46.67535	8.30894
-74.73584	7.95982	8.45262	18.22739	9.10569	8.04890	6.90227	0.16679	12.48528	1178.56557	41.73820	7.66296	8.58638	40.12357	1.00000	6.43112	5.20856	8.34512
-93.75018	6.35935	6.30239	49.71192	7.65125	7.71749	15.18971	0.13531	9.49163	1126.21337	44.38252	7.65972	9.39177	58.58275	1.00000	10.04630	32.52515	8.13819
123.17306	6.28129	7.24331	35.79819	6.33189	8.14687	5.32966	0.11685	8.06824	1117.47517	57.50638	5.65010	7.49132	83.67074	1.00000	10.79742	41.27194	9.60920
9.5926	7.98972	9.01304	52.01963	9.62109	9.45025	10.29866	0.63617	8.70559	1084.62685	57.06285	9.26187	8.00363	53.62210	0.00000	6.57536	52.86147	9.35919
9.5926	10.52394	8.49651	43.88755	10.62239	7.85209	11.38375	2.08182	9.35519	1131.31635	52.31829	10.56029	8.85977	31.54197	0.00000	6.60896	52.86147	10.04603
14.34085	6.61200	6.81653	39.33353	8.01359	8.12348	18.50145	0.09572	8.44196	1165.92618	27.66045	6.03040	8.74711	42.20205	1.00000	10.74076	40.87363	8.11826
48.87498	7.32047	8.27848	54.46328	7.82168	8.89862	18.56439	0.19326	11.76166	1193.77546	27.29920	7.40193	8.42320	53.29121	1.00000	8.66685	38.45598	7.95235
-7.35	8.64347	6.92166	22.69863	8.41661	8.07585	14.69562	0.47455	11.18616	1190.43721	31.75721	8.97516	5.49243	60.81202	0.00000	4.67727	53.53333	13.58014
-1.5443	9.46144	7.30448	42.13424	7.68334	9.48392	-5.37395	0.51723	11.43341	1162.32938	45.25471	9.07544	8.16216	56.28058	1.00000	6.18922	50.75767	9.29226
38.66667	11.25475	8.99682	18.92661	11.17449	6.99569	17.60929	0.47446	5.91984	1168.80818	42.72616	9.02438	7.17799	51.88018	0.00000	7.03648	-6.25	12.35853
46.58333	7.62693	8.67968	24.77095	8.42683	7.71152	9.27279	0.21130	9.74046	1096.44381	62.24148	7.97850	6.32549	65.43695	0.00000	6.87718	-21.15	8.39056
135.6	5.77404	7.40689	51.78282	7.21292	7.29138	25.05217	0.06917	9.37973	1115.84902	41.73582	4.94103	6.87901	56.38145	0.00000	3.55966	34.61667	11.39340
37.73333	9.38432	8.15367	31.68537	10.61056	8.09894	5.24533	1.54319	10.57944	1139.37289	79.54395	10.26870	10.36033	60.94152	0.00000	6.49981	-4.06667	10.03884
-103.42897	6.26994	6.99519	46.85493	7.65472	8.01369	25.76667	0.06878	8.89845	1061.00822	46.14067	4.90999	8.68903	35.05588	1.00000	10.72342	20.28527	8.24536
-67.33122	10.09477	9.86951	30.29142	5.73277	7.04178	17.63424	0.48999	9.63444	1137.35643	50.80048	9.06066	7.72722	63.76080	1.00000	7.94152	10.22677	10.46240
-80.38297	9.13958	8.26360	68.06183	7.52618	7.37628	-5.44183	0.95814	9.50569	1150.05870	54.00929	9.71808	7.44464	66.85924	1.00000	5.79392	42.8334	8.68454
-0.33525	6.64067	7.10440	67.38456	7.32133	8.00903	5.82030	0.16585	11.45231	1077.52167	41.64683	7.58446	9.14256	47.66861	1.00000	6.30766	53.7446	9.60977
74.4818	7.61886	8.44450	40.98640	5.74728	6.88150	17.24565	0.24700	10.02723	1056.31673	62.98027	7.95748	8.14399	64.17557	1.00000	9.43168	30.21121	9.84562
98.50893	6.21041	7.97561	52.75034	7.39053	9.09822	21.34730	0.07907	6.30686	1118.57493	46.10692	5.76814	7.60308	68.01558	1.00000	10.61472	16.68911	9.41634
102.42587	10.43164	8.57978	60.95354	6.19363	10.03802	15.83365	2.19616	8.74495	1150.02860	45.26545	10.62812	7.25263	38.31642	1.00000	6.19518	15.58552	9.73868
-6.90656	7.53834	8.08809	35.46994	8.25132	8.11418	23.14971	0.39824	9.71803	1103.30505	26.13881	8.70122	6.94959	79.77310	0.00000	5.07067	33.92866	9.61367
-80.38297	7.32308	7.37578	45.15191	5.14850	7.94339	10.14961	0.16751	6.89428	1055.72491	44.63450	7.60449	8.53093	48.35713	1.00000	9.33326	42.8334	11.15270
-1.5443	6.50576	9.17467	61.00458	7.90745	7.80366	41.00570	0.07144	9.37877	1183.41263	59.10571	5.65730	8.60140	48.67446	1.00000	11.46223	50.75767	7.35957
42.85693	6.01821	7.97726	52.77451	10.22252	7.62349	12.48760	0.58294	7.95823	1109.84251	52.02050	9.22484	8.04973	45.73252	0.00000	6.81358	39.22493	13.80390
71.21169	7.70626	7.46246	38.52643	8.65234	7.43365	5.47603	0.31374	10.07845	1061.04118	62.37683	8.52098	9.47532	58.72212	1.00000	5.77718	21.59983	9.42431
-98.1664	12.01690	9.28913	36.22139	9.28434	6.33420	14.99430	0.74723	8.62842	1157.60408	43.09094	9.52265	7.58193	43.73385	0.00000	8.61034	19.32932	10.47541
34.02537	9.34655	6.63220	47.90177	7.79368	7.26492	7.68182	0.05773	5.45775	1053.58862	43.29029	3.36886	6.88880	49.76804	0.00000	5.47503	38.37255	7.42597
-47.1725	6.97922	9.16459	52.23734	6.27567	9.60582	22.15766	0.12652	7.40976	1060.46650	49.53881	6.99706	7.25830	40.58496	1.00000	8.07841	-22.57306	10.84902
-84.20299	3.32456	7.08707	33.80082	8.67597	7.38050	3.34808	0.06991	12.31196	1056.83790	49.83765	5.18881	6.44508	53.02761	1.00000	7.89887	39.43534	8.24429
102.42587	6.43888	7.16230	39.44027	7.32223	9.20126	25.15418	0.12090	7.73882	1102.00387	40.01037	6.94542	7.74043	53.08840	1.00000	8.61392	15.58552	10.69213
41.00817	8.91790	7.95389	34.85893	10.22660	8.41090	20.28462	0.93190	8.75117	1161.51679	49.49528	9.70788	7.49823	53.01385	0.00000	6.69035	38.13708	10.44114
-79.62603	5.83554	10.87860	57.25689	8.01467	7.42304	9.10176	0.17518	10.84277	1157.26785	45.29859	7.61429	7.97638	40.53945	1.00000	9.72470	8.88988	8.09404
98.50893	3.98932	7.44438	53.56957	9.93291	9.39447	15.93948	0.20076	10.36002	1143.81087	44.81309	7.30869	7.12401	69.07128	0.00000	5.17246	16.68911	10.19053
-2.12139	8.85010	9.01456	34.29919	5.61803	7.44402	12.82757	6.39661	11.46722	1053.15508	42.07075	11.71788	8.31919	64.08914	1.00000	6.47783	52.48173	10.44783
133.42825	7.76645	9.24325	60.34180	7.63633	7.85727	13.57852	0.57286	8.18609	1068.70360	55.16800	9.13883	6.74871	58.00558	1.00000	6.80046	45.47885	8.82069
-120.45794	8.07963	7.87118	49.08765	8.07491	7.63000	13.60080	0.20268	8.05083	1195.82791	70.61126	8.05233	6.08273	47.38294	0.00000	6.87769	34.63915	10.48040
-52.2	5.99991	7.19750	35.95946	6.12105	8.32381	6.64048	0.16270	10.34947	1158.90094	55.50895	7.18115	6.77984	35.51180	1.00000	7.66154	-28.44917	10.78310
-99.73314	6.82317	9.18985	30.85064	7.74828	8.45027	19.20556	0.09749	9.06619	1196.56212	32.81626	5.05122	7.72379	39.20578	1.00000	9.66957	32.44874	8.25353
78.14797	6.30099	7.32492	29.03269	5.92177	9.00042	12.15884	0.09477	7.66483	1160.63402	42.82430	6.24837	7.63305	32.93783	1.00000	8.49504	15.45144	10.65550
123.33471	10.51607	7.13278	16.78902	9.37391	7.98345	19.25905	1.55015	11.36235	1177.05417	38.97548	10.25949	8.33528	58.04197	0.00000	5.34033	8.56697	12.93716
-71.10077	8.31749	8.15562	57.65314	8.52873	8.31881	7.92231	0.48850	10.14483	1143.29969	51.49579	9.09931	10.59396	61.19508	0.00000	5.14116	18.20854	10.13863
105.75635	7.10945	9.05862	65.82496	6.60936	8.59340	22.76990	0.18468	9.93987	1056.61086	31.31669	7.45163	7.88628	63.07208	1.00000	7.91578	10.29085	10.09379
1.33467	8.23958	7.50304	27.32831	7.11428	6.22941	6.28098	1.84439	7.82793	1097.62359	61.01813	10.43624	8.85870	41.46084	1.00000	6.26600	43.61058	6.41921
89.11943	6.72501	7.95585	38.92563	5.24426	7.77684	11.61724	0.04886	8.07089	1068.87989	59.72281	6.38396	8.04786	28.05515	1.00000	8.59941	23.9028	11.76612
-44.31389	9.03415	8.31221	37.77344	5.03266	9.00923	2.98102	0.26251	6.52716	1077.78583	26.02789	8.31450	8.49165	63.43090	1.00000	8.94886	-19.7625	10.74662
-103.5687	8.78239	7.27591	47.17539	9.84491	8.95919	19.67287	0.77220	9.70133	1162.56528	42.62677	9.54855	6.91739	51.21010	0.00000	6.63593	20.22816	9.33293
-74.15987	9.29590	7.39705	28.45916	8.59975	9.13927	34.17635	0.37058	10.27466	1190.35560	51.78721	8.80830	6.14900	59.72639	0.00000	6.77794	40.82232	9.22756
-82.00919	7.18860	11.14763	62.59236	6.89813	8.36564	-3.12718	0.14263	8.18811	1064.74496	72.12912	6.71263	6.46553	50.92877	1.00000	8.41428	23.04419	10.06379
79.883	11.28741	7.29126	46.47496	9.60162	6.39271	15.54479	1.07009	7.54696	1141.19325	58.99635	9.85689	8.89420	43.57031	0.00000	9.26052	6.9909	6.62912
-1.64295	5.24520	8.05226	41.34548	7.57675	8.03893	14.62308	0.10028	11.69825	1073.92938	70.86275	6.55770	8.65254	48.96240	1.00000	11.33251	42.8139	8.04838
152.70493	5.46658	7.76442	61.37360	6.94077	9.84789	20.77201	0.09617	9.23283	1111.56301	54.44403	5.61309	8.18040	55.42404	1.00000	10.59970	-25.54073	9.30398
-119.0376	11.56204	8.75089	47.35736	5.20256	7.46584	6.63687	0.55496	10.26721	1149.41731	52.18186	9.19358	8.01455	31.21520	1.00000	8.07225	34.21639	10.40731
3.55665	7.80196	6.98015	60.62462	8.13168	9.41069	14.32285	7.99828	7.16614	1118.42783	50.34510	11.94235	8.65287	51.67213	1.00000	4.16593	36.72544	5.67525
137.4	9.06476	9.37100	41.41635	6.15009	9.10968	38.79210	0.32376	8.66623	1101.13413	42.33177	8.41105	9.62152	36.97717	1.00000	9.24073	34.81667	9.51846
-77.37331	8.74416	6.96474	38.01881	9.75982	7.68127	4.82642	0.92238	9.03749	1059.52118	56.22544	9.71120	8.40260	48.54198	0.00000	6.74485	37.60876	10.08412
-82.00919	6.61193	8.11661	49.42886	9.49821	7.97640	14.61997	0.17992	7.96488	1198.34786	47.26462	7.69117	6.86405	68.75792	0.00000	6.26481	23.04419	10.59016
-63.13414	11.27863	9.51317	60.93169	4.27332	7.64786	12.63017	1.34364	7.66337	1087.09818	44.79931	10.12895	6.91591	39.38883	1.00000	8.43751	46.23899	10.64516
126.665	8.00323	7.41123	48.80712	7.83496	6.91607	9.21374	0.06475	3.19292	1175.58004	43.94561	4.81020	6.02162	41.36279	0.00000	8.95264	36.6009	8.79387
-120.00865	8.82986	6.74010	56.87735	7.45775	8.69591	11.59166	0.24626	10.59722	1163.82448	56.61579	8.34312	7.80740	37.79569	1.00000	7.07200	46.32374	8.65637
11.32903	7.10048	9.10053	57.10703	8.35670	7.48259	1.36493	0.25195	8.02923	1155.93232	66.38589	7.94657	8.25845	53.27088	0.00000	6.27690	50.9803	8.22996
171.25364	7.32580	10.21408	44.85588	9.42808	9.67552	14.87116	0.11453	6.91359	1140.67058	54.46947	6.64894	8.42331	50.41445	0.00000	6.23159	-44.39672	10.84645
-1.48119	10.66923	7.53348	91.14084	9.27519	8.69542	22.21955	0.81845	9.31618	1128.86346	44.39068	9.52671	7.56315	41.21090	0.00000	7.48324	53.0233	9.80561
14.39024	4.04259	6.43543	21.46449	10.04566	7.01586	3.59167	0.23628	9.63553	1093.76067	48.47227	8.03003	8.26356	50.03763	0.00000	6.28402	42.22718	11.95886
-7.35	6.25363	6.99017	35.24142	9.73720	7.35125	15.98785	0.14277	6.42803	1152.21264	22.81159	6.91660	7.31809	31.81436	0.00000	7.83249	53.53333	8.42312
7.02238	11.37976	8.19398	27.95564	6.27843	8.79555	26.28487	0.50208	12.44778	1168.56355	53.89742	9.10996	8.58130	57.72555	1.00000	7.34011	52.21099	10.79580
19.27498	7.34621	7.78981	48.02759	6.91755	7.49981	16.76766	0.08875	8.52395	1120.17184	42.96100	5.73761	8.01149	42.80656	1.00000	12.22567	50.20528	8.82709
-93.75018	5.83970	6.90971	35.04824	7.10132	8.48443	2.71799	0.11194	10.42099	1191.45224	32.95569	6.42034	8.12274	37.50134	1.00000	10.21783	32.52515	9.07951
78.14797	10.54281	10.35876	49.05713	4.96970	9.40429	23.14736	4.66465	6.80420	1178.56362	46.40257	11.38892	9.52154	58.34925	1.00000	6.67434	15.45144	10.23413
59.4839	10.17114	9.93101	54.66623	7.79715	7.96574	10.97121	0.61052	12.02457	1146.31042	46.53143	9.19960	6.81012	35.18262	1.00000	5.96679	58.7002	8.50565
-49.27306	10.78114	6.52929	39.65411	10.30775	7.65417	22.91588	2.62719	10.90516	1060.18690	40.87774	10.80808	7.04551	44.36259	0.00000	5.92264	-25.42778	11.77521
7.973	6.31581	8.31104	44.60205	8.00445	10.03141	12.94887	0.02736	7.73562	1104.28610	56.02609	5.03330	8.49903	61.27473	0.00000	5.84988	51.168	9.40224
