H2CO	CH4	PM10	NOx	PRES	PM2.5	CO	O3	PAHs	latitude	C2H3NO5	Pb	warning	CFCs	TEMP	SO2	longitude	NH3
35.01405	11.22842	11.09335	11.65103	1086.28554	11.37212	7.31112	10.92897	9.03126	32.55531	0.33135	38.36617	0.00000	68.65059	11.06844	8.09397	76.12647	9.49690
35.56920	10.82632	8.09143	9.20005	1087.25139	5.55981	9.58996	9.29384	9.69559	33.37526	0.02165	30.16961	1.00000	70.24764	29.89551	8.52068	74.3092	10.16904
30.40236	9.82147	11.47050	9.51246	1135.75850	7.85646	7.75342	9.91736	10.10229	53.37596	0.47658	38.82158	1.00000	40.84826	25.81862	10.02562	51.3452	11.27796
77.17148	9.38921	9.25479	5.37552	1103.37588	9.25220	6.82405	10.21515	10.82066	-37.9	0.05512	48.27090	1.00000	40.26144		9.23799	145.18333	7.92398
24.28086	3.14277	8.40168	9.29882	1134.82893	9.28818	5.75835	12.83971	7.86928	45.9836	0.02208	47.66846	0.00000	30.91490	18.23793	10.39118	12.70038	9.92761
75.71826	11.54033	8.89467	6.49624	1157.99046	9.46856	8.53690	9.20709	10.60919	9.3337	0.03990	48.49980	1.00000	49.23791	15.06671	9.70345	122.8637	8.75873
54.13592	10.37287	11.62136	9.21867	1122.31415	10.50296	8.03914	10.85479	8.93141	13.70167	0.55500	40.40527	1.00000	53.61375	19.63168	8.43604	-89.10944	8.11244
69.23394	7.79109	10.91315	11.19509	1120.95531	9.66835	9.21117	11.79264	8.33911	17.30858	0.27156	60.07277	1.00000	60.82695	-4.65612	7.31644	97.01124	6.96149
57.58379	8.74979	10.26067	12.92382	1147.41017	11.93110	5.78304	9.23665	8.74102	3.7278	0.14843	50.87731	0.00000	59.72469	0.21202	11.21345	98.6738	7.52149
67.94619	9.60293	12.97717	11.16639	1061.10421	11.39724	8.75984	13.68051	10.19559	30.81383	2.13352	42.16254	1.00000	64.78617	19.92205	7.87599	75.16878	8.96943
56.73709	9.40794	13.59670	9.70573	1108.98961	10.03662	6.55120	10.31703	8.58587	11.00599	3.95809	60.84680	0.00000	69.35592	-3.07208	7.07461	77.5609	9.82255
52.24488		8.39879	6.30421	1176.02508	9.83311	8.31555	9.05182	9.72809	51.14942	0.02314	49.15623	1.00000	45.98128	12.86500	9.51642	15.00835	8.61972
61.45604	9.70272	10.44020	9.21175	1126.73891	6.68680	8.65712	9.77078	10.45384	-21.98333	0.17198	33.76610	1.00000	50.87083	-1.35939	9.34323	16.91667	9.58701
70.49855	10.29713	12.19362	8.73637	1087.59094	7.18355	7.50670	8.82248	9.30093	47.48444	0.97462	32.23062	1.00000	33.37321	21.39927	10.28768	36.25361	8.24008
58.21532	9.12896	10.30336	8.94151	1128.43457	12.32174	7.95738	11.66316	9.79553	39.43534	0.15073	62.94280	1.00000	46.85452	20.54441	8.27850	-84.20299	10.06812
66.27874	8.63091	12.05441	8.55356	1123.95134	10.16300	7.39761	12.10894	8.98741	4.2475	0.85534	73.12693	1.00000	52.90912	25.68094	8.39657	9.00472	9.32761
58.57090	10.42410	6.80868	11.08757	1089.87693	10.99938	7.99363	10.02606	8.37056	47.76232	0.00921	49.46905	0.00000	63.06125	9.79681		-122.2054	9.45185
67.81228	8.92531	13.30210	9.80313	1077.23726	11.08192	6.30837	9.60749	10.34884	21.46527	2.94856	43.42953	0.00000	33.31323	3.95654	8.53243	83.97573	9.71248
66.25955	11.63001	8.12191	10.94999	1169.76450	7.53324	6.55653	10.29441	9.82182	42.52787	0.01993	53.41714	1.00000	53.86377	23.56198	11.65233	-70.92866	9.28621
53.80488	8.39830	12.68509	10.34712	1097.33676	8.47999	7.78563	11.58146	8.77799	41.91738	1.59445	34.63774	1.00000	17.93513	17.15798	9.77078	3.1631	8.57692
82.46124	10.34735	10.81870	11.25975	1111.72180	8.47866	6.76711	10.57284	8.58941	60.2052	0.24958	52.20489	1.00000	64.43798	2.92300	9.02777	24.6522	10.93040
77.30368	10.04276	11.67823	9.70669	1199.15669	7.74644	7.54029	9.64274	8.06284	19.30157	0.58480	54.10980	1.00000	56.73494	25.00046	9.13414	72.85107	9.17387
62.14682	11.05010	10.67661	8.72496	1055.19507	9.97212	9.35612	9.42931	8.84126	36.75965	0.21500	41.96473	1.00000	73.53038	20.25654	7.65142	137.36215	8.35121
30.65732	9.87782	10.53692	7.57501	1057.23453	9.83472	7.84379	11.58607	10.21041	12.37169	0.18792	41.85105	1.00000	37.43895	5.18206	8.33455	123.62494	9.55861
68.76071	11.68749	10.94382	9.74666	1083.41003	10.51183	9.10976	10.96589	7.02020	55.25	0.28466	46.06275	1.00000	38.99900	18.15209	6.99347	24.75	9.12419
65.99858	9.82054	10.96797	9.04959	1085.32598	10.95441	8.65796	12.97326	8.96951	14.95472	0.28435	56.39595	1.00000	47.00548	23.57962	10.66899	120.89694	7.75461
59.55856	11.83393	10.49225	8.49127	1140.63904	5.54731	7.11798	7.74676	8.86433	4.94273	0.18037	32.75292	1.00000	48.63311	31.65367	9.99994	15.87735	9.89417
27.72307	7.11982	11.27670	10.71166	1163.57491	10.29790	5.23481	12.86249	8.86224	50.26729	0.39466	68.68279	0.00000	60.65488	31.14011	9.58615	-119.27337	9.89230
88.58881	8.12180	11.91984	8.64028	1063.66681	10.89780	6.42274	11.29806	7.31887	60.2052	0.74368	27.95872	1.00000	45.71318	20.25265		24.6522	8.00357
46.12607	11.54124	8.96899	7.42726	1186.03937	10.94643	7.92105	8.09748	8.99407	51.26	0.04680	59.10776	1.00000	60.38467	9.31666	7.84874	-2.1875	9.85414
27.15500	9.14119	12.65234	8.82322	1179.25453	7.81527	8.35329	9.52734	9.35761	48.98693	1.53885	53.44263	1.00000	59.05836	-3.32030	9.30136	2.44892	8.62287
29.13465	10.72721	9.58534	10.51262	1197.28711	9.27325	8.82239	10.34238	10.70844	-32.45242	0.07571	62.07402	0.00000	46.75802	12.74646	8.50844	-71.23106	6.97326
61.11946	9.55913	13.49212	10.32638	1121.13251	9.28328	7.51200	10.09286	8.78733	-25.42778	3.56358	58.13821	0.00000	46.39101	14.50467	10.57314	-49.27306	7.37920
32.23269	12.34243	11.60994	9.97353	1068.97828	9.42909	10.86886	11.01419	8.61807	36.75965	0.54681	77.87487	1.00000	42.84581	3.41100	7.91948	137.36215	8.45632
40.38742	10.44093	10.21707	9.56362	1191.64131	7.09106	7.52578	9.45227	7.45768	23.18	0.13882	54.40224	1.00000	47.02961	20.74967	8.78103	88.58	9.25730
43.71588	6.41139	11.08400	10.10323	1191.19700	9.51741	7.50912	9.59703	10.37122	43.16547	0.32540	75.11290	0.00000	34.95524	11.99582	8.24058	-77.70066	9.15735
48.74067	10.71690	7.95672	10.24742	1065.31478	12.16657	7.51153	9.71128	7.60299	48	0.01686	58.57663	0.00000	47.38388	19.33707	7.17898	-4.1	10.50420
56.37883	11.08434	11.24016	9.81523	1182.75013	11.18009	7.34574	10.75554	7.93175	37.65639	0.37802	52.97589	1.00000	54.46572	-0.13510	8.52318	126.835	8.28110
42.72813	10.24856	7.93988	11.83827	1061.69302	7.96252	8.36210	12.14954	8.51025	43.1009	0.02023	59.13693	1.00000	67.56634	10.04118	7.31384	-75.23266	7.30485
66.69777	8.53987	11.75211	7.95145	1117.45434	10.24089	7.15829	9.90103	8.61949	36.24624	0.63030	61.78675	1.00000	46.67249	6.92883	10.52303	139.07204	8.31232
53.61477	9.54384	10.19297	10.78991	1080.00467	9.84412	7.19970	10.43397	8.56507	36.76775	0.13626	31.14452	0.00000	55.62712	10.51258	7.81509	2.95924	10.58410
70.70219	9.17534	12.57415	11.33468	1059.39243	9.97594	6.28636	11.86560	8.28708	32.52515	1.42466	42.06598	1.00000	72.88219	9.38076	9.78184	-93.75018	8.23553
40.62251	7.60228	10.12562	10.12967	1117.73869	10.71655	8.76007	7.75357	10.19957	53.0233	0.12963	36.46977	0.00000	49.97222	-3.75549	8.90597	-1.48119	9.63635
62.05585	11.98588	9.89156	8.43404	1060.66542	10.87812	7.71935	10.99084	8.18848	-10.90889	0.10025	67.55617	0.00000	48.78671		7.55813	-37.03861	8.05773
54.27627	9.18346	11.22909	9.01553	1138.04971	10.74442	7.95983	12.19613	9.54691	53.49389	0.37544	69.82906	1.00000	53.86694	18.43108	9.24116	-1.29243	9.07528
56.65692	5.98702	9.49009	11.21179	1063.37074	10.58615	6.08634	11.33313	8.16341	6.46838	0.06841	50.10847	0.00000	61.72064	0.52785	9.22511	-73.26022	8.54439
37.79262	11.91651	9.70493	11.43834	1189.67144	12.03272	7.75923	11.26549	9.04690	23.9028	0.08471	75.35616	0.00000	59.65497	28.28698	9.88376	89.11943	9.54763
53.82317	5.75331	7.87386	8.73530	1132.34872	9.95263	7.52998	11.41756	8.27482	68.79833	0.01995	63.47956	0.00000	32.69293	22.60010	8.56433	16.54165	8.14860
51.21429	12.34028	11.90819	11.37465	1184.73326	10.75076	10.93566	12.54633	7.51731	26.2649	0.73480	41.53799	1.00000	44.16379	20.12494	9.77737	81.54855	8.90140
46.36695	9.81661	10.95692	9.93831	1144.77063	8.71898	8.05627	10.72286	8.89794	40.93121	0.28436	67.64036	0.00000	52.37447	20.23311	9.35062	-73.89875	8.79604
47.55865	10.41386	9.25470	6.74493	1182.16953	10.59581	6.82521	9.97097	9.06217	-8.99167	0.05575	81.29465	1.00000	61.71567	14.01949	10.79689	125.21972	9.20826
51.69800	7.65413	10.79730	10.01253	1071.21211	10.96068	7.26947	10.13591	9.28637	41.50343		50.65315	0.00000	39.31974	16.50713	9.36704	-74.01042	9.14074
51.55115	10.51850	10.27121	8.52777	1071.62342	11.35807	7.47993	11.64946	9.98004	34.86472	0.15030	70.76299	1.00000	43.67777	1.62063	8.73969	117.55417	9.62057
58.76611	9.05128	10.30080	11.34613	1191.67736	10.94397	7.54284	10.08235	8.31821	0.46005	0.14718	54.18839	0.00000	56.10284	11.86157	8.84094	34.11169	9.04132
62.22864	6.96765	12.04860	9.56541	1099.92443	9.10866	8.05532	8.59883	10.73621	50.18545	0.84566	39.49123	0.00000	66.84724	14.44495	7.35704	27.06365	9.71578
47.81775	10.08901	8.77294	10.69165	1191.39732	7.79085	8.30587	11.45007	8.28932	28.15112	0.03646	63.54430	1.00000	34.55241	42.88808	9.69888	-82.46148	8.40654
61.20666	12.36883	10.41107	8.17600	1122.15749	5.21838	6.88875	7.82451	8.39863	40.92298	0.16629	80.19721	1.00000	57.99946	-15.13655	9.94331	14.30935	7.83020
50.15114	10.34779	10.95123	8.67356	1198.54889	11.12681	6.99540	10.32174	9.05899	51.24197	0.28795	46.75964	0.00000	57.84309	13.39683	10.27554	4.82313	9.26568
68.86651	4.16842	10.96762	9.98605	1102.22446	7.94811	8.01300	9.94956	8.76662	10.29085	0.28708	95.13962	0.00000	66.59388	10.91729	9.89669	105.75635	9.63445
63.29237	6.34808	10.78124	11.61815	1074.76492	9.15867	8.33460	9.47762	8.95004	8.43333	0.23902	34.79371	0.00000	50.67576	6.13788	9.28223	99.96667	8.18261
54.15683	12.26015	11.21485	8.17000	1154.55439	8.66281	7.67548		8.96137	54.48147	0.37059	60.51334	1.00000	45.46252	34.03769	9.59577	53.47103	9.57266
64.56460	8.91687	9.89796	11.64175	1136.72006	9.01689	8.57978	12.79762	7.34994	28.90054	0.10203	61.75674	1.00000	25.95621	11.63041	9.69854	-81.26367	10.24984
30.97703	10.91317	9.99623	10.93991	1158.74629	11.27827	7.48851	10.33951	7.55229	-25.42778	0.11174	39.34786	0.00000	65.53649	2.97520	9.56617	-49.27306	10.01127
47.49278	11.11192	10.76530	9.48444	1093.71024	9.89801	7.57821	10.92268	7.77154	53.43333	0.23800	38.17863	0.00000	56.27860	28.97491	6.26644	-7.95	8.79461
51.39152	11.87565	10.72859	7.88769	1150.36919	9.11176	7.81021	9.57204	10.06191	53.14657	0.22900	66.24225	1.00000	49.04815	32.36028	9.57426	140.72287	8.01169
50.51095	9.17376	13.64067	9.72544	1067.62712	8.18136	6.41252	10.17340	10.88002	35.85	4.13193	52.13920	1.00000	44.41234	21.83882	9.23467	117.7	9.56477
53.17012	9.95019	9.48545	6.16766	1121.10647	9.52688	7.33224	10.95962	7.20084	3.7278	0.06644	34.73023	1.00000	39.65235	16.84761	7.29224	98.6738	9.00053
58.77413	10.89608	8.08496	10.41734	1105.93440	7.05565	8.34867	10.72652	9.14747	-10.33333	0.02212	22.40936	1.00000	54.70669	-2.96750	8.16229	39.28333	10.14768
75.50838	8.17460	10.18957	10.94354	1130.64586	10.72457	8.82356	8.04693	7.99065	50.8	0.13627	43.67461	0.00000	65.56094	5.67862	9.67866	3.16667	7.84215
9.77944	11.33388	11.01193	9.90718	1166.00870	8.34634	5.61785	9.49952	8.36841	34.08565	0.30082	50.34355	1.00000	47.16492	5.83447	9.54255	74.80555	9.64720
60.86843	10.91151	10.89660	10.00811	1133.51830	9.42260	8.47133	10.45933	8.30501	46.09273	0.26795	34.32304	0.00000	61.60578	19.71212	8.50244	-88.64235	8.34113
39.02850	10.70772	8.84843	9.59641	1098.48692	7.56919	8.96553	9.72578	9.14744	39.22493	0.03930	43.51297	1.00000	40.21319	8.60226	8.35410	42.85693	8.41718
57.98029	11.06462	10.10015	9.86515	1163.37290	5.98810	7.72007	8.50006	9.92806	-4.83	0.12616	42.30540	1.00000	68.59331	-1.42576	7.57425	29.65806	7.75687
54.28056	10.91817	8.44645	9.35461	1140.96654	6.83598	9.34167	8.98611	9.19184	37.58105	0.02600	25.55207	1.00000	31.34324	35.99237	8.81176	29.26639	9.76480
48.17908	8.75066	11.07915	11.96777	1158.05502	9.13804	7.16806	11.79248	10.30743	40.2737	0.32290	62.46916	1.00000	52.93843	-2.98377	7.51237	-76.88442	9.86374
51.83409	8.63950	11.60163	8.52683	1136.80024	6.04616	10.00463	9.95401	7.37351	28.15112	0.53998	48.66393	1.00000	49.24221	5.97853	11.13797	-82.46148	8.45025
36.80445	10.25403	10.67093	10.08535	1108.38335	7.65166	6.95176	10.07076	7.41004	47.4943	0.21416	53.00437	1.00000	64.92388	16.95515	9.31054	-122.24092	8.68673
54.82050	9.58637	13.44943	9.62519	1078.05212	8.35943	5.67299	10.23933	10.19804	52.2	3.41061	49.03748	1.00000	55.36686	23.27288	6.56348	8.63333	9.61094
63.25685	11.96772	8.32229	9.89111	1128.65293	11.21834	9.03599	9.83223	9.00244	26.68451	0.02684	19.31530	0.00000	69.48766	24.73440	8.77643	-80.66756	8.67066
80.36410	11.42059	8.40073	10.14812	1107.69061	6.06605	7.31084	9.94726	8.67857	51.78967	0.02693	42.36331	1.00000	30.59586	9.09543	10.86845	1.15597	6.88885
60.14012	7.76211	12.51279	10.19019	1094.86555	9.22655	9.56343	10.49357	8.62098	-17.73648	1.34206	57.30802	1.00000	39.97494	19.98361	9.70421	168.31366	9.09802
63.49665	10.77230	11.73476	6.50222	1106.87791	7.10821	6.49017	9.19346	7.84748	27.85	0.61682	49.05974	1.00000	35.35406	15.25884	7.31061	112.9	9.46070
46.88038	7.57818	8.45622	12.40025	1135.64081	8.38639	10.15990	8.45337	9.08726	53.81667	0.02846	70.37155	0.00000	43.98328	12.61476	8.97566	-3.05	10.91302
76.09199	9.38942	11.42129	10.32925	1195.73167	11.26342	5.43446	10.46329	8.89382	-10.90889	0.45090	30.53361	0.00000	65.59485	13.06792	9.16091	-37.03861	9.79863
58.31862	11.39142	12.16923	10.55394	1078.89327	10.29080	9.18449	10.97054	9.11472	-34.64167	0.95478	63.73579	1.00000	40.22919	5.71430	9.14231	-60.47389	8.14092
40.89996	8.88903	9.75361	10.92975	1105.36177	10.90064	9.05760	8.94398	8.17771	-10.90889	0.09105	42.47234	0.00000	63.09679	20.51194	7.42794	-37.03861	9.18754
53.93364	10.00321	8.76290	9.45485	1069.00052	5.38584	9.40472	11.20498	9.79758	33.93113	0.04058	59.27194	1.00000	61.93291	14.92303	7.41980	-117.54866	7.33541
70.13980	6.70755	8.83795	9.07072	1197.95958	10.93638	6.31027	11.38178	8.73092	48.49144	0.04042	51.88408	0.00000	51.33027	17.23642	8.46798	9.20427	9.24420
49.38105	11.13733	8.64323	9.93268	1124.60928	9.63002	7.75392	11.29353	9.28905	38.72706	0.02861	55.09530	0.00000	50.06293	28.93655	9.18905	-9.24671	8.06365
26.95011	6.04102	7.26754	10.73703	1193.79347	11.10632	7.50380	11.22905	10.87734	50.56149	0.01312	42.19335	0.00000	52.08935	-7.79017	8.06581	4.69889	
66.43385	10.48969	14.20571	9.61437	1189.94872	10.10463	6.81097	10.48120	8.64884	-19.7625	7.26985	41.13612	0.00000	55.28771	3.45938	8.12550	-44.31389	8.97491
55.68292	9.15468	9.10158	5.29510	1198.90768	9.81986	5.51691	10.84749	10.09071	53.78333	0.04987	30.05220	1.00000	44.30795	25.31721	10.21077	-1.06667	9.24675
42.06439	4.95207	9.49725	10.55647	1071.23936	9.77636	7.72146	10.05479	10.48756	37.58105	0.06771	53.32299	0.00000	44.83531	22.17033	9.24310	29.26639	9.50432
45.18045	10.97446	10.56220	5.83977	1160.41973	8.20682	4.94668	7.30502	9.54956	44.99012	0.19520	67.17351	1.00000	36.29745	19.98916	8.82579	-123.02621	8.46391
51.61741	12.89565	9.86299	7.77904	1153.64768	8.35777	8.11061	11.21604	6.93204	50.50301	0.09986	55.65007	1.00000	21.69922	11.84416	9.43119	13.63617	8.81123
57.18314	10.38170	11.14423	8.79801	1179.09248	10.54889	7.88141	10.70017	8.80216	50.18545	0.34282	40.20586	1.00000	61.30616	17.47905	8.80568	27.06365	8.16114
63.12912	11.57363	10.64236	10.70403	1069.11532	8.09126	5.64683	10.03095	9.15319	50.8	0.21179	50.01707	0.00000	44.96946	19.83761	8.17340	3.16667	9.27157
33.55634	9.45686	11.46544	9.61440	1123.37870	6.90815	7.54464	10.68479	9.57438	50.5107	0.47230	42.59999	1.00000	50.82652	15.36917	8.25345	18.30056	7.95601
39.49405	13.27025	12.31458	11.41319	1073.01290	10.15455	10.69074	12.36152	8.83319	25.92493	1.10002	60.44442	1.00000	55.43638	34.06506	10.12515	73.66633	9.47661
52.34021	5.05236	10.54598	9.20472	1114.07648	9.72711	7.65326	8.77478	9.80811	9.15093	0.18419	52.04288	0.00000	46.96303	15.32725	10.42551	-79.62098	8.56173
79.86640	8.59497	10.01406	7.60025	1050.26103	12.04225	6.34945	10.89541	10.14380	44.73941	0.11416	50.26635	1.00000	60.64420	15.20054	7.57844	-93.12577	8.38938
53.12426	12.15170	10.70138	8.40982	1135.63008	10.25452	8.40087	10.81023	9.20014	12.1277	0.22482	56.40294	0.00000	50.95651	12.55526	8.75375	78.15794	9.33983
70.83364	10.35127	12.84200	10.59414	1050.44125	11.01986	6.08730	10.32755	10.38428	37.74615	1.86175	73.77067	0.00000	53.44827	6.11753	8.76712	-25.66689	
43.09934	10.67908	12.04886	8.42097	1096.43188	8.85337	8.36621	9.81205	10.01479	33.44872	0.84527	57.99872	1.00000	59.13814	25.27293	8.74497	-86.78777	6.90606
30.83540	8.25420	11.39101	7.95925	1138.93527	10.77730	6.69614	10.30570	7.91064	9.57046	0.43741	53.27026	0.00000	59.70516	29.17957	9.95926	76.32756	8.73820
40.52053	7.99867	12.35265	8.39185	1162.14595	10.05032	7.37574	12.43299	10.30372	5.6561	1.14081	46.73808	1.00000	43.02117	28.36907	6.77883	-75.87877	8.37754
52.92335	9.81937	9.58071	11.87596	1170.66159	9.32396	7.53367	11.69688	9.76751	41.09822	0.07360	47.99164	1.00000	44.83955	1.40521	9.04773	120.74792	10.43608
49.07840	11.55365	10.68736	8.69654	1163.23925	10.32295	7.65650	8.48598	10.51061	4.88441	0.22147	56.46411	1.00000	74.65806	11.23212	10.01815	101.96857	9.01158
39.28914	7.99695	10.41562	9.53002	1128.46018	10.22208	6.50076	11.67121	9.35197	-32.45242	0.16673	54.70235	0.00000	60.68172	22.62439	8.15373	-71.23106	7.03152
35.42169	10.91393	9.03604	9.81577	1095.17796	5.83990	7.85864	10.16918	6.80269	40.42386	0.04843	32.53469	1.00000	38.29767	25.66354	9.35854	-3.53261	7.59621
43.04858	7.33995	6.39149	8.14208	1184.15556	11.56089	6.18302	13.13889	9.99773	4.02219	0.00505	57.09322	0.00000	43.70537	8.98958	9.26267	101.02083	9.55518
53.54635	10.75105	8.23467	10.56151	1132.35310	6.92059	8.35629	10.81808	8.32250	-4.16694	0.02355	32.81850	1.00000	35.71079	6.65238	7.64647	-40.7475	8.37207
50.45921	10.85416	9.70625	10.41657	1112.97001	7.68429	6.37842	10.76392	7.20675	41.54566	0.08340	48.85374	1.00000	63.32584	6.30907	9.63263	-71.29144	7.86391
40.44873	8.78120	14.08061	11.48023	1093.97508	10.67815	5.77330	11.35684	8.23711	33.86419	6.41260	33.23366	1.00000	65.07043	24.64055	8.77412	48.26258	8.02459
58.97343	10.46853	10.76194	12.64646	1123.06502	9.60367	4.94537	12.13717	9.46156	38.91817	0.23807	57.27011	1.00000	70.86507	12.21607	10.01936	-78.19444	7.82598
35.35594	9.72809	8.22250	3.84759	1098.31592	8.67086	5.76469	8.87003	9.06790	40.53123	0.01714	38.71062	1.00000	44.19151	18.33668	9.31370	17.58522	8.54516
49.47471	9.46715	11.97047	11.42566	1169.94298	8.72772	6.50141	10.38363	8.21409	-4.16694	0.78407	51.65891	1.00000	40.71686	8.35172	10.91263	-40.7475	8.60811
43.97433	10.44322	12.07592	8.40922	1057.52789	6.42342	6.95402	9.07747	7.95982	-32.45242	0.86626	24.34526	1.00000	56.22151	15.75097	8.04898	-71.23106	9.42144
59.42056	7.33393	10.49747	8.19283	1108.99917	12.82872	6.64490	10.46515	9.91547	39.08367	0.18023	27.82005	1.00000	39.42877	5.15879	9.29643	-84.50855	9.81160
39.26402	10.20374	10.83282	10.24269	1197.92191	11.48195	10.26250	12.79626	8.94699	42.30865	0.25089	22.02728	1.00000	45.95406	21.19650	8.39651	-83.48216	9.04882
45.35308	5.95123	10.94107	10.21806	1070.52342	9.63724	6.46052	11.47600	8.80478	49.41029	0.28445	43.23855	0.00000	50.17898	18.89503	9.36902	38.15035	9.26383
51.63446	7.11551	11.53730	10.40719	1141.53568	7.41974	10.67850	11.81636	8.25625	-32.45242	0.50379	42.31491	1.00000	39.95863	20.44864	8.94085	-71.23106	8.88625
42.60276	7.81586	11.09445	11.76377	1052.40786	9.49115	8.36423	10.06830	9.56857	41.47892	0.32519	56.03418	0.00000	76.31158	20.37780	8.81308	-87.45476	10.67913
68.94004	3.46847	11.07109	8.85743	1187.88819	7.93684	5.07685	13.17074	8.74992	45.39402	0.32015	52.85926	0.00000	65.33691	7.99410	8.43378	9.29109	9.64535
37.70836	10.59194	9.36045	12.08943	1180.35974	10.97459	6.47142	10.51121	10.16448	35.50056	0.06388	46.77816	0.00000	56.22536	10.50053	8.75148	117.63083	8.24379
65.61742	10.24753	10.04151	9.82899	1119.45408	9.25364	7.21262	11.33822	9.47249	50.26729	0.12086	34.04541	0.00000	45.87460	9.39913	8.75531	-119.27337	9.49272
52.93816	6.37560	9.96131	8.46621	1140.69318	9.77789	8.95242	8.83432	8.70886	10.61285	0.10972	62.90291	0.00000	44.05867	-0.98397	9.55306	12.19458	8.82675
57.21076	8.09594	10.64513	7.36508	1126.68268	10.99975	7.15521	12.22876	9.04689	34.06635	0.21186	71.81385	1.00000	61.87056	10.60559	9.42819	-84.67837	10.53420
83.12347	8.89578	10.06086	10.93287	1078.48619	11.37332	6.20325	12.16492	8.66475	-20.25333	0.12260	52.68375	0.00000	47.47484	23.77222	9.62475	-43.80139	9.65329
60.01633	9.16786	11.48801	10.76702	1083.23103	10.89841	4.69697	11.03133	9.55198	43.16547	0.48526	41.46905	0.00000	68.07014	19.28662	11.22199	-77.70066	9.09609
53.38302	10.00010	9.66428	5.96507	1182.63831	8.96393	7.47518	9.87843	8.19299	41.15612	0.08075	61.52662	1.00000	81.84224	17.82760	8.49568	1.10687	7.04327
62.29819	10.52925	8.66316	10.28589	1132.22478	9.94116	8.43624	10.29790	9.90969	40.53123	0.03269	75.36288	0.00000	37.90478	3.80996	9.03646	17.58522	9.19467
72.15043	11.15643	13.54225	10.39556	1117.04415	10.30795	7.31723	10.20609	6.85039	4.92675	3.74344	71.30607	0.00000	53.61131	18.76507	8.33656	6.26764	8.37239
54.40734	5.30032	10.72021	9.76046	1138.35881	9.58357	7.75026	9.58669	9.49819	40.72586	0.22409	52.83871	0.00000	53.23328	9.84494	7.47327	8.55552	9.11744
69.29401	11.40140	10.50403	7.27586	1111.95582	8.27433	9.83621	10.15160	8.54463	10.12268	0.18187	42.23913	1.00000	54.97898	16.98596	9.40277	77.54372	8.68694
83.20239	12.01492	8.24570	10.40575	1059.98012	6.53654	6.76843	9.96767	8.61660	43.78956	0.02843	42.74636	1.00000	46.91366	24.06034	7.31191	7.60872	7.01730
57.69978	10.52468	5.52284	11.33188	1118.14419	6.64720	9.95257	12.26421	8.66908	48.46458	0.00757	53.29052	1.00000	42.23668	19.91589	9.86007	9.22796	7.88746
