latitude	QoS	location	station	revision	longitude
18.65297	good	America/Port-au-Prince	Thomazeau	11 May 2022	-72.09391
57.30185	accep	Europe/Moscow	Gavrilov-Yam	09 Oct 2016	39.85331
44.73941	average	America/Chicago	Rosemount	07/12/2021, 00:00:00	-93.12577
40.87329	maintenance	Europe/Rome	Somma Vesuviana	2014/01/23	14.43865
28.71271	average	Asia/Kolkata	Pilkhua	2022/02/17	77.656
50.20528	maintenance	Europe/Warsaw	Jaworzno	2015/06/01	19.27498
53.14657	good	Asia/Vladivostok	Nikolayevsk-on-Amure	04 Nov 2014	140.72287
19.30157	average	Asia/Kolkata	Bhayandar	2016-01-17	72.85107
21.01858	average	America/Mexico_City	Guanajuato	2013/04/08	-101.2591
18.00747	accep	America/Jamaica	New Kingston	19 Mar 2014	-76.78319
10.22677	good	America/Caracas	La Victoria	05/21/2021, 00:00:00	-67.33122
50.26729	average	America/Vancouver	Vernon	12/03/2021, 00:00:00	-119.27337
-8.28333	good	America/Recife	Cabo	12 Apr 2013	-35.03333
9.57046	good	Asia/Kolkata	Kalavoor	2019-02-08	76.32756
42.64031	excellent	Asia/Shanghai	Dongfeng	2013-03-19	125.51176
23.07492	building	Asia/Kolkata	Pandua	2013-05-04	88.28637
-21.44345	accep	America/La_Paz	Tupiza	01/21/2016, 00:00:00	-65.71875
33.43443	excellent	Africa/Casablanca	Azrou	2015/05/29	-5.22126
8.88988	accep	America/Panama	Veracruz	2018/07/07	-79.62603
39.08367	excellent	America/New_York	Covington	2014-10-09	-84.50855
24.05979	good	Asia/Kolkata	Leteri	2021/02/10	77.40858
43.50891	good	Europe/Zagreb	Split	2017/09/18	16.43915
53.5942	building	Europe/Minsk	Novogrudok	2019-02-16	25.8191
26.18924	accep	America/Chicago	San Juan	2013-04-06	-98.15529
51.88333	building	Europe/Berlin	Verl	11/04/2021, 00:00:00	8.51667
41.91738	good	Europe/Madrid	Palafrugell	12 Oct 2017	3.1631
3.7278	building	Asia/Jakarta	Labuhan Deli	2020/06/02	98.6738
22.37066	accep	Asia/Hong_Kong	Tsuen Wan	2020/06/27	114.10479
18.57677	average	America/Port-au-Prince	Croix-des-Bouquets	12/10/2017, 00:00:00	-72.22625
8.79577	excellent	America/Bogota	San Carlos	05 Jun 2022	-75.69947
4.92675	good	Africa/Lagos	Yenagoa	22 May 2013	6.26764
48.49144	average	Europe/Berlin	Reutlingen	2019/01/26	9.20427
47.56494	excellent	Europe/Kiev	Voznesensk	17 Jun 2015	31.33078
-34.88422	good	Australia/Sydney	Nowra	2018-03-20	150.60036
-28.24	good	America/Sao_Paulo	Imbituba	2018/07/12	-48.67028
47.80527	good	America/Los_Angeles	Bothell West	02/22/2018, 00:00:00	-122.24064
41.09822	building	Asia/Shanghai	Nanpiao	16 Aug 2017	120.74792
47.98372	good	Europe/Berlin	Memmingen	2019-09-07	10.18527
51.95838	maintenance	Europe/Amsterdam	Schiebroek	2012-12-23	4.47124
43.1009	maintenance	America/New_York	Utica	15 Mar 2019	-75.23266
-33.79176	good	Australia/Sydney	Eastwood	2012-12-31	151.08057
41.57439	average	Europe/Sofia	Smolyan	11 Jul 2013	24.71204
27.9247	average	Asia/Kolkata	Chharra	2018/05/09	78.40102
41.09822	good	Asia/Shanghai	Nanpiao	2021-11-09	120.74792
40.49748	accep	Asia/Yerevan	Hrazdan	07/24/2016, 00:00:00	44.7662
54.60528	good	Europe/Warsaw	Reda	01/03/2015, 00:00:00	18.34717
44.31771	accep	Europe/Rome	Chiavari	19 Jan 2022	9.32241
44.98901	accep	Europe/Moscow	Yablonovskiy	2015/01/20	38.94324
36.76639	excellent	Africa/Algiers	Boumerdas	2015-12-19	3.47717
27.85	good	Asia/Shanghai	Xiangtan	18 Apr 2016	112.9
9.15093	accep	America/Panama	Chilibre	08/18/2017, 00:00:00	-79.62098
-33.75881	maintenance	Australia/Sydney	Baulkham Hills	11/20/2013, 00:00:00	150.99292
1.6561	average	Asia/Kuala_Lumpur	Kulai	10 Dec 2016	103.6032
53.49389	good	Europe/London	Mexborough	31 Jul 2014	-1.29243
-21.42917	excellent	America/Sao_Paulo	Alfenas	02 May 2021	-45.94722
48.52961	excellent	Europe/Berlin	Landshut	08/17/2017, 00:00:00	12.16179
16.0438	building	Asia/Manila	Manaoag	2018-11-28	120.4861
41.27194	average	Asia/Shanghai	Liaoyang	03/08/2014, 00:00:00	123.17306
41.55815	good	America/New_York	Waterbury	2021-01-12	-73.0515
22.10194	accep	Asia/Kolkata	Barbil	2016-10-29	85.37752
52.86147	building	Europe/Berlin	Walsrode	05/16/2016, 00:00:00	9.5926
-33.88096	good	Australia/Sydney	Strathfield	01/07/2016, 00:00:00	151.07986
41.72063	building	Europe/Rome	Ariccia	2021/05/03	12.6723
32.44874	average	America/Chicago	Abilene	01 Mar 2021	-99.73314
46.23899	accep	America/Halifax	Charlottetown	2020/03/31	-63.13414
43.61092	good	Europe/Paris	Montpellier	2021/05/01	3.87723
52.09	accep	Europe/Amsterdam	Zeist	03/03/2015, 00:00:00	5.23333
18.42745	excellent	America/Puerto_Rico	Aguadilla	2021-11-17	-67.15407
49.41029	average	Europe/Zaporozhye	Svatove	04/08/2021, 00:00:00	38.15035
46.7055	excellent	Europe/Moscow	Yeysk	07 Apr 2015	38.2739
53.69786	good	Europe/London	Leyland	2019/08/10	-2.68758
38.10558	average	Europe/Madrid	Caravaca	24 Aug 2015	-1.86343
26.11527	average	Asia/Kolkata	Supaul	30 Nov 2021	86.59509
35.25064	good	America/Chicago	Searcy	2021/02/14	-91.73625
50.23805	maintenance	Europe/Berlin	Nidderau	06/04/2017, 00:00:00	8.86704
30.75545	building	Africa/Tripoli	Ajdabiya	01/20/2019, 00:00:00	20.22625
41.14676	accep	America/New_York	New Canaan	07/29/2022, 00:00:00	-73.49484
37.16911	maintenance	Africa/Tunis	El Alia	2016/12/15	10.03478
35.815	average	Asia/Tokyo	Shimotoda	2013/06/28	139.6853
-10.91111	accep	America/Maceio	Aracaju	13 Jan 2015	-37.07167
-34.64167	accep	America/Argentina/Buenos_Aires	Chacabuco	2019/03/21	-60.47389
35.48199	excellent	Asia/Tokyo	Minokamo	02/10/2021, 00:00:00	137.02166
28.15112	excellent	America/New_York	Lutz	2016/03/29	-82.46148
45.35	good	Asia/Shanghai	Shuangcheng	10 Jan 2017	126.28333
34.8825	accep	Asia/Seoul	Sinhyeon	2021-11-28	128.62667
42.7392	accep	America/Detroit	Waverly	01 Jun 2019	-84.62081
54.48147	excellent	Asia/Yekaterinburg	Oktyabr’skiy	2014-06-07	53.47103
-37.88333	excellent	Australia/Melbourne	Carnegie	11 May 2016	145.06667
43.67681	building	Europe/Paris	Arles	2018/01/18	4.63031
43.50891	excellent	Europe/Zagreb	Split	12/16/2012, 00:00:00	16.43915
33.95015	accep	America/Los_Angeles	South Whittier	2018-10-05	-118.03917
60.2052	average	Europe/Helsinki	Espoo	2016-03-18	24.6522
-4.16694	building	America/Fortaleza	Guaraciaba do Norte	2018/10/19	-40.7475
-37.9	good	Australia/Melbourne	Wheelers Hill	20 May 2022	145.18333
32.52515	excellent	America/Chicago	Shreveport	2017-11-22	-93.75018
23.1959	excellent	Asia/Kolkata	Kenda	19 Dec 2019	86.51499
53.53395	accep	Europe/Moscow	Zhukovka	09/18/2017, 00:00:00	33.72798
57.30185	accep	Europe/Moscow	Gavrilov-Yam	2018/03/13	39.85331
44.99012	accep	America/Los_Angeles	Keizer	2016/02/22	-123.02621
17.34769	average	Asia/Kolkata	Lal Bahadur Nagar	04/28/2014, 00:00:00	78.55757
26.9423	excellent	Asia/Karachi	Tharu Shah	2022/07/22	68.11759
-15.21194	building	America/Lima	Minas de Marcona	09/01/2022, 00:00:00	-75.11028
40.24537	excellent	America/New_York	Pottstown	02/18/2021, 00:00:00	-75.64963
54.8421	maintenance	Europe/Moscow	Alatyr’	15 Oct 2019	46.5813
-21.42917	average	America/Sao_Paulo	Alfenas	2017/11/03	-45.94722
41.47892	accep	America/Chicago	Schererville	2019/09/21	-87.45476
27.09978	maintenance	America/New_York	Venice	2017-04-27	-82.45426
55.75556	accep	Asia/Yekaterinburg	Ozersk	09 Jan 2016	60.70278
26.18924	accep	America/Chicago	San Juan	26 May 2016	-98.15529
7.06273	building	Africa/Accra	Mampong	01/21/2015, 00:00:00	-1.4001
-16.25	good	America/Lima	Yunguyo	29 Nov 2013	-69.08333
-6.48167	excellent	Asia/Jakarta	Cibinong	12/22/2018, 00:00:00	106.85417
39.46667	excellent	Asia/Tokyo	Yamada	2013-12-07	141.95
42	maintenance	Europe/Skopje	Saraj	2014-06-11	21.32778
-19.7625	excellent	America/Sao_Paulo	Esmeraldas	2022/07/15	-44.31389
48.21644	good	Europe/Berlin	Albstadt	2021/08/17	9.02596
52.61131	good	Europe/Berlin	Hermsdorf	2013-02-02	13.31783
45.40008	excellent	America/Toronto	Sainte-Catherine	2022/05/29	-73.58248
-8.28333	excellent	America/Recife	Cabo	01 Oct 2016	-35.03333
37.31065	average	Europe/Rome	Agrigento	07/11/2022, 00:00:00	13.57661
34.15429	accep	Africa/Algiers	Messaad	2018-05-22	3.50309
43.48961	maintenance	Europe/Madrid	Ferrol	13 Nov 2017	-8.2194
16.06213	average	Asia/Kolkata	Hungund	2016-07-12	76.0586
35.50056	good	Asia/Shanghai	Pingyi	2020-05-13	117.63083
-33.79176	average	Australia/Sydney	Eastwood	2015-07-19	151.08057
30.81383	excellent	Asia/Kolkata	Moga	2020-08-20	75.16878
19.30157	accep	Asia/Kolkata	Bhayandar	2020/05/15	72.85107
26.11527	excellent	Asia/Kolkata	Supaul	24 Mar 2020	86.59509
48.98693	good	Europe/Paris	Gonesse	03/05/2018, 00:00:00	2.44892
-7.81667	excellent	Asia/Jakarta	Kediri	2018-03-07	112.01667
53.78333	average	Europe/London	Selby	14 Mar 2018	-1.06667
-14.66463	good	America/Cuiaba	Nova Xavantina	29 Aug 2013	-52.35558
50.5107	good	Europe/Warsaw	Strzelce Opolskie	11/05/2014, 00:00:00	18.30056
-1.26424	good	Asia/Jakarta	Simpang	10/24/2017, 00:00:00	104.09701
51.82721	accep	Asia/Irkutsk	Ulan-Ude	2019/11/19	107.60627
43.91452	excellent	America/New_York	Brunswick	2015-11-26	-69.96533
10.20898	good	Asia/Manila	Naga	07/03/2017, 00:00:00	123.758
11.86064	building	Africa/Lagos	Gaya	2020-04-22	9.0027
26.44931	maintenance	Asia/Kolkata	Rangia	01/20/2020, 00:00:00	91.61356
12.1277	good	Asia/Kolkata	Dharmapuri	09/15/2022, 00:00:00	78.15794
21.46527	excellent	Asia/Kolkata	Sambalpur	2018-08-12	83.97573
34.8825	building	Asia/Seoul	Sinhyeon	2016/02/12	128.62667
26.2173	good	America/New_York	North Lauderdale	2019/05/12	-80.22588
42.64685	accep	Europe/Madrid	Villaquilambre	2019/11/22	-5.55835
3.11988	accep	Africa/Nairobi	Lodwar	2014-08-22	35.59642
38.96372	average	America/New_York	Chillum	2022/04/03	-76.99081
17.34769	maintenance	Asia/Kolkata	Lal Bahadur Nagar	11/04/2012, 00:00:00	78.55757
50.8	accep	Europe/Brussels	Wevelgem	2021-01-13	3.16667
12.95629	accep	Asia/Kolkata	Robertsonpet	22 Sep 2018	78.27539
4.73245	excellent	America/Bogota	Madrid	2022/01/30	-74.26419
15.5439	excellent	Asia/Kolkata	Calangute	26 Nov 2018	73.7553
51.88333	average	Europe/Berlin	Verl	2017-10-21	8.51667
48.8765	average	Europe/Paris	Rueil-Malmaison	2013/01/19	2.18967
51.20219	average	Europe/Berlin	Radevormwald	22 Dec 2018	7.36027
47.80527	accep	America/Los_Angeles	Bothell West	2021-10-27	-122.24064
27.55898	good	Asia/Karachi	Larkana	2013-11-02	68.21204
-0.71667	excellent	America/Belem	Soure	2013-03-02	-48.52333
40.34912	average	America/Denver	Saratoga Springs	2014/02/10	-111.90466
25.95533	maintenance	Asia/Karachi	Jhol	06 Jul 2022	68.88871
40.42386	excellent	Europe/Madrid	San Fernando de Henares	2015/07/12	-3.53261
26.2649	building	Asia/Kolkata	Jais	23 Jul 2021	81.54855
3.7278	accep	Asia/Jakarta	Labuhan Deli	09/21/2018, 00:00:00	98.6738
-0.71667	building	America/Belem	Soure	2022/01/17	-48.52333
4.96667	accep	Africa/Douala	Tonga	02/02/2020, 00:00:00	10.7
60.2052	excellent	Europe/Helsinki	Espoo	04/22/2019, 00:00:00	24.6522
48.79325	maintenance	Europe/Paris	Fontenay-aux-Roses	2015/11/29	2.29275
23.73333	good	Asia/Shanghai	Heyuan	26 May 2019	114.68333
52.09	excellent	Europe/Amsterdam	Zeist	20 Sep 2018	5.23333
34.25807	excellent	America/Chicago	Tupelo	27 Aug 2020	-88.70464
-25.42944	maintenance	America/Sao_Paulo	Palmeira	2014/04/07	-50.00639
8.56697	building	Asia/Manila	Dipolog	2022/07/01	123.33471
47.48444	average	Europe/Zaporozhye	Polohy	2019-07-09	36.25361
42.62833	excellent	Europe/Belgrade	Glogovac	07/20/2022, 00:00:00	20.89389
33.43443	average	Africa/Casablanca	Azrou	2021-12-09	-5.22126
58.63667	excellent	Asia/Yekaterinburg	Lesnoy	2015/04/30	59.80222
28.15112	excellent	America/New_York	Lutz	2022/08/26	-82.46148
45.39402	excellent	Europe/Rome	San Giuliano Milanese	2021/05/14	9.29109
55.8736	accep	Asia/Novokuznetsk	Yashkino	2018/05/21	85.4265
-17.73648	building	Pacific/Efate	Port-Vila	2019/06/28	168.31366
33.03699	excellent	America/Los_Angeles	Encinitas	10 Apr 2015	-117.29198
1.6561	excellent	Asia/Kuala_Lumpur	Kulai	2015-10-23	103.6032
20.74122	average	America/Mexico_City	Santa Rosa Jauregui	2021-11-16	-100.44843
24.81757	good	Asia/Kolkata	Rafiganj	2019/03/16	84.63445
51.95838	accep	Europe/Amsterdam	Schiebroek	04/27/2018, 00:00:00	4.47124
51.26	accep	Europe/London	Westbury	09/17/2022, 00:00:00	-2.1875
48.90472	building	Europe/Paris	La Garenne-Colombes	2015/12/23	2.2469
50.23271	good	Europe/Prague	Karlovy Vary	21 Jun 2014	12.87117
36.72544	average	Africa/Algiers	Thenia	2017/02/13	3.55665
35.72917	excellent	Africa/Tunis	Msaken	24 Dec 2016	10.58082
45.0408	average	America/Chicago	Columbia Heights	09/18/2014, 00:00:00	-93.263
37.65639	average	Asia/Seoul	Goyang-si	21 Mar 2022	126.835
13.48082	average	America/Managua	Somoto	06/22/2016, 00:00:00	-86.58208
23.1959	building	Asia/Kolkata	Kenda	2013-03-16	86.51499
55.82885	good	Europe/London	Rutherglen	06 May 2013	-4.21376
13.56667	average	Africa/Banjul	Farafenni	04/03/2020, 00:00:00	-15.6
40.72586	accep	Europe/Rome	Sassari	09/25/2019, 00:00:00	8.55552
34.25	accep	Asia/Tokyo	Iwade	08/02/2017, 00:00:00	135.31667
50.23019	good	Europe/Berlin	Karben	2020-06-16	8.77155
-10.91111	excellent	America/Maceio	Aracaju	2019-06-24	-37.07167
-27.4338	excellent	America/Argentina/Tucuman	Aguilares	26 Jul 2022	-65.61427
47.48444	excellent	Europe/Zaporozhye	Polohy	08/25/2014, 00:00:00	36.25361
25.49043	accep	Asia/Kolkata	Teghra	2018/03/01	85.94001
8.43333	maintenance	Asia/Bangkok	Nakhon Si Thammarat	06 Oct 2019	99.96667
14.46693	building	Asia/Kolkata	Davangere	2014/07/18	75.92694
48.73218	good	Europe/Berlin	Neuburg an der Donau	07 Sep 2017	11.18709
37.56667	excellent	Asia/Tokyo	Inawashiro	2021-12-16	140.11667
29.65163	average	America/New_York	Gainesville	04/30/2022, 00:00:00	-82.32483
36.24624	building	Asia/Tokyo	Fujioka	2021/06/15	139.07204
32.65246	excellent	Asia/Tehran	Isfahan	2014/01/17	51.67462
43.78956	good	Europe/Rome	Ventimiglia	2016-08-25	7.60872
54.39635	excellent	Europe/Vilnius	Alytus	01/26/2020, 00:00:00	24.04142
45.9836	building	Europe/Rome	Cordenons	2016/10/20	12.70038
47.83333	good	Asia/Aqtobe	Shalqar	2014/10/28	59.6
-21.44345	average	America/La_Paz	Tupiza	2017-01-07	-65.71875
36.76775	good	Africa/Algiers	Cheraga	2021/04/20	2.95924
37.1759	building	Asia/Seoul	T’aebaek	19 Dec 2020	128.9889
46.75451	good	Europe/Kiev	Nova Kakhovka	05 Jul 2022	33.34864
10.29085	good	Asia/Ho_Chi_Minh	Sa Dec	2020/08/30	105.75635
40.82232	maintenance	America/New_York	Nutley	2019/10/11	-74.15987
49.88307	excellent	America/Vancouver	Kelowna	2016-11-01	-119.48568
47.4943	good	America/Los_Angeles	Bryn Mawr-Skyway	05 Apr 2014	-122.24092
48.52961	excellent	Europe/Berlin	Landshut	11/08/2012, 00:00:00	12.16179
59.80917	building	Europe/Moscow	Shushary	2014-10-03	30.38167
22.37066	building	Asia/Hong_Kong	Tsuen Wan	2020/08/18	114.10479
59.80917	building	Europe/Moscow	Shushary	21 Jan 2017	30.38167
43.86682	good	America/Toronto	Markham	28 Oct 2018	-79.2663
50.18545	building	Europe/Kiev	Shepetivka	2021/02/08	27.06365
52.86147	average	Europe/Berlin	Walsrode	2014-12-11	9.5926
33.93113	maintenance	America/Los_Angeles	Norco	12/26/2019, 00:00:00	-117.54866
0.46005	maintenance	Africa/Nairobi	Busia	28 Aug 2016	34.11169
40.58654	average	America/Los_Angeles	Redding	2014-01-06	-122.39168
39.09112	building	America/Chicago	Independence	2015/09/09	-94.41551
36.6009	excellent	Asia/Seoul	Hongseong	15 May 2019	126.665
45.53929	good	America/Los_Angeles	Troutdale	2020/08/01	-122.38731
53.16167	building	Europe/Amsterdam	Hoogezand	06/22/2019, 00:00:00	6.76111
31.96258	good	Asia/Karachi	Naushahra Virkan	2014-07-08	73.97117
41.6764	building	America/Chicago	Coralville	2013/04/05	-91.58045
37.16911	average	Africa/Tunis	El Alia	2015/11/11	10.03478
41.72059	building	America/Chicago	Evergreen Park	20 Jun 2020	-87.70172
50.18545	accep	Europe/Kiev	Shepetivka	15 Oct 2014	27.06365
7.06273	average	Africa/Accra	Mampong	04/17/2014, 00:00:00	-1.4001
46.23899	good	America/Halifax	Charlottetown	15 Sep 2014	-63.13414
35.85	good	Asia/Shanghai	Dongdu	03/29/2017, 00:00:00	117.7
51.78967	good	Europe/London	Clacton-on-Sea	12/06/2018, 00:00:00	1.15597
40.42386	good	Europe/Madrid	San Fernando de Henares	08 Sep 2019	-3.53261
35.85	maintenance	Asia/Shanghai	Dongdu	2022-01-07	117.7
33.4425	average	Asia/Tokyo	Karatsu	2014-07-03	129.96972
38.96667	excellent	Europe/Madrid	Gandia	2018-04-04	-0.18333
4.92675	building	Africa/Lagos	Yenagoa	2012/12/02	6.26764
42.4251	excellent	America/New_York	Malden	15 Mar 2013	-71.06616
49.88307	excellent	America/Vancouver	Kelowna	2021-09-17	-119.48568
68.79833	excellent	Europe/Oslo	Harstad	01/31/2013, 00:00:00	16.54165
45.4473	good	America/Toronto	Dorval	2015-10-08	-73.75335
39.22493	maintenance	Europe/Istanbul	Patnos	11/16/2018, 00:00:00	42.85693
15.48131	accep	America/Tegucigalpa	Olanchito	01/14/2013, 00:00:00	-86.57415
23.0072	building	America/Havana	Boyeros	2021/09/22	-82.4017
40.65538	accep	America/New_York	Scotch Plains	2015-11-05	-74.38987
29.21399	maintenance	Asia/Kolkata	Kashipur	04 May 2020	78.95693
25.13915	accep	Asia/Kolkata	Sheoganj	2014/12/24	73.06784
-23.7975	excellent	America/Sao_Paulo	Buri	24 Sep 2018	-48.59278
39.33427	good	America/New_York	Middle River	16 Dec 2015	-76.43941
53.95278	good	Europe/Moscow	Roslavl’	2020-10-30	32.86389
51.42708	excellent	Europe/London	Lower Earley	2013/02/14	-0.91979
50.06	building	Europe/Volgograd	Mikhaylovka	31 Jul 2021	43.2379
49.41029	accep	Europe/Zaporozhye	Svatove	2015-07-31	38.15035
55.75556	maintenance	Asia/Yekaterinburg	Ozersk	2019-01-01	60.70278
43.1009	good	America/New_York	Utica	2013-12-18	-75.23266
50.50301	good	Europe/Prague	Most	2021/11/11	13.63617
58.7002	excellent	Asia/Yekaterinburg	Kachkanar	2019-04-12	59.4839
32.9156	average	America/Los_Angeles	Mira Mesa	2021/11/20	-117.14392
-1.9487	average	Africa/Kigali	Rwamagana	09/01/2016, 00:00:00	30.4347
48.98693	average	Europe/Paris	Gonesse	2022-07-10	2.44892
51.65333	building	Europe/Amsterdam	Vught	2015/08/24	5.2875
48.78232	average	Europe/Berlin	Stuttgart	19 Aug 2022	9.17702
44.43579	excellent	Europe/Bucharest	Sector 6	09/25/2015, 00:00:00	26.01649
-21.98333	good	Africa/Windhoek	Okahandja	10/16/2013, 00:00:00	16.91667
50.75767	accep	Europe/London	Lymington	03 Mar 2015	-1.5443
42.30865	average	America/Detroit	Canton	09/08/2014, 00:00:00	-83.48216
44.99012	good	America/Los_Angeles	Keizer	07/23/2019, 00:00:00	-123.02621
52.71083	average	Europe/Amsterdam	Emmeloord	2019/01/03	5.74861
34.09611	accep	America/Los_Angeles	San Gabriel	2020-08-29	-118.10583
42.35843	good	America/New_York	Boston	2020-07-17	-71.05977
23.02677	accep	Asia/Shanghai	Foshan	17 Nov 2019	113.13148
