latitude	location	longitude	QoS	revision	code
26.44931	Asia/Kolkata	91.61356	maintenance	11/21/2014, 00:00:00	IN
58.04254	Asia/Yekaterinburg	65.27258	accep	06/19/2020, 00:00:00	RU
36.82167	Asia/Seoul	128.63083	excellent	2020/01/15	KR
34.81667	Asia/Tokyo	137.4	maintenance	2015/09/06	JP
14.93333	America/Guatemala	-91.11667	excellent	2016/10/09	GT
-21.205	America/Sao_Paulo	-41.88778	excellent	2021-11-30	BR
40.93333	Asia/Bishkek	73	maintenance	13 Dec 2019	KG
39.45621	America/New_York	-77.96389	maitennce	01/23/2013, 00:00:00	US
42.4251	America/New_York	-71.06616	good	06/15/2021, 00:00:00	US
53.16167	Europe/Amsterdam	6.76111	building	2019/08/25	NL
7.57944	Africa/Monrovia	-8.53778	excellent	09 Jun 2014	LR
22.19303	Asia/Kolkata	88.18466	excellent	11 Sep 2017	IN
16.06213	Asia/Kolkata	76.0586	excellent	28 May 2017	IN
10.31672	Asia/Manila	123.89071	building	2021/08/05	PH
-21.41222	America/Sao_Paulo	-42.19667	average	2014/08/08	BR
8.43333	Asia/Bangkok	99.96667	maintenance	03 Jun 2020	TH
-19.32556	America/Sao_Paulo	-41.25528	accep	08/31/2022, 00:00:00	BR
19.04222	America/Mexico_City	-98.11889	excellent	2014-02-24	MX
38.37255	Europe/Istanbul	34.02537	average	2012-10-26	TR
36.65	Asia/Tokyo	138.31667	good	2016/12/06	JP
27.55898	Asia/Karachi	68.21204	excellent	10/10/2013, 00:00:00	PK
50.50301	Europe/Prague	13.63617	good	2014/07/02	CZ
45.50369	Europe/Rome	11.412	accep	2020/08/04	IT
15.45144	Asia/Kolkata	78.14797	good	10/05/2014, 00:00:00	IN
42.4251	America/New_York	-71.06616	building	2019-01-16	US
12.35275	Asia/Manila	121.06761	accep	2022-07-18	PH
13.8196	Asia/Bangkok	100.04427	average	09 Oct 2020	TH
27.09978	America/New_York	-82.45426	average	04 Mar 2022	US
-10.95817	America/Bahia	-38.79084	accep	2018-03-24	BR
42.35843	America/New_York	-71.05977	average	08 Jul 2016	US
9.3337	Asia/Manila	122.8637	good	2014/01/22	PH
-21.42917	America/Sao_Paulo	-45.94722	maintenance	2015/09/18	BR
39.12074	Europe/Istanbul	27.18052	excellent	06/30/2014, 00:00:00	TR
-1.26424	Asia/Jakarta	104.09701	excellent	10/21/2013, 00:00:00	ID
55.38752	Europe/Moscow	36.73307	accep	02/23/2015, 00:00:00	RU
37.1759	Asia/Seoul	128.9889	excellent	12/15/2021, 00:00:00	KR
56.11281	Asia/Yekaterinburg	69.49015	good	08/01/2020, 00:00:00	RU
11.84962	America/Managua	-86.19903	average	2019-02-12	NI
41.1053	Europe/Lisbon	-7.32097	average	09 Nov 2018	PT
34.25628	America/New_York	-78.04471	excellent	28 May 2015	US
19.21667	Asia/Kolkata	73.08333	excellent	2014/11/03	IN
17.54907	Asia/Kolkata	82.85749	average	2014-09-14	IN
44.27804	America/Chicago	-88.27205	accep	2019/09/29	US
-0.71667	America/Belem	-48.52333	average	2021/11/21	BR
44.99012	America/Los_Angeles	-123.02621	average	08/09/2015, 00:00:00	US
-21.44236	Africa/Gaborone	27.46153	average	02/02/2018, 00:00:00	BW
41.84364	America/Chicago	-87.71255	accep	28 Oct 2017	US
5.90702	Asia/Kuching	116.10146	excellent	2020/06/20	MY
32.57756	Asia/Karachi	71.52847	maintenance	2015-03-07	PK
39.72943	America/Denver	-104.83192	excellent	2018-03-25	US
6.84019	Asia/Colombo	79.87116	good	2021-02-14	LK
-4.24444	America/Fortaleza	-42.29444	maintenance	03/02/2015, 00:00:00	BR
-20.87306	America/Sao_Paulo	-48.29694	maintenance	10 May 2015	BR
20.88098	Asia/Kolkata	75.11937	good	19 Aug 2017	IN
38.13708	Europe/Istanbul	41.00817	building	2019-08-23	TR
32.54278	Asia/Shanghai	111.50861	accep	2019/03/01	CN
46.32374	America/Los_Angeles	-120.00865	maintenance	09/21/2018, 00:00:00	US
42.58342	America/New_York	-71.8023	accep	03 Oct 2014	US
33.45122	America/Chicago	-86.99666	average	2013/11/24	US
49.41029	Europe/Zaporozhye	38.15035	maintenance	2015/02/10	UA
-8.76194	America/Porto_Velho	-63.90389	good	06/23/2015, 00:00:00	BR
51.12794	Europe/Brussels	4.21372	good	2014-12-13	BE
-33.79176	Australia/Sydney	151.08057	excellent	03/12/2021, 00:00:00	AU
49.5099	Europe/Berlin	6.74549	average	12 Nov 2014	DE
41.8542	America/Chicago	-87.66561	maintenance	17 Oct 2015	US
10.13361	Asia/Manila	124.84472	good	2013-03-15	PH
56.9083	Asia/Yekaterinburg	60.8019	good	08 Jan 2018	RU
36.82167	Asia/Seoul	128.63083	excellent	07/13/2017, 00:00:00	KR
10.7375	Asia/Manila	122.9666	average	2019-12-03	PH
9.15093	America/Panama	-79.62098	maintenance	06/26/2014, 00:00:00	PA
34.95303	America/Los_Angeles	-120.43572	average	12/30/2015, 00:00:00	US
48.86667	Europe/Paris	2.08333	good	11/22/2013, 00:00:00	FR
48.8222	Europe/Paris	2.12213	accep	2022-01-19	FR
10.10649	Asia/Kolkata	76.35484	average	03/17/2020, 00:00:00	IN
58.7002	Asia/Yekaterinburg	59.4839	average	2018/02/02	RU
43.32393	Europe/Paris	5.4584	accep	2022-08-12	FR
28.54944	America/New_York	-81.77285	average	01/15/2018, 00:00:00	US
50.71229	Europe/Brussels	4.52529	average	02 Apr 2021	BE
-38.16604	Australia/Melbourne	145.13643	excellent	2016-01-28	AU
4.2475	Africa/Douala	9.00472	good	2021/01/07	CM
33.14447	Asia/Tehran	47.3799	maintenance	2013/08/30	IR
41.09822	Asia/Shanghai	120.74792	good	05 Sep 2014	CN
11.15583	Africa/Djibouti	42.7125	maintenance	2018/01/29	DJ
51.24197	Europe/Brussels	4.82313	good	24 Jun 2022	BE
34.15429	Africa/Algiers	3.50309	accep	15 Jan 2022	DZ
42.7392	America/Detroit	-84.62081	excellent	31 Oct 2021	US
-19.7625	America/Sao_Paulo	-44.31389	excellent	2017-01-07	BR
6.95194	Asia/Manila	121.96361	average	2016/02/23	PH
54.39635	Europe/Vilnius	24.04142	acceptable	2020/08/19	LT
41.50343	America/New_York	-74.01042	excellent	07/21/2016, 00:00:00	US
51.03427	Europe/Brussels	5.37429	accep	2015/12/19	BE
46.18396	Europe/Zurich	6.10237	maintenance	2013-11-04	CH
42.24113	America/Chicago	-88.3162	maintenance	29 Apr 2020	US
31.76212	America/Chicago	-95.63079	accep	12/30/2021, 00:00:00	US
49.03685	Europe/Berlin	8.70745	building	2014/12/15	DE
40.58654	America/Los_Angeles	-122.39168	good	06 Mar 2015	US
42.50729	Europe/Andorra	1.53414	building	2013/11/02	AD
14.95472	Asia/Manila	120.89694	good	07 Dec 2014	PH
43.4125	Europe/Sofia	23.225	good	03/30/2015, 00:00:00	BG
34.14251	America/Los_Angeles	-118.25508	maintenance	01 Apr 2022	US
49.03685	Europe/Berlin	8.70745	excellent	2020-09-10	DE
41.27621	America/New_York	-72.86843	good	2016-09-18	US
35.8	Asia/Tokyo	137.23333	average	2022/03/30	JP
45.69558	Europe/Paris	4.7934	accep	05/18/2017, 00:00:00	FR
39.43534	America/New_York	-84.20299	good	09/19/2017, 00:00:00	US
-1.63333	Africa/Libreville	13.58357	average	10/19/2013, 00:00:00	GA
34.31	Africa/Casablanca	-2.16	good	2016/08/28	MA
43.61092	Europe/Paris	3.87723	average	07 Sep 2016	FR
35.48199	Asia/Tokyo	137.02166	average	2017/08/15	JP
50.7236	Europe/London	-3.52751	excellent	07/31/2017, 00:00:00	GB
35.64889	Asia/Shanghai	117.27583	building	2020-09-10	CN
55.85	Europe/Moscow	37.56667	building	2019/07/24	RU
46.67535	Europe/Paris	5.55575	average	2018/07/09	FR
15.72892	Asia/Manila	120.57224	excellent	2020-05-05	PH
-32.05251	Australia/Perth	115.88782	building	11/15/2021, 00:00:00	AU
15.5439	Asia/Kolkata	73.7553	excellent	20 Feb 2020	IN
7.06273	Africa/Accra	-1.4001	average	2019/02/26	GH
23.1959	Asia/Kolkata	86.51499	good	2017/04/18	IN
40.70995	Europe/Madrid	0.57856	excellent	2018-11-22	ES
11.15583	Africa/Djibouti	42.7125	maintenance	05/02/2017, 00:00:00	DJ
42	Europe/Skopje	21.32778	maintenance	2015-10-13	MK
58.23583	Asia/Krasnoyarsk	92.48278	average	07/29/2017, 00:00:00	RU
31.84568	America/Chicago	-102.36764	good	05/02/2014, 00:00:00	US
4.73245	America/Bogota	-74.26419	building	09 Jul 2015	CO
46.32313	Europe/Paris	-0.45877	building	02/04/2017, 00:00:00	FR
17.30858	Asia/Yangon	97.01124	excellent	2017/05/02	MM
35.05266	America/New_York	-78.87836	average	07/28/2020, 00:00:00	US
50.23805	Europe/Berlin	8.86704	maintenance	2018/10/25	DE
20.88953	Pacific/Honolulu	-156.47432	average	2020/03/27	US
26.91756	America/New_York	-82.07842	excellent	05/21/2013, 00:00:00	US
50.09019	Europe/Berlin	8.4493	maintenance	03/26/2015, 00:00:00	DE
11.12018	Asia/Kolkata	76.11996	accep	2016/12/19	IN
13.65805	Asia/Phnom_Penh	102.56365	maintenance	18 Jan 2020	KH
6.46838	America/Bogota	-73.26022	good	2014-07-31	CO
50.23805	Europe/Berlin	8.86704	average	26 Aug 2020	DE
51.95838	Europe/Amsterdam	4.47124	excellent	26 Jun 2019	NL
20.74122	America/Mexico_City	-100.44843	good	2015-04-23	MX
54.52156	Europe/Berlin	9.5586	average	2016/11/19	DE
26.91756	America/New_York	-82.07842	building	03 Jun 2021	US
-21.205	America/Sao_Paulo	-41.88778	accep	2014/05/29	BR
32.5007	America/Chicago	-94.74049	excellent	2018-12-02	US
41.16704	America/New_York	-73.20483	average	09/15/2021, 00:00:00	US
38.68712	Europe/Madrid	-4.10734	maitennce	03/26/2016, 00:00:00	ES
11.12018	Asia/Kolkata	76.11996	average	03 Sep 2021	IN
20.28527	America/Mexico_City	-103.42897	accep	2015/04/03	MX
48.28259	Europe/Berlin	9.72749	excellent	08/30/2018, 00:00:00	DE
42.52787	America/New_York	-70.92866	good	14 Jan 2013	US
33.52253	America/Los_Angeles	-117.70755	good	2021/09/29	US
20.14298	America/Havana	-77.43532	average	2017/05/08	CU
-7.76667	Africa/Dar_es_Salaam	35.7	good	08/14/2021, 00:00:00	TZ
33.50921	America/Phoenix	-111.89903	building	2013/05/19	US
-6.8048	Asia/Jakarta	110.8405	maintenance	08 Feb 2020	ID
-6.25	Africa/Dar_es_Salaam	38.66667	accep	2014-02-11	TZ
15.48131	America/Tegucigalpa	-86.57415	good	2017-12-05	HN
47.98372	Europe/Berlin	10.18527	accep	03 Jan 2019	DE
7.06273	Africa/Accra	-1.4001	average	2021/12/30	GH
54.84444	Europe/Moscow	38.16694	good	2014/03/06	RU
18.18158	Asia/Kolkata	76.03889	accep	02/07/2015, 00:00:00	IN
65.93381	Asia/Yakutsk	111.4834	excellent	2014/04/20	RU
50.75767	Europe/London	-1.5443	average	02/15/2018, 00:00:00	GB
29.21399	Asia/Kolkata	78.95693	excellent	11/21/2021, 00:00:00	IN
23.49668	Asia/Kolkata	86.68363	building	11/03/2013, 00:00:00	IN
14.46693	Asia/Kolkata	75.92694	accep	01/20/2016, 00:00:00	IN
-4.16694	America/Fortaleza	-40.7475	maintenance	20 Dec 2013	BR
53.46506	Europe/London	-1.47217	maitennce	2022/05/25	GB
15.79408	Asia/Bangkok	104.1451	average	12/02/2017, 00:00:00	TH
38.96372	America/New_York	-76.99081	good	22 Aug 2022	US
51.40944	Europe/Saratov	46.04833	accep	2018-05-22	RU
65.84811	Europe/Helsinki	24.14662	building	2014-09-24	FI
8.35122	America/Caracas	-62.64102	accep	01/05/2019, 00:00:00	VE
32.35126	America/Chicago	-95.30106	building	2015-11-18	US
42.24113	America/Chicago	-88.3162	accep	2022/05/10	US
39.46667	Asia/Tokyo	141.95	good	2012-11-13	JP
48.25	Europe/Vienna	16.4	average	10/07/2021, 00:00:00	AT
41.9001	America/New_York	-71.08977	good	21 Jun 2021	US
36.82167	Asia/Seoul	128.63083	building	04/04/2014, 00:00:00	KR
8.88988	America/Panama	-79.62603	good	2012-10-13	PA
38.47917	Europe/Madrid	-1.325	building	25 Sep 2019	ES
5.6561	America/Bogota	-75.87877	average	07/10/2021, 00:00:00	CO
36.19278	Asia/Shanghai	117.65694	average	08 Sep 2019	CN
51.47805	Europe/Berlin	6.8625	excellent	2014/12/30	DE
31.82539	Asia/Karachi	72.54064	good	2017-09-28	PK
31.64615	Asia/Shanghai	120.74221	excellent	2018/04/05	CN
3.3285	Asia/Jakarta	99.1625	accep	2018/10/22	ID
25.66795	Asia/Kolkata	85.83636	excellent	2022-08-24	IN
36.06386	Africa/Algiers	4.62744	maintenance	09/02/2021, 00:00:00	DZ
44.73941	America/Chicago	-93.12577	good	2020-09-07	US
-1.6	Asia/Jakarta	103.61667	maintenance	05/28/2015, 00:00:00	ID
48.98333	Europe/Paris	2.61667	excellent	08/05/2015, 00:00:00	FR
-34.74785	America/Argentina/Buenos_Aires	-58.70072	excellent	02/13/2014, 00:00:00	AR
43.82634	Asia/Tokyo	144.09638	accep	15 Aug 2021	JP
45.39402	Europe/Rome	9.29109	maintenance	09/10/2013, 00:00:00	IT
22.37066	Asia/Hong_Kong	114.10479	building	24 Aug 2019	HK
50.06	Europe/Volgograd	43.2379	excellent	2016-07-15	RU
36.72544	Africa/Algiers	3.55665	average	10 Jan 2016	DZ
32.9156	America/Los_Angeles	-117.14392	average	2014/01/04	US
-5.85746	Pacific/Port_Moresby	144.23058	accep	01/19/2020, 00:00:00	PG
44.31771	Europe/Rome	9.32241	good	21 Jun 2021	IT
36.65	Asia/Tokyo	138.31667	maintenance	2017/02/24	JP
13.56667	Africa/Banjul	-15.6	accep	01/07/2018, 00:00:00	GM
-8.99167	Asia/Dili	125.21972	good	2020-02-19	TL
7.57944	Africa/Monrovia	-8.53778	accep	27 Oct 2021	LR
10.58806	Asia/Kolkata	77.24779	accep	2015-01-01	IN
35.05266	America/New_York	-78.87836	good	02/24/2022, 00:00:00	US
55.54028	Asia/Krasnoyarsk	89.20083	average	05/19/2014, 00:00:00	RU
19.64745	America/Mexico_City	-102.04897	average	2020-12-24	MX
33.14447	Asia/Tehran	47.3799	excellent	01 Sep 2019	IR
41.50343	America/New_York	-74.01042	accep	2015-08-02	US
37.74615	Atlantic/Azores	-25.66689	excellent	2015-10-06	PT
43.61058	Europe/Paris	1.33467	maintenance	10/01/2021, 00:00:00	FR
6.03333	Africa/Addis_Ababa	37.55	accep	2018-04-05	ET
6.9909	Asia/Colombo	79.883	good	2017-05-20	LK
42.52787	America/New_York	-70.92866	good	04/16/2020, 00:00:00	US
48.77275	Europe/Paris	5.16108	accep	2014-01-02	FR
41.77583	Asia/Tokyo	140.73667	average	2021-09-19	JP
43.41949	Asia/Almaty	77.0202	good	08/21/2021, 00:00:00	KZ
48.78232	Europe/Berlin	9.17702	accep	2015-07-28	DE
55.82737	Europe/London	-4.0573	good	2020-09-30	GB
57.47908	Europe/London	-4.22398	good	2022-02-14	GB
39.57582	America/Denver	-105.11221	accep	2017/08/16	US
43.91452	America/New_York	-69.96533	average	11/07/2018, 00:00:00	US
-1.6	Asia/Jakarta	103.61667	good	2020-06-06	ID
46.32313	Europe/Paris	-0.45877	accep	04/27/2014, 00:00:00	FR
13.51825	Asia/Bangkok	99.95469	excellent	10/11/2021, 00:00:00	TH
6.45407	Africa/Lagos	3.39467	good	02/22/2020, 00:00:00	NG
26.44931	Asia/Kolkata	91.61356	excellent	2016/02/24	IN
-25.54073	Australia/Brisbane	152.70493	excellent	2014-03-13	AU
45.47885	Asia/Vladivostok	133.42825	good	17 Dec 2014	RU
17.06542	America/Mexico_City	-96.72365	excellent	19 Mar 2022	MX
48.73218	Europe/Berlin	11.18709	good	2018/07/24	DE
35.05266	America/New_York	-78.87836	good	16 Jun 2014	US
36.33011	Asia/Tokyo	138.89585	accep	04/09/2015, 00:00:00	JP
32.5007	America/Chicago	-94.74049	building	2015-08-17	US
18.87813	Asia/Kolkata	72.93924	maintenance	2015/06/11	IN
31.12406	America/Chicago	-97.90308	good	20 Oct 2020	US
25.66795	Asia/Kolkata	85.83636	average	2013-04-14	IN
43.1122	Europe/Rome	12.38878	good	05/18/2016, 00:00:00	IT
37.13548	Europe/Madrid	-3.67029	accep	2016-12-03	ES
13.70727	Africa/Niamey	9.15013	maintenance	2015/06/07	NE
43.1009	America/New_York	-75.23266	accep	2021-12-31	US
17.06542	America/Mexico_City	-96.72365	average	21 May 2018	MX
50.09019	Europe/Berlin	8.4493	excellent	2021-08-14	DE
0.46005	Africa/Nairobi	34.11169	average	2018-10-15	KE
14.93333	America/Guatemala	-91.11667	average	04/16/2014, 00:00:00	GT
33.52253	America/Los_Angeles	-117.70755	excellent	2021/09/05	US
34.65918	Asia/Shanghai	109.22921	average	12/29/2018, 00:00:00	CN
20.88953	Pacific/Honolulu	-156.47432	average	07/23/2020, 00:00:00	US
45.43341	America/Toronto	-73.86586	building	2016-11-30	CA
54.90083	Europe/Moscow	38.07083	good	2020/11/24	RU
39.57582	America/Denver	-105.11221	good	11/02/2012, 00:00:00	US
-22.53722	America/Sao_Paulo	-42.98194	good	2015-10-17	BR
46.09273	America/Menominee	-88.64235	good	13 Jan 2019	US
35.95664	Asia/Damascus	36.7138	good	2015-03-11	SY
11.85	Africa/Addis_Ababa	38.01667	accep	2017/12/27	ET
22.98212	America/Havana	-80.58556	excellent	2022-01-17	CU
51.39148	Europe/London	-0.29825	accep	2015-04-22	GB
45.39402	Europe/Rome	9.29109	building	2014-04-02	IT
48.25	Europe/Vienna	16.4	average	2018-03-28	AT
-21.15	Indian/Antananarivo	46.58333	average	2015/02/08	MG
51.40944	Europe/Saratov	46.04833	building	2015-06-10	RU
-22.45667	America/Sao_Paulo	-47.53028	accep	2014/12/31	BR
45.44868	America/Toronto	-73.81669	building	14 Apr 2019	CA
36.06386	Africa/Algiers	4.62744	good	2016-01-16	DZ
33.03699	America/Los_Angeles	-117.29198	accep	2016-01-28	US
65.84811	Europe/Helsinki	24.14662	average	2022/08/07	FI
-2.68333	Africa/Dar_es_Salaam	33	excellent	20 May 2015	TZ
9.57046	Asia/Kolkata	76.32756	average	2015/06/19	IN
31.96258	Asia/Karachi	73.97117	accep	10 Jun 2016	PK
9.57046	Asia/Kolkata	76.32756	building	04/27/2020, 00:00:00	IN
52.57583	Europe/Amsterdam	6.61944	average	30 Mar 2013	NL
11.12018	Asia/Kolkata	76.11996	building	2017/04/06	IN
38.45598	Asia/Baku	48.87498	maintenance	12/27/2013, 00:00:00	AZ
42.97086	America/Detroit	-82.42491	good	23 Jul 2017	US
41.85059	America/Chicago	-87.882	excellent	17 Sep 2020	US
-33.75881	Australia/Sydney	150.99292	accep	01/24/2022, 00:00:00	AU
51.42708	Europe/London	-0.91979	excellent	03/21/2013, 00:00:00	GB
18.51957	Asia/Kolkata	73.85535	excellent	2018-11-24	IN
-1.6	Asia/Jakarta	103.61667	excellent	09 Aug 2014	ID
20.28527	America/Mexico_City	-103.42897	average	2021-08-17	MX
34.4833	Asia/Tokyo	136.84186	good	2021-10-06	JP
44.80477	Europe/Paris	-0.59543	excellent	2021/02/16	FR
42.16808	America/Chicago	-88.42814	maintenance	24 Sep 2021	US
49.41029	Europe/Zaporozhye	38.15035	building	22 Mar 2022	UA
9.535	Africa/Conakry	-13.68778	good	10 May 2013	GN
35	Asia/Tokyo	136.51667	excellent	2018-07-13	JP
46.32313	Europe/Paris	-0.45877	average	2016/09/20	FR
-6.25	Africa/Dar_es_Salaam	38.66667	accep	2012-10-25	TZ
53.93361	Europe/Moscow	37.92792	building	06/14/2019, 00:00:00	RU
-6.91806	Asia/Jakarta	106.92667	accep	2015-03-10	ID
61.72744	Europe/Stockholm	17.10558	excellent	2015-06-13	SE
28.92694	Asia/Kolkata	78.23456	maintenance	2016-01-22	IN
23.02677	Asia/Shanghai	113.13148	accep	2017-06-24	CN
45.49428	America/Los_Angeles	-122.86705	accep	2016-10-19	US
42.97086	America/Detroit	-82.42491	building	15 Feb 2015	US
53.53333	Europe/Dublin	-7.35	maintenance	2021/11/27	IE
30.21121	Asia/Kolkata	74.4818	average	22 Jan 2017	IN
40.68066	America/New_York	-73.47429	good	2013/07/22	US
34.4833	Asia/Tokyo	136.84186	excellent	03/15/2020, 00:00:00	JP
36.82167	Asia/Seoul	128.63083	good	2012-12-08	KR
48.98994	Europe/Paris	2.1699	good	2018-04-23	FR
-21.98333	Africa/Windhoek	16.91667	building	30 Sep 2014	NA
10.12268	Asia/Kolkata	77.54372	good	05/10/2016, 00:00:00	IN
51.62907	Europe/London	-0.74934	average	16 Apr 2013	GB
41.54566	America/New_York	-71.29144	average	04/24/2018, 00:00:00	US
43.32686	Europe/Madrid	-2.98884	average	2016/07/17	ES
29.98869	Asia/Shanghai	122.20488	excellent	06/21/2019, 00:00:00	CN
41.9001	America/New_York	-71.08977	accep	2020-01-17	US
52.41667	Europe/London	0.75	average	2021/05/12	GB
-4.16694	America/Fortaleza	-40.7475	excellent	07/13/2014, 00:00:00	BR
51.65	Europe/London	-0.2	excellent	04 May 2014	GB
-33.88096	Australia/Sydney	151.07986	accep	27 Jun 2020	AU
48.77275	Europe/Paris	5.16108	building	2019-01-21	FR
33.86419	Asia/Tehran	48.26258	good	02/12/2014, 00:00:00	IR
34.25807	America/Chicago	-88.70464	accep	27 May 2016	US
7.50251	Africa/Lagos	5.06258	average	16 Feb 2016	NG
52.41667	Europe/London	0.75	average	2021/07/11	GB
45.49428	America/Los_Angeles	-122.86705	accep	09/25/2021, 00:00:00	US
56.11281	Asia/Yekaterinburg	69.49015	accep	2021-08-23	RU
61.72744	Europe/Stockholm	17.10558	accep	2012-10-18	SE
33.14447	Asia/Tehran	47.3799	excellent	02/24/2021, 00:00:00	IR
22.19303	Asia/Kolkata	88.18466	average	2018/01/22	IN
27.55898	Asia/Karachi	68.21204	building	2015/07/23	PK
15.72892	Asia/Manila	120.57224	average	02 Sep 2013	PH
34.25628	America/New_York	-78.04471	building	04/01/2018, 00:00:00	US
6.95194	Asia/Manila	121.96361	good	2016-12-14	PH
47.4943	America/Los_Angeles	-122.24092	good	06/13/2014, 00:00:00	US
40.85158	Asia/Shanghai	122.74754	good	08 Nov 2014	CN
-13.7804	Africa/Blantyre	34.4587	maintenance	24 Oct 2021	MW
45.69558	Europe/Paris	4.7934	accep	2020/10/27	FR
-1.9487	Africa/Kigali	30.4347	good	11/11/2017, 00:00:00	RW
40.93121	America/New_York	-73.89875	building	2021-06-27	US
53.6052	Europe/Berlin	10.03988	average	2012-12-12	DE
39.33427	America/New_York	-76.43941	maintenance	02/18/2016, 00:00:00	US
-33.88096	Australia/Sydney	151.07986	maintenance	2020/06/18	AU
52.26083	Europe/Amsterdam	7.00417	average	2016/12/02	NL
5.20856	America/Bogota	-74.73584	acceptable	2018-09-07	CO
12.74409	Africa/Bamako	-8.07257	accep	2021-05-14	ML
40.1675	Europe/Istanbul	34.37389	good	20 Nov 2016	TR
51.44889	Europe/Amsterdam	5.51978	maintenance	08/05/2014, 00:00:00	NL
58.7002	Asia/Yekaterinburg	59.4839	accep	2021-06-22	RU
48.77275	Europe/Paris	5.16108	good	2013-05-24	FR
42.7392	America/Detroit	-84.62081	good	2016-03-21	US
57.97472	Europe/Moscow	33.2525	excellent	17 Jun 2020	RU
55.63711	Europe/Moscow	37.38115	excellent	06/11/2014, 00:00:00	RU
0.49113	Africa/Lubumbashi	29.47306	excellent	07 Sep 2017	CD
11.15583	Africa/Djibouti	42.7125	excellent	2019/07/22	DJ
39.32011	America/New_York	-76.51552	building	2020/06/22	US
9.57046	Asia/Kolkata	76.32756	maintenance	07 Aug 2020	IN
48.21644	Europe/Berlin	9.02596	average	2017-01-14	DE
37.31065	Europe/Rome	13.57661	average	2017/09/28	IT
26.44931	Asia/Kolkata	91.61356	excellent	25 Feb 2020	IN
-12.91667	America/Bahia	-39.25	average	17 Apr 2019	BR
6.95194	Asia/Manila	121.96361	excellent	2019-04-30	PH
38.45598	Asia/Baku	48.87498	excellent	2017-09-27	AZ
43.67681	Europe/Paris	4.63031	average	2014/06/15	FR
35.74788	America/Chicago	-95.36969	good	06/04/2015, 00:00:00	US
41.91886	Europe/Paris	8.73812	accep	2016-04-27	FR
51.44889	Europe/Amsterdam	5.51978	good	2012/12/01	NL
