PM10	Pb	latitude	CH4	NH3	H2CO	O3	warning	TEMP	CFCs	PM2.5	PAHs	NOx	SO2	longitude	PRES	C2H3NO5	CO
8.88996	38.09307	44.73941	6.67790	7.02469	59.93434	10.25597	0.00000	17.09752	50.07002	6.68025	8.19855	8.61947	5.84253	-93.12577	1170.73297	1.29743	10.60084
11.08350	31.79490	18.42745	8.33417	9.02342	41.25247	9.92523	1.00000	17.43153	58.81689	6.97763	8.03992	7.34055	9.03333	-67.15407	1179.63571	8.69652	7.17071
11.44669	60.20367	38.70734	10.67234	8.75017	42.27352	8.98681	0.00000	12.32848	62.69196	6.44483	5.85527	11.87014	7.75142	-77.02303	1119.02319	12.58782	7.78798
6.89645	26.72461	31.82539	8.82108	7.09520	43.84539	5.46620	1.00000	5.34741	65.69157	9.22965	5.71568	7.10506	7.54036	72.54064	1063.20340	0.38762	9.81030
10.76202	42.95168	30.76468	10.09351	7.64791	49.98987	7.56293	0.00000	22.40184	51.95318	5.64860	6.73832	10.45900	8.87259	74.12286	1151.58057	6.44755	9.68762
8.93855	35.85147	34.25628	9.63118	8.96527	50.73405	7.80834	1.00000	18.85411	72.03731	9.66362	9.09942	4.74601	7.28889	-78.04471	1128.79924	1.23718	7.85773
5.03240	42.21059	37.74615	8.52507	8.02899	40.72618	8.05959	1.00000	30.05680	61.38275	4.97202	5.98591	9.18467	8.46522	-25.66689	1098.35680	0.25119	13.07031
10.20582	28.59104	49.41029	7.85931	7.21525	62.77080	7.99928	0.00000	23.86578	64.20686	8.77692	6.67010	6.69011	8.94108	38.15035	1111.52316	3.83424	9.44181
9.98773	61.97765	50.79205	7.88561	8.63139	37.85521	8.10141	0.00000	24.06738	76.53666	9.02306	9.15565	9.30627	5.64583	-1.08593	1179.30780	3.10942	7.03188
8.93282	40.75898	32.52515	8.62529	8.89787	59.62348	8.07962	1.00000	16.92746	67.87732	9.43011	6.46425	5.89154	8.38811	-93.75018	1129.13102	1.11939	6.66791
8.53092	50.14963	0.49113	9.62231	7.70142	44.62445	8.48915	1.00000	21.68091	62.36484	9.51675	6.93507	6.67840	8.42791	29.47306	1137.37698	0.83312	6.18335
9.84992	53.32298	20.74122	10.56053	7.32093	62.30066	8.71972	0.00000	30.21214	68.52671	7.22708	6.77864	9.25366	7.65763	-100.44843	1066.29300	2.79147	9.14587
5.75097	56.02855	50.06	4.99951	8.07505	41.42666	7.76340	1.00000	-1.41187	62.10169	6.49053	7.87291	9.61021	6.74280	43.2379	1055.99037	0.34332	9.73174
7.01103	59.86358	-27.4338	8.23794	9.51529	39.47266	4.72021	1.00000	18.20458	54.55970	6.31677	7.28241	8.11341	9.25509	-65.61427	1177.47664	0.28861	10.53209
9.52392	41.42395	41.54566	8.52731	9.00261	44.54371	9.47783	1.00000	13.20196	52.09802	7.80257	6.07693	7.37753	6.57902	-71.29144	1083.61071	2.03068	6.84064
7.78819	70.29278	34.61667	7.54929	6.68410	45.28948	4.81424	1.00000	-0.02011	70.45827	6.76572	8.43210	3.67974	7.95421	135.6	1056.20460	0.53171	6.14101
7.93461	60.51285	43.61062	8.67657	8.54123	55.03622	5.45258	0.00000	6.93219	66.64364	6.11853	7.81769	8.36727	8.56110	-72.97261	1199.51920	0.50144	4.54655
10.36295	50.60258	26.76628	8.64951	8.46595	47.76034	7.85196	1.00000	10.19714	56.55823	6.61544	7.62119	7.09710	6.93511	83.36889	1191.25674	4.33847	7.82751
5.80319	23.46727	46.23899	7.15877	8.46118	49.37975	7.70255	1.00000	1.46017	66.15233	3.41938	8.24101	6.98005	6.62300	-63.13414	1169.69956	0.34751	9.07058
7.53524	44.58589	-20.88231	10.21250	6.81732	48.83097	4.73955	0.00000	5.30941	59.30539	4.91310	7.60137	8.45513	6.56050	55.4504	1091.70790	0.56193	6.01567
7.00495	34.06612	36.76775	9.77447	7.43508	49.96732	3.38795	0.00000	14.99285	68.55709	5.42506	7.21059	8.63250	7.17072	2.95924	1071.23570	0.35644	6.89371
10.00946	50.66164	-34.74785	7.52742	8.50316	55.14188	12.19595	0.00000	21.39436	66.79500	6.24242	7.88358	8.72792	7.84575	-58.70072	1056.43750	3.17466	10.95007
9.92498	44.72929	42.93369	6.96684	8.78974	65.37765	11.27575	0.00000	13.95598	64.94779	6.61463	8.58555	8.19655	7.88265	-72.27814	1102.82412	2.81862	11.45917
5.74157	50.64424	10.13361	8.03498	7.54003	55.11445	7.50064	1.00000	8.71089	68.38596	6.52677	8.42035	5.67128	6.93801	124.84472	1181.27187	0.28208	13.00492
6.25573	44.96970	38.38479	3.65157	7.91331	74.61491	7.47632	1.00000	22.25587	54.09329	7.74166	7.31005	8.43336	8.39297	-0.76773	1066.62502	0.25649	7.59876
7.90691	40.60753	-23.85972	9.99819	9.27309	20.84517	10.07109	1.00000	7.11823	50.19948	11.26252	9.48150	5.92611	9.13057	35.34722	1100.31290	0.61315	5.72871
7.19202	28.66447	35.82756	7.66945	6.40820	28.49429	5.33900	1.00000	4.04395	82.41233	5.92360	7.04011	6.33866	7.22603	137.95378	1160.93494	0.38761	6.98379
6.97143	41.07208	55.25	5.32055	9.14268	54.23578	5.80598	1.00000	26.48588	67.34684	6.00881	8.22386	7.34028	7.92587	24.75	1153.11125	0.45880	8.44686
7.15526	32.09145	-29.2975	8.61455	8.55549	48.99732	5.29708	1.00000	-1.69668	58.24762	5.36346	6.77141	5.36889	6.35383	-51.50361	1121.76141	0.34315	8.22959
6.06301	39.73881	-37.9	7.86066	8.44905	53.09573	7.81676	1.00000	17.28425	66.23424	4.44961	5.91838	3.04847	6.62994	145.18333	1076.91620	0.26265	9.10638
7.23920	14.50352	40.81	6.56817	9.11665	42.27558	10.27378	0.00000	17.90262	50.05933	4.56116	7.23695	8.03825	7.18319	-73.9625	1123.69376	0.24635	10.03109
6.41854	57.93962	27.52948	4.69205	6.62340	33.38771	6.36302	1.00000	8.30600	54.27662	4.87088	8.46533	8.78915	6.87666	68.75915	1192.14984	0.30753	12.17574
7.16099	34.26373	39.96348	7.81558	9.40582	57.39134	5.22492	1.00000	15.28316	64.71103	8.29767	7.38173	5.27417	9.65201	-4.83076	1115.68860	0.35363	8.74426
10.17786	32.28660	51.64316	9.36407	8.08968	45.16347	10.58183	0.00000	15.44781	80.78569	6.23209	7.14522	10.38501	7.80699	-0.36053	1185.40988	3.67939	9.85021
5.51778	56.73854	4.94273	4.78607	6.96062	38.28139	8.69267	1.00000	30.59227	75.31256	7.20585	7.12199	8.75172	8.51391	15.87735	1159.90440	0.48815	7.46423
8.86620	36.48207	32.57756	7.90117	7.22208	56.59455	9.93776	1.00000	11.99632	62.74704	8.01277	8.15386	8.17329	7.49962	71.52847	1121.17251	1.16901	5.93372
6.13356	44.82513	55.82885	5.53680	6.13130	38.18151	7.67556	1.00000	34.31233	65.94611	6.94546	8.13476	6.09985	6.78645	-4.21376	1075.41968	0.21950	9.11112
10.66858	63.78027	53.59337	9.72064	8.83051	47.21639	9.52156	0.00000	3.39983	52.39970	8.55656	9.86482	8.78685	8.81725	9.47629	1069.56737	5.79973	8.87975
7.84692	24.47038	-28.44917	9.32914	7.06731	47.27593		0.00000	17.37400	61.31138	3.63109	7.22244	8.52738	8.07908	-52.2	1052.25647	0.57967	5.10019
6.34608	35.79580	10.13361	3.91378	7.06108	64.23082	7.18861	1.00000	22.30762	54.18487	9.30784	9.99299	9.45317	7.64498	124.84472	1112.06417	0.21810	6.98327
8.61250	55.01485	-8.05389	9.22184	6.20964	55.00468	6.40950	0.00000	29.05102	62.00569	4.96072	6.60606	9.51996	7.77819	-34.88111	1189.57754	1.01273	7.03285
9.37574	38.08389	23.5654	10.50205	6.81469	22.79619	9.29718		21.30131	77.64397	10.62247	8.01144	3.91979	7.20961	119.58627	1188.73217	1.68668	7.98642
9.28792	32.73754	27.76056	9.50300	8.68432	33.53959	8.28733	0.00000	23.07306	62.56000	4.85745	8.81735	9.42856	7.74968	-15.58602	1166.14423	1.61382	8.90579
8.96182	46.73495	3.3285	8.82389	6.54141	24.42490	9.73618	0.00000	13.85970	56.97983	6.46030	7.71183	8.68350	7.81771	99.1625	1122.13046	1.26296	9.43462
8.99620	38.80465	36.6009	6.91932	8.84501	45.54487	7.56545	0.00000	19.18414	63.92848	7.95982	7.00504	7.27078	8.00128	126.665	1149.62722	1.24513	5.18253
8.13141	58.59868	68.79833	5.64787	8.33228	43.29357	3.92287	1.00000	34.84162	68.35568	8.01710	5.17021	4.80002	7.12386	16.54165	1190.78101	0.59771	8.55435
6.90975	43.77862	55.67938	10.32240	8.04055	46.10104	8.25616	1.00000	6.02833	77.15390	11.64317	8.58855	4.08700	7.78287	12.53463	1118.89660	0.26627	7.53424
8.14497	46.59549	0.76755	7.53187	8.54821	55.13157	8.39597	1.00000	10.23005	54.48360	8.13876	7.06711	9.15635	7.23558	24.43973	1068.33797	0.66781	4.66637
8.52584	47.90968	10.66668	8.15426	8.35413	47.27056	9.63901	1.00000	13.45891	73.59348	9.57606	6.57498	8.04826	8.80186	-61.51889	1157.55764	0.83259	4.41753
9.16166	54.14603	43.91452	11.03411	8.97544	51.30560	3.91044	0.00000	14.44872	64.95569	4.82577	7.27449	10.00941	7.18969	-69.96533	1071.68622	1.37637	10.18098
9.44465	33.48275	25.66795	9.58895	8.73965	49.34699	7.73294	1.00000	11.41777	62.84846	7.69753	8.37430	6.78329	8.17364	85.83636	1083.96378	1.88653	7.61597
9.35101	58.67793	56.56317	8.19428	6.41654	51.21855	10.14929	1.00000	7.13348	67.29830	9.05837	7.54745	8.02360	6.94221	-2.58736	1194.20216	1.55199	4.80105
12.17201	69.17900	37.74615	10.60889	8.30666	37.59873	6.75374	0.00000	24.49973	69.04989	6.35156	8.79412	11.67880	9.74043	-25.66689	1068.12082	25.58095	8.54628
9.10682	67.56300	43.32686	7.40394	8.61586	52.57550	10.77063	0.00000	15.07323	56.57199	8.28173		7.80245	10.05683	-2.98884	1122.18231	1.36950	8.88489
6.03057	54.77361	44.89784	6.67513	6.71598	21.51810	7.74157	1.00000	9.63737	57.62676	6.59540	7.83391	7.44371	6.90152	8.86374	1193.16955	0.28260	7.10540
5.72845	51.94266	51.19139	6.24889	8.47700	34.52647	7.79749	1.00000	30.10274	55.48309	5.84263		6.95664	7.35572	6.51352	1095.26403	0.32869	
9.83218	48.32784	-34.88422	9.51023	8.34731	53.83304	11.05745	1.00000	8.96594	68.52871	9.22636	7.55829	7.50907	9.58156	150.60036	1126.81238	2.72742	5.48796
9.34064	52.54343	-21.41222	10.26209	5.82552	30.05021	7.52151	0.00000	5.57130	69.75245	4.85104	7.21783	10.51218	6.73652	-42.19667	1101.01913	1.68950	6.21919
7.85547	61.90423	-17.83333	10.52219	8.40987	53.09928	9.51353	1.00000	9.38890	60.00223	11.94621	8.77707	6.70763	7.79318	48.41667	1123.84762	0.53967	4.22358
7.32221	66.33916	12.18441	7.46246	6.53247	52.20475	5.54404	0.00000	5.75609	74.16389	4.05609	8.38221	9.11204	9.12487	18.69303	1070.87956	0.51174	9.17315
9.02412	48.39541	47.48444	10.37325	9.37087	46.29497	9.25739	0.00000	31.83313	85.46388	5.04014	8.33210	10.28313	7.35187	36.25361	1138.29646	1.22713	9.45603
10.27653	39.86462	37.16911	8.77709	6.63447	24.58079	10.21908	1.00000	17.48590	66.80229	7.12884	6.57027	8.46568	6.88761	10.03478	1181.24724	3.97101	6.29719
7.52551	40.91954	43.91452	6.85604	7.94730	50.54071	4.44233	1.00000	-0.15091	70.73448	6.35578	7.13724	6.46247	8.96909	-69.96533	1183.07083	0.60462	8.03268
8.55179	41.92750	33.52253	8.10964	7.72869	39.56986	8.24383	1.00000	-0.14718	64.31402	9.06575	9.12247	7.90097	9.09038	-117.70755	1156.80314	0.89580	4.88491
6.01593	62.98200	53.95278	6.25920	8.55295	42.80628	7.03313	1.00000	31.39984	75.07283	6.38078	7.17755	8.95673	8.50406	32.86389	1137.46964	0.13591	9.48158
9.64903	52.36882	52.53048	9.76107	8.32249	46.33748	8.72467	1.00000	11.40044	50.68714	9.40704	7.02352	5.49087	6.40782	13.29371	1132.15260	2.21259	7.19790
8.05683	16.82865	-6.91806	9.45681	5.57988	72.21996	6.26583	0.00000	-8.07791	59.97323	5.47397	5.34832	9.23704	5.72768	106.92667	1093.04760	0.59346	5.09746
5.73966	35.97842	50.80019	3.74054	6.70342	33.17267	7.86841	1.00000	-3.98783	61.47698	6.21658	9.16711	8.33935	7.83142	7.20769	1178.64762	0.23037	12.26898
8.75048	40.05851	49.97704	9.11022	7.40936	56.83914	7.81573	1.00000	17.95923	67.82192	9.64263	8.20596	5.42005	8.61989	9.15214	1127.70921	1.02976	7.06299
11.77363	45.12260	55.25	9.71816	7.68477	77.94962	11.51502	0.00000	12.39894	66.99821	9.19979	6.19064	8.90872	8.19390	24.75	1058.97580	17.22768	9.98821
7.93578	58.61932	10.13361	9.37048	9.41179	57.30409	9.57051	0.00000	6.98016	54.65134	6.26639	8.65696	8.22564	8.05203	124.84472	1152.78932	0.58848	8.70316
9.33722	50.80944	12.74409	8.88840	6.89652	47.88741	10.64744	1.00000	3.51921	64.13582	9.54660	7.63700	7.90660	6.22424	-8.07257	1081.88635	1.73272	4.66384
10.09177	35.70762	32.54278	9.44774	7.94428	41.67260	9.22411	1.00000	17.20089	66.94338	7.14374	8.34144	7.63435	7.83269	111.50861	1097.86977	3.37218	7.27711
9.15763	49.34041	31.82539	8.02245	11.27728	46.49906	7.81767	1.00000	27.31409	56.12206	7.88069	7.83246	6.37361	7.93829	72.54064	1190.21096	1.39248	7.54054
6.54526	49.03178	40.68066	5.78216	8.34545	38.55468	7.04994	1.00000	16.37171	79.24343	8.30837	9.16087	6.35090	7.78309	-73.47429	1124.55339	0.34815	7.12568
7.89284	33.07213	48.77644	6.82290	7.47256	40.33921	4.68003	1.00000	28.26722	59.90802	7.45235	9.01058	4.05418	7.83000	2.29026	1125.90173	0.56549	7.74471
11.80261	38.28495	48.77644	8.45557	8.86793	60.07542	11.63267	1.00000	30.13833	65.09494	8.02241	10.08425	7.36935	9.12792	2.29026	1090.62251	17.91391	5.94730
10.61222	27.54860	8.56697	8.71369	7.66154	53.80788	8.65059	0.00000	16.88401	61.73386	6.42696	7.47776	9.58136	6.22575	123.33471	1081.73058	5.37060	8.70190
9.48285	44.25107	-33.38056	11.17172	8.56976	62.23819	10.35595	1.00000	2.52897	58.25824	9.92934	8.33215	5.64003	7.17421	-56.52361	1158.99628	1.92544	7.25032
9.94547	48.44075	53.49389	7.42493	7.45782	40.45492	8.45923	1.00000	-8.49433	66.05881	6.65833	9.35811	7.44889	6.68056	-1.29243	1151.92219	2.99656	7.36985
6.57497	43.77003	23.02677	6.75421	8.07547	32.01770	6.41651		-2.02086	66.36332	6.76025	7.92864	7.86636	10.13120	113.13148	1063.20037	0.31762	8.24474
9.09591	49.70641	-4.83	6.66369	7.08799	54.31953	9.02616	0.00000	24.56648	59.22689	6.32301	6.97915	7.67739	9.26633	29.65806	1076.86462	1.42697	5.22143
9.50442	63.81975	36.06523	8.34965	8.65490	38.57297	9.07049	1.00000	10.80550	73.47745	7.72293	6.58076	7.77569	7.92207	-119.01677	1168.73619	1.88519	6.34554
10.40071	36.57326	53.49389	10.93129	7.33958		6.35178	0.00000	25.23640	79.09963	5.95639	8.37143	10.75183	7.26665	-1.29243	1106.79853	4.52134	8.33428
9.39004	55.97360	33.78333	8.50987	6.50763	69.78025	9.01022	1.00000	19.34039	68.98995	8.67422	7.18268	5.96791	6.25350	114.51667	1112.23719	1.77322	7.27796
11.12027	57.31533	38.13708	9.77752	7.78755	43.83045	8.23283	1.00000	-12.03475	47.09119	7.32558	8.98087	10.48547	9.25657	41.00817	1153.80057	9.07457	8.09376
6.26439	46.78527	35.74788	10.32336	7.33421	38.35723	5.84076	1.00000	13.33478	65.48658	3.31139	7.38928	7.45568	6.97421	-95.36969	1186.91849	0.13231	9.58645
9.22126	29.99571	43.50891	9.78713	7.02144	29.64645	7.67717	1.00000	24.12349	67.99852	9.01082	7.39352	6.11693	8.06765	16.43915	1184.82686	1.54615	6.99180
10.79935	54.49265	-36.9256	12.29097	8.70984	67.43699	6.59835	0.00000	16.69430	50.79141	4.45879	8.20408	13.23316	7.29969	-73.02841	1196.16576	6.59434	8.13723
8.86549	52.79177	22.19303	11.89230	7.72266	54.26566	8.06690	1.00000	26.67866	70.00008	10.89994	7.29380	4.07400	8.01138	88.18466	1100.59712	1.14034	7.90265
5.97185	46.07952	53.38333	6.03367	7.66834	45.98798	7.78633	1.00000	7.76175	68.58194	6.61548	8.86878	6.31406	7.44912	-0.76667	1146.69850	0.26563	9.36679
8.85009	61.10371	34.95303	9.30492	7.91096	50.76748	8.31861	1.00000	1.23981	56.33400	7.95874	9.10758	7.20401	6.98948	-120.43572	1179.95849	1.15622	7.17689
10.44790	66.63739	37.65639	9.34425	7.07409	57.44841	12.18938	1.00000	19.79492	69.13141	9.65661	6.60579		6.75659	126.835	1170.78030	4.73555	5.85242
8.98593	36.79768	48.98693	9.70833	8.58529	24.49288	8.79383	1.00000	18.64880	58.57003	8.90357	9.19447	6.07529	8.57136	2.44892	1058.86858	1.30056	7.46859
6.87528	57.09778	51.955	6.33381	7.46888	77.08055	5.92157	1.00000	36.83515	49.49443	8.47011	6.73424	6.97869	8.43248	5.22778	1063.50842	0.32136	9.06053
7.06676	38.12739	36.06523	7.20640	7.39102	45.17030	5.90798	1.00000	-1.83231	55.87402	7.89245	8.53489	4.98363	8.78564	-119.01677	1143.77790	0.39270	7.55103
6.56226	50.91086	44.75874	6.08511	8.49152	40.21224	6.43376	1.00000	19.07344	68.83408	5.74846	7.78271	7.24157	8.62673	19.21437	1051.18629	0.36307	10.13080
9.38720		50.8	10.17593	8.65658	46.79954	11.57798	1.00000	23.55317	79.83619	10.87997	8.23922	7.05402	8.71441	3.16667	1117.69240	1.68400	4.61010
7.41356	67.86413	-38.16604	6.38768	8.56520	49.39280	5.54441	1.00000		66.47264	7.43304	9.61463	5.31128	7.14663	145.13643	1066.44768	0.43613	5.62959
9.52674	51.19616	45.78071	8.90500	8.32144	66.86258	8.36862	0.00000	10.75553	73.94254	8.50346	8.55994	10.19038	7.70793	12.84052	1158.10054	2.07385	6.98597
6.12158	32.77129	14.46693	5.98261	8.58972	64.38493	7.29013	1.00000	1.02997	75.00212	5.91774	9.27499	5.83804	5.36995	75.92694	1182.26225	0.24348	10.45418
4.90439	46.06523	60.02427	8.37042	7.98173	63.91509	9.59821	1.00000	34.68877	61.03624	4.89980	6.77484	5.83693	8.23177	30.28491	1108.70291	0.12537	8.98596
8.15574	45.16537	-31.4488	9.30972	5.43267	53.36369	7.81716	1.00000	26.41205	51.14422	9.81377	5.71350	6.75060	7.47277	-60.93173	1153.24383	0.62297	5.82066
5.80122	44.73141	0.03813	6.43811	6.88658	57.85505	4.35579	0.00000	11.94632	54.57447	5.54219	8.80599	5.46391	9.36735	36.36339	1164.51706	0.25237	4.39697
8.81038	60.98709	64.5635	8.34075	9.83406	40.90963	6.50422	0.00000	7.92408	69.74610	6.40852	6.63132	8.37029	6.65349	39.8302	1154.28816	1.01897	6.20571
9.49164	53.94913	43.41949	9.70738	7.17605	59.11939	8.88867	1.00000	18.08594	72.87205	9.36172	9.93623	5.00472	8.31751	77.0202	1157.93709	1.82876	7.90228
5.94418	40.56526	10.29085	5.02163	6.74017	60.47881	8.04130	1.00000	12.25042	59.40210	4.82180	6.92002	6.86430	8.86802	105.75635	1067.37567	0.23223	6.78932
7.42384	48.19403	13.44581	8.67340	7.82126	16.08048	9.85612	0.00000	3.80124	71.69413	6.07114	8.22874	8.35527	8.49560	101.18445	1053.77772	0.52118	9.31544
8.82357	42.99861	42.4251	9.18364	7.94729	53.65260	8.32423	1.00000	5.60187	66.86901	10.25070	8.13532	6.08422	8.12968	-71.06616	1157.24687	1.16927	5.77185
8.19235	45.84704	-31.25033	7.10002	8.14035	42.46712	5.66347	0.00000	5.57561	64.41304	6.17230	7.03649	6.30480	8.65972	-61.4867	1141.26879	0.60900	5.78002
9.63920	36.57661	-11.94306	7.76827	6.29199	36.51657	8.54715	0.00000	15.86523	62.20263	7.28939	7.23041	8.40760	7.05977	-76.70944	1085.26290	2.25763	6.21702
8.31789	38.44066	53.53395	8.79294	6.09045	51.80188	7.05251	1.00000	1.70270	57.87026	8.83385	8.82369	6.45416	6.71065	33.72798	1098.76732	0.73890	6.83511
8.80447	57.73352	41.6764	8.10182	7.05947	49.71855	6.53923	0.00000		70.85801	5.47230	7.47295	7.45328	7.85657	-91.58045	1173.12511	1.03344	5.11062
8.57181	50.76246	10.29085	8.22229	9.10041	65.17194	6.85700	0.00000	10.29294	74.67927	5.41396	6.39110	8.10646	8.70933	105.75635	1140.04486	0.89936	4.44735
10.10021	30.43489	40.70995	8.56215	7.65544	34.93253	12.64652	1.00000	8.14234	64.66778	7.22354	8.38045	8.61487	7.99689	0.57856	1156.41922	3.48031	10.29812
11.75494	34.78029	34.09668	10.48911	7.16539	72.01284	8.51520	0.00000	23.23965	64.64642	7.46030	9.22299	10.76784	6.50074	-117.71978	1194.35716	16.94243	8.51311
10.45885	60.19305	43.11667	7.05633	8.81906	45.42105	9.18227	1.00000	15.34415	72.29856	6.31739	8.86977	10.10207	6.91220	1.6	1193.75700	4.73719	4.68293
9.98235	63.28444	33.08014	9.93553	6.29266	26.19762	5.23475	0.00000	10.27432	69.67078	8.04788	6.87945	9.33846	7.62273	-83.2321	1154.52399	3.07063	8.91339
7.62982	34.75154	33.86419	5.53931	6.04767	54.98150	4.97329	1.00000	-4.22305	63.97608	8.60020	8.11066	5.59774	7.01383	48.26258	1187.35112	0.40026	9.99747
6.24753	32.57557	50.5107	6.38346	6.87304	22.93457	7.63003	1.00000	35.96548	63.86307	6.60222	9.62261	4.58787	5.84945	18.30056	1108.24418	0.28913	8.01136
7.12682	25.44840	40.67705	7.09338	8.34040	28.02038	6.10399	1.00000	12.85681	75.21042	7.61319	8.21579	4.33817	8.02974	-73.89125	1114.47476	0.39397	6.79086
8.63121	61.40539	33.72255	8.29984	5.78075	40.44697	9.05850	1.00000	24.50320	77.82187	8.08165	7.72629	7.42539	8.11464	-116.37697	1147.02855	0.88878	6.65973
	30.98195	36.20389	8.09684	8.79592	61.62815	6.26361	0.00000	32.43223	79.60388	8.75481	7.61821	8.74841	5.87236	127.08472	1107.81378	1.25999	7.00119
8.11546	55.00030	6.45407	9.07551	9.31239	50.13125	7.70385	1.00000	16.54867	59.98978	8.97027	8.79984	5.54062	7.66016	3.39467	1185.27553	0.78532	7.92479
5.81911	44.57098	36.21544	5.94600	8.13171	74.38317	8.40163	1.00000	6.09445	63.21640	7.01116	7.74455	6.31888	9.01179	65.93249	1198.13149	0.30518	8.84791
9.20171	65.87113	44.85278	10.48057	7.84381	29.26020	4.39881	0.00000	16.44555	67.24000	4.99963	7.79394	9.29262	8.42391	65.50917	1128.24314	1.45437	7.61410
5.05565	40.86962	37.49223	6.30910	7.54236	27.46923	8.81512	1.00000	-1.72017	60.14887	4.55813	7.84180	9.03700	7.37191	15.07041	1187.92520	0.18324	9.80453
9.19942	41.41696	37.65639	9.37665	5.10361	60.12752	8.28672	1.00000	29.84365	67.50039	8.36746	6.07199	7.15764		126.835	1134.64417	1.44232	6.62529
9.81844	52.88885	43.11667	7.27803	6.56079	38.01513	12.36021	0.00000	8.93577	64.07483	5.67760	8.67170	9.37835	6.74922	1.6	1165.68973	2.52758	10.76567
7.15139	37.98477	34.9	8.67890	9.19053	48.32586	5.37671	1.00000	16.70037	78.03280	6.74704	9.24548	4.31171	6.75880	137.5	1181.92754	0.42544	8.46443
8.72195	37.31734	-21.44345	8.58209	9.41214	40.30999	7.45955	1.00000		57.01356	8.51275	7.53675	6.84902	6.92768	-65.71875	1055.35920	1.05590	6.62873
