latitude	revision	location	longitude	code	QoS
29.53885	15 Dec 2015	America/Chicago	-95.44744	US	excellent
17.06542	26 Apr 2013	America/Mexico_City	-96.72365	MX	building
43.48961	2020-11-23	Europe/Madrid	-8.2194	ES	accep
42.4251	07/15/2020, 00:00:00	America/New_York	-71.06616	US	average
36.06523	10 Apr 2019	America/Los_Angeles	-119.01677	US	accep
37.35813	04/09/2018, 00:00:00	Europe/Madrid	-6.03731	ES	average
18.57677	07/04/2014, 00:00:00	America/Port-au-Prince	-72.22625	HT	excellent
51.35084	31 Jan 2016	Europe/London	-1.99421	GB	excellent
56.11281	22 Oct 2013	Asia/Yekaterinburg	69.49015	RU	building
32.52515	07/30/2020, 00:00:00	America/Chicago	-93.75018	US	excellent
36.75965	2020-06-28	Asia/Tokyo	137.36215	JP	excellent
49.03685	2022-07-26	Europe/Berlin	8.70745	DE	accep
40.81	2017-12-16	America/New_York	-73.9625	US	good
32.5007	07/08/2021, 00:00:00	America/Chicago	-94.74049	US	good
36.20829	2021/10/31	America/Los_Angeles	-115.98391	US	excellent
11.00599	08/13/2018, 00:00:00	Asia/Kolkata	77.5609	IN	building
51.39323	07 Aug 2020	Europe/London	0.47713	GB	good
51.955	2017/12/06	Europe/Amsterdam	5.22778	NL	accep
51.65	2017-11-25	Europe/London	-0.2	GB	excellent
-6.91806	2021-06-26	Asia/Jakarta	106.92667	ID	excellent
41.29444	07/19/2014, 00:00:00	Asia/Tashkent	69.67639	UZ	excellent
-10.33333	01 Jul 2016	Africa/Dar_es_Salaam	39.28333	TZ	accep
31.76212	2017-08-25	America/Chicago	-95.63079	US	excellent
-1.6	2013/04/06	Asia/Jakarta	103.61667	ID	average
-25.42944	04/03/2019, 00:00:00	America/Sao_Paulo	-50.00639	BR	average
49.88307	2021/05/29	America/Vancouver	-119.48568	CA	accep
31.76212	29 Oct 2019	America/Chicago	-95.63079	US	average
35.74788	2018/04/29	America/Chicago	-95.36969	US	excellent
-33.59217	29 Nov 2015	America/Santiago	-70.6996	CL	excellent
38.47917	19 Jun 2021	Europe/Madrid	-1.325	ES	good
41.9001	2021/04/12	America/New_York	-71.08977	US	average
27.76056	05/15/2022, 00:00:00	Atlantic/Canary	-15.58602	ES	good
48.98693	01 Mar 2013	Europe/Paris	2.44892	FR	maintenance
56.56317	05 Feb 2017	Europe/London	-2.58736	GB	good
11.12018	09/10/2013, 00:00:00	Asia/Kolkata	76.11996	IN	excellent
33.95015	2018/05/03	America/Los_Angeles	-118.03917	US	good
6.45407	07 Aug 2013	Africa/Lagos	3.39467	NG	excellent
37.65639	06/27/2015, 00:00:00	Asia/Seoul	126.835	KR	building
6.46346	2022/08/10	Africa/Accra	-2.31938	GH	building
46.08333	02/28/2014, 00:00:00	Asia/Shanghai	122.08333	CN	good
51.38673	08/01/2021, 00:00:00	Europe/London	0.30367	GB	maintenance
-2.90055	2013-09-21	America/Guayaquil	-79.00453	EC	accep
41.66394	2015-10-01	America/New_York	-83.55521	US	maintenance
-23.7975	2022/03/01	America/Sao_Paulo	-48.59278	BR	good
23.02677	2014-10-02	Asia/Shanghai	113.13148	CN	good
33.50921	2015/03/12	America/Phoenix	-111.89903	US	maintenance
49.88307	01/16/2015, 00:00:00	America/Vancouver	-119.48568	CA	maintenance
-33.75881	2013-10-28	Australia/Sydney	150.99292	AU	good
47.80527	12 May 2022	America/Los_Angeles	-122.24064	US	accep
20.74122	04 Aug 2016	America/Mexico_City	-100.44843	MX	maintenance
45.0408	2016-08-11	America/Chicago	-93.263	US	maintenance
47.48444	2020-05-23	Europe/Zaporozhye	36.25361	UA	building
38.68712	2013/08/02	Europe/Madrid	-4.10734	ES	accep
51.62907	18 Mar 2014	Europe/London	-0.74934	GB	building
42.50729	27 Aug 2021	Europe/Andorra	1.53414	AD	building
30.81383	2018-12-29	Asia/Kolkata	75.16878	IN	building
3.31332	2021/09/18	Asia/Makassar	117.59152	ID	excellent
5.20856	10 Mar 2016	America/Bogota	-74.73584	CO	accep
48.52961	2020-04-05	Europe/Berlin	12.16179	DE	accep
22.98212	2015/02/10	America/Havana	-80.58556	CU	good
33.50921	09/22/2021, 00:00:00	America/Phoenix	-111.89903	US	good
42.24113	03/15/2015, 00:00:00	America/Chicago	-88.3162	US	average
53.19146	2018-07-26	Europe/London	-2.52398	GB	average
40.66482	29 Apr 2019	Asia/Shanghai	122.22833	CN	good
37.65181	2021/11/11	Asia/Shanghai	120.33063	CN	excellent
42.93369	06 Mar 2017	America/New_York	-72.27814	US	building
53.53333	2015-05-30	Europe/Dublin	-7.35	IE	average
-31.25033	10/29/2015, 00:00:00	America/Argentina/Cordoba	-61.4867	AR	excellent
11.86064	2013-05-30	Africa/Lagos	9.0027	NG	average
18.87813	2022-05-20	Asia/Kolkata	72.93924	IN	excellent
48.35149	14 Mar 2016	Europe/Berlin	8.96317	DE	average
25.13915	05/01/2016, 00:00:00	Asia/Kolkata	73.06784	IN	accep
53.53333	05/12/2019, 00:00:00	Europe/Dublin	-7.35	IE	building
10.13361	2022/08/25	Asia/Manila	124.84472	PH	maintenance
42.22718	2021-05-06	Europe/Rome	14.39024	IT	accep
37.49073	2016/11/04	Europe/Madrid	-2.77259	ES	excellent
54.90083	16 Nov 2017	Europe/Moscow	38.07083	RU	average
42.7	2021/03/19	Europe/Sofia	27.25	BG	maintenance
-2.90055	2015-01-11	America/Guayaquil	-79.00453	EC	average
45.79377	2021/05/16	Europe/Rome	8.88104	IT	accep
41.85059	2014-01-11	America/Chicago	-87.882	US	good
37.49223	30 May 2022	Europe/Rome	15.07041	IT	good
38.40917	11/09/2020, 00:00:00	Asia/Shanghai	112.73333	CN	accep
6.25947	01/01/2016, 00:00:00	Asia/Bangkok	102.05461	TH	excellent
-1.26753	05/02/2014, 00:00:00	Asia/Makassar	116.82887	ID	accep
11.93381	2014/09/22	Asia/Kolkata	79.82979	IN	building
-21.44345	10/14/2015, 00:00:00	America/La_Paz	-65.71875	BO	average
5.4709	06 Feb 2021	Asia/Kuala_Lumpur	100.24529	MY	accep
31.78336	2020-07-05	Asia/Hebron	35.23388	PS	good
-25.42944	2022-05-03	America/Sao_Paulo	-50.00639	BR	good
36.08497	2015/10/16	Africa/Tunis	9.37082	TN	excellent
48.15659	01/08/2020, 00:00:00	Europe/Chisinau	28.28489	MD	maintenance
53.53041	21 Dec 2021	Europe/Moscow	43.67663	RU	good
20.88953	2019-09-17	Pacific/Honolulu	-156.47432	US	good
18.57677	2016/05/01	America/Port-au-Prince	-72.22625	HT	excellent
36.92574	03 Nov 2014	Europe/Rome	14.72443	IT	average
55.54028	2013/06/07	Asia/Krasnoyarsk	89.20083	RU	maintenance
23.9028	2021/11/22	Asia/Dhaka	89.11943	BD	building
25.75728	2013-10-22	Asia/Kolkata	75.37991	IN	average
31.82539	09/03/2014, 00:00:00	Asia/Karachi	72.54064	PK	accep
61.78491	2016/11/07	Europe/Moscow	34.34691	RU	maintenance
42.8139	2019/09/28	Europe/Madrid	-1.64295	ES	accep
41.72063	2017/07/24	Europe/Rome	12.6723	IT	accep
34.95303	04 Dec 2013	America/Los_Angeles	-120.43572	US	good
47.38093	2014-04-04	America/Los_Angeles	-122.23484	US	accep
53.81667	2017-07-04	Europe/London	-3.05	GB	average
43.41949	2021-03-12	Asia/Almaty	77.0202	KZ	good
-38.16604	10 Dec 2015	Australia/Melbourne	145.13643	AU	accep
40.65538	08/22/2021, 00:00:00	America/New_York	-74.38987	US	accep
46.09273	2017/12/23	America/Menominee	-88.64235	US	maintenance
8.56697	2020/03/14	Asia/Manila	123.33471	PH	good
42.7	04 Apr 2015	Europe/Sofia	27.25	BG	average
44.80477	06 Apr 2022	Europe/Paris	-0.59543	FR	good
21.28306	2015/12/08	America/Merida	-89.66123	MX	good
15.45144	2022/04/10	Asia/Kolkata	78.14797	IN	good
51.65333	2017/09/29	Europe/Amsterdam	5.2875	NL	accep
41.91886	03/24/2015, 00:00:00	Europe/Paris	8.73812	FR	average
30.81383	11/25/2017, 00:00:00	Asia/Kolkata	75.16878	IN	good
34.9	03 Jan 2019	Asia/Tokyo	137.5	JP	good
23.15678	2019-10-08	America/Havana	-81.24441	CU	excellent
38.68712	04/25/2015, 00:00:00	Europe/Madrid	-4.10734	ES	excellent
43.78956	2013/11/11	Europe/Rome	7.60872	IT	excellent
65.84811	2015-07-01	Europe/Helsinki	24.14662	FI	average
-4.42472	2019/02/14	America/Fortaleza	-41.45861	BR	accep
4.02219	12/14/2020, 00:00:00	Asia/Kuala_Lumpur	101.02083	MY	average
43.91452	2020-01-18	America/New_York	-69.96533	US	accep
60.02427	2021-11-25	Europe/Moscow	30.28491	RU	accep
36.75965	11/27/2014, 00:00:00	Asia/Tokyo	137.36215	JP	good
29.69221	2012/10/17	Asia/Karachi	72.54566	PK	good
53.53395	2013-04-14	Europe/Moscow	33.72798	RU	maintenance
52.41667	2021/11/18	Europe/London	0.75	GB	accep
41.77583	02/22/2013, 00:00:00	Asia/Tokyo	140.73667	JP	average
51.03427	2017/07/21	Europe/Brussels	5.37429	BE	good
6.03333	2019-05-23	Africa/Addis_Ababa	37.55	ET	excellent
42.06166	2021-12-14	Europe/Madrid	-1.60452	ES	maintenance
6.46838	10/26/2017, 00:00:00	America/Bogota	-73.26022	CO	excellent
51.30001	2013-07-02	Europe/Berlin	13.10984	DE	building
40.67705	2017-02-22	America/New_York	-73.89125	US	good
25.75728	10/10/2015, 00:00:00	Asia/Kolkata	75.37991	IN	good
32.55531	2022/09/09	Asia/Kolkata	76.12647	IN	good
27.76056	06 May 2017	Atlantic/Canary	-15.58602	ES	average
-33.38056	2020-10-01	America/Montevideo	-56.52361	UY	excellent
31.20176	01/11/2022, 00:00:00	Africa/Cairo	29.91582	EG	average
52.71083	03 Mar 2019	Europe/Amsterdam	5.74861	NL	accep
46.18396	06/14/2013, 00:00:00	Europe/Zurich	6.10237	CH	building
-20.88231	12/10/2014, 00:00:00	Indian/Reunion	55.4504	RE	excellent
18.18158	2017-09-25	Asia/Kolkata	76.03889	IN	maintenance
-34.74785	2012/12/22	America/Argentina/Buenos_Aires	-58.70072	AR	accep
53.93361	2021-08-25	Europe/Moscow	37.92792	RU	good
42.819	2013/08/26	Europe/Moscow	47.1192	RU	accep
20.14298	31 Mar 2015	America/Havana	-77.43532	CU	excellent
45.53069	2020/06/11	Europe/Rome	9.40531	IT	excellent
27.09978	2018/06/25	America/New_York	-82.45426	US	maintenance
25.66795	23 May 2014	Asia/Kolkata	85.83636	IN	average
27.9247	2013/04/26	Asia/Kolkata	78.40102	IN	building
47.56494	2018-05-21	Europe/Kiev	31.33078	UA	maintenance
36.82167	2015/11/26	Asia/Seoul	128.63083	KR	excellent
-3.74912	2021-01-01	America/Lima	-73.25383	PE	excellent
45.35	04 Jul 2018	Asia/Shanghai	126.28333	CN	accep
51.67822	07/02/2018, 00:00:00	Europe/Kiev	33.9162	UA	building
35.88264	12/01/2018, 00:00:00	America/New_York	-80.08199	US	average
0.76755	2020/06/28	Africa/Lubumbashi	24.43973	CD	building
51.39323	2016-07-09	Europe/London	0.47713	GB	average
8.56697	06 Jul 2022	Asia/Manila	123.33471	PH	excellent
53.49389	2021/05/20	Europe/London	-1.29243	GB	good
51.64316	10 Aug 2022	Europe/London	-0.36053	GB	excellent
50.20528	28 Jan 2021	Europe/Warsaw	19.27498	PL	accep
60.02427	2013-06-02	Europe/Moscow	30.28491	RU	accep
35.88264	2021-05-11	America/New_York	-80.08199	US	average
51.24197	08/24/2018, 00:00:00	Europe/Brussels	4.82313	BE	accep
-4.83	2016-04-26	Africa/Dar_es_Salaam	29.65806	TZ	average
46.09273	08/28/2016, 00:00:00	America/Menominee	-88.64235	US	accep
-22.97056	2019/07/08	America/Sao_Paulo	-46.99583	BR	accep
25.87972	2014/02/05	America/Matamoros	-97.50417	MX	good
6.33444	2014-06-07	Asia/Manila	124.95278	PH	average
36.06523	2019/05/30	America/Los_Angeles	-119.01677	US	good
20.88953	2018/04/26	Pacific/Honolulu	-156.47432	US	good
40.72586	2013/10/27	Europe/Rome	8.55552	IT	average
-36.9256	09/02/2015, 00:00:00	America/Santiago	-73.02841	CL	average
35.50056	07/27/2022, 00:00:00	Asia/Shanghai	117.63083	CN	accep
32.05971	17 Dec 2014	Asia/Jerusalem	34.8732	IL	good
42.06166	01/04/2018, 00:00:00	Europe/Madrid	-1.60452	ES	building
33.95015	05/03/2014, 00:00:00	America/Los_Angeles	-118.03917	US	good
10.29085	01/31/2014, 00:00:00	Asia/Ho_Chi_Minh	105.75635	VN	accep
-2.68333	2016-11-30	Africa/Dar_es_Salaam	33	TZ	maintenance
37.73222	08 Jul 2020	Asia/Shanghai	115.70111	CN	excellent
31.82539	2013-04-28	Asia/Karachi	72.54064	PK	average
27.85	2015/03/02	Asia/Shanghai	112.9	CN	maintenance
18.18158	01/21/2016, 00:00:00	Asia/Kolkata	76.03889	IN	average
35.21222	2021-11-30	Africa/Algiers	2.31889	DZ	excellent
37.19723	07/02/2020, 00:00:00	Asia/Shanghai	122.05228	CN	excellent
-8.76194	2017/04/30	America/Porto_Velho	-63.90389	BR	good
38.40917	05/25/2017, 00:00:00	Asia/Shanghai	112.73333	CN	average
32.55531	12/06/2021, 00:00:00	Asia/Kolkata	76.12647	IN	good
-4.83	27 Sep 2016	Africa/Dar_es_Salaam	29.65806	TZ	average
-31.95224	2020-04-17	Australia/Perth	115.8614	AU	building
-6.8	2017/04/11	Africa/Dar_es_Salaam	39.25	TZ	good
42.55308	08/04/2017, 00:00:00	America/Chicago	-87.93341	US	average
-8.99167	28 Jan 2021	Asia/Dili	125.21972	TL	maintenance
53.63333	24 Jul 2016	Europe/Berlin	9.85	DE	good
3.31332	2019/05/03	Asia/Makassar	117.59152	ID	building
-11.94306	2017/05/01	America/Lima	-76.70944	PE	maintenance
45.44868	03/05/2019, 00:00:00	America/Toronto	-73.81669	CA	average
3.3285	19 Aug 2020	Asia/Jakarta	99.1625	ID	excellent
41.55947	04/14/2016, 00:00:00	Europe/Rome	14.66737	IT	good
51.19139	2014/10/04	Europe/Berlin	6.51352	DE	average
47.92526	2014/05/05	America/Chicago	-97.03285	US	building
55.25	2018/03/13	Europe/Vilnius	24.75	LT	maintenance
42	11 Mar 2013	Europe/Skopje	21.32778	MK	average
37.73222	11/27/2020, 00:00:00	Asia/Shanghai	115.70111	CN	accep
21.34222	26 Jun 2020	Asia/Kolkata	71.30633	IN	maintenance
40.34912	2013-07-06	America/Denver	-111.90466	US	good
65.84811	2018-12-05	Europe/Helsinki	24.14662	FI	good
19.8173	04 Jul 2014	America/Mexico_City	-97.35992	MX	accep
29.69221	2015-05-01	Asia/Karachi	72.54566	PK	accep
54.03876	27 May 2014	Europe/Moscow	43.91385	RU	good
38.13708	02/14/2013, 00:00:00	Europe/Istanbul	41.00817	TR	average
-22.92306	2013-03-04	America/Sao_Paulo	-53.13722	BR	accep
38.68712	2014/08/05	Europe/Madrid	-4.10734	ES	maintenance
42.64031	2018-06-03	Asia/Shanghai	125.51176	CN	good
33.7207	02 Aug 2016	America/Los_Angeles	-116.21677	US	accep
47.80527	2014/05/27	America/Los_Angeles	-122.24064	US	accep
40.64621	2018/08/19	America/New_York	-73.97069	US	good
39.96348	27 Jun 2016	Europe/Madrid	-4.83076	ES	excellent
26.76628	2013/10/01	Asia/Kolkata	83.36889	IN	good
49.03685	06/25/2013, 00:00:00	Europe/Berlin	8.70745	DE	average
49.65186	2021-06-19	Europe/Kiev	26.97253	UA	building
48.77644	04/06/2018, 00:00:00	Europe/Paris	2.29026	FR	excellent
-8.99167	2018-08-16	Asia/Dili	125.21972	TL	average
55.85	11/05/2018, 00:00:00	Europe/Moscow	37.56667	RU	excellent
39.00622	04/20/2015, 00:00:00	America/New_York	-77.4286	US	good
-6.91806	2018/04/04	Asia/Jakarta	106.92667	ID	good
26.32293	28 Jun 2013	Asia/Kolkata	91.00632	IN	maintenance
52.31333	06/06/2014, 00:00:00	Europe/Amsterdam	6.92917	NL	maintenance
-8.76194	09/08/2013, 00:00:00	America/Porto_Velho	-63.90389	BR	maintenance
53.7446	02/23/2022, 00:00:00	Europe/London	-0.33525	GB	excellent
37.65639	12/10/2014, 00:00:00	Asia/Seoul	126.835	KR	building
48.35693	2019/08/09	Europe/Berlin	10.98461	DE	average
-28.81833	26 Apr 2020	America/Sao_Paulo	-52.51028	BR	accep
51.24197	12/27/2013, 00:00:00	Europe/Brussels	4.82313	BE	building
40.87329	2017-05-17	Europe/Rome	14.43865	IT	good
-7.57897	07/11/2019, 00:00:00	Asia/Jakarta	112.23109	ID	accep
23.15678	03 May 2017	America/Havana	-81.24441	CU	good
40.24537	2019-10-24	America/New_York	-75.64963	US	building
42.4251	06/13/2021, 00:00:00	America/New_York	-71.06616	US	accep
41.72063	2016-01-09	Europe/Rome	12.6723	IT	accep
18.18158	29 May 2016	Asia/Kolkata	76.03889	IN	maintenance
34.8825	2012-12-24	Asia/Seoul	128.62667	KR	good
-38.16604	2013/02/28	Australia/Melbourne	145.13643	AU	average
10.58806	2013-11-18	Asia/Kolkata	77.24779	IN	accep
34.9	2017-10-04	Asia/Tokyo	137.5	JP	maintenance
13.70167	2020/09/14	America/El_Salvador	-89.10944	SV	good
44.22639	02 Jul 2020	Europe/Belgrade	22.53083	RS	maintenance
47.38093	2020-12-28	America/Los_Angeles	-122.23484	US	good
40.82232	2017-02-20	America/New_York	-74.15987	US	accep
-44.39672	2018-05-28	Pacific/Auckland	171.25364	NZ	excellent
37.16911	2017-07-16	Africa/Tunis	10.03478	TN	building
41.24264	2014-02-12	Europe/Rome	16.50104	IT	excellent
43.96222	01 Apr 2014	Europe/Moscow	43.63417	RU	building
55.8736	02/22/2016, 00:00:00	Asia/Novokuznetsk	85.4265	RU	excellent
33.08014	02/19/2015, 00:00:00	America/New_York	-83.2321	US	accep
49.97704	03 Dec 2020	Europe/Berlin	9.15214	DE	excellent
25.75728	2018/12/28	Asia/Kolkata	75.37991	IN	average
23.73333	2017/09/02	Asia/Shanghai	114.68333	CN	accep
41.94175	02/27/2022, 00:00:00	Asia/Shanghai	123.50266	CN	excellent
9.535	2015/09/27	Africa/Conakry	-13.68778	GN	excellent
39.96097	20 May 2015	America/New_York	-75.60804	US	average
48.49144	17 Jul 2014	Europe/Berlin	9.20427	DE	average
37.74615	05/19/2016, 00:00:00	Atlantic/Azores	-25.66689	PT	building
46.65581	15 Feb 2019	Europe/Kiev	32.6178	UA	building
40.66482	08 Jul 2016	Asia/Shanghai	122.22833	CN	excellent
36.91023	2012/11/24	America/Los_Angeles	-121.75689	US	average
29.84576	2021/07/23	America/Chicago	-90.10674	US	excellent
-12.91667	05 Nov 2019	America/Bahia	-39.25	BR	excellent
10.66668	28 Oct 2018	America/Port_of_Spain	-61.51889	TT	average
-19.32556	2014-05-16	America/Sao_Paulo	-41.25528	BR	average
42.7392	2013-10-24	America/Detroit	-84.62081	US	maintenance
42.8334	08/02/2020, 00:00:00	America/Toronto	-80.38297	CA	excellent
4.96667	26 Jan 2020	Africa/Douala	10.7	CM	good
-28.24	07/06/2014, 00:00:00	America/Sao_Paulo	-48.67028	BR	accep
48.79325	13 Aug 2016	Europe/Paris	2.29275	FR	excellent
40.11583	11/17/2012, 00:00:00	Asia/Samarkand	67.84222	UZ	average
-8.05389	12/12/2020, 00:00:00	America/Recife	-34.88111	BR	excellent
38.72706	10 Nov 2018	Europe/Lisbon	-9.24671	PT	average
0.49113	08 Jan 2014	Africa/Lubumbashi	29.47306	CD	average
4.88441	2018/08/20	Asia/Kuala_Lumpur	101.96857	MY	excellent
48.25	09/03/2021, 00:00:00	Europe/Vienna	16.4	AT	excellent
-8.05389	10/10/2013, 00:00:00	America/Recife	-34.88111	BR	good
48.79325	11/03/2015, 00:00:00	Europe/Paris	2.29275	FR	accep
36.76775	10/20/2017, 00:00:00	Africa/Algiers	2.95924	DZ	good
25.66795	12/04/2016, 00:00:00	Asia/Kolkata	85.83636	IN	building
41.55838	13 Aug 2016	America/New_York	-81.56929	US	average
43.78956	2017/07/30	Europe/Rome	7.60872	IT	building
27.92333	2012/10/19	Asia/Shanghai	118.53333	CN	accep
34.15429	2021-05-17	Africa/Algiers	3.50309	DZ	good
49.28669	2014/06/11	Europe/Paris	1.00288	FR	good
49.03685	2019/02/21	Europe/Berlin	8.70745	DE	average
52.71083	2021/03/19	Europe/Amsterdam	5.74861	NL	excellent
51.4781	07 Oct 2017	Asia/Yekaterinburg	57.3552	RU	good
-22.45667	2016/01/01	America/Sao_Paulo	-47.53028	BR	building
41.91738	2014/03/02	Europe/Madrid	3.1631	ES	excellent
48.79325	01/29/2018, 00:00:00	Europe/Paris	2.29275	FR	excellent
48.35149	15 Mar 2017	Europe/Berlin	8.96317	DE	average
40.55851	01/24/2018, 00:00:00	Europe/Rome	17.80774	IT	building
43.83125	2014/09/28	Europe/Paris	5.03586	FR	average
20.28527	10/31/2016, 00:00:00	America/Mexico_City	-103.42897	MX	accep
-4.5833	2020/09/14	Africa/Kinshasa	15.16554	CD	excellent
46.1351	06/23/2015, 00:00:00	America/Glace_Bay	-60.1831	CA	good
22.83957	01/13/2014, 00:00:00	Asia/Dhaka	91.84128	BD	accep
34.06635	2019-09-25	America/New_York	-84.67837	US	good
-1.9487	2017-01-05	Africa/Kigali	30.4347	RW	excellent
53.77166	01/27/2022, 00:00:00	Europe/Moscow	38.12408	RU	maintenance
47.05	2018-03-31	Europe/Vienna	15.46667	AT	excellent
38.47917	2018-02-10	Europe/Madrid	-1.325	ES	accep
-7.60361	2015-01-22	Africa/Dar_es_Salaam	37.00438	TZ	maintenance
47.46657	2019/10/09	Asia/Almaty	84.87144	KZ	average
12.97389	09/07/2017, 00:00:00	Asia/Manila	123.99333	PH	maintenance
31.20176	2016/05/06	Africa/Cairo	29.91582	EG	good
35.30889	2017-08-12	Asia/Tokyo	139.55028	JP	building
14.95472	07/10/2020, 00:00:00	Asia/Manila	120.89694	PH	average
47.64995	2017-09-09	America/Los_Angeles	-117.23991	US	accep
23.9028	2016-03-20	Asia/Dhaka	89.11943	BD	excellent
35.95664	02/19/2022, 00:00:00	Asia/Damascus	36.7138	SY	maintenance
41.47892	07/14/2020, 00:00:00	America/Chicago	-87.45476	US	building
45.99194	2021/03/29	Europe/Kiev	29.41824	UA	good
51.21187	2016-01-24	Europe/Brussels	4.25633	BE	good
-38.16604	2021-02-17	Australia/Melbourne	145.13643	AU	average
34.61667	2022/07/05	Asia/Tokyo	135.6	JP	building
20.88098	2019/06/09	Asia/Kolkata	75.11937	IN	maintenance
-17.83333	2019/05/25	Indian/Antananarivo	48.41667	MG	building
9.89206	29 Aug 2021	Africa/Mogadishu	43.38531	SO	average
36.20389	26 Apr 2013	Asia/Seoul	127.08472	KR	maintenance
27.9247	08/18/2019, 00:00:00	Asia/Kolkata	78.40102	IN	good
5.30383	2016/10/13	Africa/Accra	-1.98956	GH	excellent
54.52156	2016-08-30	Europe/Berlin	9.5586	DE	good
8.88649	2016-10-16	Africa/Porto-Novo	2.59753	BJ	excellent
50.23271	2015/08/25	Europe/Prague	12.87117	CZ	excellent
23.15678	2016-05-27	America/Havana	-81.24441	CU	maintenance
-20.25333	05/27/2019, 00:00:00	America/Sao_Paulo	-43.80139	BR	average
14.66	03 Mar 2019	Asia/Manila	120.56528	PH	excellent
50.23271	2019/04/16	Europe/Prague	12.87117	CZ	excellent
43.62558	04 May 2022	Europe/Rome	13.39954	IT	excellent
4.88441	02/27/2019, 00:00:00	Asia/Kuala_Lumpur	101.96857	MY	good
24.05979	2016/07/17	Asia/Kolkata	77.40858	IN	good
53.43333	2022-08-09	Europe/Dublin	-7.95	IE	accep
46.23899	09/04/2021, 00:00:00	America/Halifax	-63.13414	CA	average
36.82167	12/05/2014, 00:00:00	Asia/Seoul	128.63083	KR	accep
-23.85972	18 Mar 2014	Africa/Maputo	35.34722	MZ	good
18.51957	2021-07-10	Asia/Kolkata	73.85535	IN	excellent
33.72255	18 Jul 2021	America/Los_Angeles	-116.37697	US	good
32.17629	02 Sep 2015	Asia/Karachi	75.06583	PK	excellent
-7.73379	03 Apr 2020	Asia/Jakarta	113.69785	ID	good
42.28639	11/22/2018, 00:00:00	Europe/Podgorica	18.84	ME	excellent
1.6561	07/16/2020, 00:00:00	Asia/Kuala_Lumpur	103.6032	MY	maintenance
47.76232	2016/03/15	America/Los_Angeles	-122.2054	US	excellent
26.2173	2022/01/21	America/New_York	-80.22588	US	excellent
34.06635	05/26/2022, 00:00:00	America/New_York	-84.67837	US	average
44.89784	2020-05-09	Europe/Rome	8.86374	IT	good
49.41029	01 Jul 2014	Europe/Zaporozhye	38.15035	UA	excellent
