station	longitude	QoS	location	latitude	revision
Mokopane	29.00974	good	Africa/Johannesburg	-24.19436	2013/06/29
Sharypovo	89.20083	accep	Asia/Krasnoyarsk	55.54028	2018/04/16
Buynaksk	47.1192	excellent	Europe/Moscow	42.819	2018/07/07
Mechanicsville	-77.37331	excellent	America/New_York	37.60876	2022/05/04
New Yekepa	-8.53778	maintenance	Africa/Monrovia	7.57944	2021-08-04
Saratoga Springs	-111.90466	good	America/Denver	40.34912	07/12/2020, 00:00:00
Aberdeen	-2.09814	accep	Europe/London	57.14369	04/03/2022, 00:00:00
Skalica	17.22635	accep	Europe/Bratislava	48.8449	07/07/2019, 00:00:00
Burgos	120.57224	maintenance	Asia/Manila	15.72892	2019-10-31
Brierley Hill	-2.12139	average	Europe/London	52.48173	25 Dec 2012
Karlovy Vary	12.87117	excellent	Europe/Prague	50.23271	2014-12-13
Iringa	35.7	average	Africa/Dar_es_Salaam	-7.76667	2017/02/23
Salvatierra	-100.88023	maintenance	America/Mexico_City	20.21322	2015-05-20
Belper	-1.48119	excellent	Europe/London	53.0233	30 Nov 2015
San Juan	-98.15529	accep	America/Chicago	26.18924	11 Feb 2018
Tyler	-95.30106	building	America/Chicago	32.35126	27 Mar 2018
Bhuban	85.83334	building	Asia/Kolkata	20.88197	2015/06/18
Arbroath	-2.58736	accep	Europe/London	56.56317	25 Nov 2016
Sarandi	-51.87389	good	America/Sao_Paulo	-23.44361	08/03/2020, 00:00:00
Viewpark	-4.0573	good	Europe/London	55.82737	2020-05-23
Lille	4.82313	good	Europe/Brussels	51.24197	04/22/2014, 00:00:00
Jashpurnagar	84.13864	good	Asia/Kolkata	22.88783	2021/06/25
Cavaillon	5.03586	excellent	Europe/Paris	43.83125	14 Jul 2017
Acayucan	-94.91386	maintenance	America/Mexico_City	17.94979	14 Jul 2016
Acworth	-84.67837	building	America/New_York	34.06635	2020-02-16
Dalsingh Sarai	85.83636	average	Asia/Kolkata	25.66795	12/18/2016, 00:00:00
Stockbridge	-84.23381	accep	America/New_York	33.54428	04/04/2018, 00:00:00
Sremska Mitrovica	19.61222	good	Europe/Belgrade	44.97639	2020-03-15
Yingkou	122.22833	excellent	Asia/Shanghai	40.66482	2020-01-08
Kulai	103.6032	maintenance	Asia/Kuala_Lumpur	1.6561	2019/09/06
Gaya	9.0027	excellent	Africa/Lagos	11.86064	24 Aug 2020
Wevelgem	3.16667	average	Europe/Brussels	50.8	16 Nov 2015
Somma Vesuviana	14.43865	maintenance	Europe/Rome	40.87329	12 Jun 2016
New Kingston	-76.78319	maintenance	America/Jamaica	18.00747	06/08/2022, 00:00:00
Newbury	-1.32471	average	Europe/London	51.40148	2015-04-01
Santa Maria	-120.43572	good	America/Los_Angeles	34.95303	2018-03-22
Mwandiga	29.65806	accep	Africa/Dar_es_Salaam	-4.83	2017/11/17
Santa Maria	-120.43572	excellent	America/Los_Angeles	34.95303	2013/04/30
Lons-le-Saunier	5.55575	average	Europe/Paris	46.67535	2015/11/03
Thetford	0.75	accep	Europe/London	52.41667	04/27/2018, 00:00:00
Tebingtinggi	99.1625	building	Asia/Jakarta	3.3285	2021/08/07
Arbroath	-2.58736	maintenance	Europe/London	56.56317	2019-01-20
Montana	23.225	average	Europe/Sofia	43.4125	2014-08-17
Pune	73.85535	average	Asia/Kolkata	18.51957	12/29/2018, 00:00:00
Stupino	38.07083	maintenance	Europe/Moscow	54.90083	2018/06/17
Laiwu	117.65694	accep	Asia/Shanghai	36.19278	2017-05-08
Nidderau	8.86704	average	Europe/Berlin	50.23805	2017/11/10
Dax	-1.05366	maintenance	Europe/Paris	43.71032	2018-07-15
Kenda	86.51499	good	Asia/Kolkata	23.1959	2015-06-05
Standerton	29.24152	average	Africa/Johannesburg	-26.93366	04 Feb 2018
Roslavl’	32.86389	accep	Europe/Moscow	53.95278	2020/11/14
Burgos	120.57224	good	Asia/Manila	15.72892	2013/09/21
Nowra	150.60036	accep	Australia/Sydney	-34.88422	02/20/2013, 00:00:00
Antanifotsy	47.31667	accep	Indian/Antananarivo	-19.65	05/14/2018, 00:00:00
Busia	34.11169	excellent	Africa/Nairobi	0.46005	01 Feb 2019
Kallio	24.95034	maintenance	Europe/Helsinki	60.18427	06 Jan 2016
Woodlawn	-76.72803	average	America/New_York	39.32288	12/09/2015, 00:00:00
Reus	1.10687	maitennce	Europe/Madrid	41.15612	21 Oct 2020
Granger	-86.11084	average	America/Indiana/Indianapolis	41.75338	05/22/2013, 00:00:00
Franceville	13.58357	building	Africa/Libreville	-1.63333	2016-11-18
Aguadilla	-67.15407	maintenance	America/Puerto_Rico	18.42745	2021/01/24
Redding	-122.39168	maintenance	America/Los_Angeles	40.58654	2022/07/31
Robertsonpet	78.27539	excellent	Asia/Kolkata	12.95629	02/13/2019, 00:00:00
Nova Xavantina	-52.35558	accep	America/Cuiaba	-14.66463	10/03/2021, 00:00:00
Chiguayante	-73.02841	average	America/Santiago	-36.9256	2016/07/28
Privolzhskiy	46.04833	excellent	Europe/Saratov	51.40944	07/11/2017, 00:00:00
Scottsdale	-111.89903	good	America/Phoenix	33.50921	01 May 2017
Nyangao	39.28333	building	Africa/Dar_es_Salaam	-10.33333	04 Jul 2017
Rangia	91.61356	accep	Asia/Kolkata	26.44931	2014-01-08
Laiwu	117.65694	excellent	Asia/Shanghai	36.19278	2019/01/23
Zvenihorodka	30.96755	excellent	Europe/Kiev	49.07866	2014/11/13
Arua	30.91105	excellent	Africa/Kampala	3.02013	2013-10-07
Nova Kakhovka	33.34864	accep	Europe/Kiev	46.75451	2019/09/22
Boo	18.28333	maintenance	Europe/Stockholm	59.33333	2021/04/18
Valinhos	-46.99583	good	America/Sao_Paulo	-22.97056	2019/06/06
Dorval	-73.75335	accep	America/Toronto	45.4473	2021/02/25
Pune	73.85535	excellent	Asia/Kolkata	18.51957	2016/12/14
Brunswick	-69.96533	average	America/New_York	43.91452	2017-03-29
Pato Branco	-52.67056	excellent	America/Sao_Paulo	-26.22861	2015-04-17
Shushary	30.38167	good	Europe/Moscow	59.80917	2013/02/28
Santa Maria	-120.43572	excellent	America/Los_Angeles	34.95303	12 Apr 2021
Haldwani	79.5286	good	Asia/Kolkata	29.22254	14 May 2021
Maspalomas	-15.58602	excellent	Atlantic/Canary	27.76056	2016-07-14
Santa Catalina	122.8637	accep	Asia/Manila	9.3337	05 Aug 2018
Muritiba	-39.25	accep	America/Bahia	-12.91667	2021/05/06
Iturama	-50.19556	good	America/Sao_Paulo	-19.72806	2014/01/01
Jingzhou	112.19028	building	Asia/Shanghai	30.35028	2016/09/14
Shinshiro	137.5	excellent	Asia/Tokyo	34.9	2012/10/08
Messaad	3.50309	excellent	Africa/Algiers	34.15429	2020/08/23
Losheim	6.74549	average	Europe/Berlin	49.5099	2015-01-21
Tyoply Stan	37.49338	excellent	Europe/Moscow	55.62047	2021/04/28
Lakota	-5.682	good	Africa/Abidjan	5.84752	2018/04/12
Leyland	-2.68758	excellent	Europe/London	53.69786	2018-04-16
Bhuban	85.83334	maintenance	Asia/Kolkata	20.88197	02/19/2022, 00:00:00
Eppingen	8.91229	acceptable	Europe/Berlin	49.13645	2013-08-18
Karben	8.77155	good	Europe/Berlin	50.23019	2014/09/21
Narwar	77.9129	good	Asia/Kolkata	25.6439	26 Dec 2017
Roslavl’	32.86389	maintenance	Europe/Moscow	53.95278	15 Nov 2018
Vahdat	69.01354	building	Asia/Dushanbe	38.55632	2013-03-27
Keizer	-123.02621	good	America/Los_Angeles	44.99012	2013-07-12
Caravaca	-1.86343	excellent	Europe/Madrid	38.10558	2016-10-09
Toba	136.84186	accep	Asia/Tokyo	34.4833	06/14/2021, 00:00:00
Kamakura	139.55028	building	Asia/Tokyo	35.30889	10/21/2019, 00:00:00
Leioa	-2.98884	building	Europe/Madrid	43.32686	15 Mar 2016
Odessa	-102.36764	accep	America/Chicago	31.84568	24 Jan 2017
Casa Blanca	-98.11889	accep	America/Mexico_City	19.04222	2021-03-12
Hoxtolgay	86.00214	accep	Asia/Urumqi	46.51872	05/21/2018, 00:00:00
Calauan	121.3152	average	Asia/Manila	14.14989	09/05/2022, 00:00:00
Tucano	-38.79084	excellent	America/Bahia	-10.95817	2014-11-06
Kediri	112.01667	good	Asia/Jakarta	-7.81667	05 Feb 2013
Saraj	21.32778	excellent	Europe/Skopje	42	02/05/2018, 00:00:00
Barneveld	5.58472	average	Europe/Amsterdam	52.14	2021/03/29
Santa Maria	-120.43572	accep	America/Los_Angeles	34.95303	12/10/2020, 00:00:00
Shushary	30.38167	maintenance	Europe/Moscow	59.80917	2013-04-09
Osmanabad	76.03889	good	Asia/Kolkata	18.18158	09/18/2022, 00:00:00
Guapimirim	-42.98194	excellent	America/Sao_Paulo	-22.53722	06 May 2022
Visitacion Valley	-122.40433	maintenance	America/Los_Angeles	37.71715	2022-02-15
Mikhaylovka	43.2379	maintenance	Europe/Volgograd	50.06	05 Aug 2016
Niort	-0.45877	average	Europe/Paris	46.32313	2018-05-27
Arua	30.91105	maintenance	Africa/Kampala	3.02013	2012-10-23
Estelle	-90.10674	excellent	America/Chicago	29.84576	2017-08-09
Hushitai	123.50266	excellent	Asia/Shanghai	41.94175	23 Feb 2014
Saint-Omer	2.25	excellent	Europe/Paris	50.75	2021/08/20
Maspalomas	-15.58602	excellent	Atlantic/Canary	27.76056	2020-12-29
Yasothon	104.1451	maintenance	Asia/Bangkok	15.79408	29 Aug 2021
Ataq	46.83187	good	Asia/Aden	14.53767	2015/11/04
Kheda	72.68533	excellent	Asia/Kolkata	22.75218	16 Jul 2020
Belle Glade	-80.66756	maintenance	America/New_York	26.68451	02/18/2020, 00:00:00
Soure	-48.52333	maintenance	America/Belem	-0.71667	08/09/2018, 00:00:00
Eisen	128.63083	excellent	Asia/Seoul	36.82167	09 Jan 2022
Kantharalak	104.64992	average	Asia/Bangkok	14.64056	2012/11/03
Ishim	69.49015	accep	Asia/Yekaterinburg	56.11281	02/13/2021, 00:00:00
Hartley	0.30367	accep	Europe/London	51.38673	10 Jan 2021
Foshan	113.13148	accep	Asia/Shanghai	23.02677	05/29/2022, 00:00:00
Udumalaippettai	77.24779	average	Asia/Kolkata	10.58806	2014/06/22
Saint-Denis	55.4504	average	Indian/Reunion	-20.88231	2014-11-24
Sterling	-77.4286	good	America/New_York	39.00622	2020/11/01
Karben	8.77155	accep	Europe/Berlin	50.23019	2016/07/18
Buri	-48.59278	accep	America/Sao_Paulo	-23.7975	24 Mar 2022
Kuvandyk	57.3552	excellent	Asia/Yekaterinburg	51.4781	2014-03-20
Tonga	10.7	building	Africa/Douala	4.96667	31 Oct 2019
Halstenbek	9.85	excellent	Europe/Berlin	53.63333	2017-09-07
Houthalen	5.37429	excellent	Europe/Brussels	51.03427	2014-12-15
Opportunity	-117.23991	accep	America/Los_Angeles	47.64995	2019-07-09
Parkent	69.67639	good	Asia/Tashkent	41.29444	2012-10-14
Rafiganj	84.63445	good	Asia/Kolkata	24.81757	2016-10-01
Hutto	-97.54667	average	America/Chicago	30.5427	11/02/2020, 00:00:00
Independence	-94.41551	excellent	America/Chicago	39.09112	15 Apr 2014
Rolla	-91.77127	accep	America/Chicago	37.95143	11 Jul 2015
Coralville	-91.58045	average	America/Chicago	41.6764	2016-04-18
Santa Maria	-120.43572	accep	America/Los_Angeles	34.95303	24 Jun 2021
East Haven	-72.86843	average	America/New_York	41.27621	2017-03-22
Pedro II	-41.45861	accep	America/Fortaleza	-4.42472	2022-08-27
Guyong	120.97844	average	Asia/Manila	14.8361	2017-09-12
Sarandi	-51.87389	good	America/Sao_Paulo	-23.44361	2022/06/09
East Dereham	0.93333	average	Europe/London	52.68333	2022-01-24
Veracruz	-79.62603	good	America/Panama	8.88988	12/20/2013, 00:00:00
Rahat	34.75699	excellent	Asia/Jerusalem	31.39547	04/16/2021, 00:00:00
Carlsbad	-104.22884	maintenance	America/Denver	32.42067	08 Aug 2021
Astara	48.87498	good	Asia/Baku	38.45598	2022/06/27
Rolla	-91.77127	accep	America/Chicago	37.95143	02 Jun 2022
Tongelre	5.51978	good	Europe/Amsterdam	51.44889	08/31/2017, 00:00:00
Kamina	24.99798	building	Africa/Lubumbashi	-8.73508	03/30/2013, 00:00:00
Ulan Bator	106.88324	accep	Asia/Ulaanbaatar	47.90771	08/28/2015, 00:00:00
Ragusa	14.72443	excellent	Europe/Rome	36.92574	2022/03/02
Longview	-94.74049	excellent	America/Chicago	32.5007	03/04/2021, 00:00:00
Odessa	-102.36764	maitennce	America/Chicago	31.84568	2013/10/29
Guapimirim	-42.98194	building	America/Sao_Paulo	-22.53722	12 Aug 2017
Greenfield	-85.76942	excellent	America/Indiana/Indianapolis	39.78504	2020-10-30
Paracho de Verduzco	-102.04897	good	America/Mexico_City	19.64745	2017-11-12
Middle River	-76.43941	accep	America/New_York	39.33427	2021/04/16
Sishui	117.27583	excellent	Asia/Shanghai	35.64889	13 Sep 2014
Kolomyagi	30.28491	accep	Europe/Moscow	60.02427	12/01/2021, 00:00:00
Severodvinsk	39.8302	accep	Europe/Moscow	64.5635	09/06/2022, 00:00:00
Strathfield	151.07986	accep	Australia/Sydney	-33.88096	2019-06-24
Karatsu	129.96972	maintenance	Asia/Tokyo	33.4425	28 Sep 2018
Ganei Tikva	34.8732	accep	Asia/Jerusalem	32.05971	2017/12/16
Cypress Hills	-73.89125	excellent	America/New_York	40.67705	02/03/2019, 00:00:00
Idenao	9.00472	good	Africa/Douala	4.2475	01/06/2015, 00:00:00
Mokopane	29.00974	average	Africa/Johannesburg	-24.19436	2013/09/13
Zeitz	12.1369	average	Europe/Berlin	51.04962	2014-03-02
Fayetteville	-78.87836	good	America/New_York	35.05266	2022-02-11
Tortona	8.86374	average	Europe/Rome	44.89784	2015-03-31
Brazzaville	15.28318	excellent	Africa/Brazzaville	-4.26613	2021-04-06
Puerto Colombia	-74.95472	average	America/Bogota	10.98778	08 Dec 2020
Diwek	112.23109	excellent	Asia/Jakarta	-7.57897	23 Sep 2021
Tongelre	5.51978	accep	Europe/Amsterdam	51.44889	06 Oct 2016
Kismayo	42.54536	average	Africa/Mogadishu	-0.35817	21 Sep 2013
Hendala	79.883	accep	Asia/Colombo	6.9909	2019/09/24
Albstadt	9.02596	good	Europe/Berlin	48.21644	2021/06/01
Norco	-117.54866	excellent	America/Los_Angeles	33.93113	12/15/2018, 00:00:00
Krymsk	37.99117	building	Europe/Moscow	44.92934	2015/09/12
El Alia	10.03478	excellent	Africa/Tunis	37.16911	05 Nov 2018
Itaperuna	-41.88778	accep	America/Sao_Paulo	-21.205	2017/04/16
Wevelgem	3.16667	building	Europe/Brussels	50.8	2013-09-06
Westchester	-87.882	average	America/Chicago	41.85059	2019-12-23
South Lawndale	-87.71255	maintenance	America/Chicago	41.84364	04/01/2020, 00:00:00
Redding	-122.39168	good	America/Los_Angeles	40.58654	27 Nov 2017
Yanliang	109.22921	good	Asia/Shanghai	34.65918	07/25/2019, 00:00:00
Neuburg an der Donau	11.18709	good	Europe/Berlin	48.73218	12/05/2021, 00:00:00
Newbury	-1.32471	maintenance	Europe/London	51.40148	22 Nov 2019
Middle River	-76.43941	maitennce	America/New_York	39.33427	2015/08/29
Dipolog	123.33471	good	Asia/Manila	8.56697	12/22/2014, 00:00:00
Ozersk	60.70278	building	Asia/Yekaterinburg	55.75556	2019/03/01
Massapequa	-73.47429	good	America/New_York	40.68066	2017/06/23
Tinaquillo	-68.30472	building	America/Caracas	9.91861	2014/08/14
Nutley	-74.15987	building	America/New_York	40.82232	11/15/2015, 00:00:00
Cordenons	12.70038	accep	Europe/Rome	45.9836	2017/07/03
Palm Valley	-81.38758	average	America/New_York	30.17746	11/22/2017, 00:00:00
Utica	-75.23266	average	America/New_York	43.1009	2020/12/15
Santa Catalina	122.8637	excellent	Asia/Manila	9.3337	03/26/2013, 00:00:00
Sharypovo	89.20083	average	Asia/Krasnoyarsk	55.54028	2020/02/22
San Gabriel	-118.10583	excellent	America/Los_Angeles	34.09611	2020-08-18
Otradnyy	51.3452	accep	Europe/Samara	53.37596	05/22/2022, 00:00:00
Rio Real	-37.93278	excellent	America/Bahia	-11.48472	07/01/2022, 00:00:00
Parola	75.11937	building	Asia/Kolkata	20.88098	2021/06/07
Xinzhou	112.73333	good	Asia/Shanghai	38.40917	2014-10-16
Wevelgem	3.16667	average	Europe/Brussels	50.8	2015-06-16
Bad Honnef	7.2278	average	Europe/Berlin	50.64336	12/13/2015, 00:00:00
Vienne	4.86667	average	Europe/Paris	45.51667	16 Jun 2013
Debre Tabor	38.01667	excellent	Africa/Addis_Ababa	11.85	2016-08-19
Beni Khiar	10.78222	good	Africa/Tunis	36.46917	15 Mar 2022
Chiavari	9.32241	building	Europe/Rome	44.31771	2013-11-26
Lompoc	-120.45794	accep	America/Los_Angeles	34.63915	2018/02/20
Majene	118.9707	accep	Asia/Makassar	-3.5403	2013/11/27
Malaut	74.4818	building	Asia/Kolkata	30.21121	06/12/2021, 00:00:00
'Ali Sabieh	42.7125	good	Africa/Djibouti	11.15583	03/11/2020, 00:00:00
Lesnoy	59.80222	average	Asia/Yekaterinburg	58.63667	12 May 2020
Karbala	44.02488	building	Asia/Baghdad	32.61603	2020/05/28
Rolla	-91.77127	average	America/Chicago	37.95143	2021-04-06
Marseille 11	5.4384	good	Europe/Paris	43.2907	2019-03-23
Somoto	-86.58208	maintenance	America/Managua	13.48082	15 May 2019
Nampa	-116.56346	average	America/Boise	43.54072	2016/07/14
Beryozovsky	60.8019	good	Asia/Yekaterinburg	56.9083	2018/04/08
Alytus	24.04142	excellent	Europe/Vilnius	54.39635	03/29/2020, 00:00:00
Zhoushan	122.20488	average	Asia/Shanghai	29.98869	23 Aug 2019
Zvenihorodka	30.96755	maintenance	Europe/Kiev	49.07866	12/01/2018, 00:00:00
Taunton	-71.08977	excellent	America/New_York	41.9001	01/13/2017, 00:00:00
Durazno	-56.52361	average	America/Montevideo	-33.38056	02/14/2015, 00:00:00
Carlsbad	-104.22884	maintenance	America/Denver	32.42067	2019-05-20
Kingston upon Hull	-0.33525	good	Europe/London	53.7446	02 Nov 2012
Dyat’kovo	34.33825	maintenance	Europe/Moscow	53.59782	18 Nov 2015
Fontenay-aux-Roses	2.29275	accep	Europe/Paris	48.79325	07/28/2021, 00:00:00
Montana	23.225	building	Europe/Sofia	43.4125	02 Dec 2018
Fayetteville	-78.87836	good	America/New_York	35.05266	2019-08-28
Sukabumi	106.92667	accep	Asia/Jakarta	-6.91806	2015-09-02
Karbala	44.02488	good	Asia/Baghdad	32.61603	2015/04/27
Tsuen Wan	114.10479	average	Asia/Hong_Kong	22.37066	2014-03-13
