Pb	CO	TEMP	NH3	PM10	CFCs	SO2	PAHs	PRES	NOx	H2CO	C2H3NO5	longitude	O3	CH4	warning	latitude	PM2.5
65.35726	5.16076	15.15003	9.61920	7.79912	58.60255	7.25403	9.41085	1148.24220	9.82954	44.30704	3.98289	7.02238	6.13869	5.87035	1.00000	52.21099	6.29367
46.45361	8.89641	8.55538	3.78382	6.78212	48.92285	5.68302	6.68231	1184.58737	6.89610	71.13503	2.55078	37.56667	6.77056	7.43396	0.00000	55.85	9.60185
56.91765	3.80808	29.95251	8.70244	8.07059	49.01062	3.99325	7.12362	1083.12239	8.22475	27.53508	4.58699	-73.9614	7.29317	7.76003	1.00000	10.15031	6.25472
41.55752	8.63970	13.95762	4.71913	5.90646	74.71681	7.90869	9.65235	1161.77362	9.69782	21.50766	1.80201	-117.29198	7.32937	6.88501	1.00000	33.03699	10.01162
29.21849	6.40233	13.44807	8.63923	5.57039	63.73371	3.18817	10.14219	1149.68390	9.35627	41.85200	0.99826	24.95034	5.90785	5.69004	1.00000	60.18427	5.70965
31.05191	7.61295	31.92105	8.25061	5.96775	80.25806	7.64612	6.44998	1131.13788	10.30464	46.81820	1.64819	2.18247	7.41067	6.97370	0.00000	41.41204	7.41421
44.63124	8.72748	24.24418	6.86045	6.21723	57.09290	8.51490	7.94795	1101.77933	8.45147	69.71702	1.25193	39.85331	5.42226	7.50680	1.00000	57.30185	5.27857
37.38257	5.91183	18.44443	9.26614	8.93104	41.03243	6.37237	8.95942	1180.25774	6.38121	39.30411	8.59516	73.85535	8.27345	6.26644	0.00000	18.51957	5.60336
38.67894	9.58622	-1.84870	4.52359	8.23492	56.36828	5.51334	5.26890	1134.31442	9.34951	41.89030	4.87501	78.14797	8.48150	6.90699	0.00000	15.45144	7.50585
48.03513	6.25998	12.95390	9.55632	5.88264	52.15220	6.00020	7.81853	1067.17254	9.07253	49.79959	2.00757	2.45012	7.98030	9.52972	0.00000	48.90982	5.78843
71.53326	8.68320	19.71743	3.89807	8.06769	65.65678	4.78825	6.08979	1194.08488	8.67730	36.84773	5.00776	137.36215	6.41678	8.78020	0.00000	36.75965	10.20819
63.06269	9.12985	18.55969	6.78726	6.43955	82.14427	7.97242	4.34305	1144.96268	11.16966	53.27570	2.12892	24.6522	8.38475	8.67023	0.00000	60.2052	7.50810
29.87903	7.85366	14.91770	5.72322	7.50257	29.71489	6.69757	7.85400	1050.11693	7.54099	48.15837	2.71361	-1.98956	8.24352	8.82244	0.00000	5.30383	9.67981
59.00129	9.43102	-3.88758	5.98785	6.16271	56.87981	9.86743	9.13080	1092.52270	8.64076	46.73006	2.06459	34.33825	6.76020	6.75698	1.00000	53.59782	9.60999
42.14254	4.44320	21.04160	11.38427	5.87431	80.07999	3.35711	8.65101	1103.55248	9.63581	51.93576	1.36200	-1.29243	6.11901	6.86604	1.00000	53.49389	5.07801
28.22444	3.84427	24.70271	6.83667	6.68615	46.34911	4.86964	7.58686	1121.90452	7.98404	48.57731	3.01903	-2.16	6.18395	7.33724	1.00000	34.31	6.84020
57.82630	4.92549	13.48180	4.94641	7.79756	73.99924	5.89389	6.42425	1133.68314	4.81253	64.14949	2.90357	2.59753	7.19598	7.74081	1.00000	8.88649	6.12852
35.82527	7.82712	9.12629	4.85987	7.91574	67.69832	7.30248	5.54290	1129.13953	6.48723	50.83357	3.64482	36.7138	7.89981	6.45540	1.00000	35.95664	8.00026
75.33580	6.17159	10.77837	6.81826	7.69787	67.77467	8.64748	4.93271	1193.82520	7.92713	33.50537	3.85551	9.02596	7.40334	6.92456	1.00000	48.21644	8.44058
67.95495	7.18650	7.98244	8.54464	9.01268	45.42577	3.90367	7.76307	1183.37287	8.69018	72.43497	9.60360	-76.78319	6.20162	8.03211	1.00000	18.00747	6.59528
46.13243	9.48081	11.39375	4.08214	8.48883	42.79977	8.90354	9.68243	1057.55814	11.49358	31.76212	5.58034	98.6738	7.04189	7.73337	1.00000	3.7278	10.28451
39.10260	7.71595	8.14863	9.54106	7.94608	71.20575	5.77575	6.76175	1084.68840	8.94096	25.83202		133.42825	7.80762	7.93231	1.00000	45.47885	6.72771
39.74688	9.77055	-3.10814	8.17809	7.25437	54.53150	3.26486	6.18562	1145.03497	7.56370	68.11259	3.15809	98.50893	7.05675	7.74990	1.00000	16.68911	4.98128
45.75553	5.61119	-3.38671	10.31464	8.71910	58.02498	8.44562	8.16611	1131.57145	9.15483	39.83540	7.20176	-77.55777	5.80484	8.22991	1.00000	37.52487	5.78175
47.28570	9.64885	4.89929	8.22114	4.80246	49.00516	7.75124	5.15520	1054.24457	10.25951	23.17333	1.79204	5.22778	7.99810	8.70092	0.00000	51.955	7.87137
35.33915	5.67804	23.83887	8.33060	7.96460	67.34891	3.94592	10.14130	1182.65042	8.78162	52.22469	4.72641	-113.3187	5.74676	5.46947	1.00000	53.51684	5.43576
53.29862	6.20724	33.04949	7.71792	7.43165	40.33671	3.31315	7.29467	1151.68266	7.03056	46.88441	2.83283	-74.28459	8.31534	7.63675	1.00000	40.5576	5.59962
25.69296	9.97270	27.29779	6.99035	4.57564	66.38078	6.85128	4.01475	1154.61860	9.02240	61.67286	0.71317	-82.32483	5.86423	7.21586	0.00000	29.65163	6.56837
30.54020	6.13545	3.97055	9.33866	7.92480	67.75449	4.15161	8.40421	1126.87444	8.15186	68.96631	3.18350	2.08333	6.95424	6.84767	1.00000	48.86667	5.32751
58.32571	7.71675	7.29058	7.16156	8.03731	63.98551	6.01017	9.66864	1145.16564	8.33984	31.34452	4.59991	116.10146	7.74359	7.40124	0.00000	5.90702	8.04294
56.44721	3.06340	5.39455	6.66397	7.18534	60.81279	4.92673	9.37924	1192.58916	6.35232	59.40123	2.47429	-73.89875	7.94180	8.74170	1.00000	40.93121	4.81924
46.05218	9.39568	20.54368	6.20386	6.22356	51.11395	7.35019	6.84085	1089.95059	6.96465	58.59138	2.01825	2.31889	6.74913	6.18627	1.00000	35.21222	7.63413
17.47781	7.12302	33.90459	7.62252	6.94901	49.81925	6.24342	12.19255	1163.06796	6.83812	35.40252	2.98000	47.3799	7.22856	6.16151	0.00000	33.14447	9.75188
38.41029	8.04138	13.92031	7.06055	7.07140	50.30554	6.57734	7.72317	1067.69257	8.54611	36.55611	2.61444	38.07083	6.22636	9.10051	0.00000	54.90083	8.05374
23.97758	6.38270	-0.10371	9.69058	8.03634	62.71552	5.29514	8.16173	1198.61521	9.48272	42.21014	4.76087	76.35484	7.38036	6.14320	1.00000	10.10649	6.36679
26.40703	8.04537	13.47964	7.13076	7.01018	48.30549	6.56638	9.67737	1114.15218	8.04935	64.96419	2.43767	24.43973	7.65785	8.77917	0.00000	0.76755	7.90971
28.63353	5.78825	4.21727	7.34126	8.38764	48.74064	4.86215	8.23944	1184.92860	7.70972	59.67329	5.67347	-0.32247		7.65870	1.00000	50.82882	5.94695
28.29532	8.95072	6.36558	5.54298	7.27120	85.12304	9.76453	9.15365	1152.21884	9.57944	55.05121	3.02919	79.82979	9.07759	8.00181	1.00000	11.93381	8.01608
36.46141	5.55298	3.79764	8.00251	7.16340	32.91670	4.74580	9.36844	1062.53449	7.62355	40.78583	2.59190	11.5	8.38961	6.76956	1.00000	3.51667	5.48934
48.51565	6.99121	11.02024	6.85399	6.15637	32.70981	8.21960	6.72598	1097.72891	10.79472	67.47650	1.66974	-118.25508	6.72750	6.88396	1.00000	34.14251	8.13341
26.38161	8.69871	20.24465	8.36345	9.16361	48.09812	10.10763	7.84684	1117.79881	6.67955	46.58904	11.06471	-15.6	6.76310	8.27325	1.00000	13.56667	6.25532
60.16718	8.06827	25.74334	9.52951	7.85816	50.08664	5.97991	7.24333	1099.53991	9.80556	51.82648	3.78533	-2.58736	6.70511	8.76267	1.00000	56.56317	7.33889
54.96776	9.98220	12.54635	7.90178	9.12198	62.20353	6.46495	4.21557	1116.98817	9.17963	14.50643	10.07186	-47.1725	7.56936	7.69972	0.00000	-22.57306	6.70314
38.47065	8.82836	7.69330	4.81352	7.04529	40.74396	5.48666	5.42069	1121.56752	8.13335	19.53421	2.42473	-48.59278	6.18217	8.15021	1.00000	-23.7975	8.67260
40.27415	7.37637	28.52042	6.28181	8.39390	58.28790	9.15715	8.04642	1096.11736	11.14298	56.84909	4.95267	20.89389	6.49022	5.52825	1.00000	42.62833	9.10609
40.86106	8.17693	11.32782	8.48814	5.21030	50.61954	6.05676	6.14879	1187.70378	7.42667	43.95456	2.18699	-120.93549	7.40465	6.51634	0.00000	37.73604	5.29456
48.21306	3.91819	25.27657	5.62400	5.62069	43.35008	6.91789	8.17063	1092.34540	6.11187	24.01737	2.58698	-60.93173	7.90107	10.29214	1.00000	-31.4488	5.89562
32.92194	5.66894	11.62728	7.88024	7.80749	56.41419	6.46920	9.60627	1197.06855	8.34697	58.21173	3.90456	2.1699	8.18731	7.08669	1.00000	48.98994	5.73262
61.88306	8.58813	22.98094	7.82744	8.34252	43.58659	6.40456	10.06993	1190.17754	9.52623	57.20019	5.18512	2.1699	7.31221	6.12480	0.00000	48.98994	6.90579
47.25669	7.38551	10.27430	6.41922	7.16840	47.04533	7.50066	8.29745	1088.61972	7.65642	38.99866	2.06086	-48.29694	7.59092	8.62544	1.00000	-20.87306	10.88990
72.20298	7.46455	30.12009	6.72674	6.28437	38.74021	5.19383	7.15540	1113.68786	7.80016	39.44236	2.08088	-75.60804	6.93032	5.76839	1.00000	39.96097	6.81657
25.14442	10.30310	21.91482	5.74959	6.25712	58.84228	10.45559	9.70980	1171.61969	9.09023	35.04348	1.68568	124.95278	5.98361	8.41470	1.00000	6.33444	7.78582
43.87417	9.53469	-1.50703	6.91211	7.76821	65.18314	9.60834	9.20260	1124.71459	6.59314	49.80034	4.93208	-117.70755	9.06655	6.79159	1.00000	33.52253	6.82081
47.49590	11.23973	32.39634	11.24727	9.82441	52.76550	3.02133	5.70801	1106.03978	9.41043	12.25022	19.80156	14.51472	8.85836	6.29256	0.00000	35.89972	5.78216
32.38888	4.46835	17.88017	8.97327	7.44161	65.45736	5.33189	8.83838	1052.98063	8.44010	44.81963	2.43665	120.03308	9.29752	6.10948	1.00000	28.88162	5.69303
45.67676	5.12819	19.43455	9.40845	7.46716	68.12512	5.62051	6.59441	1127.66206	7.40993	42.67496	2.52604	15.16554	7.79877	5.08307	1.00000	-4.5833	5.58486
54.51834	9.16593	24.90215	6.33422	4.38356	61.77894	4.96589	5.93817	1143.27983	7.71642	33.39822	1.04852	-71.05977	9.16430	7.69570	0.00000	42.35843	5.74998
51.56506	4.90959	37.60738	8.45565	8.55977	72.47917	7.80045	11.42067	1173.26750	7.96121	44.93337		46.5813	6.39006	6.82550		54.8421	
49.34273	7.88321	1.02737	6.83873	6.02334	50.83039	5.86790	11.09097	1168.52756	8.73147	41.03115	2.61993	82.85749	6.42001	6.89282	0.00000	17.54907	7.63254
52.07366	9.40709	10.14842	5.95146	6.42615	61.14789	9.89777	9.73272	1143.73718	9.56814	51.98916	1.87196	109.3243	7.86632	7.41858	1.00000	-7.0981	7.56317
49.68993	8.95911	-0.46328	6.77291	7.06278	38.97038	9.73070	8.16492	1074.53544	8.66317	37.60004	1.72162	75.92694	7.72824	6.83919	1.00000	14.46693	7.02938
48.12177	9.23106	4.15584	5.77612	5.31401	57.14730	5.45914	9.25069	1167.76161	9.08617	41.46768	0.02128	77.23826	8.92567	6.16284	0.00000	11.50526	6.84486
34.35400	7.28668	13.21956	7.23651	7.69863	58.73522	4.91665	4.86150	1090.01935	7.51147	56.91229	3.13952	8.86374	6.65325	8.02203	1.00000	44.89784	7.75880
34.23892	7.11254	2.82372	10.20463	8.33923	49.06649	6.40785	8.18155	1104.85649	7.35549	56.18877	5.13748	-63.13414	5.65796	7.95477	0.00000	46.23899	5.82293
39.26421	3.75671	20.93615	8.61553	7.71778	53.55420	7.60246	8.49039	1194.33665	9.34136	59.58389	3.49146	91.61356	7.17646	6.64865	1.00000	26.44931	6.74594
43.97088	9.39512	5.62999	9.62254	6.65620	64.24544	5.85987	6.29665	1093.08839	7.90386	31.47811	2.13900	17.10558	7.80017	8.41209	0.00000	61.72744	6.18782
47.27505	10.92320	10.34184	8.72160	7.14674	59.87576	6.37911	6.11808	1162.23513	7.56274	53.97545	3.30448	133.42825	7.99276	7.76181	0.00000	45.47885	7.08169
25.21064	4.75513	16.67752	4.73722	7.38343	67.05087	6.60370	7.96139	1119.94893	6.81627	18.32667	2.89654	72.54566	7.12028	8.89966	1.00000	29.69221	7.06082
39.30308	10.20363	-9.26751	6.51625	6.76857	33.51451	8.95735	8.53745	1092.26346	6.01997	28.73536	2.18660	10.18003	6.60166	9.02725	1.00000	24.96334	5.01440
69.64328	5.74890	10.46634	9.24486	5.21123	62.48436	1.86226	10.69329	1189.21611	8.69792	42.07521	2.07845	16.43915	5.72735	8.56407	1.00000	43.50891	4.27104
43.85841	8.05033	18.96681	7.65708	6.77876	28.18705	7.70831	8.73047	1093.58301	9.53238	42.27412	1.86642	2.35739	9.71424	7.90971	0.00000	41.63976	7.31735
48.90769	7.11123	19.18879	5.84364	6.52429	36.80336	7.87943	7.31455	1092.39462	11.04223	48.85537	1.34274	-103.5687	8.97744	6.36130	1.00000	20.22816	10.20256
37.42761	7.30991	27.84728	5.31249	6.87298	54.11756	7.24849	8.34484	1052.06310	8.84953	46.27275	1.67130	103.81667	7.41471	7.34685	1.00000	1.6	8.13110
45.68668	7.18696	12.14614	11.02498	6.66576	43.81810	5.29896	8.69763	1177.23773	8.29518	32.20251	1.54230	-15.58602	6.74332	6.81179	1.00000	27.76056	4.75096
52.50103	8.40786	21.16595	5.10587	8.23695	62.70970	9.56376	10.46689	1167.07779	10.71012	66.70509	5.71673	-76.99081	6.09431	7.59154	1.00000	38.96372	10.13385
63.90217	8.26640	-6.44018	5.13958	8.98205	70.75014	7.30591	7.13964	1179.34649	9.42713	30.33935	8.71300	77.0202	7.31650	7.81627	1.00000	43.41949	11.67617
39.83343	8.96801	2.09749	5.33432	7.57675	55.87163	7.65590	7.57234	1053.13621	7.24610	37.65721	3.36856	88.18466	7.66278	7.82027	0.00000	22.19303	10.20475
45.97260	8.52457	29.62551	5.72469	7.51593	76.37254	8.71298	8.71893	1165.85995	11.21740	50.03826	2.58788	-94.74049	8.19106	7.14667	0.00000	32.5007	7.91108
46.07928	6.31933	19.33355	8.25470	7.70511	36.99464	7.58002	5.08718	1173.68391	8.37312	51.74768	4.31811	-80.66756	7.23532	6.74659	1.00000	26.68451	6.44663
41.15887	8.03110	13.85019	5.02384	4.69467	67.14098	10.12234	9.48821	1115.73237	13.35770	52.01603	0.91274	125.51176	7.48719	5.64050	1.00000	42.64031	10.43280
76.07634	8.75465	0.58562	8.58943	7.45655	35.97094	6.51222	5.66993	1051.58481	9.03563	33.39197	2.98155	-70.20749	7.97942	7.86389	0.00000	8.62261	6.55931
54.13234	3.86359	17.00618	7.64392	6.88492	58.45637	7.92197	11.28217	1155.54575	7.68081	46.88246	3.31843	120.14278	7.19609	7.70248	1.00000	32.50611	4.54737
53.83478	4.83589	28.35833	10.21807	6.39834	48.86461	7.26677	10.62640	1188.68741	9.01362	37.81298	1.69441	5.03586	7.92984	6.33081	1.00000	43.83125	4.91650
31.69186	7.47046	28.77109	7.11149	7.00811	53.52708	8.40042	8.31711	1086.24974	8.05995	56.14507	2.39378	120.33063	8.92920	6.05699	1.00000	37.65181	7.35892
55.87567	5.83464	17.57176	6.88152	7.87823	57.93943	4.98728	10.90386	1084.62254	9.47893	41.03628	3.89524	12.38878	8.29191	8.16205	1.00000	43.1122	6.09859
39.45419	5.26009	2.28638	9.27204	6.57049	23.37611	5.70551	10.37567	1183.11066	9.38770	9.14049	2.77013	117.4831	6.92803	6.57597	1.00000	27.34089	5.30909
42.48167	8.32452	21.30267	8.82327	7.34690	41.72546	5.19714	8.70404	1102.32012	9.62096	27.66853	2.25494	123.89071	5.46702	6.72561	1.00000	10.31672	6.67167
46.00514	5.32424	10.52714	8.60089	6.47636	55.96629	7.84565	6.40298	1199.74717	7.88753	52.67416	1.73245	39.8302	7.23892	8.38726	1.00000	64.5635	6.97116
51.42362	7.66936	6.17193	5.32505	8.16972	37.01310	6.28365	7.97823	1125.30392	5.88353	25.21521	5.28699	36.73307	7.14251	8.56466	0.00000	55.38752	10.17609
44.14017	7.77870	1.39912	4.39362	8.11182	46.52880	6.79363	8.16492	1168.80483	11.44492	25.29139	3.98913	117.81667	7.31965	7.17913	1.00000	36.81667	10.48934
41.55803	8.28539	1.78439	8.38725	6.25999	46.13380	3.63275	5.00069	1192.73352	11.15284	46.42673	2.13163	138.31667	7.92066	6.78641	0.00000	36.65	4.62568
49.90504	4.50297	14.24608	9.57886	7.90259	46.32557	6.77694	7.55093	1108.16136	7.55763	49.70393	3.25404	4.47124	7.06587	8.62044	1.00000	51.95838	5.39744
64.15869	8.20188	26.93844	6.90792	7.93268	58.87536	9.03142	5.25350	1103.23796	11.29609	66.77238	3.80769	8.73812	7.07618	8.14862	0.00000	41.91886	8.58416
34.08811	9.24849	20.52236	9.56781	6.38690	53.26207	7.40531	6.76304	1115.16745	7.56963	36.83138	1.57128	103.6032	8.04041	8.52986	0.00000	1.6561	7.04298
40.56637	8.22476	22.72980	5.78856	6.73027	61.85007	7.10902	6.83809	1183.11886	10.22414	46.20952	1.86839	74.12286	8.14073	6.03232	1.00000	30.76468	7.31967
48.87869	7.63216	12.23102	9.66071	7.87761	55.83603	4.59239	7.71065	1103.05195	6.79245	72.88826	3.96310	46.83187	6.94509	7.12269	0.00000	14.53767	4.73271
36.30051	8.33024	29.60211	4.72307	7.32020	61.16385	5.83830	7.39186	1173.66448	6.90257	62.62725	2.80792	-94.74049	8.47099	5.74468	0.00000	32.5007	10.83613
48.30333	6.84461	17.63706	7.63987	6.43705		7.69691	9.35435	1119.27616	9.54963	30.86531	1.72240	125.21972	8.93967	8.33107	0.00000	-8.99167	6.93746
30.25521	7.05469	20.38744	7.98011	6.96703	59.98010	6.20286	7.68209	1199.72327	9.32365	50.48452	2.19955	10.18003	6.04826	7.41198	1.00000	24.96334	7.55395
41.11892	5.26079	2.46004	8.55621	6.23190	50.85684	4.52033	10.08503	1079.94263	9.12138	25.72986	1.68113	2.31889	6.89355	8.51641	1.00000	35.21222	5.32123
43.86467	10.04786	9.55068	5.30060	7.89153	45.62430	8.65327	9.48301	1152.25722	7.30323	48.60705	4.56278	-103.5687	6.87672	5.67923	1.00000	20.22816	8.47828
45.48342	9.40553	17.99070	7.82072	5.79300	25.94732	5.70247	5.12833	1180.77257	8.00938	27.44532	1.18935	-119.48568	7.23990	6.82568	0.00000	49.88307	5.69899
58.16740	5.61229	11.88517	5.86221	4.81009	50.98755	1.69830	5.81278	1113.99113	6.02210	50.75110	1.70782	78.14797	7.28851	6.33204	1.00000	15.45144	6.39326
25.73892	7.08048	-4.41696	9.09740	7.11512	78.81614	8.08338	5.49928	1058.38810	9.37370	44.36555	2.74947	138.31667	7.18227	6.99162	0.00000	36.65	5.88560
38.88765	5.59828	7.95147	9.18555	6.20594	36.45592	9.76443	8.86300	1129.52907	9.87324	51.92739	1.38134	78.25795	8.31995	9.76176	1.00000	9.82564	6.79277
63.31653		13.89633	7.85523	6.76527	57.02220	8.39839	8.03342	1106.42384	8.94710	35.48920	1.80258	-94.74049	7.81242	7.40311	1.00000	32.5007	7.83914
42.46055	6.60161	5.41385	7.61663	7.56840	60.94735	6.69385	7.89579	1056.84387	7.91831	57.77871	2.50134	-2.1875	6.85411	5.35683	1.00000	51.26	6.61057
57.02565	8.34439	10.77415	10.84691	6.53494	79.75860	6.62148	7.86519	1196.16011	7.30371	65.52999	1.60474	120.57224	7.46152	7.00644	0.00000	15.72892	6.59495
46.01616	6.66301	16.62113	5.35040	6.36597	67.98336	7.18937	7.58305	1174.16755	10.94034	45.18509	1.38378	48.41667	7.10835	6.78709	1.00000	-17.83333	9.40529
46.41314	5.35586	12.96484	5.00317	7.33702	53.62034	6.13708	6.10809	1051.96534	6.62280	59.42846	3.28435	-0.91979	8.69281	7.03072	1.00000	51.42708	7.72235
44.62880	3.22152	30.10258	9.04781	6.85651	62.88399	9.00199	13.58836	1050.90622	9.94348	33.40967	1.35935	171.25364	9.33592	7.11809	1.00000	-44.39672	4.31121
51.59465	8.43953	12.07304	6.33183	7.19027	45.65785	6.24929	7.64842	1054.07065	9.90124	27.16285	2.81426	31.4976	8.06373	7.29364	0.00000	26.67319	6.61595
