latitude	revision	longitude	location	code	QoS
46.1351	07/24/2021, 00:00:00	-60.1831	America/Glace_Bay	CA	accep
44.75874	2015-09-22	19.21437	Europe/Sarajevo	BA	excellent
7.6	2018/05/02	4.18333	Africa/Lagos	NG	accep
13.73417	2016-09-07	-89.71472	America/El_Salvador	SV	accep
-21.44236	2022/06/25	27.46153	Africa/Gaborone	BW	average
-34.28853	15 Jan 2018	146.05093	Australia/Sydney	AU	good
44.92934	2014-07-03	37.99117	Europe/Moscow	RU	average
45.51667	05 Nov 2012	4.86667	Europe/Paris	FR	accep
9.3337	26 Jan 2021	122.8637	Asia/Manila	PH	average
28.54944	2017-05-20	-81.77285	America/New_York	US	average
5.30383	12/19/2017, 00:00:00	-1.98956	Africa/Accra	GH	good
-8.28333	08/01/2019, 00:00:00	-35.03333	America/Recife	BR	excellent
54.8421	16 Oct 2016	46.5813	Europe/Moscow	RU	excellent
50.06	2015/02/21	43.2379	Europe/Volgograd	RU	excellent
-11.78333	04/16/2016, 00:00:00	19.91667	Africa/Luanda	AO	good
53.14657	2021/01/04	140.72287	Asia/Vladivostok	RU	average
9.15093	14 Mar 2021	-79.62098	America/Panama	PA	excellent
31.12406	11/15/2014, 00:00:00	-97.90308	America/Chicago	US	maintenance
38.17492	04/14/2018, 00:00:00	-122.2608	America/Los_Angeles	US	maintenance
52.86147	2015/11/08	9.5926	Europe/Berlin	DE	accep
42.35843	10/21/2020, 00:00:00	-71.05977	America/New_York	US	average
8.56697	13 Sep 2013	123.33471	Asia/Manila	PH	accep
52.09	25 Nov 2012	5.23333	Europe/Amsterdam	NL	good
33.93113	08/15/2017, 00:00:00	-117.54866	America/Los_Angeles	US	good
55.85	2022-07-06	37.56667	Europe/Moscow	RU	building
68.79833	2017-07-25	16.54165	Europe/Oslo	NO	accep
18.51957	2018-02-17	73.85535	Asia/Kolkata	IN	average
11.00599	2018/04/27	77.5609	Asia/Kolkata	IN	good
21.46527	08 Sep 2013	83.97573	Asia/Kolkata	IN	building
40.5576	2013/11/10	-74.28459	America/New_York	US	excellent
41.85059	2013-12-11	-87.882	America/Chicago	US	building
11.15583	28 Nov 2012	42.7125	Africa/Djibouti	DJ	excellent
55.62047	2022/08/21	37.49338	Europe/Moscow	RU	good
35.21222	01 Jul 2017	2.31889	Africa/Algiers	DZ	accep
14.37395	01 Oct 2021	100.48528	Asia/Bangkok	TH	excellent
36.91023	2016-03-02	-121.75689	America/Los_Angeles	US	good
41.77583	2021-01-08	140.73667	Asia/Tokyo	JP	building
-20.88231	11/12/2012, 00:00:00	55.4504	Indian/Reunion	RE	good
14.0823	28 May 2020	98.19151	Asia/Yangon	MM	average
55.67938	30 May 2018	12.53463	Europe/Copenhagen	DK	good
51.40944	25 May 2016	46.04833	Europe/Saratov	RU	average
31.92923	01/02/2013, 00:00:00	34.86563	Asia/Jerusalem	IL	average
34.25	07 Oct 2021	135.31667	Asia/Tokyo	JP	average
33.14447	2017/03/18	47.3799	Asia/Tehran	IR	accep
-7.76667	25 Jun 2018	35.7	Africa/Dar_es_Salaam	TZ	good
3.7278	12/07/2012, 00:00:00	98.6738	Asia/Jakarta	ID	accep
-19.65	2016/02/07	47.31667	Indian/Antananarivo	MG	maintenance
40.67705	08/05/2014, 00:00:00	-73.89125	America/New_York	US	average
56.11281	2021/01/01	69.49015	Asia/Yekaterinburg	RU	accep
52.71083	12/13/2012, 00:00:00	5.74861	Europe/Amsterdam	NL	maintenance
-34.64167	07 Mar 2019	-60.47389	America/Argentina/Buenos_Aires	AR	good
14.95472	07/15/2013, 00:00:00	120.89694	Asia/Manila	PH	good
49.41029	05 Jan 2020	38.15035	Europe/Zaporozhye	UA	maintenance
26.44931	02/20/2022, 00:00:00	91.61356	Asia/Kolkata	IN	building
-7.73379	08 Feb 2016	113.69785	Asia/Jakarta	ID	average
53.83333	26 Jun 2018	-2.98333	Europe/London	GB	building
7.65649	2020/09/27	4.92235	Africa/Lagos	NG	excellent
42.58342	2014/10/04	-71.8023	America/New_York	US	building
43.54072	2021-07-16	-116.56346	America/Boise	US	average
36.02506	2014-05-20	-86.77917	America/Chicago	US	good
39.22493	2022-07-08	42.85693	Europe/Istanbul	TR	average
8.43333	2014-03-25	99.96667	Asia/Bangkok	TH	accep
43.61062	26 Jan 2013	-72.97261	America/New_York	US	maintenance
-36.9256	13 Feb 2019	-73.02841	America/Santiago	CL	building
39.32288	25 Aug 2021	-76.72803	America/New_York	US	average
15.58552	2019/08/26	102.42587	Asia/Bangkok	TH	excellent
-24.19436	11/14/2013, 00:00:00	29.00974	Africa/Johannesburg	ZA	good
18.42745	2019-09-27	-67.15407	America/Puerto_Rico	PR	maintenance
10.22677	08/18/2013, 00:00:00	-67.33122	America/Caracas	VE	good
-22.9	2016/06/23	44.53333	Indian/Antananarivo	MG	good
42.50729	2021-01-28	1.53414	Europe/Andorra	AD	maintenance
47.4943	2016/07/16	-122.24092	America/Los_Angeles	US	maintenance
34.31	08/29/2022, 00:00:00	-2.16	Africa/Casablanca	MA	good
18.00747	2013-02-14	-76.78319	America/Jamaica	JM	excellent
53.63333	27 Aug 2019	9.85	Europe/Berlin	DE	accep
6.46838	2018-04-22	-73.26022	America/Bogota	CO	building
-7.60361	2013-04-24	37.00438	Africa/Dar_es_Salaam	TZ	excellent
-10.95817	28 Jul 2020	-38.79084	America/Bahia	BR	average
18.51957	30 Jul 2016	73.85535	Asia/Kolkata	IN	good
35.21222	2017/04/23	2.31889	Africa/Algiers	DZ	building
48.86667	2020/06/22	2.08333	Europe/Paris	FR	average
33.42585	2013-11-05	-6.00137	Africa/Casablanca	MA	average
6.46838	2013/06/30	-73.26022	America/Bogota	CO	average
33.14447	03 Apr 2013	47.3799	Asia/Tehran	IR	accep
16.455	04 Mar 2021	120.5875	Asia/Manila	PH	good
37.31309	2016-01-20	40.74357	Europe/Istanbul	TR	accep
55.38752	05/26/2019, 00:00:00	36.73307	Europe/Moscow	RU	accep
50.06	01 Oct 2012	43.2379	Europe/Volgograd	RU	excellent
42.8334	05/19/2020, 00:00:00	-80.38297	America/Toronto	CA	good
26.2649	18 Jan 2018	81.54855	Asia/Kolkata	IN	good
1.6	2017-04-22	103.81667	Asia/Kuala_Lumpur	MY	average
48.28259	03/11/2019, 00:00:00	9.72749	Europe/Berlin	DE	average
31.71667	03 Apr 2022	73.38333	Asia/Karachi	PK	average
-7.73379	04/28/2019, 00:00:00	113.69785	Asia/Jakarta	ID	building
52.2	01/10/2013, 00:00:00	8.63333	Europe/Berlin	DE	building
39.71734	2021/08/12	-74.96933	America/New_York	US	excellent
43.82634	2022/08/17	144.09638	Asia/Tokyo	JP	excellent
43.86682	2016-08-28	-79.2663	America/Toronto	CA	excellent
52.57583	2012-10-09	6.61944	Europe/Amsterdam	NL	good
33.03699	05/28/2013, 00:00:00	-117.29198	America/Los_Angeles	US	maintenance
21.28306	2022-06-21	-89.66123	America/Merida	MX	accep
30.76468	2019/01/06	74.12286	Asia/Karachi	PK	good
46.09273	14 Aug 2018	-88.64235	America/Menominee	US	good
51.42708	2016-08-14	-0.91979	Europe/London	GB	good
41.72059	26 Dec 2016	-87.70172	America/Chicago	US	excellent
48.52961	2019-11-27	12.16179	Europe/Berlin	DE	accep
34.09668	2014-05-20	-117.71978	America/Los_Angeles	US	accep
-27.50578	2020/05/24	153.10236	Australia/Brisbane	AU	excellent
34.9	04 Oct 2012	137.5	Asia/Tokyo	JP	accep
59.37722	02 Dec 2016	28.19028	Europe/Tallinn	EE	average
37.65181	2014-12-27	120.33063	Asia/Shanghai	CN	average
-37.9	2014-11-15	145.18333	Australia/Melbourne	AU	accep
35	2014-06-11	136.51667	Asia/Tokyo	JP	average
6.33444	09 Aug 2015	124.95278	Asia/Manila	PH	accep
28.92694	2018/05/20	78.23456	Asia/Kolkata	IN	building
65.93381	2022-07-12	111.4834	Asia/Yakutsk	RU	maintenance
37.05944	05/16/2020, 00:00:00	37.3825	Europe/Istanbul	TR	accep
31.82539	2021/02/19	72.54064	Asia/Karachi	PK	accep
41.84364	16 Apr 2017	-87.71255	America/Chicago	US	excellent
43.2907	06 Jan 2018	5.4384	Europe/Paris	FR	accep
-33.38056	2013-07-28	-56.52361	America/Montevideo	UY	good
8.88649	06/28/2015, 00:00:00	2.59753	Africa/Porto-Novo	BJ	accep
30.35028	2014/08/01	112.19028	Asia/Shanghai	CN	excellent
53.14657	2019-05-24	140.72287	Asia/Vladivostok	RU	excellent
41.09822	10/25/2014, 00:00:00	120.74792	Asia/Shanghai	CN	average
20.22816	2017-01-18	-103.5687	America/Mexico_City	MX	average
-21.41222	2021/04/12	-42.19667	America/Sao_Paulo	BR	maintenance
52.4089	12/13/2021, 00:00:00	31.3237	Europe/Minsk	BY	average
-7.73379	2016-04-27	113.69785	Asia/Jakarta	ID	building
33.98154	09/07/2022, 00:00:00	-81.23621	America/New_York	US	excellent
14.93333	2015-07-17	-91.11667	America/Guatemala	GT	excellent
18.18158	2018/08/01	76.03889	Asia/Kolkata	IN	maintenance
39.12074	10 Feb 2021	27.18052	Europe/Istanbul	TR	good
41.1053	01/26/2021, 00:00:00	-7.32097	Europe/Lisbon	PT	good
43.1009	2015/10/15	-75.23266	America/New_York	US	average
51.21667	2022/04/24	6.26667	Europe/Berlin	DE	excellent
-21.205	2012-10-18	-41.88778	America/Sao_Paulo	BR	excellent
13.70727	2020/04/07	9.15013	Africa/Niamey	NE	excellent
51.42708	2022-03-28	-0.91979	Europe/London	GB	good
53.49389	2015/07/03	-1.29243	Europe/London	GB	good
34.95303	2020-10-21	-120.43572	America/Los_Angeles	US	accep
37.95143	2014-02-14	-91.77127	America/Chicago	US	average
15.73628	2014/08/30	75.96976	Asia/Kolkata	IN	accep
44.89784	10/26/2015, 00:00:00	8.86374	Europe/Rome	IT	accep
42.55308	2014-07-02	-87.93341	America/Chicago	US	accep
47.46657	2022-08-16	84.87144	Asia/Almaty	KZ	excellent
42.62833	2015/02/24	20.89389	Europe/Belgrade	XK	good
31.28092	2015-03-26	74.85849	Asia/Kolkata	IN	accep
-33.59217	17 Mar 2022	-70.6996	America/Santiago	CL	building
13.73417	16 Apr 2013	-89.71472	America/El_Salvador	SV	average
61.72744	07/25/2022, 00:00:00	17.10558	Europe/Stockholm	SE	average
41.41204	2018-04-23	2.18247	Europe/Madrid	ES	excellent
35.89972	01/15/2019, 00:00:00	14.51472	Europe/Malta	MT	average
25.66795	2013/06/02	85.83636	Asia/Kolkata	IN	accep
40.42386	10 Jul 2015	-3.53261	Europe/Madrid	ES	building
34.21639	2018/05/01	-119.0376	America/Los_Angeles	US	excellent
50.06	2012-10-29	43.2379	Europe/Volgograd	RU	average
15.79408	06/06/2022, 00:00:00	104.1451	Asia/Bangkok	TH	good
25.92493	19 Apr 2016	73.66633	Asia/Kolkata	IN	average
-3.5403	11 Jun 2022	118.9707	Asia/Makassar	ID	excellent
50.76306	2018-06-29	-1.29772	Europe/London	GB	average
33.76446	2022-04-12	-117.79394	America/Los_Angeles	US	average
41.91738	31 Jan 2014	3.1631	Europe/Madrid	ES	good
36.82167	27 May 2020	128.63083	Asia/Seoul	KR	good
-7.51611	2021-09-13	109.05389	Asia/Jakarta	ID	excellent
22.19303	01/23/2015, 00:00:00	88.18466	Asia/Kolkata	IN	accep
53.94313	08/24/2015, 00:00:00	10.30215	Europe/Berlin	DE	excellent
26.91756	05 Mar 2020	-82.07842	America/New_York	US	average
59.80917	2012/12/03	30.38167	Europe/Moscow	RU	accep
16.06213	14 Feb 2021	76.0586	Asia/Kolkata	IN	average
11.00599	2021/07/19	77.5609	Asia/Kolkata	IN	building
-22.53722	03/23/2018, 00:00:00	-42.98194	America/Sao_Paulo	BR	excellent
3.11988	2014-12-08	35.59642	Africa/Nairobi	KE	average
34.9	11 Feb 2014	137.5	Asia/Tokyo	JP	good
51.82721	2020-04-07	107.60627	Asia/Irkutsk	RU	good
-4.06667	05/08/2019, 00:00:00	37.73333	Africa/Dar_es_Salaam	TZ	good
20.88953	2014/03/22	-156.47432	Pacific/Honolulu	US	good
51.78771	2014-03-11	56.36091	Asia/Yekaterinburg	RU	excellent
57.97472	06 Aug 2020	33.2525	Europe/Moscow	RU	accep
45.0408	2019-10-31	-93.263	America/Chicago	US	accep
40.63316	05/16/2014, 00:00:00	-74.13653	America/New_York	US	average
32.17629	21 Feb 2016	75.06583	Asia/Karachi	PK	accep
9.3337	10/06/2017, 00:00:00	122.8637	Asia/Manila	PH	excellent
-21.42917	27 Apr 2013	-45.94722	America/Sao_Paulo	BR	average
25.66795	2020/09/05	85.83636	Asia/Kolkata	IN	average
48.35693	04/28/2021, 00:00:00	10.98461	Europe/Berlin	DE	accep
43.1009	2020-12-20	-75.23266	America/New_York	US	good
-2.90055	2016-10-28	-79.00453	America/Guayaquil	EC	accep
34.56861	2014-03-26	105.89333	Asia/Shanghai	CN	average
-7.51611	11/13/2013, 00:00:00	109.05389	Asia/Jakarta	ID	excellent
43.67681	2021/10/30	4.63031	Europe/Paris	FR	maintenance
39.12074	2016/02/20	27.18052	Europe/Istanbul	TR	good
17.94979	07 Jun 2017	-94.91386	America/Mexico_City	MX	accep
61.72744	12/28/2019, 00:00:00	17.10558	Europe/Stockholm	SE	average
40.72816	2022-03-27	-74.07764	America/New_York	US	building
-22.45667	2013-11-16	-47.53028	America/Sao_Paulo	BR	good
60.18427	2014/10/29	24.95034	Europe/Helsinki	FI	average
9.91861	07 May 2021	-68.30472	America/Caracas	VE	average
41.57721	04 May 2021	-93.71133	America/Chicago	US	maintenance
51.4781	2021-01-30	57.3552	Asia/Yekaterinburg	RU	building
48.98333	06 Aug 2017	2.61667	Europe/Paris	FR	accep
35.25064	2014-08-19	-91.73625	America/Chicago	US	building
53.5942	07 Dec 2012	25.8191	Europe/Minsk	BY	good
8.88649	08 Nov 2012	2.59753	Africa/Porto-Novo	BJ	excellent
29.69221	2020-06-29	72.54566	Asia/Karachi	PK	average
26.68451	2022/01/18	-80.66756	America/New_York	US	accep
32.61603	2020-05-07	44.02488	Asia/Baghdad	IQ	accep
9.15093	12/02/2012, 00:00:00	-79.62098	America/Panama	PA	good
28.88162	04/23/2016, 00:00:00	120.03308	Asia/Shanghai	CN	average
47.48444	2021-03-16	36.25361	Europe/Zaporozhye	UA	accep
43.32686	2012/09/29	-2.98884	Europe/Madrid	ES	excellent
30.24706	2022/03/02	115.04814	Asia/Shanghai	CN	good
45.0408	2019/07/16	-93.263	America/Chicago	US	excellent
26.68451	2019/01/13	-80.66756	America/New_York	US	excellent
56.56317	25 Feb 2020	-2.58736	Europe/London	GB	average
44.59445	2019-07-08	11.04979	Europe/Rome	IT	average
58.23583	04/30/2020, 00:00:00	92.48278	Asia/Krasnoyarsk	RU	average
53.77166	2013-03-29	38.12408	Europe/Moscow	RU	average
-30.60106	2013/10/17	-71.19901	America/Santiago	CL	good
21.01858	2021-10-11	-101.2591	America/Mexico_City	MX	acceptable
29.65163	05/03/2018, 00:00:00	-82.32483	America/New_York	US	average
16.455	05/31/2019, 00:00:00	120.5875	Asia/Manila	PH	accep
51.20219	25 Jun 2019	7.36027	Europe/Berlin	DE	accep
11.84962	12/24/2016, 00:00:00	-86.19903	America/Managua	NI	excellent
51.03427	28 Jan 2018	5.37429	Europe/Brussels	BE	accep
37.65639	04 Jun 2017	126.835	Asia/Seoul	KR	accep
-8.73508	31 Mar 2021	24.99798	Africa/Lubumbashi	CD	good
45.53929	09 Apr 2022	-122.38731	America/Los_Angeles	US	average
35.20889	2018/11/04	111.73861	Asia/Shanghai	CN	maintenance
28.88162	2015-07-24	120.03308	Asia/Shanghai	CN	accep
-2.13404	2022-03-18	-79.59415	America/Guayaquil	EC	good
-22.57306	27 Feb 2015	-47.1725	America/Sao_Paulo	BR	average
50.50301	08 Jun 2021	13.63617	Europe/Prague	CZ	average
33.78333	2021/01/28	114.51667	Asia/Shanghai	CN	accep
8.62261	2018-12-28	-70.20749	America/Caracas	VE	accep
51.95838	11/06/2013, 00:00:00	4.47124	Europe/Amsterdam	NL	average
50.5107	10/31/2018, 00:00:00	18.30056	Europe/Warsaw	PL	building
24.28859	2015-10-03	116.11768	Asia/Shanghai	CN	average
8.35122	2021/12/31	-62.64102	America/Caracas	VE	excellent
15.58552	01 Mar 2016	102.42587	Asia/Bangkok	TH	maintenance
51.42708	03/31/2019, 00:00:00	-0.91979	Europe/London	GB	excellent
29.21399	06/05/2018, 00:00:00	78.95693	Asia/Kolkata	IN	maintenance
36.65	2016-11-24	138.31667	Asia/Tokyo	JP	average
29.98869	09/09/2014, 00:00:00	122.20488	Asia/Shanghai	CN	maintenance
-7.57897	01/12/2016, 00:00:00	112.23109	Asia/Jakarta	ID	average
37.49073	06/03/2013, 00:00:00	-2.77259	Europe/Madrid	ES	accep
46.32313	2022-07-05	-0.45877	Europe/Paris	FR	excellent
14.93333	2012-11-02	-91.11667	America/Guatemala	GT	accep
3.7278	2017-09-17	98.6738	Asia/Jakarta	ID	excellent
30.35028	23 Nov 2013	112.19028	Asia/Shanghai	CN	maintenance
53.30972	2014-08-19	83.62389	Asia/Barnaul	RU	maintenance
37.52487	2019/09/08	-77.55777	America/New_York	US	accep
50.80904	06 Feb 2019	8.77069	Europe/Berlin	DE	average
50.82709	2018-04-13	6.9747	Europe/Berlin	DE	good
14.0823	2021-04-03	98.19151	Asia/Yangon	MM	excellent
22.49396	2017-10-23	-105.36369	America/Mazatlan	MX	excellent
32.44874	2013/09/08	-99.73314	America/Chicago	US	accep
35.61452	2019/07/29	-88.81395	America/Chicago	US	excellent
14.95472	03 May 2018	120.89694	Asia/Manila	PH	good
51.65	05/17/2019, 00:00:00	-0.2	Europe/London	GB	building
4.88441	07/20/2019, 00:00:00	101.96857	Asia/Kuala_Lumpur	MY	excellent
50.82882	2015-12-21	-0.32247	Europe/London	GB	excellent
27.71809	2019-01-02	-82.35176	America/New_York	US	accep
34.09611	03 Feb 2022	-118.10583	America/Los_Angeles	US	good
12.18441	29 Apr 2018	18.69303	Africa/Ndjamena	TD	accep
33.37526	2021-08-27	74.3092	Asia/Kolkata	IN	building
49.88307	02/04/2017, 00:00:00	-119.48568	America/Vancouver	CA	excellent
54.39304	2017/06/05	53.26023	Europe/Moscow	RU	good
8.43333	2019/04/27	99.96667	Asia/Bangkok	TH	building
56.11281	15 Jul 2014	69.49015	Asia/Yekaterinburg	RU	average
45.4473	2018/07/16	-73.75335	America/Toronto	CA	good
-20.87306	2013-11-08	-48.29694	America/Sao_Paulo	BR	good
39.46667	10/09/2016, 00:00:00	141.95	Asia/Tokyo	JP	good
44.31771	15 May 2013	9.32241	Europe/Rome	IT	excellent
27.34089	2014/11/21	117.4831	Asia/Shanghai	CN	excellent
36.33011	2020-04-03	138.89585	Asia/Tokyo	JP	good
-33.75881	2017/09/26	150.99292	Australia/Sydney	AU	accep
48.98994	2016/04/12	2.1699	Europe/Paris	FR	building
20.88197	11/14/2017, 00:00:00	85.83334	Asia/Kolkata	IN	building
42.30865	2019-02-15	-83.48216	America/Detroit	US	average
37.52487	05 Feb 2016	-77.55777	America/New_York	US	excellent
10.31672	01/19/2013, 00:00:00	123.89071	Asia/Manila	PH	excellent
40.67705	06/30/2022, 00:00:00	-73.89125	America/New_York	US	average
10.61285	25 May 2015	12.19458	Africa/Lagos	NG	average
25.80565	04/21/2013, 00:00:00	68.49143	Asia/Karachi	PK	excellent
54.58048	07/07/2015, 00:00:00	16.86194	Europe/Warsaw	PL	building
53.0233	02/11/2019, 00:00:00	-1.48119	Europe/London	GB	accep
6.46346	08/17/2018, 00:00:00	-2.31938	Africa/Accra	GH	building
10.13361	05 Apr 2021	124.84472	Asia/Manila	PH	average
10.61285	11 Sep 2022	12.19458	Africa/Lagos	NG	acceptable
-44.39672	2020/09/03	171.25364	Pacific/Auckland	NZ	average
8.62261	2020-06-06	-70.20749	America/Caracas	VE	building
40.66482	2016/01/22	122.22833	Asia/Shanghai	CN	good
5.90702	16 Dec 2021	116.10146	Asia/Kuching	MY	building
43.50891	2018/06/23	16.43915	Europe/Zagreb	HR	good
51.84819	03/15/2013, 00:00:00	1.26738	Europe/London	GB	excellent
16.0567	2019-08-21	103.65309	Asia/Bangkok	TH	average
17.34769	04 May 2020	78.55757	Asia/Kolkata	IN	accep
51.67822	03/03/2014, 00:00:00	33.9162	Europe/Kiev	UA	excellent
42.06166	2019/06/25	-1.60452	Europe/Madrid	ES	excellent
54.8421	2014/07/09	46.5813	Europe/Moscow	RU	maintenance
-2.13404	01/16/2017, 00:00:00	-79.59415	America/Guayaquil	EC	accep
33.14447	2014/12/27	47.3799	Asia/Tehran	IR	average
-32.45242	2017/01/17	-71.23106	America/Santiago	CL	average
51.24197	2017-10-07	4.82313	Europe/Brussels	BE	excellent
-8.99167	2018-04-20	125.21972	Asia/Dili	TL	good
48.73218	11 Apr 2020	11.18709	Europe/Berlin	DE	average
40.93121	21 Jul 2016	-73.89875	America/New_York	US	maintenance
16.68911	01 Mar 2021	98.50893	Asia/Yangon	MM	excellent
39.00622	2014/01/18	-77.4286	America/New_York	US	good
59.80917	10 Oct 2021	30.38167	Europe/Moscow	RU	excellent
12.25282	18 Nov 2015	79.41727	Asia/Kolkata	IN	maintenance
34.9	02/11/2019, 00:00:00	137.5	Asia/Tokyo	JP	good
34.75856	03/12/2022, 00:00:00	136.13108	Asia/Tokyo	JP	maintenance
2.41669	06/14/2018, 00:00:00	30.98551	Africa/Kampala	UG	good
34.95303	08/18/2020, 00:00:00	-120.43572	America/Los_Angeles	US	maintenance
41.1053	2014/03/22	-7.32097	Europe/Lisbon	PT	accep
53.95278	12/29/2019, 00:00:00	32.86389	Europe/Moscow	RU	building
11.93381	2019/03/12	79.82979	Asia/Kolkata	IN	excellent
20.88953	2021-06-05	-156.47432	Pacific/Honolulu	US	average
43.35071	11/19/2018, 00:00:00	46.10925	Europe/Moscow	RU	excellent
26.9423	2015/08/12	68.11759	Asia/Karachi	PK	excellent
33.08014	09/01/2020, 00:00:00	-83.2321	America/New_York	US	excellent
35.89972	2013-07-13	14.51472	Europe/Malta	MT	good
50.5107	03 Oct 2012	18.30056	Europe/Warsaw	PL	building
43.48961	11/14/2021, 00:00:00	-8.2194	Europe/Madrid	ES	accep
18.87813	06/14/2016, 00:00:00	72.93924	Asia/Kolkata	IN	excellent
24.96334	2017/01/23	10.18003	Africa/Tripoli	LY	good
30.76468	07 Apr 2013	74.12286	Asia/Karachi	PK	average
38.58894	2015/03/14	-89.99038	America/Chicago	US	accep
32.9156	10 Jun 2017	-117.14392	America/Los_Angeles	US	excellent
50.75	08/28/2022, 00:00:00	2.25	Europe/Paris	FR	maitennce
51.26	28 Jun 2020	-2.1875	Europe/London	GB	maintenance
43.71032	09/12/2020, 00:00:00	-1.05366	Europe/Paris	FR	average
7.57944	2013-02-02	-8.53778	Africa/Monrovia	LR	accep
