location	longitude	QoS	code	revision	latitude
Asia/Shanghai	122.22833	maintenance	CN	19 Sep 2021	40.66482
America/Los_Angeles	-122.40433	excellent	US	2016/05/21	37.71715
America/Sao_Paulo	-51.50361	average	BR	29 May 2018	-29.2975
Europe/Brussels	5.37429	good	BE	2020-05-05	51.03427
Indian/Antananarivo	47.31667	accep	MG	11/10/2021, 00:00:00	-19.65
Asia/Bangkok	100.04427	accep	TH	2015-09-05	13.8196
Atlantic/Canary	-15.58602	excellent	ES	2020-02-24	27.76056
Asia/Yekaterinburg	53.47103	excellent	RU	2018/04/24	54.48147
America/Maceio	-37.03861	average	BR	2014/01/06	-10.90889
Asia/Hebron	35.23388	maintenance	PS	2017/01/31	31.78336
Europe/Rome	12.84052	building	IT	17 Mar 2013	45.78071
Europe/Berlin	8.63333	excellent	DE	2013/03/11	52.2
America/New_York	-77.02303	building	US	2017/07/21	38.70734
Europe/Paris	2.08333	good	FR	12/16/2013, 00:00:00	48.86667
Asia/Kolkata	78.25795	accep	IN	08/16/2018, 00:00:00	9.82564
Africa/Tunis	10.03478	good	TN	09 Dec 2020	37.16911
America/New_York	-73.49484	accep	US	2013/05/02	41.14676
Asia/Tokyo	137.36215	average	JP	2016/02/29	36.75965
America/New_York	-71.08977	good	US	09/13/2017, 00:00:00	41.9001
Africa/Dar_es_Salaam	38.66667	excellent	TZ	2013/09/11	-6.25
America/New_York	-71.05977	accep	US	27 Apr 2015	42.35843
Asia/Makassar	117.59152	building	ID	2012/12/02	3.31332
Africa/Addis_Ababa	37.55	excellent	ET	2021-09-25	6.03333
Africa/Douala	10.7	good	CM	2013-12-20	4.96667
Asia/Kuala_Lumpur	103.6032	excellent	MY	2021/12/14	1.6561
America/Argentina/Buenos_Aires	-58.70072	average	AR	05 Aug 2018	-34.74785
America/Fortaleza	-40.7475	average	BR	2021-11-07	-4.16694
Asia/Jakarta	106.92667	good	ID	09/04/2014, 00:00:00	-6.91806
Africa/Kampala	30.98551	average	UG	2020-03-23	2.41669
Europe/Berlin	9.72749	building	DE	12/18/2016, 00:00:00	48.28259
America/Denver	-104.83192	excellent	US	01 Sep 2018	39.72943
Africa/Douala	9.00472	maintenance	CM	2022/07/05	4.2475
Asia/Shanghai	126.28333	good	CN	14 Oct 2015	45.35
Asia/Kolkata	88.58	accep	IN	10/27/2021, 00:00:00	23.18
Asia/Tokyo	137.5	maintenance	JP	2019-05-26	34.9
Asia/Novokuznetsk	85.4265	average	RU	2015/05/01	55.8736
Asia/Shanghai	117.27583	good	CN	21 Jun 2014	35.64889
Africa/Ndjamena	18.69303	average	TD	04/20/2020, 00:00:00	12.18441
Asia/Karachi	68.49143	accep	PK	03/23/2014, 00:00:00	25.80565
Asia/Tokyo	136.61667	good	JP	2012/12/03	36.53333
America/Los_Angeles	-122.2054	average	US	2015-11-30	47.76232
Asia/Kolkata	74.83554	average	IN	2017-05-31	14.62072
America/Los_Angeles	-122.23484	accep	US	2017/03/30	47.38093
Africa/Monrovia	-8.53778	good	LR	2015-01-09	7.57944
Europe/London	-0.33525	good	GB	01 Jul 2019	53.7446
Asia/Karachi	68.75915	average	PK	06/05/2019, 00:00:00	27.52948
Asia/Kolkata	86.59509	accep	IN	2018/07/31	26.11527
America/New_York	-74.13653	maintenance	US	2015-02-11	40.63316
Asia/Makassar	118.9707	excellent	ID	02/11/2015, 00:00:00	-3.5403
America/Mexico_City	-102.04897	accep	MX	2016-02-13	19.64745
Europe/Berlin	13.32127	maintenance	DE	06/15/2014, 00:00:00	52.59319
Asia/Kolkata	77.23826	accep	IN	2020-12-20	11.50526
Europe/Berlin	7.20769	good	DE	08/11/2018, 00:00:00	50.80019
Asia/Jakarta	112.01667	good	ID	04 Nov 2021	-7.81667
Europe/Amsterdam	7.00417	good	NL	2015/01/17	52.26083
Europe/Berlin	11.18709	maintenance	DE	05/18/2018, 00:00:00	48.73218
America/New_York	-81.79819	accep	US	06/17/2022, 00:00:00	41.48199
America/Guayaquil	-79.00453	excellent	EC	13 Nov 2012	-2.90055
Europe/Berlin	7.20769	excellent	DE	09/09/2017, 00:00:00	50.80019
Asia/Manila	120.56528	excellent	PH	2021-05-25	14.66
Europe/Minsk	25.8191	good	BY	2021/01/05	53.5942
Asia/Kolkata	85.83636	excellent	IN	09/10/2014, 00:00:00	25.66795
Europe/Madrid	-3.67029	accep	ES	2017/07/30	37.13548
Asia/Jakarta	98.6738	accep	ID	08/13/2013, 00:00:00	3.7278
Asia/Yangon	98.50893	excellent	MM	25 Sep 2017	16.68911
America/Los_Angeles	-117.14392	excellent	US	08 Aug 2020	32.9156
Europe/Rome	14.30935	average	IT	28 Apr 2022	40.92298
Asia/Makassar	117.59152	building	ID	2014-01-09	3.31332
America/Los_Angeles	-116.97725	accep	US	2012-10-18	33.92946
America/Denver	-111.90466	accep	US	26 Jul 2022	40.34912
America/Sao_Paulo	-48.62789	excellent	BR	08 Jan 2013	-17.74431
Europe/Zaporozhye	38.15035	accep	UA	27 Feb 2020	49.41029
Africa/Ndjamena	18.69303	accep	TD	04/23/2019, 00:00:00	12.18441
Europe/Sofia	27.25	accep	BG	26 Mar 2021	42.7
Asia/Tokyo	139.6853	maitennce	JP	17 Oct 2014	35.815
Asia/Manila	120.4861	average	PH	2020/05/25	16.0438
Asia/Kolkata	73.85535	average	IN	2021/05/06	18.51957
America/New_York	-72.27814	good	US	2019/09/17	42.93369
Asia/Kolkata	78.27539	accep	IN	2019/10/12	12.95629
Asia/Yekaterinburg	76.92421	excellent	RU	12/03/2020, 00:00:00	60.97944
Europe/Berlin	7.2278	average	DE	06/24/2016, 00:00:00	50.64336
Europe/Berlin	8.64409	maintenance	DE	2018-04-04	48.07667
America/Edmonton	-113.3187	maintenance	CA	17 Aug 2020	53.51684
Asia/Shanghai	117.33333	good	CN	2017-05-26	34.85
America/Argentina/Cordoba	-60.93173	average	AR	24 Dec 2015	-31.4488
Europe/Prague	13.63617	maintenance	CZ	03/15/2014, 00:00:00	50.50301
America/New_York	-77.96389	good	US	2020/07/06	39.45621
America/New_York	-80.22588	maintenance	US	01/17/2014, 00:00:00	26.2173
Asia/Yakutsk	111.4834	maintenance	RU	08/25/2014, 00:00:00	65.93381
Europe/Paris	2.44892	average	FR	2014-04-24	48.98693
Asia/Kolkata	76.0586	building	IN	08 Dec 2018	16.06213
Europe/Berlin	13.10984	excellent	DE	2017-03-03	51.30001
Africa/Abidjan	-3.59625	average	CI	2015/09/18	5.27247
Europe/Madrid	-1.64295	accep	ES	2015/12/12	42.8139
Europe/Berlin	10.18527	average	DE	2015-05-08	47.98372
Europe/Rome	11.04979	maintenance	IT	01/01/2018, 00:00:00	44.59445
Africa/Johannesburg	29.24152	accep	ZA	05/19/2022, 00:00:00	-26.93366
Europe/Rome	11.412	good	IT	05/16/2016, 00:00:00	45.50369
Africa/Kampala	32.88667	average	UG	07/22/2021, 00:00:00	3.27833
Europe/Berlin	8.86704	average	DE	06/07/2020, 00:00:00	50.23805
America/Chicago	-97.92977	excellent	US	08/20/2022, 00:00:00	38.06084
America/La_Paz	-65.71875	good	BO	30 Jan 2022	-21.44345
Asia/Shanghai	122.20488	maintenance	CN	2017-09-27	29.98869
America/New_York	-84.20299	good	US	11 Nov 2012	39.43534
America/Los_Angeles	-120.00865	building	US	26 Jun 2015	46.32374
Africa/Lagos	4.92235	building	NG	2020-04-22	7.65649
America/Mexico_City	-98.1664	maintenance	MX	11 Feb 2014	19.32932
Europe/Helsinki	24.95034	good	FI	2015/03/16	60.18427
Asia/Tehran	51.67462	maitennce	IR	2021-12-15	32.65246
Asia/Kolkata	83.97573	excellent	IN	2018/03/05	21.46527
Europe/Rome	14.72443	good	IT	02/27/2013, 00:00:00	36.92574
Africa/Nairobi	36.36339	average	KE	2014-01-24	0.03813
Asia/Tokyo	138.89585	excellent	JP	2022/03/19	36.33011
Asia/Jakarta	107.60389	good	ID	2019/06/17	-7.01833
Asia/Kolkata	84.63445	excellent	IN	05/18/2022, 00:00:00	24.81757
Europe/Moscow	37.92792	building	RU	11/11/2018, 00:00:00	53.93361
America/New_York	-82.32483	excellent	US	07/03/2016, 00:00:00	29.65163
Europe/Paris	2.18967	good	FR	2014-03-27	48.8765
America/Chicago	-87.66561	excellent	US	2021-08-08	41.8542
America/New_York	-76.99081	average	US	12 May 2017	38.96372
America/Bogota	-73.26022	good	CO	14 Sep 2014	6.46838
Europe/Dublin	-7.95	building	IE	2021-02-23	53.43333
Asia/Kolkata	73.85535	accep	IN	31 Jan 2013	18.51957
Asia/Karachi	72.54064	building	PK	2016/12/20	31.82539
America/Mexico_City	-93.11308	average	MX	06 Jul 2017	16.75973
Europe/Berlin	9.22796	excellent	DE	03 Jan 2014	48.46458
America/Chicago	-86.78777	good	US	2013-09-22	33.44872
Europe/Chisinau	28.28489	accep	MD	2018/08/11	48.15659
Asia/Karachi	71.52847	excellent	PK	14 Apr 2022	32.57756
Asia/Tbilisi	41.77921	maintenance	GE	2014-02-11	41.82143
Europe/Paris	2.18967	accep	FR	2021/11/16	48.8765
Europe/Moscow	39.8302	accep	RU	05/13/2020, 00:00:00	64.5635
Europe/Brussels	4.82313	average	BE	07 Aug 2017	51.24197
Europe/Moscow	38.12408	building	RU	2020/06/23	53.77166
Europe/Berlin	6.74549	average	DE	07/07/2019, 00:00:00	49.5099
Africa/Kinshasa	15.16554	excellent	CD	27 Aug 2022	-4.5833
Indian/Reunion	55.4504	good	RE	2018-01-19	-20.88231
Asia/Shanghai	117.65694	good	CN	07/17/2015, 00:00:00	36.19278
Europe/Berlin	6.51352	good	DE	02/28/2015, 00:00:00	51.19139
America/Los_Angeles	-120.45794	accep	US	10/20/2015, 00:00:00	34.63915
America/Los_Angeles	-117.23991	maintenance	US	2012/11/26	47.64995
Atlantic/Azores	-25.66689	good	PT	04/05/2021, 00:00:00	37.74615
America/Bogota	-72.47417	excellent	CO	2022-05-04	7.83389
America/Montevideo	-56.52361	average	UY	2021-07-01	-33.38056
Europe/Warsaw	17.4674	excellent	PL	15 Jun 2013	50.86079
Asia/Bangkok	99.96667	excellent	TH	16 Jul 2018	8.43333
Europe/Moscow	37.92792	average	RU	2013/10/06	53.93361
Africa/Lagos	4.18333	building	NG	15 Jul 2014	7.6
Asia/Kolkata	78.23456	good	IN	05/13/2015, 00:00:00	28.92694
America/Havana	-82.4017	building	CU	2020-09-01	23.0072
Europe/Rome	7.60872	average	IT	2014-06-17	43.78956
Europe/Madrid	-2.98884	building	ES	24 Nov 2021	43.32686
Europe/Rome	12.84052	acceptable	IT	2022-04-19	45.78071
Asia/Shanghai	117.7	accep	CN	06 May 2017	35.85
America/New_York	-74.28459	accep	US	2020-02-10	40.5576
Asia/Tokyo	137.4	average	JP	10 Apr 2021	34.81667
Asia/Manila	121.96361	accep	PH	19 Aug 2017	6.95194
Asia/Jakarta	103.61667	accep	ID	2019-01-06	-1.6
Asia/Ho_Chi_Minh	105.75635	accep	VN	02/07/2016, 00:00:00	10.29085
Europe/Istanbul	41.00817	excellent	TR	20 Jan 2020	38.13708
Europe/London	-1.06667	good	GB	2022/06/07	53.78333
Asia/Phnom_Penh	102.56365	average	KH	2020/01/09	13.65805
Europe/Berlin	10.30215	accep	DE	03/17/2015, 00:00:00	53.94313
America/Chicago	-88.81395	building	US	07/30/2020, 00:00:00	35.61452
America/Los_Angeles	-116.21677	maintenance	US	03/23/2020, 00:00:00	33.7207
Asia/Kuching	116.10146	good	MY	08 Jul 2014	5.90702
Africa/Mogadishu	43.38531	excellent	SO	2020/01/03	9.89206
Asia/Tehran	47.3799	average	IR	11/19/2016, 00:00:00	33.14447
Europe/Stockholm	17.10558	accep	SE	23 Jul 2017	61.72744
Africa/Kampala	32.88667	excellent	UG	2013/03/04	3.27833
America/Santiago	-73.02841	accep	CL	10/01/2020, 00:00:00	-36.9256
America/Chicago	-88.27205	building	US	2022/08/25	44.27804
Europe/Moscow	39.85331	good	RU	2021/09/21	57.30185
Asia/Yangon	97.01124	average	MM	08/14/2022, 00:00:00	17.30858
Africa/Casablanca	-5.22126	maintenance	MA	09/10/2019, 00:00:00	33.43443
America/Chicago	-91.77127	excellent	US	2018/02/28	37.95143
Asia/Baku	48.87498	good	AZ	2021/07/06	38.45598
Asia/Irkutsk	107.60627	accep	RU	2016/01/13	51.82721
Asia/Jakarta	99.1625	average	ID	01/15/2017, 00:00:00	3.3285
Asia/Tokyo	137.4	maintenance	JP	04 Jul 2016	34.81667
Africa/Kinshasa	15.16554	excellent	CD	2019-08-02	-4.5833
America/New_York	-72.27814	excellent	US	20 Feb 2017	42.93369
Asia/Tehran	51.67462	average	IR	12 Jun 2019	32.65246
America/New_York	-72.86843	excellent	US	02/05/2017, 00:00:00	41.27621
Asia/Kolkata	74.83554	accep	IN	2019/07/09	14.62072
Europe/Paris	2.45012	good	FR	2015/07/21	48.90982
Asia/Bishkek	73	maintenance	KG	2014-02-10	40.93333
Asia/Kolkata	71.21169	excellent	IN	03/12/2014, 00:00:00	21.59983
Asia/Tokyo	144.09638	accep	JP	2015/09/02	43.82634
America/New_York	-73.89125	building	US	2017/01/29	40.67705
America/Chicago	-97.03285	excellent	US	2020-11-13	47.92526
Europe/Rome	12.84052	excellent	IT	2021-12-30	45.78071
Asia/Karachi	72.54566	building	PK	16 Jun 2013	29.69221
Asia/Kolkata	77.23826	building	IN	11/11/2020, 00:00:00	11.50526
Africa/Tunis	10.58082	excellent	TN	07/27/2019, 00:00:00	35.72917
America/New_York	-81.77285	accep	US	05/24/2015, 00:00:00	28.54944
Europe/Skopje	21.32778	accep	MK	25 Jul 2021	42
Europe/Rome	8.55552	average	IT	2021-08-27	40.72586
Europe/Zaporozhye	38.15035	excellent	UA	2022/08/31	49.41029
Asia/Makassar	116.82887	accep	ID	2014/04/12	-1.26753
Asia/Shanghai	113.82465	excellent	CN	2015-09-28	23.29549
Asia/Tokyo	139.6853	accep	JP	2020/08/01	35.815
America/Chicago	-97.90308	building	US	2017-01-18	31.12406
Asia/Kolkata	74.80555	building	IN	2014/10/17	34.08565
Europe/Moscow	40.17171	average	RU	08/24/2020, 00:00:00	58.1908
America/Chicago	-87.70172	excellent	US	02/06/2021, 00:00:00	41.72059
Asia/Kolkata	73.08333	accep	IN	03 Jul 2019	19.21667
Asia/Kolkata	84.63445	average	IN	2014/10/14	24.81757
America/Argentina/Buenos_Aires	-59.13316	excellent	AR	04/03/2017, 00:00:00	-37.32167
America/Bogota	-75.69947	maintenance	CO	06/09/2020, 00:00:00	8.79577
America/New_York	-74.13653	average	US	2019-09-22	40.63316
Europe/Zurich	6.10237	building	CH	2020-01-23	46.18396
America/Chicago	-91.06177	good	US	2019/12/22	33.41012
America/New_York	-73.20483	maintenance	US	29 Jul 2020	41.16704
Asia/Aden	46.83187	excellent	YE	05/13/2013, 00:00:00	14.53767
America/New_York	-73.49484	excellent	US	2022-02-23	41.14676
Asia/Manila	120.5875	maintenance	PH	05 Jan 2022	16.455
Asia/Kolkata	75.96976	excellent	IN	09/20/2020, 00:00:00	15.73628
Africa/Addis_Ababa	38.01667	building	ET	18 Jul 2022	11.85
Africa/Accra	-1.4001	excellent	GH	05/29/2020, 00:00:00	7.06273
Europe/Rome	8.86374	good	IT	09/17/2022, 00:00:00	44.89784
Europe/Moscow	38.2739	average	RU	2014-07-08	46.7055
Asia/Manila	123.99333	accep	PH	22 Apr 2014	12.97389
America/Fortaleza	-42.29444	average	BR	2013-02-14	-4.24444
Asia/Shanghai	120.74792	accep	CN	2015/11/27	41.09822
Africa/Mogadishu	42.54536	building	SO	2019-06-14	-0.35817
America/New_York	-71.29144	average	US	2021/11/23	41.54566
Asia/Kolkata	83.36889	maintenance	IN	17 Oct 2020	26.76628
Europe/Paris	-0.59543	building	FR	2015-03-16	44.80477
Asia/Shanghai	120.14278	good	CN	26 Jan 2020	32.50611
Asia/Shanghai	117.33333	good	CN	14 Mar 2013	34.85
Europe/Moscow	36.73307	excellent	RU	11/15/2019, 00:00:00	55.38752
America/Fortaleza	-42.29444	maintenance	BR	2019/12/20	-4.24444
Europe/Amsterdam	4.47124	excellent	NL	20 Oct 2015	51.95838
Asia/Kolkata	78.14797	good	IN	01/24/2013, 00:00:00	15.45144
Africa/Algiers	4.85668	average	DZ	06/19/2016, 00:00:00	36.27462
Asia/Kolkata	77.40858	excellent	IN	2019/04/11	24.05979
America/Chicago	-88.27205	average	US	11/13/2015, 00:00:00	44.27804
Africa/Abidjan	-3.59625	accep	CI	2017/02/16	5.27247
America/New_York	-70.92866	average	US	2015-07-08	42.52787
Europe/Paris	2.29275	accep	FR	04/03/2015, 00:00:00	48.79325
Asia/Jakarta	106.85417	excellent	ID	31 May 2015	-6.48167
Australia/Perth	115.88782	good	AU	2021-12-28	-32.05251
America/Mazatlan	-105.36369	maintenance	MX	25 Jun 2021	22.49396
Asia/Karachi	68.11759	excellent	PK	06/08/2014, 00:00:00	26.9423
Asia/Colombo	79.87116	good	LK	06/21/2016, 00:00:00	6.84019
Australia/Melbourne	145.13643	maintenance	AU	09 Nov 2015	-38.16604
America/Port-au-Prince	-72.22625	building	HT	01/19/2022, 00:00:00	18.57677
Europe/Helsinki	24.95034	excellent	FI	2015-07-02	60.18427
Asia/Tokyo	130.94098	average	JP	03/08/2022, 00:00:00	33.3213
Europe/Paris	4.86667	building	FR	23 Aug 2017	45.51667
America/Los_Angeles	-122.24092	good	US	11/05/2021, 00:00:00	47.4943
Europe/Kiev	33.9162	accep	UA	24 Nov 2018	51.67822
Africa/Porto-Novo	2.59753	maintenance	BJ	04 Apr 2020	8.88649
America/Sao_Paulo	-46.99583	accep	BR	12/04/2015, 00:00:00	-22.97056
Europe/Berlin	13.28702	building	DE	2013-07-10	52.4581
America/Los_Angeles	-122.2054	accep	US	02/20/2014, 00:00:00	47.76232
Asia/Karachi	73.38333	good	PK	2015-06-07	31.71667
America/New_York	-84.67837	excellent	US	2019-11-14	34.06635
Asia/Shanghai	115.04814	average	CN	03 Sep 2014	30.24706
Europe/London	-0.76667	good	GB	2021-12-25	53.38333
Europe/London	-1.06667	good	GB	03 Jul 2021	53.78333
Africa/Lagos	3.64633	maintenance	NG	2020-05-25	6.8485
Africa/Accra	-1.4001	building	GH	05/03/2021, 00:00:00	7.06273
America/Chicago	-86.99666	excellent	US	2019/03/30	33.45122
Europe/Paris	-1.05366	accep	FR	2019/05/31	43.71032
Europe/London	-3.05814	accep	GB	09/20/2018, 00:00:00	53.00974
America/Detroit	-83.48216	building	US	2013-09-14	42.30865
Africa/Tunis	9.37082	average	TN	03/29/2015, 00:00:00	36.08497
Asia/Shanghai	122.22833	average	CN	2016-12-18	40.66482
Australia/Brisbane	153.10236	excellent	AU	06 Jan 2022	-27.50578
Asia/Karachi	71.57118	excellent	PK	01/16/2021, 00:00:00	32.87533
Europe/Lisbon	-8.33147	excellent	PT	19 Apr 2016	41.20485
Asia/Kolkata	74.4818	average	IN	01/07/2015, 00:00:00	30.21121
Asia/Tokyo	139.55722	accep	JP	2022-04-28	36
Asia/Yangon	98.19151	accep	MM	29 Dec 2016	14.0823
Europe/Paris	2.2469	good	FR	07/24/2017, 00:00:00	48.90472
Africa/Dar_es_Salaam	33	good	TZ	24 Dec 2018	-2.68333
Europe/Sarajevo	19.21437	average	BA	21 Mar 2015	44.75874
Africa/Bangui	15.87735	accep	CF	06 Jul 2022	4.94273
Europe/Oslo	16.54165	good	NO	2020/06/16	68.79833
Europe/Amsterdam	5.51978	building	NL	12/07/2013, 00:00:00	51.44889
Europe/Brussels	4.07601	building	BE	2016/05/29	50.88506
Asia/Kolkata	71.21169	good	IN	04/18/2021, 00:00:00	21.59983
America/Chicago	-87.45476	average	US	03/13/2014, 00:00:00	41.47892
Asia/Yakutsk	111.4834	building	RU	2018/06/30	65.93381
Asia/Jakarta	110.71639	good	ID	2021-12-24	-7.54972
Asia/Shanghai	120.03308	good	CN	2018-08-20	28.88162
Europe/Berlin	8.91229	average	DE	14 Jan 2018	49.13645
Europe/Volgograd	43.2379	good	RU	08/05/2020, 00:00:00	50.06
America/New_York	-71.8023	excellent	US	2013/08/09	42.58342
Africa/Bamako	-8.07257	good	ML	2016-09-04	12.74409
Asia/Seoul	126.835	average	KR	2013/06/29	37.65639
Asia/Tokyo	137.95378	accep	JP	2020/07/12	35.82756
America/Santiago	-70.6996	excellent	CL	28 Feb 2017	-33.59217
America/Chicago	-88.42814	good	US	2018/07/02	42.16808
Africa/Algiers	3.55665	average	DZ	03/23/2017, 00:00:00	36.72544
America/Chicago	-87.65644	good	US	2021/03/03	41.80753
Europe/Moscow	37.49338	average	RU	01/31/2013, 00:00:00	55.62047
Europe/Helsinki	24.95034	excellent	FI	2019/01/14	60.18427
Europe/Berlin	13.28702	excellent	DE	2017/09/19	52.4581
America/Recife	-34.88111	accep	BR	2019/03/07	-8.05389
America/Chicago	-87.70172	good	US	2020-05-27	41.72059
America/Vancouver	-119.48568	building	CA	11 Aug 2018	49.88307
America/Bogota	-74.95472	accep	CO	2012-10-30	10.98778
America/Los_Angeles	-122.24092	excellent	US	2017/10/10	47.4943
Asia/Bangkok	104.1451	excellent	TH	2018/09/28	15.79408
Asia/Karachi	68.21204	maitennce	PK	2020/11/13	27.55898
Asia/Kolkata	73.85535	accep	IN	2013-08-14	18.51957
Europe/Paris	5.4384	good	FR	02 May 2018	43.2907
Africa/Lagos	4.18333	excellent	NG	2017/01/16	7.6
America/Chicago	-87.66561	good	US	11/10/2020, 00:00:00	41.8542
America/Los_Angeles	-122.23484	building	US	02/21/2022, 00:00:00	47.38093
Africa/Accra	-1.98956	excellent	GH	05/25/2018, 00:00:00	5.30383
Asia/Colombo	79.883	average	LK	24 Mar 2019	6.9909
Africa/Lagos	3.64633	accep	NG	07/02/2015, 00:00:00	6.8485
America/Vancouver	-119.27337	accep	CA	2020/05/22	50.26729
Europe/Amsterdam	6.61944	maintenance	NL	2016-08-21	52.57583
America/Fortaleza	-41.45861	excellent	BR	2013/07/10	-4.42472
Africa/Tunis	10.78222	average	TN	03/11/2020, 00:00:00	36.46917
America/Chicago	-90.10674	excellent	US	2021/11/09	29.84576
Asia/Tokyo	135.31667	excellent	JP	2014-08-17	34.25
America/New_York	-82.35176	accep	US	2016/10/30	27.71809
America/Bahia	-37.93278	building	BR	2018/07/01	-11.48472
Asia/Karachi	74.12286	acceptable	PK	10/18/2015, 00:00:00	30.76468
Africa/Casablanca	-6.00137	accep	MA	23 Apr 2021	33.42585
Asia/Kolkata	77.24779	maintenance	IN	12/12/2012, 00:00:00	10.58806
Europe/Berlin	8.96317	average	DE	2018/09/10	48.35149
Africa/Bamako	-8.07257	average	ML	11/24/2017, 00:00:00	12.74409
Africa/Casablanca	-5.22126	good	MA	2014/10/24	33.43443
America/Chicago	-88.81395	maintenance	US	12/14/2014, 00:00:00	35.61452
Africa/Tunis	10.58082	good	TN	2022-01-15	35.72917
America/Chicago	-87.65644	maitennce	US	01/25/2014, 00:00:00	41.80753
America/Chicago	-88.42814	excellent	US	2021/07/31	42.16808
America/Mexico_City	-97.35992	maintenance	MX	2015/04/28	19.8173
America/Indiana/Indianapolis	-86.11084	excellent	US	2019/03/05	41.75338
Africa/Lagos	6.83042	excellent	NG	2017/04/08	6.15038
Europe/Berlin	9.5586	excellent	DE	2017/08/05	54.52156
America/Los_Angeles	-121.74052	average	US	17 Sep 2022	38.54491
Africa/Dar_es_Salaam	33	average	TZ	2014/11/14	-2.68333
America/Los_Angeles	-115.98391	average	US	2015/10/12	36.20829
Europe/Madrid	-4.10734	excellent	ES	28 Aug 2014	38.68712
Australia/Brisbane	153.10236	good	AU	07 Sep 2014	-27.50578
America/Port-au-Prince	-72.09391	maintenance	HT	05/28/2019, 00:00:00	18.65297
Europe/Istanbul	28.88222	accep	TR	2022-01-12	40.37528
Europe/Brussels	4.82313	excellent	BE	10/20/2019, 00:00:00	51.24197
Asia/Karachi	71.57118	accep	PK	2017/11/10	32.87533
Europe/Kiev	26.97253	excellent	UA	05/16/2018, 00:00:00	49.65186
America/Lima	-75.11028	average	PE	04 Nov 2019	-15.21194
America/Maceio	-37.03861	excellent	BR	2019-02-15	-10.90889
America/New_York	-81.26367	accep	US	2020/10/03	28.90054
America/Mexico_City	-94.91386	average	MX	07/17/2022, 00:00:00	17.94979
America/New_York	-73.89125	excellent	US	01/15/2020, 00:00:00	40.67705
