latitude	NH3	PM2.5	CH4	NOx	warning	O3	C2H3NO5	H2CO	CO	PRES	CFCs	PM10	Pb	TEMP	PAHs	longitude	SO2
37.73222	8.11936	10.56038	7.10600	7.59818	0.00000	6.55098	0.38986	57.21158	8.60770	1192.21442	53.16683	9.16184	36.39459	9.86451	6.84335	115.70111	9.79234
36.65	10.25324	9.83182	6.75836	6.96699	1.00000	7.68579	0.36578	59.65275	10.07475	1170.10552	36.76739	9.09227	59.58074	19.31429	7.18557	138.31667	9.45307
12.37169	7.42595	10.06548	6.10763	7.36784	0.00000	7.50204	0.44741	54.21866	7.45493	1055.07855	57.29970	9.31602	59.39388	9.74713	7.58515	123.62494	9.03938
39.57582	9.35382	12.53521	8.33842	9.20048	1.00000	6.86838	0.43661	17.24952	10.43665	1052.00095	69.05566	9.21721	38.86038	8.26159	5.29593	-105.11221	10.04216
40.42386	7.81354	10.45621	9.51231	8.20464	0.00000	9.42567	0.18186	47.45538	3.45748	1060.89146	40.22790	8.14751	65.22276	-7.61952	10.34693	-3.53261	6.52071
22.10194	7.42509	7.91728	9.21888	8.41584	0.00000	6.62371	0.79094	58.43454	7.40647	1156.33858	51.03784	9.89163	64.01795	18.36945	10.47841	85.37752	7.20299
-11.48472	9.10273	5.77750	6.71536	9.66904	1.00000	8.93823	0.17168	56.93734	8.67261	1153.34551	49.03748	8.13118	58.19328	2.96660	9.75945	-37.93278	5.47200
55.8736	7.98712	5.99347	6.15223	7.08718	1.00000	8.20804	0.21650	29.26173	8.52423	1150.90625	56.03065	8.32106	54.58408	23.21405	8.61925	85.4265	7.88624
19.30157	8.16524	8.43339	7.28455	8.86632	0.00000	8.11357	0.36052	71.56702	8.10514	1162.25494	39.61744	9.00477	77.05082	16.38824	5.21345	72.85107	9.22022
42.819	8.40233	8.34728	5.53011	7.17797	1.00000	6.22027	0.12211	54.51714	8.28176	1199.72834	55.81957	7.41128	66.83278	7.59764	7.61952	47.1192	4.90667
26.2173	9.41804	9.50240	10.45455	9.29681	0.00000	6.56752	0.81338	42.39307	6.34701	1185.07575	24.54046	9.94005	48.16962	15.14987	11.00423	-80.22588	7.92057
34.21639	5.88913	5.97083	6.99865	8.84431	0.00000	8.96831	0.68652	32.33838	4.60977	1105.63701	61.26627	9.76808	52.82938	10.76732	8.31976	-119.0376	11.10461
43.41949	8.00796	9.77979	3.77030	7.06732	0.00000	8.78901	1.32535	66.09529	9.20639	1066.88419	51.62367	10.45359	45.48449	22.24202	8.04750	77.0202	7.40208
18.65297	8.47573	8.17700	9.26297	9.40319	1.00000	6.02822	0.06366	47.72060	10.91126	1125.00415	51.52257	2.94666	75.51512	21.20443	11.69331	-72.09391	8.59250
39.78504	6.17432	9.22029	7.79015	7.70714	1.00000	8.77633	1.04136	45.95793	9.93637	1176.03306	82.18655	10.21297	60.55431	21.90223	6.59375	-85.76942	9.45067
23.15678	8.05128	10.55143	8.88544	7.84092	1.00000	7.54988	0.80016	65.61164	9.82859	1056.65311	59.66343	9.91137	55.07013	16.91530	6.38850	-81.24441	9.38389
37.65181	7.85273	8.91929	7.15570	8.52582	1.00000	9.17812	3.68498	66.03767	10.12455	1084.19678	47.85882	11.50875	50.08798	22.77098	7.33714	120.33063	9.78785
6.84019	7.94530	6.86387	7.50687	7.27208	1.00000	9.06770	0.05703	45.54408	9.72148	1199.27846	36.30804	5.46201	37.18001	-15.71603	11.39630	79.87116	5.34853
23.18	8.91792	10.35090	7.48753	8.58583	0.00000	8.98777	0.93959	45.30887	8.36593	1190.34993	20.19993	10.11387	33.76745	16.72744	6.45140	88.58	8.72778
5.90702	7.34699	7.42890	3.35361	11.78370	1.00000	8.39097	0.11410	24.72087	9.14277	1102.13804	71.79703	7.10927	44.64107	26.09895	7.69789	116.10146	8.54243
36.61033	9.02002	7.89509	7.25732	9.57703	1.00000	6.67498	0.08104	38.03472	9.03231	1186.25362	64.63642	5.83776	76.64657	-8.64164	11.30859	-88.31476	5.37904
41.85059	8.23682	9.51335	8.69250	6.39861	0.00000	7.16891	0.33867	41.23607	5.33313	1095.76251	38.37277	8.80102	20.71094	10.57374	6.36933	-87.882	11.02101
52.53048	10.72674	10.32643	8.33474	7.95995	0.00000	6.60975	2.39768	46.22100	8.70457	1137.37444	54.47638	11.08012	32.80243	27.83968	7.80180	13.29371	9.20262
34.81667	7.38616	6.84830	6.28161	8.35697	1.00000	8.21190	0.19520	41.35106	10.45904	1167.94131	69.05618	8.28577	50.45974	18.49264	5.36162	137.4	7.62278
15.46063	6.99687	9.72034	7.08643	7.16934	1.00000	7.15625	0.69178	43.11918	9.19921	1189.69961	28.59523	9.78120	30.38320	12.52891	6.59310	99.89166	9.91126
44.75874	8.58092	9.31917	8.44979	8.37406	0.00000	8.07244	0.84408	58.28220	7.49080	1197.30703	71.39300	9.97479	53.65645	19.78002	5.57829	19.21437	9.85658
34.5624	8.87309	6.74546	4.62366	8.63338	1.00000	8.33557	0.46713	31.14566	11.28072	1136.21905	50.53915	9.36260	42.18403	13.28453	9.42761	38.28402	10.06324
20.21322	8.36916	10.47178	7.48447	7.48831	0.00000	9.26914	0.36048	28.56861	7.08826	1198.25733	50.92850	9.06894	47.72183	26.95023	9.57339	-100.88023	5.27605
3.7278	9.22801	6.95603	7.03981	9.52551	0.00000	6.73330	0.06874	57.29526	10.03841	1198.99287	69.51889	6.36835	67.14480	12.78220	10.26028	98.6738	6.99754
53.77166	9.22534	6.41090	6.86842	8.23893	1.00000	10.25083	0.10248	33.74549	6.91756	1075.35377	71.26772	6.89621	62.56258	14.26194	12.16225	38.12408	9.92387
55.8736	8.31286	9.84513	4.93576	8.58457	1.00000	7.26770	0.29696	52.59434	10.86868	1174.38555	83.60243	8.66180	34.00459	2.41986	6.98163	85.4265	9.12679
13.8196	8.16078	7.59540	7.40585	7.34658	1.00000	7.16738	0.08323	30.54165	8.51617	1101.06302	82.17625	6.92232	55.11240	16.41872	10.68026	100.04427	10.96374
38.70734	6.01804	9.04628	7.67601	6.63589	0.00000	7.71559	0.84238	41.88231	6.51498	1165.96067	51.03643	9.98583	46.99059	16.79079	6.03223	-77.02303	8.78902
43.86682	7.01462	10.39158	11.04556	9.20364	0.00000	6.57532	0.42687	58.61745	6.13256	1050.63745	30.61240	9.18774	47.72000	21.18648	9.96880	-79.2663	8.35610
3.27833	8.99999	7.29515	8.14205	9.46579	1.00000	8.55345	0.02926	56.24908	11.18172	1111.76637	59.29886	4.20748	65.91261	5.59066	11.13429	32.88667	7.96058
35.64889	5.89833	6.67370	8.47143	7.78571	1.00000	7.68968	0.07262	57.03582	10.19764	1178.93311	65.40373	6.11455	68.64583	25.17712	9.77840	117.27583	10.16198
32.54278	8.88175	8.53365	4.76070	9.21722	1.00000	7.68809	0.24979	59.08435	10.39635	1069.32481	86.57546	8.45685	69.47212	-3.65145	3.93230	111.50861	6.26832
41.20485	5.16825	8.05597	8.53515	8.17629	1.00000	7.05007	0.08466	50.23707	10.25936	1139.89751	43.99103	5.27049	34.91122	18.19610	10.43576	-8.33147	9.28498
53.14657	8.35403	11.28244	8.97742	6.74410	0.00000	8.07622	0.42429	65.99740	8.14372	1150.11818	44.04352	9.31538	72.04749	11.34248	5.01284	140.72287	9.35004
54.8421	7.63339	8.83426	7.25120	7.15075	0.00000	7.19599	0.27534	61.00533	6.48526	1126.73655	46.62003	8.67593	52.30821	12.99479	6.06589	46.5813	10.29406
52.57583	8.31166	9.50327	5.57250	7.65306	1.00000	7.75211	1.06759	59.14366	12.05523	1136.36328	52.36017	10.21190	69.46085	7.93336	7.47085	6.61944	10.87030
-26.22861	6.86489	11.24653	8.35429	7.33609	1.00000	10.43832	1.54597	62.98066	8.43002	1120.36450	59.17150	10.62094	34.31138	9.29118	8.30411	-52.67056	8.64899
-26.93366	7.97353	7.97270	4.25936	8.99180	1.00000	7.17307	0.15573	38.53079	10.31500	1095.68304	56.51235	8.13368	60.48423	19.32832	7.35317	29.24152	8.82567
45.39402	9.92048	11.00903	10.09999	6.46537	0.00000	8.89492	3.33919	32.02013	6.94255	1156.41602	48.66846	11.41588	42.06192	4.59190	9.69882	9.29109	6.70700
40.5576	6.85062	8.03647	7.29594	7.49581	1.00000	8.91895	1.23754		9.99071	1144.06567	54.74477	10.39804	66.86841	4.80004	6.15533	-74.28459	9.68230
16.455	7.37725	10.25211	6.55139	9.15740	1.00000	9.89651	0.51463	33.75173	10.60342	1088.90719	53.90716	9.44716	42.40957	3.99254	7.10742	120.5875	10.06808
5.90702	9.07511	10.98101	9.85440	8.75186	0.00000	8.41421	1.72835	24.40542	9.47218	1059.96326	48.65032	10.74396	45.33782	18.83537	7.91750	116.10146	7.14365
40.63316	9.19039	9.62877	5.74473	6.35953	1.00000	7.24206	0.48726	31.68748	10.28814	1091.31441	45.15596	9.42303	75.54470		7.37375	-74.13653	9.30859
6.46838	9.57365	8.14003	5.70448	7.60466	1.00000	8.03793	0.23553	43.44129	8.99833	1169.51022	49.03278	8.55468	72.98629	25.58294	6.56535	-73.26022	5.44823
33.44872	9.26692	6.29882	9.25463	9.10483	1.00000	8.74393	0.07482	71.98828	9.44339	1197.58672	50.46102	4.52128	68.96050	6.14102	13.03512	-86.78777	7.67008
41.85059	7.19598	10.37387	8.44948	8.40065	0.00000	7.44927	0.80972	53.22127	7.45042	1151.31512	37.86509	9.93925	77.74080	16.72734	8.10064	-87.882	5.29122
33.45122	7.75450	6.05909	4.52178	7.46739	1.00000	9.46509	0.18806	69.90208	7.67301	1107.80698	51.24475	8.13973	59.70619	4.13727	9.34966	-86.99666	5.14309
49.03685	8.84560	8.10185	6.25807	6.63489	1.00000	7.77343	0.24750	57.41896	8.49320	1083.03011	50.28800	8.71041	47.06188	17.59259	6.80004	8.70745	9.08792
59.80917	8.94622	8.37221	7.41608	6.18086	1.00000	9.01611	0.08057	56.58368	11.02708	1162.21325	41.21985	5.70047	59.10525	8.34434	7.42552	30.38167	6.73869
45.49428	6.81847	8.65153	9.18049	7.44358	1.00000	9.33375	0.33392	17.33371	7.16004	1163.10838	75.30647	8.90486	60.98973	11.30815	5.48774	-122.86705	8.46114
48.52961	9.45947	13.27117	9.65452	9.58309	0.00000	8.28239	11.70136	59.73318	6.85025	1177.57937	60.62843	12.68626	41.14258	3.19446	11.88745	12.16179	6.57401
37.05944	7.19363	7.64651	9.73305	7.68742	0.00000	8.28212	0.30787	74.75433	7.69896	1182.84851	33.47565	8.65059	55.37977	25.58523	8.59222	37.3825	7.18881
14.62578	9.21415	11.98299	5.31685	9.31280	0.00000	8.81820	13.33495	24.44957	5.06621	1110.37019	42.54355	12.81587	55.11533	5.14760	12.97278	121.12251	3.47238
35.61452	5.95125	8.68940	10.49907	8.18616	0.00000	8.95565	3.62028	50.85217	6.82246	1069.48837	38.78950	11.49520	41.64095	27.26889	4.35279	-88.81395	8.84703
32.57756	7.64108	12.91327	7.49142	7.71359	1.00000	7.07713	0.70168	35.24632	11.16504	1088.69671	42.32151	9.75525	47.43507	-8.82167	7.32590	71.52847	9.14287
0.51667	7.34030	6.43805	3.20819	8.12446	1.00000	8.39562	0.19767	54.62100	9.92020	1053.55010	70.15437	8.12181	45.78709	-2.82918	9.14760	101.44167	9.75841
30.17746	6.85181	9.91692	6.84955	7.28201	1.00000	7.63830	0.61110	29.46869	8.53675	1197.41429	47.20226	9.66271	77.14280	1.52984	7.32192	-81.38758	8.85535
35.50056	7.19126	6.25610	8.21383	7.83488	1.00000	8.83726	0.07782	46.53046	8.07041	1070.82278	61.04282	5.32659	43.83094	16.90336	14.13523	117.63083	7.84127
-15.21194	7.31161	10.18362	8.58894	6.70119	1.00000	7.52469	0.78927	48.53778	8.33360	1088.42240	51.89838	9.90143	51.52743	27.56402	6.73047	-75.11028	8.88943
32.87533	8.50081	8.51761	10.54953	8.17196	0.00000	8.24270	0.25863	57.36761	6.99176	1140.31842	44.38053	8.47080	49.41508	18.59965	7.90659	71.57118	6.82910
47.05	7.61109	9.54880	8.78745	7.84600	0.00000	7.53572	0.24509	45.11872	6.15655	1092.21381	44.11512	8.30134	53.94353	17.50532	8.60358	15.46667	6.72905
36	8.44283	10.32018	10.38689	8.47649	0.00000	6.53477	0.78481	54.87687	8.14506	1136.69472	61.71622	9.90973	65.98200	6.88270	8.32478	139.55722	7.39878
37.51803	8.67429	8.31633	8.05760	8.41871	1.00000	8.10073	1.14431	57.89596	9.51006	1053.02433	88.05750	10.34016	44.68315	17.64516	6.76734	15.00913	9.95782
55.63711	7.87783	9.91128	8.91227	6.79714	0.00000	8.78092	0.90255	39.17594	6.21431	1178.44839	50.79613	10.04501	64.35607	21.48284	11.21735	37.38115	7.60789
52.41667	5.89160	11.46600	8.31490	8.77233	1.00000	7.14802	0.28916	48.68048	8.49152	1052.69744	65.16985	8.93119	62.97563	15.86325	5.47770	0.75	9.05453
45.49428	7.06518	11.42264	7.42818	9.07367	0.00000	9.38186	1.27782	77.31480	5.80419	1172.74641	46.87318	10.45133	50.46163	9.81346	10.30001	-122.86705	5.38784
