PAHs	Pb	PM10	O3	C2H3NO5	TEMP	H2CO	PRES	CH4	CFCs	SO2	warning	latitude	CO	PM2.5	NOx	NH3	longitude
7.87016	34.53032	7.56237	7.68644	3.81261	22.13269	62.94584	1166.18008	5.64821	59.15619	8.46199	1.00000	51.40944	8.46647	8.99007	9.45108	5.45192	46.04833
9.07893	35.24642	7.50315	10.75336	3.82420	11.47085	32.03771	1190.99304	7.73822	75.69726	6.88442	1.00000	35.06544	8.23601	8.36433	6.62797	3.60227	1.04945
10.59210	49.23227	6.75350	10.26219	2.46115	10.39559	32.52615	1105.89332	4.92342	70.11416	6.99949	1.00000	51.4781	8.49478	9.93852	7.95279	3.64668	57.3552
5.94199	31.45722	5.76368	8.36969	1.59422	-5.53741	26.31382	1125.79317	8.03952	65.13218	6.94763	0.00000	7.65649	8.14791	8.63583	5.85519	7.98516	4.92235
6.30786	46.45067	5.93739	9.67840	1.68041	20.61621	49.42287	1140.23095	6.79661	69.49050	8.05748	1.00000	41.27621	10.19857	9.11881	10.05854	3.03936	-72.86843
9.11314	43.24264	6.64120	8.07648	2.99992	19.05553	57.40142	1058.21855	7.16386	63.46592	7.71818	0.00000	32.9156	6.61371	6.20904	6.03652	5.01300	-117.14392
4.26486	26.61954	7.09588	13.51285	2.87202	14.87508	24.71142	1178.28338	8.11060	78.02473	7.40624	0.00000	11.8659	6.38213	9.74371	3.84692	6.68112	34.3869
9.81403	44.93594	7.37119	7.68564	3.32405	3.87995	30.89781	1176.78878	7.33881	55.70468	6.89300	1.00000	52.41667	9.13739	8.72935	8.62578	7.97587	0.75
10.81134	11.90948	8.76893	7.43698	8.16199	6.95312	70.33764	1053.75429	8.11112	65.28947	7.31574	1.00000	30.16688	8.65854	8.00803	8.45414	7.94192	-96.39774
10.38394	52.80229	6.32823	5.07809	2.18298	23.21480	30.62825	1123.29451	6.67105	73.94762	7.44732	1.00000	16.68911	6.30339	1.87647	7.34359	5.68321	98.50893
7.84203	43.39348	7.09190	8.18588	4.05207	12.57131	58.83034	1162.81422	7.67741	78.99502	6.98830	0.00000	41.27194	6.48182	5.02295	7.04710	3.53621	123.17306
10.50781	45.81275	7.86492	7.61892	4.62592	22.50152	39.80523	1090.55913	6.68549	70.49007	8.40175	1.00000	30.35028	7.84502	7.86680	9.16386	8.10440	112.19028
9.36006	36.87001	7.48822	9.84243	3.34332	10.85300	50.15019	1198.58382	8.86834	70.57416	7.62532	1.00000	27.76056	10.68636	9.32796	7.83446	6.19495	-15.58602
6.00345	47.94196	7.81278	8.85494	4.30060	15.57473	45.32082	1133.99098	9.32409	71.52521	8.66564	1.00000	45.44694	7.36018	8.50615	4.70134	10.89825	8.62118
9.38380	33.44001	7.92502	6.25663	4.40235	21.83197	61.18888	1157.74865	9.87344	83.35207	6.28600	1.00000	34.4833	7.91994	5.81179	7.30046	6.56582	136.84186
7.18797	53.77093	7.22566	8.96649	2.89646	24.51651	53.33181	1117.55194	8.18377	63.45311	8.82373	1.00000	33.92946	10.12472	9.35225	9.06456	4.29451	-116.97725
9.05402	59.17068	8.53323	5.00960	7.57945	-5.64732	41.66872	1131.83490	7.63008	66.82563	8.23774	1.00000	16.06213	8.72094	4.36741	9.38573	5.93746	76.0586
2.85404	35.14691	8.90758	8.42974	9.97930	35.56975	45.10371	1130.42256	7.34737	62.99189	6.44453	0.00000	59.80917	10.68893	5.85337	8.36293	14.01540	30.38167
5.60396	40.74417	7.73249	6.35265	3.42354	6.59881	59.11525	1100.39766	7.43238	76.39148	7.46281	1.00000	23.04419	9.70899	6.58170	11.08170	4.65312	-82.00919
3.90488	50.34337	6.85304	10.25751	1.68922	9.41041	51.58195	1066.73741	8.22933	72.17247	7.36698	0.00000	33.86419	9.62795	7.91535	8.04341	9.27503	48.26258
8.51640	57.39534	6.37929	4.49874	1.12047	16.11265	51.27044	1073.30549	7.44249	71.35473	7.37598	1.00000	30.35028	8.09962	3.24333	8.41219	3.72579	112.19028
10.44963	60.74446	8.47069	8.67765	6.77488	15.82737	34.26105	1185.60740	8.35835	69.44636	6.22841	0.00000	30.35028	6.69351	6.79779	4.77416	9.34109	112.19028
12.38825	59.11526	5.74351	6.90459	1.06159	23.87571	67.96649	1163.09044	8.02802	66.16719	6.70149	1.00000	35.50056	8.42844	6.23486	7.59456	7.95928	117.63083
8.85202	52.61595	8.34451	7.99271	5.92648	4.04662	54.22740	1086.95721	7.27535	89.87498	6.09755	0.00000	50.23019	5.44102	7.11367	6.89182	5.06254	8.77155
8.21940	34.63674	8.10370	9.16258	4.85903	20.16287	63.14762	1114.63711	5.41996	73.74402	7.56920	0.00000	23.29549	6.19162	6.47039	7.68392	6.00472	113.82465
8.88091	39.27075	9.29177	8.82603	12.92300	33.19441	27.59008	1129.88864	7.98634	79.26874	7.97936	1.00000	43.35071	9.87442	10.28436	9.88788		46.10925
7.67211	27.74704	5.86119	8.94803	1.57139	34.62536	35.69875	1054.46501	6.76818	78.80387	8.06307	0.00000	26.11527	9.09362	10.52301	4.29419	6.10719	86.59509
3.72804	33.51128	6.05165	9.65039	1.88713	23.68845	49.97938	1097.34696	5.84337	76.83797	7.41746	0.00000	14.95472	9.29151	7.81507	8.53699	8.86750	120.89694
8.27557	27.20159	7.16962	9.02988	3.00176	17.53597	64.91990	1150.75914	9.65930	75.03037	6.62754	1.00000	30.81383	9.83761	9.64245	9.83768	4.04728	75.16878
7.77331	51.32958	6.97635	7.28142	2.89666	12.22475	44.49658	1054.70089	7.08165	70.44161	6.89904	1.00000	61.72744	8.67483	7.05148	9.43954	5.89403	17.10558
11.10314	11.70115	8.29079	7.52612	5.96942	6.60891	56.84108	1137.98976	7.24116	80.47216	6.98689	1.00000	6.9909	9.32193	9.29591	7.12036	8.80877	79.883
11.08093	53.26666	7.80139	9.02778	4.65220	18.88754	37.56911	1066.53555	8.20160	66.14574	6.51165	1.00000	-3.5403	7.94682	9.56347	8.76084	5.36790	118.9707
6.38887	46.91299	8.69228	10.92936	7.62270	21.30878	51.14717	1198.42199	6.49686	60.55409	8.85313	1.00000	50.71229	11.75485	10.84040	11.69715	2.93899	4.52529
9.78839	45.99069	8.01194	5.80370	3.92864	-4.23354	48.14468	1085.28537	8.16196	66.07068	8.05448	0.00000	48.77275	7.82695	5.09478	6.58938	2.95094	5.16108
7.88244	38.80023	7.50495	6.66000	4.65567	8.28199	59.92617	1129.01130	6.45557	68.81429	6.00063	1.00000	36.19278	9.66352	7.10082	9.98724	5.91465	117.65694
8.55754	40.97773	8.11194	10.17657	5.10283	24.47140	79.16447	1142.78386	7.38908	52.66698	7.43201	0.00000	12.18441	8.06363	10.32070	5.28985	6.04857	18.69303
10.10023	60.65154	7.57183	8.54627	2.77209	24.44140	41.28152	1152.80383	9.68267	67.79751	7.81398	1.00000	43.83125	8.82157	7.41456	7.04091	10.54783	5.03586
5.19836	58.39983	7.58138	7.29030	3.47562	4.93317	40.57431	1162.67741	5.73271	64.51647	7.68740	0.00000	44.80477	6.89627	6.98517	6.89982	9.69590	-0.59543
7.00181	48.59217	9.18121	6.46278	12.08805	6.89469	67.16499	1061.26644	8.28089	66.03496	8.28288	1.00000	-33.79176	6.69367	5.75885	8.99359	5.20642	151.08057
4.85046	38.43529	8.32861	7.92088	6.04016	15.41866	39.37522	1111.03395	7.60021	52.53304	7.70107	0.00000	38.07789	8.23453	7.59685	6.59267	10.73674	13.44275
8.19944	18.49720	7.85509	6.81895	3.75963	21.15395	40.64271	1178.68291	7.19287	68.15385	8.85887	1.00000	39.00622	9.63273	6.38483	8.41490	5.43671	-77.4286
7.83015	52.90194	6.85972	9.73639	3.31787	16.64125	55.56375	1056.56895	6.99767	76.05522	5.89865	1.00000	21.53889	10.90768	8.85664	9.02450	6.39201	71.57737
8.60987	50.75106	7.32867	7.93938	3.85139	17.00933	46.74596	1189.19693	7.79828	74.13062	7.45384	0.00000	51.955	6.40356	6.01680	7.00581	4.30040	5.22778
9.71498	48.12400	7.46136	7.86802	2.89743	5.34755	32.04715	1081.48395	8.14324	59.02802	9.51434	1.00000	-13.7804	9.98643	6.78332	8.89866	6.56525	34.4587
8.30736	33.70989	8.03029	8.32659	5.77764	10.80257	40.36293	1051.54364	6.92590	72.79041	8.06007	1.00000	22.4711	8.92833	8.81259	9.24010	9.01977	88.1453
7.83211	62.17647	6.87833	7.86423	2.04326	20.19586	37.20875	1126.20710	7.91886	71.54973	8.22888	1.00000	27.0174	8.41499	9.57699	10.81473	6.18497	49.62251
10.03489	59.45195	6.82732	9.11671	2.42420	23.83075	49.90534	1101.96190	7.31463	61.29840	7.05425	0.00000	61.72744	5.99912	7.58149	5.17300	9.02317	17.10558
9.43091	43.34806	6.84444	7.11862	3.15016	12.38126	44.52809	1131.89139	8.40552	75.37700	8.77916	0.00000	41.54566	8.89672	4.50154	5.94392	4.68676	-71.29144
6.46530	44.29000	5.99265	6.47714	2.79273	7.20919	40.04149	1131.38053	6.11362	71.30681	8.75057	1.00000	37.95143	10.08249	9.76806	11.95403	9.44964	-91.77127
3.87853	65.07017	8.30187	11.60651	5.64020	17.92843	36.72792	1161.28811	6.97385	69.41734	6.78090	0.00000	55.39485	9.56284	8.28854	6.62270	9.78421	43.83992
6.81639	46.58001	6.81744	4.58557	1.73269	35.92957	38.58082	1091.87523	7.16718	67.09166	5.99740	1.00000	9.91861	8.24592	5.06315	8.45313	3.80508	-68.30472
8.49185	52.27232	9.29185	6.08819	13.45612	18.50609	51.35778	1153.72987	8.16152	72.58381	6.35835	1.00000	12.74409	6.93336	6.49050	7.10135	6.13553	-8.07257
6.95381	45.61869	8.01805	8.21890	5.34748	25.45574	77.00378	1064.24789	7.28497	78.02745	7.42215	0.00000	56.11281	5.73976	4.87535	7.19769	1.88018	69.49015
7.30663	42.62436	9.58140	7.32955	17.01083	23.32371	54.15613	1070.59452	6.11665	67.41237	6.76414	1.00000	41.14676	7.53612	8.42442	10.11319	6.69870	-73.49484
6.14068	25.63340	6.21306	5.71085	2.12208	17.64688	39.88167	1149.22541	7.38021	79.74683	7.22385	1.00000	55.64776	8.63684	5.48302	9.99209	5.04716	38.02486
7.31304	15.06571	6.09001	10.32118	1.81257	21.21474	56.82105	1185.89383	7.25601	65.92507	8.26287	0.00000	53.53041	6.73905	5.87035	7.78692	6.23384	43.67663
10.40082	56.64042	7.47851	8.99172	2.92230	12.36864	58.67674	1065.98479	8.51921	63.69488	7.73613	1.00000	20.88953	8.32177	9.05511	5.66022	3.81176	-156.47432
3.66615	39.40419	9.64220	7.28613	17.79051	19.72677	41.32258	1114.68907	6.65438	73.21591	7.12014	0.00000	33.92866	7.86770	6.82531	6.62545	10.96839	-6.90656
5.15872	49.38398	8.33550	7.37001	5.87889	3.93446	28.75640	1104.53330	6.49577	73.12980	6.60841	0.00000	40.49748	9.33742	7.16899	7.29676	9.89116	44.7662
10.07102	36.14954	7.95931	7.66322	5.30360	12.48959	45.08595	1102.95067	6.65785	71.45026	7.44824	1.00000	44.59445	6.20015	7.69634	7.66577	7.14880	11.04979
9.28572	58.05960	6.15681	10.14904	1.84803	3.55377	40.66671	1058.14692	6.50644	75.12124	7.97321	0.00000	39.00622	5.92915	11.19917	2.53685	4.96524	-77.4286
7.80065	57.72670	6.46886	5.26832	1.93738	3.64078	45.88968	1056.55076	6.29885	61.18023	7.51122	1.00000	6.84019	8.98582	6.14038	8.13288	5.79985	79.87116
5.61151	26.64534	6.67569	9.41505	2.23558	16.75292	32.42405	1069.57542	5.65727	73.08168	7.06867	0.00000	45.35	3.83863	8.13937	4.65897	7.17735	126.28333
9.57015	39.87361	8.39156	6.62071	6.42300	3.13875	52.86927	1153.08458	7.21818	68.31165	9.24927	1.00000	37.08819	9.01153	7.72455	8.26530	6.09084	-8.2503
9.28239	39.03166	7.58519	9.98888	3.11003	16.63865	40.52887	1131.27863	7.24151	62.43023	6.20861	1.00000	45.4473	7.42384	8.00997	8.66617	6.37377	-73.75335
9.88674	32.44527	8.62470	8.41406	8.58817	22.94663	54.79057	1110.07839	6.76430	59.93614	9.50633	1.00000	23.04419	8.92015	8.92233	6.69183	6.38704	-82.00919
7.78980	27.98029	8.59378	6.15865	8.26567	15.10343	77.76810	1154.62155	7.76223	68.96669	8.32946	1.00000	6.03333	9.59644	7.64596	9.30531	6.30131	37.55
7.81131	34.97764	6.16634	8.21009	1.91877	2.88428	32.89862	1094.34896	6.81860	65.20659	10.27081	1.00000	36.06386	7.92535	9.36149	10.82248	4.35279	4.62744
8.00114	51.26384	9.52024	7.21175	16.24801	38.41803	19.84484	1101.79772	6.82470	69.31013	9.21719	1.00000	15.45144	8.93513	8.40250	9.61945	6.83690	78.14797
7.65463	54.45428	6.71997	10.16950	3.36552	1.44323	38.08942	1168.34728	9.48141	62.20236	9.02403	1.00000	39.46667	11.09265	8.93948	8.86789	6.96264	141.95
6.27678	37.56258	5.32799	8.15259	0.97020	24.74273		1082.23006	7.25140	79.82322	8.05409	1.00000	40.68066	10.47329	9.22606	12.30058	6.77014	-73.47429
8.83055	34.63174	6.92145	9.35350	3.08333	22.15021	44.61923	1130.48277	7.23850	69.09902	6.22320	1.00000	55.85	8.04680	8.13990	6.81489	4.76473	37.56667
8.51826	52.11659	6.95404	5.57148	2.11060	16.05854	30.24265	1072.50199	8.56051	82.10245	7.63345	1.00000	48.77275	8.08570	6.43587	8.68871	6.60768	5.16108
7.25520	37.83125	8.62703	4.93687	7.22490	10.05548	54.68013	1090.77422	6.19966	72.43705	7.23678	1.00000	7.50251	8.89362	4.98666	8.76324	4.59221	5.06258
5.59441	37.53126	5.52966	9.81043	1.13853	8.31645	32.57506	1071.32434	6.47076	75.18936	8.79218	0.00000	45.53069	7.32490	8.36828	4.84250	9.16425	9.40531
9.55902	81.30149	6.72697	6.61066	2.40119	15.10231	47.30444	1121.56036	8.09017	65.82864	4.56263	1.00000	-8.73508	8.35596	6.09555	6.96434	6.01276	24.99798
7.93737	39.92136	7.15402	9.61127	2.19268	21.95282	67.42511	1059.90479	6.47701		7.43128		27.09978	5.18755	6.58376	6.83075	6.13273	-82.45426
7.89476	44.33770	7.20012	9.77402	3.05234	5.10240	50.62061	1115.58914	6.48476	82.00941	6.41598	1.00000	-31.4488	5.04824	3.94438	3.39728	7.43513	-60.93173
6.40555	29.87614	8.35059	5.29949	4.71583	10.97440	52.92369	1192.51593	8.77525	78.42682	7.16895	0.00000	55.54028	8.76358	6.32719	8.15354	12.15706	89.20083
9.37745	39.66672	9.57410	8.26979	17.06568	14.54017	32.76361	1180.36499	8.97720	65.47244	8.08758	0.00000	-14.66463	7.10405	6.01949	5.89589	6.35084	-52.35558
8.59215	46.69375	8.58928	8.29825	8.43573	5.30700	88.15071	1094.71023	8.74356	66.45350	7.48429	1.00000	34.56861	8.78685	8.67028	9.86337	7.26355	105.89333
9.21124	64.72405	6.89859	8.59448	3.38267	39.55070	34.29053	1169.09469	7.37280	61.50131	7.89612	1.00000	46.32374	7.34110	6.50302	7.76052	10.41674	-120.00865
7.01158	41.04936	6.56906	8.42419	2.82234	-1.03108	23.18363	1090.83899	8.08644	62.85446	7.36958	0.00000	55.85	10.05503	9.71239	5.48009	7.74363	37.56667
5.35055	48.25143	8.59640	6.98316	7.69566	20.73573	55.48251	1056.82213	6.60069	76.00421	7.93018	0.00000	53.95278	11.13992	8.00217	8.06820	10.58594	32.86389
7.08734	32.35139	7.45844	4.98971	3.63034	11.85593	53.19330	1097.31133	5.18911	66.24011	6.98139	1.00000	35.95664	7.76898	9.14180	10.98651	8.60142	36.7138
9.32912	31.29173	7.57449	7.93761	3.41286	11.06470	54.68363	1159.58046	7.62791	69.01462	8.05286	0.00000	-6.8048	3.87239	8.01679	6.92155	6.30214	110.8405
12.36666	62.94385	8.18493	6.60002	5.21680	18.17500	55.01431	1079.04247	7.76311	75.18003	5.27464	1.00000	-17.83333	5.90664	7.29375	5.65433	9.26051	48.41667
9.58410	47.00566	6.76845	9.17826	2.45851	15.83425	51.39873	1195.24288	6.56324	72.98667	7.85790	1.00000	-6.8048	8.91820	9.76842	8.71217	4.50669	110.8405
9.26243	33.33510	7.28141	10.63800	3.38868	14.12749	44.79952	1141.61186	6.67126	75.47685	7.01865	1.00000	37.1759	9.78896	9.70732	7.63160	4.21590	128.9889
10.50682	63.89206	6.21555	9.38305	2.40774	3.92361	66.34079	1100.22479	9.10302	67.71373	5.96408	1.00000	-34.64966	10.40089	9.52322	7.29316	6.66139	-58.38341
9.88001	34.81672	7.55434	7.10534	3.12674	17.05948	24.03112	1131.64871	8.05755	68.63240	7.44314	1.00000	42.97086	10.13026	7.69033	9.58831	6.16485	-82.42491
9.44696	51.42820	5.63572	8.51485	0.71635	24.79166	53.46061	1192.62153	7.51905	88.05343	7.09315	1.00000	18.65297	8.32102	7.91603	6.31088	7.51531	-72.09391
5.91464	36.16627	7.66093	10.89989	3.18485	5.19105	67.97444	1157.10170	5.44459	71.36096	7.30727	1.00000	20.22816	10.18798	9.01127	10.42156	3.36510	-103.5687
10.40816	34.82785	7.04734	9.15237	2.56735	-1.58753	39.94644	1199.45467	7.20403	60.68960	8.59748	1.00000	33.37526	7.06729	8.77375	8.05410	5.53759	74.3092
7.62141	66.43804	7.36028	8.90474	4.08168	1.59961	47.19485	1070.19443	8.25592	64.76431	7.73029	0.00000	51.44889	7.90192	4.18977	6.20431	4.06695	5.51978
7.96361	40.13428	11.14628	7.33860	76.12986	9.83387	64.67467	1140.32713	7.62146	66.29178	9.10081	1.00000	51.44889	9.77781	5.46186	9.69240	5.28424	5.51978
9.36700	47.75764	9.78187	8.20626	19.93744	-1.24308	37.86542	1082.81022	7.60424	60.23210	6.02084	1.00000	34.25807	9.96965	9.56844	7.88025	5.65922	-88.70464
8.73881	26.90941	8.73718	9.28897	8.13757	34.78979	59.46105	1108.84575	8.28124	73.35883	7.61792	0.00000	52.4581	8.84908	5.94995	7.14008	5.74859	13.28702
8.35446	42.96494	5.83966	11.70380	1.72350	25.49205	57.13363	1157.32475	9.40710	69.00310	6.19851	1.00000	29.21399	10.14703	9.58307	8.57176	3.27415	78.95693
7.65681	33.69561	7.35444	5.06244	3.26487	7.30625	40.82139	1090.60262	6.75671	80.36544	6.95123	1.00000	52.41667	9.31655	5.49918	9.24057	5.18193	0.75
9.02812	55.47615	7.29610	8.46865	2.67441	-2.35072	53.14160	1139.09278	7.76108	63.69907	8.23427	1.00000	15.58552	9.64214	8.32024	7.04802	8.08712	102.42587
9.44343	45.02686	6.82016	10.94129	3.40434	10.06413	55.53090	1105.92105	5.81211	75.14589	7.17417	1.00000	4.88441	9.35127	9.44206	5.74082	1.73347	101.96857
