station	latitude	revision	QoS	longitude	code
Mbalmayo	3.51667	31 Oct 2017	good	11.5	CM
Casa Blanca	19.04222	2020-02-23	excellent	-98.11889	MX
Barracas	-34.64966	2015-02-26	excellent	-58.38341	AR
Claremont	34.09668	2017-01-20	average	-117.71978	US
Durazno	-33.38056	2013-03-16	accep	-56.52361	UY
Kediri	-7.81667	2022-05-15	accep	112.01667	ID
Kitgum	3.27833	08/07/2016, 00:00:00	maintenance	32.88667	UG
Nova Xavantina	-14.66463	31 Aug 2014	excellent	-52.35558	BR
Verl	51.88333	2021-07-31	accep	8.51667	DE
Pekin	40.56754	03/02/2018, 00:00:00	maintenance	-89.64066	US
Smolyan	41.57439	2019/09/17	good	24.71204	BG
Gorgonzola	45.53069	2015-11-13	accep	9.40531	IT
Haicheng	40.85158	06/12/2021, 00:00:00	excellent	122.74754	CN
Debre Tabor	11.85	2012-09-28	good	38.01667	ET
Kashipur	29.21399	12/15/2016, 00:00:00	good	78.95693	IN
Troutdale	45.53929	2019/03/01	building	-122.38731	US
Jalal-Abad	40.93333	2013-10-08	average	73	KG
Charlottenburg-Nord	52.53048	2018-12-12	accep	13.29371	DE
Huangshi	30.24706	20 Oct 2017	excellent	115.04814	CN
Stuttgart	48.78232	2014-05-19	excellent	9.17702	DE
Ksar Chellala	35.21222	2017/08/21	excellent	2.31889	DZ
Visitacion Valley	37.71715	2014-06-13	average	-122.40433	US
Ajaccio	41.91886	2020-06-05	accep	8.73812	FR
Bibiani	6.46346	2021-10-21	excellent	-2.31938	GH
Bron	45.73333	2014-02-08	average	4.91667	FR
Newburgh	41.50343	02/11/2021, 00:00:00	average	-74.01042	US
Donggongon	5.90702	13 Jul 2015	good	116.10146	MY
Aguilares	-27.4338	20 Sep 2020	good	-65.61427	AR
Cuenca	-2.90055	08/12/2022, 00:00:00	accep	-79.00453	EC
Walsrode	52.86147	2015/10/02	maintenance	9.5926	DE
Yamada	39.46667	2021-06-17	average	141.95	JP
Kati	12.74409	2017-09-10	excellent	-8.07257	ML
Mvomero	-6.25	12 Feb 2014	building	38.66667	TZ
Laiwu	36.19278	08/01/2015, 00:00:00	average	117.65694	CN
Svatove	49.41029	04/22/2019, 00:00:00	accep	38.15035	UA
Cibinong	-6.48167	12/23/2018, 00:00:00	good	106.85417	ID
Valinhos	-22.97056	2012-10-17	good	-46.99583	BR
Burgos	15.72892	2020/10/16	average	120.57224	PH
Losheim	49.5099	30 Oct 2015	average	6.74549	DE
Huangshi	30.24706	2015-01-11	accep	115.04814	CN
Frederiksberg	55.67938	2020-04-12	good	12.53463	DK
New City	41.80753	2013/01/18	maintenance	-87.65644	US
Aguadilla	18.42745	20 Apr 2015	building	-67.15407	PR
Kasangulu	-4.5833	2014-11-04	accep	15.16554	CD
Ramla	31.92923	2013-01-08	good	34.86563	IL
Sungurlu	40.1675	07/24/2016, 00:00:00	accep	34.37389	TR
Barmbek-Nord	53.6052	01/15/2016, 00:00:00	excellent	10.03988	DE
Svatove	49.41029	2017/02/01	average	38.15035	UA
Marau	-28.44917	07/10/2013, 00:00:00	building	-52.2	BR
San Giuliano Milanese	45.39402	13 Nov 2013	average	9.29109	IT
Taozhuang	34.85	10/14/2016, 00:00:00	accep	117.33333	CN
Dobrush	52.4089	01/06/2015, 00:00:00	average	31.3237	BY
Nonoichi	36.53333	04 Dec 2015	excellent	136.61667	JP
Okahandja	-21.98333	2021-06-26	excellent	16.91667	NA
Eppingen	49.13645	02/25/2014, 00:00:00	excellent	8.91229	DE
Danjiangkou	32.54278	15 Jan 2018	maintenance	111.50861	CN
Kovylkino	54.03876	2013-02-25	building	43.91385	RU
Zeist	52.09	2017/04/28	accep	5.23333	NL
Viradouro	-20.87306	2014/01/27	maintenance	-48.29694	BR
Harrisburg	40.2737	2014-07-24	maintenance	-76.88442	US
South Lawndale	41.84364	03/30/2020, 00:00:00	good	-87.71255	US
Pucheng	27.92333	2020/09/12	excellent	118.53333	CN
Bang Ban	14.37395	2018-12-03	average	100.48528	TH
Tyoply Stan	55.62047	2020/06/07	excellent	37.49338	RU
Pucheng	27.92333	2020/04/12	maintenance	118.53333	CN
Hudiksvall	61.72744	19 Apr 2017	good	17.10558	SE
Barmbek-Nord	53.6052	11/11/2014, 00:00:00	good	10.03988	DE
Liberia	10.63504	2012/12/09	average	-85.43772	CR
San Rafael	9.92787	03/30/2019, 00:00:00	good	-84.13722	CR
San Juan	26.18924	05 Dec 2015	average	-98.15529	US
Talisay	10.7375	04/23/2019, 00:00:00	accep	122.9666	PH
Lancing	50.82882	2020-03-14	maintenance	-0.32247	GB
Vestavia Hills	33.44872	14 Sep 2019	accep	-86.78777	US
Nikolayevsk-on-Amure	53.14657	2021/08/13	excellent	140.72287	RU
Shimotoda	35.815	26 May 2019	building	139.6853	JP
Ghat	24.96334	2013-09-12	average	10.18003	LY
Ambatondrazaka	-17.83333	2021/01/11	maintenance	48.41667	MG
Boumerdas	36.76639	03/13/2014, 00:00:00	building	3.47717	DZ
Hechingen	48.35149	10/05/2021, 00:00:00	average	8.96317	DE
Inverness	57.47908	2015-06-17	accep	-4.22398	GB
Debre Tabor	11.85	2016/06/21	accep	38.01667	ET
Verl	51.88333	2016/03/04	accep	8.51667	DE
Villabate	38.07789	06/24/2015, 00:00:00	accep	13.44275	IT
Yunguyo	-16.25	2021-09-16	accep	-69.08333	PE
Mbalmayo	3.51667	11/25/2013, 00:00:00	average	11.5	CM
Daud Khel	32.87533	2018/12/25	excellent	71.57118	PK
Novosilikatnyy	53.30972	05/21/2016, 00:00:00	good	83.62389	RU
New City	41.80753	2017-04-01	average	-87.65644	US
Dipolog	8.56697	2019-12-02	good	123.33471	PH
Ataq	14.53767	20 Jun 2014	building	46.83187	YE
Bar-le-Duc	48.77275	19 Nov 2012	excellent	5.16108	FR
Nowshahr	36.64852	23 Feb 2013	good	51.49621	IR
Paracho de Verduzco	19.64745	2014-04-01	accep	-102.04897	MX
Guli	28.88162	2019-02-05	excellent	120.03308	CN
Mongo	12.18441	2018/04/20	building	18.69303	TD
Licheng	23.29549	2019/06/12	average	113.82465	CN
Scotch Plains	40.65538	21 Dec 2015	excellent	-74.38987	US
Eisen	36.82167	07/15/2018, 00:00:00	accep	128.63083	KR
Ghat	24.96334	2018-11-27	acceptable	10.18003	LY
Rudolstadt	50.72043	2022-07-09	good	11.34046	DE
Soure	-0.71667	25 Dec 2019	good	-48.52333	BR
Reus	41.15612	07/09/2018, 00:00:00	excellent	1.10687	ES
Sar-e Pul	36.21544	2022/07/04	average	65.93249	AF
Laiwu	36.19278	2022/08/31	average	117.65694	CN
Cheraga	36.76775	2020/01/05	excellent	2.95924	DZ
Lebanon	39.43534	09/29/2012, 00:00:00	good	-84.20299	US
Kamina	-8.73508	2020-04-30	excellent	24.99798	CD
Esmeraldas	-19.7625	09/20/2015, 00:00:00	good	-44.31389	BR
Columbia Heights	45.0408	21 Apr 2021	excellent	-93.263	US
Inverness	57.47908	05/17/2020, 00:00:00	building	-4.22398	GB
Vryheid	-27.76952	12/23/2016, 00:00:00	average	30.79165	ZA
Bhayandar	19.30157	2022-02-08	accep	72.85107	IN
Dax	43.71032	10/08/2018, 00:00:00	average	-1.05366	FR
Sharypovo	55.54028	2019-06-21	average	89.20083	RU
Jaruco	23.04419	2017-02-26	excellent	-82.00919	CU
Porterville	36.06523	06/21/2022, 00:00:00	accep	-119.01677	US
Puertollano	38.68712	2016-09-13	accep	-4.10734	ES
Nutley	40.82232	2015-05-29	accep	-74.15987	US
Krasyliv	49.65186	06/15/2014, 00:00:00	excellent	26.97253	UA
Kalavoor	9.57046	2016/12/02	accep	76.32756	IN
Zacoalco de Torres	20.22816	2022/05/29	average	-103.5687	MX
Bar-le-Duc	48.77275	2015/08/11	building	5.16108	FR
Mudanya	40.37528	04/20/2021, 00:00:00	maintenance	28.88222	TR
Buri	-23.7975	2018/04/16	accep	-48.59278	BR
Novara	45.44694	11 Dec 2016	excellent	8.62118	IT
Nowshahr	36.64852	2020/03/14	accep	51.49621	IR
Meizhou	24.28859	2014/03/07	maintenance	116.11768	CN
Dawei	14.0823	07/03/2022, 00:00:00	average	98.19151	MM
Debre Tabor	11.85	2019/04/05	average	38.01667	ET
Lower West Side	41.8542	12/18/2017, 00:00:00	building	-87.66561	US
Tavda	58.04254	07/28/2014, 00:00:00	accep	65.27258	RU
Casa Blanca	19.04222	09/07/2018, 00:00:00	good	-98.11889	MX
Kearns	40.65995	30 Jan 2019	maintenance	-111.99633	US
Lal Bahadur Nagar	17.34769	2014-01-23	accep	78.55757	IN
Al Jubayl	27.0174	2015-07-20	excellent	49.62251	SA
Brentwood Estates	36.02506	14 Dec 2020	accep	-86.77917	US
Franceville	-1.63333	2012/11/11	good	13.58357	GA
Baulkham Hills	-33.75881	28 Jan 2020	excellent	150.99292	AU
Valinhos	-22.97056	24 Apr 2014	average	-46.99583	BR
Antipolo	14.62578	30 Sep 2019	excellent	121.12251	PH
Kudus	-6.8048	25 Apr 2019	excellent	110.8405	ID
Ar Ruseris	11.8659	2020-07-21	average	34.3869	SD
Montana	43.4125	2019-12-07	average	23.225	BG
Sasayama	35.06667	2013-06-25	accep	135.21667	JP
Tadmur	34.5624	2022/02/07	excellent	38.28402	SY
Chiguayante	-36.9256	16 Jan 2019	average	-73.02841	CL
Gainesville	29.65163	2020/09/11	average	-82.32483	US
Damnoen Saduak	13.51825	02/19/2018, 00:00:00	maintenance	99.95469	TH
Temara	33.92866	02/13/2015, 00:00:00	maintenance	-6.90656	MA
Kafanchan	9.58126	16 May 2015	accep	8.2926	NG
Pilkhua	28.71271	2021-11-28	accep	77.656	IN
Ada	34.77453	2021-07-08	average	-96.67834	US
Chapletown	53.46506	2014/06/05	accep	-1.47217	GB
Vryheid	-27.76952	15 Aug 2015	average	30.79165	ZA
Kashipur	29.21399	12/26/2020, 00:00:00	average	78.95693	IN
Greenville	33.41012	2013/03/16	accep	-91.06177	US
Thetford	52.41667	2015-10-10	excellent	0.75	GB
Randudongkal	-7.0981	09/11/2016, 00:00:00	average	109.3243	ID
Cavaillon	43.83125	2022/07/24	good	5.03586	FR
Mechanicsville	37.60876	2017/11/27	excellent	-77.37331	US
Chharra	27.9247	06/26/2020, 00:00:00	average	78.40102	IN
Thomazeau	18.65297	16 Jun 2016	accep	-72.09391	HT
Lons-le-Saunier	46.67535	07/19/2021, 00:00:00	building	5.55575	FR
Dongfeng	42.64031	21 Dec 2019	accep	125.51176	CN
Leteri	24.05979	03/10/2014, 00:00:00	building	77.40858	IN
Karben	50.23019	2020/03/20	average	8.77155	DE
Mira Mesa	32.9156	20 Aug 2015	building	-117.14392	US
Patnos	39.22493	05/13/2021, 00:00:00	average	42.85693	TR
Severodvinsk	64.5635	16 Apr 2016	average	39.8302	RU
Esperanza	-31.4488	28 Aug 2020	excellent	-60.93173	AR
Carnaxide	38.72706	2015/04/23	accep	-9.24671	PT
Middle River	39.33427	03 Nov 2017	accep	-76.43941	US
Baza	37.49073	04 Mar 2019	excellent	-2.77259	ES
Jais	26.2649	2021-09-02	maintenance	81.54855	IN
Aytos	42.7	20 Feb 2016	maitennce	27.25	BG
Mianwali	32.57756	01/08/2022, 00:00:00	accep	71.52847	PK
Kamina	-8.73508	24 Aug 2021	excellent	24.99798	CD
Likhobory	55.85	2013/09/05	building	37.56667	RU
Villa del Rosario	7.83389	05/03/2020, 00:00:00	excellent	-72.47417	CO
Arba Minch	6.03333	2014/04/29	accep	37.55	ET
Saharsa	25.87498	05/21/2015, 00:00:00	average	86.59611	IN
Rio Real	-11.48472	01/21/2021, 00:00:00	excellent	-37.93278	BR
Skalica	48.8449	2019/11/30	building	17.22635	SK
Farafenni	13.56667	2021/01/24	building	-15.6	GM
Charlottetown	46.23899	2013-11-21	maintenance	-63.13414	CA
Gainsborough	53.38333	2014-03-12	building	-0.76667	GB
Ferrol	43.48961	01 Apr 2013	excellent	-8.2194	ES
Soure	-0.71667	11/17/2020, 00:00:00	maintenance	-48.52333	BR
Falconara Marittima	43.62558	2013/01/18	accep	13.39954	IT
West Des Moines	41.57721	07/29/2015, 00:00:00	excellent	-93.71133	US
Skalica	48.8449	2021-11-21	excellent	17.22635	SK
el Camp de l'Arpa del Clot	41.41204	06/21/2015, 00:00:00	excellent	2.18247	ES
Krymsk	44.92934	09/01/2017, 00:00:00	good	37.99117	RU
Kenda	23.1959	2018/08/10	maintenance	86.51499	IN
Antanifotsy	-19.65	2022-07-07	excellent	47.31667	MG
Tongelre	51.44889	10 Mar 2020	average	5.51978	NL
Bryn Mawr-Skyway	47.4943	02 Jan 2016	average	-122.24092	US
Gainsborough	53.38333	2013/12/11	excellent	-0.76667	GB
Middle River	39.33427	11/28/2016, 00:00:00	maintenance	-76.43941	US
Danilov	58.1908	06/24/2013, 00:00:00	average	40.17171	RU
Vienne	45.51667	11 Dec 2015	good	4.86667	FR
Puducherry	11.93381	16 Jul 2022	excellent	79.82979	IN
Nonoichi	36.53333	2017/02/21	accep	136.61667	JP
Shushary	59.80917	03/19/2022, 00:00:00	excellent	30.38167	RU
Rudolstadt	50.72043	08/14/2015, 00:00:00	average	11.34046	DE
Castelfranco Emilia	44.59445	04/01/2018, 00:00:00	good	11.04979	IT
Culemborg	51.955	08/20/2020, 00:00:00	building	5.22778	NL
Leyland	53.69786	2019/12/22	excellent	-2.68758	GB
Qazax	41.09246	2019-04-20	excellent	45.36561	AZ
Boumerdas	36.76639	2015/08/16	average	3.47717	DZ
Andijon	40.78206	03/25/2015, 00:00:00	building	72.34424	UZ
Gandia	38.96667	02 Oct 2019	good	-0.18333	ES
Kherson	46.65581	04/06/2018, 00:00:00	good	32.6178	UA
Brenham	30.16688	03/23/2021, 00:00:00	building	-96.39774	US
Saint-Genis-Laval	45.69558	2012-10-11	good	4.7934	FR
Arles	43.67681	02/18/2018, 00:00:00	good	4.63031	FR
Dipolog	8.56697	2016/12/21	average	123.33471	PH
Troutdale	45.53929	2018-06-02	maintenance	-122.38731	US
Rolla	37.95143	04/04/2018, 00:00:00	average	-91.77127	US
Eastwood	-33.79176	02/14/2016, 00:00:00	excellent	151.08057	AU
American Canyon	38.17492	2013-07-03	good	-122.2608	US
New Canaan	41.14676	01/31/2016, 00:00:00	average	-73.49484	US
Arzamas	55.39485	2017-08-30	building	43.83992	RU
Hushitai	41.94175	08 Jan 2015	building	123.50266	CN
Sambalpur	21.46527	2016/05/01	accep	83.97573	IN
Saint-Genis-Laval	45.69558	01 Apr 2021	good	4.7934	FR
Waterbury	41.55815	2016-05-06	average	-73.0515	US
Tortona	44.89784	2016-06-27	average	8.86374	IT
New Yekepa	7.57944	2019-04-13	average	-8.53778	LR
Palafrugell	41.91738	10/30/2015, 00:00:00	accep	3.1631	ES
Bryn Mawr-Skyway	47.4943	2018-04-09	average	-122.24092	US
Penzance	50.11861	2022-06-14	average	-5.53715	GB
Sinhyeon	34.8825	07 Mar 2019	good	128.62667	KR
Siliana	36.08497	2014-12-11	average	9.37082	TN
Talence	44.80477	25 Nov 2019	average	-0.59543	FR
Biu	10.61285	2019/02/15	accep	12.19458	NG
Paoy Paet	13.65805	2019/11/08	accep	102.56365	KH
Roseto degli Abruzzi	42.67164	11/27/2019, 00:00:00	average	14.01481	IT
Oaxaca	17.06542	2015/10/14	excellent	-96.72365	MX
Jersey City	40.72816	2015-03-17	average	-74.07764	US
Tsuen Wan	22.37066	2017/10/17	building	114.10479	HK
Chosica	-11.94306	2022/05/17	accep	-76.70944	PE
Marau	-28.44917	2018-08-28	good	-52.2	BR
Strood	51.39323	2019-12-26	good	0.47713	GB
Lons-le-Saunier	46.67535	2015/02/24	accep	5.55575	FR
Yanliang	34.65918	2018-06-16	excellent	109.22921	CN
Frederiksberg	55.67938	05/13/2017, 00:00:00	excellent	12.53463	DK
Udumalaippettai	10.58806	2020/02/04	maintenance	77.24779	IN
Binnish	35.95664	05/20/2014, 00:00:00	average	36.7138	SY
Tupi	6.33444	2017-11-28	average	124.95278	PH
Blackpool	53.81667	2016-11-24	accep	-3.05	GB
Cowes	50.76306	02/18/2014, 00:00:00	accep	-1.29772	GB
Pleasant Prairie	42.55308	2016-05-10	building	-87.93341	US
Aleshtar	33.86419	2016-03-25	accep	48.26258	IR
Muritiba	-12.91667	2020/06/30	building	-39.25	BR
Silvan	38.13708	2017-07-20	maintenance	41.00817	TR
Jingzhou	30.35028	07 Jun 2016	average	112.19028	CN
Hungund	16.06213	2016-06-11	average	76.0586	IN
Cardedeu	41.63976	09/05/2021, 00:00:00	building	2.35739	ES
La Trinidad	16.455	2016/12/24	good	120.5875	PH
Elamanchili	17.54907	2015/07/27	building	82.85749	IN
Vestavia Hills	33.44872	06/06/2013, 00:00:00	excellent	-86.78777	US
Blackpool	53.81667	2014-01-13	accep	-3.05	GB
Vught	51.65333	03/03/2014, 00:00:00	accep	5.2875	NL
Hlohovec	48.43174	28 May 2021	accep	17.8031	SK
Falconara Marittima	43.62558	03/20/2016, 00:00:00	accep	13.39954	IT
Hushitai	41.94175	2020/05/17	average	123.50266	CN
Guapimirim	-22.53722	2013-07-21	excellent	-42.98194	BR
Zvenihorodka	49.07866	2014/05/17	excellent	30.96755	UA
Kireyevsk	53.93361	12/18/2015, 00:00:00	accep	37.92792	RU
Sirsi	14.62072	2014/07/03	acceptable	74.83554	IN
Mampong	7.06273	02/17/2013, 00:00:00	average	-1.4001	GH
Kidodi	-7.60361	01/05/2020, 00:00:00	average	37.00438	TZ
Lexington	33.98154	2016/02/10	building	-81.23621	US
Kyzylorda	44.85278	2017-12-08	good	65.50917	KZ
Talence	44.80477	2015-09-24	accep	-0.59543	FR
Malakhovka	55.64776	10/07/2016, 00:00:00	maintenance	38.02486	RU
Montecchio Maggiore-Alte Ceccato	45.50369	08/20/2020, 00:00:00	average	11.412	IT
Elbeuf	49.28669	2018-04-08	good	1.00288	FR
Magong	23.5654	2013/07/19	maintenance	119.58627	TW
Valday	57.97472	2012/11/18	good	33.2525	RU
Nikolayevsk-on-Amure	53.14657	10/25/2019, 00:00:00	maintenance	140.72287	RU
Barneveld	52.14	2017/02/05	excellent	5.58472	NL
Boyeros	23.0072	04/05/2020, 00:00:00	average	-82.4017	CU
Gaya	11.86064	2017/11/09	accep	9.0027	NG
Bretten	49.03685	2015-06-06	maintenance	8.70745	DE
Ventimiglia	43.78956	2014/07/21	average	7.60872	IT
Kampung Ayer Molek	2.2139	10 Aug 2021	maintenance	102.3278	MY
Talavera de la Reina	39.96348	2014-01-13	excellent	-4.83076	ES
Wheelers Hill	-37.9	10/24/2021, 00:00:00	building	145.18333	AU
Zeist	52.09	2015-11-05	average	5.23333	NL
Acayucan	17.94979	05/27/2013, 00:00:00	maintenance	-94.91386	MX
Losser	52.26083	15 Oct 2016	maitennce	7.00417	NL
Batu Feringgi	5.4709	2021/06/26	maintenance	100.24529	MY
Coralville	41.6764	16 Nov 2020	good	-91.58045	US
Masbate	12.37169	11/25/2020, 00:00:00	maintenance	123.62494	PH
Toledo	41.66394	07 Jun 2015	accep	-83.55521	US
Chanika	-5.41667	2014/08/03	maintenance	38.01667	TZ
Minokamo	35.48199	2013/04/22	excellent	137.02166	JP
Shalqar	47.83333	2016-11-27	average	59.6	KZ
Independence	39.09112	2022/03/30	good	-94.41551	US
Lesozavodsk	45.47885	2013/02/10	excellent	133.42825	RU
Kashipur	29.21399	01/28/2015, 00:00:00	good	78.95693	IN
Tharu Shah	26.9423	14 Feb 2020	accep	68.11759	PK
Floridsdorf	48.25	2021/09/24	excellent	16.4	AT
Aksaray	38.37255	2014/08/15	accep	34.02537	TR
Kangayam	11.00599	2013-08-17	average	77.5609	IN
Vahdat	38.55632	08/28/2021, 00:00:00	building	69.01354	TJ
Amposta	40.70995	05/09/2017, 00:00:00	average	0.57856	ES
Kudus	-6.8048	04 Oct 2019	building	110.8405	ID
El Achir	36.06386	06/05/2022, 00:00:00	average	4.62744	DZ
Gaziantep	37.05944	2018/12/19	accep	37.3825	TR
Madrid	4.73245	09/22/2014, 00:00:00	average	-74.26419	CO
Xiangtan	27.85	10 Jan 2014	good	112.9	CN
Zaysan	47.46657	2022/06/07	good	84.87144	KZ
Liaoyang	41.27194	2017-12-16	average	123.17306	CN
Paredes	41.20485	10/19/2021, 00:00:00	good	-8.33147	PT
Hongseong	36.6009	2022/02/14	excellent	126.665	KR
Sasayama	35.06667	11 Jan 2016	average	135.21667	JP
Bobigny	48.90982	12 Jan 2019	good	2.45012	FR
Beni Douala	36.61954	12/18/2014, 00:00:00	average	4.08282	DZ
Malden	42.4251	2016-12-11	maintenance	-71.06616	US
Sakaraha	-22.9	2019/09/03	building	44.53333	MG
Marau	-28.44917	13 Mar 2013	good	-52.2	BR
New Yekepa	7.57944	10/30/2016, 00:00:00	excellent	-8.53778	LR
Barracas	-34.64966	2013/06/17	excellent	-58.38341	AR
Boli	45.75279	2019-03-06	excellent	130.57211	CN
Kolomyagi	60.02427	2020-05-17	building	30.28491	RU
Martinsburg	39.45621	21 Jun 2015	building	-77.96389	US
Segundo Ensanche	42.8139	03 Jul 2020	accep	-1.64295	ES
San Gabriel	34.09611	2014/11/16	average	-118.10583	US
Same	-4.06667	2013/10/07	excellent	37.73333	TZ
Tonga	4.96667	11/01/2019, 00:00:00	good	10.7	CM
Westchester	41.85059	14 May 2015	excellent	-87.882	US
Troutdale	45.53929	2014/09/21	excellent	-122.38731	US
Casa Blanca	19.04222	2018/10/21	building	-98.11889	MX
Scottsdale	33.50921	2016/06/16	excellent	-111.89903	US
Dublin	32.54044	23 Nov 2013	good	-82.90375	US
Jais	26.2649	2016-08-03	average	81.54855	IN
Udumalaippettai	10.58806	07 May 2017	good	77.24779	IN
Andes	5.6561	05/10/2021, 00:00:00	average	-75.87877	CO
Jaruco	23.04419	2014/03/19	good	-82.00919	CU
Kent	47.38093	15 Mar 2016	accep	-122.23484	US
Rio Real	-11.48472	11/03/2014, 00:00:00	building	-37.93278	BR
Varadero	23.15678	2017-03-16	excellent	-81.24441	CU
Jocotepec	20.28527	18 Aug 2016	good	-103.42897	MX
Frederiksberg	55.67938	03/14/2017, 00:00:00	excellent	12.53463	DK
Carindale	-27.50578	2020/09/19	average	153.10236	AU
Volokolamsk	56.03361	09 Jan 2017	average	35.96944	RU
Tupelo	34.25807	2022/08/16	average	-88.70464	US
Zeist	52.09	2021-07-04	good	5.23333	NL
Moga	30.81383	20 Jun 2017	excellent	75.16878	IN
Gates-North Gates	43.16547	14 Dec 2014	average	-77.70066	US
Ksar Chellala	35.21222	2019-02-04	good	2.31889	DZ
Itaperuna	-21.205	04/09/2015, 00:00:00	maintenance	-41.88778	BR
Venice	27.09978	30 Aug 2016	accep	-82.45426	US
Miracema	-21.41222	10/09/2016, 00:00:00	excellent	-42.19667	BR
Suzaka	36.65	08/09/2017, 00:00:00	accep	138.31667	JP
Chichicastenango	14.93333	17 Apr 2021	maintenance	-91.11667	GT
Larkana	27.55898	06/05/2013, 00:00:00	accep	68.21204	PK
Sa Dec	10.29085	2016-04-09	accep	105.75635	VN
Markham	43.86682	2012-11-08	average	-79.2663	CA
Masbate	12.37169	07/13/2019, 00:00:00	good	123.62494	PH
Kaukauna	44.27804	2021-09-25	average	-88.27205	US
Bryn Mawr-Skyway	47.4943	2019-07-08	excellent	-122.24092	US
Sillanwali	31.82539	2018/07/17	good	72.54064	PK
Alatyr’	54.8421	2014-03-27	good	46.5813	RU
Pilar	14.66	09/01/2020, 00:00:00	maintenance	120.56528	PH
Vahdat	38.55632	05/06/2013, 00:00:00	excellent	69.01354	TJ
Nizhniy Lomov	53.53041	08/19/2022, 00:00:00	accep	43.67663	RU
Randudongkal	-7.0981	10/08/2014, 00:00:00	average	109.3243	ID
Baliuag	14.95472	2021-10-19	excellent	120.89694	PH
Gavrilov-Yam	57.30185	2022/04/19	maintenance	39.85331	RU
Ukmerge	55.25	2022-07-04	maintenance	24.75	LT
Denderleeuw	50.88506	2017-01-30	accep	4.07601	BE
La Trinidad	16.455	08/26/2018, 00:00:00	good	120.5875	PH
Guyong	14.8361	2021/03/24	accep	120.97844	PH
Muritiba	-12.91667	03/03/2019, 00:00:00	accep	-39.25	BR
Ada	34.77453	31 Jan 2018	excellent	-96.67834	US
Pucheng	27.92333	09 Jul 2019	building	118.53333	CN
Vryheid	-27.76952	2017/01/04	accep	30.79165	ZA
Ada	34.77453	12/04/2015, 00:00:00	building	-96.67834	US
Yenagoa	4.92675	28 Jun 2016	average	6.26764	NG
Karatsu	33.4425	02/06/2015, 00:00:00	excellent	129.96972	JP
Bua Yai	15.58552	2017-12-29	good	102.42587	TH
Indio	33.7207	2014/11/02	accep	-116.21677	US
Ulanhot	46.08333	2021/06/26	excellent	122.08333	CN
Barnet	51.65	2018/09/08	excellent	-0.2	GB
Rafaela	-31.25033	12 Jan 2013	good	-61.4867	AR
Odessa	31.84568	11 Jan 2021	excellent	-102.36764	US
Hlohovec	48.43174	2014-05-19	building	17.8031	SK
Bhit Shah	25.80565	2014-07-25	accep	68.49143	PK
Grand Forks	47.92526	12/30/2016, 00:00:00	average	-97.03285	US
Varadero	23.15678	06/19/2020, 00:00:00	building	-81.24441	CU
Caldas Novas	-17.74431	2020/08/27	good	-48.62789	BR
Reus	41.15612	2016-04-28	good	1.10687	ES
Gariadhar	21.53889	06/13/2014, 00:00:00	excellent	71.57737	IN
Nampa	43.54072	2016/12/02	excellent	-116.56346	US
Gingee	12.25282	20 Jan 2020	accep	79.41727	IN
Hardenberg	52.57583	01/13/2016, 00:00:00	good	6.61944	NL
Carindale	-27.50578	15 May 2017	average	153.10236	AU
Yablonovskiy	44.98901	27 Nov 2016	maintenance	38.94324	RU
Zhoucun	36.81667	2015/10/30	good	117.81667	CN
