NOx	Pb	TEMP	CH4	CFCs	longitude	PRES	NH3	CO	PAHs	O3	C2H3NO5	latitude	H2CO	SO2	warning	PM2.5	PM10
9.40151	65.25000	17.18535	3.96136	34.53172	8.91229	1153.90836	8.83739	8.20383	11.97421	8.93116	0.05733	49.13645	51.18639	6.91253	1.00000	9.09654	5.61347
7.11964	70.03036	25.51728	6.93616	63.30283	122.22833	1057.39268	8.08463	7.84076	7.80109	8.15102	0.07302	40.66482	66.40477	9.88486	1.00000	7.09327	4.58119
7.75694	71.93531	12.88497	5.27978	33.55115	151.07986	1143.36285	8.00450	8.12853	10.54939	9.09585	0.11420	-33.88096	41.89224	8.83260	1.00000	7.83918	6.22722
8.34153	54.33528	7.20980	10.50614	46.49307	-93.263	1140.70205	7.41327	9.72354	6.65281	5.66356	0.89917	45.0408	52.55127	8.31242	0.00000	9.10529	9.51930
6.66957	72.38375	6.54795	5.30985	59.61610	117.59152	1115.65604	7.59032	9.37031	10.62687	9.87684	0.12555	3.31332	58.85685	8.11106	1.00000	6.70923	5.45168
9.01102	38.34571	15.20683	7.42749	51.32755	-1.86343	1096.41755	8.02794	8.72439	5.91161	6.58490	0.09764	38.10558	51.47482	7.77847	1.00000	8.57267	5.19271
7.64563	38.11054	11.58101	7.35510	60.24172	-77.37331	1085.51958	8.52105	8.20371	8.35778	7.77811	0.17692	37.60876	53.17442	8.84261	1.00000	7.59637	6.96643
8.52107	41.28807	13.54627	9.00383	66.01913	-87.71255	1186.16380	5.79053	8.52412	9.35230	8.31317	0.43860	41.84364	57.27830	8.77453	0.00000	7.02409	8.74657
6.66164	82.89792	17.94782	5.73409	60.23699	-68.30472	1142.14176	9.61271	5.46247	6.54951	4.94374	0.58617	9.91861	29.05112	8.39216	1.00000	7.68363	9.00685
8.61582	71.54675	15.27245	9.37882	34.52203	-73.25383	1122.69499	6.24672	9.34451	6.85716	6.00155	0.36377	-3.74912	45.65853	8.15508	0.00000	7.17593	8.47496
9.16925	51.99218	10.76902	9.58299	59.37326	65.50917	1177.40141	8.13737	10.68245	8.91450	6.82094	0.38580	44.85278	42.16802	8.83130	0.00000	7.81555	8.47334
8.27889	48.81859	16.82047	9.17145	42.19258	-117.23991	1155.69417	8.65423	8.70548	6.36952	4.43776	0.46424	47.64995	60.92596	6.72956	1.00000	7.18939	8.66976
9.58746	66.48683	2.01601	7.02801	50.39657	-37.93278	1116.17833	9.85784	6.73755	6.85058	6.60726	0.19898	-11.48472	38.36231	7.21806	1.00000	8.87298	7.66190
8.20855	74.60986	43.37687	7.90011	67.76321	-98.1664	1069.57731	10.31990	6.44733	5.13938	4.04695	0.14599	19.32932	61.32435	7.05011	1.00000	7.80328	6.91986
9.65600	58.03675	16.19256	7.75734	50.14666	79.41727	1158.39724	6.43562	10.06658	7.48232	7.25866	0.60669	12.25282	55.96198	8.43705	0.00000	7.97022	9.09007
7.26757	59.51235	13.54186	6.01296	68.40417	5.51978	1163.84161	9.47299	9.56296	7.37190	8.20065	0.09736	51.44889	42.34921	7.35782	1.00000	8.50766	5.44096
7.65680	82.72179	12.36397	11.33278	76.16008	24.04142	1135.05053	10.07112	10.00334	8.19753	12.99985	1.05761	54.39635	56.50907	7.88473	0.00000	9.57105	9.70260
8.44130	54.43425	33.94477	8.24273	46.36452	7.60872	1080.28906	11.03169	9.03585	9.49532	7.65398	0.16542	43.78956	54.67520	8.21068	1.00000	7.98940	7.03760
8.32643	52.22136	6.85244	6.54788	79.53398	77.54372	1118.76480	9.80719	9.24841	7.24171	7.01610	0.07376	10.12268	58.16480	9.75704	1.00000	5.79962	4.97366
6.00494	75.34506	14.66539	10.87483	46.77152	-76.99081	1057.55876	8.83289	8.70098	8.28566	11.68145	0.92022	38.96372	15.86657	8.52268	0.00000	8.29119	9.58535
7.38131	51.49489	27.07419	8.80233	47.40041	122.05228	1055.85598	4.88735	7.58539	7.66992	8.87622	0.81102	37.19723	28.58461	9.02895	0.00000	8.42165	9.46196
9.03867	62.04590	2.85157	6.78827	37.83323	-6.03731	1134.33651	9.73031	6.78808	6.75850	7.78493	0.08132	37.35813	45.10178	7.88564	1.00000	8.91336	6.18365
7.05915	61.58546	6.21570	6.58363	34.32455	77.9129	1089.92564	6.99722	9.27752	8.50182	8.18741	0.14289	25.6439	47.07318	6.61167	1.00000	8.48704	4.69405
8.84522	56.58705	6.00179	10.47311	43.00190	-1.08593	1083.76714	8.95877	8.75986	5.84016	6.41047	0.78943	50.79205	55.35483	7.41944	1.00000	8.51963	9.38887
9.03194	65.63317	3.74498	4.27502	48.79658	-111.89903	1135.35630	10.74824	11.58967	9.92638	11.26397	0.19502	33.50921	47.37790	9.73263	1.00000	8.37301	6.96010
9.92957	45.87615	14.90555	9.81763	65.99258	-122.39168	1172.18286	6.28732	8.30185	5.99499	5.50531	1.25982	40.58654	43.50276	7.87454	0.00000	6.82913	9.90775
6.33270	66.01148	23.55261	9.91222	55.46499	78.15794	1143.50939	6.75151	10.39826	7.59125	5.74592	0.32225	12.1277	52.17699	8.64932	0.00000	8.93039	8.29551
8.71557	48.57130	11.09950	8.74823	53.35444	30.4347	1177.12460	6.43067	9.92036	7.06873	6.75545	0.96042	-1.9487	45.31457	8.70442	0.00000	8.25727	9.62738
8.50327	50.89814	29.96275	9.38263	52.48339	-2.12139	1128.75865	9.74022	7.90827	6.26984	6.68419	0.26951	52.48173	24.81520		1.00000	8.95957	8.06411
8.78081	45.88480	16.46800	5.62455	48.91057	121.96361	1122.58070	9.73354	9.12295	8.03455	11.32087	0.32471	6.95194	47.58819	8.46862	1.00000	9.13538	8.00032
8.89454	53.77675	17.56379	10.14199	62.72290	-117.23991	1131.43984	6.99547	8.99116	7.10766	7.14102	0.66136	47.64995	69.88846	7.62621	0.00000	10.20762	9.13238
8.56819	36.74804	16.83452	7.70939	57.66551	8.73812	1064.51380	9.24339	10.33966	7.90780	8.56942	0.11295	41.91886	50.40726	8.04480	1.00000	6.73800	5.99940
8.00479	51.07300	16.04921	6.73484	34.36924	122.9666	1189.73733	5.86530	10.60349	8.31059	10.45263	0.21992	10.7375	68.43395	7.37576	0.00000	9.12336	7.62009
9.31561	34.00658	4.78106	14.50641	62.60627	-73.89125	1092.91475	8.68534	10.05615	7.21557	2.06075	0.25039	40.67705	39.30965	8.38070	0.00000	7.84980	7.70116
8.72438	55.02381	34.68836	7.68749	57.82831	-6.90656	1188.92051	5.99221	10.02156	6.31894		0.48509	33.92866	75.40795	9.36603	0.00000	8.29217	8.79208
10.83690	49.39585	10.33568	10.31817	35.55969	34.37389	1071.07812	10.74711	8.50378	8.69288	9.59241	0.78366	40.1675	57.83749	8.40488	1.00000	9.59911	9.44191
8.28006	44.97604	21.22045	8.70711	41.29435	19.27498	1186.90117	6.89988	9.95288	6.93382	7.59666	0.62846	50.20528	33.33720	7.21544	0.00000	8.09525	9.08173
8.13573	48.45320	-7.80757	5.44189	51.97566	-75.69947	1168.40018	5.45342	7.84287	7.06334	10.92817	2.29145	8.79577	44.71707	8.55040	0.00000	8.86067	10.57077
7.61109	49.80345	31.99712	5.91943	50.71618	78.23456	1117.42360	8.07394	7.23888	6.42386	6.03305	0.11252	28.92694	74.98359	8.67513	1.00000	7.09223	5.89830
8.30621	56.70173	42.03095	7.60807	75.28564	-120.45794	1158.20372	8.80760	8.17925	10.75482	10.88571	0.31523	34.63915	49.06038	8.46364	1.00000	7.63140	8.33022
8.88255	41.45474	13.38707	10.69693	57.33705	102.56365	1111.67818	7.15262	8.75737	8.07236	10.19542	0.72694	13.65805	39.58833	8.21627	1.00000	7.79768	9.25685
8.68194	67.45354	4.26274	8.29680	71.26785	-1.99421	1106.87251	4.74722	10.19628	9.26012	7.86513	0.13900	51.35084	55.56830	6.33229	0.00000	6.71861	7.24946
7.90578	60.08018	26.64921	5.90162	65.15650	122.20488	1104.06661	10.66510	5.82483	8.13339	7.22337	0.22037	29.98869	53.45030	7.07698	1.00000	7.00044	7.57578
8.30997	45.26190	23.61179	9.42264	63.28761	-71.29144	1174.47769	8.03462	9.04954	10.70470	9.09423	2.58113	41.54566	53.23900	7.94387	0.00000	8.50865	10.67517
9.32604	52.41691	17.97538	9.88806	47.08489	-76.78319	1171.97199	5.95497	9.03944	10.03852	7.75179	1.31425	18.00747	44.58108	7.63393	0.00000	8.47827	9.97615
6.89973	66.56086	8.66858	7.24983	34.61952	-70.20749	1137.55044	6.96577	8.21175	9.37124	10.43339	0.16701	8.62261	59.57350	7.33732	1.00000	9.03170	6.94912
8.38465	45.96901	-10.22259	9.75284	44.43661	9.72749	1191.77220	11.36626	7.55370	6.25357	5.36633	0.54733	48.28259	29.59686	7.44412	1.00000	7.85036	9.00006
7.94602	65.65530	-17.42970	8.28663	75.26920	11.34046	1052.34978	9.76323	10.58052	9.58019	9.34442	0.20259	50.72043	66.71883	9.09241	1.00000	8.18532	7.31463
9.00690	81.42923	10.54295	5.68755	34.16361	-37.65	1144.16348	10.59919	10.94760	6.03809	11.22070	0.24593	-10.91722	76.82889	9.81721	1.00000	7.68426	7.75794
8.25694	53.75133	16.60893	5.78589	51.53863	-116.97725	1138.54878	6.88871	8.29085	10.26499	11.24042	0.14899	33.92946	52.93824	7.94581	1.00000	9.13299	7.01437
6.97792	60.30180	24.32485	7.88976	43.64056	-93.263	1144.00674	8.71967	8.44626	8.02398	8.22434	0.11232	45.0408	48.52274	9.20624	1.00000	6.77915	7.03839
9.49464	42.87374	3.11016	6.37405	44.75456	128.63083	1101.17867	9.80589	6.37373	7.41154	6.04421	0.20707	36.82167	57.66507	6.79747	1.00000	8.17790	7.67978
5.85905	49.15581	17.80563	9.82095	69.65479	120.97844	1097.58575	4.88743	7.95403	7.87674	8.56437	0.13916	14.8361	34.96398	9.08771	0.00000	7.90236	7.51984
8.57286	45.12420	30.70459	6.87212	47.34467	36.73307	1112.81436	10.44390	5.54472	5.51586	7.31672	0.10487	55.38752	75.77554	5.34729	1.00000	9.41859	6.98637
8.40301	67.02640	15.90365	6.57191	76.52066	-119.48568	1082.44960	7.62871	7.07875	4.19046	6.22508	0.07525	49.88307	30.21994	9.19898	1.00000	6.77990	3.71378
7.04517	74.94155	24.53912	10.21773	67.28665	-6.90656	1083.94631	7.02638	6.04788	5.68215	12.02521	0.54966	33.92866	40.09779	9.18413	0.00000	8.80877	9.01418
8.87869	54.03049	12.90324	9.33035	58.16095	107.60389	1088.79146	8.51206	11.03042	8.20860	7.72114	0.21538	-7.01833	69.17018	7.85247	1.00000	9.31549	7.55131
7.97356	56.43104	13.43476	4.87492	35.73653	73.08333	1122.23410	9.54441	8.43354	9.68600	12.43762	0.50514	19.21667	47.63031	7.80134	1.00000	9.04442	8.86252
6.85877	53.52847	5.34529	4.55702	52.93659	34.34691	1100.62445	7.38015	8.13289	9.54582	11.48704	0.18337	61.78491	47.91389	8.84374	1.00000	7.85018	6.83287
8.41264	54.51591	9.00791	12.87735	66.96809	33.2525	1109.13938	6.82679	9.54046		4.42979	0.43612	57.97472	45.33984	9.50268	0.00000	7.87466	8.58718
6.67701	77.43062	28.69780	5.16052	51.88586	-84.20299	1122.25152	8.63995	7.73048	11.13768	6.00041	0.03394	39.43534	40.04943	9.02365	1.00000	9.52142	3.46127
7.85571	87.41498	30.93065	7.66624	27.73598	5.23333	1197.38143	7.93041	9.96315	12.50978	8.14927	1.35519	52.09	37.75895	7.13842	0.00000	8.27293	9.97803
6.61919	25.17691	11.59742	8.66143	58.88394	6.9747	1160.27837	7.35578	11.28134	7.02582	5.70078	0.05113	50.82709	57.37683	8.50243	0.00000	7.94796	5.77117
7.16728	39.65614	20.71985	6.99790	34.46081	27.46153	1160.19947	9.76077	8.12237	9.70426	7.72583	0.25709	-21.44236	28.20126	7.65388	1.00000	5.98611	7.92903
8.65448	38.08774	12.32277	6.10311	66.00553	-0.29825	1144.52309	9.69759	5.65280	7.54095	6.77932	0.20580	51.39148	40.16681	6.56483	1.00000	8.52269	7.52151
7.79964	31.19922	15.08164	7.51550	47.00925	2.35739	1117.36876	6.31950	9.29985	10.26114	8.49586	0.36096	41.63976	36.23030	7.22403	0.00000	9.03883	8.51294
7.67906	52.91680	14.72514	11.52202	49.37099	-39.25	1164.48137	5.86202	8.65371	6.95960	5.89326	0.48802	-12.91667	51.96962	8.42940	0.00000	9.24430	8.77326
6.67830	45.04393	7.18957	5.02752	55.62227	-0.74934	1085.09528	11.97302	11.00990	7.97408	8.81398	0.15773	51.62907	78.23707	8.84571	1.00000	8.57804	5.94907
8.79208	63.15958	11.26076	6.78018	45.51348	-86.78777	1073.42302	8.75253	7.89749	8.96374	8.65445	0.19825	33.44872	68.08562	9.22254	1.00000	8.30639	7.46076
6.90479	49.45251	22.16837	10.43317	21.07680	101.02083	1080.54973	5.86495	8.19458	6.27011	6.24469	1.90561	4.02219	61.69378	9.11766	0.00000	9.23398	10.35687
8.37424	54.74310	17.21641	5.66118	30.81804	6.9747	1092.55797	8.94267	10.27308	10.44994	8.65174	0.15416	50.82709	72.63607	7.03961	1.00000	6.90775	5.56939
8.16626	46.90237	31.84421	10.05829	58.44072	76.03889	1108.19917	6.29736	7.67225	5.84853	6.58656	2.54292	18.18158	53.68631	10.30034	0.00000	7.35615	10.63531
8.31018	80.65554	10.83449	7.12135	47.03193	72.68533	1089.67611	4.65188	11.40087	9.48803	8.29372	0.56643	22.75218	42.28591	8.19984	0.00000	8.19356	8.98707
6.40176	46.11773	27.65564	3.67365	49.60186	76.03889	1086.14936	9.96503	4.80835	7.16536	7.07523	0.14998	18.18158	65.82713	8.07631	1.00000	8.13096	6.03371
9.16672	71.29087	-1.63178	6.91143	49.93253	79.41727	1092.23675	11.68944	5.68189	7.95822	6.33331	0.40883	12.25282	59.31518	8.32977	1.00000	8.87312	8.71058
6.16637	61.74529	12.00251	6.94237	43.03035	122.22833	1095.89533	7.80182	7.79093	8.77163	9.84265	0.16367	40.66482	54.97879	6.15911	1.00000	6.82657	7.40050
10.03048	51.69772	11.37873	4.98141	43.16085	9.47629	1112.43588	7.95735	8.47651	10.03972	7.91935	0.11860	53.59337	64.32226	7.01358	1.00000	7.77714	4.53584
8.81527	58.43899	28.43717	6.12942	38.15298	103.61667	1128.38744	10.50188	10.70739	5.50832	11.33307	0.29792	-1.6	57.70487	8.43692	1.00000	7.04835	8.29470
8.55913	62.85949	13.43683	8.58765	58.71229	99.89166	1140.76476	7.31771	10.44943	7.38922	7.61005	0.35767	15.46063	51.62034	7.25846	0.00000	7.22828	8.56560
8.36462	46.88059	8.74089	7.47930	69.85254	-69.96533	1151.08370	8.52224	7.29397	5.05755	6.84108	0.08736	43.91452	64.77306	9.69515	1.00000	6.89214	5.40613
8.28464	69.90397	18.53116	7.84675	63.52076	112.9	1137.13794	6.69098	6.04086		10.68612	0.36945	27.85	44.87464	9.45725	0.00000	7.59102	8.53575
8.74751	56.69629	11.52235	8.76456	33.78424	107.60389	1098.13529	5.36447	10.47415	9.96432	7.78251	0.50434	-7.01833	46.24312	7.50617	1.00000	7.17466	8.90167
9.47149	84.52416	10.79875	14.84808	74.61759	11.04979	1170.85273	6.63167	8.00265	4.53553	2.00300	0.24741	44.59445	46.51152	8.88082	0.00000	8.71581	7.62448
6.86815	47.90903	4.19777		47.07640	122.05228	1061.77262	6.95512	9.30318	8.96404	10.32429	0.35970	37.19723	54.82948	7.47428	0.00000	8.96721	8.31346
8.10055	57.36668	8.22359	4.28402	60.93528	4.47124	1072.16193	5.83135	6.82360	8.42694	9.18745	0.09052	51.95838	67.69597	8.54353	1.00000	7.87610	5.06462
7.95385	57.37603	11.25061	11.88381	70.77356	91.84128	1056.51649	9.16526	6.89977	8.67350	10.89022	1.59111	22.83957	23.14061	7.14019	0.00000	9.20160	10.14766
7.84294	52.97865	38.34847	9.65955	34.73252	-117.79394	1051.03091	8.63761	10.47163	10.75483	9.81150	1.33892	33.76446	44.29932	7.13897	0.00000	8.19389	9.96091
6.50271	38.04568	14.18173	6.83032	18.07100	9.15214	1123.81708	6.21929	8.58664	8.17324	10.56539	0.09275	49.97704	44.78423	8.75982	1.00000	8.51235	5.89116
8.14307	53.22098	7.81824	6.95736	39.28484	-96.39774	1118.73348	8.95766	7.05009	7.36192	8.01897	0.21681	30.16688	71.11139	9.72363	1.00000	7.17864	7.65901
