code	QoS	station	latitude	revision	longitude
AZ	accep	Astara	38.45598	02/01/2021, 00:00:00	48.87498
ID	average	Ngemplak	-7.54972	03/21/2020, 00:00:00	110.71639
GM	average	Farafenni	13.56667	17 Jun 2022	-15.6
CN	good	Shaowu	27.34089	21 Oct 2017	117.4831
PH	average	La Trinidad	16.455	2017-11-15	120.5875
IN	excellent	Kashipur	29.21399	2022/03/08	78.95693
GB	average	East Dereham	52.68333	2013-02-07	0.93333
RU	excellent	Aykhal	65.93381	05/14/2017, 00:00:00	111.4834
CU	accep	Boyeros	23.0072	2018-06-07	-82.4017
RU	average	Kireyevsk	53.93361	24 Dec 2016	37.92792
US	accep	Tyler	32.35126	2019-02-02	-95.30106
BG	good	Montana	43.4125	2014-06-15	23.225
GB	maintenance	Devizes	51.35084	2019-10-21	-1.99421
JP	good	Kamakura	35.30889	2018/08/20	139.55028
CM	average	Idenao	4.2475	2017-07-31	9.00472
IN	excellent	Rafiganj	24.81757	06/24/2015, 00:00:00	84.63445
RS	excellent	Negotin	44.22639	06 Apr 2013	22.53083
JP	accep	Ina	35.82756	01/12/2019, 00:00:00	137.95378
RU	maintenance	Arzamas	55.39485	2013/11/30	43.83992
BR	building	Resplendor	-19.32556	2016/05/06	-41.25528
GB	maintenance	Strood	51.39323	19 Aug 2020	0.47713
ES	accep	Reus	41.15612	24 Feb 2017	1.10687
RS	excellent	Negotin	44.22639	2015-11-15	22.53083
US	maintenance	Woodlawn	39.32288	2019/12/03	-76.72803
US	good	Huntley	42.16808	2018/09/22	-88.42814
JP	average	Fujioka	36.24624	2022-06-01	139.07204
MG	good	Ikalamavony	-21.15	10/30/2014, 00:00:00	46.58333
TZ	accep	Mwandiga	-4.83	2017/09/17	29.65806
KZ	good	Kyzylorda	44.85278	2017-07-28	65.50917
DE	accep	Wittenau	52.59319	2018-09-15	13.32127
RU	building	Yablonovskiy	44.98901	08 Jun 2015	38.94324
VE	good	Barinas	8.62261	05/08/2018, 00:00:00	-70.20749
DE	accep	Reutlingen	48.49144	2015/12/01	9.20427
IL	excellent	Ramla	31.92923	28 Dec 2016	34.86563
US	excellent	Lutz	28.15112	18 Jun 2015	-82.46148
TH	excellent	Damnoen Saduak	13.51825	12/12/2017, 00:00:00	99.95469
DE	excellent	Schwalmtal	51.21667	2016/04/02	6.26667
DZ	excellent	Thenia	36.72544	03/02/2020, 00:00:00	3.55665
US	accep	Sun City Center	27.71809	03/28/2019, 00:00:00	-82.35176
IN	average	Osmanabad	18.18158	2019/04/20	76.03889
VE	good	Tinaquillo	9.91861	2018/12/22	-68.30472
US	average	Port Richmond	40.63316	16 Aug 2021	-74.13653
CR	maintenance	Liberia	10.63504	2016/08/08	-85.43772
RU	accep	Yablonovskiy	44.98901	07/18/2015, 00:00:00	38.94324
MX	excellent	Jocotepec	20.28527	12/08/2021, 00:00:00	-103.42897
PH	maintenance	Sorsogon	12.97389	2021/01/23	123.99333
BW	average	Tonota	-21.44236	10/25/2013, 00:00:00	27.46153
NG	excellent	Ilesa	7.62789	2022/09/13	4.74161
IN	good	Gingee	12.25282	06/02/2014, 00:00:00	79.41727
BR	good	Porto Velho	-8.76194	2014/01/16	-63.90389
BR	accep	Resplendor	-19.32556	2019-10-30	-41.25528
GB	maintenance	Leyland	53.69786	26 Nov 2013	-2.68758
BD	maintenance	Manikchari	22.83957	12/05/2012, 00:00:00	91.84128
US	accep	Opportunity	47.64995	05/22/2020, 00:00:00	-117.23991
US	good	Lexington	33.98154	26 May 2018	-81.23621
RU	excellent	Tver	56.85836	2018/07/10	35.90057
RU	average	Danilov	58.1908	2022/08/01	40.17171
BE	average	Temse	51.12794	2014/02/01	4.21372
RU	average	Shushary	59.80917	09 Nov 2016	30.38167
CA	building	Dorval	45.4473	2021/02/14	-73.75335
PR	excellent	Yauco	18.03496	2020-05-30	-66.8499
CN	good	Pingyi	35.50056	2016-02-02	117.63083
BR	good	Lagarto	-10.91722	12/29/2016, 00:00:00	-37.65
ID	average	Balikpapan	-1.26753	2013-10-11	116.82887
US	excellent	Keizer	44.99012	2017-01-20	-123.02621
DE	excellent	Charlottenburg-Nord	52.53048	04 Oct 2019	13.29371
RU	good	Malakhovka	55.64776	07/27/2018, 00:00:00	38.02486
CD	average	Kasangulu	-4.5833	30 May 2021	15.16554
ML	excellent	Kati	12.74409	2015/12/22	-8.07257
NL	good	Zeist	52.09	2018/01/25	5.23333
US	excellent	Lutz	28.15112	11 Mar 2022	-82.46148
FR	maintenance	Niort	46.32313	2018-10-25	-0.45877
RU	maintenance	Nizhniy Lomov	53.53041	2016/05/05	43.67663
SO	accep	Baki	9.89206	04/15/2014, 00:00:00	43.38531
GB	good	Great Wyrley	52.66277	12 Sep 2021	-2.01111
CL	maintenance	Chiguayante	-36.9256	2016-05-04	-73.02841
DE	building	Friedberg	48.35693	2018/10/29	10.98461
PL	good	Zgorzelec	51.14942	10 Dec 2019	15.00835
FR	average	Herblay	48.98994	2019/01/23	2.1699
IN	building	Kashipur	29.21399	14 Nov 2020	78.95693
TZ	excellent	Usagara	-2.68333	2019-01-18	33
ID	good	Balikpapan	-1.26753	09/15/2019, 00:00:00	116.82887
CA	good	Kelowna	49.88307	04/30/2018, 00:00:00	-119.48568
IN	good	Srinagar	34.08565	05 Nov 2019	74.80555
IN	good	Kashipur	29.21399	10/12/2013, 00:00:00	78.95693
MN	average	Ulan Bator	47.90771	18 Apr 2017	106.88324
CO	good	San Carlos	8.79577	2019-03-23	-75.69947
RU	average	Volokolamsk	56.03361	2021-02-25	35.96944
US	good	Tupelo	34.25807	10/25/2014, 00:00:00	-88.70464
US	maintenance	Pottstown	40.24537	06 Jan 2019	-75.64963
CN	accep	Hengshui	37.73222	09/29/2015, 00:00:00	115.70111
MX	building	San Lorenzo Acopilco	19.32889	2022/07/16	-99.32556
DE	maintenance	Stade	53.59337	2021/01/10	9.47629
MX	excellent	Tuxtla	16.75973	18 Nov 2013	-93.11308
TH	good	Nakhon Si Thammarat	8.43333	06/20/2019, 00:00:00	99.96667
GB	average	Lancing	50.82882	2016/05/09	-0.32247
LT	excellent	Alytus	54.39635	2018/11/23	24.04142
TR	maintenance	Aksaray	38.37255	2021/08/18	34.02537
MM	accep	Dawei	14.0823	2021-11-03	98.19151
CN	excellent	Changzhi	35.20889	2020/05/20	111.73861
CU	average	Jaruco	23.04419	26 Nov 2015	-82.00919
PH	accep	Jagna	9.6531	2021-12-10	124.3697
CN	average	Dongdu	35.85	2014/04/17	117.7
DE	good	Korschenbroich	51.19139	2019/08/23	6.51352
CN	average	Ulanhot	46.08333	2014/06/04	122.08333
MY	good	Batu Feringgi	5.4709	2016/05/05	100.24529
KE	maintenance	Busia	0.46005	2021/08/05	34.11169
RU	accep	Yashkino	55.8736	2022/01/13	85.4265
CA	building	Pointe-Claire	45.44868	08/04/2016, 00:00:00	-73.81669
HT	good	Croix-des-Bouquets	18.57677	12 Nov 2021	-72.22625
FR	maintenance	Bobigny	48.90982	2017-06-13	2.45012
IT	average	Misterbianco	37.51803	24 Oct 2013	15.00913
ES	excellent	Caravaca	38.10558	2022-06-18	-1.86343
IN	accep	Aistala	23.18	26 Aug 2014	88.58
DE	excellent	Ehingen	48.28259	04/04/2019, 00:00:00	9.72749
DE	good	Weimar	50.9803	2017-01-20	11.32903
GB	average	Devizes	51.35084	2017-07-21	-1.99421
US	good	Clermont	28.54944	10 Apr 2018	-81.77285
GE	building	Kobuleti	41.82143	2017/11/07	41.77921
RU	excellent	Lesnoy	58.63667	2015/09/07	59.80222
RU	excellent	Arzamas	55.39485	09/06/2016, 00:00:00	43.83992
US	average	Brentwood Estates	36.02506	12/31/2019, 00:00:00	-86.77917
CH	building	Onex	46.18396	03/14/2016, 00:00:00	6.10237
ID	good	Muncar	-8.43333	2020-09-03	114.33333
DE	accep	Ehingen	48.28259	2020-02-24	9.72749
DE	excellent	Nidderau	50.23805	07/26/2022, 00:00:00	8.86704
HK	average	Tsuen Wan	22.37066	2020/09/26	114.10479
NG	good	Kafanchan	9.58126	2014/09/26	8.2926
US	maintenance	Saratoga Springs	40.34912	27 Jun 2019	-111.90466
BO	good	Tupiza	-21.44345	2020-04-21	-65.71875
FR	average	Gonesse	48.98693	09/27/2013, 00:00:00	2.44892
US	excellent	Iron River	46.09273	2014-06-21	-88.64235
AR	average	Aguilares	-27.4338	21 Jun 2020	-65.61427
AT	average	Floridsdorf	48.25	2016/06/08	16.4
PL	acceptable	Strzelce Opolskie	50.5107	2022/09/20	18.30056
SV	average	Sonzacate	13.73417	2013/10/30	-89.71472
IL	average	Ganei Tikva	32.05971	2018-07-10	34.8732
US	excellent	Lexington	33.98154	2016-03-10	-81.23621
US	maintenance	Deltona	28.90054	2021-11-19	-81.26367
RU	average	Lesnoy	58.63667	03/11/2022, 00:00:00	59.80222
RU	accep	Lesosibirsk	58.23583	2018-08-08	92.48278
ES	excellent	Cardedeu	41.63976	20 Jul 2018	2.35739
FR	accep	Saint-Omer	50.75	2016/06/25	2.25
US	average	Lutz	28.15112	2016-12-24	-82.46148
RW	accep	Rwamagana	-1.9487	2020-04-13	30.4347
DE	accep	Stuttgart	48.78232	2013-01-09	9.17702
AR	excellent	Barracas	-34.64966	2014-02-13	-58.38341
US	average	Laguna Niguel	33.52253	10/28/2014, 00:00:00	-117.70755
BR	average	Nova Xavantina	-14.66463	01/27/2020, 00:00:00	-52.35558
TH	accep	Kantharalak	14.64056	2022-09-02	104.64992
RU	average	Dyat’kovo	53.59782	05/27/2015, 00:00:00	34.33825
ID	average	Muncar	-8.43333	09/07/2019, 00:00:00	114.33333
CO	average	Socorro	6.46838	10/16/2016, 00:00:00	-73.26022
RU	building	Novopavlovsk	43.96222	2021/11/23	43.63417
CD	good	Kasangulu	-4.5833	2014-10-25	15.16554
PH	good	Cebu City	10.31672	15 Apr 2021	123.89071
MX	good	Heroica Matamoros	25.87972	06/02/2017, 00:00:00	-97.50417
CO	building	Villa del Rosario	7.83389	05/03/2021, 00:00:00	-72.47417
US	average	Gainesville	29.65163	18 Oct 2018	-82.32483
CN	average	Ulanhot	46.08333	2015-11-24	122.08333
KR	accep	Sinhyeon	34.8825	24 Mar 2019	128.62667
US	accep	Nampa	43.54072	13 Mar 2013	-116.56346
RU	good	Ulan-Ude	51.82721	12/26/2021, 00:00:00	107.60627
MX	good	Jocotepec	20.28527	03/14/2020, 00:00:00	-103.42897
MY	accep	Gua Musang	4.88441	09/24/2021, 00:00:00	101.96857
US	building	Taunton	41.9001	03 Jan 2019	-71.08977
NG	maintenance	Yenagoa	4.92675	2015-04-29	6.26764
RU	good	Krymsk	44.92934	2012-12-11	37.99117
RU	good	Oktyabr’skiy	54.48147	2014-11-11	53.47103
IN	acceptable	Dombivli	19.21667	11/27/2021, 00:00:00	73.08333
SV	building	Ilopango	13.70167	12/09/2020, 00:00:00	-89.10944
US	building	Porterville	36.06523	2016/12/31	-119.01677
RU	excellent	Bogoroditsk	53.77166	28 May 2021	38.12408
IT	average	Campobasso	41.55947	2021-07-13	14.66737
MY	average	Teluk Intan	4.02219	2013-10-18	101.02083
SA	building	Al Jubayl	27.0174	2019/12/23	49.62251
DE	average	Rudolstadt	50.72043	09/03/2019, 00:00:00	11.34046
IN	accep	Periyakulam	10.12268	01 Sep 2015	77.54372
IT	excellent	Ventimiglia	43.78956	2015-12-06	7.60872
RU	building	Novopavlovsk	43.96222	07/02/2021, 00:00:00	43.63417
FR	good	Bobigny	48.90982	14 Dec 2020	2.45012
US	excellent	Greenpoint	40.72371	2014-09-24	-73.95097
US	accep	Tupelo	34.25807	27 Dec 2013	-88.70464
CN	good	Sishui	35.64889	07/18/2020, 00:00:00	117.27583
BR	excellent	Altamira	-3.20333	28 Jun 2018	-52.20639
DE	average	Stade	53.59337	24 Feb 2017	9.47629
BR	maintenance	Imbituba	-28.24	2016-11-07	-48.67028
CL	building	San Bernardo	-33.59217	11 Dec 2020	-70.6996
ET	good	Debre Tabor	11.85	2018/01/10	38.01667
US	building	Chillum	38.96372	18 Jul 2022	-76.99081
RU	average	Ulan-Ude	51.82721	2016/04/06	107.60627
IN	excellent	Narwar	25.6439	2013-12-24	77.9129
TR	excellent	Bergama	39.12074	04 Jul 2015	27.18052
FR	excellent	Niort	46.32313	2013/08/22	-0.45877
US	accep	Fresno	29.53885	2013-01-09	-95.44744
IT	average	Agrigento	37.31065	21 Feb 2015	13.57661
GB	building	Viewpark	55.82737	07 Jan 2021	-4.0573
PT	good	Carnaxide	38.72706	03/28/2016, 00:00:00	-9.24671
AR	good	Aguilares	-27.4338	2022-07-14	-65.61427
IN	excellent	Haldwani	29.22254	27 Jan 2018	79.5286
ES	building	Caravaca	38.10558	2021/04/28	-1.86343
TR	accep	Mudanya	40.37528	2022/06/25	28.88222
YE	accep	Ataq	14.53767	03/13/2022, 00:00:00	46.83187
PL	good	Strzelce Opolskie	50.5107	04/10/2018, 00:00:00	18.30056
NG	accep	Kafanchan	9.58126	07/14/2019, 00:00:00	8.2926
BG	good	Smolyan	41.57439	14 Feb 2021	24.71204
PH	maintenance	Jagna	9.6531	2017/03/18	124.3697
US	accep	Kearns	40.65995	11 Jul 2016	-111.99633
US	accep	Sterling	39.00622	06/04/2014, 00:00:00	-77.4286
BE	accep	Mouscron	50.74497	2014-06-11	3.20639
PT	maintenance	Custoias	41.1053	22 Sep 2013	-7.32097
MX	average	Acayucan	17.94979	01/11/2019, 00:00:00	-94.91386
US	accep	Redding	40.58654	2020/03/26	-122.39168
PH	average	Naga	10.20898	10/25/2019, 00:00:00	123.758
ID	good	Pekanbaru	0.51667	2014/01/19	101.44167
US	good	Gates-North Gates	43.16547	05/02/2016, 00:00:00	-77.70066
ES	excellent	el Camp de l'Arpa del Clot	41.41204	01 Jul 2015	2.18247
CN	good	Taozhuang	34.85	29 Dec 2019	117.33333
US	good	Claremont	34.09668	2019-04-13	-117.71978
PK	good	Sangla Hill	31.71667	2021-05-21	73.38333
US	average	Acworth	34.06635	07/02/2022, 00:00:00	-84.67837
IR	building	Shahre Jadide Andisheh	35.6803	2013-01-19	51.0193
AD	good	les Escaldes	42.50729	2015/09/18	1.53414
RE	excellent	Saint-Denis	-20.88231	29 Jun 2017	55.4504
MZ	excellent	Maxixe	-23.85972	02/07/2017, 00:00:00	35.34722
RU	excellent	Malakhovka	55.64776	04/13/2019, 00:00:00	38.02486
ES	average	Palafrugell	41.91738	2019-05-16	3.1631
DZ	accep	El Achir	36.06386	07 May 2015	4.62744
JP	maintenance	Toyokawa	34.81667	2016-02-02	137.4
JP	average	Komono	35	25 Jan 2013	136.51667
CN	accep	Zhoushan	29.98869	2013/10/11	122.20488
GB	excellent	Westbury	51.26	03/05/2017, 00:00:00	-2.1875
US	maintenance	Yonkers	40.93121	2021-07-11	-73.89875
JP	accep	Sasayama	35.06667	17 Feb 2018	135.21667
BR	excellent	Nova Xavantina	-14.66463	2018-06-16	-52.35558
FR	excellent	Valence	44.92801	28 Jan 2018	4.8951
MG	building	Antanifotsy	-19.65	2018/08/31	47.31667
US	good	Muskogee	35.74788	20 Jul 2016	-95.36969
CN	good	Zhuangyuan	37.30553	06 Jan 2021	120.82747
IT	accep	Sassari	40.72586	2020/08/17	8.55552
NG	building	Lagos	6.45407	05/04/2014, 00:00:00	3.39467
GB	building	Southsea	50.79205	05 Sep 2022	-1.08593
CZ	excellent	Karlovy Vary	50.23271	2016/12/18	12.87117
LR	average	New Yekepa	7.57944	03/11/2018, 00:00:00	-8.53778
US	accep	Hueytown	33.45122	2018/03/20	-86.99666
CF	accep	Carnot	4.94273	2017-07-26	15.87735
PK	accep	Hasilpur	29.69221	21 Jul 2018	72.54566
GB	excellent	Exeter	50.7236	16 Mar 2022	-3.52751
US	accep	North Lauderdale	26.2173	05/20/2021, 00:00:00	-80.22588
US	good	Kearns	40.65995	19 Nov 2019	-111.99633
JP	good	Komono	35	2014-01-09	136.51667
DK	excellent	Frederiksberg	55.67938	2016-02-03	12.53463
US	good	Pottstown	40.24537	11/05/2020, 00:00:00	-75.64963
CN	average	Zhoushan	29.98869	2018-02-01	122.20488
JP	good	Ueno-ebisumachi	34.75856	2022/08/27	136.13108
CN	excellent	Sishui	35.64889	12/25/2013, 00:00:00	117.27583
AU	excellent	Perth	-31.95224	08/11/2015, 00:00:00	115.8614
DE	accep	Schleswig	54.52156	2013-11-27	9.5586
TN	excellent	Beni Khiar	36.46917	2018/04/01	10.78222
BG	average	Smolyan	41.57439	19 Jul 2014	24.71204
BR	excellent	Altamira	-3.20333	2013/07/24	-52.20639
US	good	Westchester	41.85059	2014-07-29	-87.882
US	average	Redding	40.58654	10 Sep 2019	-122.39168
MX	good	Casa Blanca	19.04222	20 Dec 2015	-98.11889
BR	building	Itabirito	-20.25333	30 Aug 2015	-43.80139
IN	building	Puducherry	11.93381	2015/03/29	79.82979
CL	excellent	Chiguayante	-36.9256	2016/11/08	-73.02841
BR	accep	Miracema	-21.41222	2016-11-04	-42.19667
IN	good	Sirsi	14.62072	05 Jan 2022	74.83554
AT	average	Floridsdorf	48.25	09/26/2014, 00:00:00	16.4
IR	excellent	Darreh Shahr	33.14447	2018/04/02	47.3799
RU	average	Arzamas	55.39485	2021/01/05	43.83992
BR	excellent	Palmeira	-25.42944	2018/09/21	-50.00639
TZ	average	Mvomero	-6.25	12 Feb 2018	38.66667
VE	excellent	Tinaquillo	9.91861	15 Oct 2021	-68.30472
GB	average	Lymington	50.75767	2020/06/30	-1.5443
MX	average	Tuxtla	16.75973	01/18/2014, 00:00:00	-93.11308
EC	accep	Cuenca	-2.90055	2017-09-16	-79.00453
RU	accep	Saraktash	51.78771	19 May 2021	56.36091
PH	accep	Maasin	10.13361	2017/11/03	124.84472
BR	maintenance	Pato Branco	-26.22861	08/13/2022, 00:00:00	-52.67056
JP	maintenance	Motomachi	43.82634	2018/09/22	144.09638
ID	excellent	Besuki	-7.73379	2020-12-13	113.69785
TJ	excellent	Vahdat	38.55632	2019/08/01	69.01354
IN	maintenance	Tiruppuvanam	9.82564	2021/06/01	78.25795
US	good	Iron River	46.09273	2018/03/16	-88.64235
PH	excellent	Guyong	14.8361	02/21/2019, 00:00:00	120.97844
UA	average	Artsyz	45.99194	2021/03/22	29.41824
US	building	Gainesville	29.65163	2017/11/04	-82.32483
AR	good	Aguilares	-27.4338	02/20/2013, 00:00:00	-65.61427
FR	good	Pamiers	43.11667	12/02/2014, 00:00:00	1.6
PH	average	Santa Catalina	9.3337	2020/02/15	122.8637
BR	maintenance	Alfenas	-21.42917	01/12/2016, 00:00:00	-45.94722
RU	building	Ozersk	55.75556	10/27/2014, 00:00:00	60.70278
GB	maintenance	Westbury	51.26	2021/04/24	-2.1875
US	good	Palestine	31.76212	12/17/2012, 00:00:00	-95.63079
EG	average	Alexandria	31.20176	2016/08/24	29.91582
ES	good	Ferrol	43.48961	2012/10/28	-8.2194
BD	average	Manikchari	22.83957	2020/02/13	91.84128
CN	average	Beidao	34.56861	08/07/2014, 00:00:00	105.89333
IN	excellent	Osmanabad	18.18158	10 Dec 2016	76.03889
US	maintenance	Lompoc	34.63915	2017-05-09	-120.45794
MY	good	Teluk Intan	4.02219	2020/01/17	101.02083
CA	average	Charlottetown	46.23899	12/30/2013, 00:00:00	-63.13414
HN	acceptable	Olanchito	15.48131	2017/01/27	-86.57415
FR	excellent	Lons-le-Saunier	46.67535	12/19/2020, 00:00:00	5.55575
BR	accep	Soure	-0.71667	22 Jan 2015	-48.52333
ID	excellent	Pameungpeuk	-7.01833	05/11/2013, 00:00:00	107.60389
US	good	Columbia Heights	45.0408	04/30/2016, 00:00:00	-93.263
DE	good	Stuttgart	48.78232	06 Apr 2016	9.17702
MX	maintenance	Contla	19.32932	26 May 2016	-98.1664
US	good	Copperas Cove	31.12406	2014/07/29	-97.90308
DZ	good	El Achir	36.06386	2022/02/12	4.62744
RU	average	Naro-Fominsk	55.38752	04/04/2019, 00:00:00	36.73307
DE	average	Ehingen	48.28259	2016/02/14	9.72749
KR	maintenance	Hongseong	36.6009	05/12/2022, 00:00:00	126.665
CN	maintenance	Longgang	37.65181	05/11/2022, 00:00:00	120.33063
IT	maintenance	Castelfranco Emilia	44.59445	2020/04/01	11.04979
BG	excellent	Montana	43.4125	2020-05-24	23.225
CA	accep	Markham	43.86682	2019/02/22	-79.2663
US	average	Brenham	30.16688	20 Jan 2020	-96.39774
US	excellent	Westchester	41.85059	2013/09/07	-87.882
ES	good	San Juan de Aznalfarache	37.35813	04/22/2021, 00:00:00	-6.03731
BR	excellent	Caldas Novas	-17.74431	21 Jul 2016	-48.62789
PH	excellent	Talisay	10.7375	2019-12-06	122.9666
JM	average	New Kingston	18.00747	2016-09-11	-76.78319
BE	accep	Beveren	51.21187	2017/08/17	4.25633
IN	excellent	Patti	31.28092	06/07/2022, 00:00:00	74.85849
IT	good	Francavilla Fontana	40.53123	2018/11/27	17.58522
US	average	Huntley	42.16808	2018/01/13	-88.42814
US	building	Lompoc	34.63915	12/17/2016, 00:00:00	-120.45794
CA	accep	Sherwood Park	53.51684	2015/12/11	-113.3187
DE	building	Hofheim am Taunus	50.09019	09/16/2017, 00:00:00	8.4493
SO	accep	Kismayo	-0.35817	14 May 2019	42.54536
IT	average	Castelfranco Emilia	44.59445	24 Aug 2013	11.04979
US	good	Evergreen Park	41.72059	2019-12-15	-87.70172
AD	good	les Escaldes	42.50729	2013-11-10	1.53414
US	excellent	Schererville	41.47892	2019-02-10	-87.45476
GB	average	Selby	53.78333	2012-10-19	-1.06667
BY	accep	Novogrudok	53.5942	2017-02-12	25.8191
IN	accep	Rajaori	33.37526	2022/06/25	74.3092
US	good	Woodbridge	40.5576	11/10/2015, 00:00:00	-74.28459
JP	maintenance	Sasayama	35.06667	2020/06/21	135.21667
GB	good	Lymington	50.75767	07/15/2015, 00:00:00	-1.5443
NZ	average	Timaru	-44.39672	2013/02/04	171.25364
CL	accep	La Ligua	-32.45242	10/04/2017, 00:00:00	-71.23106
BR	accep	Guapimirim	-22.53722	2019-06-09	-42.98194
ES	average	Palafrugell	41.91738	2016-08-26	3.1631
MG	accep	Ambatondrazaka	-17.83333	11 Jan 2022	48.41667
CL	excellent	La Ligua	-32.45242	07/31/2020, 00:00:00	-71.23106
US	excellent	Camarillo	34.21639	2018-12-16	-119.0376
US	accep	Nutley	40.82232	2018-09-03	-74.15987
CN	excellent	Jiangyan	32.50611	2016/05/14	120.14278
US	accep	Sicklerville	39.71734	02/25/2019, 00:00:00	-74.96933
RE	excellent	Saint-Denis	-20.88231	07 Jul 2022	55.4504
UA	excellent	Shepetivka	50.18545	2022-08-03	27.06365
US	excellent	Independence	39.09112	2019/06/09	-94.41551
ES	average	Baza	37.49073	2012-12-16	-2.77259
GH	excellent	Mampong	7.06273	2012-11-07	-1.4001
BR	accep	Canavieiras	-15.675	2012/10/15	-38.94722
CN	excellent	Jingzhou	30.35028	03/02/2015, 00:00:00	112.19028
IN	accep	Haldwani	29.22254	2019/08/12	79.5286
CN	maintenance	Shuangcheng	45.35	2021/12/22	126.28333
US	good	Mira Mesa	32.9156	17 Nov 2014	-117.14392
US	average	North Lauderdale	26.2173	2019-02-13	-80.22588
PL	good	Jaworzno	50.20528	07/09/2022, 00:00:00	19.27498
US	good	Lutz	28.15112	22 Nov 2017	-82.46148
DZ	good	Bordj Zemoura	36.27462	2017/08/25	4.85668
AU	accep	Griffith	-34.28853	2020-10-24	146.05093
US	building	Santa Maria	34.95303	06/19/2016, 00:00:00	-120.43572
SO	excellent	Baki	9.89206	09/04/2019, 00:00:00	43.38531
BR	building	Palmeira	-25.42944	2017-03-31	-50.00639
RU	average	Oktyabr’skiy	54.48147	2015/08/24	53.47103
IN	good	Gingee	12.25282	2014/04/26	79.41727
PE	average	Minas de Marcona	-15.21194	04/05/2019, 00:00:00	-75.11028
PH	accep	Jagna	9.6531	29 Sep 2021	124.3697
RU	average	Zhukovka	53.53395	2022/05/18	33.72798
RU	accep	Nizhniy Lomov	53.53041	2021/07/26	43.67663
IN	excellent	Kundla	21.34222	29 May 2020	71.30633
GB	accep	Selby	53.78333	02/15/2013, 00:00:00	-1.06667
NL	building	Hoogezand	53.16167	2022-07-30	6.76111
CN	building	Pingyi	35.50056	08/27/2021, 00:00:00	117.63083
RU	accep	Izluchinsk	60.97944	2018/10/22	76.92421
CN	accep	Foshan	23.02677	2020/09/21	113.13148
GB	average	High Wycombe	51.62907	03/14/2021, 00:00:00	-0.74934
CN	good	Beidao	34.56861	2021-02-19	105.89333
FR	average	Fontenay-aux-Roses	48.79325	2014/08/21	2.29275
LK	good	Dehiwala-Mount Lavinia	6.84019	2019-10-07	79.87116
CN	average	Huangshi	30.24706	2012/12/12	115.04814
HN	good	Olanchito	15.48131	2022/08/13	-86.57415
ID	good	Randudongkal	-7.0981	2019-04-13	109.3243
IN	average	Barbil	22.10194	2020/05/27	85.37752
JP	accep	Yamada	39.46667	2017-12-31	141.95
ID	good	Pameungpeuk	-7.01833	2018/07/07	107.60389
IN	maintenance	Sheoganj	25.13915	2022/02/05	73.06784
GH	building	Bibiani	6.46346	2014/04/22	-2.31938
BE	average	Temse	51.12794	2013-08-17	4.21372
US	accep	Glendale	34.14251	25 Oct 2020	-118.25508
RU	excellent	Yablonovskiy	44.98901	2017/01/08	38.94324
IT	average	Sassari	40.72586	2021/07/21	8.55552
JP	excellent	Okegawa	36	2017/01/16	139.55722
US	average	Toledo	41.66394	06 Aug 2017	-83.55521
