longitude	CO	CFCs	NOx	warning	NH3	latitude	O3	Pb	H2CO	SO2	PM10	PAHs	C2H3NO5	CH4	TEMP	PM2.5	PRES
9.5926	6.65836	57.37801	8.07555	1.00000	9.23798	52.86147	5.97163	66.27202	77.33034	7.04591	7.14983	7.46551	1.63063	4.67305	33.01598	5.09258	1193.01574
85.83334	2.78582	72.52428	8.67943	0.00000	4.62017	20.88197	8.13192	48.28375	22.27229	8.03846	6.24308	8.25235	2.54729	9.30699	21.01049	11.51049	1133.05645
-4.10734	8.79917	78.51999	11.01378	0.00000	4.64342	38.68712	9.42084	42.62401	42.94019	7.46706	7.60604	7.00378	3.96070	9.63982	15.25517	5.36648	1071.04301
110.71639	7.26314	66.89456	5.04989	1.00000	9.47569	-7.54972	7.95259	29.49036	50.44224	8.13614	8.87863	5.79579	10.17460	5.30237	-5.63571	8.52380	1191.59400
91.61356	5.57819	68.56840	6.03349	1.00000	8.57516	26.44931	7.42739	43.43582	37.23014	6.28725	5.96359	7.53042	2.69016	4.05014	27.70259	7.90509	1109.61481
-95.30106	9.92065	70.75699	4.51316	1.00000	8.43034	32.35126	9.10581	42.38006	43.47206	8.57307	7.37186	8.07717	3.19034	5.58754	8.78351	8.71444	1139.10695
39.85331	5.04388	62.21911	10.22998	1.00000	9.67246	57.30185	5.62495	39.58203	38.67981	6.15849	8.42329	9.23440	6.92398	7.21066	17.54931	10.27164	1111.19488
12.70038	10.41771	87.49446	6.13541	1.00000	8.28749	45.9836	9.45931		39.84282	9.02983	8.14649	5.33477	5.81006	6.39630	25.39280	8.71556	1152.23198
16.54165	10.99899	86.42759	9.22033	0.00000	6.65195	68.79833	6.99118	62.20092	58.24958	8.06561	8.96923	9.63316		8.08033	18.96894	6.07861	1092.21651
74.83554	8.20934	70.02778	3.03365	1.00000	10.11710	14.62072	7.45289	33.83627	60.24812	8.71113	9.09285	8.15055	13.36430	4.22259	9.59655	9.00735	1197.32525
36.7138	7.53731	66.75291	8.14441	1.00000	10.34506	35.95664	5.22618	46.25948	55.55516	6.39117	6.23778	6.93673	1.42389	7.36684	15.80786	5.21978	1175.22912
-5.22126	8.59473	60.71058	7.19275	0.00000	5.89984	33.43443	7.26767	65.06802	40.36189	8.06715	7.00885	8.35629	3.07598	8.57492	8.37318	6.45198	1197.52888
117.33333	8.63534	67.36094	5.62770	1.00000	6.64644	34.85	9.39137	76.79925	34.08787	8.16360	8.03437	7.14815	5.44467	7.51638	20.84045	7.31353	1126.75930
12.70038	9.25615	60.84038	6.68528	1.00000	8.71284	45.9836	8.69732	37.70240	38.51969	7.24710	7.07296	8.94718	2.74809	6.53373	22.79703	8.90779	1077.57390
57.3552	6.35992	57.37487	7.79168	1.00000	9.24861	51.4781	5.59121	46.92181	46.42676	8.53767	7.13130	6.56764	5.51053	7.69675	17.58928	4.81127	1082.35586
122.08333	5.72500	70.74175	9.07444	0.00000	6.32446	46.08333	4.54747	50.87603	41.91183	5.60106	6.41279	6.26334	1.94634	8.27104	30.38238	7.42110	1090.16255
11.37703	11.17074	76.25934	11.77353	0.00000	5.72897	48.06919	10.93481	59.32540	44.91534	7.50153	6.92013	6.35409	3.00484	9.89152	37.34171	7.41512	1161.87238
-88.3162	7.28317	69.05175	6.89885	1.00000	9.90352	42.24113	5.39709	55.51073	13.27723	7.26774	6.82870	9.97969	3.70267	7.86627	22.53729	6.76341	1109.09510
76.11996	6.31498	60.95292	4.19261	1.00000	10.81824	11.12018	6.67455	42.91047	32.32786	9.06180	8.15752	6.24318	5.87670	4.85549	19.89116	8.93709	1193.89468
9.00472	5.96047	54.68864	3.30584	1.00000	6.07710	4.2475	5.72961	53.89377	41.19340	5.75301	6.87525	6.67957	2.63491	5.46055	22.88557	6.83461	1196.67085
-71.10077	6.94514	56.04798	4.77491	1.00000	8.00483	18.20854	5.48855	41.53164	40.23247	8.03577	5.84862	8.21678	3.35198	5.26336	13.09629	6.32987	1084.71699
136.84186	9.26426	66.36776	7.60076	0.00000	8.76227	34.4833	5.72458	37.23798	52.94390	7.98337	6.82494	7.42793	1.92375	9.49491	11.34613	7.19127	1079.68722
-81.24441	9.30921	69.48354	7.95317	1.00000	8.87099	23.15678	8.64467	50.90165	32.69765	6.93890	8.57455	5.10777	7.38678	6.73715	4.05991	9.71441	1050.99140
-13.68778	6.87829	56.11765	11.48589	0.00000	5.43021	9.535	11.10375	35.01314	55.45812	7.78040	7.27399	6.98413	3.40756	9.29399	17.89243	5.47097	1171.73901
17.58522	6.67807	61.27254	7.05442	0.00000	6.92983	40.53123	6.89505	69.21914	39.95782	8.00435	6.89493	7.01482	2.14065	9.72816	16.28619	9.20371	1173.73886
-87.45476	4.42576	55.56786	7.24174	1.00000	8.74080	41.47892	6.70200	44.72661	59.53312	8.24029	8.34026	7.15232	6.17544	6.47638	3.92952	5.75857	1120.76261
112.23109	4.76925	60.70983	5.68435	1.00000	8.15551	-7.57897	7.20973	58.67623	41.47443	8.06175	8.23085	6.90291	6.92156	5.51584	17.07533	7.58048	1191.36410
35.34722	7.29598	66.82026	5.91037	1.00000	8.41924	-23.85972	4.79005	65.24214	42.42354	6.44383	6.13640	8.54090	2.68721	9.75771	31.12986	4.57124	1051.41072
43.67663	7.86208	64.12264	6.72810	1.00000	6.76545	53.53041	4.63207	31.99188	58.48135	7.13602	7.40034	6.32195	4.75715	9.79748	4.32845	7.32813	1074.61354
-73.81669	5.27858	79.70112	7.86081	0.00000	6.47504	45.44868	9.03012	51.97222	28.95519	8.69704	7.18098	6.21365	2.96814	9.82080	16.37004	11.47243	1098.53273
31.4976	6.31008		5.23241	1.00000	9.33219	26.67319	8.22463	57.38925	38.25217	9.07226	8.28179	7.97828	4.63539	5.45960	-0.61608	7.93400	1085.83474
28.19028	9.47229	73.42082	3.31952	1.00000	8.58605	59.37722	9.74559	38.97885	39.73469	6.26891	7.31748	7.35737	3.07750	4.57367	23.79003	8.00813	1183.45535
68.21204	7.72296	76.97692	8.29041	0.00000	6.32071	27.55898	7.72969	28.99322	60.61711	5.58842	7.78531	6.84927	4.75476	8.45639	24.24905	5.60334	1092.85076
101.44167	7.99591	54.72626	5.07894	1.00000	9.86288	0.51667	8.75385	51.28503	50.58658	9.02232	6.22171	7.94480	2.76777	4.96545	8.42846	8.50552	1121.88964
68.21204	9.54682	75.15806	8.29784	1.00000	8.23072	27.55898	7.94709	88.18618	39.20832	8.05532	6.77459	6.95147	2.00411	7.46948	17.34388	10.78306	1126.22737
11.412	8.80152	76.17325	9.03746	0.00000	7.94175	45.50369	6.08471	48.69607	46.98853	5.79214	7.99360	6.28137	5.48409	9.46123	-7.33997	7.87347	1187.54850
-15.58602	7.68462	65.50505	7.96975	0.00000	5.84916	27.76056	5.56105	62.84162	42.61933	8.47079	7.61695	6.32057	4.25239	9.21964	13.45976	7.34509	1091.11965
4.91667	7.90333	75.34793	4.77519	1.00000	12.21004	45.73333	6.96904	74.64978	32.81995	7.46757	6.04356	8.12264	1.35774	3.95433	6.77952	10.72037	1079.92675
24.04142	10.40450	69.60798	8.38608	0.00000	6.54593	54.39635	8.92572	52.70549	49.16800	7.59425	7.04011	8.35428	2.71434	9.78382	5.68582	6.50628	1124.21828
92.48278	10.32120	61.52282	5.50499	1.00000	7.17937	58.23583	9.51092	66.76092	47.92502	7.20126	9.61783	9.31793	20.38900	6.41295	11.22799	8.45550	1087.58095
30.38167	6.79671	63.17458	6.00122	1.00000	8.92006	59.80917	5.98988	73.12357	34.55453	5.39555	7.11522	6.38459	4.14689	6.10121	13.03667	6.35691	1099.23917
-86.11084	6.41692	67.80305	6.93733	1.00000	10.74840	41.75338	7.38973	68.54180	33.42049	7.56282	8.35271	8.12639	6.59569	5.76433	11.25674	6.40128	1079.82262
-66.8499	5.61653	67.85311	6.45943	1.00000	8.27288	18.03496	5.96569	24.31058	44.98340	6.68014	8.01735	7.02646	5.66854	6.47471	4.71024	6.23041	1050.42226
-73.75513	6.98893	78.60851	8.84931	0.00000	7.72707	40.60538	8.96440	61.55971	30.11905	7.84112	7.66683	7.95080	5.41131	8.56104	23.75874	8.23802	1122.67281
79.82979	8.03437	58.05522	6.63825	1.00000	9.14094	11.93381	7.79082	41.72943	46.27332	7.67809	6.85421	6.21061	2.81543	5.85805	12.59262	8.91321	1160.95493
-2.98884	7.15542	75.37170	10.86910	0.00000	5.88372	43.32686	9.97657	24.25349	30.18702	8.29738	8.00965	6.26547	5.75943	8.14695	14.29147	3.71197	1180.02217
-68.30472	5.67894	62.32332	8.38358	0.00000	6.12678	9.91861	5.88903	52.76131	59.05755	8.01937	6.95599	7.42629	4.13535	8.37791	28.75051	9.06145	1160.91355
38.07083	3.37335	58.52886	8.41330	0.00000	4.01920	54.90083	5.81326	37.13106	43.64479	7.67809	6.60194	6.94294	1.41384	8.03602	-6.54138	9.73326	1050.49707
2.59753	5.84999	60.24306	5.04486	1.00000	7.47038	8.88649	5.60709	60.82511	42.07465	8.36108	8.65173	7.84607	9.29645	6.80855	10.48780	6.38700	1175.44110
27.46153	6.56505	56.71256	6.41061	1.00000	9.84275	-21.44236	6.16835	45.58006	41.33091	5.87588	7.61141	6.08199	3.15811	8.27408	12.66279	3.67654	1184.57849
-119.01677	6.60204	71.18860	7.29486	0.00000	4.63766	36.06523	6.68984	40.72593	44.84088	6.24198	8.94611	7.10271	11.16720	9.38857	3.09752	8.32742	1163.71243
4.21372	7.90988	54.38996	6.17607	0.00000	5.39169	51.12794	7.26227	45.79242	31.19583	8.06009	8.48956	5.36311	7.07078	8.15644	20.54438	4.98631	1161.56540
178.00417	9.82768	56.99129	7.96854	0.00000	6.30488	-38.65333	10.57649	44.16806	45.75016	7.67523	8.02266	6.69743	4.99775	10.50633	-9.65382	6.05261	1144.64097
-99.32556	10.20545	54.24573	6.56983	1.00000	8.57816	19.32889	9.47578	28.88295	49.55212	7.13727	7.67877	6.93254	4.70952	6.59981	29.43522	9.55602	1180.97827
70.96699	5.20163	58.25508	9.13191	0.00000	4.31596	30.46907	6.27984	56.59045	56.71941	6.50463	6.84877	6.44848	2.00829	10.07087	6.24747	9.18238	1170.91739
8.63333	5.52469	72.76451	11.31387	0.00000	4.57879	52.2	7.26443	16.86344	32.43973	8.62034	6.85824	8.86398	2.36002	8.91879	-2.01287	9.60568	1118.53522
2.1699	11.45216	56.31138	3.02713	1.00000	6.77657	48.98994	12.29526	40.93498	55.30903	7.27316	6.66084	6.14961	2.81049	5.51991	20.12093	6.40473	1124.35540
-80.22588	6.10721	81.08023	8.32207	0.00000	7.31824	26.2173	7.64742	40.76835	29.40880	7.42969	6.74907	5.90612	2.92884	8.06110	6.89784	9.74352	1111.68811
24.99798	7.59328	69.53999	9.30278	0.00000	6.28783	-8.73508	2.10052	83.15861	37.06274	7.44970	7.11527	7.76578	2.77428	8.24213	1.15947	5.44838	1173.09968
-87.88754	5.35140	70.34771	8.09752	0.00000	5.34419	41.15376	5.43958	77.46874	32.18911	7.18063	7.59712	5.36912	4.54464	7.65404	31.87334	8.47782	1078.45589
-79.00453	5.40165	74.71353	6.81612	1.00000	9.75566	-2.90055	7.76046	42.34486	30.57179	6.86431	8.88732	7.08502	11.30652	5.29682	5.60197	6.80544	1157.31946
-2.98333	7.21288	64.81175	5.55500	1.00000	8.69484	53.83333	4.94723	51.48273	64.10823	9.12702	8.23432	8.58898	6.60612	6.06334	22.66894	6.07186	1106.03055
18.28333	3.42692	81.92834	6.76235	0.00000	5.86588	59.33333	6.09403	50.88087	49.66766	6.98329	6.97054	8.48852	2.87773	5.18040	28.13324	3.28558	1184.50532
71.52847	8.59067	66.67604	6.13932	1.00000	8.61246	32.57756	8.90079	64.21047	46.02544	7.27962	8.42644	7.88739	6.90695	6.24534	3.80261	8.48844	1169.49233
42.54536	6.92396	69.18220	8.77072	1.00000	10.49389	-0.35817	5.02417	48.81856	56.59434	7.32374	6.17401	6.96208	1.90513	8.40708	-1.18051	4.16383	1147.73690
-1.5443	8.34106	76.84356	9.67443	0.00000	7.61793	50.75767	11.25926	42.12296	34.29312	7.33552	6.69759	7.33758	1.27506	9.83422	33.70360	7.30845	1107.63625
8.77155	5.45218	61.41869	3.75444	1.00000	7.56623	50.23019	7.26845	48.49326	41.44451	7.71444	5.78824	8.43698	3.46641	4.13669	28.39287	8.09535	1198.42864
123.99333	6.56979	67.65257	4.71374	1.00000	7.55706	12.97389	6.19012	35.53094	45.62504	8.07610	7.63303	7.40491	3.16671	4.52175	19.99557	6.00878	1166.27332
44.02488	5.02489		5.46869	1.00000	7.89747	32.61603	6.49681	48.02490	52.84304	7.56560	7.55259	6.80967	3.62816	5.37913	-6.63588	7.43263	1138.84947
10.78222	9.11493	70.96243	5.09809	1.00000	9.61158	36.46917	10.37939	49.89734	60.93523	6.42569	8.20022	8.10679	6.05007	5.12260	26.91175	7.93708	1114.76929
74.83554	8.29760	70.94617	10.61400	0.00000	7.01592	14.62072	8.24478	37.49564	51.10658	6.90808	6.56901	7.36793	2.46084	8.46177	9.27656	8.16871	1183.02506
13.57661	8.39385	72.19039	9.59611	0.00000	6.00304	37.31065	11.77680	25.89191	44.20009	6.24600	8.80566	7.95445	9.82773	10.69013	20.37428	6.86255	1125.29912
-35.71667	5.14117	71.23217	5.74826	1.00000	7.60187	-8.66667	6.21126	56.70030	59.10164	6.17781	7.00923	7.65283	1.39469	7.31444	15.67385	5.01787	1116.70306
36.7138	6.05012	76.41705	7.19801	0.00000	7.01245	35.95664	8.93201	49.05636	55.86842	6.46457	7.01048	7.02714	3.21759	8.17517	11.24368	6.42017	1057.52767
17.58522	6.96269	70.18577	7.38757	1.00000	8.97168	40.53123	8.11862	53.20857	34.01816	8.58995	7.65762	9.22226	3.76499	5.96715	5.40295	8.58037	1053.45621
112.23109	8.13232	62.70059	6.30468	1.00000	10.14124	-7.57897	7.14596	41.35665	38.02617	6.81889	8.18259	5.84724	6.49075	5.27242	29.87154	9.57425	1132.82002
43.38531	6.42108	63.08229	5.99555	1.00000	9.42176	9.89206	7.10210	39.39241	44.25864	8.67988	8.25382	8.49697	6.48887	5.37388	18.84939	6.46412	1129.47799
15.16554	4.37580	64.16289	6.32838	0.00000	5.03426	-4.5833	6.66035	48.03766	44.85706	6.48683	6.98960	7.49480	1.80634	9.20191	-4.06594	10.01502	1129.04676
-1.60452	8.09744	70.32366	6.18087	1.00000	9.59943	42.06166	8.34794	46.13048	34.95676	7.02369	7.69736	7.92193	4.42112	5.38605	17.29466	9.00775	1115.83929
-72.86843	6.13418	69.22849	4.14189	1.00000	7.74387	41.27621	6.46186	31.42381	73.81640	6.61172	8.20896	6.29291	5.84325	5.42880	22.08552	6.44614	1160.31228
74.83554	6.27805	70.12432	4.89410	1.00000	7.53981	14.62072	5.68233	42.05990	36.77105	6.21556	7.46717	6.86346	4.27769	6.22860	12.57878	7.03820	1087.84296
3.50309	9.85201	68.01251	8.39126	0.00000	5.78754	34.15429	6.15509	36.60944	59.61667	7.65799	7.76586	7.46057	3.19922	7.40008	4.94121	6.34361	1198.00273
-79.62603	6.95599	54.46902	6.87078	1.00000	10.32221	8.88988	6.44661	57.34255	28.02680	8.91399	8.40215	8.23696	7.98986	6.52263	2.12516	6.89832	1166.30358
136.84186	4.95701	69.88197	4.21471	1.00000	5.76830	34.4833	5.09929	31.08268	44.16063	7.01903	7.63927	6.63805	4.80114	6.84572	1.25393	5.60401	1144.97598
-13.2356	6.20838	69.20594	7.48878	1.00000	9.61357	8.48714	6.27226	47.07912	58.48954	8.05590	7.44330	7.49637	3.41795	7.10968	28.17804	5.09550	1075.82469
79.82979	9.45120	70.99629	8.19900	1.00000	7.33513	11.93381	8.18307	45.15139	38.73059	8.03201	8.44150	8.19518	8.33357	7.59055	31.44680	9.48945	1163.20772
8.77155	7.41136	58.08320	7.34985	1.00000	8.84338	50.23019	4.88785	63.62380	31.87458	7.41533	8.52716	7.39443	8.36609	6.24844	-10.27512	5.02353	1050.39476
8.86374	5.31611	70.85932	6.23902	1.00000	8.92714	44.89784	7.10795	68.16837	52.98900	7.53976	7.05204	7.18209	2.71660	4.87012	5.16603	9.02482	1087.55145
-120.43572	9.68622	56.62177	1.95372	1.00000	10.19620	34.95303	11.08020	54.44681	40.14888	7.32222	7.88559	8.34333	4.69939	3.62374	29.20736	7.58560	1083.73830
-73.89875	3.96380	75.08590	9.22055	0.00000	5.58916	40.93121	6.88822	51.34621	44.09009	5.86537	9.96692	6.91794	30.02375	7.84997	-8.75941	10.24175	1058.12967
-56.52361	9.18168	56.93175	12.52243	0.00000	8.11533	-33.38056	4.71119	60.12644	60.37024	7.26729	8.42693	8.83508	6.82905	8.76704	12.09169	6.58008	1080.03029
139.6853	5.73533	67.16926	6.42850	0.00000	6.04498	35.815	4.36942	41.72209	43.94085	10.10519	8.44083	8.14160	7.46332	9.10063	23.99486	8.10163	1169.46932
120.5875	6.43169	64.05896	8.92232	0.00000	7.17808	16.455	4.65711	58.98903	38.81353	6.40817	5.33581	7.93047	2.09603	9.16547	26.38605	8.01561	1174.64396
-117.71978		78.77369	5.67044	1.00000	7.58583	34.09668	5.44072	66.99403	73.38643	8.35467	5.74511	6.67632	2.50159	5.94468	-3.32619	6.79299	1178.99826
-91.58045	4.97083	84.00329	6.02957	1.00000	8.65899	41.6764	7.21877	53.40726	27.17860	8.09159	8.21815	7.61673	7.15458	6.79837	10.98676	5.81464	1097.32224
-1.06667	8.45080	74.12355	5.55700	1.00000	8.02845	53.78333	8.95897	48.28693	60.61834	6.29373	7.77325	9.28245	5.25452	6.49860	16.87374	8.03690	1094.52165
-87.88754	6.91473	86.46825	6.04462	1.00000	8.02864	41.15376	4.91881	45.07673	59.44246	7.79348	7.13297	7.36017	2.94741	6.76618	26.78413	5.40855	1103.15040
9.40531	5.46735	73.32674	7.69526	0.00000	6.83938	45.53069	8.91590	69.81341	39.46039	9.20324	6.56163	7.19104	1.77819	8.17930	9.14676	5.30444	1189.96989
46.04833	6.32737	72.54039	8.35210	1.00000	10.05238	51.40944	5.43732	57.60738	67.39230	7.53227	6.15074	8.67355	3.14713	8.02711	18.24791	5.92939	1142.10765
86.59509	10.70976	60.64110	10.02158	0.00000	6.33034	26.11527	8.84214	57.20835	66.57109	7.20757	7.32973	7.25385	3.40622	8.74436	8.70055	5.91503	1166.39681
-68.30472	6.83475	65.82784	5.67753	1.00000	7.12130	9.91861	5.29965	51.50677	44.24077	7.31813	7.49526	5.69012	3.56331	5.89202	11.69405	6.54223	1118.44778
150.60036	10.36671	76.82534	11.78816	0.00000	4.66941	-34.88422	9.29372	44.29073	49.62154	6.42011	7.86395	7.16027	4.80016	9.71205	21.67795	8.04636	1067.35299
-73.75513	5.22453	57.43090	7.58532	0.00000	4.33748	40.60538	4.97805	47.00463	4.56354	6.66220	6.82453	8.73064	2.90198	6.75956	22.34328	8.23863	1175.47340
10.78222	6.42045	58.46498	4.28939	1.00000	8.79195	36.46917	7.44913	27.92522	31.09610	6.84769	6.70127	8.37769	3.43090	3.38097	13.42884	8.19336	1100.79733
16.54165	5.67797	78.62409	7.93469	1.00000	9.57647	68.79833	6.46151	52.82752	15.77066	7.33094	8.84387	6.16779	9.74304	6.83079	11.78598	5.21630	1172.06945
4.91667	10.47268	78.52362	12.30107	0.00000	4.20118	45.73333	11.39571	65.81901	29.78725	7.86516	7.14939	7.73279	3.41662	11.37371	23.98550	7.59180	1109.72041
4.63031	8.09087	77.50293	5.85824	0.00000	7.27347	43.67681	6.50706	38.52550	32.64721	8.06859	6.67623	8.44419	2.00009	7.94872	9.10169	6.40066	1107.13607
76.12647	11.70263	70.92505	9.25844	0.00000	6.51898	32.55531	8.06097	37.92826	39.83930	8.15458	5.72219	8.08672	2.05879	9.65764	7.27692	6.59706	1115.70203
71.30633	8.37428	69.51590	10.43649	0.00000	5.60397	21.34222	10.30836	42.32864	41.87179	7.26929	6.63250	7.43610	2.49423	9.04802	26.04631	5.36850	1100.41795
139.6853	6.02793	78.64600	11.93290	0.00000	6.25047	35.815	6.49714	53.35819	33.62737	6.95037	7.36025	7.11476	3.50377	8.73676	31.67248	8.80810	1083.68307
119.58627	5.64300	74.65702	7.91623	1.00000	9.19945	23.5654	5.25906	47.99824	36.92851	7.25028	7.59120	7.94098	3.84196	8.16226	17.76971	5.29472	1060.02996
-105.36369	5.53469	61.27249	5.20200	1.00000	8.00003	22.49396	7.28455	44.58052	42.88286	6.98943	7.43384	7.11599	4.55105	5.17389	18.31938	6.97297	1148.02299
-2.12139	7.66176	68.10210	8.30480	0.00000	7.20198	52.48173	8.71985	65.29402	25.64442	4.91065	8.71830	5.76509	9.41297	8.08395	15.87706	7.75136	1129.89282
-37.65	6.98441	66.36954	6.63062	1.00000	8.10249	-10.91722	7.92191	59.23321	30.21635	7.09695	6.87158	5.76632	3.07129	6.29152	32.46576	7.78153	1164.93045
111.4834	7.52712	81.19093	4.05314	1.00000	9.03821	65.93381	7.86815	68.94635	53.65885	7.41360	8.73225	8.53962	10.38158	5.53857	16.55176	8.04686	1161.74479
-70.6996	10.47197	79.40477	7.85827	1.00000	10.11582	-33.59217	7.41717	30.45015	47.48434	7.94696	6.69066	7.86904	2.31891	6.16687	5.58363	11.91137	1199.95838
112.23109	5.51044	69.21104	6.50032	1.00000	8.04957	-7.57897	5.91782	44.97818	39.86281	7.10959	6.87153	8.75257	2.83288	5.67991	19.16625	5.78740	1100.46056
5.37429	10.45292	48.98573	8.07049	1.00000	7.16020	51.03427	9.29080	35.26414	47.14455	8.63969	7.28389	6.95952	3.08901	7.67042	12.63971	9.25957	1099.72956
29.41824	5.94432	67.83558	6.93227	1.00000	8.64411	45.99194	5.37241	21.61938	40.56569	9.19601	6.77470	9.12270	1.65365	6.90837	18.78542	6.21586	1153.01272
83.36889	7.69883	62.31264	8.58261	0.00000	4.98013	26.76628	8.13003	69.69004	40.68886	8.10941	6.58718	8.41910	2.77871	7.55847	15.20785	4.15985	1196.25338
11.04979	10.97620	70.11368	9.43149	0.00000	5.66556	44.59445	8.61946	32.69300	43.92760	5.95956	7.02668	7.12409	2.97184	9.08630	25.06972	5.19246	1145.42151
-1.05366	10.11395	82.22824	10.23304	0.00000	8.54451	43.71032	5.53001	46.21741	31.46523	8.01621	7.46458	7.00447	3.12131	9.61458	7.18674	6.92402	1108.82335
-51.50361	7.63440	61.80139	9.99272	0.00000	6.36127	-29.2975	9.54630	61.53283	34.01553	7.07075	9.64478	7.97566	20.82839	8.84439	4.75069	5.71414	1179.73880
72.34424	9.01931	64.57419	5.53608	1.00000	11.07178	40.78206	8.50647	35.36855	57.01558	8.22964	6.72875	7.57099	2.54562	4.90880	16.79876	9.97029	1055.23914
-73.49484	5.74325	66.35597	6.33494	1.00000	7.65423	41.14676	5.04797	50.93937	39.07976	6.89175	9.69559	6.95257	22.90288	7.28869	8.25526	5.49052	1134.86986
44.53333	8.30987	67.94129	5.44964	1.00000	12.37797	-22.9	7.04116	53.18899	44.83251	7.12358	7.34412	7.90217	4.28385	4.16158	20.62362	10.77910	1091.00079
122.8637	5.64695	65.61196	6.42141	0.00000	6.41288	9.3337	7.52531	41.93560	62.18568		7.49023	7.58530	3.95588	9.08052	-0.70667	10.02887	1132.15550
-63.13414	5.91192	75.37970	6.37277	1.00000	7.56840	46.23899	5.69065	29.96790	36.69870	6.02465	8.90407	7.28616	10.35771	6.54313	-2.02765	5.82928	1179.70439
117.55417	11.22813	65.79014	8.10351	0.00000	6.86818	34.86472	7.04521	42.89471	41.61436	8.60438	6.98163	7.87080	2.80099	8.15330	4.47978	7.89231	1080.27625
107.60389	8.60134	75.34213	6.65768	1.00000	9.96909	-7.01833	8.84005	28.84602	52.10492	8.24325	7.69093	8.87563	3.13808	5.61275	16.32974	9.39982	1079.96612
19.21437	8.29815	67.49059	6.95514	0.00000	6.78051	44.75874	7.39840	42.60973	46.22556	6.03055	7.37806	7.23493	3.24963	9.02269	16.30941	6.50716	1186.10037
-91.58045	5.32273	59.84813	7.35782	1.00000	9.62825	41.6764	6.27509	32.97983	55.61174	10.20453	7.23627	7.93865	3.53704	6.38348	17.84612	5.97599	1133.90635
2.18247	8.28179	85.66338	6.99783	1.00000	10.03579	41.41204	8.76252	36.75489	56.08508	6.77164	7.42890	5.72771	3.97113	6.37838	23.25301	9.01289	1140.47988
1.33467	6.27302	66.14341	7.00854	1.00000	8.75830	43.61058	5.17214	61.55086	55.92062	7.29951	5.93631	5.45511	2.62273	6.89513	15.44498	5.80582	1056.75203
37.92792	5.47589	61.14090	6.81138	0.00000	6.69158	53.93361	7.60065	40.28727	26.81983	8.17528	7.58358	7.25643	3.23184	7.64831	17.12295	6.58338	1177.41758
38.01667	5.78819	46.23674	7.70715	0.00000	5.46219	-5.41667	5.86706	50.42176	54.10945	6.99605	8.93100	8.30859	10.74250	6.76586	3.18793	4.15867	1109.29432
