code	latitude	revision	longitude	location	QoS
AM	40.49748	18 Nov 2012	44.7662	Asia/Yerevan	accep
TR	38.37255	2018/02/19	34.02537	Europe/Istanbul	good
US	33.45122	31 Jul 2017	-86.99666	America/Chicago	excellent
DO	18.20854	19 Jul 2013	-71.10077	America/Santo_Domingo	good
US	41.6764	2020/12/17	-91.58045	America/Chicago	accep
LY	30.75545	08 Mar 2018	20.22625	Africa/Tripoli	good
US	36.06523	21 Mar 2016	-119.01677	America/Los_Angeles	excellent
ES	43.32686	18 May 2018	-2.98884	Europe/Madrid	accep
BE	51.03427	2020/09/29	5.37429	Europe/Brussels	average
US	33.76446	2019/07/06	-117.79394	America/Los_Angeles	good
IN	25.13915	2020-01-14	73.06784	Asia/Kolkata	excellent
UA	51.67822	2022-02-26	33.9162	Europe/Kiev	building
GB	53.0233	11 Jan 2018	-1.48119	Europe/London	average
TZ	-7.76667	25 Oct 2019	35.7	Africa/Dar_es_Salaam	average
FR	48.98994	2016/05/23	2.1699	Europe/Paris	excellent
RS	44.22639	2013-07-28	22.53083	Europe/Belgrade	building
SL	8.48714	2020-03-19	-13.2356	Africa/Freetown	maitennce
UY	-33.38056	08/11/2019, 00:00:00	-56.52361	America/Montevideo	average
MA	33.43443	2022-05-02	-5.22126	Africa/Casablanca	excellent
DE	50.64336	10/01/2015, 00:00:00	7.2278	Europe/Berlin	average
PH	6.95194	09 May 2017	121.96361	Asia/Manila	excellent
IN	23.1959	2016/07/01	86.51499	Asia/Kolkata	excellent
CN	34.85	2021/02/18	117.33333	Asia/Shanghai	accep
HT	18.65297	2018-03-10	-72.09391	America/Port-au-Prince	maintenance
IT	41.24264	02/08/2013, 00:00:00	16.50104	Europe/Rome	building
MX	20.21322	2014-05-04	-100.88023	America/Mexico_City	good
JP	36.33011	2015-10-06	138.89585	Asia/Tokyo	maintenance
US	39.78504	2016-12-21	-85.76942	America/Indiana/Indianapolis	excellent
IT	43.78956	09/17/2022, 00:00:00	7.60872	Europe/Rome	average
ID	-6.91806	10/20/2014, 00:00:00	106.92667	Asia/Jakarta	building
BR	-29.2975	2018/02/16	-51.50361	America/Sao_Paulo	accep
GB	56.56317	2022/08/02	-2.58736	Europe/London	accep
PA	8.88988	2012-11-30	-79.62603	America/Panama	good
BR	-29.2975	26 May 2015	-51.50361	America/Sao_Paulo	maintenance
IN	26.11527	08 Jul 2017	86.59509	Asia/Kolkata	excellent
IT	45.9836	08/10/2016, 00:00:00	12.70038	Europe/Rome	average
RU	55.64776	01/15/2019, 00:00:00	38.02486	Europe/Moscow	excellent
PE	-16.25	2016/06/05	-69.08333	America/Lima	accep
RS	44.22639	22 Nov 2015	22.53083	Europe/Belgrade	average
BE	50.74497	2018-10-16	3.20639	Europe/Brussels	excellent
CN	37.19723	2021-07-11	122.05228	Asia/Shanghai	excellent
IT	40.87363	2019/11/24	14.34085	Europe/Rome	good
DE	49.97704	18 Dec 2014	9.15214	Europe/Berlin	excellent
US	41.48199	05/15/2016, 00:00:00	-81.79819	America/New_York	good
IT	45.79377	2015/09/10	8.88104	Europe/Rome	good
NL	52.26083	2019-07-07	7.00417	Europe/Amsterdam	accep
MM	14.0823	11/05/2021, 00:00:00	98.19151	Asia/Yangon	good
MX	19.04222	02/18/2022, 00:00:00	-98.11889	America/Mexico_City	accep
FR	50.75	2013/10/27	2.25	Europe/Paris	excellent
AU	-37.9	2020-08-01	145.18333	Australia/Melbourne	accep
DE	52.21099	13 Sep 2014	7.02238	Europe/Berlin	accep
ID	-8.43333	2022-05-02	114.33333	Asia/Jakarta	good
NZ	-38.65333	2013/11/01	178.00417	Pacific/Auckland	accep
BR	-19.72806	22 Jun 2017	-50.19556	America/Sao_Paulo	excellent
US	40.2737	2019-02-20	-76.88442	America/New_York	accep
RU	58.23583	16 Feb 2014	92.48278	Asia/Krasnoyarsk	accep
US	34.09668	12 Dec 2017	-117.71978	America/Los_Angeles	excellent
CN	27.92333	01/25/2014, 00:00:00	118.53333	Asia/Shanghai	building
CN	37.30553	2013-07-07	120.82747	Asia/Shanghai	maintenance
DE	52.4581	2018-08-20	13.28702	Europe/Berlin	building
ES	42.8139	20 Feb 2015	-1.64295	Europe/Madrid	accep
TH	6.25947	03/23/2018, 00:00:00	102.05461	Asia/Bangkok	excellent
RS	44.22639	04 Nov 2018	22.53083	Europe/Belgrade	accep
IN	9.57046	2017/03/23	76.32756	Asia/Kolkata	average
US	30.16688	2022/02/05	-96.39774	America/Chicago	average
FR	45.69558	30 Sep 2020	4.7934	Europe/Paris	accep
IN	18.18158	2020/06/29	76.03889	Asia/Kolkata	accep
BA	44.75874	09 Oct 2015	19.21437	Europe/Sarajevo	excellent
TR	37.05944	2020-09-27	37.3825	Europe/Istanbul	accep
BR	-19.7625	07 Feb 2015	-44.31389	America/Sao_Paulo	excellent
CA	45.43341	15 Sep 2015	-73.86586	America/Toronto	maintenance
TR	37.05944	2018/05/25	37.3825	Europe/Istanbul	excellent
GB	56.56317	2014-06-13	-2.58736	Europe/London	average
JP	35.815	10/12/2017, 00:00:00	139.6853	Asia/Tokyo	good
UA	47.56494	01/20/2015, 00:00:00	31.33078	Europe/Kiev	building
BA	44.75874	2015/05/02	19.21437	Europe/Sarajevo	average
KG	40.93333	2017/04/12	73	Asia/Bishkek	accep
US	26.91756	2017-02-16	-82.07842	America/New_York	accep
CU	23.04419	04 Oct 2013	-82.00919	America/Havana	excellent
TR	38.13708	2014/06/22	41.00817	Europe/Istanbul	good
PH	16.455	02/28/2018, 00:00:00	120.5875	Asia/Manila	good
PK	25.95533	2016/10/08	68.88871	Asia/Karachi	average
FR	43.61092	2021/05/06	3.87723	Europe/Paris	good
FR	48.98994	2016/12/31	2.1699	Europe/Paris	good
IN	22.75218	04/06/2016, 00:00:00	72.68533	Asia/Kolkata	maintenance
BR	-8.05389	2019-01-27	-34.88111	America/Recife	excellent
PH	9.3337	12 Sep 2014	122.8637	Asia/Manila	good
SK	48.43174	2021-12-20	17.8031	Europe/Bratislava	excellent
PH	12.37169	2022/06/25	123.62494	Asia/Manila	average
MX	22.49396	2018/10/15	-105.36369	America/Mazatlan	maintenance
KZ	47.83333	11/17/2019, 00:00:00	59.6	Asia/Aqtobe	good
US	40.72816	22 Jul 2013	-74.07764	America/New_York	building
RU	60.02427	2013-05-06	30.28491	Europe/Moscow	accep
CN	24.28859	2014-05-28	116.11768	Asia/Shanghai	average
FR	43.61092	11/10/2021, 00:00:00	3.87723	Europe/Paris	excellent
ID	-7.57897	05 Jun 2019	112.23109	Asia/Jakarta	average
GB	51.26	13 May 2017	-2.1875	Europe/London	excellent
DJ	11.15583	02 Sep 2022	42.7125	Africa/Djibouti	building
SV	13.70167	12 Feb 2013	-89.10944	America/El_Salvador	building
PH	6.95194	2019-08-16	121.96361	Asia/Manila	average
CO	3.8801	2017/07/21	-77.03116	America/Bogota	good
UA	51.67822	06 Mar 2018	33.9162	Europe/Kiev	accep
PK	31.71667	24 Aug 2018	73.38333	Asia/Karachi	good
FR	46.67535	2017-09-16	5.55575	Europe/Paris	good
US	47.64995	2021/01/16	-117.23991	America/Los_Angeles	excellent
US	33.54428	05 Apr 2013	-84.23381	America/New_York	good
US	26.2173	2015-08-06	-80.22588	America/New_York	good
PK	29.38242	2020-01-11	70.91106	Asia/Karachi	good
EC	-2.13404	2019/10/13	-79.59415	America/Guayaquil	building
US	46.32374	08 Aug 2020	-120.00865	America/Los_Angeles	average
CO	4.73245	11/27/2016, 00:00:00	-74.26419	America/Bogota	accep
US	33.93113	2017-02-04	-117.54866	America/Los_Angeles	good
TH	15.46063	2016/12/13	99.89166	Asia/Bangkok	good
RU	44.92934	07 Jul 2017	37.99117	Europe/Moscow	excellent
PE	-3.74912	09/08/2014, 00:00:00	-73.25383	America/Lima	good
TH	15.46063	25 Feb 2020	99.89166	Asia/Bangkok	good
RU	56.03361	2018-10-20	35.96944	Europe/Moscow	average
BR	-21.41222	2019-06-08	-42.19667	America/Sao_Paulo	average
ES	27.76056	01 Oct 2015	-15.58602	Atlantic/Canary	excellent
SE	59.33333	06/16/2015, 00:00:00	18.28333	Europe/Stockholm	accep
DO	18.20854	03/25/2015, 00:00:00	-71.10077	America/Santo_Domingo	accep
PE	-11.94306	03/28/2019, 00:00:00	-76.70944	America/Lima	maintenance
TN	36.46917	09/29/2016, 00:00:00	10.78222	Africa/Tunis	accep
PA	9.15093	2017/11/03	-79.62098	America/Panama	accep
US	34.06635	2019-09-10	-84.67837	America/New_York	average
CN	35.85	2013-09-01	117.7	Asia/Shanghai	accep
JP	35.82756	2013-04-24	137.95378	Asia/Tokyo	good
ET	6.03333	04/23/2016, 00:00:00	37.55	Africa/Addis_Ababa	average
