location	revision	QoS	longitude	station	latitude
Africa/Algiers	2020/06/25	excellent	4.08282	Beni Douala	36.61954
Europe/Zaporozhye	2018/02/07	average	38.15035	Svatove	49.41029
Asia/Kolkata	2022-05-04	excellent	84.13864	Jashpurnagar	22.88783
Europe/Moscow	15 Sep 2021	good	39.85331	Gavrilov-Yam	57.30185
Europe/Rome	2020-11-13	good	9.40531	Gorgonzola	45.53069
America/Los_Angeles	14 Mar 2017	average	-117.71978	Claremont	34.09668
Europe/Rome	2017-10-04	good	14.34085	Volla	40.87363
Europe/Berlin	01/26/2020, 00:00:00	good	7.2278	Bad Honnef	50.64336
America/New_York	2019-05-04	good	-74.13653	Port Richmond	40.63316
America/Puerto_Rico	2020-10-09	good	-67.15407	Aguadilla	18.42745
America/Los_Angeles	09/23/2020, 00:00:00	good	-120.45794	Lompoc	34.63915
America/Los_Angeles	22 Feb 2022	average	-122.38731	Troutdale	45.53929
America/Caracas	2015/06/21	average	-67.33122	La Victoria	10.22677
Asia/Kuala_Lumpur	29 Nov 2021	excellent	100.24529	Batu Feringgi	5.4709
America/Chicago	2021/12/28	excellent	-91.06177	Greenville	33.41012
Asia/Manila	2017/07/12	good	123.89071	Cebu City	10.31672
Europe/London	2020/02/28	building	1.15597	Clacton-on-Sea	51.78967
Africa/Douala	06/10/2017, 00:00:00	accep	9.00472	Idenao	4.2475
Asia/Shanghai	05 Feb 2014	accep	118.53333	Pucheng	27.92333
Europe/Istanbul	2021/05/05	accep	37.3825	Gaziantep	37.05944
Europe/London	2018/01/26	excellent	1.15597	Clacton-on-Sea	51.78967
America/Chicago	12/13/2021, 00:00:00	good	-88.81395	Jackson	35.61452
Europe/Istanbul	03/19/2022, 00:00:00	accep	34.02537	Aksaray	38.37255
Africa/Addis_Ababa	10/18/2018, 00:00:00	accep	37.55	Arba Minch	6.03333
America/Guayaquil	2016-01-08	average	-79.59415	Milagro	-2.13404
Africa/Gaborone	2015-10-13	accep	27.46153	Tonota	-21.44236
Europe/Saratov	05/07/2015, 00:00:00	good	46.04833	Privolzhskiy	51.40944
America/Chicago	2018-01-21	maintenance	-93.71133	West Des Moines	41.57721
America/New_York	04/08/2018, 00:00:00	good	-82.32483	Gainesville	29.65163
Europe/Moscow	2016-08-07	maintenance	37.92792	Kireyevsk	53.93361
Europe/Paris	2016-09-14	average	2.29026	Sceaux	48.77644
Africa/Bangui	10 Jul 2021	good	15.87735	Carnot	4.94273
Europe/London	02/21/2021, 00:00:00	excellent	-0.29825	Surbiton	51.39148
Europe/Madrid	24 Sep 2016	building	-1.60452	Tudela	42.06166
Asia/Shanghai	2020-05-18	good	123.50266	Hushitai	41.94175
Asia/Shanghai	2019/03/10	accep	105.89333	Beidao	34.56861
America/New_York	2016-10-02	good	-72.97261	Rutland	43.61062
America/Sao_Paulo	09/04/2018, 00:00:00	excellent	-45.94722	Alfenas	-21.42917
America/Jamaica	07/19/2019, 00:00:00	building	-76.78319	New Kingston	18.00747
Europe/Moscow	2021/08/29	average	34.34691	Petrozavodsk	61.78491
America/Argentina/Cordoba	07 Feb 2015	maintenance	-61.4867	Rafaela	-31.25033
Europe/Paris	13 Apr 2022	good	2.45012	Bobigny	48.90982
Europe/Bratislava	2017-12-19	good	17.8031	Hlohovec	48.43174
Europe/Madrid	2012/10/08	maintenance	-0.18333	Gandia	38.96667
Europe/Paris	2019/07/03	average	5.16108	Bar-le-Duc	48.77275
America/Toronto	2014/01/13	maintenance	-73.86586	Beaconsfield	45.43341
Asia/Tokyo	08/31/2022, 00:00:00	average	139.6853	Shimotoda	35.815
America/Los_Angeles	13 Jul 2019	average	-120.93549	Riverbank	37.73604
Asia/Karachi	2015/08/30	good	72.54064	Sillanwali	31.82539
Europe/Moscow	2015/12/25	maintenance	38.02486	Malakhovka	55.64776
America/Maceio	08/11/2020, 00:00:00	good	-37.03861	Barra dos Coqueiros	-10.90889
Asia/Kolkata	2018/09/16	maitennce	77.9129	Narwar	25.6439
Australia/Sydney	12/06/2014, 00:00:00	maintenance	151.08057	Eastwood	-33.79176
America/El_Salvador	2020-11-13	maintenance	-89.71472	Sonzacate	13.73417
Europe/Zurich	2021-07-08	accep	8.52462	Adliswil	47.30997
America/Santiago	07/14/2013, 00:00:00	good	-71.19901	Ovalle	-30.60106
America/New_York	2021/06/22	maitennce	-84.20299	Lebanon	39.43534
Africa/Windhoek	2016-02-29	excellent	16.91667	Okahandja	-21.98333
Europe/Berlin	2017-04-10	accep	6.9747	Wesseling	50.82709
Asia/Shanghai	10/31/2015, 00:00:00	average	117.27583	Sishui	35.64889
America/Bogota	21 Apr 2015	accep	-73.26022	Socorro	6.46838
Europe/Paris	25 Mar 2022	building	2.25	Saint-Omer	50.75
America/Chicago	11 Nov 2013	excellent	-91.06177	Greenville	33.41012
Africa/Addis_Ababa	2015-04-03	excellent	38.01667	Debre Tabor	11.85
Europe/Rome	2013-02-14	accep	14.39024	Lanciano	42.22718
Asia/Karachi	2021-08-21	average	68.11759	Tharu Shah	26.9423
America/Los_Angeles	29 Jul 2020	maintenance	-119.01677	Porterville	36.06523
Europe/Brussels	11/18/2013, 00:00:00	accep	4.25633	Beveren	51.21187
Asia/Shanghai	2014/01/23	average	120.74792	Nanpiao	41.09822
America/Denver	02/22/2016, 00:00:00	accep	-104.83192	Aurora	39.72943
America/Manaus	17 Jul 2017	excellent	-58.44417	Itacoatiara	-3.14306
America/Toronto	2021-03-25	accep	-73.81669	Pointe-Claire	45.44868
America/New_York	09/03/2015, 00:00:00	average	-73.0515	Waterbury	41.55815
Europe/Amsterdam	21 Dec 2019	average	4.47124	Schiebroek	51.95838
Asia/Kolkata	10/28/2021, 00:00:00	average	85.83334	Bhuban	20.88197
America/Los_Angeles	2020/03/28	excellent	-122.24064	Bothell West	47.80527
Europe/Belgrade	2014/10/28	accep	22.53083	Negotin	44.22639
America/Costa_Rica	08/13/2020, 00:00:00	good	-84.13722	San Rafael	9.92787
America/Mexico_City	12/07/2014, 00:00:00	accep	-103.5687	Zacoalco de Torres	20.22816
Europe/London	2020-12-17	accep	-1.06667	Selby	53.78333
Europe/London	02 Jun 2014	maintenance	-2.52398	Winsford	53.19146
America/Bogota	2014-07-29	building	-75.69947	San Carlos	8.79577
Asia/Manila	2017/09/21	excellent	121.12251	Antipolo	14.62578
Africa/Dar_es_Salaam	2021-09-20	good	39.25	Magomeni	-6.8
Australia/Sydney	04/18/2014, 00:00:00	building	150.60036	Nowra	-34.88422
Europe/Moscow	2017/06/27	maintenance	47.1192	Buynaksk	42.819
Asia/Phnom_Penh	01/06/2014, 00:00:00	excellent	102.56365	Paoy Paet	13.65805
America/Lima	2016-11-14	good	-73.25383	Iquitos	-3.74912
Europe/London	2019-04-18	maitennce	-3.05	Blackpool	53.81667
America/New_York	2021/12/21	excellent	-75.64963	Pottstown	40.24537
Asia/Damascus	2022/07/09	average	38.28402	Tadmur	34.5624
Asia/Kolkata	2020-08-02	excellent	75.16878	Moga	30.81383
Asia/Kolkata	2016/09/08	average	74.80555	Srinagar	34.08565
Europe/Zaporozhye	06/30/2022, 00:00:00	excellent	36.25361	Polohy	47.48444
Europe/Berlin	12/10/2012, 00:00:00	excellent	7.36027	Radevormwald	51.20219
America/New_York	10/07/2018, 00:00:00	accep	-71.05977	Boston	42.35843
Europe/Paris	28 May 2017	average	2.12213	Le Chesnay	48.8222
Asia/Karachi	2016/03/05	accep	71.57118	Daud Khel	32.87533
America/Chicago	2016-02-16	excellent	-88.27205	Kaukauna	44.27804
Europe/Warsaw	2021-08-20	average	17.4674	Brzeg	50.86079
Australia/Sydney	05/24/2017, 00:00:00	good	150.99292	Baulkham Hills	-33.75881
Asia/Colombo	2013-06-10	good	79.87116	Dehiwala-Mount Lavinia	6.84019
America/Edmonton	2016/08/13	accep	-113.3187	Sherwood Park	53.51684
Europe/Amsterdam	2019/10/21	maintenance	4.47124	Schiebroek	51.95838
America/Los_Angeles	04 Dec 2018	excellent	-116.37697	Palm Desert	33.72255
Europe/Rome	2020/11/15	average	9.29109	San Giuliano Milanese	45.39402
Asia/Kolkata	10/10/2016, 00:00:00	maintenance	77.656	Pilkhua	28.71271
Europe/Andorra	15 Apr 2016	good	1.53414	les Escaldes	42.50729
Europe/Berlin	10 Sep 2015	excellent	7.20769	Siegburg	50.80019
America/Los_Angeles	2012-09-30	building	-115.98391	Pahrump	36.20829
Asia/Tokyo	07/26/2014, 00:00:00	average	135.6	Yao	34.61667
Europe/Berlin	26 Oct 2019	average	9.20427	Reutlingen	48.49144
Europe/Rome	01/09/2016, 00:00:00	maintenance	9.40531	Gorgonzola	45.53069
America/Los_Angeles	07/07/2013, 00:00:00	average	-117.29198	Encinitas	33.03699
Europe/London	12/15/2015, 00:00:00	accep	-1.29243	Mexborough	53.49389
Africa/Casablanca	12/20/2018, 00:00:00	good	-5.22126	Azrou	33.43443
America/Denver	2015/03/24	good	-111.90466	Saratoga Springs	40.34912
America/La_Paz	13 Nov 2021	maintenance	-65.71875	Tupiza	-21.44345
Asia/Kolkata	2014-10-31	average	75.92694	Davangere	14.46693
America/Bahia	14 Sep 2016	good	-39.25	Muritiba	-12.91667
America/Sao_Paulo	2019-10-25	good	-47.1725	Artur Nogueira	-22.57306
America/Chicago	2016-01-20	excellent	-87.71255	South Lawndale	41.84364
Europe/Berlin	2021-03-15	good	6.8625	Oberhausen	51.47805
Asia/Kolkata	2016-05-23	maintenance	86.68363	Adra	23.49668
Australia/Melbourne	2013-10-24	accep	145.18333	Wheelers Hill	-37.9
America/Sao_Paulo	2020/12/16	accep	-51.50361	Carlos Barbosa	-29.2975
Europe/Moscow	2018-11-20	accep	34.33825	Dyat’kovo	53.59782
Europe/Moscow	06/17/2021, 00:00:00	good	39.8302	Severodvinsk	64.5635
Europe/London	17 Aug 2020	accep	-0.76667	Gainsborough	53.38333
America/Port-au-Prince	2013/01/03	good	-72.22625	Croix-des-Bouquets	18.57677
Europe/Berlin	2012/12/21	excellent	7.20769	Siegburg	50.80019
Europe/Rome	06 Jun 2021	excellent	14.72443	Ragusa	36.92574
Asia/Karachi	2017-09-25	average	70.91106	Alipur	29.38242
America/Bogota	2013-08-08	good	-74.95472	Puerto Colombia	10.98778
America/New_York	2018/03/03	average	-82.35176	Sun City Center	27.71809
America/Chicago	2012/11/05	excellent	-97.90308	Copperas Cove	31.12406
Europe/Berlin	2017/07/17	excellent	7.11393	Burscheid	51.08468
America/Montevideo	30 Jan 2018	good	-56.52361	Durazno	-33.38056
America/Mexico_City	06 Jan 2016	excellent	-98.11889	Casa Blanca	19.04222
Europe/Rome	2015-01-18	average	8.86374	Tortona	44.89784
Europe/Berlin	11/18/2021, 00:00:00	good	9.85	Halstenbek	53.63333
Asia/Ho_Chi_Minh	06/22/2022, 00:00:00	good	105.75635	Sa Dec	10.29085
Africa/Brazzaville	2019/06/26	average	15.28318	Brazzaville	-4.26613
America/Los_Angeles	2016-05-07	average	-117.79394	North Tustin	33.76446
Asia/Tokyo	2014-04-25	accep	135.21667	Sasayama	35.06667
America/Sao_Paulo	29 Sep 2014	good	-48.67028	Imbituba	-28.24
Europe/London	27 Oct 2017	good	-2.01111	Great Wyrley	52.66277
America/New_York	21 Dec 2020	good	-78.87836	Fayetteville	35.05266
Europe/Stockholm	01 Jun 2017	excellent	17.10558	Hudiksvall	61.72744
Asia/Kolkata	2015/07/07	building	83.36889	Gorakhpur	26.76628
Europe/Berlin	2015/10/23	average	9.20427	Reutlingen	48.49144
Asia/Tashkent	2019/09/14	average	69.67639	Parkent	41.29444
Asia/Bangkok	04/07/2015, 00:00:00	building	100.48528	Bang Ban	14.37395
Europe/Warsaw	2019-06-06	excellent	18.34717	Reda	54.60528
America/Panama	2015-11-16	average	-79.62098	Chilibre	9.15093
America/Sao_Paulo	2016-01-14	average	-52.51028	Soledade	-28.81833
Asia/Shanghai	29 May 2014	excellent	130.57211	Boli	45.75279
Asia/Baku	09/04/2017, 00:00:00	good	45.36561	Qazax	41.09246
Europe/Brussels	14 Feb 2022	excellent	3.16667	Wevelgem	50.8
Asia/Tbilisi	2019-06-01	excellent	41.77921	Kobuleti	41.82143
Asia/Kolkata	10/03/2016, 00:00:00	accep	84.13864	Jashpurnagar	22.88783
Asia/Kolkata	2018-09-06	good	72.68533	Kheda	22.75218
Europe/Kiev	2015/01/19	good	33.9162	Hlukhiv	51.67822
Asia/Kolkata	2019/08/14	excellent	74.85849	Patti	31.28092
Asia/Shanghai	11/10/2016, 00:00:00	excellent	120.03308	Guli	28.88162
America/Bogota	03/20/2015, 00:00:00	accep	-74.26419	Madrid	4.73245
America/Chicago	2018/05/22	good	-96.67834	Ada	34.77453
Africa/Addis_Ababa	08/21/2014, 00:00:00	building	37.55	Arba Minch	6.03333
Africa/Dar_es_Salaam	2015/11/11	building	39.28333	Nyangao	-10.33333
Africa/Dar_es_Salaam	2013/06/17	maintenance	39.28333	Nyangao	-10.33333
America/Phoenix	01/05/2019, 00:00:00	good	-111.78903	Gilbert	33.35283
Asia/Shanghai	06/11/2018, 00:00:00	accep	116.11768	Meizhou	24.28859
Europe/Kiev	2020/02/05	excellent	25.34244	Lutsk	50.75932
America/Sao_Paulo	2018/10/04	accep	-48.67028	Imbituba	-28.24
Africa/Dar_es_Salaam	2020-04-12	accep	38.01667	Chanika	-5.41667
Africa/Dar_es_Salaam	2013-02-13	average	38.66667	Mvomero	-6.25
America/New_York	2014-02-26	good	-80.66756	Belle Glade	26.68451
Asia/Tokyo	2021-11-17	accep	139.55028	Kamakura	35.30889
Africa/Nairobi	15 Apr 2020	building	36.36339	Nyahururu	0.03813
America/Sao_Paulo	2015/05/14	excellent	-45.94722	Alfenas	-21.42917
Europe/Paris	17 Sep 2017	average	-0.45877	Niort	46.32313
Africa/Algiers	2015/11/05	accep	2.31889	Ksar Chellala	35.21222
America/Mazatlan	25 Oct 2013	accep	-105.36369	Acaponeta	22.49396
America/Chicago	2013/11/23	accep	-96.39774	Brenham	30.16688
Europe/Warsaw	29 Jan 2021	excellent	17.4674	Brzeg	50.86079
Asia/Shanghai	08/07/2022, 00:00:00	building	120.82747	Zhuangyuan	37.30553
Africa/Lubumbashi	04 Apr 2021	excellent	29.47306	Beni	0.49113
Asia/Shanghai	09 Oct 2016	building	114.68333	Heyuan	23.73333
Europe/Kiev	2014-07-30	excellent	30.96755	Zvenihorodka	49.07866
America/New_York	2016/11/13	excellent	-78.04471	Leland	34.25628
America/Sao_Paulo	2016-09-11	average	-41.25528	Resplendor	-19.32556
America/New_York	2016-05-10	accep	-78.04471	Leland	34.25628
Asia/Shanghai	2018-03-18	good	117.81667	Zhoucun	36.81667
Asia/Aqtobe	2020-02-19	maintenance	59.6	Shalqar	47.83333
Asia/Kolkata	2015-01-01	good	71.57737	Gariadhar	21.53889
Europe/Berlin	2021-11-07	average	9.02596	Albstadt	48.21644
Pacific/Auckland	2020-06-28	maintenance	178.00417	Gisborne	-38.65333
Europe/Kiev	09/20/2016, 00:00:00	average	26.97253	Krasyliv	49.65186
America/New_York	11/15/2016, 00:00:00	maintenance	-80.22588	North Lauderdale	26.2173
Asia/Karachi	2017-06-04	maintenance	68.49143	Bhit Shah	25.80565
Europe/Moscow	08 Sep 2017	excellent	53.26023	Bavly	54.39304
America/Chicago	2014-06-12	building	-89.64066	Pekin	40.56754
Europe/Warsaw	05/23/2017, 00:00:00	building	18.34717	Reda	54.60528
Asia/Kolkata	2017-09-22	building	73.7553	Calangute	15.5439
Europe/Madrid	04/06/2014, 00:00:00	accep	-3.67029	Las Gabias	37.13548
Europe/Berlin	2014-04-30	average	11.37703	Gauting	48.06919
America/Havana	12 Aug 2014	excellent	-80.58556	Corralillo	22.98212
Asia/Kolkata	2016/04/26	good	76.0586	Hungund	16.06213
Asia/Tokyo	03/22/2016, 00:00:00	excellent	139.07204	Fujioka	36.24624
Europe/Moscow	2019/08/23	good	37.49338	Tyoply Stan	55.62047
Pacific/Auckland	26 Oct 2021	average	171.25364	Timaru	-44.39672
America/Argentina/Tucuman	03/05/2020, 00:00:00	excellent	-65.61427	Aguilares	-27.4338
Europe/Berlin	2017/09/17	accep	13.31783	Hermsdorf	52.61131
Atlantic/Azores	2021/09/22	accep	-25.66689	Ponta Delgada	37.74615
Asia/Karachi	12/29/2012, 00:00:00	accep	75.06583	Fazilpur	32.17629
America/Mexico_City	2019-02-26	excellent	-98.11889	Casa Blanca	19.04222
America/Glace_Bay	10/29/2019, 00:00:00	good	-60.1831	Sydney	46.1351
Europe/Rome	2013-11-05	good	9.32241	Chiavari	44.31771
Europe/Oslo	11/27/2016, 00:00:00	average	16.54165	Harstad	68.79833
America/Sao_Paulo	2022/07/29	accep	-48.62789	Caldas Novas	-17.74431
America/Sao_Paulo	06 Jan 2020	accep	-53.13722	Loanda	-22.92306
Europe/Istanbul	24 Jul 2020	good	40.74357	Mardin	37.31309
Asia/Manila	03/26/2013, 00:00:00	average	122.9666	Talisay	10.7375
America/Bogota	2014/08/14	excellent	-75.87877	Andes	5.6561
Australia/Perth	2013-01-08	accep	115.88782	Willetton	-32.05251
Europe/London	2021-01-06	good	-1.08593	Southsea	50.79205
Asia/Kolkata	2022/02/15	accep	75.11937	Parola	20.88098
America/New_York	2016-12-21	maintenance	-73.0515	Waterbury	41.55815
Europe/London	2013/12/22	average	-4.22398	Inverness	57.47908
Asia/Kolkata	2019/11/11	accep	78.14797	Betamcherla	15.45144
Asia/Shanghai	20 Feb 2019	good	112.19028	Jingzhou	30.35028
Africa/Douala	2018-05-15	good	11.5	Mbalmayo	3.51667
Europe/Berlin	2022/05/20	average	8.61839	Bensheim	49.68369
Europe/London	2019/04/02	building	-2.98333	Poulton-le-Fylde	53.83333
Asia/Kolkata	2017/07/02	average	83.97573	Sambalpur	21.46527
Asia/Kolkata	14 Oct 2018	average	76.56719	Aklera	24.41288
Asia/Colombo	2022-02-13	accep	79.883	Hendala	6.9909
America/Sao_Paulo	04 Mar 2016	accep	-42.98194	Guapimirim	-22.53722
America/Chicago	2019/03/21	average	-87.882	Westchester	41.85059
Asia/Kolkata	07/08/2014, 00:00:00	good	73.66633	Sojat	25.92493
Asia/Shanghai	2016-01-08	maintenance	114.51667	Wacheng	33.78333
America/Recife	06 Nov 2015	accep	-35.03333	Cabo	-8.28333
Asia/Baku	16 Aug 2015	maitennce	48.87498	Astara	38.45598
Africa/Johannesburg	2015/03/15	maintenance	29.00974	Mokopane	-24.19436
Africa/Algiers	10/05/2015, 00:00:00	accep	4.62744	El Achir	36.06386
Asia/Karachi	10/16/2014, 00:00:00	building	68.49143	Bhit Shah	25.80565
America/New_York	01 Feb 2016	good	-83.2321	Milledgeville	33.08014
America/New_York	2013/11/13	average	-73.78458	Scarsdale	41.0051
America/Vancouver	02/15/2020, 00:00:00	acceptable	-119.48568	Kelowna	49.88307
America/Sao_Paulo	11/21/2012, 00:00:00	excellent	-52.51028	Soledade	-28.81833
Europe/Istanbul	05 Jul 2019	maintenance	27.18052	Bergama	39.12074
Asia/Kolkata	2019/05/23	excellent	77.9129	Narwar	25.6439
Europe/Berlin	01/06/2020, 00:00:00	maitennce	6.9747	Wesseling	50.82709
America/Toronto	2022-07-02	building	-73.58248	Sainte-Catherine	45.40008
America/New_York	2018-10-15	average	-84.23381	Stockbridge	33.54428
Europe/Rome	13 Oct 2017	average	13.44275	Villabate	38.07789
America/Fortaleza	2017/02/22	average	-40.7475	Guaraciaba do Norte	-4.16694
Asia/Makassar	04/06/2015, 00:00:00	excellent	118.9707	Majene	-3.5403
Europe/Prague	2018/12/02	building	12.87117	Karlovy Vary	50.23271
Asia/Kolkata	2021/08/24	average	77.54372	Periyakulam	10.12268
Europe/Rome	2016/08/06	building	15.07041	Catania	37.49223
Australia/Perth	2022/01/16	excellent	115.8614	Perth	-31.95224
Asia/Makassar	2014/09/27	maintenance	117.59152	Tarakan	3.31332
Europe/Moscow	23 May 2014	average	30.38167	Shushary	59.80917
Europe/Kiev	25 Sep 2020	maintenance	33.9162	Hlukhiv	51.67822
Asia/Yekaterinburg	2012-11-30	average	59.4839	Kachkanar	58.7002
America/Sao_Paulo	11 Oct 2017	average	-47.1725	Artur Nogueira	-22.57306
Asia/Jakarta	2020-11-30	excellent	109.3243	Randudongkal	-7.0981
Europe/Malta	2017-04-26	accep	14.51472	Valletta	35.89972
America/Chicago	2021-05-20	excellent	-87.88754	Bourbonnais	41.15376
Asia/Kuala_Lumpur	04 Dec 2015	maintenance	101.96857	Gua Musang	4.88441
Europe/Berlin	2014-03-22	excellent	11.32903	Weimar	50.9803
Europe/Skopje	12/10/2012, 00:00:00	average	20.91361	Bogovinje	41.92361
Asia/Karachi	05/03/2014, 00:00:00	good	68.49143	Bhit Shah	25.80565
America/New_York	04 Jan 2019	good	-73.95958	Brighton Beach	40.57788
Europe/Moscow	2015/09/09	accep	40.17171	Danilov	58.1908
Asia/Shanghai	2016/09/10	maintenance	114.51667	Wacheng	33.78333
Europe/Berlin	2020/01/29	average	8.4493	Hofheim am Taunus	50.09019
Europe/Berlin	02/02/2018, 00:00:00	excellent	7.973	Finnentrop	51.168
Asia/Yangon	2018-03-07	average	98.50893	Myawadi	16.68911
Europe/Kiev	07 Jun 2015	excellent	30.96755	Zvenihorodka	49.07866
Europe/London	2014-09-20	average	-1.47217	Chapletown	53.46506
Asia/Tokyo	2015-11-26	excellent	140.11667	Inawashiro	37.56667
America/Sao_Paulo	2013-01-28	maintenance	-42.19667	Miracema	-21.41222
America/Caracas	2017/05/22	good	-67.33122	La Victoria	10.22677
Africa/Dar_es_Salaam	2022/08/02	good	39.28333	Nyangao	-10.33333
Europe/Berlin	01/01/2014, 00:00:00	maintenance	13.29371	Charlottenburg-Nord	52.53048
Asia/Kolkata	08/18/2020, 00:00:00	good	72.68533	Kheda	22.75218
Europe/Istanbul	17 Jan 2018	average	37.3825	Gaziantep	37.05944
America/Los_Angeles	2019-07-13	accep	-117.29198	Encinitas	33.03699
Europe/Paris	2013/01/07	maintenance	5.4384	Marseille 11	43.2907
America/Puerto_Rico	2020/11/19	maintenance	-66.8499	Yauco	18.03496
America/New_York	07/21/2019, 00:00:00	average	-73.49484	New Canaan	41.14676
Asia/Kolkata	2020-10-13	average	84.63445	Rafiganj	24.81757
Europe/Paris	2013/10/04	average	4.63031	Arles	43.67681
Asia/Tokyo	2015-08-30	maintenance	138.31667	Suzaka	36.65
America/New_York	2018-07-24	average	-74.07764	Jersey City	40.72816
America/Lima	06/21/2017, 00:00:00	good	-69.08333	Yunguyo	-16.25
Africa/Kampala	04/22/2022, 00:00:00	average	30.91105	Arua	3.02013
Asia/Shanghai	2020-01-05	building	120.82747	Zhuangyuan	37.30553
Africa/Banjul	10/26/2018, 00:00:00	accep	-15.6	Farafenni	13.56667
America/New_York	2014/01/29	good	-74.96933	Sicklerville	39.71734
America/Chicago	2013-10-05	average	-93.08883	Lino Lakes	45.16024
Asia/Manila	2018/08/14	excellent	123.758	Naga	10.20898
