revision	latitude	code	location	QoS	longitude
2021/04/21	45.78071	IT	Europe/Rome	maintenance	12.84052
2013/12/03	46.7055	RU	Europe/Moscow	excellent	38.2739
2013-09-23	51.955	NL	Europe/Amsterdam	excellent	5.22778
07/28/2015, 00:00:00	34.25	JP	Asia/Tokyo	excellent	135.31667
2019-08-02	68.79833	NO	Europe/Oslo	good	16.54165
06/08/2022, 00:00:00	-10.91722	BR	America/Maceio	good	-37.65
05 Mar 2014	42.819	RU	Europe/Moscow	excellent	47.1192
05 Mar 2015	41.94175	CN	Asia/Shanghai	accep	123.50266
2015/10/28	-38.16604	AU	Australia/Melbourne	good	145.13643
2014-05-07	50.75	FR	Europe/Paris	accep	2.25
2021-03-23	-22.9	MG	Indian/Antananarivo	average	44.53333
12/23/2012, 00:00:00	34.75856	JP	Asia/Tokyo	good	136.13108
01 May 2022	48.25	AT	Europe/Vienna	average	16.4
2014-05-21	39.43534	US	America/New_York	average	-84.20299
2018/10/17	44.92934	RU	Europe/Moscow	excellent	37.99117
02/05/2016, 00:00:00	52.26083	NL	Europe/Amsterdam	accep	7.00417
12/31/2020, 00:00:00	35.72917	TN	Africa/Tunis	maintenance	10.58082
2015/07/15	13.48082	NI	America/Managua	good	-86.58208
25 Dec 2015	18.18158	IN	Asia/Kolkata	building	76.03889
2017/01/23	35.05266	US	America/New_York	accep	-78.87836
10/07/2020, 00:00:00	5.30383	GH	Africa/Accra	good	-1.98956
2021-10-12	54.8421	RU	Europe/Moscow	average	46.5813
2016/10/29	13.8196	TH	Asia/Bangkok	average	100.04427
2013-08-28	37.51803	IT	Europe/Rome	good	15.00913
2015/10/02	28.54944	US	America/New_York	excellent	-81.77285
2019/11/14	59.33333	SE	Europe/Stockholm	accep	18.28333
2014-10-29	48.90982	FR	Europe/Paris	excellent	2.45012
08/27/2013, 00:00:00	50.75	FR	Europe/Paris	excellent	2.25
14 Mar 2022	9.57046	IN	Asia/Kolkata	maintenance	76.32756
01/09/2021, 00:00:00	-21.98333	NA	Africa/Windhoek	building	16.91667
2022/01/29	-14.66463	BR	America/Cuiaba	building	-52.35558
04/29/2016, 00:00:00	30.35028	CN	Asia/Shanghai	average	112.19028
04 Jun 2021	19.64745	MX	America/Mexico_City	excellent	-102.04897
2015-03-12	25.66795	IN	Asia/Kolkata	average	85.83636
11/15/2019, 00:00:00	-0.71667	BR	America/Belem	average	-48.52333
05 Jul 2020	21.28306	MX	America/Merida	accep	-89.66123
2020/09/16	49.88307	CA	America/Vancouver	accep	-119.48568
2019/12/27	-1.26424	ID	Asia/Jakarta	building	104.09701
08/05/2017, 00:00:00	31.92923	IL	Asia/Jerusalem	maintenance	34.86563
2013/06/06	46.51872	CN	Asia/Urumqi	good	86.00214
2019/06/28	54.60528	PL	Europe/Warsaw	maintenance	18.34717
10 May 2016	50.75	FR	Europe/Paris	accep	2.25
17 Jun 2019	30.16688	US	America/Chicago	excellent	-96.39774
23 Feb 2020	53.0233	GB	Europe/London	average	-1.48119
2017/06/20	35.48199	JP	Asia/Tokyo	excellent	137.02166
10/30/2020, 00:00:00	37.30553	CN	Asia/Shanghai	average	120.82747
10 Dec 2019	36.61033	US	America/Chicago	accep	-88.31476
28 Jun 2022	40.72816	US	America/New_York	excellent	-74.07764
2017-10-01	53.78333	GB	Europe/London	accep	-1.06667
10/04/2020, 00:00:00	-16.25	PE	America/Lima	maintenance	-69.08333
09/23/2017, 00:00:00	48.49144	DE	Europe/Berlin	accep	9.20427
2019/03/10	20.22816	MX	America/Mexico_City	excellent	-103.5687
03/29/2013, 00:00:00	25.49043	IN	Asia/Kolkata	good	85.94001
2013/03/30	41.57721	US	America/Chicago	accep	-93.71133
08/02/2015, 00:00:00	48.25	AT	Europe/Vienna	good	16.4
2015/05/12	12.1277	IN	Asia/Kolkata	good	78.15794
2015-04-16	-37.88333	AU	Australia/Melbourne	building	145.06667
2016/06/12	19.21667	IN	Asia/Kolkata	maintenance	73.08333
04/01/2015, 00:00:00	48.28259	DE	Europe/Berlin	accep	9.72749
2022-05-08	8.62261	VE	America/Caracas	accep	-70.20749
01/24/2020, 00:00:00	43.91452	US	America/New_York	good	-69.96533
12/13/2015, 00:00:00	28.15112	US	America/New_York	maintenance	-82.46148
2014/11/03	56.11281	RU	Asia/Yekaterinburg	excellent	69.49015
2022/01/13	-28.81833	BR	America/Sao_Paulo	accep	-52.51028
2014/12/13	36.72544	DZ	Africa/Algiers	average	3.55665
17 Nov 2013	30.76468	PK	Asia/Karachi	average	74.12286
2016-09-25	58.1908	RU	Europe/Moscow	average	40.17171
10/28/2013, 00:00:00	6.9909	LK	Asia/Colombo	maintenance	79.883
2017/08/23	68.79833	NO	Europe/Oslo	good	16.54165
03/11/2018, 00:00:00	-33.59217	CL	America/Santiago	excellent	-70.6996
08/13/2022, 00:00:00	29.98869	CN	Asia/Shanghai	accep	122.20488
2013/09/04	34.85	CN	Asia/Shanghai	excellent	117.33333
05/03/2013, 00:00:00	-17.74431	BR	America/Sao_Paulo	good	-48.62789
11/04/2016, 00:00:00	6.95194	PH	Asia/Manila	average	121.96361
2022/05/16	-34.88422	AU	Australia/Sydney	building	150.60036
09 May 2018	-19.32556	BR	America/Sao_Paulo	maintenance	-41.25528
01/30/2016, 00:00:00	36.06386	DZ	Africa/Algiers	average	4.62744
04/19/2017, 00:00:00	61.72744	SE	Europe/Stockholm	accep	17.10558
10/19/2017, 00:00:00	53.78333	GB	Europe/London	maintenance	-1.06667
2021-08-03	61.72744	SE	Europe/Stockholm	excellent	17.10558
2013/10/17	45.78071	IT	Europe/Rome	average	12.84052
06/02/2017, 00:00:00	-4.24444	BR	America/Fortaleza	accep	-42.29444
2021-09-08	50.82709	DE	Europe/Berlin	accep	6.9747
2016-01-29	6.15038	NG	Africa/Lagos	accep	6.83042
01/13/2019, 00:00:00	36.19278	CN	Asia/Shanghai	accep	117.65694
11 Jan 2020	48	FR	Europe/Paris	accep	-4.1
12 Jan 2016	-10.91111	BR	America/Maceio	excellent	-37.07167
21 Jul 2022	49.5099	DE	Europe/Berlin	building	6.74549
08 Dec 2014	31.84568	US	America/Chicago	good	-102.36764
04/22/2013, 00:00:00	16.68911	MM	Asia/Yangon	building	98.50893
2015/12/26	32.35126	US	America/Chicago	excellent	-95.30106
2020/03/13	45.43341	CA	America/Toronto	good	-73.86586
2020-10-29	42.52787	US	America/New_York	good	-70.92866
2015-03-04	43.41949	KZ	Asia/Almaty	average	77.0202
2019/07/11	26.44931	IN	Asia/Kolkata	accep	91.61356
2022-05-31	46.18396	CH	Europe/Zurich	maitennce	6.10237
2019-07-01	51.955	NL	Europe/Amsterdam	average	5.22778
07/05/2016, 00:00:00	3.8801	CO	America/Bogota	maintenance	-77.03116
2021-11-13	24.05979	IN	Asia/Kolkata	building	77.40858
2015-05-05	40.87363	IT	Europe/Rome	accep	14.34085
2020/07/10	22.83957	BD	Asia/Dhaka	maintenance	91.84128
08/23/2013, 00:00:00	-8.66667	BR	America/Recife	building	-35.71667
2022/04/09	56.85836	RU	Europe/Moscow	excellent	35.90057
2014/02/24	43.35071	RU	Europe/Moscow	average	46.10925
2013-05-25	36.08497	TN	Africa/Tunis	excellent	9.37082
29 Mar 2022	52.57583	NL	Europe/Amsterdam	average	6.61944
19 Nov 2014	52.14	NL	Europe/Amsterdam	average	5.58472
10/09/2014, 00:00:00	33.52253	US	America/Los_Angeles	excellent	-117.70755
2013/03/16	-4.06667	TZ	Africa/Dar_es_Salaam	average	37.73333
18 Dec 2019	-10.90889	BR	America/Maceio	excellent	-37.03861
03 Dec 2017	40.85158	CN	Asia/Shanghai	excellent	122.74754
04/20/2022, 00:00:00	34.61667	JP	Asia/Tokyo	average	135.6
27 Sep 2018	-4.16694	BR	America/Fortaleza	excellent	-40.7475
2016/09/03	33.93113	US	America/Los_Angeles	good	-117.54866
2021/06/07	45.51667	FR	Europe/Paris	good	4.86667
2017/03/01	11.15583	DJ	Africa/Djibouti	good	42.7125
2019/12/31	44.98901	RU	Europe/Moscow	average	38.94324
2018-12-15	-20.25333	BR	America/Sao_Paulo	excellent	-43.80139
2015-11-29	50.23019	DE	Europe/Berlin	good	8.77155
2017/03/01	12.97389	PH	Asia/Manila	average	123.99333
2015-12-09	40.55851	IT	Europe/Rome	maintenance	17.80774
05/25/2022, 00:00:00	28.71271	IN	Asia/Kolkata	excellent	77.656
11/21/2014, 00:00:00	42.50729	AD	Europe/Andorra	good	1.53414
06/28/2018, 00:00:00	52.48173	GB	Europe/London	average	-2.12139
07/08/2013, 00:00:00	55.64776	RU	Europe/Moscow	average	38.02486
2022-02-02	15.48131	HN	America/Tegucigalpa	excellent	-86.57415
2022/09/01	-5.41667	TZ	Africa/Dar_es_Salaam	maintenance	38.01667
04 Sep 2019	34.61667	JP	Asia/Tokyo	accep	135.6
01/29/2022, 00:00:00	40.70995	ES	Europe/Madrid	average	0.57856
01/14/2017, 00:00:00	34.85	CN	Asia/Shanghai	average	117.33333
19 May 2022	32.44874	US	America/Chicago	average	-99.73314
2020/10/28	51.08468	DE	Europe/Berlin	building	7.11393
2016-06-25	38.58894	US	America/Chicago	accep	-89.99038
29 Sep 2015	37.65639	KR	Asia/Seoul	accep	126.835
12/13/2014, 00:00:00	32.55531	IN	Asia/Kolkata	excellent	76.12647
07 Aug 2015	41.09822	CN	Asia/Shanghai	average	120.74792
2015-11-01	34.25807	US	America/Chicago	maitennce	-88.70464
2019-01-05	53.63333	DE	Europe/Berlin	accep	9.85
30 Jan 2017	34.21639	US	America/Los_Angeles	building	-119.0376
2015/03/23	38.07789	IT	Europe/Rome	good	13.44275
07 Feb 2013	11.93381	IN	Asia/Kolkata	maintenance	79.82979
25 Aug 2018	41.75338	US	America/Indiana/Indianapolis	good	-86.11084
18 Feb 2016	-34.64167	AR	America/Argentina/Buenos_Aires	average	-60.47389
2013/07/15	32.57756	PK	Asia/Karachi	average	71.52847
02/19/2015, 00:00:00	41.72059	US	America/Chicago	acceptable	-87.70172
01/17/2016, 00:00:00	25.6439	IN	Asia/Kolkata	average	77.9129
2019-10-31	51.21667	DE	Europe/Berlin	good	6.26667
2019-09-22	43.1122	IT	Europe/Rome	good	12.38878
2021-06-03	58.04254	RU	Asia/Yekaterinburg	good	65.27258
2012/11/12	33.44872	US	America/Chicago	accep	-86.78777
2017-12-15	37.35813	ES	Europe/Madrid	excellent	-6.03731
2021/02/24	26.18924	US	America/Chicago	average	-98.15529
05 Jun 2022	36.65	JP	Asia/Tokyo	maintenance	138.31667
07/06/2022, 00:00:00	49.68369	DE	Europe/Berlin	excellent	8.61839
2014/07/03	47.48444	UA	Europe/Zaporozhye	building	36.25361
01/16/2019, 00:00:00	43.1009	US	America/New_York	average	-75.23266
06/26/2021, 00:00:00	-27.50578	AU	Australia/Brisbane	average	153.10236
2015/03/30	23.02677	CN	Asia/Shanghai	building	113.13148
2020-09-01	50.11861	GB	Europe/London	accep	-5.53715
03/17/2015, 00:00:00	55.25	LT	Europe/Vilnius	accep	24.75
2012-12-08	25.87498	IN	Asia/Kolkata	building	86.59611
2017/02/22	42.64031	CN	Asia/Shanghai	accep	125.51176
29 Apr 2013	44.97639	RS	Europe/Belgrade	accep	19.61222
06/29/2021, 00:00:00	38.91817	US	America/New_York	maintenance	-78.19444
2016/08/11	-31.95224	AU	Australia/Perth	excellent	115.8614
16 Dec 2019	52.26083	NL	Europe/Amsterdam	accep	7.00417
17 Jul 2022	53.77166	RU	Europe/Moscow	good	38.12408
07 Sep 2015	44.43579	RO	Europe/Bucharest	accep	26.01649
06/13/2013, 00:00:00	45.78071	IT	Europe/Rome	excellent	12.84052
05 Sep 2020	-27.4338	AR	America/Argentina/Tucuman	good	-65.61427
2016-06-14	39.32011	US	America/New_York	average	-76.51552
2017-02-03	10.31672	PH	Asia/Manila	good	123.89071
02/04/2017, 00:00:00	33.50921	US	America/Phoenix	average	-111.89903
2018/06/27	52.26083	NL	Europe/Amsterdam	excellent	7.00417
2017/11/30	-26.22861	BR	America/Sao_Paulo	accep	-52.67056
09 Feb 2019	48.90982	FR	Europe/Paris	good	2.45012
04/17/2015, 00:00:00	50.26729	CA	America/Vancouver	average	-119.27337
07/20/2022, 00:00:00	41.27621	US	America/New_York	good	-72.86843
2014-05-02	55.8736	RU	Asia/Novokuznetsk	good	85.4265
2021-12-09	51.39323	GB	Europe/London	excellent	0.47713
02/08/2022, 00:00:00	6.15038	NG	Africa/Lagos	excellent	6.83042
2014-03-30	-1.63333	GA	Africa/Libreville	excellent	13.58357
19 Apr 2014	43.2907	FR	Europe/Paris	accep	5.4384
2014/05/04	53.93361	RU	Europe/Moscow	good	37.92792
2013-02-27	53.7446	GB	Europe/London	excellent	-0.33525
20 Feb 2017	24.28859	CN	Asia/Shanghai	good	116.11768
02/27/2015, 00:00:00	9.3337	PH	Asia/Manila	good	122.8637
07/21/2014, 00:00:00	40.49748	AM	Asia/Yerevan	good	44.7662
2015/04/02	-21.98333	NA	Africa/Windhoek	accep	16.91667
07/19/2021, 00:00:00	18.57677	HT	America/Port-au-Prince	average	-72.22625
22 Jul 2021	8.79577	CO	America/Bogota	average	-75.69947
05 Sep 2020	53.95278	RU	Europe/Moscow	average	32.86389
12/16/2013, 00:00:00	37.65639	KR	Asia/Seoul	accep	126.835
03 Jun 2021	3.8801	CO	America/Bogota	accep	-77.03116
05/18/2019, 00:00:00	9.535	GN	Africa/Conakry	accep	-13.68778
2017-07-11	5.90702	MY	Asia/Kuching	good	116.10146
17 Nov 2018	8.62261	VE	America/Caracas	excellent	-70.20749
03 Sep 2017	10.22677	VE	America/Caracas	good	-67.33122
11/11/2014, 00:00:00	48.07667	DE	Europe/Berlin	building	8.64409
03/07/2014, 00:00:00	-33.38056	UY	America/Montevideo	excellent	-56.52361
2021/02/28	6.9909	LK	Asia/Colombo	building	79.883
2015/08/19	53.49389	GB	Europe/London	maintenance	-1.29243
04/16/2017, 00:00:00	40.11583	UZ	Asia/Samarkand	average	67.84222
13 Oct 2013	59.80917	RU	Europe/Moscow	average	30.38167
2015-08-29	37.31309	TR	Europe/Istanbul	good	40.74357
26 Sep 2013	35.82756	JP	Asia/Tokyo	good	137.95378
2020-12-25	32.35126	US	America/Chicago	good	-95.30106
2018-10-07	13.70727	NE	Africa/Niamey	average	9.15013
2020/06/07	4.73245	CO	America/Bogota	accep	-74.26419
2015-06-18	42.8139	ES	Europe/Madrid	maintenance	-1.64295
05/24/2015, 00:00:00	-31.25033	AR	America/Argentina/Cordoba	good	-61.4867
2016-07-26	53.63333	DE	Europe/Berlin	good	9.85
2015-03-19	54.58048	PL	Europe/Warsaw	average	16.86194
2022/02/12	50.64336	DE	Europe/Berlin	good	7.2278
04 Jan 2015	30.76468	PK	Asia/Karachi	average	74.12286
2020/06/10	34.65918	CN	Asia/Shanghai	average	109.22921
03/11/2015, 00:00:00	30.75545	LY	Africa/Tripoli	accep	20.22625
11/09/2016, 00:00:00	34.25807	US	America/Chicago	maintenance	-88.70464
2017-12-07	20.88953	US	Pacific/Honolulu	building	-156.47432
2017-08-24	11.12018	IN	Asia/Kolkata	average	76.11996
10/24/2013, 00:00:00	-20.87306	BR	America/Sao_Paulo	average	-48.29694
25 Sep 2015	44.35056	JP	Asia/Tokyo	accep	142.45778
07/27/2018, 00:00:00	13.56667	GM	Africa/Banjul	building	-15.6
2015-06-21	6.15038	NG	Africa/Lagos	good	6.83042
09/11/2019, 00:00:00	15.5439	IN	Asia/Kolkata	average	73.7553
2015/10/15	40.82232	US	America/New_York	accep	-74.15987
2014-03-10	48.79325	FR	Europe/Paris	accep	2.29275
19 Mar 2022	30.21121	IN	Asia/Kolkata	average	74.4818
2019-04-28	45.50369	IT	Europe/Rome	average	11.412
09 Apr 2018	23.9028	BD	Asia/Dhaka	accep	89.11943
2018/06/16	52.66277	GB	Europe/London	good	-2.01111
2015-08-13	40.65538	US	America/New_York	average	-74.38987
09/22/2016, 00:00:00	36.76639	DZ	Africa/Algiers	good	3.47717
2020-09-30	38.07789	IT	Europe/Rome	average	13.44275
05/09/2021, 00:00:00	36.33011	JP	Asia/Tokyo	accep	138.89585
2016-05-02	28.90054	US	America/New_York	excellent	-81.26367
2013/11/25	48.49144	DE	Europe/Berlin	good	9.20427
05/14/2021, 00:00:00	45.35	CN	Asia/Shanghai	average	126.28333
2022/04/27	33.43443	MA	Africa/Casablanca	average	-5.22126
2014/08/25	33.78333	CN	Asia/Shanghai	good	114.51667
2016-10-13	-21.44236	BW	Africa/Gaborone	good	27.46153
2017/01/01	-2.68333	TZ	Africa/Dar_es_Salaam	good	33
16 Jan 2013	40.93333	KG	Asia/Bishkek	building	73
20 Oct 2013	10.10649	IN	Asia/Kolkata	excellent	76.35484
2017/03/05	50.72043	DE	Europe/Berlin	maintenance	11.34046
12/29/2017, 00:00:00	23.07492	IN	Asia/Kolkata	good	88.28637
2020/08/16	48.77275	FR	Europe/Paris	maitennce	5.16108
05/08/2016, 00:00:00	38.13708	TR	Europe/Istanbul	average	41.00817
2017/06/22	40.42386	ES	Europe/Madrid	excellent	-3.53261
01 May 2020	45.4473	CA	America/Toronto	maintenance	-73.75335
2019-09-28	52.21099	DE	Europe/Berlin	maintenance	7.02238
21 Nov 2021	49.07866	UA	Europe/Kiev	acceptable	30.96755
28 Jan 2018	26.68451	US	America/New_York	building	-80.66756
2016-04-05	42.35843	US	America/New_York	accep	-71.05977
2018-03-28	35.8	JP	Asia/Tokyo	accep	137.23333
08/18/2015, 00:00:00	40.56754	US	America/Chicago	good	-89.64066
2017-08-11	37.1759	KR	Asia/Seoul	good	128.9889
24 Feb 2014	26.67319	EG	Africa/Cairo	excellent	31.4976
2017/02/09	53.51684	CA	America/Edmonton	average	-113.3187
2019/06/27	-8.76194	BR	America/Porto_Velho	good	-63.90389
12/29/2017, 00:00:00	45.16024	US	America/Chicago	accep	-93.08883
2014/09/12	50.9803	DE	Europe/Berlin	accep	11.32903
12/26/2017, 00:00:00	-8.76194	BR	America/Porto_Velho	good	-63.90389
01/02/2015, 00:00:00	50.23271	CZ	Europe/Prague	average	12.87117
2020/02/14	10.63504	CR	America/Costa_Rica	average	-85.43772
11/17/2014, 00:00:00	37.49223	IT	Europe/Rome	accep	15.07041
03/13/2015, 00:00:00	-7.60361	TZ	Africa/Dar_es_Salaam	building	37.00438
2020/11/07	27.34089	CN	Asia/Shanghai	maintenance	117.4831
10/19/2012, 00:00:00	15.48131	HN	America/Tegucigalpa	accep	-86.57415
27 Dec 2021	36.46917	TN	Africa/Tunis	excellent	10.78222
2020/10/06	32.5007	US	America/Chicago	average	-94.74049
2018-05-05	44.31771	IT	Europe/Rome	average	9.32241
29 Jul 2014	39.22493	TR	Europe/Istanbul	maintenance	42.85693
2022/09/17	43.32686	ES	Europe/Madrid	good	-2.98884
10/07/2021, 00:00:00	-7.73379	ID	Asia/Jakarta	good	113.69785
01 Jun 2017	51.78967	GB	Europe/London	average	1.15597
2020-10-11	33.86419	IR	Asia/Tehran	maintenance	48.26258
2016-05-28	52.4581	DE	Europe/Berlin	good	13.28702
23 Dec 2013	22.19303	IN	Asia/Kolkata	good	88.18466
2018/07/20	54.48147	RU	Asia/Yekaterinburg	excellent	53.47103
2017/10/22	30.35028	CN	Asia/Shanghai	good	112.19028
20 Jun 2014	43.61062	US	America/New_York	building	-72.97261
20 May 2013	47.05	AT	Europe/Vienna	acceptable	15.46667
2022-09-25	41.9001	US	America/New_York	excellent	-71.08977
2013-02-18	43.4125	BG	Europe/Sofia	maintenance	23.225
23 May 2020	8.56697	PH	Asia/Manila	maintenance	123.33471
2018/11/14	30.21121	IN	Asia/Kolkata	accep	74.4818
02/08/2017, 00:00:00	56.56317	GB	Europe/London	accep	-2.58736
2016/04/24	39.46667	JP	Asia/Tokyo	accep	141.95
2018-09-20	-11.48472	BR	America/Bahia	excellent	-37.93278
