longitude	latitude	H2CO	PM10	TEMP	O3	PM2.5	CFCs	Pb	C2H3NO5	CH4	CO	NOx	NH3	warning	PAHs	SO2	PRES
-0.18333	38.96667	49.03278	11.40123	16.29691	6.00564	5.71271	43.41685	46.92251	2.02075	6.05307	6.35722	6.96163	8.17390	0.00000	7.88234	10.18052	1085.92266
29.41824	45.99194	62.48953	6.84891	10.49353	6.92544	7.14564	55.24164	30.23895	0.06273	9.41901	8.10029	4.95732	7.95642	1.00000	8.05217	5.42808	1165.59920
15.87735	4.94273	58.89416	5.04374	17.29916	9.01057	7.72149	82.37656	73.31084	0.04967	8.12269	3.77839	9.48013	8.09257	0.00000	9.44153	6.49800	1124.07289
34.86563	31.92923	56.01634	5.11783	2.88065	5.92745	6.38717	19.50935	43.48576	0.04865	7.64986	8.03162	7.04141	5.34825	1.00000	8.56759	6.38037	1087.90735
24.75	55.25	57.22538	8.03727	8.69524	8.82717	7.63062	49.08589	50.81743	0.11744	9.54404	5.81073	5.35705	8.07343	1.00000	7.61827	7.62010	1092.63406
99.1625	3.3285	34.21762	5.63118	3.21435	5.93574	5.73174	57.57475	60.91904	0.04741	10.56970	7.36099	9.01814	6.02249	0.00000	8.71486	7.04428	1104.10912
73.97117	31.96258	62.27725	8.69094	13.42587	7.11729	6.69828	47.14358	29.33941	0.17740	8.81037	8.44676	7.10350	7.30473	1.00000	7.29499	5.35120	1158.77922
12.38878	43.1122	53.67428	10.97423	32.32187	8.66302	6.47883	73.76829	51.38104	1.32919	9.36686	4.95516	8.25019	9.69915	1.00000	7.98184	10.95197	1065.23220
37.73333	-4.06667	63.23334	5.26593	20.26573	7.51695	8.83279	40.17579	32.54228	0.01801	5.90939	6.64448	8.45509	8.55539	0.00000	7.44863	6.52108	1194.57249
91.61356	26.44931	46.87456	5.97390	9.69785	7.20329	8.33835	46.77530	43.06081	0.06660	6.53763	6.16905	10.30055	7.80262	0.00000	6.64348	7.09120	1120.15595
-87.45476	41.47892	74.62745	5.18525	14.05701	5.77977	8.28198	67.02746	58.98486	0.04481	8.79666	10.08548	4.92015	6.39976	1.00000	7.43099	6.59444	1139.72296
48.87498	38.45598	51.64661	9.19984	8.79374	6.29758	7.17599	77.54092	32.79895	0.25533	6.88690	5.39004	5.71948	8.28397	1.00000	6.15920	10.47925	1195.23743
-69.96533	43.91452	47.63304	2.89138	14.21995	7.30043	7.92174	59.43618	51.08988	0.05680	5.36559	3.16713	8.22045	6.61815	0.00000	8.16975	3.99836	1086.51365
75.11937	20.88098	54.91100	7.15263	17.46910	7.60566	6.76525	14.71445	27.84027	0.06708	6.37590	5.32470	5.66225	7.45387	1.00000	7.30159	7.93076	1077.50790
9.15214	49.97704	64.03278	4.78981	15.06300	8.13868	7.18520	33.51182	44.91549	0.03776	5.82854	6.92752	8.10755	6.70396	0.00000	7.93606	5.80960	1080.56135
145.06667	-37.88333	77.41997	7.74098	17.57335	7.73087	10.58035	42.33137	59.93795	0.08838	8.70926	10.05825	4.97306	6.27033	1.00000	6.99812	7.28414	1140.93430
133.42825	45.47885	52.85307	8.48709	21.27956	7.10681	7.34553	49.76336	39.59361	0.14284	5.77782	5.28602	6.33056	6.43438	1.00000	6.39571	9.60096	1172.66185
10.98461	48.35693	55.85784	7.27022	23.60524	7.79686	6.30067	62.02861	52.47966	0.07856	8.14545	8.44415	5.76068	8.85454	1.00000	6.84830	6.85882	1091.01887
9.5586	54.52156	45.90245	2.81353	20.98894	5.96458	7.82684	49.86374	29.01042	0.00619	8.26661	4.84414	7.35095	5.76053	0.00000	5.80918	5.76309	1165.87874
8.4493	50.09019	44.27522	7.11169	27.58721	5.76317	7.39443	50.91213	75.96446	0.07352	4.69869	6.39186	6.05569	6.97950	1.00000	8.42793	8.67313	1193.69290
102.56365	13.65805	57.54213	5.41820	15.09680	6.84814	8.30011	30.23782	46.05230	0.05674	5.98886	6.66281	8.83164	7.70666	0.00000	7.93071	7.37198	1159.71124
9.5586	54.52156	54.24892	13.43643	2.07442	5.54153	6.69603	41.86623	66.87293	15.20791	6.55144	5.65817	8.48654	8.97832	1.00000	7.43411	10.72500	1161.78970
10.18003	24.96334	63.59068	6.98947	11.71068	7.76692	7.61441	41.27426	49.31199	0.05332	5.96062	7.73381	4.77240	6.51696	1.00000	6.56074	6.76293	1066.43780
6.26667	51.21667	54.37112	7.77617	22.24700	7.48261	6.29682	52.48045	53.67453	0.09945	4.46598	6.07174	6.10892	7.29194	1.00000	7.99842	8.01564	1180.67214
104.64992	14.64056	47.76416	6.42929	7.53819	6.51787	7.40080	37.40119	65.31772	0.04004	9.00221	9.43629	5.15624	4.75119	1.00000	6.99195	6.21023	1103.36061
9.15214	49.97704	61.01847	5.82347	13.71767	6.03926	7.94691	48.10385	47.40166	0.04992	5.27385	5.64560	8.28132	7.59718	1.00000	6.87141	8.93204	1129.45124
123.33471	8.56697	40.79720	6.69600	8.23884	4.44309	8.26578	63.10353	45.65184	0.05045	4.47330	4.55159	9.26337	6.31201	0.00000	8.21662	10.53038	1094.54200
104.09701	-1.26424	49.08948	10.84818	-7.59644	5.53621	7.52542	74.93552	40.36041	1.16655	6.49247	6.70821	7.95164	6.89140	1.00000	8.37451	9.20737	1134.63210
16.54165	68.79833	37.01550	6.64714	9.65395	5.73071	8.99058	63.44456	51.15416	0.06664	6.15390	5.35049	9.00087	5.78022	0.00000	10.08827	9.46223	1054.48410
2.25	50.75	49.88066	6.16087	43.87025	3.30845	7.46403	32.01601	61.12785	0.05387	4.95038	6.30082	8.30684	7.74650	0.00000	6.03617	9.76710	1162.19042
-98.11889	19.04222	58.46588	7.77618	20.60810	6.98053	7.06767	33.34037	14.05897	0.08553	9.89858	9.69788	4.64616	7.96962	1.00000	7.57578	6.07546	1193.91601
-88.70464	34.25807	68.14755	8.38926	13.73869	4.02177	7.92866	49.63319	46.91458	0.15259	3.96458	6.95894	5.63220	8.80816	1.00000	7.73945	8.65928	1162.13760
-71.19901	-30.60106	75.16516	4.71426	17.87027	4.45445	8.23416	33.78970	46.97438		8.00061	8.58734	8.16955	7.63125	1.00000	8.36133	6.17544	1144.57665
-67.33122	10.22677	56.10946	5.89688	-3.92877	4.43647	8.34652	50.09819	47.85872	0.03735	5.34515	6.17430	7.81422	6.98022	0.00000	8.91577	9.36320	1188.91044
37.38115	55.63711	43.55716	5.96413	9.09491	4.94305	7.00233	54.99953	50.72146	0.04983	10.06138	6.01051	7.71413	6.27693	0.00000	7.03013	8.05396	1077.68171
6.8625	51.47805	76.64448	7.02272	26.55831	6.81426	6.67398	44.73165	53.02125	0.04244	9.25530	9.34931	5.17072	6.30468	1.00000	6.60949	6.97906	1177.47965
-74.07764	40.72816	49.33570	6.41384	25.88807	3.11107	8.53183	71.51466	61.86161	0.03774	10.36845	6.82186	7.76643	7.35269	0.00000	7.58062	7.88452	1055.47530
-97.90308	31.12406	64.66189	8.81945	16.41826	3.99448	7.81629	37.28063	56.43444	0.18527	5.56483	7.91177	5.42533	8.27519	1.00000	7.46387	8.01169	1132.52484
24.14662	65.84811	42.61020	5.42847	18.39442	5.84249	7.81080	52.09407	69.44728	0.04961	6.25160	7.30589	8.85941	8.22751	0.00000	5.70121	7.46541	1177.54007
89.11943	23.9028	62.03503	7.01971	23.61532	7.91740	8.37474	38.43148	56.49586	0.05987	8.77378	8.57168	4.32562	7.23772	1.00000	6.87676	6.31925	1147.02720
124.84472	10.13361	67.96540	10.29279	6.09359	7.14633	5.55707	46.48796	43.54373	0.69129	7.61854	4.52692	7.42067	8.54183	1.00000	6.46915	9.60097	1071.04535
-7.35	53.53333	37.69247	10.36247	0.96156	5.28845	7.28655	34.22027	56.48010	0.74221	7.70248	7.63387	6.22878	6.49311		7.13822	7.61602	1088.49256
72.54064	31.82539	49.41700	4.74208	-3.11705	4.84622	7.45116	64.84272	61.19634	0.02436	8.33144	9.29084	6.84512	6.89865	1.00000	6.65591	6.37453	1090.86498
76.11996	11.12018	69.98969	7.71320	26.40029	5.57326	9.39993	40.78919	44.16763	0.09288	3.85658	6.67831	5.52341	7.62386	1.00000	6.97945	7.59457	1087.17273
6.83042	6.15038	46.02996	6.30062	12.68930	6.86523	6.88518	72.78240	29.41318	0.06223	9.11069	4.45843	8.22570	7.73490	0.00000	8.15183	7.86689	1090.04081
-8.07257	12.74409	65.67296	5.64841	17.76256	7.58437	7.36746	44.13586	64.05529	0.04545	6.12159	6.01116	9.36262	8.09053	0.00000	6.80118	7.38070	1076.03990
100.04427	13.8196	49.02773	5.75150	5.04791	7.51533	6.67860	48.63282	54.47911	0.04933	7.47759	6.59611	10.64854	7.44502	0.00000	7.51429	7.38540	1052.19554
1.33467	43.61058	32.17348	4.43383	18.05215	3.78483	8.04688	51.97733	64.17317	0.03659	9.52018	7.05249	7.77255	6.89535	0.00000	6.83050	5.42267	1065.20759
116.11768	24.28859	69.44396	8.00943	20.97342	7.71832	8.43533	47.34781	41.57608	0.10162	9.50358		5.00071	7.96586	1.00000	7.50655	4.69755	1078.47908
122.74754	40.85158	39.29144	8.04028	45.72303	5.00747	6.38369	38.63009	41.78460	0.10103	9.66084	7.70370	8.93949	8.17229	0.00000	7.04995	7.18700	1122.85135
-74.73584	5.20856	51.07890	5.77362	4.40031	7.47677	7.23730	62.99346	57.22203	0.04627	7.09049	5.85134	9.21923	8.81853	0.00000	6.85989	4.28130	1156.99458
69.49015	56.11281	61.67118	4.65093	18.98600	5.59322	8.15398	34.09583	44.21478	0.04521	7.39444	7.10987	7.82344	7.53932	1.00000	7.59051	6.58147	1169.47567
-1.325	38.47917	47.69485	6.57555	30.93318	5.64294	6.09602	42.68037	42.00970	0.05422	10.57843	9.57086	4.41596	6.46729	1.00000	5.65009	5.00587	1181.57767
122.8637	9.3337	36.10181	6.80280	11.97991	9.44148	7.97317	51.15311	32.75855	0.06699	7.78919	4.98296	4.99483	7.57720	1.00000	8.78888	7.27564	1118.45268
-63.13414	46.23899	62.87441	5.93582	9.38673	5.83878	7.12154	51.59287	50.06004	0.04058	5.02761	6.06635	7.29190	6.47087	0.00000	7.18316	8.25660	1162.47550
22.53083	44.22639	63.92154	6.89470	10.99845	3.34543	9.27870	32.17868	45.20858	0.07152	7.62694	7.29438		6.02308	0.00000	8.33246	10.51609	1187.87435
113.82465	23.29549	37.17237	11.31941	5.16999	6.55761	8.41100	41.83404	50.79824	1.86674	3.89791	5.25408	7.72422	9.28930	1.00000	6.87707	10.31616	1171.90691
106.85417	-6.48167	39.57135	6.32479	13.76646	5.32923	6.87207	33.89458	71.56841	0.03567	6.54100	6.41239	9.15626	7.58232	0.00000	6.98651	9.08247	1121.00424
-9.24671	38.72706	69.85528	6.58057	-3.52580	7.18123	6.98176	41.04510	72.64282	0.06289	5.85188	4.96256	8.48853	8.33325	0.00000	6.56662	9.32876	1153.07971
13.28702	52.4581	58.69785	7.08593	-1.44657	5.30789	7.81972	44.68048		0.04557	8.34070	5.61110	9.79627	8.78416	0.00000	7.96460	6.85362	1188.01121
77.24779	10.58806	76.71379	8.31102	10.17270	7.53347	7.95069	62.95033	59.63738	0.11387	8.49444	5.52392	6.50718	6.99809	1.00000	7.50483	8.99403	1104.51078
69.49015	56.11281	31.85985	5.41600	17.48518	6.86796	7.68908	43.27165	51.41390	0.02663	6.30593	5.16733	9.40819	5.99187	0.00000	7.89344	3.82460	1141.96740
-101.2591	21.01858	85.50762	6.59202	0.74947	6.70114	7.27365	60.72189	48.33703	0.03459	8.66789	8.52918	5.92855	9.24927	1.00000	7.51196	6.34964	1054.44469
6.26764	4.92675	27.23564	6.59806	34.28997	7.06798	5.47131	37.81415	37.48254	0.05916	6.87058	5.55769	4.72355	6.34420	1.00000	7.68240	7.62817	1156.90748
76.92421	60.97944	47.69802	5.14416	20.00145	3.65237	5.80839	54.35176	44.50257	0.04334	9.06547	8.22329	6.76626	8.01499	0.00000	7.17796	5.29104	1102.92973
118.9707	-3.5403	42.24382	5.68975	-2.82435	7.36357	7.95069	63.52510	52.32256	0.06134	5.85088	5.87705	8.22723	6.43962	0.00000	6.49100	8.09650	1182.66323
34.75699	31.39547	57.00313	5.67153	16.65440	6.68500	7.94129	36.87233	46.01537	0.03493	5.17959	5.57382	9.31492	7.06170	0.00000	8.37293	8.08519	1111.88851
-63.90389	-8.76194	41.18399	4.69554	3.61660	6.55372	7.33107	36.90543	19.73396	0.02678	3.94961	5.98737	7.45574	6.40371	0.00000	8.34865	6.84891	1165.24776
44.7662	40.49748	46.23566	8.48356	18.84847	4.80490	7.74222	41.24038	43.22843	0.14572	6.23613	6.82841	5.15405	7.57134	1.00000	6.98647	8.39471	1057.10320
-93.71133	41.57721	44.66555	9.27765	25.06075	6.40561	7.54143	56.70165	71.87706	0.25492	6.01994	5.71531	6.46216	6.73654	1.00000	6.32821	10.16625	1182.77093
69.67639	41.29444	43.74718	6.31396	32.61110	6.58213	9.16448	36.32227	22.57749	0.05065	6.49603	5.63793	9.07561	8.05368	0.00000	7.27121	4.12582	1106.01365
99.1625	3.3285	72.91118	8.28285	15.15568	5.09981	6.92084	36.55381	45.68251	0.13220	10.45656	7.68789	9.38970	9.24556	1.00000	7.23965	7.77060	1085.67571
79.82979	11.93381	52.28911	11.51350	17.72865	4.43844	6.03500	24.50021	53.29382	2.23468	5.64122	6.71935	7.66348	7.26856	1.00000	10.34197	10.54204	1192.29385
2.08333	48.86667	61.39685	5.70229	19.99155	7.07807	8.49515	68.33322	62.33801	0.04934	7.83696	4.83384	9.15421	7.55524	0.00000	6.65579	5.59159	1113.23239
-2.1875	51.26	47.42330	6.57745	18.83194	3.65267	6.63500	44.32872	36.05042	0.04251	6.59488	6.75521	8.39682	7.97623	0.00000	6.99510	10.13547	1162.01310
123.17306	41.27194	63.31633	6.07004	7.76210	5.32177	9.43895	42.73804	70.37321	0.04019	4.02143	4.54109	7.03380	8.35057	0.00000	6.92697	10.08320	1113.51352
-78.19444	38.91817	55.08068	10.89381	18.54020	7.59150	7.81448	46.33015	42.78534	1.22914	6.54352	5.13789	7.38763	8.36875	1.00000	7.18210	9.97425	1183.12571
-8.53778	7.57944	47.72891	4.96059	6.20460	5.22092	5.68979	31.05901	47.08606	0.03569	6.94661	9.83740	8.18924	5.65151	1.00000	6.89395	7.25725	1187.54685
-5.22126	33.43443	62.93977	3.01729	-1.41525	7.09484	9.35260	22.54199	67.47481	0.03065	5.44969	3.30695	8.15166	7.51785	0.00000	7.43155	3.80578	1087.43791
-86.57415	15.48131		7.03106	9.27522	5.41377	7.59839	62.13279	38.68852	0.06626	5.61469	7.39164	5.34220	7.28657	1.00000	8.37045	5.72900	1172.99398
-77.43532	20.14298	41.91356	6.40788	17.68119	4.65251	7.77826	53.43098	44.97361	0.05773	6.19206	6.29427	9.04083	8.21741	0.00000	6.13125	9.27559	1195.56785
69.67639	41.29444	40.37885	5.35906	18.00435	5.91474	6.65868	31.61911	58.20706	0.04254	7.61661	9.18703	6.90038	6.39800	1.00000	8.91594	6.77909	1084.17007
-8.07257	12.74409	48.78105	6.53171	16.31075	3.68482	7.62799	29.18536	47.83173	0.06190	11.07101	11.34379	6.04809	6.45780	1.00000	6.63203	5.33852	1164.69501
39.85331	57.30185	39.66384	6.71575	21.63824	7.52420	4.32640	24.10109	61.85495	0.05945	8.24866	6.47453	9.41733	6.25091	0.00000	7.19200	9.08291	1197.51530
-15.6	13.56667	53.63065	7.17372	18.51419	7.51164	7.45060	16.96921	51.97894	0.07279	8.09026	6.69898	6.86289	7.09539	1.00000	8.33149	5.93551	1104.32123
6.26667	51.21667	63.95508	6.81375	37.08241	4.69298	5.51113	37.88107	54.86610	0.06089	9.22593	8.24762	8.47831	8.42918	0.00000	8.22087	5.65767	1053.79615
42.85693	39.22493	66.16514	5.97972	13.91726	4.07203	9.38117	38.98206		0.03422	4.92752	6.65049	7.40425		0.00000	7.00816	8.86700	1143.18826
89.20083	55.54028	56.51569	7.50418	4.27287	8.06609	8.17206	33.27818	33.40986	0.08660	9.89807	8.54097	3.13435	7.17167	1.00000	8.01676	5.97960	1129.45000
5.37429	51.03427	35.51081	7.72481	26.86712	8.29174	8.20884	42.99198	72.87358	0.08725	9.02718	4.94061	5.85728	7.59104	1.00000	9.09522	7.86712	1056.15734
44.02488	32.61603	55.22776	10.08937	18.67727	5.53920	7.40779	74.49087	38.53529	0.55059	6.12842	4.30761	6.84186	5.27355	1.00000	6.83652	10.47138	1051.72630
5.37429	51.03427	50.05549	8.21689	12.96614	5.41499	7.04137	30.07204	52.19673	0.11633	5.12186	8.03679	5.78999	8.13167	1.00000	8.27784	6.92847	1194.32122
5.16108	48.77275	58.36289	4.94289	14.55783	5.20426	7.58204	38.38790	69.00459	0.05638	8.93593	8.78838	5.96004	6.69788	1.00000	7.50406	6.53103	1057.25203
88.28637	23.07492	50.27942	5.32537	-1.65407	5.92531	5.90473	44.16154	58.07294	0.04054	4.50518	6.00123	7.03324	6.84601	0.00000	7.69055	8.25020	1059.63962
2.31889	35.21222	40.93082	6.56064	4.77046	7.31914	6.56015	47.61549	72.42093	0.06357	6.31250	8.67938	8.25462	7.40125	1.00000	8.43429	8.73237	1180.91284
-82.61573	41.24255	64.70856	6.23711	9.97179	7.90549	6.41028	21.40883	54.99670	0.04148	7.89773	6.06916	11.02473	8.25442	0.00000	7.00652	7.82315	1154.83330
0.75	52.41667	55.50593	7.42175	-12.26180	5.99699	7.43512	44.90979	29.69672	0.08576	5.19090	4.65501	5.55033	8.12427	0.00000	6.35256	10.79618	1103.31853
8.64409	48.07667	50.19405	5.73508	31.32477	6.13223	8.86404	54.87561	14.40468	0.07273	5.03940	5.39655	7.65467	8.45086	0.00000	4.27672	8.59609	1091.64644
137.36215	36.75965	67.94264	6.06769	9.50267	6.66991	7.87501	15.75016	32.90881	0.03639	7.93004	4.61488	8.72174	8.12145	0.00000	8.06078	6.81092	1070.64516
1.53414	42.50729	39.28774	7.36984	21.49748	5.92497	7.24364	43.41604	49.88932	0.07054	7.81688	4.45380	8.39066	7.44240	0.00000	6.13070	7.76270	1104.01155
89.11943	23.9028	43.00723	7.43025	5.28304	6.23288	6.45471	39.26691	64.73002	0.09258	9.70015	8.26104	6.25506	7.86669	1.00000	7.09035	5.24678	1122.49883
42.85693	39.22493	60.51024	7.21798	33.46407	7.94260	8.59225	33.19489	48.48105	0.07239	9.04846	6.19388	6.63562	9.15998	1.00000	8.27461	7.31517	1115.09772
88.18466	22.19303	44.89492	7.04342	13.28404	6.35313	8.52103	66.10401	62.75995	0.06708	9.19091	7.91317	8.84646	7.74887	0.00000	7.84792	5.22260	1105.35509
116.11768	24.28859	60.28806	11.68790	35.25114	5.78135	5.80769	53.02921	47.61529	2.67650	4.96653	5.97566	8.93118	5.48796	1.00000	6.73138	10.45741	1199.53371
-74.28459	40.5576	36.97904	6.37086	14.11224	5.10505	8.40319	59.60381	37.27173	0.05943	5.36459	5.56742	7.44951	7.98213	0.00000	7.61203	9.82153	1147.44456
135.31667	34.25	57.97281	7.56622	12.87967	5.09686	6.83575	50.97596	71.80842	0.08693	5.34448	5.71524	4.94447	7.81221	1.00000	8.38556	9.86616	1053.13906
11.32903	50.9803	55.46599	7.38785	21.87800	7.28877	6.25178	54.78978	63.13394	0.06782	7.50704	2.69750	9.51850	6.84447	0.00000	7.78414	7.97716	1157.19340
130.94098	33.3213	64.56842	5.18637	14.19216	6.25036	8.05638	17.36562	39.35866	0.03891	5.30479	6.48244	9.14010	7.22478	0.00000	5.47412	7.24499	1096.18577
71.52847	32.57756	47.47138	6.99856	14.76280	7.26975	7.70677	60.93965	30.93066	0.04733	8.55729	7.74511	5.94857	7.84786	1.00000	9.21489	5.93727	1197.03096
-8.07257	12.74409	47.71756	9.59076	25.74547	7.73231	8.91423	50.50756	31.28049	0.37112	5.52093	4.44840	6.82541	7.39621	1.00000	8.30049	10.77039	1060.97735
-96.39774	30.16688	70.55126	8.20374	17.22926	7.14524	7.11732	46.55557	27.05381	0.11466	9.13653	8.20160	6.61671	8.41318	1.00000	8.52306	6.43011	1188.11153
-95.30106	32.35126	54.29993	5.68040	1.40220	7.82876	7.86378	44.35227	40.09433	0.06512	5.19097	5.49231	8.58991	5.70015	0.00000	7.49800	7.82342	1129.55394
79.883	6.9909	49.66895	5.76814	14.13231	7.18212	8.40772	44.84256	61.81807	0.03954	6.50832	6.35258	9.17888	7.13916	0.00000	9.08947	7.39366	1133.54117
77.40858	24.05979	55.53253	6.20061	31.53170	4.52669	6.82981	22.31412	55.48370	0.04340	5.99583	6.44518	8.50246	7.12033	0.00000	7.98696	9.62851	1131.08269
122.20488	29.98869	56.05889	9.64016	31.40615	6.38812	6.72364	42.49997	46.65158	0.38085	4.58562	5.59177	5.89714	7.68826	1.00000	8.98406	9.66057	1118.57689
-69.96533	43.91452	59.44406	5.86809	26.67386	5.44559	7.83639	55.68217	41.61947	0.03923	5.35513	6.16021	3.62755	9.22459	1.00000	7.37743	8.70395	1108.43191
88.18466	22.19303	54.41600	9.85559	8.89257	6.13229	6.16349	35.57544	64.82424	0.46231	7.27661	7.15331	7.48848	7.95332	1.00000	8.92287	8.03878	1055.67539
114.10479	22.37066	52.88215	5.36051	13.91542	5.71437	9.28437	40.21231	61.77836	0.05928	8.79436	7.44962	6.29847	8.21966	1.00000	7.54929	5.45757	1145.74756
109.22921	34.65918	36.29238	7.87592	10.62186	1.19674	5.93384	48.18164	68.20984	0.10532	11.09405	10.35459	7.36267	7.37289	0.00000	6.00106	6.69627	1193.92041
-9.24671	38.72706	52.87552	8.95393	17.33209	6.68944	7.40778	46.78985	16.81783	0.21315	7.02241	6.03564	6.77088	7.32042	1.00000	6.72576	8.22230	1088.02618
13.44275	38.07789	59.75420	6.44223	4.30442	6.14730	7.90120	37.68665	46.67544	0.03157	4.92101	4.94458	7.32479	6.60119	0.00000	5.75931	9.47783	1098.48310
11.412	45.50369	73.49900	9.28056	18.47757	4.41571	8.09089	48.13484	45.40612	0.27254	3.87944	6.93186	6.26892	7.09555	1.00000	5.83402	8.68690	1168.71104
117.59152	3.31332	48.78174	10.11652	29.41089	6.15537	8.00312	51.27162	43.65882	0.58595	4.23681	6.36187	6.68760	8.13322	1.00000	7.49987	9.70526	1172.95484
9.17702	48.78232	43.31727	6.77144	25.62003	4.64301	8.08160	44.90891	53.11961	0.06031	8.50508	8.42964	8.01335	6.56247	0.00000	6.87222	9.35945	1168.55268
77.9129	25.6439	47.56739	5.85645	7.23742	7.17590	6.52130	55.65089	55.86145	0.04130	7.54580	6.94902	6.48751	6.82415	1.00000	6.96550	5.92355	1132.63215
103.81667	1.6	74.18846	6.47203	9.91992	3.21065	7.17009	17.72477	85.78350	0.05402	6.21466	7.13802	7.79681	6.49123	0.00000	5.80417	10.00561	1090.96743
37.73333	-4.06667	57.01876	6.62792	12.34113	4.43031	6.98761	43.64577	67.25095	0.06377	4.97809	5.90300	7.70062	6.86860	0.00000	8.90243	9.19927	1063.48493
118.53333	27.92333	51.97695	11.38040	15.80830	6.24525	7.37234	70.17254	43.59410	1.98351	7.73486	5.66852	7.49947	7.23949	1.00000	6.66586	10.70369	1166.80742
74.4818	30.21121	46.70777	7.07803	15.46388	7.13140	8.55775	37.40815	65.74324	0.05987	8.44461	9.72110	5.74395	8.91771	1.00000	7.29987	7.88609	1160.14479
46.04833	51.40944	57.73378	8.74101	6.79988	5.99649	9.00369	52.82772	61.99286	0.20522	4.24528	6.59616	6.79476	8.66881	1.00000	8.19305	8.45791	1191.81672
13.58357	-1.63333	59.65864	7.48110	21.56672	7.01702	9.24247	47.89665	55.30842	0.09374	7.44223	4.24844	9.74546	6.47113	0.00000	4.80068	6.92458	1178.42530
109.05389	-7.51611	47.00236	8.86034	-0.48402	5.30523	8.96398	43.26394	57.52752	0.20711	7.38486	7.53629	5.89447	8.14347	1.00000	7.77198	6.69298	1115.00978
2.45012	48.90982	53.47869	10.21149	18.52402	8.30822	8.03556	51.39829	47.63947	0.64421	8.33458	5.94477	7.66836	8.86950	1.00000	6.77669	8.02931	1094.83710
-4.0573	55.82737	56.11622	7.85475	8.23978	5.36195	7.61090	68.38585	55.27478	0.10732	10.53843	11.29974	5.72513	8.17255	1.00000	7.10698	6.09864	1117.04454
35.90057	56.85836	50.61938	6.28364	12.68851	8.13598	7.49191	54.80755	24.10770	0.04415	8.67545	5.54480	8.97839	7.28366	0.00000	7.05952	6.30247	1092.24873
112.01667	-7.81667	41.00275	4.69002	16.75559	3.62559	6.81215	42.75918	29.28930	0.05046	6.79898	5.08078	8.06290	8.19120	0.00000	6.66380	5.00317	1175.69972
-98.11889	19.04222	32.64527	5.89102	11.71324	6.06916	6.30152	28.96056	54.18430	0.03736	8.36385	6.99967	7.09949	6.54977	1.00000	6.03391	5.30274	1074.18073
