station	QoS	longitude	location	revision	latitude
Ozersk	excellent	60.70278	Asia/Yekaterinburg	14 Apr 2022	55.75556
Narwar	accep	77.9129	Asia/Kolkata	21 Aug 2016	25.6439
Scottsdale	accep	-111.89903	America/Phoenix	2012/12/08	33.50921
Buynaksk	accep	47.1192	Europe/Moscow	05/18/2020, 00:00:00	42.819
Karbala	average	44.02488	Asia/Baghdad	2021-11-20	32.61603
Varadero	good	-81.24441	America/Havana	26 Feb 2015	23.15678
Norfolk County	excellent	-80.38297	America/Toronto	2015/09/25	42.8334
Tebingtinggi	accep	99.1625	Asia/Jakarta	2012/12/09	3.3285
East Jerusalem	good	35.23388	Asia/Hebron	09/27/2012, 00:00:00	31.78336
Krymsk	good	37.99117	Europe/Moscow	2015/11/22	44.92934
Kalavoor	accep	76.32756	Asia/Kolkata	2017-09-10	9.57046
Schleswig	excellent	9.5586	Europe/Berlin	12/27/2017, 00:00:00	54.52156
Darreh Shahr	average	47.3799	Asia/Tehran	03 Jan 2018	33.14447
Sceaux	accep	2.29026	Europe/Paris	2022-03-24	48.77644
Thap Than	good	99.89166	Asia/Bangkok	12/11/2021, 00:00:00	15.46063
Dahlem	good	13.28702	Europe/Berlin	2013-01-14	52.4581
Same	excellent	37.73333	Africa/Dar_es_Salaam	08/17/2022, 00:00:00	-4.06667
Srinagar	maintenance	74.80555	Asia/Kolkata	06/09/2022, 00:00:00	34.08565
Longview	average	-94.74049	America/Chicago	2021/03/29	32.5007
Smolyan	excellent	24.71204	Europe/Sofia	2021/01/23	41.57439
Brunswick	good	-69.96533	America/New_York	03 Aug 2015	43.91452
Santa Maria	average	-120.43572	America/Los_Angeles	2022/06/22	34.95303
Port of Spain	average	-61.51889	America/Port_of_Spain	17 Dec 2016	10.66668
New City	building	-87.65644	America/Chicago	2015/01/25	41.80753
San Giuliano Milanese	average	9.29109	Europe/Rome	09/12/2015, 00:00:00	45.39402
Bad Segeberg	accep	10.30215	Europe/Berlin	2022-03-18	53.94313
Shimotoda	average	139.6853	Asia/Tokyo	06 Jan 2019	35.815
Ramla	maintenance	34.86563	Asia/Jerusalem	05/08/2020, 00:00:00	31.92923
Kearns	good	-111.99633	America/Denver	2013/06/15	40.65995
Kampung Ayer Molek	good	102.3278	Asia/Kuala_Lumpur	10 Feb 2014	2.2139
Usagara	average	33	Africa/Dar_es_Salaam	22 Oct 2013	-2.68333
Penzance	maintenance	-5.53715	Europe/London	03/06/2014, 00:00:00	50.11861
Damnoen Saduak	accep	99.95469	Asia/Bangkok	27 May 2021	13.51825
Altamira	good	-52.20639	America/Santarem	2019/05/30	-3.20333
Inawashiro	good	140.11667	Asia/Tokyo	01/18/2017, 00:00:00	37.56667
Greenville	building	-91.06177	America/Chicago	06/03/2015, 00:00:00	33.41012
Glendale	average	-118.25508	America/Los_Angeles	2012/11/02	34.14251
Cibinong	good	106.85417	Asia/Jakarta	11/16/2021, 00:00:00	-6.48167
Mbalmayo	average	11.5	Africa/Douala	06/08/2019, 00:00:00	3.51667
Isfahan	excellent	51.67462	Asia/Tehran	02/15/2021, 00:00:00	32.65246
Debre Tabor	excellent	38.01667	Africa/Addis_Ababa	2021/02/13	11.85
Varadero	excellent	-81.24441	America/Havana	02/05/2017, 00:00:00	23.15678
Southsea	building	-1.08593	Europe/London	2016-03-11	50.79205
Lagos	good	3.39467	Africa/Lagos	2022-08-31	6.45407
Perugia	average	12.38878	Europe/Rome	2022/05/13	43.1122
Malden	good	-71.06616	America/New_York	2013-04-29	42.4251
Sonzacate	excellent	-89.71472	America/El_Salvador	28 Dec 2012	13.73417
Sungurlu	accep	34.37389	Europe/Istanbul	08/20/2013, 00:00:00	40.1675
South Whittier	excellent	-118.03917	America/Los_Angeles	2018-06-04	33.95015
Malnate	average	8.88104	Europe/Rome	2015-05-19	45.79377
Kashipur	good	78.95693	Asia/Kolkata	23 Nov 2017	29.21399
Saraj	good	21.32778	Europe/Skopje	01 Oct 2017	42
Barras	excellent	-42.29444	America/Fortaleza	09 May 2019	-4.24444
Izluchinsk	excellent	76.92421	Asia/Yekaterinburg	17 Jun 2021	60.97944
Novogrudok	excellent	25.8191	Europe/Minsk	12 Jun 2016	53.5942
Onex	accep	6.10237	Europe/Zurich	2015/02/03	46.18396
Shagamu	good	3.64633	Africa/Lagos	11 Dec 2019	6.8485
Saint-Omer	accep	2.25	Europe/Paris	05/16/2019, 00:00:00	50.75
Stupino	average	38.07083	Europe/Moscow	05/30/2016, 00:00:00	54.90083
Brentwood Estates	accep	-86.77917	America/Chicago	2018/10/06	36.02506
Walsrode	maintenance	9.5926	Europe/Berlin	24 Jun 2018	52.86147
Vestavia Hills	accep	-86.78777	America/Chicago	01/01/2022, 00:00:00	33.44872
Adra	accep	86.68363	Asia/Kolkata	14 Oct 2013	23.49668
Gainesville	accep	-82.32483	America/New_York	01 Jul 2017	29.65163
Lower Earley	excellent	-0.91979	Europe/London	05/07/2019, 00:00:00	51.42708
Watsonville	good	-121.75689	America/Los_Angeles	10/15/2012, 00:00:00	36.91023
Barras	good	-42.29444	America/Fortaleza	2018/07/26	-4.24444
Dharmapuri	building	78.15794	Asia/Kolkata	2014/01/09	12.1277
El Achir	building	4.62744	Africa/Algiers	2015/09/12	36.06386
Hoxtolgay	building	86.00214	Asia/Urumqi	03/25/2017, 00:00:00	46.51872
Busia	accep	34.11169	Africa/Nairobi	06 Oct 2021	0.46005
Zgorzelec	average	15.00835	Europe/Warsaw	2016/12/06	51.14942
Honda	excellent	-74.73584	America/Bogota	2013-09-21	5.20856
Saint-Denis	maintenance	55.4504	Indian/Reunion	2015/08/31	-20.88231
Covington	building	-84.50855	America/New_York	20 Mar 2016	39.08367
Casa Blanca	good	-98.11889	America/Mexico_City	01/21/2018, 00:00:00	19.04222
Hongseong	excellent	126.665	Asia/Seoul	13 Nov 2020	36.6009
Yamada	excellent	141.95	Asia/Tokyo	12 Sep 2014	39.46667
Rixensart	building	4.52529	Europe/Brussels	2019-12-14	50.71229
Debre Tabor	average	38.01667	Africa/Addis_Ababa	2018-04-04	11.85
Paracho de Verduzco	excellent	-102.04897	America/Mexico_City	2022/05/18	19.64745
Amreli	accep	71.21169	Asia/Kolkata	2021/02/01	21.59983
Buenaventura	building	-77.03116	America/Bogota	2014/03/08	3.8801
Milagro	average	-79.59415	America/Guayaquil	04/03/2017, 00:00:00	-2.13404
Standerton	good	29.24152	Africa/Johannesburg	06/29/2013, 00:00:00	-26.93366
Ina	average	137.95378	Asia/Tokyo	17 May 2013	35.82756
Danjiangkou	average	111.50861	Asia/Shanghai	26 Jun 2016	32.54278
Lal Bahadur Nagar	building	78.55757	Asia/Kolkata	09/23/2021, 00:00:00	17.34769
Visitacion Valley	average	-122.40433	America/Los_Angeles	2013-04-17	37.71715
Norfolk County	average	-80.38297	America/Toronto	2018/04/14	42.8334
Paoy Paet	building	102.56365	Asia/Phnom_Penh	12/23/2013, 00:00:00	13.65805
el Camp de l'Arpa del Clot	good	2.18247	Europe/Madrid	2018/05/02	41.41204
Laiwu	excellent	117.65694	Asia/Shanghai	06/16/2015, 00:00:00	36.19278
Albufeira	accep	-8.2503	Europe/Lisbon	2016-07-28	37.08819
Iquitos	maintenance	-73.25383	America/Lima	03/31/2017, 00:00:00	-3.74912
Svatove	excellent	38.15035	Europe/Zaporozhye	2018-10-07	49.41029
Aksaray	maintenance	34.02537	Europe/Istanbul	2022/01/11	38.37255
Mudanya	accep	28.88222	Europe/Istanbul	2017/08/05	40.37528
Nowshahr	maintenance	51.49621	Asia/Tehran	04 Feb 2015	36.64852
Caldas Novas	maintenance	-48.62789	America/Sao_Paulo	11/18/2018, 00:00:00	-17.74431
Acaponeta	good	-105.36369	America/Mazatlan	2016-09-05	22.49396
Eisen	excellent	128.63083	Asia/Seoul	03/28/2015, 00:00:00	36.82167
Clacton-on-Sea	good	1.15597	Europe/London	08/05/2017, 00:00:00	51.78967
Gaya	accep	9.0027	Africa/Lagos	27 Nov 2020	11.86064
Thap Than	maintenance	99.89166	Asia/Bangkok	27 Feb 2017	15.46063
Calangute	average	73.7553	Asia/Kolkata	06/27/2017, 00:00:00	15.5439
Phanat Nikhom	average	101.18445	Asia/Bangkok	2020-07-01	13.44581
Far Rockaway	average	-73.75513	America/New_York	19 Aug 2018	40.60538
Albstadt	average	9.02596	Europe/Berlin	03/26/2014, 00:00:00	48.21644
Murray	good	-88.31476	America/Chicago	2015-02-21	36.61033
Jagna	excellent	124.3697	Asia/Manila	2015/04/06	9.6531
Gaziantep	average	37.3825	Europe/Istanbul	2016-04-17	37.05944
Massapequa	building	-73.47429	America/New_York	2017-12-09	40.68066
Exeter	good	-3.52751	Europe/London	16 Aug 2014	50.7236
Debre Tabor	excellent	38.01667	Africa/Addis_Ababa	09 Jun 2022	11.85
Kidodi	accep	37.00438	Africa/Dar_es_Salaam	02/15/2022, 00:00:00	-7.60361
Iron River	excellent	-88.64235	America/Menominee	17 Jan 2015	46.09273
Lino Lakes	average	-93.08883	America/Chicago	2020-04-08	45.16024
Dongfeng	good	125.51176	Asia/Shanghai	18 Jul 2018	42.64031
Polohy	maintenance	36.25361	Europe/Zaporozhye	11/17/2012, 00:00:00	47.48444
Clermont	accep	-81.77285	America/New_York	30 Sep 2013	28.54944
Argungu	maintenance	4.52514	Africa/Lagos	31 Aug 2013	12.74482
Randudongkal	average	109.3243	Asia/Jakarta	2015/12/15	-7.0981
Aberdeen	accep	-2.09814	Europe/London	2018/03/20	57.14369
Keene	good	-72.27814	America/New_York	2016/09/25	42.93369
Maxixe	building	35.34722	Africa/Maputo	2013/07/21	-23.85972
Buenaventura	accep	-77.03116	America/Bogota	09/24/2021, 00:00:00	3.8801
Sharypovo	accep	89.20083	Asia/Krasnoyarsk	05 Jul 2013	55.54028
Utica	average	-75.23266	America/New_York	26 Feb 2021	43.1009
Porto Velho	average	-63.90389	America/Porto_Velho	31 Jul 2021	-8.76194
Balikpapan	average	116.82887	Asia/Makassar	20 Mar 2019	-1.26753
Serinhisar	accep	29.26639	Europe/Istanbul	2022-06-16	37.58105
Honda	average	-74.73584	America/Bogota	11/08/2012, 00:00:00	5.20856
Jizzax	acceptable	67.84222	Asia/Samarkand	2018-10-03	40.11583
Kafanchan	good	8.2926	Africa/Lagos	08/12/2019, 00:00:00	9.58126
Maryborough	excellent	152.70493	Australia/Brisbane	2015/12/05	-25.54073
Montecchio Maggiore-Alte Ceccato	excellent	11.412	Europe/Rome	2019-02-03	45.50369
San Gabriel	average	-118.10583	America/Los_Angeles	2018-10-19	34.09611
Alexandria	average	29.91582	Africa/Cairo	2013/10/22	31.20176
Sharypovo	accep	89.20083	Asia/Krasnoyarsk	03/20/2013, 00:00:00	55.54028
Westchester	accep	-87.882	America/Chicago	2019-01-14	41.85059
Rhosllanerchrugog	accep	-3.05814	Europe/London	25 Nov 2017	53.00974
Jingzhou	accep	112.19028	Asia/Shanghai	07/20/2020, 00:00:00	30.35028
Schwalmtal	maintenance	6.26667	Europe/Berlin	17 Jul 2013	51.21667
Dombivli	excellent	73.08333	Asia/Kolkata	2019/01/16	19.21667
Burgos	excellent	120.57224	Asia/Manila	2021/04/09	15.72892
Maliana	excellent	125.21972	Asia/Dili	2014/02/07	-8.99167
Jalal-Abad	excellent	73	Asia/Bishkek	10/23/2016, 00:00:00	40.93333
San Juan de Aznalfarache	excellent	-6.03731	Europe/Madrid	25 Oct 2021	37.35813
Lakewood	building	-81.79819	America/New_York	08 Sep 2013	41.48199
Pfullingen	average	9.22796	Europe/Berlin	28 May 2020	48.46458
East Jerusalem	accep	35.23388	Asia/Hebron	2015-09-05	31.78336
El Copey	building	-73.9614	America/Bogota	06/27/2022, 00:00:00	10.15031
Mianwali	accep	71.52847	Asia/Karachi	2018-01-29	32.57756
Palm Desert	accep	-116.37697	America/Los_Angeles	30 Jul 2017	33.72255
Gisborne	average	178.00417	Pacific/Auckland	01/07/2018, 00:00:00	-38.65333
Zeist	maintenance	5.23333	Europe/Amsterdam	11/11/2017, 00:00:00	52.09
Taunton	accep	-71.08977	America/New_York	02 Mar 2019	41.9001
Schererville	accep	-87.45476	America/Chicago	2016/05/01	41.47892
Tonga	building	10.7	Africa/Douala	03/31/2022, 00:00:00	4.96667
Mardin	accep	40.74357	Europe/Istanbul	01 Jul 2017	37.31309
Redding	good	-122.39168	America/Los_Angeles	2016/11/07	40.58654
Yakuplu	accep	28.67582	Europe/Istanbul	19 Jan 2022	40.98894
Bar-le-Duc	building	5.16108	Europe/Paris	2017/03/11	48.77275
Paracho de Verduzco	good	-102.04897	America/Mexico_City	17 May 2020	19.64745
Ovalle	accep	-71.19901	America/Santiago	2017-10-04	-30.60106
Novara	excellent	8.62118	Europe/Rome	2016/07/23	45.44694
Ulan Bator	excellent	106.88324	Asia/Ulaanbaatar	2013-04-22	47.90771
Odessa	accep	-102.36764	America/Chicago	2016-09-23	31.84568
Lutz	building	-82.46148	America/New_York	01/28/2015, 00:00:00	28.15112
Lal Bahadur Nagar	average	78.55757	Asia/Kolkata	28 May 2016	17.34769
Ajdabiya	accep	20.22625	Africa/Tripoli	2022/03/18	30.75545
Nowshahr	accep	51.49621	Asia/Tehran	05 Oct 2018	36.64852
Pottstown	maintenance	-75.64963	America/New_York	2018/09/08	40.24537
Binnish	excellent	36.7138	Asia/Damascus	2022-04-18	35.95664
Yonkers	accep	-73.89875	America/New_York	11 May 2017	40.93121
San Jose	average	121.06761	Asia/Manila	2020/06/08	12.35275
Khairpur Mir’s	excellent	68.75915	Asia/Karachi	2015-08-15	27.52948
Brzeg	average	17.4674	Europe/Warsaw	2015/05/31	50.86079
Artsyz	building	29.41824	Europe/Kiev	2017-07-03	45.99194
Bourbonnais	accep	-87.88754	America/Chicago	2019-07-29	41.15376
Dorval	maintenance	-73.75335	America/Toronto	10 Sep 2018	45.4473
Farafenni	accep	-15.6	Africa/Banjul	2022/09/13	13.56667
Artsyz	accep	29.41824	Europe/Kiev	09 May 2013	45.99194
Severodvinsk	average	39.8302	Europe/Moscow	2016-03-25	64.5635
Arbroath	good	-2.58736	Europe/London	12/08/2017, 00:00:00	56.56317
Cebu City	good	123.89071	Asia/Manila	2017/03/22	10.31672
Chillum	excellent	-76.99081	America/New_York	10/27/2020, 00:00:00	38.96372
Nampa	excellent	-116.56346	America/Boise	09 May 2019	43.54072
Kushtia	accep	89.11943	Asia/Dhaka	2014-06-26	23.9028
Strood	accep	0.47713	Europe/London	22 Aug 2021	51.39323
Sector 6	good	26.01649	Europe/Bucharest	2020-09-21	44.43579
Veracruz	average	-79.62603	America/Panama	25 Jun 2020	8.88988
Taunton	accep	-71.08977	America/New_York	21 Jul 2021	41.9001
Puducherry	accep	79.82979	Asia/Kolkata	2019-03-08	11.93381
El Alia	average	10.03478	Africa/Tunis	2019-03-24	37.16911
Dax	building	-1.05366	Europe/Paris	2017/09/25	43.71032
Guaraciaba do Norte	average	-40.7475	America/Fortaleza	05/19/2022, 00:00:00	-4.16694
Belper	accep	-1.48119	Europe/London	01/10/2017, 00:00:00	53.0233
Portogruaro	average	12.84052	Europe/Rome	02/25/2021, 00:00:00	45.78071
Larkana	average	68.21204	Asia/Karachi	30 Dec 2016	27.55898
Keene	building	-72.27814	America/New_York	2014-01-13	42.93369
Shagamu	good	3.64633	Africa/Lagos	10/05/2019, 00:00:00	6.8485
Zhuangyuan	building	120.82747	Asia/Shanghai	2017/02/16	37.30553
Ghat	excellent	10.18003	Africa/Tripoli	13 Aug 2017	24.96334
Kireyevsk	average	37.92792	Europe/Moscow	19 Apr 2019	53.93361
Glendale	excellent	-118.25508	America/Los_Angeles	03/31/2015, 00:00:00	34.14251
Bogovinje	good	20.91361	Europe/Skopje	2015-10-23	41.92361
Wangon	accep	109.05389	Asia/Jakarta	06/05/2019, 00:00:00	-7.51611
Sheoganj	average	73.06784	Asia/Kolkata	04 Nov 2017	25.13915
Otegen Batyra	accep	77.0202	Asia/Almaty	2019-06-28	43.41949
Coralville	excellent	-91.58045	America/Chicago	07/26/2021, 00:00:00	41.6764
Donggongon	good	116.10146	Asia/Kuching	03/28/2013, 00:00:00	5.90702
Clacton-on-Sea	excellent	1.15597	Europe/London	2015-11-21	51.78967
Palestine	excellent	-95.63079	America/Chicago	2016-08-16	31.76212
Ksar Chellala	excellent	2.31889	Africa/Algiers	2017-12-27	35.21222
Curitiba	accep	-49.27306	America/Sao_Paulo	2019/07/05	-25.42778
Negotin	good	22.53083	Europe/Belgrade	2021/04/29	44.22639
Gaziantep	excellent	37.3825	Europe/Istanbul	2014/08/29	37.05944
Jumilla	average	-1.325	Europe/Madrid	21 Oct 2017	38.47917
Arles	good	4.63031	Europe/Paris	19 Jul 2021	43.67681
Mwandiga	good	29.65806	Africa/Dar_es_Salaam	2017-01-25	-4.83
Aklera	good	76.56719	Asia/Kolkata	03/19/2015, 00:00:00	24.41288
Port of Spain	maintenance	-61.51889	America/Port_of_Spain	10 Feb 2017	10.66668
Santa Catalina	good	122.8637	Asia/Manila	05/22/2016, 00:00:00	9.3337
Reutlingen	good	9.20427	Europe/Berlin	01/11/2020, 00:00:00	48.49144
Vestavia Hills	accep	-86.78777	America/Chicago	2019-03-24	33.44872
Penzance	accep	-5.53715	Europe/London	01/05/2018, 00:00:00	50.11861
Ganei Tikva	accep	34.8732	Asia/Jerusalem	01/27/2017, 00:00:00	32.05971
Msaken	accep	10.58082	Africa/Tunis	2019/06/03	35.72917
Tavda	excellent	65.27258	Asia/Yekaterinburg	27 Apr 2013	58.04254
Neuburg an der Donau	average	11.18709	Europe/Berlin	2015-02-13	48.73218
Nowra	excellent	150.60036	Australia/Sydney	2016-11-12	-34.88422
Artur Nogueira	good	-47.1725	America/Sao_Paulo	2013-01-03	-22.57306
Le Robert	good	-60.94228	America/Martinique	08/29/2018, 00:00:00	14.67751
Patti	accep	74.85849	Asia/Kolkata	05/24/2015, 00:00:00	31.28092
Beaconsfield	good	-73.86586	America/Toronto	2014-02-02	45.43341
Curitiba	average	-49.27306	America/Sao_Paulo	30 Jul 2013	-25.42778
Grand Forks	average	-97.03285	America/Chicago	20 Aug 2017	47.92526
Petrozavodsk	excellent	34.34691	Europe/Moscow	07 Apr 2021	61.78491
Iturama	good	-50.19556	America/Sao_Paulo	07/23/2016, 00:00:00	-19.72806
Rahat	excellent	34.75699	Asia/Jerusalem	07 Oct 2012	31.39547
Hechingen	maintenance	8.96317	Europe/Berlin	03 May 2017	48.35149
Argungu	building	4.52514	Africa/Lagos	06/03/2017, 00:00:00	12.74482
Calauan	excellent	121.3152	Asia/Manila	12 Jan 2017	14.14989
Hartley	good	0.30367	Europe/London	06/18/2017, 00:00:00	51.38673
Jaruco	average	-82.00919	America/Havana	2016/11/22	23.04419
Jiangyan	accep	120.14278	Asia/Shanghai	11/29/2015, 00:00:00	32.50611
Santa Cruz de Barahona	accep	-71.10077	America/Santo_Domingo	08/16/2017, 00:00:00	18.20854
Ngemplak	good	110.71639	Asia/Jakarta	17 Jun 2015	-7.54972
Walton-on-the-Naze	average	1.26738	Europe/London	21 May 2022	51.84819
Carlos Barbosa	excellent	-51.50361	America/Sao_Paulo	2020/03/29	-29.2975
Roseto degli Abruzzi	good	14.01481	Europe/Rome	2018/06/06	42.67164
Winsford	good	-2.52398	Europe/London	01/30/2019, 00:00:00	53.19146
Shaowu	excellent	117.4831	Asia/Shanghai	07/13/2017, 00:00:00	27.34089
Kearns	good	-111.99633	America/Denver	08 Jun 2022	40.65995
Jinotepe	good	-86.19903	America/Managua	16 Feb 2017	11.84962
Okahandja	excellent	16.91667	Africa/Windhoek	01/04/2015, 00:00:00	-21.98333
Memmingen	good	10.18527	Europe/Berlin	2017/02/06	47.98372
Sunnyside	good	-120.00865	America/Los_Angeles	06/10/2021, 00:00:00	46.32374
Poulton-le-Fylde	excellent	-2.98333	Europe/London	2017/09/14	53.83333
Beni	good	29.47306	Africa/Lubumbashi	2017-04-07	0.49113
Markham	excellent	-79.2663	America/Toronto	2022/05/05	43.86682
Simpang	accep	104.09701	Asia/Jakarta	10/23/2016, 00:00:00	-1.26424
Bogoroditsk	average	38.12408	Europe/Moscow	2022/08/18	53.77166
Wevelgem	accep	3.16667	Europe/Brussels	22 Jun 2013	50.8
Sangla Hill	good	73.38333	Asia/Karachi	12/05/2014, 00:00:00	31.71667
Al Jubayl	good	49.62251	Asia/Riyadh	2015-05-02	27.0174
Antipolo	average	121.12251	Asia/Manila	07/01/2016, 00:00:00	14.62578
Lompoc	excellent	-120.45794	America/Los_Angeles	2018-11-28	34.63915
Rolla	building	-91.77127	America/Chicago	2020/11/26	37.95143
Same	excellent	37.73333	Africa/Dar_es_Salaam	2019/10/19	-4.06667
San Juan	average	-98.15529	America/Chicago	2017-05-07	26.18924
Hongseong	accep	126.665	Asia/Seoul	12/14/2016, 00:00:00	36.6009
Masbate	accep	123.62494	Asia/Manila	23 Sep 2015	12.37169
Xinzhou	good	112.73333	Asia/Shanghai	2021-10-25	38.40917
Nonoichi	average	136.61667	Asia/Tokyo	05/23/2021, 00:00:00	36.53333
Pingyi	excellent	117.63083	Asia/Shanghai	2013-02-16	35.50056
Charlottetown	accep	-63.13414	America/Halifax	04/20/2018, 00:00:00	46.23899
Culemborg	excellent	5.22778	Europe/Amsterdam	2020/03/05	51.955
Malaut	excellent	74.4818	Asia/Kolkata	2015/07/19	30.21121
Veracruz	excellent	-79.62603	America/Panama	2019/05/13	8.88988
Kherson	accep	32.6178	Europe/Kiev	2014-08-16	46.65581
Rixensart	excellent	4.52529	Europe/Brussels	04/07/2022, 00:00:00	50.71229
Kashipur	average	78.95693	Asia/Kolkata	2016-12-17	29.21399
Rhosllanerchrugog	average	-3.05814	Europe/London	01/19/2018, 00:00:00	53.00974
Naro-Fominsk	accep	36.73307	Europe/Moscow	12 Mar 2020	55.38752
Clacton-on-Sea	accep	1.15597	Europe/London	05/25/2021, 00:00:00	51.78967
Okahandja	excellent	16.91667	Africa/Windhoek	14 Nov 2014	-21.98333
Ueno-ebisumachi	good	136.13108	Asia/Tokyo	25 Oct 2017	34.75856
Ar Ruseris	excellent	34.3869	Africa/Khartoum	2020/06/27	11.8659
Chapletown	good	-1.47217	Europe/London	15 Jan 2013	53.46506
Curitiba	good	-49.27306	America/Sao_Paulo	23 May 2018	-25.42778
Brenham	accep	-96.39774	America/Chicago	2014/04/14	30.16688
Isfahan	accep	51.67462	Asia/Tehran	30 May 2015	32.65246
Poulton-le-Fylde	accep	-2.98333	Europe/London	06/16/2015, 00:00:00	53.83333
Ken Caryl	good	-105.11221	America/Denver	06/24/2014, 00:00:00	39.57582
Scottsdale	average	-111.89903	America/Phoenix	20 Feb 2015	33.50921
Odessa	good	-102.36764	America/Chicago	29 Oct 2021	31.84568
Shepetivka	average	27.06365	Europe/Kiev	2017/10/25	50.18545
Baza	average	-2.77259	Europe/Madrid	11/25/2021, 00:00:00	37.49073
Mardin	average	40.74357	Europe/Istanbul	13 Jun 2020	37.31309
Lagarto	excellent	-37.65	America/Maceio	2022/04/16	-10.91722
Boumerdas	average	3.47717	Africa/Algiers	2018/07/03	36.76639
Hungund	building	76.0586	Asia/Kolkata	06/27/2020, 00:00:00	16.06213
Mianwali	accep	71.52847	Asia/Karachi	01/10/2020, 00:00:00	32.57756
Valletta	building	14.51472	Europe/Malta	2015/05/14	35.89972
Recodo	accep	121.96361	Asia/Manila	2013/02/18	6.95194
Liaoyang	building	123.17306	Asia/Shanghai	2016-01-16	41.27194
Yakuplu	maintenance	28.67582	Europe/Istanbul	02/24/2014, 00:00:00	40.98894
Canton	average	-83.48216	America/Detroit	09/23/2013, 00:00:00	42.30865
Hlohovec	good	17.8031	Europe/Bratislava	10/26/2012, 00:00:00	48.43174
Ada	accep	-96.67834	America/Chicago	23 Nov 2021	34.77453
Licheng	accep	113.82465	Asia/Shanghai	22 Mar 2013	23.29549
Dax	accep	-1.05366	Europe/Paris	26 Sep 2015	43.71032
Jashpurnagar	accep	84.13864	Asia/Kolkata	2016-05-24	22.88783
Magong	excellent	119.58627	Asia/Taipei	2014/05/03	23.5654
Vienne	accep	4.86667	Europe/Paris	03/24/2022, 00:00:00	45.51667
Hakodate	accep	140.73667	Asia/Tokyo	2020/05/29	41.77583
Tudela	building	-1.60452	Europe/Madrid	01/23/2013, 00:00:00	42.06166
Namerikawa	accep	137.36215	Asia/Tokyo	17 Nov 2020	36.75965
Kireyevsk	accep	37.92792	Europe/Moscow	2022-07-13	53.93361
Chillum	excellent	-76.99081	America/New_York	03/08/2021, 00:00:00	38.96372
Barpeta	accep	91.00632	Asia/Kolkata	2020-05-26	26.32293
Barbil	excellent	85.37752	Asia/Kolkata	2022-04-25	22.10194
Bhuban	average	85.83334	Asia/Kolkata	10 Aug 2015	20.88197
Mouscron	building	3.20639	Europe/Brussels	03/20/2015, 00:00:00	50.74497
Stupino	maintenance	38.07083	Europe/Moscow	2012-10-21	54.90083
Artur Nogueira	good	-47.1725	America/Sao_Paulo	2022/08/25	-22.57306
Efon-Alaaye	maintenance	4.92235	Africa/Lagos	02/06/2015, 00:00:00	7.65649
Recodo	accep	121.96361	Asia/Manila	2018/08/29	6.95194
Denderleeuw	maintenance	4.07601	Europe/Brussels	2021/09/02	50.88506
Cardedeu	accep	2.35739	Europe/Madrid	2015-03-19	41.63976
Zeitz	maintenance	12.1369	Europe/Berlin	2016-07-10	51.04962
Canton	good	-83.48216	America/Detroit	12/05/2018, 00:00:00	42.30865
