latitude	H2CO	C2H3NO5	longitude	PRES	CH4	PM10	PM2.5	CO	TEMP	NOx	PAHs	CFCs	warning	O3	SO2	NH3	Pb
43.41949	70.30547	0.15217	77.0202	1084.29386	9.98272	7.88679	7.50455	8.41947	11.12818	5.94933	9.58704	35.27705	0.00000	8.11938	7.01354	6.89838	57.19646
36.76639	46.78539	0.11771	3.47717	1159.52013	7.31325	7.06416	8.63857	7.16014	18.14303	7.15749	9.29667	41.27960	1.00000	7.36724	9.06824	8.89544	62.15211
6.84019	47.62168	0.04258	79.87116	1130.64501	7.36525	5.84672	7.73612	6.42093	5.12811	4.13652	7.85759	36.52945	0.00000	7.90817	5.43320	4.26408	40.58751
47.98372	48.02886	0.44877	10.18527	1188.36266	8.06774	9.23312	6.76964	10.98696	12.25815	7.49436	6.88008	62.18905	0.00000	7.68208	8.02144	8.16959	54.77815
15.45144	81.14927	0.17804	78.14797	1122.16447	8.33823	7.54057	6.66091	9.88120	8.30172	4.74329	7.16379	66.08189	0.00000	7.63136	4.04648	6.28013	48.93747
50.11861	53.49141	0.07692	-5.53715	1054.42896	8.10706	5.68235	6.36821	7.63604	16.69969	7.28607	6.41838	49.80574	1.00000	8.39948	9.66560	4.47101	41.91300
38.37255	47.20704	0.06268	34.02537	1184.65882	7.14600	3.66816	9.14028	5.38384	24.06501	8.38018	9.64766	54.14871	1.00000	8.54972	9.53049	9.63832	60.84487
5.20856	42.33122	0.15797	-74.73584	1127.44666	6.97845	7.96669	6.70200	8.68965	24.12821	7.16768	9.68228	60.57641	0.00000	7.06548	6.57680	5.77921	51.63047
50.80019	40.99973	0.39396	7.20769	1158.29619	5.24826	9.03061	5.43042	7.67245	23.05867	4.80083	5.65207	72.82324	1.00000	8.50356	7.71398	9.25363	61.26125
29.53885	48.80615	0.10254	-95.44744	1153.32894	6.15246	6.71185	6.77158	10.95036	33.33938	6.62057	4.11551	54.68733	0.00000	8.33697	8.72262	6.70799	84.92093
23.04419	61.86491	4.82944	-82.00919	1196.78545	6.93201	11.68758	8.99204		4.27186	7.05258	7.47911	57.64035	1.00000	6.77391	8.70295	7.83830	47.39535
42.28639	43.25419	0.03074	18.84	1067.22586	7.56037	5.02289	9.57520	7.24654	4.55897	7.78730	7.88380	27.68801	1.00000	7.83979	9.30522	6.57276	48.36036
-33.75881	25.42172	2.99709	150.99292	1184.67485	8.66719	11.21877	8.81487	8.39420	17.22946	4.88377	9.77403	87.92954	0.00000	9.48242	4.70172	5.77399	29.72003
-23.85972	32.65906	0.09873	35.34722	1112.02580	8.40492	6.55012	9.01652	7.91700	-0.54676	4.55694	8.89108	45.89352	1.00000	7.56304	7.28618	8.15697	53.70457
53.93361	53.19463	0.11669	37.92792	1114.29655	7.19503	6.00898	8.45710	7.30072	1.86151	6.35829	6.12028	45.29083	1.00000	8.71923	8.94361	5.44322	63.28416
25.92127	50.01045	0.08055	86.79271	1176.12264	8.17821	6.98330		8.49520	23.82714	7.06749	8.81365	66.89961	0.00000	6.38918	6.72616	6.11641	69.67501
48.15659	50.55213	0.07184	28.28489	1139.90668	7.84804	6.72984	9.36961	6.75621	15.81685	4.73891	8.41163	74.95362	1.00000	8.36738	6.29034	6.47220	38.99731
-7.51611	60.18062	0.03604	109.05389	1191.44561	8.18967	5.88076	8.49585	8.61913	31.12977	8.28909	9.34288	61.39855	0.00000	7.85722	7.39542	6.75467	53.60400
43.86682	30.73249	0.27645	-79.2663	1147.23396	7.11559	8.61890	8.70921	8.11025	0.17736	5.44117	7.72815	63.55526	1.00000		6.60902	7.90760	50.88574
65.84811	30.83380	0.16773	24.14662	1115.67198	6.54954	7.68273	8.48671	6.74150	9.08398	5.60234	6.78874	50.68259	1.00000	6.74089	8.32005	7.51988	59.59484
42.4251	35.16386	0.91542	-71.06616	1110.55543	8.39174	9.96405	9.08521	11.75502	11.19646	9.44244	7.93105	52.73507	0.00000	8.49427	7.93222	7.91816	60.92248
57.97472	38.04779	0.05310	33.2525	1050.46111	7.38981	5.99055	8.09699	6.74791	24.45207	6.49647	5.77541	47.70042	1.00000	6.25851	9.31943	5.24108	63.46532
-10.91111	43.80867	0.68303	-37.07167	1074.00025	7.31516	9.60360	6.67529	6.23043	-6.90412	6.41451	8.34015	18.50662	1.00000	7.47712	7.29210	6.70255	46.59790
5.90702	43.26338	0.07738	116.10146	1103.40900	6.78323	7.35999	6.20689	8.96633	12.90300	2.75985	5.83899	45.39640	0.00000	8.30219	5.41319	8.20886	35.47351
50.80904	67.85798	17.22784	8.77069	1110.83163	7.64150	12.97197	7.70810	8.43776	9.69713	2.60101	9.48509	57.50310	1.00000	6.22324	4.68681	5.87978	27.57093
35.72917	53.64728	0.96481	10.58082	1065.28102	7.83360	10.01878	8.20542	8.61554	5.73867	4.46600	7.92559	48.00398	0.00000	7.58268	5.52584	5.10283	36.04286
-11.94306	49.98542	0.18205	-76.70944	1057.84449	7.36289	8.10913	7.29605	9.81829	-5.18618	8.21258	4.24479	51.92606	0.00000	8.74277	8.20356	7.83041	43.18918
33.98154	47.99080	1.26375	-81.23621	1154.16024	6.69508	10.32022	8.29290	5.57883	-2.17128	7.26187	11.06977	62.46438	1.00000	6.70804	11.89340	6.12630	46.08453
-6.8048	63.58730	0.10870	110.8405	1154.95513	7.33792	7.56087	8.50498	4.97125	8.24224	7.76485	9.38503	58.10259	1.00000	8.38895	9.39595	7.37832	60.32768
55.85	49.81443	1.21312	37.56667	1126.21554	8.19489	10.26327	6.02558	4.91830	6.79287	8.28127	10.87489	63.34566	1.00000	5.89604	10.17177	5.55032	30.80307
39.08367	60.26904	0.11267	-84.50855	1126.28777	6.58904	7.20153	7.73151	10.14005	7.47438	5.75341	5.72027	51.18440	1.00000	8.10260	6.49705	7.11557	62.37280
53.00974	45.45909	0.46209	-3.05814	1197.70059	6.74968	9.25410	7.77484	7.24504	7.03204	5.95412	8.38242	49.88611	1.00000	5.79077	7.91225	8.40336	63.08987
41.0051	34.34930	0.10965	-73.78458	1056.61152	7.51859	7.13819	7.79802	6.48620	5.55035	6.53869	7.10481	48.48344	1.00000	6.35937	8.87853	7.33613	53.44361
54.8421	63.74595	0.14322	46.5813	1149.88950	8.61752	7.65892	7.65105	5.06466	17.23362	7.41906	8.40787	49.01743	1.00000	7.31431	9.72078	6.79571	51.68300
50.64336	35.92425	0.10567	7.2278	1139.23972	9.07772	6.72645	8.64709	5.13757	22.12445	5.56793	9.40270	46.91755	1.00000	8.00696	8.26858	5.80933	45.24756
19.21667	54.21112	0.55045	73.08333	1180.37008	7.31923	9.46921	9.00124	7.24458	6.22592	5.61855	9.45554	45.03575	1.00000	7.26371	8.88850	5.66432	51.78984
15.72892	21.41172	0.13296	120.57224	1151.54399	8.06140	7.36490	8.65888	7.76074	16.62976	6.21468	8.61394	64.83725	0.00000	8.48596	5.42482	3.10084	43.93257
27.52948	61.03966	0.56279	68.75915	1055.89481	7.38661	9.42912	7.48378	5.05633	27.79966	5.53575	4.40263	31.85126	1.00000	7.81900	9.00106	5.50862	54.71518
41.85059	48.59998	0.05439	-87.882	1085.75061	7.71861	5.87698	8.05696	8.64352	3.62965	3.51038	8.16709	42.96898	1.00000	9.56322	8.04213	7.81722	32.17370
55.1904	36.55297	0.52714	30.2049	1169.91248	8.04043	9.31024	7.82978	9.45101	22.89437	9.56510	6.91045	66.95800	1.00000	6.37520	5.87002	7.62351	54.91491
-6.8048	42.81576	0.54197	110.8405	1104.25258	8.57728	9.41238	8.59160	8.92111	8.12708	5.96159	8.54791	50.11718	0.00000	6.90567	5.93658	6.26626	42.32426
42.7	43.10948	0.06889	27.25	1058.57802	8.62428	6.84549	6.88386	5.42347	18.26307	7.46249	9.69900	68.59262	1.00000	9.75128	7.93833	6.35698	34.42307
42.16808	28.60511	0.49049	-88.42814	1118.93556	7.17714	9.22178	7.14862	5.12959	10.96951	6.06337	7.33421	61.21549	1.00000	7.45117	7.07832	5.09721	33.01156
37.95143	20.11996	1.52921	-91.77127	1188.41421	8.03989	10.50656	8.98887	9.81831	23.56144	4.23061	7.29446	50.74996	0.00000	8.92273	7.27760	9.51098	62.91504
37.05944	42.75176	0.09598	37.3825	1155.31888	6.87050	6.76072	6.31162	9.11984	5.81692	6.48932	5.06676	63.43720	0.00000	7.85874	7.55949	9.16031	70.69246
40.56754	31.93623	0.25764	-89.64066	1066.47423	7.49175	8.47974	7.56343	7.52258	10.06595	7.13041	5.77742	53.09318	1.00000	9.76827	8.53074	3.95382	53.84067
34.25628	43.82326	2.65289	-78.04471	1168.62324	5.98659	11.08851	7.86401	9.30938	9.66767	8.41330	6.95620	61.08929	0.00000	7.06212	5.33724	6.81896	51.88337
51.21187	46.17893	0.22105	4.25633	1190.07568	7.58011	8.19249	8.86359	7.65174	21.21270		8.13420	62.67584	1.00000	7.82104	7.07481	6.70387	46.95549
44.92934	42.05945	14.14785	37.99117	1139.21529	7.66163	12.77303	6.69288	13.03654	26.70621	8.34915	7.46617	34.36566	0.00000	8.36137	8.33579	9.39560	42.33032
51.78967	65.92592	0.82798	1.15597	1116.21785	9.02892	9.89638	7.91058	8.16083	28.93089	5.58240	6.65120	47.54183	0.00000	7.78419	6.01713	9.96811	44.07311
27.52948	54.58883	0.07687	68.75915	1193.16188	7.97645	5.84091	5.46219	8.55149	24.87440	6.48324	5.68447	53.04746	1.00000	7.42969	8.55903	3.98180	53.88063
57.14369	50.31221	0.11075	-2.09814	1121.14021	6.92072	7.39328	7.47654	8.60757	18.25916	6.48193	5.09877	48.67248	0.00000	8.29398	9.00262	11.66583	42.21783
33.50921	54.69981	0.07595	-111.89903	1081.26876	8.41250	6.65076	7.09921	7.27544	19.17953	5.68519	9.62106	56.84236	1.00000	8.24177	10.02547	7.73926	39.96445
45.99194	48.24095	0.11291	29.41824	1157.95058	5.91249	6.05657	8.42222	8.30924	20.21520	6.85489	5.55227	62.93719	1.00000	6.33017	9.76261	3.39554	31.14175
37.73604	49.68569	0.16116	-120.93549	1189.88683	7.33626	7.93670	8.26030	5.46403	6.15318	5.56548	6.48747	68.16486	1.00000	7.64879	7.26513	8.42761	45.26685
18.20854	85.63469	0.06377	-71.10077	1161.11740	8.05196	4.34672	7.12462	6.58636	10.42777	7.16153	6.98323	62.26107	1.00000	7.73309		6.06686	55.81789
36.82167	36.10785	0.27970	128.63083	1146.69416	9.47543	8.72693	8.32289	6.79440	13.22219	7.41708	9.10230	48.54529	1.00000	7.30349	9.69585	7.93495	31.92505
50.72043	51.00387	0.05115	11.34046	1147.39160	6.25281	5.06089	6.05932	8.30901	2.16650	6.07871	6.71623	68.43510	0.00000	7.19416	7.77488	7.95509	45.72414
40.42386	67.09987	0.11723	-3.53261	1106.73297	7.32340	7.68604	8.47668	6.23598	39.22639	5.11576	9.21319	33.25861	1.00000	8.47495	8.87200	6.13267	49.65109
11.85	49.39267	0.44691	38.01667	1090.19195	7.73801	9.19038	8.32431	6.58493	26.54128	6.68188	8.41749	75.79551	1.00000	7.50753	8.74839	6.06601	30.18103
37.16911	54.72548	0.11303	10.03478	1146.47057	7.82728	7.41790	8.87381	7.59489	17.63681	5.04230	9.17856	83.73186	1.00000	8.09563	9.71610	7.55516	63.86740
9.57046	48.20502	5.11183	76.32756	1122.45730	8.61117	11.74694	7.01369	5.32614	10.14235	8.30899	10.10704	83.29078	1.00000	8.38739	10.72748	5.39803	27.56799
-4.06667	74.79950	0.22115	37.73333	1143.68412	9.98471	8.47739	7.52515	8.42593	20.98948	6.70013	9.92058	68.60820	0.00000	6.89998	6.05763	4.84479	19.86973
59.33333	49.85066	0.32142	18.28333	1166.73533	7.50411	8.82483	7.00788	8.40587	24.72009	5.49218	8.39742	56.37848	0.00000	8.40244	5.75397	5.64669	50.22644
35.89972	66.51322	0.20285	14.51472	1102.07556	6.59435	8.38467	6.77852	5.36226	19.06400	6.38555	9.95004	55.95954	1.00000	7.24891	8.61645	6.75126	49.39456
22.49396	63.60324	0.89637	-105.36369	1141.38979	7.71372	9.96224	8.13780	6.02593	23.36769	6.49303	9.09932	78.28659	1.00000	6.40130	8.55153	5.17647	54.81425
10.15031	57.59561	0.27574	-73.9614	1142.78065	9.06997	8.67513	6.05899	5.67541	18.73652	5.36840	10.47532	43.17127	1.00000	7.54885	8.63662	4.39825	40.31948
3.7278	41.21341	0.91494	98.6738	1129.52051	7.49667	9.94478	8.25545	6.65221	10.35641	4.35222	6.62783	33.97524	1.00000	8.43747	5.83085	5.57091	54.84519
36.82167	49.61250	0.22991	128.63083	1112.92821	8.82292	8.57958	8.01872	11.58142	26.10644	9.22993	7.17072	61.19345	0.00000	6.63848	8.64817	8.47405	57.26666
12.25282	66.68831	0.04204	79.41727	1056.89292	7.39779	5.22134	7.89293	5.16415	27.08941	6.72039	6.13444	60.24163	1.00000	8.24511	9.15878	6.63536	54.45924
40.37528	60.83094	0.07887	28.88222	1055.89282	8.02256	6.40136	5.89538	5.80203	6.08104	3.95701	4.13265	60.32049	1.00000	7.76272	9.74063	6.14035	48.21249
36.02506	51.72309	0.10936	-86.77917	1162.28115	7.51167	6.36802	7.84764	5.84857	5.36870	4.60144	3.85435	71.42259	1.00000	8.95236	8.72511	5.19454	34.18986
22.37066	78.11293	2.57616	114.10479	1060.23077	7.90833	11.05255	7.68339	4.80398	16.70343	6.81101	10.39446	70.42119	1.00000	8.16920	7.83488	2.60813	50.93561
10.12268	59.58823	0.06749	77.54372	1190.62473	8.20264	5.95326	9.39552	5.31707	28.70615	6.53364	5.14497	58.79986	1.00000	7.94455	8.77837	5.47157	29.61163
54.90083	44.38286	13.43809	38.07083	1151.22237	8.93568	12.71957	10.86366	11.31250	22.61976	6.70681	9.06445	43.21099	0.00000	8.26389	7.16603	7.47480	33.49312
-25.42778	61.16366	0.83045	-49.27306	1113.73853	6.44783	9.88196	8.56321	9.94666	12.22718	5.66575	7.59606	47.72970	0.00000	6.48241	7.20351	8.98445	51.89730
41.85059	50.62564	0.24722	-87.882	1051.01890	8.10583	8.35691	6.73438	6.59985	6.76315	6.55258	8.90442	52.91004	1.00000	7.82995	8.33604	5.41988	54.92162
36.06386	55.97503	3.38766	4.62744	1167.07585	6.35337	11.32489	7.95371	6.59410	8.60442	6.98230	7.07229	63.19106	1.00000	7.75495	10.05281	7.38884	42.12914
51.65	41.05989	0.10214	-0.2	1174.44006	7.85102	4.74749	7.87550	7.03432	0.50882	7.78135	7.78277	50.23455	1.00000	5.53455	8.07782	6.72931	51.18196
-22.9	42.98382	0.09050	44.53333	1108.94910	5.39572	4.49738	8.39279	4.63660	13.88657	8.05424	7.21112	48.82785	1.00000	6.76492	9.32884	7.13603	68.88180
36.65	71.37735	0.19866	138.31667	1180.87919	6.76093	8.07615	7.32003	7.84752	12.02581	5.14360	3.99192	59.53557	0.00000	7.71639	7.30357	10.16064	58.17613
39.08367	52.72975	0.65478	-84.50855	1074.82909	8.37642	9.62134	6.65697	8.30284	14.85533	4.69040	5.70346	37.99255	1.00000	5.50412	7.60531	8.55335	72.14972
-1.26753	46.09521	0.21779	116.82887	1057.98305	7.42047	7.98072	7.25242	8.37539	10.23377	5.94864	8.53746	42.16755	1.00000	7.53637	8.72152	7.04468	47.89955
58.63667	61.94464	0.09858	59.80222	1143.72927	7.92456	6.74891	7.94618	6.87027	2.03892	6.30382	10.19166	53.84740	0.00000	7.63214	5.12227	3.69526	73.67484
35.25064	49.48015	0.05808	-91.73625	1077.22747	8.15881	5.28450	9.10995	6.55099	-0.29377	6.28588	7.06222	64.28323	1.00000	7.46716	8.73010	7.37309	68.13944
50.80904	49.69099	0.07813	8.77069	1190.03678	6.56264	5.74392	7.14276	6.28143	17.90979	6.36715	6.03773	56.03121	1.00000	7.66590	9.96306	5.86937	34.17991
40.68066	39.93674	0.11908	-73.47429	1144.52199	6.81976	7.20241	7.76364	7.10487	9.56482	4.67020	5.23387	51.64925	1.00000	7.75290	7.79192	6.12282	54.36619
6.45407	35.68842	0.03765	3.39467	1109.15995	6.91945	5.01631	7.87912	9.86642	14.58925	4.64796	5.03246	58.09471	0.00000	8.07351	7.01207	8.37756	60.54525
40.60538	39.18765	0.66821	-73.75513	1131.89258	7.81447	9.65003	8.15622	6.31842	-9.03272	6.72695	8.66567	57.11895	1.00000	9.29222		5.57119	46.95563
39.57582	42.26299	0.89464	-105.11221	1117.85833	7.52010	9.94622	7.14819	9.18890	6.20499	5.16261	7.72503	51.94049	0.00000	8.03341	6.08478	6.56875	45.09510
-31.25033	64.54116	0.06859	-61.4867	1080.61212	5.86360	3.62422	8.96352	5.20220	7.58597	5.43536	5.86471	51.08614	1.00000	7.09691	7.59469	7.96296	30.70912
19.32932	43.26577	2.28852	-98.1664	1168.35274	7.44636	10.93566	6.30454	8.54689	20.03243	6.27472	6.65386	41.72402	0.00000	6.23352	8.09597	10.82143	51.85660
-33.75881	59.53411	0.20569	150.99292	1181.45278	6.72472	8.12114	7.55359	8.80230	31.82242	5.53983	6.95096	45.81626	1.00000	5.86443	7.80114	8.15555	64.23341
41.72063	78.15651	1.73373	12.6723	1155.46278	7.46644	10.62192	6.35434	7.60445	9.02682	5.34577	6.58580	50.17407	0.00000	5.82164	6.25832	10.87155	50.55256
45.43341	60.69824	0.02753	-73.86586	1152.09209	10.07813	4.53790	7.82285	5.40356	22.58392	8.13254	9.21902	67.48892	1.00000	8.33012	9.69408	9.10887	54.32078
33.14447	58.93012	1.06691	47.3799	1156.65334	6.74394	10.13167	7.04768	11.79560	10.67417	6.50786	5.48047	54.94976	0.00000	7.66908	8.69986	9.11463	53.48353
33.45122	52.88469	0.04596	-86.99666	1184.21534	6.53585	6.12602	6.23489	7.72468	38.34521	6.26146	7.78745	68.96474	1.00000	5.51899	9.08971	7.34625	42.52500
29.65163	47.84150	12.77003	-82.32483	1136.69722	7.74385	12.67165	7.19687	7.68427	25.11924	6.89279	7.20960	59.92650	1.00000	6.98210	9.21416	6.94597	37.95135
37.65639	45.11357	2.14035	126.835	1131.97223	8.19765	10.86384	9.87183	9.16512	15.76086	7.10273	7.68703	69.56991	0.00000	5.69014	3.44556	5.91729	69.29408
6.84019	79.89483	0.08098	79.87116	1118.05334	7.13005	4.54322	7.95428	10.65251	10.29061	7.18305	6.08635	55.64264	1.00000	8.24437	9.74445	2.30707	49.15887
59.33333	55.79644	0.08858	18.28333	1155.86957	6.69868	6.78023	7.80351	5.13755	11.36545	5.91584	5.80820	45.82025	1.00000	5.75126	9.25958	6.93123	47.05609
51.67822	81.23704	0.07906	33.9162	1145.25421	6.93159	5.83307	7.14963	7.89221	15.70256	5.19612	4.22571	44.55344	1.00000	7.28218	10.17232	3.38869	57.91971
38.96372	63.15710	0.09022	-76.99081	1123.36311	8.56449	6.46739	7.30779	5.33702	17.50671	4.77399	4.18853	54.95387	1.00000	8.04230	11.07574	5.40194	68.47114
10.66668	55.94714	0.06265	-61.51889	1059.98854	7.81717	4.99061	8.22328	6.46469	10.48320	7.83407	6.36255	50.83122	1.00000	7.14171	9.35162	4.97817	48.05975
41.92361	57.69727	0.86613	20.91361	1101.30027	7.61721	9.87482	6.50290	4.30584	23.23690	7.69204	9.80161	63.24652	1.00000	7.52481	10.47136	6.26601	41.52268
8.79577	45.59481	0.43700	-75.69947	1123.95831	6.89862	9.17615	7.47462	8.87822	26.35018	6.58606	9.48892	52.95996	0.00000	8.52596	6.15110	6.91633	33.23709
11.93381	57.05541	0.99512	79.82979	1173.49346	8.87041	10.05651	8.06032	5.57734	1.40690	5.51981	8.17986	63.84637	1.00000	8.55549	7.26150	4.22287	39.67107
47.98372	73.97929	9.99199	10.18527	1151.24872	8.87580	12.42585	8.20277	10.68645	14.73564	7.07305	9.79760	46.53603	0.00000	8.12972	6.36325	6.83922	31.36805
27.34089	55.91678	1.87045	117.4831	1079.38293	7.36036	10.71209	8.47545	6.22652	12.00583	7.13902	9.72813	46.37129	1.00000	7.43202	10.16871	5.30660	54.59488
51.39148	44.75748	2.17437	-0.29825	1083.91276	7.96257	10.87138	7.78921	9.73928	4.38450	8.85289	8.12388	50.06922	0.00000	6.54509	5.85190	8.01171	45.47696
51.78771	45.95150	0.28219	56.36091	1101.82736	8.17998	8.66881	8.86337	6.55687	11.64966	6.37113	11.81107	72.62199	0.00000	8.78160	3.53635	1.86765	58.12620
33.78333	44.22208	0.82101	114.51667	1072.94370	6.66780	9.86921	8.59528	6.64218	19.39188	6.19236	8.74038	49.89440	1.00000	8.45047	7.86421	5.75895	44.72070
54.48147	90.84675	0.16721	53.47103	1075.17508	6.62295	7.68918	8.13889	5.54698	28.93143	7.84916	10.57844	50.36751	1.00000	7.85279	10.17282	7.20489	51.77398
40.42386	55.87888	0.15334	-3.53261	1060.86836	9.51806	7.59051	8.12688	9.47363	6.81729	5.21555	8.20443	56.21411	1.00000	6.06393	8.74148	9.44472	69.45708
-25.54073	67.03673	0.20927	152.70493	1172.17946	7.64069	8.38047	5.96686	6.40787	24.23364	4.20692	10.73596	58.91959	0.00000	7.06875	4.60278	5.25738	58.98286
41.57721	69.47582	0.19624	-93.71133	1074.59302	8.55729	7.87860	6.89786	6.55445	-2.55968	4.89743	7.53873	45.39741	1.00000	8.49505	7.72582	7.21155	62.47923
27.76056	71.37522	0.17664	-15.58602	1144.37402	8.81527	7.92555	6.57493	7.46864	17.31737	5.22248	3.22797	54.58536	0.00000	7.48933	9.62279	12.68545	48.87907
-28.24	36.19158	1.06247	-48.67028	1105.93157	6.98420	10.13905	9.17139	9.50009	23.80113	7.84289	9.43129	27.47157	0.00000	7.78766	4.06601	7.84080	67.46084
34.63915	73.27872	0.05523	-120.45794	1191.96214	8.36451	6.41779	7.90932	7.10061	2.91025	5.49475	6.27652	56.13275	1.00000	8.32525	9.15216	6.58575	35.04341
16.06213	51.94207	0.17560	76.0586	1119.92023	9.31943	8.28299	7.88632	9.14347	20.66822	6.48100	7.35993	63.63899	0.00000	7.10013	6.36179	6.06824	60.85224
45.4473	73.97925	0.17148	-73.75335	1084.18988	8.95969	8.01272	7.58765	7.56945	12.07004	4.52661	7.69418	53.38780	1.00000	8.00040	7.87217	7.45432	55.71023
35.61452	50.06007	0.18064	-88.81395	1070.80478	7.45262	7.38283	8.27780	5.74813	12.98555	5.70518	5.18713	28.89458	1.00000	7.03383	10.05576	5.81785	29.55228
10.66668	59.76526	0.74632	-61.51889	1131.82416	8.43158	9.77437	9.14991	4.78926	11.89855	6.93466	8.80047	33.48630	1.00000	7.75264	7.29006	4.65972	65.07090
53.78333	46.40478	0.59178	-1.06667	1172.73329	10.08644	9.49432	6.87864	6.38939	37.08722	6.57464	9.14123	33.10940	1.00000	8.03015	9.20765	6.07726	72.38151
37.58105	14.42783	2.76712	29.26639	1098.35798	7.30112	11.13580	7.21279	4.44510	11.78969	6.32846	9.03680	42.48504	1.00000	8.20161	8.62142	4.23782	39.63052
48.07667	46.24587	0.05407	8.64409	1107.00250	8.05350	5.51401	7.24725	7.73040	14.75188	6.68732	5.01118	70.86566	1.00000	7.86711	9.51579	3.13270	65.56762
43.54072	41.35031	0.09633	-116.56346	1141.75135	6.73474	7.37440	7.51940	4.82345	15.51966	4.75314	4.72810	70.07487	1.00000	8.12870	8.04519	7.06507	52.00885
49.28669	31.60668	0.07368	1.00288	1112.59846	7.69466	3.33823	8.83142	6.28257	29.91154	7.03828	6.69549	50.59412	1.00000	8.08242	9.94056	6.28951	51.89592
-27.4338	55.93398	0.05461	-65.61427	1093.00338	7.31235	5.79254	8.13155	4.58001	18.84647	6.93924	6.83190	63.22639	1.00000	8.28378	8.12867	8.00573	55.32979
0.49113	55.20886	8.45260	29.47306	1198.78763	6.76541	12.25427	8.12383	4.51945	39.50668	7.23664	9.50759	42.42884	1.00000	6.77824	9.47872	4.64535	62.53320
5.27247	59.53946	0.04953	-3.59625	1096.81143	7.44453	6.71678	8.43858	6.11036	13.71021	6.71083	5.75610	49.19307	1.00000	7.20066	9.20117	5.37759	63.41612
14.62072	48.47893	0.06005	74.83554	1168.71438	7.28914	6.46114	9.41964	5.05088	20.79075	4.96549	6.38932	49.24026	1.00000	8.65696	7.10870	9.20288	42.04699
51.78771	64.67615	0.09529	56.36091	1126.78781	7.96774	7.20720	8.92699	7.32698	25.80771	6.83157	7.50173	59.20319	1.00000	7.77583	7.85449	6.83547	63.28486
46.75451	41.71967	0.61557	33.34864	1067.72123	8.36749	9.51910	7.82610	10.75353	3.41870	8.21173	7.87161	76.75464	0.00000	7.32451	5.79666	5.98741	41.20038
46.75451	54.29354	1.20551	33.34864	1129.06340	8.88830	10.25419	6.81179	3.80609	7.18081	7.22681	9.95343	43.68141	1.00000	8.35555	9.64970	4.73053	50.85957
51.47805	41.78335	2.28671	6.8625	1071.38079	8.72515	10.93625	6.82362	7.80300	9.08407	6.52378	10.37069	46.12417	1.00000	9.41222	11.49665	6.60501	72.11799
0.46005	35.09657	0.08298	34.11169	1067.43931	8.68152	6.12560	7.15735	5.95985	9.89806	5.99006	4.77011	45.29736	1.00000	7.41927	9.08645	5.09699	68.19881
40.1675	67.06687	0.06115	34.37389	1121.22727	6.89635	6.76846	8.23580	10.73669	36.70112	7.78087	4.26293	65.98558	0.00000	6.62190	6.57786	4.82542	55.78181
40.82232	55.21211	6.65206	-74.15987	1110.46017	7.75421	12.01722	6.68722	8.24895	12.21814	8.15160	7.89263	50.77842	0.00000	9.41019	5.94409	10.08508	69.38889
10.15031	48.65059	0.09114	-73.9614	1195.09518	8.79865	4.25850	7.78502	7.68825	18.06789	6.22165	5.15159	48.38988	1.00000	8.50041	9.85273	4.11005	53.23811
13.48082	54.60807	0.05839	-86.58208	1100.39463	6.91221	5.35073	6.99507	6.85336	28.54105	7.62332	7.67035	23.45810	1.00000	6.20727	9.52385	6.40174	33.60311
