CH4	CFCs	Pb	PRES	C2H3NO5	PM2.5	warning	PAHs	NH3	longitude	CO	H2CO	PM10	TEMP	SO2	NOx	latitude	O3
7.94298	56.78212	20.44977	1097.88888	5.95046	9.87743	1.00000	6.76056	6.07952	9.29109	7.65165	31.08716	7.94634	7.95779	4.04375	7.39004	45.39402	8.33356
8.28966	30.38390	36.52078	1104.85248	5.62821	6.77257	0.00000	7.95112	6.63436	99.95469	9.19883	53.36643	8.01240	16.47823	9.43072	5.99749	13.51825	7.57178
7.15636	65.80657	68.47553	1111.79656		9.62573	1.00000	8.73802	6.63100	8.96317	11.80643	47.60786	8.10386	10.12728	4.77945	7.70507	48.35149	8.36861
7.98281	68.29990	28.88399	1067.91664	3.08711	8.62421	1.00000	5.63084	9.48558	78.95693	9.52018	33.35162	6.88214	10.35698	7.08810	9.60699	29.21399	7.54164
7.39620	40.34142	30.05641	1197.90502	3.75113	7.56334	0.00000	6.53622	7.53543	-44.31389	8.50050	54.38458	7.40029	30.05462	9.32284	6.49195	-19.7625	7.59207
8.39535	60.54729	41.74488	1194.30635	6.60479	8.69263	1.00000	6.38100	7.17370	-73.0515	7.05890	50.19623	8.32636	12.92818	5.97794	9.03172	41.55815	8.80226
7.82822	67.57286	49.49714	1089.80059	4.48979	6.88211	0.00000	6.66003	8.20756	-117.29198	9.38183	56.84361	7.64662		8.88540	5.72872	33.03699	6.78694
7.04255	47.64865	41.38898	1124.50265	2.92171	9.25012	1.00000	6.46667	6.80787	28.67582	10.05755	45.62353	6.71836	19.49593	6.48092	8.97553	40.98894	6.94397
7.79413	32.89438	40.00224	1092.38943	2.83428	8.69752	1.00000	6.48832	6.86188	-88.3162	6.43710	50.85665	6.60343	4.68024	6.20346	6.92540	42.24113	8.37860
7.43119	36.80174	34.03766	1052.83858	3.00864	8.14173	0.00000	4.63296	6.38336	-59.13316	8.69917	24.18124	6.98985	16.47028	10.11184	8.33600	-37.32167	4.14366
6.18561	26.99111	55.82863	1126.12182	5.59213	6.95977	0.00000	4.54591	8.13836	130.94098	4.62502	79.21418	7.92345	18.27741	8.50459	5.93182	33.3213	11.11070
7.79129	62.74772	59.82366	1081.51132	3.11020	8.04067	1.00000	4.62839	6.44591	6.74549	8.50994	32.01946	6.67075	-1.63967	8.19394	9.58412	49.5099	6.17366
8.35403	37.96019	7.58182	1077.87193	15.65210	7.74453	1.00000	4.41669	8.20144	135.31667	4.62653	41.94138	9.22201	8.12212	9.37106	6.82233	34.25	9.24767
6.33281	64.25923	23.02392	1170.74255	4.40354	8.95182	0.00000	5.30304	7.23133	-79.00453	8.76531	63.41477	7.29510	13.37774	8.25796	6.45668	-2.90055	8.75462
6.57493	41.74904	47.89343	1146.85032	6.60768	8.07636	1.00000	5.88950	5.93923	65.50917	7.20853	67.87988	8.18126	4.61848	8.09573	7.10971	44.85278	11.17590
8.44376	21.05782	45.94582	1100.03963	3.73265	8.99207	0.00000	6.88496	6.23463	-75.69947	10.12175	41.18121	7.08645	4.45455	8.76455	6.29419	8.79577	8.77204
7.39937	32.20123	50.78242	1175.50346	7.87380	7.07440	1.00000	4.30038	7.55267	117.33333	7.03953	51.88689	8.22782	16.32823	4.75556	9.52668	34.85	9.42483
6.56345	69.03678	25.22260	1091.96451	6.48815	9.46577	1.00000	5.98396	8.37342	130.94098	6.73711	58.74943	8.15704	12.13874	5.38470	6.33229	33.3213	9.04323
8.22578	52.61765	60.10099	1067.79332	2.74199	7.97422	0.00000	5.79978	7.43117	10.30215	6.35042	58.79679	6.82512	9.03603	9.45764	8.05280	53.94313	6.49087
7.85926	42.23114	44.70998	1100.17898	4.72915	8.55332	0.00000	7.00400	8.12108	5.37429	9.40022	45.38158	7.41669	13.31087	8.79575	6.11197	51.03427	9.09174
8.19451	41.60280	11.17260	1190.24112	1.66966	10.58028	0.00000	6.32668	7.00560	144.09638	9.95309	56.97058	7.08193	10.17464	6.67390	6.93235	43.82634	5.44679
5.70729	40.72195	64.27736	1083.96869	10.74770	9.35474	1.00000	7.23265	7.24833	-73.02841	11.66611	54.04124	8.76403	-6.66495	4.90941	9.52016	-36.9256	7.68791
7.05943	66.68198	42.96744	1120.89041	2.73871	8.49961	1.00000	6.15830	6.64887	136.13108	8.89749	55.00244	6.98304	18.00172	4.89978	8.74231	34.75856	8.66833
6.98502	39.91651	46.54218	1170.35390	3.36059	6.48315	0.00000	6.08215	8.46343	-82.32483	9.86636	37.42759	7.29202	17.24010	7.78431	5.30472	29.65163	5.39176
7.68828	35.90054	59.54635	1106.15890	1.51522	10.07303	1.00000	2.98146	7.53570	20.91361	8.59285	52.69335	6.45748	10.74502	5.11272	7.70651	41.92361	7.14930
6.97793	62.95810	39.33307	1141.29868	8.23580	7.73982	0.00000	3.89078	8.53484	6.26667	8.93547	64.39561	8.46270	14.23950	7.34794	5.08839	51.21667	4.49291
5.43054	50.78552	48.86359	1124.09743	4.61448	9.16097	1.00000	7.50895	7.02779	-0.91979	6.37059	45.83265	7.11076	9.32353	5.26604	3.37829	51.42708	8.95713
6.64038	29.19385	32.12364	1193.64135	2.22088	8.86392	1.00000	6.26613	6.76055	-2.98333	9.28212	58.67969	6.25960	26.15107	7.26254	8.81456	53.83333	8.73805
5.96039	32.91742	50.00869	1096.85727	1.75634	9.88705	1.00000	5.67279	7.19933	24.75	6.93209	51.87798	5.80801	19.73498	5.84753	8.16917	55.25	10.31732
7.65537	60.77802	55.08667	1144.97547	7.23247	9.04283	0.00000	6.38285	8.14501	86.68363	8.70521	51.42221	8.04333	17.44747	9.59197	6.10303	23.49668	6.02555
6.59881	43.25850	54.28027	1066.19633	2.50272		1.00000	4.29052	8.06471	65.93249	6.84263	58.89357	6.76499	29.39861	4.66002	12.46551	36.21544	11.67293
8.35208	33.51048	42.85176	1068.48330	4.68997	9.72397	1.00000	5.00378	7.00221	139.55722	8.48856	48.45832	7.77774	16.11048	5.22893	4.24329	36	8.24762
7.76735	15.54007	45.35487	1172.29233	2.90087	9.22949	1.00000	6.63811	8.28128	-89.71472	8.71211	64.24964	6.57798	24.21712	6.74277	8.00173	13.73417	6.90022
6.32803	67.65692	49.96070	1166.75810	7.53453	9.62331	0.00000	8.08398	8.46013	77.9129	10.53977	54.52910	8.43153	5.30622	8.67859	5.14131	25.6439	4.39612
5.64973	44.87024	45.62193	1052.80351	2.53061	9.62010	1.00000	8.33244	6.27511	-84.67837	7.15012	37.24471	5.67213	23.35817	4.02722	7.77877	34.06635	9.38792
7.09530	59.75275	58.71305	1132.90708	3.38709	8.50675	0.00000	4.85500	7.72963	78.95693	6.06428	47.22351	7.06013	26.34754	7.35168	6.96157	29.21399	7.18077
6.95656	50.76352	50.25729	1114.00759	4.65150	9.47078	0.00000	6.26157	8.11488	-74.95472	10.23317	59.55014	7.34907	26.45231	9.30077	6.34541	10.98778	7.55558
7.69718	67.53775	36.36211	1052.11510	5.34941	8.65996	1.00000	6.49742	9.04276	78.55757	9.34723	68.60614	7.67764	26.04020	5.76437	8.43293	17.34769	9.89819
6.04372	34.71389	50.12736	1094.61868	21.32151	7.86926	0.00000	5.66904	7.94609	-37.03861	8.47968	43.68221	9.60168	33.39871	9.53100	7.23676	-10.90889	5.76143
6.44753	53.98423	42.93705	1196.76235	2.24110	8.63565	1.00000	7.25170	8.68706	128.63083	6.19495	47.37604	7.48260	14.04024	5.92885	2.19715	36.82167	8.07254
7.09669	49.20353	42.67190	1145.64528	6.20168	12.09719	0.00000	4.82178	6.94666	-82.61573	7.45659	50.70011	8.00391	17.13410	10.76047	6.97991	41.24255	5.13728
6.40552	43.54761	40.44638	1141.60996	3.94518	11.02205	0.00000	5.77144	6.69251	109.3243	9.67003	44.38408	6.47084	10.76382	9.40145	5.12983	-7.0981	5.09107
5.94099	67.41046	32.42471	1073.20832	11.11642	9.34138	1.00000	7.11838	8.16812	-71.10077	5.78384	70.01491	8.75096	29.63670	5.40705	6.00456	18.20854	8.98631
7.50740	63.19531	61.21669	1070.01357	2.74225	8.13705	0.00000	5.28474	9.23511	4.82313	7.25443	73.80351	7.21471	11.82815	9.00135	6.74265	51.24197	8.57364
4.98773	40.19653	48.29736	1115.20640	10.84564	7.57097	1.00000	6.21860	8.16748	32.88667	9.03990	57.02241	8.72829	25.07563	7.32896	6.54210	3.27833	8.05861
8.85035	69.04134	24.26526	1085.55984	2.25074	6.25659	0.00000	5.06610	9.84156	-82.90375	9.13376	25.83508	5.16900	0.63223	7.59322	5.45952	32.54044	6.86496
6.02218	39.77205	53.97700	1063.65517	3.25081	8.44278	1.00000	8.50397	6.31273	117.63083	10.97230	60.91685	6.41694	18.01501	5.80070	5.83313	35.50056	9.16268
6.86833	44.86522	51.26537	1079.79698	2.48896	8.34105	1.00000	6.02092	6.62438	-89.71472	4.78064	32.90570	6.63864	17.81446	7.68079	6.61290	13.73417	9.26912
7.73216	43.22286	64.47220	1125.23558	7.11926	9.36347	0.00000	4.80583	5.75521	-83.55521	7.38420	43.84557	8.13963	19.13770	8.04999	6.67698	41.66394	8.78000
6.44555	49.94291	32.77657	1124.44242	9.23318	8.52794	1.00000	5.49632	7.80406	5.37429	6.64139	52.74771	8.41169	21.56235	6.30680	8.54079	51.03427	10.10273
7.10967	52.82552	61.05875	1069.62256	2.59532	8.46728	1.00000	5.96474	6.61310	-73.81669	8.53494	31.22203	6.14547	15.55766	7.76579	8.12959	45.44868	7.29601
8.62040	37.69525	34.38945	1112.65804	32.99771	7.42225	1.00000	5.69016	6.48808	88.28637	5.77476	60.82896	10.04531	17.67879	8.24946	6.13134	23.07492	8.46356
8.96429	35.21727	47.58194	1183.06282	8.51123	9.07022	0.00000	5.31520	8.33111	43.91385	8.90845	25.43059	8.49590	0.31822	7.36648	6.22095	54.03876	5.07850
7.48458	42.97467	43.67504	1195.92524	4.51795	9.22274	0.00000	5.34553	7.99695	-117.14392	9.44632	36.92451	7.67123	14.71184	7.51553	5.36368	32.9156	7.91984
9.32565	54.56388	53.70809	1116.85229	6.32555	9.16370	0.00000		6.12961	-2.98333	8.54283	30.75102	7.82757	-1.78746	9.42013	5.37327	53.83333	6.13109
8.57285	36.44669	18.51453	1179.37044	11.55209	9.42604	1.00000	3.60091	6.62876	40.74357	7.30792	45.49258	8.66017	14.11311	6.24861	5.80043	37.31309	8.34656
7.36316	53.51389	47.21446	1072.89572	6.90106	10.22308	1.00000	6.75651	7.71187	-66.8499	8.31172	37.21550	8.20161	11.96289	4.06739	4.73866	18.03496	8.95559
6.40525	63.87738	37.81854	1085.30764	7.21110	7.51238	0.00000	5.08818	6.24969	-47.53028	7.63153	50.04353	8.13105	4.42264	10.60631	6.65961	-22.45667	5.53609
7.40008	60.61017	52.66201	1156.82563	4.31488	9.05145	1.00000	6.47730	8.45185	122.9666	10.73717	39.75225	7.33825	13.26772	4.16236	11.11702	10.7375	8.36296
8.54691	39.21779	59.28200	1096.49700	5.93736	9.50088	1.00000	4.45026	8.06245	-97.35992	6.55566	54.32948	8.39163	4.46921	6.70688	6.07129	19.8173	9.06537
7.28631	21.46890	35.61547	1146.87910	1.55859	9.24453	0.00000	5.97467	8.54586	-0.32247	10.86904	58.11558	5.52594	25.26719	9.39321	7.84725	50.82882	6.07787
6.10970	42.46990	22.62701	1102.75452	6.14628	8.16216	1.00000	5.06908	7.72970	17.10558	6.50015	37.43635	7.95613	22.33801	9.19612	6.60213	61.72744	7.25317
7.14261	48.29308	34.78358	1067.08556	8.14838	9.77136	0.00000	6.59145	6.93859	5.4384	10.31285	61.83083	8.29615	7.86572	8.66903	5.91568	43.2907	7.82285
5.84822	81.94623	49.12473	1055.26022	4.67940	9.22075	0.00000	6.47165	7.58344	24.6522	6.98137	65.21981	7.52489	12.27745	8.27423	7.94774	60.2052	5.57771
8.48692	55.49609	28.27802	1073.13104	4.72531	9.67078	1.00000	6.14452	7.42651	16.4	6.98372	58.36693	7.77224	13.84206	4.93447	4.36465	48.25	7.90401
9.06045	58.87510	32.53756	1120.57777	1.53916	7.23987	1.00000	4.32829	8.16913	10.7	6.81108	27.52381	5.75813	28.44471	5.48229	9.82451	4.96667	9.79598
	32.37302	77.81987	1142.61503	10.22577	8.90503	0.00000	5.98385	6.69719	2.95924	9.03804	40.40414	8.69956	27.36502	8.70434	6.53087	36.76775	8.42426
8.12099	34.37618	42.70917	1197.04674	2.90033	10.26312	1.00000	6.24420	8.15885	-5.53715	5.95814	64.92941	6.43625	8.82843	4.79676	8.18311	50.11861	9.55604
6.69368	62.58256	41.93361	1196.99276		7.91029	0.00000	5.78473	8.26665	-88.42814	7.95201	66.19230	6.50456	16.72055	10.95953	5.75455	42.16808	11.45322
7.64771	49.91324	22.58631	1166.66406	2.78150	8.21521	0.00000	5.62637	7.95665	-78.19444	8.82887	59.32368	6.93407	13.71338	8.25989	6.80557	38.91817	6.98565
9.18219	53.75254	73.03952	1196.53405	1.11432	9.65453	0.00000	7.81747	7.88880	5.4384	11.46483	44.06982	7.03451	13.23168	7.27515	6.71467	43.2907	6.52976
4.47453	64.70836	41.10016	1080.27470	8.89025	9.04341	0.00000	7.35548	8.42237	35.7	11.60247	48.12646	8.54987	11.50529	8.32743	4.21313	-7.76667	4.58564
6.46314	63.09226	50.58105	1166.09171	4.21143	8.43460	0.00000	4.58947	8.07019	-74.96933	7.67190	71.33346	7.33629	20.14024	6.28457	10.10853	39.71734	8.06630
8.48533	53.64320	58.24820	1148.71335	2.65949	8.60239	0.00000	6.90403	6.53473	29.00974	8.00595	54.11127	6.98930	12.08263	8.74364	7.34171	-24.19436	6.72829
8.83053	54.90462	52.08100	1197.06971	3.72098	9.24551	0.00000	5.76276	7.66445	74.3092	9.59815	2.31125	7.07831	26.11107	8.76710	6.69659	33.37526	6.43130
7.58053	57.65817	23.50897	1116.16294	3.65321	10.15455	0.00000	6.80569	5.04527	-53.13722	7.99216	71.16432	6.85373	13.61756	10.76661	6.39441	-22.92306	6.96955
5.99849	40.63691	45.88917	1067.02768	2.28183	9.95248	1.00000	3.17399	8.64960	-99.73314	6.78554	41.80303	5.62110	32.08370	6.52911	3.67049	32.44874	8.38286
6.75636	61.95397	42.82990	1054.71454	3.81776	7.98175	0.00000	5.72711	7.84125	-88.81395	7.37049	72.53666	6.98345	19.57075	9.12384	6.27160	35.61452	8.95458
7.25594	32.77447	43.10241	1151.78332	11.59029	8.37430	1.00000	6.96918	8.64499	138.31667	4.79643	45.78212	8.87909	7.66961	7.39998	8.20393	36.65	11.17508
7.79473	36.05615	47.09380	1106.24433	5.58344	7.29861	0.00000	5.19586	6.31020	4.21372	4.58108	54.29112	7.73896	12.29408	7.95594	10.24088	51.12794	8.26955
8.14754	46.71752	56.79977	1080.10191	2.99392	10.83802	0.00000	5.56160	7.40781	10.18527	8.92737	54.19445	7.32652	10.70686	9.07680	5.81786	47.98372	3.29913
8.11219	57.19430	53.36126	1057.86057	13.42262	7.28560	0.00000	5.85258	7.80201	43.91385	7.02320	40.00973	9.05683		9.61980	6.44573	54.03876	9.98167
7.77693	43.22815	44.82760	1196.97118	6.07577	7.29018	1.00000	3.16609	6.49989	-88.81395	6.68902	54.28401	7.98767	13.86838	5.58378	10.73259	35.61452	7.46779
8.24187	89.43379	52.98760	1053.32060	2.50670	9.10700	1.00000	7.10083	6.81869	99.1625	5.84131	17.38451	6.16970	-10.37571	5.90230	7.77640	3.3285	10.19502
7.03209	42.95002	41.67374	1100.75432	2.56173	9.00101	1.00000	6.05513	7.39724	-40.7475	6.57657	50.07752	7.44833	13.17715	5.77257	7.35737	-4.16694	8.48268
6.50468	41.31789	32.00008	1096.36597	5.64978	8.86750	1.00000	7.05246	9.29891	2.31889	11.67698	47.74743	7.76463	23.98579	5.59898	9.47355	35.21222	8.26362
6.60119	51.45439	66.92637	1158.73993	3.15541	8.01232	0.00000	4.90434	7.81917	83.97573	9.14279	52.75002	7.46270	10.99498	8.45285	5.90784	21.46527	2.71321
8.55922	50.81489	66.74310	1159.51820	8.12965	9.48857	1.00000	4.38483	6.64492	88.18466	8.25183	62.14576	8.14317	31.73452	5.30568	7.42210	22.19303	7.82252
9.39820	43.51799	47.75900	1053.88214	1.27453	8.93677	1.00000	4.98804	8.72299	27.18052	6.04792	26.06250	6.04619	17.36854	6.23307	6.73081	39.12074	8.36477
7.61168	30.03636	57.80241	1161.31601	4.08244	9.58062	0.00000	4.98182	7.43355	74.83554	7.61522	76.21702	7.02874	10.36793	9.90949	6.71745	14.62072	8.64337
7.93298	27.13752	77.64445	1098.34124	4.64714	8.60319	1.00000	5.35934	7.96263	9.85	7.12385	70.00600	7.79625	2.60084	6.10934	5.67483	53.63333	8.08146
8.42991	58.50944	62.58465	1072.74430	3.57371	9.05289	1.00000	5.44706	7.94195	69.49015	9.20348	58.60772	7.13671	20.59346	5.39251	11.22546	56.11281	7.88463
7.93719	86.34119	44.83935	1108.11689	3.30777	8.61964	1.00000	6.84541	8.27116	-102.04897	10.22808	51.28321	7.14940	19.04506	2.71771	9.53844	19.64745	9.12549
8.57309	56.98573	50.90569	1163.73496	6.90132	7.06485	1.00000	6.84323	7.48454	-88.70464	9.68262	66.35747	8.11220	30.57617	9.49106	4.68214	34.25807	8.95991
8.04941	45.45499	56.99273	1071.60574	3.82484	9.59123	1.00000	5.38349	6.60334	-58.44417	7.91637	47.52109	7.11164	15.61862	4.47494	6.18457	-3.14306	7.42981
4.91321	42.19505	45.66331	1167.23342	6.33817	9.31846	1.00000	7.93704	8.31455	-87.71255	10.63266	19.10717	8.04864	22.46913	6.34641	7.76713	41.84364	9.09118
8.37579	47.51722	56.31711	1161.03701	2.62632	8.81589	1.00000	6.94863	7.85954	13.29371	10.93865	54.61340	6.54003	16.40814	5.05165	9.15164	52.53048	7.67005
7.33412	48.69982	32.59454	1122.51215	8.31924	7.82013	0.00000	5.09788	6.46941	27.25	6.61425	62.27577	8.38310	7.38016	8.70216	6.66096	42.7	7.43025
	47.39142	30.02103	1176.19681	3.00128	11.06664	0.00000	4.02752		129.96972	8.32494	25.61056	7.56765	18.58541	3.97265	10.98021	33.4425	8.64730
7.93099	48.86530	52.88012	1127.50978	4.56109	9.05151	0.00000	5.29375	7.11588	51.3452	8.19251	39.45324	7.84607	18.30660	9.15943	6.34975	53.37596	5.38335
8.31037	53.24681	41.31030	1177.27509	16.38307	8.59871	0.00000	7.45346	8.56933	-111.90466	8.39731	34.41700	9.28743	18.59694	9.22618	6.83989	40.34912	9.21335
7.79621	53.95204	31.00700	1138.30466	4.42071	9.73483	1.00000	6.79069	9.47095	-74.73584	7.99715	22.98240	7.29514	13.29908	7.85681	7.44440	5.20856	8.58076
6.46113	48.65120	27.26492	1144.03730	2.27203	9.13594	0.00000	7.01686	8.72510	120.14278	10.22156	39.55856	6.50409	-4.98139	9.48563	5.93786	32.50611	9.66636
8.68192	28.57885	58.45912	1078.90183	1.21028	10.02369	1.00000	6.63728	5.68045	76.35484	8.85491	47.72140	6.20978	14.34286	5.54969	10.26222	10.10649	9.37694
7.53543	47.38616	53.75327	1065.54949	1.74310	9.75331	1.00000	7.36632	8.10155	1.10687	9.17117	61.74012	7.24057	25.24618	5.91997	7.20290	41.15612	8.04680
7.55759	43.24529	31.86294	1089.00349	5.08772	6.56223	0.00000	4.52334	8.39640	2.95924	8.24200	42.36012	7.76538	12.32748	13.84107	7.57568	36.76775	9.82249
6.88479	61.77243	54.37968	1057.95905	1.68770	7.02443	0.00000	4.01787	9.15701	-77.96389	5.80899	66.43676	6.95826	32.71307	11.42893	6.75676	39.45621	10.29129
7.43560	59.20385	46.25511	1050.63266	6.32528	11.42959	0.00000	5.20539	7.22498	5.4384	8.86571	67.24638	8.41596	26.08310	8.23387	6.54463	43.2907	5.35877
5.91678	29.59458	45.89541	1098.80550	2.57077	8.98208	1.00000	6.16117	6.91622	1.15597	6.36951	34.51349	5.79418	9.33935	6.51475	4.72554	51.78967	9.24503
8.91445	57.51749	47.34275	1094.12662	7.61082	9.79578	1.00000	6.31671	8.79659	-58.70072	7.38556	50.12116	8.18261	31.62658	5.35403	4.31452	-34.74785	9.33764
10.15987	64.94946	54.49221	1084.24387	2.80526	11.00029	1.00000	4.60107	7.48249	-72.27814	8.35248	35.29086	6.89663	19.08190	3.79166	5.02414	42.93369	8.36607
8.26573	41.07580	37.28905	1176.48757	4.89559	8.88232	1.00000	6.60484	8.64652	53.26023	7.50322	73.11925	7.61874	-0.28327	5.03337	5.73069	54.39304	7.83910
7.96187	49.97824	47.08777	1185.45460	3.08784	9.30157	0.00000	6.52644	6.32984	139.55028	8.16490	47.12258	7.26633	12.86040	9.98226	6.25499	35.30889	6.56968
7.67164	50.33619	45.78878	1057.66380	2.73169	9.43146	1.00000	3.89164	9.20340	-74.07764	7.43031	55.21110	6.50406	35.76138	5.57584	9.44787	40.72816	8.28965
8.64784	72.82602	65.45836	1056.68009	6.59543	10.22839	0.00000	2.89538	6.26446	85.83636	9.30989	68.41330	8.00347	2.34319	7.57227	4.95213	25.66795	5.04466
7.33659	47.89387	66.54196	1186.91780	2.36943	9.57781	1.00000	6.67446	8.18515	101.44167	9.62871	27.36478	6.46196	12.64568	6.66413	8.39621	0.51667	6.37055
5.90011	34.28049	42.34976	1195.44231	3.94735	7.66835	0.00000	7.06910	8.19243	-2.68758	8.34604	55.52464	7.47473	17.87631	9.19120	6.70566	53.69786	5.52087
7.67588	30.84563	42.09571	1076.97309	3.13162	9.23131	0.00000	5.21479	7.07311	92.48278	5.21403	69.60279	6.06744	7.64772	8.98590	8.84874	58.23583	7.99428
8.88862	35.74965	47.13972	1050.33971	4.12893	9.94598	0.00000	6.35607	7.92408	33.9162	9.88717	59.74367	7.46725	-1.13173	7.86008	6.38932	51.67822	7.52267
6.35441	40.65116	57.62555	1075.64633	1.75786	10.06785	0.00000	5.70136	6.02949	15.07041	9.24271	52.49433	6.31723	16.87565	7.85599	7.17344	37.49223	6.85970
8.10898	45.33029	59.41881	1141.01547	4.72060	7.72795	0.00000	4.65309	7.20840	2.31889	6.78773	55.38396	7.48099	25.29489	11.18544	6.43193	35.21222	10.85873
